Quarter,Time,Down,ToGo,Location,LAC,OAK,Detail,EPB,EPA
2,3:46,4,4,OAK 32,3,3,"Johnny Townsend punts 57 yards, returned by Travis Benjamin for 7 yards (tackle by Derek Carrier). Penalty on Nick Dzubnar: Offensive Holding, 9 yards",-1.240,0.380
2,3:33,1,10,LAC 9,3,3,Philip Rivers pass complete short left to Melvin Gordon for 5 yards (tackle by Gareon Conley),-0.380,-0.390
2,3:02,2,5,LAC 14,3,3,Philip Rivers pass complete deep right to Tyrell Williams for 31 yards (tackle by Daryl Worley),-0.390,1.930
2,2:29,1,10,LAC 45,3,3,Philip Rivers pass complete short middle to Antonio Gates for 18 yards (tackle by Karl Joseph),1.930,3.120
2,2:00,1,10,OAK 37,3,3,Melvin Gordon left end for 14 yards (tackle by Nicholas Morrow),3.120,4.040
2,1:20,1,10,OAK 23,3,3,Travis Benjamin right end for -2 yards (tackle by Shilique Calhoun),4.040,3.230
2,0:47,2,12,OAK 25,3,3,Philip Rivers pass complete short left to Keenan Allen for 6 yards (tackle by Gareon Conley),3.230,3.340
2,0:33,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:33,3,6,OAK 19,3,3,"Penalty on Shilique Calhoun: Neutral Zone Infraction, 5 yards (no play)",3.340,4.280
2,0:33,3,1,OAK 14,3,3,Philip Rivers pass complete short middle to Tyrell Williams for 3 yards (tackle by Tahir Whitehead),4.280,4.840
2,0:28,,,,,,Timeout #3 by Los Angeles Chargers,,
2,0:28,1,10,OAK 11,9,3,"Philip Rivers pass complete short right to Keenan Allen for 11 yards, touchdown",4.840,7.000
2,0:24,,,OAK 15,10,3,Michael Badgley kicks extra point good,0.000,0.000
2,0:24,,,LAC 35,10,3,"Michael Badgley kicks off 64 yards, returned by Dwayne Harris for no gain (tackle by Austin Ekeler). Penalty on Keith Smith: Unnecessary Roughness, 10 yards",0.000,-0.380
2,0:19,1,10,OAK 10,10,3,Derek Carr kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,LAC,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 35,10,3,"Daniel Carlson kicks off 64 yards, returned by Desmond King for no gain (tackle by Derek Carrier)",0.000,0.480
3,14:54,1,10,LAC 23,10,3,Philip Rivers pass complete short right to Keenan Allen for 7 yards (tackle by Marquel Lee and Daryl Worley),0.480,0.880
3,14:16,2,3,LAC 30,10,3,Melvin Gordon right end for 4 yards (tackle by Karl Joseph),0.880,1.200
3,13:29,1,10,LAC 34,10,3,Mike Williams left end for no gain (tackle by Maurice Hurst and Tahir Whitehead),1.200,0.660
3,12:43,2,10,LAC 34,16,3,"Philip Rivers pass complete short left to Melvin Gordon for 66 yards, touchdown",0.660,7.000
3,12:32,,,OAK 15,17,3,Michael Badgley kicks extra point good,0.000,0.000
3,12:32,,,LAC 35,17,3,"Michael Badgley kicks off 59 yards, returned by Dwayne Harris for no gain (tackle by Jeff Richards)",0.000,0.280
3,12:27,1,10,OAK 20,17,3,Doug Martin up the middle for 6 yards (tackle by Kyle Emanuel),0.280,0.540
3,11:54,2,4,OAK 26,17,3,Derek Carr pass complete short left to Derek Carrier for 5 yards (tackle by Desmond King),0.540,1.000
3,11:06,1,10,OAK 31,17,3,Doug Martin up the middle for 7 yards (tackle by Derwin James and Jatavis Brown),1.000,1.410
3,10:25,2,3,OAK 38,17,3,Doug Martin right tackle for -6 yards (tackle by Kyle Emanuel),1.410,-0.100
3,9:46,3,9,OAK 32,17,3,Derek Carr sacked by Isaac Rochell for -8 yards,-0.100,-1.770
3,9:07,4,17,OAK 24,17,3,"Johnny Townsend punts 51 yards, fair catch by Travis Benjamin at LAC-25",-1.770,-0.610
3,8:58,1,10,LAC 25,17,3,Melvin Gordon left end for 1 yard (tackle by Jason Cabinda),0.610,0.200
3,8:21,2,9,LAC 26,17,3,Philip Rivers pass complete short middle to Melvin Gordon for 5 yards (tackle by Johnathan Hankins),0.200,0.170
3,7:35,3,4,LAC 31,17,3,Philip Rivers pass deep left intended for Keenan Allen is intercepted by Marcus Gilchrist at OAK-27 and returned for no gain,0.170,-0.740
3,7:25,1,10,OAK 27,17,3,"Derek Carr pass incomplete deep right intended for Martavis Bryant. Penalty on Martavis Bryant: Offensive Pass Interference, 10 yards (no play)",0.740,-0.170
3,7:20,1,20,OAK 17,17,3,Derek Carr pass complete short right to Jalen Richard for 9 yards (tackle by Uchenna Nwosu and Justin Jones),-0.170,0.060
3,6:37,2,11,OAK 26,17,3,Derek Carr pass incomplete short left intended for Derek Carrier,0.060,-0.620
3,6:30,3,11,OAK 26,17,3,Derek Carr pass complete short left to Jared Cook for 6 yards (tackle by Michael Davis),-0.620,-1.240
3,5:56,4,5,OAK 32,17,3,"Johnny Townsend punts 54 yards, returned by Travis Benjamin for 8 yards (tackle by Derek Carrier). Penalty on Rayshawn Jenkins: Unnecessary Roughness, 11 yards",-1.240,0.370
3,5:44,1,10,LAC 11,17,3,Philip Rivers up the middle for 1 yard (tackle by Shilique Calhoun),-0.370,-0.710
3,5:05,2,9,LAC 12,17,3,Philip Rivers pass complete deep middle to Virgil Green for 23 yards (tackle by Marcus Gilchrist and Gareon Conley),-0.710,1.270
3,4:24,1,10,LAC 35,17,3,Melvin Gordon left end for 6 yards (tackle by Gareon Conley),1.270,1.530
3,3:48,2,4,LAC 41,17,3,Melvin Gordon right guard for 2 yards (tackle by Jason Cabinda and Shilique Calhoun),1.530,1.090
3,3:05,3,2,LAC 43,17,3,Philip Rivers pass incomplete short right intended for Tyrell Williams,1.090,-0.520
3,3:01,4,2,LAC 43,17,3,"Donnie Jones punts 38 yards, fair catch by Dwayne Harris at OAK-19",-0.520,-0.150
3,2:53,1,10,OAK 19,17,3,Doug Martin up the middle for 4 yards (tackle by Adrian Phillips),0.150,0.210
3,2:16,2,6,OAK 23,17,3,Derek Carr pass incomplete short left intended for Derek Carrier,0.210,-0.550
3,2:12,3,6,OAK 23,17,3,Derek Carr pass complete short right to Jared Cook for 10 yards (tackle by Adrian Phillips),-0.550,1.140
3,1:27,1,10,OAK 33,17,3,Derek Carr pass complete short left to Doug Martin for 23 yards (tackle by Jatavis Brown),1.140,2.650
3,0:49,1,10,LAC 44,17,3,Derek Carr pass complete deep middle to Jared Cook for 31 yards (tackle by Jahleel Addae),2.650,4.710
3,0:04,1,10,LAC 13,17,3,Jalen Richard left tackle for 1 yard (tackle by Brandon Mebane and Jatavis Brown),4.710,4.220
Quarter,Time,Down,ToGo,Location,LAC,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,LAC 12,17,3,Derek Carr pass incomplete short left intended for Brandon LaFell (defended by Adrian Phillips),4.220,3.280
4,14:56,3,9,LAC 12,17,3,Derek Carr pass incomplete short left intended for Brandon LaFell (defended by Casey Hayward),3.280,2.630
4,14:53,4,9,LAC 12,17,6,Daniel Carlson 30 yard field goal good,2.630,3.000
4,14:49,,,OAK 35,17,6,"Daniel Carlson kicks off 63 yards, returned by Desmond King for no gain (tackle by Kyle Wilber and Karl Joseph)",0.000,0.340
4,14:42,1,10,LAC 21,17,6,Philip Rivers pass complete short right to Virgil Green for 7 yards (tackle by Rashaan Melvin),0.340,0.750
4,14:02,2,3,LAC 28,17,6,Melvin Gordon left guard for 10 yards (tackle by Daryl Worley),0.750,1.470
4,13:17,,,,,,Timeout #1 by Los Angeles Chargers,,
4,13:17,1,10,LAC 38,17,6,Philip Rivers pass incomplete short right intended for Virgil Green,1.470,0.920
4,13:13,2,10,LAC 38,17,6,Philip Rivers pass complete short right to Keenan Allen for 11 yards (tackle by Jacquies Smith and Nick Nelson),0.920,2.190
4,12:31,1,10,LAC 49,17,6,Austin Ekeler right end for 9 yards (tackle by Arden Key),2.190,2.860
4,11:48,2,1,OAK 42,17,6,"Austin Ekeler left tackle for 4 yards. Penalty on Russell Okung: Offensive Holding, 10 yards",2.860,2.050
4,11:39,2,7,OAK 48,17,6,"Philip Rivers sacked by Johnathan Hankins and Shilique Calhoun for no gain. Penalty on Johnathan Hankins: Roughing the Passer, 15 yards (no play)",2.050,3.380
4,11:12,1,10,OAK 33,17,6,"Austin Ekeler up the middle for no gain (tackle by Jason Cabinda and Tahir Whitehead). Penalty on Dan Feeney: Offensive Holding, 10 yards (no play)",3.380,2.720
4,10:44,1,20,OAK 43,17,6,Philip Rivers pass complete deep left to Keenan Allen for 18 yards (tackle by Erik Harris),2.720,3.920
4,10:01,2,2,OAK 25,17,6,Melvin Gordon left end for 4 yards (tackle by Tahir Whitehead),3.920,4.170
4,9:19,1,10,OAK 21,17,6,Melvin Gordon right guard for 4 yards (tackle by Maurice Hurst and Jason Cabinda),4.170,4.200
4,8:38,2,6,OAK 17,17,6,Philip Rivers pass complete short right to Melvin Gordon for -5 yards (tackle by Clinton McDonald),4.200,2.810
4,7:52,3,11,OAK 22,17,6,Philip Rivers pass complete short left to Tyrell Williams for no gain (tackle by Nick Nelson),2.810,1.990
4,7:16,4,11,OAK 22,20,6,Michael Badgley 41 yard field goal good,1.990,3.000
4,7:12,,,LAC 35,20,6,"Michael Badgley kicks off 63 yards, returned by Dwayne Harris for no gain (tackle by Nick Dzubnar)",0.000,0.340
4,7:06,1,10,OAK 21,20,6,Derek Carr pass incomplete short left intended for Jared Cook,0.340,-0.200
4,7:03,2,10,OAK 21,20,6,Derek Carr pass complete short left to Jalen Richard for 5 yards (tackle by Michael Davis and Adrian Phillips),-0.200,-0.230
4,6:27,3,5,OAK 26,20,6,Derek Carr pass complete short left to Seth Roberts for 15 yards (tackle by Jahleel Addae),-0.230,1.660
4,5:53,1,10,OAK 41,20,6,Derek Carr pass complete short left to Seth Roberts for 15 yards (tackle by Jatavis Brown),1.660,2.650
4,5:27,1,10,LAC 44,20,6,Derek Carr pass complete short middle to Jalen Richard for 20 yards (tackle by Jatavis Brown),2.650,3.970
4,5:01,1,10,LAC 24,20,6,Derek Carr pass incomplete short left intended for Jalen Richard,3.970,3.430
4,4:58,2,10,LAC 24,20,6,Derek Carr sacked by Justin Jones and Uchenna Nwosu for -7 yards,3.430,1.820
4,4:23,3,17,LAC 31,20,6,Derek Carr pass complete short middle to Jalen Richard for 12 yards (tackle by Desmond King and Adrian Phillips),1.820,2.240
4,4:13,,,,,,Timeout #1 by Oakland Raiders,,
4,4:13,4,5,LAC 19,20,6,Derek Carr pass incomplete short right,2.240,-0.150
4,4:10,1,10,LAC 19,20,6,Philip Rivers pass complete short right to Keenan Allen for 4 yards (tackle by Marcus Gilchrist),0.150,0.210
4,3:27,2,6,LAC 23,20,6,Melvin Gordon up the middle for 8 yards (tackle by Nicholas Morrow),0.210,1.000
4,3:19,,,,,,Timeout #2 by Oakland Raiders,,
4,3:19,1,10,LAC 31,20,6,Melvin Gordon up the middle for 15 yards (tackle by Clinton McDonald and Gareon Conley),1.000,1.990
4,2:35,1,10,LAC 46,20,6,Melvin Gordon left end for 7 yards (tackle by Arden Key and Gareon Conley),1.990,2.400
4,2:27,,,,,,Timeout #3 by Oakland Raiders,,
4,2:27,2,3,OAK 47,20,6,"Austin Ekeler up the middle for no gain (tackle by Nicholas Morrow and Gareon Conley). Penalty on Shilique Calhoun: Defensive Offside (Declined) . Penalty on Russell Okung: Unnecessary Roughness, 15 yards (no play)",2.400,0.370
4,2:20,2,18,LAC 38,20,6,Melvin Gordon up the middle for no gain (tackle by Shilique Calhoun and Nicholas Morrow),0.370,-0.300
4,2:00,3,18,LAC 38,20,6,Austin Ekeler up the middle for 6 yards (tackle by Tahir Whitehead and Marcus Gilchrist),-0.300,-0.460
4,1:14,,,,,,Timeout #2 by Los Angeles Chargers,,
4,1:14,4,12,LAC 44,20,6,"Donnie Jones punts 40 yards, returned by Dwayne Harris for 6 yards (tackle by Austin Ekeler)",-0.460,-0.410
4,1:07,1,10,OAK 22,20,6,Derek Carr pass complete short right to Jared Cook for 5 yards (tackle by Desmond King and Jatavis Brown),0.410,0.540
4,0:39,2,5,OAK 27,20,6,"Derek Carr pass incomplete short right intended for Jared Cook (defended by Derwin James). Penalty on Adrian Phillips: Unsportsmanlike Conduct, 15 yards",0.540,1.730
4,0:34,1,10,OAK 42,20,6,Derek Carr pass incomplete deep middle intended for Jared Cook,1.730,1.190
4,0:28,2,10,OAK 42,20,6,Derek Carr pass incomplete short right,1.190,0.500
4,0:20,3,10,OAK 42,20,6,Derek Carr pass complete short left to Seth Roberts for 9 yards (tackle by Jatavis Brown),0.500,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
