Quarter,Time,Down,ToGo,Location,CHI,STL,Detail,EPB,EPA
2,0:22,3,6,STL 49,24,3,Kyle Orton pass incomplete short right intended for Rashied Davis,1.360,0.000
2,0:17,4,6,STL 49,24,3,"Brad Maynard punts 41 yards, fair catch by Derek Stanley. Penalty on Keenan Burton: Running Into the Kicker (Declined)",0.000,0.380
2,0:10,1,10,STL 8,24,3,Trent Green kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,CHI,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 30,24,3,"Robbie Gould kicks off 69 yards, returned by Derek Stanley for 37 yards (tackle by Garrett Wolfe). Penalty on Travis Minor: Offensive Holding, 10 yards",0.000,-0.220
3,14:51,1,10,STL 15,24,3,Antonio Pittman left tackle for -5 yards (tackle by Dusty Dvoracek),-0.220,-1.150
3,14:16,2,15,STL 10,24,3,Trent Green pass complete short left to Torry Holt for 13 yards (tackle by Brian Urlacher),-1.150,-0.390
3,13:41,3,2,STL 23,24,3,Trent Green pass complete short middle to Antonio Pittman for 2 yards (tackle by Brian Urlacher),-0.390,0.610
3,12:55,1,10,STL 25,24,3,"Penalty on Adam Goldberg: False Start, 5 yards (no play)",0.610,0.280
3,12:32,1,15,STL 20,24,3,Trent Green pass complete short middle to Antonio Pittman for 13 yards (tackle by Kevin Payne),0.280,1.140
3,11:53,2,2,STL 33,24,3,Kenneth Darby right end for no gain (tackle by Nick Roach),1.140,0.430
3,11:08,3,2,STL 33,24,3,Trent Green pass incomplete short left intended for Torry Holt,0.430,-1.180
3,11:03,4,2,STL 33,24,3,"Donnie Jones punts 60 yards, returned by Devin Hester for 14 yards (tackle by Jonathan Wade)",-1.180,-0.340
3,10:53,1,10,CHI 21,24,3,Kyle Orton pass complete short left to Desmond Clark for 6 yards (tackle by Fakhir Brown),0.340,0.610
3,10:18,2,4,CHI 27,24,3,Matt Forte left tackle for -1 yards,0.610,-0.230
3,9:37,3,5,CHI 26,24,3,Kyle Orton sacked by James Hall for -6 yards,-0.230,-2.030
3,9:06,4,11,CHI 20,24,3,"Brad Maynard punts 39 yards, returned by Derek Stanley for 5 yards (tackle by Corey Graham). Penalty on David Vobora: Offensive Holding, 10 yards",-2.030,-1.000
3,8:58,1,10,STL 31,24,3,Trent Green sacked by Alex Brown for -8 yards,1.000,-0.620
3,8:38,2,18,STL 23,24,3,Trent Green pass complete deep left to Dane Looker for 22 yards (tackle by Kevin Payne),-0.620,1.930
3,8:06,1,10,STL 45,24,3,Trent Green pass incomplete short left intended for Torry Holt is intercepted by Brian Urlacher at STL-46 and returned for 11 yards (tackle by Adam Goldberg),1.930,-3.250
3,7:59,1,10,STL 35,24,3,Kyle Orton pass complete short left to Brandon Lloyd for 3 yards (tackle by Pisa Tinoisamoa),3.250,3.110
3,7:23,2,7,STL 32,24,3,Matt Forte right guard for 6 yards (tackle by Pisa Tinoisamoa),3.110,3.200
3,6:45,3,1,STL 26,24,3,Matt Forte left tackle for 3 yards (tackle by Victor Adeyanju),3.200,4.040
3,6:05,1,10,STL 23,24,3,Kyle Orton pass incomplete deep right intended for Devin Hester (defended by Ronald Bartell),4.040,3.500
3,5:59,2,10,STL 23,24,3,Matt Forte left guard for 3 yards (tackle by Clifton Ryan),3.500,3.200
3,5:21,3,7,STL 20,24,3,Kyle Orton pass incomplete short left intended for Matt Forte,3.200,2.120
3,5:17,4,7,STL 20,27,3,Robbie Gould 38 yard field goal good,2.120,3.000
3,5:13,,,CHI 30,27,3,"Robbie Gould kicks off 70 yards, returned by Derek Stanley for 19 yards (tackle by Corey Graham)",0.000,0.150
3,5:08,1,10,STL 19,27,3,Trent Green pass complete deep left to Torry Holt for 38 yards (tackle by Nathan Vasher),0.150,2.720
3,4:38,1,10,CHI 43,27,3,Antonio Pittman up the middle for -5 yards (tackle by Marcus Harrison),2.720,1.500
3,4:06,2,15,CHI 48,27,3,"Penalty on Alex Barron: False Start, 5 yards (no play)",1.500,0.830
3,3:42,2,20,STL 47,27,3,Trent Green pass incomplete deep right intended for Donnie Avery is intercepted by Charles Tillman at CHI-6. Penalty on Alex Barron: Illegal Use of Hands (Declined),0.830,0.380
3,3:33,1,10,CHI 6,27,3,Matt Forte left tackle for 2 yards (tackle by James Hall),-0.380,-0.630
3,3:02,2,8,CHI 8,27,3,"Penalty on Jason McKie: False Start, 4 yards (no play)",-0.630,-0.930
3,2:44,2,12,CHI 4,27,3,Kyle Orton pass incomplete deep left intended for Rashied Davis (defended by Fakhir Brown),-0.930,-1.650
3,2:39,3,12,CHI 4,27,3,"Matt Forte up the middle for 11 yards. Penalty on Leonard Little: Defensive Offside, 5 yards (no play)",-1.650,-1.070
3,2:15,3,7,CHI 9,27,3,Matt Forte right guard for 7 yards (tackle by Will Witherspoon). Penalty on Corey Chavous: Defensive Holding (Declined),-1.070,-0.140
3,1:44,1,10,CHI 16,27,3,Adrian Peterson right guard for 6 yards (tackle by Victor Adeyanju),-0.140,0.280
3,0:58,2,4,CHI 22,27,3,Kyle Orton pass complete short right to Adrian Peterson for -1 yards (tackle by Clifton Ryan),0.280,-0.700
3,0:21,3,5,CHI 21,27,3,Rashied Davis right end for -2 yards (tackle by Pisa Tinoisamoa),-0.700,-2.140
Quarter,Time,Down,ToGo,Location,CHI,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,7,CHI 19,27,3,"Brad Maynard punts 49 yards, returned by Derek Stanley for 1 yard (tackle by Corey Graham). Penalty on Jason Craft: Illegal Block Above the Waist, 10 yards",-2.140,-0.410
4,14:52,1,10,STL 22,27,3,Kenneth Darby left end for 3 yards (tackle by Mark Anderson),0.410,0.270
4,14:19,2,7,STL 25,27,3,Trent Green sacked by Tommie Harris for -5 yards,0.270,-1.090
4,13:44,3,12,STL 20,27,3,Trent Green pass complete short right to Kenneth Darby for 15 yards (tackle by Tommie Harris),-1.090,1.270
4,13:05,1,10,STL 35,27,3,Trent Green pass complete short right to Anthony Becht for 11 yards (tackle by Charles Tillman),1.270,1.990
4,12:29,1,10,STL 46,27,3,Trent Green pass complete deep left to Torry Holt for 18 yards (tackle by Corey Graham),1.990,3.180
4,11:50,1,10,CHI 36,27,3,Trent Green pass complete short left to Keenan Burton for 8 yards (tackle by Corey Graham),3.180,3.720
4,11:25,2,2,CHI 28,27,3,Trent Green pass incomplete short right intended for Anthony Becht (defended by Charles Tillman),3.720,3.010
4,11:18,3,2,CHI 28,27,3,Trent Green pass incomplete short right intended for Antonio Pittman,3.010,1.700
4,11:15,,,,27,3,Timeout #1 by St. Louis Rams,0.000,1.700
4,11:15,4,2,CHI 28,27,3,Trent Green up the middle for 2 yards (tackle by Tommie Harris),1.700,3.840
4,10:50,1,10,CHI 26,27,3,Trent Green pass complete short left to Kenneth Darby for 8 yards (tackle by Nick Roach),3.840,4.450
4,10:10,2,2,CHI 18,27,3,Kenneth Darby left tackle for -2 yards (tackle by Brian Urlacher and Lance Briggs),4.450,3.400
4,9:35,3,4,CHI 20,27,3,Trent Green pass incomplete short right intended for Torry Holt is intercepted by Lance Briggs at CHI-14,3.400,0.280
4,9:28,1,10,CHI 14,27,3,Kyle Orton pass incomplete deep right intended for Devin Hester,-0.280,-0.750
4,9:22,2,10,CHI 14,27,3,Matt Forte right tackle for 18 yards (tackle by Will Witherspoon and O.J. Atogwe),-0.750,1.070
4,8:40,1,10,CHI 32,27,3,Matt Forte left guard for 6 yards (tackle by Will Witherspoon),1.070,1.340
4,8:15,2,4,CHI 38,27,3,Kyle Orton pass incomplete deep right intended for Brandon Lloyd,1.340,0.630
4,8:07,3,4,CHI 38,27,3,Matt Forte up the middle for 6 yards (tackle by Pisa Tinoisamoa),0.630,1.860
4,7:33,1,10,CHI 44,27,3,Matt Forte left tackle for -3 yards (tackle by Clifton Ryan),1.860,0.910
4,6:51,2,13,CHI 41,27,3,"Penalty on John Tait: False Start, 5 yards (no play)",0.910,0.240
4,6:31,2,18,CHI 36,27,3,Kyle Orton pass incomplete short right intended for Rashied Davis (defended by Ronald Bartell),0.240,-0.430
4,6:25,3,18,CHI 36,27,3,Matt Forte left guard for 4 yards (tackle by Pisa Tinoisamoa and Fakhir Brown),-0.430,-0.720
4,5:41,4,14,CHI 40,27,3,"Brad Maynard punts 52 yards, returned by Derek Stanley for 12 yards (tackle by Adrian Peterson)",-0.720,-0.280
4,5:31,1,10,STL 20,27,3,Trent Green pass incomplete short middle intended for Joe Klopfenstein is intercepted by Lance Briggs at STL-24 and returned for 9 yards (tackle by Adam Goldberg),0.280,-4.580
4,5:24,1,10,STL 15,27,3,Garrett Wolfe left tackle for 2 yards (tackle by Quinton Culberson),4.580,4.280
4,4:54,2,8,STL 13,27,3,"Kyle Orton pass complete short left to Jason McKie for 6 yards (tackle by O.J. Atogwe). Jason McKie fumbles (forced by O.J. Atogwe), recovered by Fakhir Brown at STL-5 (tackle by Jason McKie)",4.280,0.380
4,4:44,1,10,STL 5,27,3,Kenneth Darby left tackle for 9 yards (tackle by Craig Steltz),-0.380,-0.100
4,4:05,2,1,STL 14,27,3,Kenneth Darby right guard for no gain (tackle by Marcus Harrison),-0.100,-0.370
4,3:33,3,1,STL 14,27,3,Kenneth Darby left guard for 2 yards (tackle by Marcus Harrison),-0.370,-0.140
4,2:55,1,10,STL 16,27,3,Brock Berlin pass incomplete deep left intended for Keenan Burton,-0.140,-0.660
4,2:45,2,10,STL 16,27,3,Brock Berlin pass incomplete short right intended for Joe Klopfenstein,-0.660,-1.320
4,2:42,3,10,STL 16,27,3,Brock Berlin pass complete short middle to Kenneth Darby for 6 yards (tackle by Lance Briggs),-1.320,-1.900
4,2:00,4,4,STL 22,27,3,Donnie Jones punts 38 yards,-1.900,-1.600
4,1:51,1,10,CHI 40,27,3,Garrett Wolfe up the middle for 3 yards (tackle by David Vobora),1.600,1.460
4,1:09,2,7,CHI 43,27,3,Garrett Wolfe right end for no gain (tackle by Chris Chamberlain),1.460,0.760
4,0:32,3,7,CHI 43,27,3,Kyle Orton kneels for -1 yards,0.760,-0.590
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
