Quarter,Time,Down,ToGo,Location,LVR,NWE,Detail,EPB,EPA
1,2:50,1,10,NWE 27,0,0,N'Keal Harry left end for 2 yards (tackle by Nicholas Morrow and Johnathan Abram),0.740,0.470
1,2:13,2,8,NWE 29,0,0,Cam Newton pass incomplete deep middle intended for Julian Edelman (defended by Trayvon Mullen),0.470,-0.230
1,2:08,3,8,NWE 29,0,0,Cam Newton pass short right intended for Rex Burkhead is intercepted by Johnathan Abram at NE-38 and returned for 24 yards,-0.230,-4.650
1,1:53,1,10,NWE 14,0,0,Josh Jacobs left end for 2 yards (tackle by J.C. Jackson),4.650,4.330
1,1:23,2,8,NWE 12,0,0,Derek Carr pass complete short middle to Jalen Richard for 6 yards (tackle by Shilique Calhoun),4.330,4.730
1,0:48,3,2,NWE 6,0,0,"Derek Carr pass complete short left to Derek Carrier for 3 yards (tackle by Shilique Calhoun). Penalty on Denzelle Good: Ineligible Downfield Pass, 5 yards (no play)",4.730,3.620
1,0:25,3,7,NWE 11,0,0,Derek Carr pass incomplete short left intended for Hunter Renfrow (defended by J.C. Jackson),3.620,2.700
1,0:20,4,7,NWE 11,3,0,Daniel Carlson 29 yard field goal good,2.700,3.000
1,0:18,,,LVR 35,3,0,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
1,0:18,1,10,NWE 25,3,0,J.J. Taylor left end for 9 yards (tackle by Maurice Hurst),0.610,1.280
Quarter,Time,Down,ToGo,Location,LVR,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,NWE 34,3,0,J.J. Taylor up the middle for 3 yards (tackle by Erik Harris),1.280,1.400
2,14:22,1,10,NWE 37,3,0,Cam Newton pass complete short left to Julian Edelman for 15 yards (tackle by Lamarcus Joyner),1.400,2.390
2,13:41,1,10,LVR 48,3,0,"J.J. Taylor right end for 5 yards (tackle by Maurice Hurst). Penalty on Maxx Crosby: Face Mask (15 Yards), 15 yards",2.390,3.710
2,13:18,1,10,LVR 28,3,0,Isaiah Zuber left end for 13 yards (tackle by Damon Arnette),3.710,4.580
2,12:46,1,10,LVR 15,3,0,Cam Newton pass incomplete short middle intended for N'Keal Harry (defended by Trayvon Mullen),4.580,3.950
2,12:43,2,10,LVR 15,3,0,Cam Newton pass incomplete short left intended for Rex Burkhead (defended by Arden Key),3.950,3.100
2,12:39,3,10,LVR 15,3,0,Cam Newton pass incomplete short left intended for N'Keal Harry,3.100,2.440
2,12:35,4,10,LVR 15,3,3,Nick Folk 33 yard field goal good,2.440,3.000
2,12:32,,,NWE 35,3,3,"Nick Folk kicks off no gain, touchback.",0.000,0.610
2,12:32,1,10,LVR 25,3,3,Devontae Booker right end for 23 yards (tackle by John Simon),0.610,2.130
2,12:10,1,10,LVR 48,3,3,"Derek Carr sacked by Chase Winovich for -6 yards. Derek Carr fumbles (forced by Chase Winovich), recovered by Lawrence Guy at LV-42 (tackle by Gabe Jackson). Penalty on John Simpson: Illegal Use of Hands (Declined)",2.130,-2.790
2,12:02,1,10,LVR 42,3,3,Cam Newton pass complete short left to Rex Burkhead for no gain (tackle by Lamarcus Joyner),2.790,2.240
2,11:23,2,10,LVR 42,3,3,J.J. Taylor up the middle for 6 yards (tackle by Clelin Ferrell),2.240,2.340
2,10:53,3,4,LVR 36,3,3,J.J. Taylor left end for 5 yards (tackle by Nicholas Morrow),2.340,3.510
2,10:20,1,10,LVR 31,3,3,J.J. Taylor right end for 4 yards (tackle by Cory Littleton and Jeff Heath),3.510,3.510
2,9:33,2,6,LVR 27,3,3,Rex Burkhead right guard for 17 yards (tackle by Nicholas Morrow),3.510,4.910
2,8:51,1,10,LVR 10,3,3,J.J. Taylor right end for 5 yards (tackle by Lamarcus Joyner),4.910,5.150
2,8:10,2,5,LVR 5,3,3,Cam Newton pass incomplete short right intended for Ryan Izzo (defended by Damon Arnette),5.150,4.260
2,8:04,3,5,LVR 5,3,3,Cam Newton pass incomplete short right intended for Julian Edelman (defended by Carl Nassib),4.260,3.010
2,7:59,4,5,LVR 5,3,6,Nick Folk 23 yard field goal good,3.010,3.000
2,7:56,,,NWE 35,3,6,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
2,7:56,1,10,LVR 25,3,6,Josh Jacobs right tackle for 13 yards (tackle by Deatrich Wise and Jonathan Jones),0.610,1.470
2,7:18,1,10,LVR 38,3,6,Derek Carr pass incomplete short middle intended for Josh Jacobs (defended by Ja'Whaun Bentley),1.470,0.920
2,7:13,2,10,LVR 38,3,6,Josh Jacobs up the middle for 3 yards (tackle by Lawrence Guy and John Simon),0.920,0.630
2,6:32,3,7,LVR 41,3,6,Derek Carr left guard for 1 yard (tackle by Adrian Phillips and Adam Butler),0.630,-0.590
2,5:45,4,6,LVR 42,3,6,"AJ Cole punts 44 yards, fair catch by Damiere Byrd at NE-14",-0.590,0.280
2,5:38,1,10,NWE 14,3,6,Sony Michel left guard for 8 yards (tackle by Nicholas Morrow),-0.280,0.420
2,5:05,2,2,NWE 22,3,6,Sony Michel right guard for 13 yards (tackle by Erik Harris),0.420,1.270
2,4:28,1,10,NWE 35,3,6,Cam Newton pass complete short right to Sony Michel for 9 yards (tackle by Maliek Collins),1.270,1.940
2,3:47,2,1,NWE 44,3,6,Cam Newton up the middle for 3 yards (tackle by Johnathan Hankins and Cory Littleton),1.940,2.060
2,3:01,1,10,NWE 47,3,6,J.J. Taylor up the middle for -1 yards (tackle by Trayvon Mullen and Carl Nassib),2.060,1.380
2,2:25,2,11,NWE 46,3,6,Cam Newton pass complete short left to Damiere Byrd for 23 yards (tackle by Nevin Lawson),1.380,3.510
2,2:00,1,10,LVR 31,3,6,Sony Michel right guard for 1 yard (tackle by Daniel Ross and Maurice Hurst),3.510,3.100
2,1:21,2,9,LVR 30,3,6,Cam Newton pass complete short left to Damiere Byrd for 5 yards (tackle by Clelin Ferrell),3.100,3.070
2,0:57,3,4,LVR 25,3,6,Rex Burkhead left end for 7 yards (tackle by Lamarcus Joyner),3.070,4.370
2,0:53,,,,,,Timeout #2 by New England Patriots,,
2,0:53,1,10,LVR 18,3,6,Cam Newton pass complete short left to N'Keal Harry for 7 yards (tackle by Nevin Lawson),4.370,5.010
2,0:47,2,3,LVR 11,3,6,Cam Newton pass incomplete short right intended for Rex Burkhead,5.010,4.260
2,0:42,3,3,LVR 11,3,12,"Cam Newton pass complete short right to Rex Burkhead for 11 yards, touchdown",4.260,7.000
2,0:34,,,LVR 15,3,13,Nick Folk kicks extra point good,0.000,0.000
2,0:34,,,NWE 35,3,13,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
2,0:34,1,10,LVR 25,3,13,Derek Carr pass complete short left to Bryan Edwards for 14 yards (tackle by J.C. Jackson),0.610,1.530
2,0:27,,,,,,Timeout #1 by Las Vegas Raiders,,
2,0:27,1,10,LVR 39,3,13,"Derek Carr pass incomplete deep right intended for Nelson Agholor. Penalty on Stephon Gilmore: Defensive Pass Interference, 28 yards (no play)",1.530,3.380
2,0:21,1,10,NWE 33,3,13,Derek Carr pass complete short right to Hunter Renfrow for 6 yards (tackle by Jonathan Jones),3.380,3.650
2,0:15,,,,,,Timeout #2 by Las Vegas Raiders,,
2,0:15,2,4,NWE 27,3,13,Derek Carr pass complete deep right to Hunter Renfrow for 26 yards (tackle by Devin McCourty). Penalty on Joejuan Williams: Defensive Holding (Declined),3.650,6.970
2,0:09,1,1,NWE 1,9,13,"Derek Carr pass complete short left to Foster Moreau for 1 yard, touchdown. Penalty on Adam Butler: Defensive Offside (Declined)",6.970,7.000
2,0:06,,,NWE 15,10,13,Daniel Carlson kicks extra point good,0.000,0.000
2,0:06,,,LVR 35,10,13,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,0:06,1,10,NWE 25,10,13,Cam Newton kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,LVR,NWE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NWE 35,10,13,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LVR 25,10,13,Josh Jacobs up the middle for 2 yards (tackle by Terrence Brooks and Lawrence Guy),0.610,0.330
3,14:25,2,8,LVR 27,10,13,Josh Jacobs left guard for 4 yards (tackle by Lawrence Guy and Jason McCourty),0.330,0.170
3,13:46,3,4,LVR 31,10,13,"Derek Carr pass incomplete short right intended for Jalen Richard (defended by Ja'Whaun Bentley). Penalty on Joejuan Williams: Defensive Holding, 5 yards (no play)",0.170,1.330
3,13:39,1,10,LVR 36,10,13,Derek Carr pass complete short left to Josh Jacobs for 4 yards (tackle by J.C. Jackson),1.330,1.330
3,12:58,2,6,LVR 40,10,13,Derek Carr pass complete deep middle to Bryan Edwards for 34 yards (tackle by Jason McCourty),1.330,3.840
3,12:16,,,,,,Timeout #1 by New England Patriots,,
3,12:16,1,10,NWE 26,10,13,Josh Jacobs up the middle for 4 yards (tackle by Byron Cowart),3.840,3.840
3,11:37,2,6,NWE 22,10,13,Derek Carr pass incomplete short middle intended for Darren Waller (defended by Devin McCourty),3.840,3.140
3,11:32,3,6,NWE 22,10,13,Derek Carr pass complete short left to Jalen Richard for no gain (tackle by Terrence Brooks),3.140,2.020
3,10:48,4,6,NWE 22,10,13,Daniel Carlson 41 yard field goal no good,2.020,-1.000
3,10:43,1,10,NWE 31,10,13,Cam Newton pass complete short left to Jakob Johnson for 6 yards,1.000,1.270
3,10:07,2,4,NWE 37,10,13,Sony Michel right tackle for 38 yards (tackle by Nicholas Morrow),1.270,3.910
3,9:17,1,10,LVR 25,10,13,Cam Newton sacked by Maxx Crosby for -5 yards,3.910,2.690
3,8:34,2,15,LVR 30,10,13,Cam Newton pass complete short right to Rex Burkhead for 15 yards (tackle by Lamarcus Joyner),2.690,4.580
3,7:56,1,10,LVR 15,10,13,J.J. Taylor left end for 6 yards (tackle by Maurice Hurst),4.580,5.030
3,7:10,2,4,LVR 9,10,13,Rex Burkhead right guard for 4 yards (tackle by Daniel Ross),5.030,6.060
3,6:46,1,5,LVR 5,10,19,"Rex Burkhead left guard for 5 yards, touchdown",6.060,7.000
3,6:41,,,LVR 15,10,20,Nick Folk kicks extra point good,0.000,0.000
3,6:41,,,NWE 35,10,20,"Jake Bailey kicks off 64 yards, returned by Jalen Richard for 22 yards (tackle by Cody Davis and Jonathan Jones)",0.000,0.480
3,6:35,,,,,,Timeout #2 by New England Patriots,,
3,6:35,1,10,LVR 23,10,20,Derek Carr pass complete short left to Josh Jacobs for 3 yards (tackle by Adrian Phillips),0.480,0.340
3,5:57,2,7,LVR 26,10,20,Josh Jacobs left end for 3 yards (tackle by Deatrich Wise),0.340,0.040
3,5:16,3,4,LVR 29,10,20,Derek Carr pass incomplete short left intended for Nelson Agholor (defended by Jonathan Jones),0.040,-1.440
3,5:12,4,4,LVR 29,10,20,"AJ Cole punts 46 yards, fair catch by Damiere Byrd at NE-25",-1.440,-0.610
3,5:04,1,10,NWE 25,10,20,Cam Newton pass complete short left to Rex Burkhead for 6 yards (tackle by Carl Nassib and Nicholas Morrow),0.610,0.870
3,4:22,2,4,NWE 31,10,20,Cam Newton pass complete short right to Julian Edelman for 8 yards (tackle by Raekwon McMillan),0.870,1.530
3,3:45,1,10,NWE 39,10,20,Sony Michel left tackle for 48 yards (tackle by Raekwon McMillan),1.530,4.710
3,2:53,1,10,LVR 13,10,20,J.J. Taylor right end for -1 yards (tackle by Cory Littleton),4.710,3.900
3,2:12,2,11,LVR 14,10,20,Cam Newton pass incomplete short middle intended for J.J. Taylor,3.900,3.080
3,2:08,3,11,LVR 14,10,20,Cam Newton right guard for no gain (tackle by Daniel Ross),3.080,2.510
3,1:31,4,11,LVR 14,10,23,Nick Folk 32 yard field goal good,2.510,3.000
3,1:28,,,NWE 35,10,23,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
3,1:28,1,10,LVR 25,10,23,Derek Carr pass complete deep left to Foster Moreau for 24 yards (tackle by Terrence Brooks),0.610,2.190
3,0:51,1,10,LVR 49,10,23,Josh Jacobs left guard for 2 yards (tackle by Deatrich Wise and Lawrence Guy),2.190,1.920
3,0:24,2,8,NWE 49,10,23,Derek Carr pass complete short left to Alec Ingold for 11 yards (tackle by Ja'Whaun Bentley),1.920,3.050
Quarter,Time,Down,ToGo,Location,LVR,NWE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NWE 38,10,23,Derek Carr pass complete short middle to Zay Jones for 13 yards (tackle by Adrian Phillips),3.050,3.910
4,14:22,1,10,NWE 25,10,23,Josh Jacobs right tackle for -1 yards (tackle by Adam Butler),3.910,3.230
4,13:43,2,11,NWE 26,10,23,Derek Carr pass complete short right to Josh Jacobs for 5 yards (tackle by Adrian Phillips),3.230,3.200
4,13:02,3,6,NWE 21,10,23,Derek Carr right end for 9 yards (tackle by Ja'Whaun Bentley),3.200,4.780
4,12:30,,,,,,Timeout #3 by New England Patriots,,
4,12:30,1,10,NWE 12,10,23,Josh Jacobs up the middle for 3 yards (tackle by Terrence Brooks and Lawrence Guy),4.780,4.640
4,11:54,2,7,NWE 9,10,23,Derek Carr pass incomplete short middle intended for Darren Waller (defended by Devin McCourty),4.640,3.700
4,11:51,3,7,NWE 9,10,23,Derek Carr pass complete short left to Jalen Richard for 2 yards,3.700,2.980
4,11:25,4,5,NWE 7,13,23,Daniel Carlson 25 yard field goal good,2.980,3.000
4,11:22,,,LVR 35,13,23,"Daniel Carlson kicks off 68 yards, returned by Kyle Dugger for 17 yards (tackle by Jeff Heath and Keisean Nixon)",0.000,-0.280
4,11:17,1,10,NWE 14,13,23,Sony Michel up the middle for 2 yards (tackle by Johnathan Hankins and Cory Littleton),-0.280,-0.510
4,10:41,2,8,NWE 16,13,23,"Cam Newton pass incomplete short right. Penalty on Nevin Lawson: Defensive Holding, 5 yards (no play)",-0.510,0.340
4,10:33,1,10,NWE 21,13,23,Cam Newton pass complete short middle to Damiere Byrd for -1 yards (tackle by Lamarcus Joyner),0.340,-0.340
4,9:53,2,11,NWE 20,13,23,Cam Newton pass complete short left to N'Keal Harry for 27 yards (tackle by Erik Harris),-0.340,2.060
4,9:04,1,10,NWE 47,13,23,Cam Newton pass incomplete deep left intended for Julian Edelman,2.060,1.520
4,8:56,2,10,NWE 47,13,23,Cam Newton pass complete short left to Rex Burkhead for 11 yards (tackle by Nicholas Morrow),1.520,2.790
4,8:07,1,10,LVR 42,13,23,J.J. Taylor left guard for 2 yards (tackle by Raekwon McMillan and Carl Nassib),2.790,2.510
4,7:26,2,8,LVR 40,13,23,Cam Newton left guard for 21 yards (tackle by Nevin Lawson),2.510,4.310
4,6:34,1,10,LVR 19,13,23,Sony Michel right tackle for 3 yards (tackle by Jeff Heath),4.310,4.180
4,5:46,2,7,LVR 16,13,23,Rex Burkhead left end for 14 yards (tackle by Erik Harris and Nevin Lawson),4.180,6.740
4,5:24,1,2,LVR 2,13,29,"Rex Burkhead left guard for 2 yards, touchdown",6.740,7.000
4,5:17,,,LVR 15,13,29,Nick Folk kicks extra point no good wide right,0.000,-1.000
4,5:17,,,NWE 35,13,29,"Jake Bailey kicks off 66 yards, returned by Jalen Richard for 12 yards (tackle by Justin Bethel). Penalty on Devontae Booker: Illegal Block Above the Waist, 5 yards",0.000,-0.380
4,5:13,1,10,LVR 6,13,35,"Derek Carr sacked by Shilique Calhoun for -6 yards. Derek Carr fumbles (forced by Shilique Calhoun), recovered by Deatrich Wise at LV--1, touchdown",-0.380,-7.000
4,5:09,,,LVR 15,13,36,Nick Folk kicks extra point good,0.000,0.000
4,5:09,,,NWE 35,13,36,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
4,5:09,1,10,LVR 25,13,36,Derek Carr pass complete short middle to Hunter Renfrow for 7 yards (tackle by Jonathan Jones),0.610,1.010
4,4:46,2,3,LVR 32,13,36,Derek Carr pass complete short left to Hunter Renfrow for 10 yards (tackle by Kyle Dugger),1.010,1.730
4,4:21,1,10,LVR 42,13,36,Derek Carr pass incomplete deep left intended for Hunter Renfrow (defended by Jonathan Jones),1.730,1.190
4,4:15,2,10,LVR 42,13,36,Derek Carr pass complete short right to Darren Waller for 8 yards,1.190,1.550
4,4:06,3,2,LVR 50,13,36,Jalen Richard left guard for 14 yards (tackle by Jason McCourty and Devin McCourty),1.550,3.180
4,3:36,1,10,NWE 36,13,36,Derek Carr pass complete short right to Zay Jones for 12 yards (tackle by Adrian Phillips),3.180,3.970
4,3:02,1,10,NWE 24,13,36,Derek Carr pass complete short left to Darren Waller for 1 yard (tackle by J.C. Jackson),3.970,3.570
4,2:54,,,,,,Timeout #1 by Las Vegas Raiders,,
4,2:54,2,9,NWE 23,13,36,Derek Carr pass complete short left to Zay Jones for 7 yards (tackle by Jonathan Jones),3.570,3.950
4,2:27,3,2,NWE 16,13,36,Devontae Booker left guard for 3 yards (tackle by Devin McCourty and Adam Butler),3.950,4.710
4,2:00,1,10,NWE 13,19,36,"Derek Carr pass complete short left to Hunter Renfrow for 13 yards, touchdown",4.710,7.000
4,1:54,,,NWE 15,20,36,Daniel Carlson kicks extra point good,0.000,0.000
4,1:54,,,LVR 35,20,36,"Daniel Carlson kicks onside 10 yards, returned by Cody Davis for no gain",0.000,2.590
4,1:53,1,10,LVR 45,20,36,Cam Newton up the middle for 1 yard (tackle by Johnathan Abram),2.590,2.180
4,1:09,2,9,LVR 44,20,36,Cam Newton kneels for -1 yards,2.180,1.360
4,0:34,3,10,LVR 45,20,36,Cam Newton kneels for -1 yards,1.360,0.200
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
