Quarter,Time,Down,ToGo,Location,IND,STL,Detail,EPB,EPA
2,14:19,4,2,IND 12,14,3,"Pat McAfee punts 53 yards, returned by Danny Amendola for 10 yards (tackle by Melvin Bullitt)",-2.490,-1.930
2,14:04,1,10,STL 45,14,3,Steven Jackson right guard for 3 yards (tackle by Antoine Bethea and Dwight Freeney),1.930,1.790
2,13:27,2,7,STL 48,14,3,Marc Bulger pass complete short left to Danny Amendola for 1 yard (tackle by Clint Session),1.790,1.220
2,12:47,3,6,STL 49,14,3,Marc Bulger pass incomplete short middle intended for Daniel Fells,1.220,-0.130
2,12:39,4,6,STL 49,14,3,"Donnie Jones punts 37 yards, fair catch by T.J. Rushing",-0.130,0.280
2,12:31,1,10,IND 14,14,3,Joseph Addai right tackle for 3 yards (tackle by Leger Douzable),-0.280,-0.370
2,11:53,2,7,IND 17,14,3,"Peyton Manning pass complete short right to Pierre Garcon for 15 yards (tackle by Ronald Bartell). Pierre Garcon fumbles (forced by Ronald Bartell), recovered by Austin Collie at IND-35",-0.370,1.270
2,11:05,1,10,IND 35,14,3,Joseph Addai left end for 5 yards (tackle by Ronald Bartell),1.270,1.400
2,10:29,2,5,IND 40,14,3,Peyton Manning pass incomplete deep middle intended for Dallas Clark,1.400,0.700
2,10:24,3,5,IND 40,14,3,Peyton Manning pass complete short middle to Reggie Wayne for 7 yards (tackle by Quincy Butler),0.700,2.060
2,9:52,1,10,IND 47,14,3,Joseph Addai left end for 2 yards (tackle by James Laurinaitis),2.060,1.790
2,9:11,2,8,IND 49,14,3,Joseph Addai right end for 2 yards,1.790,1.360
2,8:30,3,6,STL 49,14,3,Peyton Manning pass complete short right to Pierre Garcon for 5 yards (tackle by Bradley Fletcher),1.360,0.330
2,7:51,4,1,STL 44,14,3,"Pat McAfee punts 36 yards, fair catch by Danny Amendola",0.330,0.380
2,7:41,1,10,STL 8,14,3,Steven Jackson middle for 3 yards (tackle by Gary Brackett),-0.380,-0.560
2,7:08,2,7,STL 11,14,3,Marc Bulger sacked by Dwight Freeney for -9 yards,-0.560,-2.120
2,6:34,3,16,STL 2,14,3,Steven Jackson right guard for 4 yards (tackle by Eric Foster),-2.120,-2.490
2,5:53,4,12,STL 6,14,3,"Donnie Jones punts 46 yards, returned by T.J. Rushing for 11 yards (tackle by Kenneth Darby)",-2.490,-2.850
2,5:39,1,10,STL 41,14,3,Peyton Manning pass incomplete deep right intended for Pierre Garcon,2.850,2.310
2,5:32,2,10,STL 41,14,3,Donald Brown middle for 13 yards (tackle by James Laurinaitis),2.310,3.710
2,4:58,1,10,STL 28,14,3,Joseph Addai left tackle for 3 yards (tackle by Quincy Butler),3.710,3.570
2,4:23,2,7,STL 25,14,3,Peyton Manning pass complete short middle to Dallas Clark for 6 yards (tackle by Craig Dahl),3.570,3.720
2,3:41,3,1,STL 19,14,3,Joseph Addai left tackle for 4 yards,3.720,4.580
2,3:06,1,10,STL 15,14,3,Joseph Addai right end for no gain (tackle by Bradley Fletcher),4.580,3.950
2,2:34,2,10,STL 15,14,3,Peyton Manning pass complete short middle to Austin Collie for 9 yards (tackle by Bradley Fletcher and Craig Dahl),3.950,4.900
2,2:00,3,1,STL 6,20,3,"Joseph Addai right tackle for 6 yards, touchdown",4.900,7.000
2,,,,STL 2,21,3,Matt Stover kicks extra point good,0.000,0.000
2,,,,IND 30,21,3,"Pat McAfee kicks off 68 yards, returned by Danny Amendola for 27 yards (tackle by Jamie Silva)",0.000,0.870
2,1:51,1,10,STL 29,21,3,Steven Jackson right guard for 9 yards (tackle by Melvin Bullitt),0.870,1.540
2,1:31,2,1,STL 38,21,3,Marc Bulger pass complete short left to Keenan Burton for 5 yards (tackle by Jacob Lacey),1.540,1.800
2,1:26,1,10,STL 43,21,3,Marc Bulger pass complete short right to Keenan Burton for 12 yards (tackle by Antoine Bethea),1.800,2.590
2,1:20,,,,21,3,Timeout #1 by Los Angeles Rams,0.000,2.590
2,1:20,1,10,IND 45,21,3,Steven Jackson middle for 4 yards (tackle by Raheem Brock),2.590,2.580
2,0:59,2,6,IND 41,21,3,Marc Bulger sacked by Eric Foster and Robert Mathis for -4 yards,2.580,1.360
2,0:52,,,,21,3,Timeout #2 by Los Angeles Rams,0.000,1.360
2,0:52,3,10,IND 45,21,3,Marc Bulger pass incomplete short middle intended for Steven Jackson,1.360,0.270
2,0:47,4,10,IND 45,21,3,"Donnie Jones punts 32 yards, fair catch by T.J. Rushing. Penalty on Aaron Francisco: Offensive Holding, 6 yards",0.270,0.380
2,0:38,1,10,IND 7,21,3,Peyton Manning kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,IND,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 30,21,3,"Pat McAfee kicks off 73 yards, returned by Danny Amendola for 38 yards (tackle by Ramon Humber)",0.000,1.270
3,14:53,1,10,STL 35,21,3,"Marc Bulger pass incomplete short right intended for Steven Jackson. Penalty on Alex Barron: Offensive Holding, 10 yards (no play)",1.270,0.610
3,14:49,1,20,STL 25,21,3,Steven Jackson left tackle for 11 yards (tackle by Jerraud Powers),0.610,0.860
3,14:10,2,9,STL 36,21,3,Marc Bulger pass complete short right to Randy McMichael for 7 yards (tackle by Tyjuan Hagler),0.860,1.090
3,13:32,3,2,STL 43,21,3,Marc Bulger pass complete short right to Donnie Avery for 8 yards (tackle by Kelvin Hayden),1.090,2.320
3,12:58,1,10,IND 49,21,3,Steven Jackson left guard for 3 yards (tackle by Daniel Muir),2.320,2.190
3,12:23,2,7,IND 46,21,3,"Penalty on Alex Barron: False Start, 5 yards (no play)",2.190,1.510
3,12:07,2,12,STL 49,21,3,Marc Bulger pass incomplete short middle intended for Donnie Avery (defended by Tyjuan Hagler),1.510,0.830
3,11:57,3,12,STL 49,21,3,Marc Bulger pass complete short left to Steven Jackson for -1 yards (tackle by Eric Foster),0.830,-0.190
3,11:22,4,13,STL 48,21,3,Donnie Jones punts 50 yards,-0.190,0.380
3,11:07,1,10,IND 2,21,3,Peyton Manning pass complete short right to Gijon Robinson for 10 yards (tackle by Paris Lenon),-0.380,-0.350
3,10:38,1,10,IND 12,21,3,Joseph Addai right tackle for 2 yards (tackle by Clifton Ryan),-0.350,-0.610
3,10:01,2,8,IND 14,21,3,Peyton Manning pass incomplete short middle intended for Austin Collie,-0.610,-1.190
3,9:50,3,8,IND 14,21,3,Peyton Manning pass complete short left to Austin Collie for 2 yards,-1.190,-2.390
3,9:13,4,6,IND 16,21,3,"Pat McAfee punts 50 yards, returned by Danny Amendola for 6 yards (tackle by T.J. Rushing)",-2.390,-1.600
3,9:03,1,10,STL 40,21,3,Steven Jackson right tackle for 12 yards (tackle by Daniel Muir),1.600,2.390
3,8:31,1,10,IND 48,21,3,Steven Jackson right guard for 11 yards (tackle by Antoine Bethea),2.390,3.120
3,7:46,1,10,IND 37,21,3,Steven Jackson right tackle for 13 yards (tackle by Kelvin Hayden),3.120,3.970
3,7:03,1,10,IND 24,21,3,Samkon Gado left guard for -1 yards (tackle by Robert Mathis),3.970,3.300
3,6:28,2,11,IND 25,21,3,Marc Bulger sacked by Daniel Muir and Clint Session for -10 yards,3.300,1.290
3,5:56,3,21,IND 35,21,3,Steven Jackson left guard for 8 yards (tackle by Antoine Bethea),1.290,1.670
3,5:13,4,13,IND 27,21,6,Josh Brown 45 yard field goal good,1.670,3.000
3,,,,STL 30,21,6,"Josh Brown kicks off 72 yards, returned by Chad Simpson for 33 yards (tackle by Anthony Smith)",0.000,1.000
3,5:01,1,10,IND 31,21,6,Joseph Addai right end for 2 yards (tackle by Bradley Fletcher),1.000,0.730
3,4:38,2,8,IND 33,21,6,Peyton Manning pass complete short middle to Joseph Addai for 3 yards,0.730,0.430
3,4:04,3,5,IND 36,21,6,Peyton Manning pass complete short middle to Reggie Wayne for 7 yards (tackle by Ronald Bartell),0.430,1.800
3,3:32,1,10,IND 43,21,6,Joseph Addai right end for -2 yards (tackle by Bradley Fletcher),1.800,0.980
3,3:04,2,12,IND 41,21,6,Peyton Manning pass complete short right to Pierre Garcon for 4 yards (tackle by LaJuan Ramsey),0.980,0.830
3,2:43,3,8,IND 45,21,6,Peyton Manning pass complete short left to Austin Collie for 17 yards (tackle by Ronald Bartell),0.830,3.050
3,2:02,1,10,STL 38,21,6,Peyton Manning pass incomplete deep middle intended for Pierre Garcon,3.050,2.510
3,1:55,2,10,STL 38,21,6,Peyton Manning pass incomplete short right intended for Pierre Garcon,2.510,1.820
3,1:51,3,10,STL 38,21,6,Peyton Manning pass incomplete deep left intended for Reggie Wayne,1.820,0.720
3,1:47,4,10,STL 38,21,6,"Pat McAfee punts 28 yards, fair catch by Danny Amendola",0.720,0.380
3,1:39,1,10,STL 10,21,6,Steven Jackson left tackle for 14 yards (tackle by Melvin Bullitt),-0.380,0.540
3,1:10,1,10,STL 24,27,6,"Marc Bulger pass incomplete short right intended for Keenan Burton is intercepted by Jacob Lacey at STL-35 and returned for 35 yards, touchdown. Penalty on Jacob Lacey: Unsportsmanlike Conduct, 15 yards",0.540,-7.000
3,,,,STL 2,28,6,Matt Stover kicks extra point good,0.000,0.000
3,,,,IND 15,28,6,"Pat McAfee kicks off 73 yards, returned by Danny Amendola for 26 yards (tackle by Jacob Tamme)",0.000,1.470
3,0:53,1,10,STL 38,28,6,Steven Jackson middle for 9 yards (tackle by Daniel Muir),1.470,2.140
3,0:16,2,1,STL 47,28,6,Steven Jackson middle for 14 yards (tackle by Melvin Bullitt),2.140,2.980
Quarter,Time,Down,ToGo,Location,IND,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,IND 39,28,6,Marc Bulger pass complete short right to Randy McMichael for 2 yards (tackle by Kelvin Hayden),2.980,2.710
4,14:23,2,8,IND 37,28,6,Steven Jackson middle for 1 yard (tackle by Robert Mathis),2.710,2.150
4,13:47,3,7,IND 36,28,6,Marc Bulger pass complete short left to Keenan Burton for 11 yards (tackle by Jacob Lacey),2.150,3.910
4,13:19,1,10,IND 25,28,6,Marc Bulger pass complete short right to Danny Amendola for 8 yards (tackle by Antoine Bethea),3.910,4.550
4,12:40,2,2,IND 17,28,6,Marc Bulger pass complete short left to Danny Amendola for 3 yards (tackle by Jerraud Powers),4.550,4.650
4,11:59,1,10,IND 14,28,6,Steven Jackson left tackle for no gain (tackle by Clint Session),4.650,4.000
4,11:21,2,10,IND 14,28,6,Steven Jackson middle for 3 yards (tackle by Fili Moala),4.000,3.620
4,10:44,3,7,IND 11,28,6,Marc Bulger pass incomplete short right intended for Randy McMichael,3.620,2.700
4,10:36,4,7,IND 11,28,6,Marc Bulger pass incomplete short right intended for Keenan Burton is intercepted by Kelvin Hayden at IND-1 and returned for 6 yards,2.700,0.380
4,10:29,1,10,IND 7,28,6,Joseph Addai left end for 4 yards (tackle by Chris Long),-0.380,-0.490
4,10:05,2,6,IND 11,28,6,Peyton Manning pass complete short right to Gijon Robinson for 9 yards (tackle by Larry Grant),-0.490,0.280
4,9:40,1,10,IND 20,28,6,Joseph Addai left tackle for 12 yards (tackle by O.J. Atogwe),0.280,1.070
4,8:57,1,10,IND 32,28,6,Peyton Manning pass complete short left to Chad Simpson for 2 yards (tackle by James Butler),1.070,0.800
4,8:31,2,8,IND 34,28,6,"Chad Simpson right tackle for 1 yard (tackle by James Laurinaitis). Penalty on Darell Scott: Defensive 12 On-field, 5 yards (no play)",0.800,1.470
4,8:12,2,3,IND 39,28,6,Peyton Manning pass complete short left to Hank Baskett for 5 yards (tackle by James Laurinaitis),1.470,1.860
4,7:25,1,10,IND 44,28,6,Joseph Addai right tackle for 7 yards (tackle by O.J. Atogwe),1.860,2.260
4,6:43,2,3,STL 49,28,6,Peyton Manning pass incomplete deep right intended for Pierre Garcon (defended by Bradley Fletcher),2.260,1.550
4,6:36,3,3,STL 49,28,6,Joseph Addai right tackle for 4 yards (tackle by O.J. Atogwe),1.550,2.590
,,,,,,,"IND challenged the first down ruling, and the original play was overturned.",,
4,5:36,1,10,STL 45,28,6,Chad Simpson left tackle for 1 yard (tackle by Chris Long),2.590,2.180
4,4:47,2,9,STL 44,28,6,Chad Simpson right tackle for 3 yards (tackle by Leger Douzable),2.180,1.880
4,4:04,3,6,STL 41,28,6,"Peyton Manning pass complete short right to Pierre Garcon for 7 yards. Penalty on Pierre Garcon: Offensive Pass Interfere, 10 yards (no play)",1.880,0.560
4,3:52,3,16,IND 49,28,6,"Peyton Manning pass incomplete deep middle intended for Pierre Garcon. Penalty on O.J. Atogwe: Defensive Pass Interfere, 43 yards (no play)",0.560,5.370
4,3:46,1,8,STL 8,34,6,"Peyton Manning pass complete short middle to Austin Collie for 8 yards, touchdown",5.370,7.000
4,,,,STL 2,35,6,Matt Stover kicks extra point good,0.000,0.000
4,,,,IND 30,35,6,"Pat McAfee kicks off 69 yards, returned by Danny Amendola for 21 yards (tackle by Jamie Silva)",0.000,0.410
4,3:37,1,10,STL 22,35,6,Steven Jackson left guard for 2 yards (tackle by Daniel Muir),0.410,0.140
4,3:09,2,8,STL 24,35,6,Marc Bulger pass complete short middle to Daniel Fells for 7 yards (tackle by Freddy Keiaho),0.140,0.370
4,3:09,3,1,STL 31,35,6,Marc Bulger pass incomplete deep left intended for Keenan Burton,0.370,-1.310
4,2:41,4,1,STL 31,35,6,Marc Bulger pass incomplete short right intended for Donnie Avery,-1.310,-3.510
4,2:37,1,10,STL 31,41,6,"Chad Simpson left end for 31 yards, touchdown",3.510,7.000
4,,,,STL 2,42,6,Matt Stover kicks extra point good,0.000,0.000
4,,,,IND 30,42,6,"Pat McAfee kicks off 70 yards, returned by Danny Amendola for 21 yards (tackle by T.J. Rushing)",0.000,0.340
4,2:24,1,10,STL 21,42,6,Kenneth Darby left tackle for 3 yards (tackle by Ramon Humber),0.340,0.210
4,2:00,2,7,STL 24,42,6,Kenneth Darby right tackle for 2 yards (tackle by Jacob Lacey),0.210,-0.230
4,1:28,3,5,STL 26,42,6,Samkon Gado middle for 6 yards (tackle by Aaron Francisco),-0.230,1.070
4,0:54,1,10,STL 32,42,6,Samkon Gado middle for 2 yards (tackle by Philip Wheeler),1.070,0.800
4,0:17,2,8,STL 34,42,6,Samkon Gado middle for -2 yards (tackle by Ramon Humber),0.800,-0.160
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
