Quarter,Time,Down,ToGo,Location,DAL,ARI,Detail,EPB,EPA
2,6:42,2,10,ARI 36,0,3,Tony Romo pass complete short left to Kevin Ogletree for 4 yards (tackle by Daryl Washington),2.640,2.480
2,6:00,3,6,ARI 32,0,3,Tony Romo pass incomplete deep left intended for Felix Jones,2.480,1.250
2,5:55,4,6,ARI 32,3,3,Dan Bailey 50 yard field goal good,1.250,3.000
2,,,,DAL 35,3,3,"Dan Bailey kicks off 72 yards, returned by LaRod Stephens-Howling for 20 yards (tackle by Danny McCray)",0.000,-0.320
2,5:44,1,10,ARI 13,3,3,Chris Wells right end for -1 yards (tackle by Anthony Spencer),-0.320,-0.850
2,5:02,2,11,ARI 12,3,3,Kevin Kolb sacked by DeMarcus Ware for -10 yards,-0.850,-2.710
2,4:24,3,21,ARI 2,3,3,Kevin Kolb pass incomplete short right intended for Early Doucet (defended by Orlando Scandrick),-2.710,-2.490
2,4:18,4,21,ARI 2,3,3,"Dave Zastudil punts 45 yards, returned by Dez Bryant for 14 yards (tackle by Sean Considine)",-2.490,-3.380
2,4:06,1,10,ARI 33,3,3,Tony Romo pass incomplete short right intended for Dez Bryant (defended by Patrick Peterson),3.380,2.840
2,3:59,,,,3,3,Timeout #1 by Arizona Cardinals,0.000,2.840
2,3:59,2,10,ARI 33,3,3,Tony Romo pass complete deep left to Jason Witten for 28 yards (tackle by Rashad Johnson),2.840,6.060
2,3:14,1,5,ARI 5,9,3,"Tony Romo pass complete short middle to Dez Bryant for 5 yards, touchdown",6.060,7.000
2,,,,ARI 2,10,3,Dan Bailey kicks extra point good,0.000,0.000
2,,,,DAL 35,10,3,"Dan Bailey kicks off 65 yards, touchback",0.000,0.280
2,3:09,1,10,ARI 20,10,3,Kevin Kolb pass complete short right to Larry Fitzgerald for 9 yards (tackle by Orlando Scandrick),0.280,0.950
2,2:44,2,1,ARI 29,10,3,Kevin Kolb pass complete short left to Early Doucet for -2 yards (tackle by Frank Walker),0.950,-0.030
2,2:41,,,,10,3,Timeout #2 by Dallas Cowboys,0.000,-0.030
2,2:41,3,3,ARI 27,10,3,Kevin Kolb pass complete short left to Early Doucet for 2 yards (tackle by Danny McCray),-0.030,-1.440
2,2:00,4,1,ARI 29,10,3,"Dave Zastudil punts 50 yards, fair catch by Dez Bryant",-1.440,-0.340
2,1:52,1,10,DAL 21,10,3,Tony Romo pass incomplete deep left intended for Kevin Ogletree,0.340,-0.200
2,1:46,2,10,DAL 21,10,3,Felix Jones up the middle for 8 yards (tackle by Paris Lenon),-0.200,0.170
2,1:03,3,2,DAL 29,10,3,Felix Jones up the middle for 4 yards (tackle by Calais Campbell),0.170,1.140
2,0:42,1,10,DAL 33,10,3,Tony Romo pass complete short left to Felix Jones for 7 yards (tackle by Daryl Washington),1.140,1.540
2,0:36,,,,10,3,Timeout #3 by Dallas Cowboys,0.000,1.540
2,0:36,2,3,DAL 40,10,3,Tony Romo pass complete short right to Jason Witten for 5 yards (tackle by Sam Acho),1.540,1.930
2,0:29,1,10,DAL 45,10,3,Tony Romo pass incomplete deep right intended for Dez Bryant,1.930,1.380
2,0:23,2,10,DAL 45,10,3,Tony Romo sacked by Calais Campbell for -7 yards,1.380,-0.230
Quarter,Time,Down,ToGo,Location,DAL,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,10,3,"Dan Bailey kicks off 70 yards, returned by LaRod Stephens-Howling for 26 yards (tackle by Barry Church)",0.000,0.340
3,14:54,1,10,ARI 21,10,3,Kevin Kolb pass complete short right to Larry Fitzgerald for 14 yards (tackle by Terence Newman),0.340,1.270
3,14:23,1,10,ARI 35,10,3,Chris Wells up the middle for 4 yards (tackle by Kenyon Coleman),1.270,1.260
3,13:49,2,6,ARI 39,10,3,Chris Wells left tackle for 9 yards (tackle by Keith Brooking),1.260,2.130
3,13:14,1,10,ARI 48,10,3,Kevin Kolb pass complete short left to Larry Fitzgerald for 18 yards (tackle by Gerald Sensabaugh),2.130,3.310
3,12:37,1,10,DAL 34,10,3,Chris Wells up the middle for 7 yards (tackle by Abram Elam and Sean Lee),3.310,3.720
3,12:00,2,3,DAL 27,10,3,LaRod Stephens-Howling left tackle for 1 yard (tackle by Sean Lissemore),3.720,3.140
3,11:21,3,2,DAL 26,10,3,Chris Wells up the middle for 4 yards (tackle by Sean Lee),3.140,4.110
3,10:38,1,10,DAL 22,10,3,Kevin Kolb right end for 17 yards (tackle by Orlando Scandrick),4.110,6.060
3,9:56,1,5,DAL 5,10,3,Chris Wells up the middle for 1 yard (tackle by Kenyon Coleman),6.060,5.340
3,9:16,2,4,DAL 4,10,3,Kevin Kolb pass incomplete short middle intended for Early Doucet (defended by Sean Lee),5.340,4.490
3,9:11,3,4,DAL 4,10,3,Kevin Kolb up the middle for 3 yards (tackle by Sean Lee and Jay Ratliff),4.490,3.550
3,8:29,4,1,DAL 1,10,3,"Penalty on Brandon Keith: False Start, 4 yards (no play)",3.550,3.010
3,8:21,4,5,DAL 5,10,6,Jay Feely 23 yard field goal good,3.010,3.000
3,,,,ARI 35,10,6,"Jay Feely kicks off 71 yards, returned by Felix Jones for 22 yards (tackle by Early Doucet)",0.000,-0.140
3,8:13,1,10,DAL 16,10,6,Tony Romo pass complete short left to Laurent Robinson for 4 yards (tackle by Richard Marshall),-0.140,0.010
3,7:40,2,6,DAL 20,10,6,DeMarco Murray left end for 4 yards (tackle by Paris Lenon),0.010,-0.320
3,6:56,3,2,DAL 24,10,6,Tony Romo pass complete short middle to Dez Bryant for 10 yards (tackle by Daryl Washington),-0.320,1.200
3,6:14,1,10,DAL 34,10,6,Tony Romo pass incomplete deep right intended for Dez Bryant (defended by Patrick Peterson),1.200,0.660
3,6:06,2,10,DAL 34,10,6,Tony Romo pass complete short middle to Jesse Holley for 18 yards (tackle by Richard Marshall),0.660,2.390
3,5:31,1,10,ARI 48,10,6,DeMarco Murray right end for no gain (tackle by Patrick Peterson),2.390,1.850
3,4:54,2,10,ARI 48,10,6,Tony Romo pass complete short right to Jason Witten for 11 yards (tackle by Clark Haggans),1.850,3.120
3,4:16,1,10,ARI 37,10,6,Tony Romo pass complete short left to Shaun Chapas for 9 yards (tackle by A.J. Jefferson),3.120,3.790
3,3:27,2,1,ARI 28,10,6,Felix Jones up the middle for 11 yards (tackle by Rashad Johnson),3.790,4.440
3,2:42,1,10,ARI 17,10,6,Tony Romo sacked by O'Brien Schofield for -7 yards,4.440,2.950
3,2:06,,,,10,6,Timeout #1 by Dallas Cowboys,0.000,2.950
3,2:06,2,17,ARI 24,10,6,Tony Romo pass complete short right to John Phillips for 1 yard (tackle by Clark Haggans),2.950,2.410
3,1:20,3,16,ARI 23,10,6,Tony Romo pass complete short left to Jason Witten for 4 yards (tackle by Adrian Wilson),2.410,2.180
3,0:39,4,12,ARI 19,13,6,Dan Bailey 37 yard field goal good,2.180,3.000
3,,,,DAL 35,13,6,"Dan Bailey kicks off 64 yards, returned by LaRod Stephens-Howling for 20 yards (tackle by Alex Albright)",0.000,0.340
3,0:28,1,10,ARI 21,13,6,Chris Wells up the middle for 6 yards (tackle by Jason Hatcher),0.340,0.610
Quarter,Time,Down,ToGo,Location,DAL,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,ARI 27,13,6,Kevin Kolb pass complete deep left to Andre Roberts for 40 yards (tackle by Terence Newman),0.610,3.380
4,14:28,1,10,DAL 33,13,6,Chris Wells up the middle for 7 yards (tackle by DeMarcus Ware),3.380,3.780
4,13:52,2,3,DAL 26,13,6,Kevin Kolb pass incomplete deep right intended for Larry Fitzgerald,3.780,3.070
4,13:45,3,3,DAL 26,13,6,Kevin Kolb pass complete short left to Andre Roberts for 22 yards (tackle by Abram Elam),3.070,6.280
4,13:15,1,4,DAL 4,13,12,"Chris Wells up the middle for 4 yards, touchdown",6.280,7.000
,,,,,,,"Replay Assistant challenged the runner was down by contact ruling, and the play was upheld.",,
4,,,,DAL 2,13,13,Jay Feely kicks extra point good,0.000,0.000
4,,,,ARI 35,13,13,"Jay Feely kicks off 69 yards, returned by Felix Jones for 21 yards (tackle by Reggie Walker)",0.000,-0.060
4,13:00,1,10,DAL 17,13,13,Tony Romo pass complete short right to Dez Bryant for 14 yards,-0.060,1.000
4,12:42,1,10,DAL 31,13,13,DeMarco Murray up the middle for 6 yards (tackle by Daryl Washington),1.000,1.270
4,12:10,2,4,DAL 37,13,13,Tony Romo pass complete short left to Dez Bryant for 8 yards (tackle by Patrick Peterson). Penalty on Adrian Wilson: Illegal Contact (Declined),1.270,1.930
4,11:51,1,10,DAL 45,13,13,"Tony Romo for no gain. Tony Romo fumbles, recovered by DeMarco Murray at DAL-42",1.930,0.980
4,11:12,2,13,DAL 42,13,13,Tony Romo pass complete short left to John Phillips for 8 yards (tackle by O'Brien Schofield),0.980,1.360
4,10:25,3,5,,13,13,Tony Romo sacked by Clark Haggans for -6 yards,1.360,-0.460
4,10:07,4,11,DAL 44,13,13,"Penalty on John Phillips: False Start, 5 yards (no play)",-0.460,-0.780
4,10:00,4,16,DAL 39,13,13,Mat McBriar punts 42 yards (tackle by Danny McCray),-0.780,-0.280
4,9:51,1,10,ARI 20,13,13,Chris Wells left end for 5 yards (tackle by Mike Jenkins),0.280,0.410
4,9:24,2,5,ARI 25,13,13,Kevin Kolb pass incomplete short right intended for Larry Fitzgerald,0.410,-0.300
4,9:19,3,5,ARI 25,13,13,Kevin Kolb pass complete short middle to Larry Fitzgerald for 14 yards (tackle by Terence Newman and Gerald Sensabaugh). Penalty on Frank Walker: Defensive Holding (Declined),-0.300,1.530
4,8:58,1,10,ARI 39,13,13,Chris Wells up the middle for 1 yard (tackle by Kenyon Coleman),1.530,1.120
4,8:21,2,9,ARI 40,13,13,Kevin Kolb sacked by Anthony Spencer for -2 yards,1.120,0.170
4,7:43,3,11,ARI 38,13,13,"Penalty on Daryn Colledge: False Start, 5 yards (no play)",0.170,-0.490
4,7:19,3,16,ARI 33,13,13,Kevin Kolb pass complete short middle to Rob Housler for 13 yards (tackle by Abram Elam),-0.490,-0.320
4,6:35,4,3,ARI 46,13,13,"Dave Zastudil punts 54 yards, touchback",-0.320,-0.280
4,6:27,1,10,DAL 20,13,13,Tony Romo pass incomplete short right intended for Laurent Robinson (defended by A.J. Jefferson),0.280,-0.270
4,6:22,2,10,DAL 20,13,13,Tony Romo pass complete deep right to Laurent Robinson for 27 yards (tackle by A.J. Jefferson),-0.270,2.060
4,5:38,1,10,DAL 47,13,13,DeMarco Murray right tackle for 5 yards (tackle by A.J. Jefferson),2.060,2.190
4,4:58,2,5,ARI 48,13,13,Tony Romo pass incomplete deep left intended for Dez Bryant (defended by Patrick Peterson),2.190,1.490
4,4:51,3,5,ARI 48,13,13,Tony Romo pass complete short right to John Phillips for 4 yards (tackle by Richard Marshall),1.490,0.330
4,4:09,4,1,ARI 44,13,13,Mat McBriar punts 39 yards,0.330,0.380
4,3:59,1,10,ARI 5,13,13,Kevin Kolb pass incomplete short right intended for LaRod Stephens-Howling,-0.380,-0.780
4,3:56,2,10,ARI 5,13,13,Chris Wells up the middle for 4 yards (tackle by Sean Lee),-0.780,-0.950
4,3:16,3,6,ARI 9,13,13,Kevin Kolb pass incomplete short left intended for Early Doucet,-0.950,-2.490
4,3:09,4,6,ARI 9,13,13,"Dave Zastudil punts 51 yards, returned by Dez Bryant for 35 yards (tackle by LaRod Stephens-Howling). Penalty on Orlando Scandrick: Illegal Block Above the Waist, 10 yards",-2.490,-1.070
4,2:54,1,10,DAL 32,13,13,Tony Romo pass complete short right to Jesse Holley for 13 yards (tackle by A.J. Jefferson),1.070,1.930
4,2:13,1,10,DAL 45,13,13,Tony Romo pass complete short left to Jason Witten for -1 yards (tackle by Daryl Washington),1.930,1.250
4,1:59,2,11,DAL 44,13,13,Tony Romo pass complete short middle to Kevin Ogletree for 10 yards (tackle by Michael Adams),1.250,1.880
4,1:42,3,1,ARI 46,13,13,Tony Romo up the middle for 1 yard (tackle by Darnell Dockett),1.880,2.590
,,,,,,,"Replay Assistant challenged the first down ruling, and the play was upheld.",,
4,1:06,1,10,ARI 45,13,13,"Penalty on Montrae Holland: False Start, 5 yards (no play)",2.590,2.260
4,1:06,1,15,,13,13,Tony Romo pass incomplete short left intended for Laurent Robinson,2.260,1.370
4,1:01,2,15,,13,13,"Penalty on Tony Romo: Delay of Game, 5 yards (no play)",1.370,0.690
4,1:01,2,20,DAL 45,13,13,Tony Romo pass complete short left to Dez Bryant for 9 yards (tackle by Patrick Peterson),0.690,1.220
4,0:31,3,11,ARI 46,13,13,Tony Romo pass complete short middle to Dez Bryant for 15 yards (tackle by Patrick Peterson),1.220,3.510
4,0:08,1,10,ARI 31,13,13,Tony Romo spiked the ball,3.510,2.970
4,0:07,,,,13,13,Timeout #2 by Dallas Cowboys,0.000,2.970
4,0:07,2,10,ARI 31,13,13,Dan Bailey 49 yard field goal no good,2.970,-1.530
4,0:02,1,10,ARI 39,13,13,Kevin Kolb kneels for no gain,1.530,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,DAL,ARI,Detail,EPB,EPA
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the overtime kickoff.",,
OT,,,,DAL 35,13,13,"Dan Bailey kicks off 65 yards, touchback",0.000,0.280
OT,15:00,1,10,ARI 20,13,13,Kevin Kolb pass complete short right to Andre Roberts for 14 yards (tackle by Sean Lee),0.280,1.200
OT,14:22,1,10,ARI 34,13,13,"Kevin Kolb pass incomplete deep right intended for Rob Housler. Penalty on Daryn Colledge: Offensive Holding, 10 yards (no play)",1.200,0.540
OT,14:13,1,20,ARI 24,13,13,Chris Wells left end for 1 yard (tackle by Orlando Scandrick),0.540,-0.560
OT,13:26,2,19,ARI 25,13,13,"Kevin Kolb pass incomplete short right intended for Andre Roberts. Penalty on Terence Newman: Defensive Pass Interference, 9 yards (no play)",-0.560,1.200
OT,13:23,1,10,ARI 34,13,13,Chris Wells up the middle for 3 yards (tackle by Jay Ratliff),1.200,1.060
OT,12:45,2,7,ARI 37,13,13,Kevin Kolb pass complete deep right to Andre Roberts for 16 yards (tackle by Terence Newman),1.060,2.460
OT,12:16,1,10,DAL 47,13,13,"Penalty on Levi Brown: False Start, 5 yards (no play)",2.460,2.130
OT,11:56,1,15,ARI 48,13,19,"Kevin Kolb pass complete short right to LaRod Stephens-Howling for 52 yards, touchdown",2.130,6.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
