Quarter,Time,Down,ToGo,Location,OAK,CHI,Detail,EPB,EPA
2,7:28,1,10,CHI 19,9,3,Kordell Stewart pass incomplete intended for Dez White,0.150,-0.390
2,7:22,2,10,CHI 19,9,3,"Kordell Stewart pass complete to Desmond Clark for 8 yards (tackle by Eric Barton). Desmond Clark fumbles (forced by Eric Barton), recovered by Charles Woodson at CHI-27 and returned for 3 yards (tackle by Chris Villarrial)",-0.390,-3.970
,,,,,,,"CHI challenged the ruling, and the play was upheld.",,
2,7:13,1,10,CHI 24,9,3,Charlie Garner right end for no gain (tackle by Brian Urlacher),3.970,3.430
2,6:52,2,10,CHI 24,9,3,Rich Gannon pass complete to Charlie Garner for 3 yards (tackle by Michael Green),3.430,3.140
2,6:27,3,7,CHI 21,9,3,Rich Gannon pass incomplete intended for Alvis Whitted,3.140,2.060
2,6:22,4,7,CHI 21,12,3,Sebastian Janikowski 39 yard field goal good,2.060,3.000
2,,,,OAK 30,12,3,"Sebastian Janikowski kicks off 70 yards, touchback",0.000,0.280
2,6:19,1,10,CHI 20,12,3,Kordell Stewart pass incomplete intended for Marty Booker (defended by John Parrella),0.280,-0.270
2,6:16,2,10,CHI 20,12,3,Rabih Abdullah left end for 2 yards (tackle by Roderick Coleman),-0.270,-0.690
2,5:34,3,8,CHI 22,12,3,Kordell Stewart sacked by Trace Armstrong for -6 yards,-0.690,-2.390
2,5:28,4,14,CHI 16,12,3,"Brad Maynard punts 37 yards, returned by Phillip Buchanon for 2 yards (tackle by Hunter Hillenmeyer)",-2.390,-2.190
2,5:16,1,10,OAK 49,12,3,Rich Gannon pass complete to Doug Jolley for 17 yards (tackle by Mike Brown),2.190,3.310
2,4:37,1,10,CHI 34,12,3,Charlie Garner right end for 2 yards (tackle by Warrick Holdman),3.310,3.040
2,3:56,2,8,CHI 32,12,3,Rich Gannon pass incomplete intended for Jerry Rice,3.040,2.350
2,3:51,3,8,CHI 32,12,3,Charlie Garner left end for 17 yards (tackle by Mike Brown),2.350,4.580
2,3:04,1,10,CHI 15,12,3,Rich Gannon pass complete to Doug Jolley for 1 yard (tackle by Brian Urlacher),4.580,4.110
2,2:21,2,9,CHI 14,12,3,Tyrone Wheatley left end for no gain (tackle by Charles Tillman and Warrick Holdman),4.110,3.240
2,2:00,3,9,CHI 14,12,3,Rich Gannon pass incomplete intended for Ronald Curry,3.240,2.510
2,1:54,4,9,CHI 14,15,3,Sebastian Janikowski 32 yard field goal good,2.510,3.000
2,,,,OAK 30,15,3,"Sebastian Janikowski kicks off 68 yards, returned by Jerry Azumah for 19 yards (tackle by Zack Crockett)",0.000,0.340
2,1:45,1,10,CHI 21,15,3,Kordell Stewart pass complete to Dez White for 5 yards (tackle by Terrance Shaw),0.340,0.480
2,1:21,2,5,CHI 26,15,3,Kordell Stewart pass complete to Dez White for 10 yards (tackle by Eric Barton),0.480,1.330
2,1:03,1,10,CHI 36,15,3,Kordell Stewart left end for 6 yards (tackle by Rod Woodson),1.330,1.600
2,0:51,,,,15,3,Timeout #2 by Chicago Bears,0.000,1.600
2,0:51,2,4,CHI 42,15,3,Kordell Stewart pass complete to Marty Booker for 48 yards (tackle by Travian Smith),1.600,4.910
2,0:40,1,10,OAK 10,15,3,"Kordell Stewart pass incomplete intended for Dez White. Penalty on Desmond Clark: Offensive Holding, 10 yards (no play)",4.910,4.240
2,0:36,1,20,OAK 20,15,3,"Kordell Stewart sacked by Tyler Brayton for -2 yards. Penalty on Mike Gandy: Illegal Use of Hands (Declined), Penalty on Chris Villarrial: Offensive Holding, 10 yards (no play)",4.240,3.580
2,0:26,1,30,OAK 30,15,3,Kordell Stewart pass incomplete intended for Marty Booker is intercepted by Charles Woodson at OAK-25 and returned for 51 yards (tackle by Kordell Stewart),3.580,-3.970
2,0:16,1,10,CHI 24,15,3,Rich Gannon pass complete to Zack Crockett for 9 yards (tackle by Brian Urlacher),3.970,4.850
2,0:08,2,1,CHI 15,15,3,Rich Gannon pass incomplete intended for Jerry Rice,4.850,4.170
2,0:03,3,1,CHI 15,18,3,Sebastian Janikowski 33 yard field goal good,4.170,3.000
Quarter,Time,Down,ToGo,Location,OAK,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 30,18,3,"Sebastian Janikowski kicks off 57 yards, returned by Jerry Azumah for 31 yards (tackle by Eric Johnson)",0.000,1.860
3,14:55,1,10,CHI 44,18,3,Anthony Thomas left end for 2 yards (tackle by Napoleon Harris),1.860,1.590
3,14:27,2,8,CHI 46,18,3,Anthony Thomas left guard for 7 yards (tackle by Tyler Brayton),1.590,1.820
3,13:48,3,1,OAK 47,18,3,Anthony Thomas right tackle for 2 yards (tackle by Anthony Dorsett and Eric Barton),1.820,2.590
3,13:08,1,10,OAK 45,18,3,"Anthony Thomas right tackle for no gain (tackle by Roderick Coleman). Penalty on Aaron Gibson: Offensive Holding, 10 yards (no play)",2.590,1.930
3,12:46,1,20,CHI 45,18,3,Kordell Stewart left end for 5 yards (tackle by Napoleon Harris),1.930,1.370
3,12:15,2,15,CHI 50,18,3,"Kordell Stewart pass incomplete is intercepted by Charles Woodson at OAK-38 and returned for 16 yards (tackle by Chris Villarrial). Penalty on Anthony Thomas: Unnecessary Roughness (Declined), Penalty on Olin Kreutz: Unnecessary Roughness, 15 yards",1.370,-3.510
3,12:02,1,10,CHI 31,18,3,Charlie Garner left tackle for 2 yards (tackle by Alfonso Boone and Alex Brown),3.510,3.240
3,11:29,2,8,CHI 29,18,3,Rich Gannon pass incomplete intended for Tim Brown (defended by Charles Tillman),3.240,2.540
3,11:24,3,8,CHI 29,18,3,Rich Gannon pass incomplete intended for Doug Jolley,2.540,1.500
3,11:17,4,8,CHI 29,18,3,"Sebastian Janikowski 47 yard field goal no good, blocked by Phillip Daniels",1.500,-1.400
3,11:08,1,10,CHI 37,18,3,Anthony Thomas left guard for 4 yards (tackle by Napoleon Harris),1.400,1.400
3,10:34,2,6,CHI 41,18,3,Anthony Thomas left end for 2 yards (tackle by John Parrella),1.400,0.960
3,9:51,3,4,CHI 43,18,3,Kordell Stewart pass complete to Desmond Clark for 11 yards (tackle by Travian Smith),0.960,2.520
3,9:07,1,10,OAK 46,18,3,"Penalty on Desmond Clark: False Start, 5 yards (no play)",2.520,2.190
3,8:48,1,15,CHI 49,18,3,Anthony Thomas left end for 11 yards (tackle by Rod Woodson),2.190,2.790
3,8:08,2,4,OAK 40,18,3,Anthony Thomas right tackle for -2 yards (tackle by Napoleon Harris),2.790,1.820
3,7:23,3,6,OAK 42,18,3,Kordell Stewart pass incomplete intended for Desmond Clark (defended by Eric Barton),1.820,0.460
3,7:18,4,6,OAK 42,18,3,"Brad Maynard punts 42 yards, touchback",0.460,-0.280
3,7:05,1,10,OAK 20,18,3,Rich Gannon pass incomplete intended for Tim Brown is intercepted by Alex Brown at OAK-18,0.280,-4.370
3,7:00,1,10,OAK 18,18,3,"Penalty on Steve Edwards: False Start, 5 yards (no play)",4.370,4.040
3,7:00,1,15,OAK 23,18,3,Anthony Thomas right guard for -1 yards (tackle by Tyler Brayton),4.040,3.020
3,6:21,2,16,OAK 24,18,3,Kordell Stewart pass complete to Olin Kreutz for -8 yards,3.020,1.290
3,5:47,3,24,OAK 32,18,3,Kordell Stewart pass incomplete intended for Marty Booker,1.290,1.240
3,5:42,4,24,OAK 32,18,6,Paul Edinger 50 yard field goal good,1.240,3.000
3,,,,CHI 30,18,6,"Paul Edinger kicks off 62 yards, returned by Justin Fargas for 22 yards (tackle by Hunter Hillenmeyer). Penalty on Zack Crockett: Offensive Holding, 10 yards",0.000,0.280
3,5:30,1,10,OAK 20,18,6,Charlie Garner left tackle for 1 yard (tackle by Brian Urlacher),0.280,-0.130
3,4:55,2,9,OAK 21,18,6,Rich Gannon pass incomplete intended for Ronald Curry,-0.130,-0.820
3,4:50,3,9,OAK 21,18,6,Rich Gannon sacked by Brian Urlacher for -5 yards,-0.820,-2.390
3,4:35,4,14,OAK 16,18,6,"Shane Lechler punts 56 yards, returned by R.W. McQuarters for 5 yards (tackle by Tim Johnson)",-2.390,-1.140
3,4:21,1,10,CHI 33,18,6,Kordell Stewart pass complete to Stanley Pritchett for 2 yards (tackle by Trace Armstrong),1.140,0.860
3,3:44,2,8,CHI 35,18,6,Anthony Thomas left end for 10 yards (tackle by Rod Woodson),0.860,1.930
3,3:10,1,10,CHI 45,18,6,Stanley Pritchett left end for 9 yards (tackle by Napoleon Harris),1.930,2.600
3,2:29,2,1,OAK 46,18,6,Kordell Stewart right end for 1 yard (tackle by Travian Smith),2.600,2.590
3,2:00,1,10,OAK 45,18,6,Kordell Stewart pass complete to Marty Booker for 28 yards (tackle by Terrance Shaw),2.590,4.440
3,1:15,1,10,OAK 17,18,6,"Kordell Stewart for no gain. Kordell Stewart fumbles, recovered by Stanley Pritchett at OAK-18",4.440,3.720
3,0:29,2,11,OAK 18,18,6,Kordell Stewart pass complete to Marty Booker for 4 yards (tackle by Anthony Dorsett),3.720,3.500
Quarter,Time,Down,ToGo,Location,OAK,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,7,OAK 14,18,12,"Kordell Stewart pass complete to Marty Booker for 14 yards, touchdown",3.500,7.000
4,,,,OAK 2,18,13,Paul Edinger kicks extra point good,0.000,0.000
4,,,,CHI 30,18,13,"Paul Edinger kicks off 55 yards, returned by Justin Fargas for 17 yards (tackle by Bobby Gray)",0.000,1.070
4,14:47,1,10,OAK 32,18,13,Rich Gannon pass complete to Tim Brown for 21 yards (tackle by R.W. McQuarters),1.070,2.460
4,14:24,1,10,CHI 47,18,13,Rich Gannon pass incomplete intended for Charlie Garner,2.460,1.910
4,14:19,2,10,CHI 47,18,13,Rich Gannon pass incomplete intended for Tim Brown (defended by Bryan Robinson),1.910,1.220
4,14:16,3,10,CHI 47,18,13,Rich Gannon pass incomplete intended for Tim Brown,1.220,0.130
4,14:11,4,10,CHI 47,18,13,"Shane Lechler punts 47 yards, touchback. Penalty on Adam Treu: Offensive Holding, 10 yards (no play)",0.130,-0.520
4,14:03,4,20,OAK 43,18,13,"Shane Lechler punts 52 yards, out of bounds. Penalty on Nnamdi Asomugha: Player Out of Bounds on Punt, 5 yards (no play)",-0.520,-0.850
4,13:55,4,25,OAK 38,18,13,"Shane Lechler punts 62 yards, touchback",-0.850,-0.280
4,13:44,1,10,CHI 20,18,13,"Kordell Stewart left guard for 6 yards (tackle by Napoleon Harris). Penalty on Steve Edwards: Offensive Holding, 10 yards (no play)",0.280,-0.760
4,13:20,1,20,CHI 10,18,13,Kordell Stewart right end for 8 yards (tackle by Trace Armstrong and Charles Woodson),-0.760,-0.630
4,12:32,2,12,CHI 18,18,13,Anthony Thomas right guard for 9 yards (tackle by Trace Armstrong),-0.630,-0.030
4,11:46,3,3,CHI 27,18,13,Kordell Stewart pass incomplete intended for David Terrell,-0.030,-1.570
4,11:42,4,3,CHI 27,18,13,"Brad Maynard punts 52 yards, returned by Phillip Buchanon for no gain",-1.570,-0.340
4,11:32,1,10,OAK 21,18,13,Charlie Garner right guard for 5 yards (tackle by Alex Brown),0.340,0.480
4,10:57,2,5,OAK 26,18,13,Rich Gannon pass complete to Jerry Rice for 21 yards (tackle by Charles Tillman),0.480,2.060
4,10:36,1,10,OAK 47,18,13,Charlie Garner right tackle for 1 yard (tackle by Phillip Daniels),2.060,1.650
4,10:01,2,9,OAK 48,18,13,Rich Gannon pass complete to Tim Brown for 18 yards (tackle by Mike Brown),1.650,3.310
4,9:18,1,10,CHI 34,18,13,Rich Gannon pass incomplete intended for Zack Crockett,3.310,2.770
4,9:12,2,10,CHI 34,18,13,Rich Gannon pass incomplete intended for Doug Jolley is intercepted by R.W. McQuarters at CHI-12 and returned for 43 yards (tackle by Frank Middleton),2.770,-2.590
4,8:59,1,10,OAK 45,18,13,Kordell Stewart left end for 16 yards (tackle by Terrance Shaw),2.590,3.640
4,8:24,1,10,OAK 29,18,13,Anthony Thomas left end for 20 yards (tackle by Terrance Shaw),3.640,5.140
4,7:49,1,9,OAK 9,18,13,Anthony Thomas left guard for 1 yard (tackle by Travian Smith and Eric Barton),5.140,4.570
4,7:03,,,,18,13,Timeout #1 by Chicago Bears,0.000,4.570
4,7:03,2,8,OAK 8,18,19,"Stanley Pritchett left guard for 8 yards, touchdown",4.570,7.000
4,,,,,18,21,Two Point Attempt: conversion succeeds,1.000,1.000
