Quarter,Time,Down,ToGo,Location,MIA,TAM,Detail,EPB,EPA
3,12:48,1,10,MIA 13,10,24,Jacoby Brissett pass complete short right to Myles Gaskin for 4 yards (tackle by Richard Sherman),,
3,12:15,2,6,MIA 17,10,24,Myles Gaskin left tackle for 13 yards (tackle by Jamel Dean),,
3,11:34,1,10,MIA 30,10,24,Preston Williams right end for 7 yards (tackle by Kevin Minter),,
3,11:10,2,3,MIA 37,10,24,Jacoby Brissett pass complete short left to Mike Gesicki for 23 yards (tackle by Mike Edwards),,
3,10:16,1,10,TAM 40,10,24,Jacoby Brissett pass incomplete short middle intended for Mack Hollins,,
3,10:12,2,10,TAM 40,10,24,Salvon Ahmed left end for 4 yards (tackle by Jordan Whitehead),,
3,9:29,3,6,TAM 36,10,24,Jacoby Brissett pass complete short right to Jaylen Waddle for 10 yards (tackle by Jamel Dean),,
3,8:45,1,10,TAM 26,10,24,Jacoby Brissett pass complete short right to Myles Gaskin for 2 yards (tackle by Kevin Minter),,
3,8:00,2,8,TAM 24,10,24,Jacoby Brissett pass complete short right to Myles Gaskin for 7 yards (tackle by Mike Edwards),,
3,7:13,3,1,TAM 17,10,24,"Jacoby Brissett pass incomplete deep right intended for Preston Williams. Penalty on Richard Sherman: Defensive Pass Interference, 16 yards (accepted) (no play)",,
3,7:06,1,1,TAM 1,10,24,Jacoby Brissett pass incomplete short right intended for Durham Smythe,,
3,7:01,2,1,TAM 1,16,24,"Jacoby Brissett pass complete short left to Myles Gaskin for 1 yard, touchdown",,
3,6:56,,,TAM 15,17,24,Jason Sanders kicks extra point good,,
3,6:56,,,MIA 35,17,24,"Jason Sanders kicks off 65 yards, touchback.",,
3,6:56,1,10,TAM 25,17,24,Tom Brady pass incomplete deep middle intended for O.J. Howard,,
3,6:52,2,10,TAM 25,17,24,Tom Brady pass incomplete deep right intended for Mike Evans,,
3,6:46,3,10,TAM 25,17,24,Tom Brady pass complete short middle to Antonio Brown for 12 yards (tackle by Eric Rowe),,
3,6:08,1,10,TAM 37,17,24,Leonard Fournette right tackle for 6 yards (tackle by Raekwon Davis),,
3,5:26,2,4,TAM 43,17,24,Tom Brady pass complete short middle to Chris Godwin for 6 yards (tackle by Christian Wilkins),,
3,4:49,1,10,TAM 49,17,24,Tom Brady sacked by Jaelan Phillips for -5 yards,,
3,4:04,2,15,TAM 44,17,24,Tom Brady pass complete short right to Chris Godwin for 14 yards (tackle by Jason McCourty and Samuel Eguavoen),,
3,3:17,3,1,MIA 42,17,24,Tom Brady pass complete short right to Chris Godwin for 12 yards (tackle by Nik Needham),,
3,2:39,1,10,MIA 30,17,24,Leonard Fournette left tackle for 1 yard (tackle by Zach Sieler),,
3,1:59,2,9,MIA 29,17,24,Tom Brady pass complete short right to Leonard Fournette for 16 yards (tackle by Jevon Holland),,
3,1:14,1,10,MIA 13,17,24,Ronald Jones left guard for 4 yards (tackle by Andrew Van Ginkel),,
3,0:38,2,6,MIA 9,17,24,Tom Brady pass complete short left to Chris Godwin for 4 yards (tackle by Byron Jones),,
Quarter,Time,Down,ToGo,Location,MIA,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,2,MIA 5,17,30,"Leonard Fournette right guard for 5 yards, touchdown",,
4,14:57,,,MIA 15,17,31,Ryan Succop kicks extra point good,,
4,14:57,,,TAM 35,17,31,"Bradley Pinion kicks off 65 yards, touchback.",,
4,14:57,1,10,MIA 25,17,31,Jacoby Brissett pass complete short middle to Mike Gesicki for no gain (tackle by Devin White),,
4,14:16,2,10,MIA 25,17,31,Jacoby Brissett pass incomplete short right intended for Jaylen Waddle,,
4,14:13,3,10,MIA 25,17,31,Jacoby Brissett pass incomplete deep right intended for Preston Williams,,
4,14:06,4,10,MIA 25,17,31,"Michael Palardy punts 36 yards, returned by Jaydon Mickens for no gain (tackle by Mack Hollins)",,
4,13:59,1,10,TAM 39,17,31,Tom Brady pass complete short left to Ronald Jones for 15 yards (tackle by Jevon Holland),,
4,13:21,1,10,MIA 46,17,31,Ronald Jones right guard for 5 yards (tackle by Jerome Baker and Zach Sieler),,
4,12:41,2,5,MIA 41,17,31,Tom Brady pass complete short left to Antonio Brown for 7 yards (tackle by Jerome Baker),,
4,11:56,1,10,MIA 34,17,37,"Tom Brady pass complete deep right to Mike Evans for 34 yards, touchdown. Penalty on Nik Needham: Illegal Use of Hands / Defense, 5 yards (declined)",,
4,11:49,,,MIA 15,17,38,Ryan Succop kicks extra point good,,
4,11:49,,,TAM 35,17,38,"Bradley Pinion kicks off 65 yards, touchback.",,
4,11:49,1,10,MIA 25,17,38,Jacoby Brissett pass complete short middle to Salvon Ahmed for 11 yards (tackle by Shaquil Barrett),,
4,11:18,1,10,MIA 36,17,38,Jacoby Brissett pass complete short left to Salvon Ahmed for 5 yards (tackle by Jamel Dean),,
4,10:53,2,5,MIA 41,17,38,Jacoby Brissett pass short left intended for Jaylen Waddle is intercepted by Jamel Dean at MIA-47 and returned for 6 yards (tackle by Jaylen Waddle),,
4,10:47,1,10,MIA 41,17,38,Tom Brady pass complete deep right to Tyler Johnson for 19 yards (tackle by Jevon Holland),,
4,10:06,1,10,MIA 22,17,38,Tom Brady pass complete short left to Tyler Johnson for 9 yards (tackle by Jerome Baker),,
4,9:22,2,1,MIA 13,17,38,"Penalty on Donovan Smith: False Start, 4 yards (accepted) (no play)",,
4,9:03,2,5,MIA 17,17,38,"Penalty on Antonio Brown: False Start, 5 yards (accepted) (no play)",,
4,9:03,2,10,MIA 22,17,44,"Tom Brady pass complete short middle to Mike Evans for 22 yards, touchdown",,
4,8:57,,,MIA 15,17,45,Ryan Succop kicks extra point good,,
4,8:57,,,TAM 35,17,45,"Bradley Pinion kicks off 65 yards, touchback.",,
4,8:57,1,10,MIA 25,17,45,Jacoby Brissett pass incomplete short left intended for Mike Gesicki,,
4,8:52,2,10,MIA 25,17,45,Jacoby Brissett pass complete deep middle to Durham Smythe for 21 yards (tackle by Jordan Whitehead),,
4,8:25,1,10,MIA 46,17,45,Jacoby Brissett pass incomplete short middle intended for Mike Gesicki (defended by Jamel Dean),,
4,8:23,2,10,MIA 46,17,45,Myles Gaskin up the middle for 5 yards (tackle by Mike Edwards and Kevin Minter),,
4,7:48,3,5,TAM 49,17,45,Jacoby Brissett sacked by and Vita Vea for -8 yards and Shaquil Barrett for -8 yards,,
4,7:12,4,13,MIA 43,17,45,"Michael Palardy punts 44 yards, fair catch by Jaydon Mickens at TB-13",,
4,7:06,1,10,TAM 13,17,45,"Blaine Gabbert pass complete short right to Codey McElroy for no gain (tackle by Jerome Baker). Penalty on Zach Sieler: Roughing the Passer, 15 yards (accepted) (no play)",,
4,6:44,1,10,TAM 28,17,45,Giovani Bernard right guard for 17 yards (tackle by Brandon Jones and Jevon Holland),,
4,6:00,1,10,TAM 45,17,45,Blaine Gabbert pass complete short middle to Giovani Bernard for 4 yards (tackle by Brandon Jones),,
4,5:14,2,6,TAM 49,17,45,Giovani Bernard left guard for 4 yards (tackle by Jaelan Phillips and Jabaal Sheard),,
4,4:33,3,2,MIA 47,17,45,Blaine Gabbert pass complete deep left to Antonio Brown for 23 yards (tackle by Jason McCourty),,
4,3:47,1,10,MIA 24,17,45,Giovani Bernard right end for -1 yards (tackle by Andrew Van Ginkel),,
4,3:04,2,11,MIA 25,17,45,"Blaine Gabbert pass incomplete short right intended for Codey McElroy. Penalty on Blaine Gabbert: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",,
4,3:00,2,6,MIA 20,17,45,Giovani Bernard right guard for 1 yard (tackle by Justin Coleman and Duke Riley),,
4,2:21,3,5,MIA 19,17,45,Blaine Gabbert pass complete short middle to Tyler Johnson for 14 yards (tackle by Jevon Holland),,
4,2:00,1,5,MIA 5,17,45,Blaine Gabbert kneels for no gain,,
4,1:21,2,5,MIA 5,17,45,Blaine Gabbert kneels for -1 yards,,
4,0:38,3,6,MIA 6,17,45,Blaine Gabbert kneels for no gain,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
