Quarter,Time,Down,ToGo,Location,PHI,BUF,Detail,EPB,EPA
1,8:13,1,10,PHI 27,0,0,Carson Wentz sacked by Shaq Lawson for -5 yards,0.740,-0.480
1,7:28,2,15,PHI 22,0,0,Jordan Howard up the middle for 6 yards (tackle by Micah Hyde),-0.480,-0.360
1,6:46,3,9,PHI 28,0,0,"Carson Wentz pass incomplete short right intended for Zach Ertz. Penalty on Tre'Davious White: Defensive Pass Interference, 7 yards (no play)",-0.360,1.270
1,6:42,1,10,PHI 35,0,0,Nelson Agholor left end for 16 yards (tackle by Levi Wallace),1.270,2.320
1,6:03,1,10,BUF 49,0,0,Jordan Howard up the middle for no gain (tackle by Ed Oliver),2.320,1.780
1,5:23,2,10,BUF 49,0,0,Carson Wentz pass complete short left to Miles Sanders for 25 yards (tackle by Darryl Johnson),1.780,3.970
1,4:35,1,10,BUF 24,0,0,Carson Wentz pass incomplete short right intended for Alshon Jeffery (defended by Tre'Davious White),3.970,3.430
1,4:31,2,10,BUF 24,0,0,Carson Wentz right tackle for 5 yards (tackle by Jordan Poyer),3.430,3.410
1,3:46,3,5,BUF 19,0,0,Carson Wentz pass incomplete short middle intended for Dallas Goedert,3.410,2.240
1,3:42,4,5,BUF 19,3,0,Jake Elliott 37 yard field goal good,2.240,3.000
1,3:38,,,PHI 35,3,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,3:38,1,10,BUF 25,3,0,Josh Allen pass complete short right to John Brown for 7 yards (tackle by Rodney McLeod),0.610,1.010
1,3:10,2,3,BUF 32,3,0,Josh Allen pass complete short left to John Brown for 7 yards (tackle by Rodney McLeod),1.010,1.530
1,2:40,1,10,BUF 39,3,0,Josh Allen pass incomplete short middle intended for Tyler Kroft,1.530,0.990
1,2:34,2,10,BUF 39,3,0,Josh Allen right guard for 2 yards (tackle by T.J. Edwards),0.990,0.560
1,1:47,3,8,BUF 41,3,0,"Josh Allen pass complete short right to John Brown for 9 yards. Penalty on Malcolm Jenkins: Roughing the Passer, 15 yards",0.560,3.250
1,1:28,1,10,PHI 35,3,0,Frank Gore up the middle for 5 yards (tackle by Brandon Graham),3.250,3.380
1,0:45,2,5,PHI 30,3,0,"Josh Allen right end for 13 yards (tackle by Malcolm Jenkins). Penalty on Malcolm Jenkins: Unnecessary Roughness, 9 yards",3.380,5.370
1,0:32,1,8,PHI 8,3,0,Josh Allen pass complete short middle to Devin Singletary for -1 yards (tackle by Malcolm Jenkins),5.370,4.380
Quarter,Time,Down,ToGo,Location,PHI,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,PHI 9,3,0,"Penalty on Lee Smith: False Start, 5 yards (no play)",4.380,3.580
2,15:00,2,14,PHI 14,3,0,Josh Allen pass incomplete short right. Penalty on Mitch Morse: Ineligible Downfield Pass (Declined),3.580,3.000
2,14:54,3,14,PHI 14,3,6,"Josh Allen pass complete short middle to Cole Beasley for 14 yards, touchdown",3.000,7.000
2,14:48,,,PHI 15,3,7,"Stephen Hauschka kicks extra point good. Penalty on Jon Feliciano: Unnecessary Roughness, 15 yards",0.000,0.000
2,14:48,,,BUF 20,3,7,"Stephen Hauschka kicks off 80 yards, touchback.",0.000,0.610
2,14:48,1,10,PHI 25,3,7,Carson Wentz pass complete short left to Nelson Agholor for -1 yards (tackle by Levi Wallace),0.610,-0.070
2,14:09,2,11,PHI 24,3,7,"Carson Wentz pass complete short right to Dallas Goedert for 9 yards (tackle by Micah Hyde). Penalty on Lane Johnson: Illegal Formation, 5 yards (no play)",-0.070,-0.810
2,13:39,2,16,PHI 19,3,7,Carson Wentz pass complete short left to Dallas Goedert for 10 yards (tackle by Matt Milano),-0.810,-0.100
2,12:54,3,6,PHI 29,3,7,Carson Wentz pass complete short right to Miles Sanders for 15 yards (tackle by Tremaine Edmunds),-0.100,1.860
2,12:16,1,10,PHI 44,3,7,Jordan Howard right guard for no gain (tackle by Ed Oliver),1.860,1.320
2,11:37,2,10,PHI 44,3,7,Carson Wentz pass complete short right to Alshon Jeffery for 11 yards,1.320,2.590
2,11:06,1,10,BUF 45,3,7,Carson Wentz pass incomplete short right intended for Zach Ertz,2.590,2.040
2,11:01,2,10,BUF 45,3,7,Carson Wentz pass complete short middle to Nelson Agholor for 6 yards (tackle by Dean Marlowe),2.040,2.150
2,10:20,3,4,BUF 39,3,7,Carson Wentz pass complete short middle to Nelson Agholor for -5 yards (tackle by Matt Milano),2.150,0.330
2,9:44,4,9,BUF 44,3,7,"Cameron Johnston punts 44 yards, touchback.",0.330,-0.280
2,9:34,1,10,BUF 20,3,7,Josh Allen pass incomplete short right intended for Patrick DiMarco,0.280,-0.270
2,9:27,2,10,BUF 20,3,7,Josh Allen right guard for 5 yards (tackle by Albert Huggins and Fletcher Cox),-0.270,-0.300
2,8:47,3,5,BUF 25,3,7,Josh Allen right guard for 6 yards (tackle by Andrew Sendejo),-0.300,1.000
2,8:09,1,10,BUF 31,3,7,Josh Allen pass complete deep right to Tyler Kroft for 20 yards (tackle by Malcolm Jenkins),1.000,2.320
2,7:26,1,10,PHI 49,3,7,Josh Allen up the middle for 4 yards (tackle by Kamu Grugier-Hill),2.320,2.320
2,6:45,2,6,PHI 45,3,7,Frank Gore right end for no gain (tackle by Nathan Gerry),2.320,1.620
2,6:12,3,6,PHI 45,3,7,Josh Allen pass incomplete short middle intended for Cole Beasley,1.620,0.270
2,6:09,4,6,PHI 45,3,7,"Corey Bojorquez punts 45 yards, touchback.",0.270,-0.280
2,6:00,1,10,PHI 20,3,7,Jordan Howard left guard for 5 yards (tackle by Tremaine Edmunds),0.280,0.410
2,5:16,2,5,PHI 25,3,7,Jordan Howard left tackle for -3 yards (tackle by Jerry Hughes),0.410,-0.690
2,4:33,3,8,PHI 22,3,7,Carson Wentz pass complete short left to Alshon Jeffery for 12 yards (tackle by Tre'Davious White). Penalty on Jordan Phillips: Defensive Offside (Declined),-0.690,1.200
2,4:04,1,10,PHI 34,3,7,Carson Wentz pass incomplete deep left intended for Zach Ertz (defended by Tre'Davious White),1.200,0.660
2,3:55,2,10,PHI 34,3,7,Carson Wentz pass complete short middle to Miles Sanders for 4 yards (tackle by Tremaine Edmunds),0.660,0.500
2,3:09,3,6,PHI 38,3,7,Carson Wentz pass complete short right to Zach Ertz for 2 yards (tackle by Darryl Johnson),0.500,-0.720
2,2:35,4,4,PHI 40,3,7,"Cameron Johnston punts 40 yards, fair catch by Andre Roberts at BUF-20",-0.720,-0.280
2,2:27,1,10,BUF 20,3,7,Josh Allen pass incomplete deep right intended for Robert Foster,0.280,-0.270
2,2:20,2,10,BUF 20,3,7,Frank Gore right end for 8 yards (tackle by Jalen Mills),-0.270,0.100
2,2:00,3,2,BUF 28,3,7,"Josh Allen right guard for -4 yards (tackle by Brandon Graham). Josh Allen fumbles (forced by Brandon Graham), recovered by Brandon Graham at BUF-24 (tackle by Josh Allen)",0.100,-3.970
2,1:53,1,10,BUF 24,3,7,Miles Sanders right guard for 6 yards (tackle by Tremaine Edmunds and Jordan Poyer),3.970,4.290
2,1:24,2,4,BUF 18,3,7,Miles Sanders up the middle for 3 yards (tackle by Trent Murphy),4.290,4.170
2,0:52,3,1,BUF 15,3,7,Carson Wentz up the middle for 2 yards (tackle by Star Lotulelei),4.170,4.710
2,0:46,,,,,,Timeout #1 by Philadelphia Eagles,,
2,0:46,1,10,BUF 13,3,7,Carson Wentz left end for 8 yards (tackle by Jerry Hughes),4.710,5.540
2,0:30,,,,,,Timeout #2 by Philadelphia Eagles,,
2,0:30,2,2,BUF 5,9,7,"Carson Wentz pass complete short middle to Dallas Goedert for 5 yards, touchdown",5.540,7.000
2,0:25,,,,,,Timeout #3 by Philadelphia Eagles,,
2,0:25,,,,,,Timeout #1 by Buffalo Bills,,
2,0:25,,,BUF 2,11,7,"Two Point Attempt: Miles Sanders rushes, conversion succeeds.. Penalty on Zach Ertz: Unnecessary Roughness, 15 yards",1.000,1.000
2,0:25,,,PHI 20,11,7,"Jake Elliott kicks off 73 yards, returned by Andre Roberts for 32 yards (tackle by Duke Riley)",0.000,1.530
2,0:18,1,10,BUF 39,11,7,Josh Allen pass complete short left to John Brown for 12 yards (tackle by Ronald Darby),1.530,2.320
2,0:11,,,,,,Timeout #2 by Buffalo Bills,,
2,0:11,1,10,PHI 49,11,7,Josh Allen left guard for 14 yards (tackle by Malcolm Jenkins),2.320,3.250
2,0:02,,,,,,Timeout #3 by Buffalo Bills,,
2,0:02,1,10,PHI 35,11,7,Stephen Hauschka 53 yard field goal no good,3.250,1.730
Quarter,Time,Down,ToGo,Location,PHI,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BUF 35,11,7,"Stephen Hauschka kicks off 48 yards, returned by Dallas Goedert for 16 yards (tackle by Julian Stanford)",0.000,1.140
3,14:53,1,10,PHI 33,11,7,Jordan Howard up the middle for 2 yards (tackle by Tre'Davious White and Tremaine Edmunds),1.140,0.860
3,14:14,2,8,PHI 35,17,7,"Miles Sanders up the middle for 65 yards, touchdown",0.860,7.000
3,14:02,,,BUF 15,17,7,Jake Elliott kicks extra point no good hit left upright,0.000,-1.000
3,14:02,,,PHI 35,17,7,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
3,14:02,1,10,BUF 25,17,7,"Devin Singletary left tackle for 10 yards (tackle by T.J. Edwards). Devin Singletary fumbles (forced by T.J. Edwards). Penalty on Lee Smith: Offensive Holding, 10 yards (no play)",0.610,-0.410
3,13:45,1,20,BUF 15,17,7,Josh Allen pass incomplete short right intended for Devin Singletary,-0.410,-1.430
3,13:40,2,20,BUF 15,17,7,Josh Allen pass complete short left to Duke Williams for 6 yards (tackle by Ronald Darby),-1.430,-1.150
3,12:57,3,14,BUF 21,17,7,Josh Allen pass complete deep right to John Brown for 19 yards (tackle by Jalen Mills),-1.150,1.600
3,12:28,1,10,BUF 40,17,7,Josh Allen pass complete short left to Tyler Kroft for 12 yards (tackle by Malcolm Jenkins),1.600,2.390
3,12:05,1,10,PHI 48,17,7,Josh Allen pass incomplete deep right,2.390,1.850
3,11:58,2,10,PHI 48,17,7,Devin Singletary up the middle for 2 yards (tackle by Vinny Curry),1.850,1.420
3,11:13,3,8,PHI 46,17,7,Josh Allen pass complete short right to Cole Beasley for 21 yards (tackle by Rodney McLeod),1.420,3.910
3,10:39,1,10,PHI 25,17,7,Josh Allen sacked by Nathan Gerry for -3 yards,3.910,2.960
3,9:48,2,13,PHI 28,17,7,Josh Allen pass incomplete short left intended for John Brown,2.960,2.280
3,9:44,3,13,PHI 28,17,13,"Josh Allen pass complete short left to Devin Singletary for 28 yards, touchdown",2.280,7.000
3,9:36,,,PHI 15,17,13,Stephen Hauschka kicks extra point blocked by Derek Barnett,0.000,-1.000
3,9:36,,,BUF 35,17,13,"Stephen Hauschka kicks off 57 yards, returned by Miles Sanders for 24 yards (tackle by Jaquan Johnson and Lorenzo Alexander)",0.000,1.070
3,9:30,1,10,PHI 32,17,13,Carson Wentz pass complete deep left to Alshon Jeffery for 38 yards (tackle by Levi Wallace),1.070,3.580
3,9:00,1,10,BUF 30,17,13,Carson Wentz sacked by Jordan Phillips for -7 yards,3.580,2.090
3,8:19,2,17,BUF 37,17,13,Carson Wentz pass complete short right to Jordan Howard for 15 yards (tackle by Levi Wallace and Jordan Poyer),2.090,3.400
3,7:42,3,2,BUF 22,17,13,Carson Wentz pass complete short right to Alshon Jeffery for 3 yards (tackle by Tre'Davious White and Matt Milano),3.400,4.310
3,6:59,1,10,BUF 19,17,13,"Miles Sanders right tackle for 8 yards (tackle by Jordan Poyer). Penalty on Shaq Lawson: Defensive Offside, 5 yards (no play)",4.310,5.300
3,6:30,1,5,BUF 14,17,13,Jordan Howard right tackle for 10 yards (tackle by Micah Hyde),5.300,6.280
3,5:43,1,4,BUF 4,23,13,"Boston Scott up the middle for 4 yards, touchdown",6.280,7.000
3,5:38,,,BUF 15,24,13,Jake Elliott kicks extra point good,0.000,0.000
3,5:38,,,PHI 35,24,13,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
3,5:38,1,10,BUF 25,24,13,Josh Allen pass incomplete short left intended for Devin Singletary,0.610,0.060
3,5:33,2,10,BUF 25,24,13,Josh Allen up the middle for 5 yards (tackle by Rodney McLeod),0.060,0.040
3,4:53,3,5,BUF 30,24,13,Josh Allen pass complete short left to Devin Singletary for 1 yard (tackle by Brandon Graham),0.040,-1.310
3,4:23,4,4,BUF 31,24,13,"Corey Bojorquez punts 35 yards, returned by Boston Scott for 6 yards (tackle by Siran Neal). Boston Scott fumbles (forced by Siran Neal), recovered by Julian Stanford at PHI-43",-1.310,2.720
3,4:14,1,10,PHI 43,24,13,Frank Gore up the middle for 6 yards (tackle by Fletcher Cox),2.720,2.990
3,3:35,2,4,PHI 37,24,13,Frank Gore up the middle for 8 yards (tackle by Jalen Mills),2.990,3.640
3,3:02,1,10,PHI 29,24,13,Josh Allen pass complete short right to Devin Singletary for 2 yards (tackle by Nathan Gerry),3.640,3.370
3,2:24,2,8,PHI 27,24,13,Josh Allen pass incomplete short right,3.370,2.680
3,2:21,3,8,PHI 27,24,13,Josh Allen sacked by Brandon Graham for -2 yards,2.680,1.500
3,1:38,4,10,PHI 29,24,13,Josh Allen pass incomplete deep middle intended for John Brown (defended by Ronald Darby),1.500,-0.870
3,1:33,1,10,PHI 29,24,13,Nelson Agholor right end for -9 yards (tackle by Matt Milano),0.870,-0.890
3,0:49,2,19,PHI 20,24,13,Jordan Howard up the middle for 9 yards (tackle by Matt Milano and Micah Hyde),-0.890,-0.360
3,0:04,3,10,PHI 29,24,13,"Carson Wentz sacked by Taron Johnson for -7 yards. Carson Wentz fumbles (forced by Taron Johnson), recovered by Carson Wentz at PHI-22",-0.360,-1.900
Quarter,Time,Down,ToGo,Location,PHI,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,17,PHI 22,24,13,Cameron Johnston punts 40 yards out of bounds,-1.900,-1.470
4,14:51,1,10,BUF 38,24,13,Josh Allen pass incomplete short right intended for Duke Williams,1.470,0.920
4,14:47,2,10,BUF 38,24,13,Josh Allen pass incomplete deep left intended for Tyler Kroft,0.920,0.230
4,14:42,3,10,BUF 38,24,13,Josh Allen pass incomplete deep right intended for John Brown,0.230,-0.850
4,14:37,4,10,BUF 38,24,13,Corey Bojorquez punts 45 yards out of bounds. Penalty on Mack Hollins: Running Into the Kicker (Declined),-0.850,0.060
4,14:29,1,10,PHI 17,24,13,Jordan Howard up the middle for 5 yards (tackle by Matt Milano),-0.060,0.210
4,13:51,2,5,PHI 22,24,13,Jordan Howard left guard for no gain (tackle by Shaq Lawson),0.210,-0.620
4,13:08,3,5,PHI 22,24,13,Carson Wentz up the middle for 13 yards (tackle by Tre'Davious White),-0.620,1.270
4,12:24,1,10,PHI 35,24,13,Jordan Howard up the middle for no gain (tackle by Ed Oliver and Kyle Peko),1.270,0.720
4,11:42,2,10,PHI 35,24,13,Carson Wentz pass incomplete short left intended for Jordan Howard,0.720,0.040
4,11:35,3,10,PHI 35,24,13,Carson Wentz up the middle for 11 yards (tackle by Matt Milano and Taron Johnson),0.040,1.990
4,10:51,1,10,PHI 46,24,13,Jordan Howard up the middle for 3 yards (tackle by Tre'Davious White and Jordan Poyer),1.990,1.860
4,10:09,2,7,PHI 49,24,13,Carson Wentz pass complete short right to Dallas Goedert for 7 yards (tackle by Matt Milano),1.860,2.650
4,9:27,1,10,BUF 44,24,13,Jordan Howard left guard for 20 yards (tackle by Lorenzo Alexander and Micah Hyde),2.650,3.970
4,8:42,1,10,BUF 24,24,13,Jordan Howard left guard for 3 yards (tackle by Matt Milano and Ed Oliver),3.970,3.840
4,7:57,2,7,BUF 21,24,13,Carson Wentz pass incomplete short right intended for Dallas Goedert (defended by Lorenzo Alexander) Penalty on PHI: Illegal Formation (Declined),3.840,3.140
4,7:50,3,7,BUF 21,24,13,Carson Wentz pass complete short left to Zach Ertz for 18 yards (tackle by Micah Hyde),3.140,6.510
4,7:03,1,3,BUF 3,24,13,Jordan Howard right tackle for no gain (tackle by Matt Milano and Jordan Poyer),6.510,5.530
4,6:17,2,3,BUF 3,30,13,"Jordan Howard up the middle for 3 yards, touchdown",5.530,7.000
4,6:12,,,BUF 15,31,13,Jake Elliott kicks extra point good,0.000,0.000
4,6:12,,,PHI 35,31,13,"Jake Elliott kicks off 51 yards, returned by Andre Roberts for 18 yards (tackle by T.J. Edwards)",0.000,1.070
4,6:06,1,10,BUF 32,31,13,Josh Allen pass incomplete short middle intended for Dawson Knox (defended by Malcolm Jenkins),1.070,0.530
4,6:01,2,10,BUF 32,31,13,"Penalty on Jon Feliciano: False Start, 5 yards (no play)",0.530,-0.150
4,6:01,2,15,BUF 27,31,13,"Penalty on Ty Nsekhe: False Start, 5 yards (no play)",-0.150,-0.820
4,6:01,2,20,BUF 22,31,13,"Josh Allen sacked by and Fletcher Cox for -3 yards. Josh Allen fumbles (forced by Derek Barnett), recovered by Dion Dawkins at BUF-19",-0.820,-2.010
4,5:14,3,23,BUF 19,31,13,Devin Singletary left end for 1 yard (tackle by Nathan Gerry),-2.010,-2.030
4,4:44,4,22,BUF 20,31,13,Corey Bojorquez punts 30 yards out of bounds,-2.030,-2.260
4,4:37,1,10,PHI 50,31,13,Jordan Howard up the middle for 4 yards (tackle by Jordan Poyer),2.260,2.250
4,4:31,,,,,,Timeout #1 by Buffalo Bills,,
4,4:31,2,6,BUF 46,31,13,Jordan Howard up the middle for 16 yards (tackle by Micah Hyde and Jordan Poyer),2.250,3.580
4,3:45,1,10,BUF 30,31,13,Jordan Howard left guard for -1 yards (tackle by Tremaine Edmunds),3.580,2.900
4,3:39,,,,,,Timeout #2 by Buffalo Bills,,
4,3:39,2,11,BUF 31,31,13,Boston Scott right guard for no gain (tackle by Matt Milano),2.900,2.210
4,3:34,,,,,,Timeout #3 by Buffalo Bills,,
4,3:34,3,11,BUF 31,31,13,"Boston Scott up the middle for 5 yards (tackle by Jerry Hughes). Penalty on Trent Murphy: Defensive Offside, 5 yards (no play)",2.210,2.870
4,3:28,3,6,BUF 26,31,13,Boston Scott up the middle for 5 yards (tackle by Kevin Johnson and Jordan Poyer),2.870,2.210
4,2:43,4,1,BUF 21,31,13,Boston Scott left guard for -1 yards (tackle by Tremaine Edmunds and Kevin Johnson),2.210,-0.410
4,2:38,1,10,BUF 22,31,13,Josh Allen pass complete short left to Cole Beasley for 6 yards (tackle by Nathan Gerry and Malcolm Jenkins),0.410,0.680
4,2:18,2,4,BUF 28,31,13,Josh Allen pass incomplete short middle intended for Cole Beasley,0.680,-0.030
4,2:14,3,4,BUF 28,31,13,Josh Allen pass incomplete short middle intended for Cole Beasley,-0.030,-1.500
4,2:09,4,4,BUF 28,31,13,Josh Allen pass incomplete intended for Cole Beasley,-1.500,-3.710
4,2:04,1,10,BUF 28,31,13,Boston Scott up the middle for -2 yards (tackle by Matt Milano and Shaq Lawson),3.710,2.900
4,1:59,2,12,BUF 30,31,13,Carson Wentz kneels for -1 yards,2.900,2.080
4,1:16,3,13,BUF 31,31,13,Carson Wentz kneels for -1 yards,2.080,1.240
4,0:34,,,,,,Timeout #1 by Philadelphia Eagles,,
4,0:34,4,14,BUF 32,31,13,Carson Wentz kneels for -2 yards,1.240,-1.200
4,0:33,1,10,BUF 34,31,13,Devin Singletary up the middle for 16 yards (tackle by Andrew Sendejo),1.200,2.260
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
