Quarter,Time,Down,ToGo,Location,CIN,NOR,Detail,EPB,EPA
1,8:58,4,4,CIN 13,0,3,Shayne Graham 31 yard field goal good,2.640,3.000
1,8:58,,,NOR 35,0,3,"Thomas Morstead kicks off 73 yards, returned by Adam Jones for 31 yards (tackle by Kasim Edebali)",0.000,-0.480
1,8:48,1,10,CIN 23,0,3,Andy Dalton for 11 yards (tackle by Cameron Jordan),0.480,1.200
1,8:29,1,10,CIN 34,0,3,Jeremy Hill left guard for 1 yard (tackle by Akiem Hicks),1.200,0.790
1,7:54,2,9,CIN 35,0,3,Jeremy Hill left guard for 1 yard (tackle by Brodrick Bunkley),0.790,0.230
1,7:08,3,8,CIN 36,0,3,Andy Dalton pass complete short right to James Wright for 8 yards (tackle by Keenan Lewis),0.230,1.860
1,6:45,1,10,CIN 44,0,3,Jeremy Hill left guard for 2 yards (tackle by Brodrick Bunkley),1.860,1.590
1,6:08,2,8,CIN 46,0,3,Andy Dalton pass incomplete deep right intended for Jermaine Gresham,1.590,0.890
1,6:02,3,8,CIN 46,0,3,Andy Dalton pass complete short middle to Jeremy Hill for 13 yards (tackle by Rafael Bush and Brian Dixon),0.890,2.850
1,5:21,1,10,NOR 41,0,3,Andy Dalton pass complete short right to Mohamed Sanu for 6 yards (tackle by Corey White and Curtis Lofton),2.850,3.120
1,4:48,2,4,NOR 35,0,3,Cedric Peerman right guard for 21 yards (tackle by Kenny Vaccaro),3.120,4.650
1,4:04,1,10,NOR 14,0,3,Jeremy Hill right guard for 2 yards (tackle by John Jenkins),4.650,4.330
1,3:31,2,8,NOR 12,0,3,Andy Dalton pass incomplete short left intended for Mohamed Sanu,4.330,3.430
1,3:26,3,8,NOR 12,6,3,"Andy Dalton pass complete short right to Jermaine Gresham for 12 yards (tackle by Corey White). Jermaine Gresham fumbles (forced by Corey White), recovered by Jermaine Gresham at NOR-0, touchdown",3.430,7.000
,,,,,,,"Replay Assistant challenged the loose ball recovery ruling, and the play was upheld.",,
1,3:26,,,NOR 2,7,3,Mike Nugent kicks extra point good,0.000,0.000
1,3:26,,,CIN 35,7,3,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
1,3:14,1,10,NOR 20,7,3,Mark Ingram left guard for 3 yards (tackle by Domata Peko),0.280,0.140
1,2:34,2,7,NOR 23,7,3,Drew Brees pass complete short right to Jimmy Graham for 4 yards (tackle by Emmanuel Lamur),0.140,-0.030
1,1:56,3,3,NOR 27,7,3,Drew Brees pass complete short right to Brandin Cooks for 5 yards (tackle by Vincent Rey),-0.030,1.070
1,1:12,1,10,NOR 32,7,3,Drew Brees pass complete short left to Brandin Cooks for 14 yards (tackle by Leon Hall and Robert Geathers),1.070,1.990
1,0:37,1,10,NOR 46,7,3,Mark Ingram right end for 4 yards (tackle by Domata Peko),1.990,1.990
1,0:02,2,6,,7,3,Drew Brees pass complete short right to Erik Lorig for 3 yards (tackle by Vincent Rey),1.990,1.690
Quarter,Time,Down,ToGo,Location,CIN,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,CIN 47,7,3,Mark Ingram left guard for 4 yards (tackle by Wallace Gilberry and Vincent Rey),1.690,2.720
2,14:23,1,10,CIN 43,7,3,Mark Ingram left guard for 1 yard (tackle by Domata Peko and Emmanuel Lamur),2.720,2.310
2,13:42,2,9,CIN 42,7,3,Drew Brees pass complete short middle to Marques Colston for 16 yards (tackle by George Iloka),2.310,3.840
2,13:07,1,10,CIN 26,7,3,Mark Ingram left guard for 1 yard (tackle by Geno Atkins and Robert Geathers),3.840,3.430
2,12:26,2,9,CIN 25,7,3,Drew Brees pass complete deep left to Marques Colston for 16 yards (tackle by Adam Jones),3.430,5.140
,,,,,,,"CIN challenged the pass completion ruling, and the play was upheld.",,
2,12:19,1,9,CIN 9,7,3,Brandin Cooks left end for 5 yards (tackle by Adam Jones),5.140,5.340
2,11:53,2,4,CIN 4,7,3,"Mark Ingram right end for -2 yards (tackle by Domata Peko). Penalty on Domata Peko: Unnecessary Roughness, 3 yards",5.340,6.510
2,11:26,1,3,CIN 3,7,3,Drew Brees pass incomplete short right intended for Marques Colston (defended by Dre Kirkpatrick),6.510,5.530
2,11:23,2,3,CIN 3,7,3,Mark Ingram left guard for 2 yards (tackle by Domata Peko),5.530,5.170
2,10:49,3,1,CIN 1,7,3,Mark Ingram left guard for no gain (tackle by Domata Peko and Wallace Gilberry),5.170,3.550
2,10:22,4,1,CIN 1,7,3,Drew Brees pass complete short right to Erik Lorig for -1 yards (tackle by Rey Maualuga),3.550,0.380
2,10:17,1,10,CIN 2,7,3,Rex Burkhead left guard for 1 yard (tackle by Curtis Lofton and David Hawthorne),-0.380,-0.710
2,9:47,2,9,CIN 3,7,3,Andy Dalton pass complete short right to Rex Burkhead for 11 yards (tackle by David Hawthorne),-0.710,-0.280
2,9:25,1,10,CIN 14,7,3,Jeremy Hill right tackle for 4 yards (tackle by Akiem Hicks),-0.280,-0.210
2,8:42,2,6,CIN 18,7,3,Andy Dalton left end for 4 yards (tackle by David Hawthorne),-0.210,-0.440
2,7:59,3,2,CIN 22,7,3,Andy Dalton pass complete short right to A.J. Green for 13 yards (tackle by Curtis Lofton),-0.440,1.270
2,7:30,1,10,CIN 35,7,3,Jeremy Hill right tackle for 21 yards (tackle by Corey White),1.270,2.650
2,6:59,1,10,NOR 44,7,3,Cedric Peerman right tackle for no gain (tackle by Cameron Jordan),2.650,2.110
2,6:26,2,10,NOR 44,7,3,Andy Dalton pass complete deep right to A.J. Green for 21 yards,2.110,4.040
2,6:04,1,10,NOR 23,7,3,Jeremy Hill left guard for 4 yards (tackle by John Jenkins),4.040,4.050
2,5:42,2,6,NOR 19,7,3,Andy Dalton pass incomplete deep right intended for A.J. Green,4.050,4.050
2,5:37,2,6,NOR 19,7,3,Timeout #2 by Cincinnati Bengals,4.050,3.340
2,5:37,3,6,NOR 19,7,3,"Penalty on Marcus Ball: Encroachment, 5 yards (no play)",3.340,4.280
2,5:37,3,1,NOR 14,7,3,Jeremy Hill left guard for 2 yards (tackle by John Jenkins),4.280,4.780
2,4:57,1,10,NOR 12,7,3,Jeremy Hill left guard for 1 yard (tackle by Curtis Lofton),4.780,4.270
2,4:20,2,9,NOR 11,7,3,Andy Dalton pass complete short left to Mohamed Sanu for 8 yards (tackle by Curtis Lofton),4.270,5.060
2,3:42,3,1,NOR 3,7,3,Jeremy Hill left tackle for -1 yards (tackle by Brodrick Bunkley and David Hawthorne),5.060,3.040
2,2:56,4,2,NOR 4,10,3,Mike Nugent 22 yard field goal good,3.040,3.000
2,2:56,,,CIN 35,10,3,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
2,2:52,1,10,NOR 20,10,3,Mark Ingram left guard for 5 yards (tackle by Emmanuel Lamur),0.280,0.410
2,2:21,2,5,NOR 25,10,3,Drew Brees pass complete short middle to Travaris Cadet for 8 yards (tackle by Adam Jones),0.410,1.140
2,2:00,1,10,NOR 33,10,3,Drew Brees pass complete short left to Travaris Cadet for 4 yards (tackle by Emmanuel Lamur),1.140,1.130
2,1:42,2,6,NOR 37,10,3,"Drew Brees pass complete short left to Travaris Cadet for 3 yards (tackle by Emmanuel Lamur). Penalty on Ben Grubbs: Offensive Holding, 10 yards (no play)",1.130,-0.220
2,1:39,2,16,NOR 27,10,3,Drew Brees pass complete short right to Travaris Cadet for 12 yards (tackle by Geno Atkins),-0.220,0.700
2,1:17,3,4,NOR 39,10,3,Drew Brees pass incomplete short right intended for Brandin Cooks (defended by Carlos Dunlap),0.700,-0.780
2,1:13,4,4,NOR 39,10,3,"Thomas Morstead punts 54 yards, returned by Adam Jones for 9 yards (tackle by Justin Drescher)",-0.780,0.140
2,0:57,1,10,CIN 16,10,3,Jeremy Hill right guard for -2 yards (tackle by Cameron Jordan and Tyrunn Walker),-0.140,-0.890
2,0:14,2,12,CIN 14,10,3,Jeremy Hill right guard for 62 yards (tackle by Kasim Edebali),-0.890,-0.890
2,0:01,2,12,CIN 14,10,3,Timeout #3 by Cincinnati Bengals,-0.890,3.970
2,0:01,1,10,NOR 24,13,3,Mike Nugent 42 yard field goal good,3.970,3.000
Quarter,Time,Down,ToGo,Location,CIN,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 35,13,3,"Thomas Morstead kicks off 72 yards, returned by Adam Jones for 43 yards (tackle by Marcus Ball)",0.000,1.330
3,14:54,1,10,CIN 36,13,3,Jeremy Hill left guard for 5 yards (tackle by Cameron Jordan),1.330,1.470
3,14:29,2,5,CIN 41,13,3,Andy Dalton pass complete short right to A.J. Green for 13 yards (tackle by David Hawthorne),1.470,2.520
3,14:10,1,10,NOR 46,13,3,Jeremy Hill left end for -1 yards (tackle by Junior Galette and Curtis Lofton),2.520,1.840
3,13:32,2,11,NOR 47,13,3,Andy Dalton pass incomplete short middle intended for Mohamed Sanu,1.840,1.160
3,13:28,3,11,NOR 47,13,3,Andy Dalton pass incomplete short right intended for Mohamed Sanu,1.160,0.130
3,13:24,4,11,NOR 47,13,3,Kevin Huber punts 41 yards,0.130,0.380
3,13:13,1,10,NOR 6,13,3,Mark Ingram left guard for 1 yard (tackle by Rey Maualuga),-0.380,-0.710
3,12:37,2,9,NOR 7,13,3,Drew Brees pass complete short right to Erik Lorig for 1 yard (tackle by Leon Hall and Emmanuel Lamur),-0.710,-1.190
3,11:54,3,8,NOR 8,13,3,Drew Brees pass complete short middle to Jimmy Graham for 12 yards (tackle by Reggie Nelson),-1.190,0.280
3,11:18,1,10,NOR 20,13,3,Drew Brees pass complete short left to Mark Ingram for 4 yards (tackle by Emmanuel Lamur),0.280,0.270
3,10:40,2,6,NOR 24,13,3,Mark Ingram right guard for 1 yard (tackle by Brandon Thompson and Domata Peko),0.270,-0.300
3,10:00,3,5,NOR 25,13,3,Drew Brees pass incomplete short left intended for Marques Colston,-0.300,-1.700
3,9:56,4,5,NOR 25,13,3,"Thomas Morstead punts 25 yards, out of bounds",-1.700,-2.260
3,9:49,1,10,,13,3,Andy Dalton pass complete short right to Rex Burkhead for 10 yards (tackle by Parys Haralson),2.260,2.920
3,9:19,1,10,NOR 40,13,3,Rex Burkhead right tackle for no gain (tackle by Curtis Lofton),2.920,2.370
3,8:48,2,10,NOR 40,13,3,Andy Dalton sacked by Parys Haralson for -1 yards,2.370,1.550
3,8:08,3,11,NOR 41,13,3,Andy Dalton pass complete short right to Rex Burkhead for 15 yards (tackle by Curtis Lofton),1.550,3.840
3,7:32,1,10,NOR 26,13,3,Jeremy Hill left tackle for 9 yards (tackle by Akiem Hicks),3.840,4.640
3,7:02,2,1,NOR 17,13,3,Jeremy Hill left tackle for 5 yards (tackle by Akiem Hicks),4.640,4.780
3,6:29,1,10,NOR 12,13,3,"Andy Dalton pass complete short right to Mohamed Sanu for 9 yards (tackle by Patrick Robinson). Penalty on Kenny Vaccaro: Roughing the Passer, 2 yards",4.780,6.970
3,6:06,1,1,NOR 1,19,3,"Andy Dalton pass complete short right to Jermaine Gresham for 1 yard, touchdown",6.970,7.000
3,6:06,,,NOR 2,20,3,Mike Nugent kicks extra point good,0.000,0.000
3,6:06,,,CIN 35,20,3,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
3,6:03,1,10,NOR 20,20,3,Mark Ingram left tackle for 13 yards (tackle by Vincent Rey),0.280,1.140
3,5:38,1,10,NOR 33,20,3,Drew Brees pass complete short middle to Mark Ingram for 4 yards (tackle by Vincent Rey),1.140,1.130
3,5:05,2,6,NOR 37,20,3,Drew Brees pass complete short right to Joe Morgan for 7 yards (tackle by Dre Kirkpatrick),1.130,1.860
3,4:41,1,10,NOR 44,20,3,Mark Ingram right tackle for 8 yards (tackle by Reggie Nelson),1.860,2.400
3,4:06,2,2,CIN 48,20,3,Mark Ingram left tackle for 3 yards (tackle by Vincent Rey),2.400,2.590
3,3:28,1,10,CIN 45,20,3,"Drew Brees pass incomplete deep right intended for Brandin Cooks. Penalty on Adam Jones: Illegal Contact, 5 yards (no play)",2.590,2.920
3,3:20,1,10,CIN 40,20,3,Mark Ingram left end for 4 yards (tackle by Domata Peko),2.920,2.910
3,2:39,2,6,CIN 36,20,3,Drew Brees pass complete short left to Travaris Cadet for 7 yards (tackle by Reggie Nelson),2.910,3.640
3,2:15,1,10,CIN 29,20,3,Mark Ingram left end for -1 yards (tackle by Rey Maualuga),3.640,2.970
3,1:38,2,11,CIN 30,20,3,Drew Brees pass complete short left to Brian Leonard for 15 yards (tackle by Vincent Rey),2.970,4.580
3,1:01,1,10,CIN 15,20,3,Mark Ingram left guard for no gain (tackle by Will Clarke),4.580,4.580
3,0:25,1,10,CIN 15,20,3,Timeout #1 by Cincinnati Bengals,4.580,3.950
3,0:25,2,10,CIN 15,20,3,Drew Brees pass complete short middle to Mark Ingram for 6 yards (tackle by Vincent Rey and Reggie Nelson),3.950,4.220
Quarter,Time,Down,ToGo,Location,CIN,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,4,CIN 9,20,9,"Drew Brees pass complete short left to Kenny Stills for 9 yards, touchdown",4.220,7.000
4,15:00,,,CIN 2,20,10,Shayne Graham kicks extra point good,0.000,0.000
4,15:00,,,NOR 35,20,10,"Thomas Morstead kicks off 65 yards, touchback",0.000,-0.280
4,14:56,1,10,CIN 20,20,10,"Andy Dalton pass complete short right to A.J. Green for 13 yards (tackle by Corey White). Penalty on A.J. Green: Offensive Pass Interference, 10 yards (no play)",0.280,-0.760
4,14:35,1,20,CIN 10,20,10,Jeremy Hill left guard for 2 yards (tackle by Curtis Lofton),-0.760,-1.360
4,13:52,2,18,CIN 12,20,10,Andy Dalton pass incomplete short left intended for A.J. Green,-1.360,-2.360
4,13:49,3,18,CIN 12,20,10,Andy Dalton pass complete deep right to A.J. Green for 38 yards (tackle by Rafael Bush),-2.360,2.260
4,13:22,1,10,,20,10,Jeremy Hill for 8 yards (tackle by Curtis Lofton),2.260,2.790
4,12:58,2,2,NOR 42,20,10,Jeremy Hill left guard for no gain (tackle by Parys Haralson),2.790,2.080
4,12:16,3,2,NOR 42,20,10,Andy Dalton pass complete short right to A.J. Green for 18 yards (tackle by Rafael Bush),2.080,3.970
4,11:35,1,10,NOR 24,26,10,"Andy Dalton pass complete deep left to A.J. Green for 24 yards, touchdown",3.970,7.000
,,,,,,,"Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",,
4,11:35,,,NOR 2,27,10,Mike Nugent kicks extra point good,0.000,0.000
4,11:35,,,CIN 35,27,10,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
4,11:29,1,10,NOR 20,27,10,Drew Brees pass complete short right to Kenny Stills for 5 yards (tackle by Darqueze Dennard),0.280,0.410
4,11:13,2,5,NOR 25,27,10,Drew Brees up the middle for 3 yards (tackle by Carlos Dunlap),0.410,0.100
4,10:32,3,2,NOR 28,27,10,"Drew Brees right tackle for 36 yards. Penalty on Bryce Harris: Offensive Holding, 10 yards (no play)",0.100,-1.330
4,9:58,3,12,NOR 18,27,10,Drew Brees pass complete deep right to Marques Colston for 17 yards (tackle by Dre Kirkpatrick),-1.330,1.270
4,9:25,1,10,NOR 35,27,10,Mark Ingram right guard for 5 yards (tackle by Emmanuel Lamur),1.270,1.400
4,8:57,2,5,NOR 40,27,10,Drew Brees pass complete short middle to Marques Colston for 7 yards (tackle by Vincent Rey),1.400,2.060
4,8:32,1,10,NOR 47,27,10,Drew Brees pass complete short left to Mark Ingram for -2 yards (tackle by Wallace Gilberry),2.060,1.250
4,8:03,2,12,NOR 45,27,10,Drew Brees pass incomplete deep right intended for Marques Colston (defended by Dre Kirkpatrick),1.250,1.250
4,7:56,2,12,NOR 45,27,10,Timeout #1 by New Orleans Saints,1.250,0.560
4,7:56,3,12,NOR 45,27,10,Drew Brees pass incomplete deep middle intended for Marques Colston (defended by Darqueze Dennard),0.560,-0.390
4,7:51,4,12,NOR 45,27,10,Thomas Morstead punts 53 yards,-0.390,0.380
4,7:40,1,10,CIN 2,27,10,Jeremy Hill right guard for 2 yards (tackle by Kenny Vaccaro),-0.380,-0.630
4,7:03,2,8,CIN 4,27,10,Jeremy Hill left guard for 3 yards (tackle by Curtis Lofton),-0.630,-0.630
4,6:58,2,8,CIN 4,27,10,Timeout #2 by New Orleans Saints,-0.630,-0.840
4,6:58,3,5,CIN 7,27,10,"Andy Dalton pass incomplete short right intended for A.J. Green. Penalty on Corey White: Defensive Pass Interference, 7 yards (no play)",-0.840,-0.280
4,6:55,1,10,CIN 14,27,10,Jeremy Hill right guard for -1 yards (tackle by David Hawthorne). Penalty on Andrew Whitworth: Illegal Formation (Declined),-0.280,-0.850
4,6:16,2,11,CIN 13,27,10,Jeremy Hill right guard for 3 yards (tackle by Kenny Vaccaro),-0.850,-1.160
4,5:35,3,8,CIN 16,27,10,Jeremy Hill right guard for 11 yards (tackle by Rafael Bush and Kasim Edebali),-1.160,0.740
4,4:53,1,10,CIN 27,27,10,Jeremy Hill right guard for 5 yards (tackle by Akiem Hicks and Rafael Bush),0.740,0.740
4,4:47,1,10,CIN 27,27,10,Timeout #3 by New Orleans Saints,0.740,0.870
4,4:47,2,5,CIN 32,27,10,Jeremy Hill left guard for 3 yards (tackle by Parys Haralson),0.870,0.560
4,4:05,3,2,CIN 35,27,10,"Jeremy Hill left end for 1 yard (tackle by Junior Galette and David Hawthorne). Jeremy Hill fumbles (forced by Junior Galette), ball out of bounds at CIN-36",0.560,-0.980
4,3:35,4,1,CIN 36,27,10,"Kevin Huber punts 47 yards, returned by Brandin Cooks for 4 yards (tackle by Jayson DiManche). Brandin Cooks fumbles (forced by Jayson DiManche), recovered by Marcus Ball at NOR-21 (tackle by Cedric Peerman)",-0.980,-0.340
4,3:21,1,10,NOR 21,27,10,Drew Brees pass complete short left to Mark Ingram for 3 yards (tackle by Emmanuel Lamur),0.340,0.210
4,3:02,2,7,NOR 24,27,10,Drew Brees pass complete short left to Mark Ingram for 11 yards (tackle by Vincent Rey),0.210,1.270
4,2:43,1,10,NOR 35,27,10,Drew Brees pass complete short left to Brandin Cooks for 10 yards (tackle by Adam Jones),1.270,1.930
4,2:39,1,10,NOR 45,27,10,Drew Brees pass complete short left to Brandin Cooks for 8 yards (tackle by Adam Jones),1.930,2.460
4,2:17,2,2,CIN 47,27,10,Drew Brees pass complete short left to Brandin Cooks for 13 yards (tackle by Reggie Nelson),2.460,3.310
4,2:00,1,10,CIN 34,27,10,"Travaris Cadet left guard for no gain (tackle by Carlos Dunlap). Travaris Cadet fumbles (forced by Carlos Dunlap), recovered by Will Clarke at CIN-33 (tackle by Bryce Harris)",3.310,-1.140
4,1:54,1,10,CIN 33,27,10,Andy Dalton kneels for -1 yards,1.140,0.460
4,1:13,2,11,CIN 32,27,10,Andy Dalton kneels for -1 yards,0.460,-0.360
4,0:38,3,12,CIN 31,27,10,Andy Dalton kneels for -1 yards,-0.360,-1.370
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
