Quarter,Time,Down,ToGo,Location,MIA,LAR,Detail,EPB,EPA
2,5:48,3,11,LAR 48,0,7,Ryan Tannehill pass incomplete short middle intended for Kenny Stills,1.090,0.070
2,5:42,4,11,LAR 48,0,7,"Matt Darr punts 40 yards, fair catch by Tavon Austin",0.070,0.380
2,5:34,1,10,LAR 8,0,7,Jared Goff pass complete short right to Tyler Higbee for 1 yard (tackle by Isa Abdul-Quddus),-0.380,-0.710
2,4:49,2,9,LAR 9,0,7,Todd Gurley middle for -1 yards (tackle by Earl Mitchell),-0.710,-1.420
2,4:02,3,10,LAR 8,0,7,Jared Goff pass complete short left to Lance Kendricks for 20 yards (tackle by Bacarri Rambo),-1.420,0.810
2,3:22,1,10,LAR 28,0,7,Benny Cunningham left tackle for 6 yards (tackle by Spencer Paysinger),0.810,1.070
2,2:39,2,4,LAR 34,0,7,Jared Goff pass incomplete short right intended for Tavon Austin (defended by Tony Lippett),1.070,0.370
2,2:32,3,4,LAR 34,0,7,Jared Goff sacked by Cameron Wake and Ndamukong Suh for -9 yards,0.370,-1.700
2,2:00,4,13,LAR 25,0,7,Johnny Hekker punts 52 yards,-1.700,-0.480
2,1:48,1,10,MIA 23,0,7,Ryan Tannehill pass complete short left to Dion Sims for 4 yards (tackle by Alec Ogletree),0.480,0.470
2,1:19,2,6,MIA 27,0,7,Ryan Tannehill pass complete short right to Dion Sims for 7 yards (tackle by Mark Barron). Penalty on Robert Quinn: Defensive Offside (Declined),0.470,1.200
2,1:13,1,10,MIA 34,0,7,Ryan Tannehill sacked by Robert Quinn for -10 yards,1.200,-0.690
2,0:36,2,20,MIA 24,0,7,Jay Ajayi middle for 8 yards (tackle by Alec Ogletree),-0.690,-0.300
2,0:22,3,12,MIA 32,0,7,Jay Ajayi middle for 2 yards (tackle by Alec Ogletree and Mark Barron),-0.300,0.000
2,0:22,,,,0,7,Timeout #2 by Los Angeles Rams,0.000,0.000
2,0:17,,,,0,7,Timeout #2 by Los Angeles Rams,0.000,1.110
2,0:17,4,10,MIA 34,0,7,"Matt Darr punts 35 yards, out of bounds",-1.110,-1.000
2,0:10,1,10,LAR 31,0,7,Jared Goff kneels for -1 yards,1.000,0.320
Quarter,Time,Down,ToGo,Location,MIA,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAR 35,0,7,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,MIA 25,0,7,Jay Ajayi left tackle for -2 yards (tackle by Aaron Donald and Michael Brockers),0.610,-0.210
3,14:21,2,12,MIA 23,0,7,Ryan Tannehill pass complete short left to MarQueis Gray for 5 yards (tackle by E.J. Gaines),-0.210,-0.230
3,13:36,3,7,MIA 28,0,7,Ryan Tannehill pass incomplete deep middle intended for Kenny Stills,-0.230,-1.500
3,13:28,4,7,MIA 28,0,7,"Matt Darr punts 48 yards, fair catch by Tavon Austin",-1.500,-0.540
3,13:20,1,10,LAR 24,0,7,Jared Goff pass incomplete short right intended for Lance Kendricks,0.540,0.000
3,13:14,2,10,LAR 24,0,7,"Jared Goff pass complete short middle to Lance Kendricks for 10 yards (tackle by Kiko Alonso). Lance Kendricks fumbles (forced by Kiko Alonso), recovered by Kiko Alonso at LAR-37 (tackle by Kenny Britt)",0.000,-3.120
3,13:05,1,10,LAR 37,0,7,Ryan Tannehill pass incomplete deep left intended for DeVante Parker is intercepted by Maurice Alexander at LAR--3,3.120,-0.280
3,12:54,1,10,LAR 20,0,7,"Todd Gurley middle for 9 yards (tackle by Kiko Alonso). Penalty on Isa Abdul-Quddus: Defensive Offside (Declined), Penalty on Kiko Alonso: Face Mask (15 Yards), 15 yards",0.280,1.860
3,12:34,1,10,LAR 44,0,7,Todd Gurley left guard for 3 yards (tackle by Neville Hewitt),1.860,1.720
3,11:55,2,7,LAR 47,0,7,"Jared Goff pass complete short left to Todd Gurley for -3 yards (tackle by Spencer Paysinger). Penalty on Cameron Wake: Defensive Offside, 5 yards (no play)",1.720,2.400
3,11:22,2,2,MIA 48,0,7,Todd Gurley right end for -2 yards (tackle by Byron Maxwell),2.400,1.420
3,10:35,3,4,,0,7,"Jared Goff pass incomplete short right intended for Kenny Britt (defended by Byron Maxwell). Penalty on Byron Maxwell: Defensive Pass Interference, 6 yards (no play)",1.420,2.650
3,10:30,1,10,MIA 44,0,7,Benny Cunningham middle for 1 yard (tackle by Ndamukong Suh),2.650,2.250
3,9:44,2,9,MIA 43,0,7,Jared Goff pass incomplete short middle intended for Todd Gurley,2.250,1.550
3,9:40,3,9,MIA 43,0,7,Jared Goff pass incomplete short right intended for Lance Kendricks,1.550,0.400
3,9:34,4,9,MIA 43,0,7,"Penalty on Johnny Hekker: Delay of Game, 5 yards (no play)",0.400,0.070
3,9:34,4,14,MIA 48,0,7,"Johnny Hekker punts 36 yards, fair catch by Jarvis Landry",0.070,0.350
3,9:26,1,10,MIA 12,0,7,Ryan Tannehill for 10 yards (tackle by T.J. McDonald),-0.350,0.410
3,8:56,1,10,MIA 22,0,7,Jay Ajayi right end for -2 yards (tackle by Alec Ogletree and Ethan Westbrooks),0.410,-0.400
3,8:12,2,12,MIA 20,0,7,Ryan Tannehill pass incomplete short left intended for Kenny Stills (defended by Lamarcus Joyner),-0.400,-1.090
3,8:08,3,12,MIA 20,0,7,Ryan Tannehill pass incomplete deep left intended for DeVante Parker (defended by E.J. Gaines),-1.090,-2.030
,,,,,,,"MIA challenged the incomplete pass ruling, and the play was upheld.",,
3,8:01,4,12,MIA 20,0,7,"Matt Darr punts 47 yards, returned by Tavon Austin for 36 yards (tackle by Mike Hull). Penalty on Malcolm Brown: Illegal Block Above the Waist (Declined), Penalty on Marqui Christian: Offensive Holding, 10 yards",-2.030,-0.480
3,7:44,1,10,LAR 23,0,7,Todd Gurley left end for 3 yards (tackle by Ndamukong Suh and Jason Jones),0.480,0.340
3,7:00,2,7,LAR 26,0,7,Todd Gurley left guard for 8 yards (tackle by Bacarri Rambo and Kiko Alonso),0.340,1.200
3,6:20,1,10,LAR 34,0,7,Todd Gurley left end for 3 yards (tackle by Neville Hewitt),1.200,1.060
3,5:32,2,7,LAR 37,0,7,Jared Goff pass complete short right to Tavon Austin for 21 yards (tackle by Isa Abdul-Quddus and Tony Lippett),1.060,2.790
3,4:44,1,10,MIA 42,0,7,Todd Gurley right guard for 1 yard (tackle by Isa Abdul-Quddus and Kiko Alonso),2.790,2.380
3,4:00,2,9,MIA 41,0,7,Jared Goff pass complete short left to Pharoh Cooper for 10 yards (tackle by Byron Maxwell and Andre Branch),2.380,3.510
3,3:20,1,10,MIA 31,0,7,Jared Goff right end for 6 yards (tackle by Kiko Alonso),3.510,3.780
3,2:33,2,4,MIA 25,0,7,Jared Goff pass incomplete short right intended for Benny Cunningham,3.780,3.070
3,2:30,3,4,MIA 25,0,7,"Penalty on Tim Barnes: False Start, 5 yards (no play)",3.070,2.410
3,2:30,3,9,MIA 30,0,7,Jared Goff left tackle for 2 yards (tackle by Kiko Alonso),2.410,1.590
3,1:43,4,7,MIA 28,0,10,Greg Zuerlein 46 yard field goal good,1.590,3.000
3,1:39,,,LAR 35,0,10,"Greg Zuerlein kicks off 70 yards, returned by Kenyan Drake for 18 yards (tackle by Malcolm Brown)",0.000,0.320
3,1:32,1,10,MIA 13,0,10,Jay Ajayi left tackle for no gain (tackle by Mark Barron and Dominique Easley),-0.320,-0.770
3,0:51,2,10,MIA 13,0,10,"Ryan Tannehill pass complete short right to Jay Ajayi for 14 yards (tackle by T.J. McDonald). Penalty on Robert Quinn: Defensive Offside (Offsetting), Penalty on Kenny Stills: Illegal Block Above the Waist (Offsetting) (no play)",-0.770,-0.770
3,0:23,2,10,MIA 13,0,10,Ryan Tannehill sacked by Dominique Easley for -3 yards,-0.770,-1.770
Quarter,Time,Down,ToGo,Location,MIA,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,13,MIA 10,0,10,Ryan Tannehill pass complete short right to DeVante Parker for 1 yard (tackle by Trumaine Johnson),-1.770,-2.490
4,14:25,4,12,MIA 11,0,10,"Matt Darr punts 53 yards, returned by Tavon Austin for 11 yards (tackle by Walt Aikens)",-2.490,-2.060
4,14:11,1,10,LAR 47,0,10,Jared Goff pass incomplete short left intended for Todd Gurley,2.060,1.520
4,14:06,2,10,LAR 47,0,10,Todd Gurley left guard for no gain (tackle by Earl Mitchell),1.520,0.830
4,13:24,3,10,LAR 47,0,10,"Jared Goff for 4 yards (tackle by Spencer Paysinger). Penalty on Greg Robinson: Illegal Block Above the Waist, 10 yards",0.830,0.040
4,12:51,3,16,LAR 41,0,10,Jared Goff pass complete short right to Benny Cunningham for -3 yards (tackle by Ndamukong Suh and Andre Branch),0.040,-0.850
4,12:13,4,19,LAR 38,0,10,"Johnny Hekker punts 45 yards, out of bounds",-0.850,0.060
4,12:04,1,10,MIA 17,0,10,Ryan Tannehill pass incomplete short middle intended for Kenny Stills,-0.060,-0.580
4,12:01,2,10,MIA 17,0,10,Ryan Tannehill pass incomplete short right intended for Dion Sims (defended by Mark Barron),-0.580,-1.250
4,11:55,3,10,MIA 17,0,10,Ryan Tannehill sacked by Dominique Easley for -10 yards,-1.250,-2.490
4,11:15,4,20,MIA 7,0,10,"Matt Darr punts 43 yards, out of bounds",-2.490,-2.260
4,11:07,1,10,,0,10,Todd Gurley right guard for 1 yard (tackle by Jordan Phillips),2.260,1.850
4,10:26,2,9,MIA 49,0,10,Jared Goff pass complete short left to Kenny Britt for 7 yards (tackle by Byron Maxwell),1.850,2.080
4,9:43,3,2,MIA 42,0,10,Jared Goff pass complete short middle to Lance Kendricks for 3 yards (tackle by Isa Abdul-Quddus),2.080,2.980
4,9:00,1,10,MIA 39,0,10,Todd Gurley right end for 3 yards (tackle by Ndamukong Suh),2.980,2.850
4,8:15,2,7,MIA 36,0,10,Todd Gurley left tackle for no gain (tackle by Bacarri Rambo and Andre Branch),2.850,2.150
4,7:32,3,7,MIA 36,0,10,Jared Goff pass complete short middle to Kenny Britt for 6 yards (tackle by Byron Maxwell),2.150,0.000
4,6:45,,,,0,10,Timeout #1 by Los Angeles Rams,0.000,-1.520
4,6:45,4,1,MIA 30,0,10,"Greg Zuerlein 48 yard field goal no good. Penalty on Leon Orr: Unsportsmanlike Conduct, 15 yards",1.520,-0.480
4,6:40,1,10,MIA 23,0,10,Ryan Tannehill pass complete short right to Kenny Stills for 7 yards (tackle by Mark Barron),0.480,0.880
4,6:06,2,3,MIA 30,0,10,Ryan Tannehill pass incomplete short middle intended for Jay Ajayi (defended by Aaron Donald),0.880,0.170
4,6:02,3,3,MIA 30,0,10,Ryan Tannehill pass complete short middle to Jarvis Landry for 5 yards (tackle by Lamarcus Joyner),0.170,1.270
4,5:34,1,10,MIA 35,0,10,"Ryan Tannehill pass complete short left to Jarvis Landry for 12 yards (tackle by Alec Ogletree). Penalty on Alec Ogletree: Unnecessary Roughness, 15 yards",1.270,3.050
4,5:14,1,10,LAR 38,0,10,Ryan Tannehill pass complete short left to DeVante Parker for 15 yards (tackle by Maurice Alexander and Alec Ogletree). Penalty on Robert Quinn: Defensive Offside (Declined),3.050,4.040
4,4:51,1,10,LAR 23,0,10,Ryan Tannehill pass complete short left to DeVante Parker for 12 yards (tackle by Lamarcus Joyner),4.040,4.840
4,4:45,1,10,LAR 11,0,10,Ryan Tannehill pass complete short middle to Jay Ajayi for 1 yard (tackle by Mark Barron),4.840,4.320
4,4:13,2,9,LAR 10,6,10,"Ryan Tannehill pass complete short left to Jarvis Landry for 10 yards, touchdown",4.320,7.000
4,4:02,,,LAR 15,7,10,Andrew Franks kicks extra point good,0.000,0.000
4,4:02,,,MIA 35,7,10,"Andrew Franks kicks off 65 yards, touchback",0.000,-0.610
4,4:02,1,10,LAR 25,7,10,Todd Gurley middle for 5 yards (tackle by Neville Hewitt),0.610,0.740
4,3:16,2,5,LAR 30,7,10,"Penalty on Lance Kendricks: False Start, 5 yards (no play)",0.740,0.060
4,3:16,2,10,LAR 25,7,10,Todd Gurley left tackle for no gain (tackle by Spencer Paysinger and Bacarri Rambo),0.060,0.000
4,3:10,,,,7,10,Timeout #2 by Miami Dolphins,0.000,0.620
4,3:10,3,10,LAR 25,7,10,Jared Goff pass complete short middle to Brian Quick for 6 yards (tackle by Tony Lippett),-0.620,0.000
4,2:18,,,,7,10,Timeout #2 by Los Angeles Rams,0.000,1.310
4,2:18,4,4,LAR 31,7,10,"Johnny Hekker punts 44 yards, out of bounds",-1.310,-0.610
4,2:11,1,10,MIA 25,7,10,"Ryan Tannehill pass complete short right to Kenny Stills for 15 yards (tackle by Trumaine Johnson). Penalty on Aaron Donald: Roughing the Passer, 15 yards",0.610,2.590
4,2:04,1,10,LAR 45,7,10,Jay Ajayi middle for -2 yards (tackle by William Hayes),2.590,1.770
4,2:00,2,12,LAR 47,7,10,Ryan Tannehill pass complete short right to DeVante Parker for 12 yards (tackle by Mark Barron),1.770,3.250
4,1:26,1,10,LAR 35,7,10,Ryan Tannehill pass complete short right to DeVante Parker for 9 yards (tackle by Trumaine Johnson),3.250,3.920
4,1:20,2,1,LAR 26,7,10,Jay Ajayi left guard for 9 yards (tackle by T.J. McDonald and Alec Ogletree),3.920,4.440
4,0:50,1,10,LAR 17,7,10,Ryan Tannehill pass complete short right to Jay Ajayi for 8 yards (tackle by Mark Barron),4.440,0.000
4,0:40,,,,7,10,Timeout #3 by Miami Dolphins,0.000,-5.290
4,0:40,2,2,LAR 9,13,10,"Ryan Tannehill pass complete short right to DeVante Parker for 9 yards, touchdown",5.290,7.000
4,0:36,,,LAR 15,14,10,Andrew Franks kicks extra point good,0.000,0.000
4,0:36,,,MIA 35,14,10,"Andrew Franks kicks off 68 yards, returned by Benny Cunningham for 44 yards (tackle by Lafayette Pitts)",0.000,-1.660
4,0:29,1,10,LAR 41,14,10,Jared Goff pass complete short right to Kenny Britt for 7 yards (tackle by Spencer Paysinger),1.660,0.000
4,0:19,,,,14,10,Timeout #3 by Los Angeles Rams,0.000,-2.070
4,0:19,2,3,LAR 48,14,10,Jared Goff pass incomplete deep right intended for Brian Quick,2.070,1.360
4,0:15,3,3,LAR 48,14,10,Jared Goff pass incomplete deep left intended for Kenny Britt,1.360,-0.190
4,0:10,4,3,LAR 48,14,10,Jared Goff pass complete short right to Lance Kendricks for 5 yards (tackle by Kiko Alonso),-0.190,2.460
4,0:05,1,10,MIA 47,14,10,Jared Goff pass incomplete,2.460,1.910
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
