Quarter,Time,Down,ToGo,Location,STL,CAR,Detail,EPB,EPA
2,6:03,1,10,STL 30,0,0,DeShaun Foster right end for 2 yards (tackle by Victor Adeyanju),3.580,3.300
2,5:20,2,8,STL 28,0,0,"DeAngelo Williams left guard for 1 yard (tackle by La'Roi Glover). Penalty on Victor Adeyanju: Defensive Offside, 5 yards (no play)",3.300,3.980
2,4:53,2,3,STL 23,0,0,Brad Hoover left guard for 1 yard (tackle by Victor Adeyanju),3.980,3.400
2,4:12,3,2,STL 22,0,0,Jake Delhomme pass incomplete short middle intended for Keyshawn Johnson,3.400,2.120
2,4:09,4,2,STL 22,0,3,John Kasay 40 yard field goal good,2.120,3.000
2,,,,CAR 30,0,3,"John Kasay kicks off 65 yards, returned by Willie Ponder for 14 yards (tackle by Kevin McCadam)",0.000,0.150
2,4:02,1,10,STL 19,0,3,"Marc Bulger pass complete short left to Steven Jackson for 5 yards (tackle by Richard Marshall). Penalty on Ma'ake Kemoeatu: Defensive Offside, 5 yards (no play)",0.150,0.940
2,3:32,1,5,STL 24,0,3,Marc Bulger sacked by Mike Rucker for -8 yards,0.940,-0.870
2,3:01,2,13,STL 16,0,3,Marc Bulger sacked by Chris Draft for -10 yards,-0.870,-2.940
2,2:25,3,23,STL 6,0,3,Steven Jackson right end for 7 yards (tackle by Shaun Williams),-2.940,-2.490
2,2:00,4,16,STL 13,0,3,"Matt Turk punts 60 yards, returned by Chris Gamble for 4 yards (tackle by Paul Smith)",-2.490,-1.000
2,1:46,1,10,CAR 31,0,3,Jake Delhomme pass complete short left to Keyshawn Johnson for 7 yards (tackle by Fakhir Brown),1.000,1.410
2,1:41,2,3,CAR 38,0,9,"Jake Delhomme pass complete deep left to Steve Smith for 62 yards, touchdown",1.410,7.000
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,,,,STL 2,0,10,John Kasay kicks extra point good,0.000,0.000
2,,,,CAR 30,0,10,"John Kasay kicks off 70 yards, touchback",0.000,0.280
2,1:31,1,10,STL 20,0,10,Marc Bulger pass incomplete short right intended for Isaac Bruce (defended by Richard Marshall),0.280,-0.270
2,1:28,2,10,STL 20,0,10,Marc Bulger sacked by Thomas Davis for -6 yards,-0.270,-2.030
2,1:19,,,,0,10,Timeout #2 by Carolina Panthers,0.000,-2.030
2,1:19,3,16,STL 14,0,10,Marc Bulger pass complete deep right to Torry Holt for 16 yards (tackle by Richard Marshall),-2.030,0.940
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,1:05,,,,0,10,Timeout #1 by St. Louis Rams,0.000,0.940
2,1:05,1,10,STL 30,0,10,Marc Bulger pass incomplete short left intended for Steven Jackson,0.940,0.390
2,0:58,2,10,STL 30,0,10,Marc Bulger pass incomplete short right intended for Joe Klopfenstein (defended by Al Wallace),0.390,-0.300
2,0:55,3,10,STL 30,0,10,Marc Bulger pass incomplete short left intended for Torry Holt,-0.300,-1.370
2,0:51,4,10,STL 30,0,10,"Matt Turk punts 40 yards, returned by Steve Smith for -2 yards (tackle by Isaiah Kacyvenski)",-1.370,-0.810
2,0:42,1,10,CAR 28,0,10,DeAngelo Williams for 5 yards (tackle by Corey Chavous),0.810,0.940
2,0:15,2,5,CAR 33,0,10,Jake Delhomme pass complete short middle to DeAngelo Williams for 6 yards (tackle by Tye Hill),0.940,1.530
2,0:12,1,10,CAR 39,0,10,Jake Delhomme pass incomplete short left intended for Brad Hoover,1.530,0.990
2,0:09,2,10,CAR 39,0,10,Jake Delhomme pass incomplete short left intended for Kris Mangum,0.990,0.300
2,0:04,3,10,CAR 39,0,10,Jake Delhomme pass complete short middle to Nick Goings for 23 yards (tackle by Will Witherspoon),0.300,3.050
Quarter,Time,Down,ToGo,Location,STL,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 30,0,10,"Jeff Wilkins kicks off 57 yards, returned by DeAngelo Williams for 75 yards (tackle by Tye Hill). Penalty on Jeff King: Offensive Holding, 10 yards",0.000,-0.380
3,14:47,1,10,CAR 10,0,10,Jake Delhomme pass incomplete short right intended for Keyshawn Johnson (defended by Leonard Little),-0.380,-0.780
3,14:45,2,10,CAR 10,0,10,Nick Goings left guard for 2 yards (tackle by Victor Adeyanju),-0.780,-1.190
3,14:06,3,8,CAR 12,0,10,Nick Goings right guard for 28 yards (tackle by O.J. Atogwe),-1.190,1.600
3,13:23,1,10,CAR 40,0,10,Jake Delhomme pass incomplete short left intended for Brad Hoover (defended by Victor Adeyanju),1.600,1.050
3,13:17,2,10,CAR 40,0,10,Jake Delhomme pass complete short middle to Steve Smith for 11 yards (tackle by Fakhir Brown),1.050,2.320
3,12:40,1,10,STL 49,0,10,DeAngelo Williams right end for -1 yards (tackle by Brandon Chillar),2.320,1.650
3,12:00,2,11,,0,10,Jake Delhomme pass incomplete deep left intended for Steve Smith,1.650,0.960
3,11:53,3,11,,0,10,Jake Delhomme pass incomplete short right intended for Nick Goings,0.960,-0.060
3,11:49,4,11,,0,10,"Jason Baker punts 50 yards, touchback",-0.060,-0.280
3,11:40,1,10,STL 20,0,10,"Penalty on Adam Goldberg: False Start, 5 yards (no play)",0.280,-0.310
3,11:40,1,15,STL 15,0,10,Marc Bulger pass complete deep right to Joe Klopfenstein for 18 yards (tackle by Chris Draft),-0.310,1.140
3,11:10,1,10,STL 33,0,10,Marc Bulger sacked by Thomas Davis and Chris Draft for -8 yards,1.140,-0.490
3,10:36,2,18,STL 25,0,10,Steven Jackson right guard for 4 yards (tackle by Thomas Davis),-0.490,-0.620
3,9:57,3,14,STL 29,0,10,Marc Bulger pass incomplete deep middle intended for Kevin Curtis (defended by Richard Marshall),-0.620,-1.440
3,9:50,4,14,STL 29,0,10,"Matt Turk punts 56 yards, muffed catch by Chris Gamble, recovered by Chris Gamble and returned for no gain",-1.440,0.060
3,9:39,1,10,CAR 17,0,10,Jake Delhomme pass incomplete short left intended for Keyshawn Johnson,-0.060,-0.580
3,9:36,2,10,CAR 17,0,10,Nick Goings right tackle for 2 yards (tackle by Will Witherspoon),-0.580,-1.000
3,8:53,3,8,CAR 19,0,10,Jake Delhomme pass complete short middle to Steve Smith for 7 yards (tackle by Jerome Carter),-1.000,-1.630
3,8:13,4,1,CAR 26,0,10,"Jason Baker punts 48 yards, returned by Shaun McDonald for 2 yards (tackle by Brad Hoover)",-1.630,-0.810
3,7:59,1,10,STL 28,0,10,Steven Jackson for 8 yards (tackle by Chris Gamble),0.810,1.340
3,7:29,2,2,STL 36,0,10,Marc Bulger pass complete short left to Steven Jackson for no gain,1.340,0.630
3,6:44,3,2,STL 36,0,10,Marc Bulger pass incomplete short middle intended for Isaac Bruce (defended by Richard Marshall),0.630,-0.980
3,6:39,4,2,STL 36,0,10,Matt Turk punts 38 yards,-0.980,-0.670
3,6:28,1,10,CAR 26,0,10,DeAngelo Williams left tackle for 2 yards (tackle by Brandon Chillar),0.670,0.400
3,5:45,2,8,CAR 28,0,10,Brad Hoover middle for 3 yards (tackle by Victor Adeyanju),0.400,0.100
3,5:07,3,5,CAR 31,0,10,Jake Delhomme pass complete short right to Brad Hoover for -3 yards (tackle by Leonard Little and Raonall Smith),0.100,-1.500
3,4:34,4,8,CAR 28,0,10,"Jason Baker punts 58 yards, returned by Shaun McDonald for 12 yards (tackle by James Anderson). Penalty on Madison Hedgecock: Illegal Block Above the , 10 yards",-1.500,0.320
3,4:21,1,10,STL 13,0,10,Steven Jackson left end for no gain (tackle by Thomas Davis),-0.320,-0.770
3,3:15,2,10,STL 13,0,10,Marc Bulger pass complete short middle to Steven Jackson for 2 yards (tackle by Al Wallace),-0.770,-1.180
3,3:15,3,8,STL 15,0,10,Marc Bulger pass incomplete short left intended for Kevin Curtis is intercepted by Christian Morton at STL-20 and returned for 13 yards. Penalty on Adam Goldberg: Offensive Holding (Declined),-1.180,-5.600
3,3:08,1,7,STL 7,0,10,"DeAngelo Williams middle for 2 yards (tackle by Fakhir Brown). DeAngelo Williams fumbles (forced by Fakhir Brown), recovered by DeAngelo Williams at STL-5",5.600,5.150
3,2:17,2,5,STL 5,0,10,DeAngelo Williams left guard for 1 yard (tackle by La'Roi Glover),5.150,4.490
3,1:33,3,4,STL 4,0,10,Jake Delhomme sacked by La'Roi Glover for -12 yards,4.490,2.380
3,1:04,4,16,STL 16,0,13,John Kasay 34 yard field goal good,2.380,3.000
3,,,,CAR 30,0,13,"John Kasay kicks off 62 yards, returned by Willie Ponder for 16 yards (tackle by James Anderson)",0.000,0.540
3,0:56,1,10,STL 24,0,13,Marc Bulger pass incomplete short middle intended for Kevin Curtis,0.540,0.000
3,0:53,2,10,STL 24,0,13,Marc Bulger pass complete short left to Torry Holt for 2 yards (tackle by Richard Marshall),0.000,-0.430
3,0:18,3,8,STL 26,0,13,Marc Bulger pass complete short left to Shaun McDonald for 5 yards (tackle by Chris Gamble),-0.430,-1.310
Quarter,Time,Down,ToGo,Location,STL,CAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,3,STL 31,0,13,Matt Turk punts 46 yards,-1.310,-0.480
4,14:50,1,10,CAR 23,0,13,Jake Delhomme pass complete short left to Keyshawn Johnson for 8 yards (tackle by Fakhir Brown),0.480,1.010
4,14:12,2,2,CAR 31,0,13,DeAngelo Williams right guard for 5 yards (tackle by Corey Chavous),1.010,1.330
4,13:32,1,10,CAR 36,0,13,DeAngelo Williams middle for 7 yards (tackle by Will Witherspoon),1.330,1.740
4,12:51,2,3,CAR 43,0,13,DeAngelo Williams right end for 1 yard (tackle by Will Witherspoon),1.740,1.160
4,12:05,3,2,CAR 44,0,13,Brad Hoover right guard for 2 yards (tackle by Leonard Little),1.160,1.990
4,11:25,1,10,CAR 46,0,13,Jake Delhomme pass complete short left to Keyshawn Johnson for 9 yards (tackle by Fakhir Brown),1.990,2.670
4,10:43,2,1,STL 45,0,13,Nick Goings left end for 2 yards (tackle by Jimmy Kennedy),2.670,2.720
4,9:56,1,10,STL 43,0,13,Jake Delhomme pass complete short right to Nick Goings for 2 yards (tackle by Tye Hill),2.720,2.450
4,9:14,2,8,STL 41,0,13,DeAngelo Williams middle for 4 yards (tackle by La'Roi Glover),2.450,2.280
4,8:29,3,4,STL 37,0,13,"Penalty on Jordan Gross: False Start, 5 yards (no play)",2.280,1.620
4,8:04,3,9,STL 42,0,13,"Jake Delhomme pass complete deep middle to Keyshawn Johnson for 31 yards (tackle by Tye Hill). Penalty on Keyshawn Johnson: Face Mask (15 Yards), 15 yards",1.620,3.840
4,7:27,1,10,STL 26,0,13,Keyshawn Johnson pass incomplete deep right intended for Steve Smith is intercepted by Tye Hill at STL-6 and returned for 6 yards,3.840,0.350
4,7:24,1,10,STL 12,0,13,Marc Bulger pass complete short left to Madison Hedgecock for 5 yards (tackle by Thomas Davis),-0.350,-0.230
4,6:30,2,5,STL 17,0,13,Marc Bulger pass complete short left to Torry Holt for 9 yards (tackle by Thomas Davis),-0.230,0.670
4,6:03,1,10,STL 26,0,13,Marc Bulger pass complete to Kevin Curtis for 10 yards (tackle by Christian Morton),0.670,1.330
4,6:03,1,10,STL 36,0,13,Marc Bulger pass incomplete deep left intended for Torry Holt,1.330,0.790
4,5:58,2,10,STL 36,0,13,Marc Bulger pass complete short left to Torry Holt for 17 yards (tackle by Dion Byrum),0.790,2.460
4,5:36,1,10,CAR 47,0,13,"Marc Bulger pass complete short middle to Torry Holt for 3 yards (tackle by Dion Byrum). Torry Holt fumbles (forced by Dion Byrum), recovered by Richard Marshall at CAR-44 (tackle by Adam Timmerman)",2.460,-3.510
,,,,,,,"STL challenged the ruling, and the play was upheld.",,
4,5:27,1,10,STL 31,0,13,DeAngelo Williams left tackle for 7 yards (tackle by Brandon Chillar),3.510,3.910
4,4:42,2,3,STL 24,0,13,Brad Hoover left guard for 7 yards (tackle by Fakhir Brown and Victor Adeyanju),3.910,4.440
4,3:55,1,10,STL 17,0,13,DeAngelo Williams right guard for 7 yards (tackle by Brandon Chillar),4.440,5.100
4,3:42,,,,0,13,Timeout #2 by St. Louis Rams,0.000,5.100
4,3:42,2,3,STL 10,0,13,DeAngelo Williams right tackle for 5 yards (tackle by Victor Adeyanju),5.100,6.060
4,3:01,1,5,STL 5,0,13,"Brad Hoover left guard for 3 yards (tackle by O.J. Atogwe). Brad Hoover fumbles (forced by O.J. Atogwe), recovered by Jimmy Kennedy at STL-2 (tackle by Brad Hoover)",6.060,0.380
4,2:54,1,10,STL 2,0,13,Marc Bulger pass complete short middle to Steven Jackson for 3 yards (tackle by Thomas Davis),-0.380,-0.560
4,2:30,2,7,STL 5,0,15,"Marc Bulger sacked by Mike Rucker for -5 yards, safety",-0.560,-2.000
4,,,,STL 20,,,"Matt Turk kicks off 37 yards, returned by Steve Smith for 12 yards (tackle by Ron Bartell). Penalty on Kevin McCadam: Offensive Holding, 10 yards",,
4,2:18,1,10,CAR 36,0,15,DeAngelo Williams left guard for 9 yards (tackle by Victor Adeyanju),1.330,2.010
4,2:00,2,1,CAR 45,0,15,DeAngelo Williams right guard for 2 yards (tackle by Jimmy Kennedy),2.010,2.060
4,1:54,,,,0,15,Timeout #3 by St. Louis Rams,0.000,2.060
4,1:50,1,10,CAR 47,0,15,Jake Delhomme kneels for -1 yards,2.060,1.380
4,1:12,2,11,CAR 46,0,15,Jake Delhomme kneels for -1 yards,1.380,0.560
4,0:34,3,12,CAR 45,0,15,Jake Delhomme kneels for -1 yards,0.560,-0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
