Quarter,Time,Down,ToGo,Location,KAN,TAM,Detail,EPB,EPA
1,1:36,1,10,KAN 28,7,7,Brian Griese pass incomplete intended for Will Heller,3.710,3.170
1,1:15,2,10,KAN 28,7,7,Brian Griese pass complete to Joey Galloway for 21 yards (tackle by Julian Battle),3.170,5.600
1,0:45,1,7,KAN 7,7,7,Michael Pittman for 3 yards (tackle by Greg Wesley and Quinton Caver),5.600,5.340
Quarter,Time,Down,ToGo,Location,KAN,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,KAN 4,7,7,Brian Griese pass complete to Jameel Cook for 3 yards (tackle by Eric Warfield),5.340,5.170
2,14:20,3,1,KAN 1,7,7,Michael Pittman for no gain (tackle by Vonnie Holliday and Kawika Mitchell),5.170,3.550
2,13:55,4,1,KAN 1,7,13,"Michael Pittman for 1 yard, touchdown",3.550,7.000
2,,,,KAN 2,7,14,Martin Gramatica kicks extra point good,0.000,0.000
2,,,,TAM 30,7,14,Martin Gramatica kicks off 30 yards,0.000,1.600
2,13:49,1,10,KAN 40,7,14,Johnnie Morton for 6 yards (tackle by Jermaine Phillips),1.600,1.860
2,13:32,2,4,KAN 46,7,14,Priest Holmes for 7 yards (tackle by Shelton Quarles and Ronde Barber),1.860,2.460
2,13:00,1,10,TAM 47,7,14,Priest Holmes for 4 yards (tackle by Derrick Brooks),2.460,2.450
2,12:11,2,6,TAM 43,7,14,Priest Holmes for 11 yards (tackle by Simeon Rice),2.450,3.450
2,11:40,1,10,TAM 32,7,14,Trent Green pass incomplete intended for Johnnie Morton,3.450,2.900
2,11:35,2,10,TAM 32,7,14,Priest Holmes for 6 yards (tackle by Dwight Smith),2.900,3.010
2,10:52,3,4,TAM 26,7,14,Trent Green pass complete to Johnnie Morton for 8 yards (tackle by Ronde Barber),3.010,4.370
2,10:13,1,10,TAM 18,7,14,Trent Green pass complete to Tony Gonzalez for 14 yards (tackle by Will Allen),4.370,6.280
2,9:45,1,4,TAM 4,7,14,Priest Holmes for 2 yards (tackle by Corey Smith and Derrick Brooks),6.280,5.720
2,9:11,2,2,TAM 2,13,14,"Priest Holmes for 2 yards, touchdown",5.720,7.000
2,,,,TAM 2,14,14,Lawrence Tynes kicks extra point good,0.000,0.000
2,,,,KAN 30,14,14,"Lawrence Tynes kicks off 62 yards, returned by Torrie Cox for 22 yards (tackle by Shaunard Harts)",0.000,0.940
2,8:56,1,10,TAM 30,14,14,Brian Griese pass incomplete intended for Jameel Cook,0.940,0.390
2,8:50,2,10,TAM 30,14,14,Brian Griese pass incomplete intended for Michael Clayton (defended by Julian Battle),0.390,-0.300
2,8:44,3,10,TAM 30,14,14,"Brian Griese pass incomplete intended for Michael Pittman. Penalty on Brian Griese: Intentional Grounding, 10 yards",-0.300,-2.030
2,8:38,4,20,TAM 20,14,14,"Josh Bidwell punts 41 yards, returned by Dante Hall for 29 yards (tackle by Dave Moore)",-2.030,-3.450
2,8:22,1,10,TAM 32,14,14,Trent Green pass complete to Tony Gonzalez for 13 yards (tackle by Dwight Smith),3.450,4.310
2,7:45,1,10,TAM 19,14,14,Larry Johnson for no gain (tackle by Jon Bradley),4.310,3.750
2,7:07,2,10,TAM 19,14,14,Trent Green pass complete to Tony Gonzalez for 6 yards (tackle by Ronde Barber),3.750,3.960
2,6:38,3,4,TAM 13,14,14,Trent Green pass incomplete intended for Larry Johnson,3.960,2.640
2,6:30,4,4,TAM 13,17,14,Lawrence Tynes 31 yard field goal good,2.640,3.000
2,,,,KAN 30,17,14,"Lawrence Tynes kicks off 64 yards, returned by Torrie Cox for 27 yards (tackle by Chris Horn)",0.000,1.140
2,6:17,1,10,TAM 33,17,14,Michael Pittman for -1 yards (tackle by Vonnie Holliday),1.140,0.460
2,5:39,2,11,TAM 32,17,14,Brian Griese pass complete to Michael Clayton for 9 yards (tackle by William Bartee),0.460,0.960
2,5:02,3,2,TAM 41,17,14,Brian Griese for 2 yards (tackle by Quinton Caver),0.960,1.800
2,4:30,1,10,TAM 43,17,14,"Brian Griese pass incomplete intended for Michael Clayton. Penalty on Jerome Woods: Defensive Holding, 5 yards (no play)",1.800,2.130
,,,,,,,"KAN challenged the ruling, and the original play was overturned.",,
2,4:18,1,10,TAM 48,17,14,Brian Griese pass complete to Joe Jurevicius for 15 yards (tackle by Eric Warfield),2.130,3.120
2,3:38,1,10,KAN 37,17,14,"Brian Griese pass incomplete intended for Joey Galloway. Penalty on Jared Allen: Roughing the Passer, 15 yards (no play)",3.120,4.110
2,3:31,1,10,KAN 22,17,14,Michael Pittman for no gain (tackle by Jared Allen and Scott Fujita),4.110,3.560
2,2:52,2,10,KAN 22,17,14,Brian Griese pass incomplete intended for Jameel Cook,3.560,2.870
2,2:46,3,10,KAN 22,17,14,Brian Griese pass complete to Joey Galloway for 19 yards (tackle by William Bartee),2.870,6.510
2,2:00,1,3,KAN 3,17,20,"Brian Griese pass complete to Ken Dilger for 3 yards, touchdown",6.510,7.000
2,,,,KAN 2,17,21,Martin Gramatica kicks extra point good,0.000,0.000
2,,,,TAM 30,17,21,"Martin Gramatica kicks off 64 yards, returned by Dante Hall for 30 yards (tackle by Will Allen)",0.000,1.330
2,1:46,1,10,KAN 36,17,21,Trent Green pass complete to Johnnie Morton for 13 yards (tackle by Mario Edwards),1.330,2.190
2,1:24,1,10,KAN 49,17,21,Trent Green pass complete to Tony Gonzalez for 6 yards (tackle by Derrick Brooks),2.190,2.460
2,1:03,2,4,TAM 45,17,21,Trent Green for 5 yards (tackle by Dewayne White),2.460,2.920
2,0:57,,,,17,21,Timeout #1 by Kansas City Chiefs,0.000,2.920
2,0:57,1,10,TAM 40,17,21,Trent Green pass complete to Johnnie Morton for 15 yards (tackle by Mario Edwards). Penalty on Greg Spires: Defensive Offside (Declined),2.920,3.910
2,0:47,1,10,TAM 25,17,21,Trent Green pass complete to Priest Holmes for 2 yards (tackle by Dwight Smith),3.910,3.630
2,0:42,2,8,TAM 23,23,21,"Trent Green pass complete to Tony Gonzalez for 23 yards, touchdown",3.630,7.000
2,,,,TAM 2,24,21,Lawrence Tynes kicks extra point good,0.000,0.000
2,,,,KAN 30,24,21,"Lawrence Tynes kicks off 40 yards, returned by Greg Comella for 20 yards (tackle by Willie Pile)",0.000,2.260
2,0:27,1,10,TAM 50,24,21,Brian Griese pass complete to Joe Jurevicius for 5 yards (tackle by Julian Battle),2.260,2.390
2,0:20,,,,24,21,Timeout #1 by Tampa Bay Buccaneers,0.000,2.390
2,0:20,2,5,KAN 45,24,21,Brian Griese pass complete to Michael Clayton for 18 yards (tackle by William Bartee),2.390,3.780
2,0:13,,,,24,21,Timeout #2 by Tampa Bay Buccaneers,0.000,3.780
2,0:11,1,10,KAN 27,24,21,Martin Gramatica 46 yard field goal no good,3.780,-1.330
2,0:06,1,10,KAN 36,24,21,Trent Green kneels for -1 yards,1.330,0.660
Quarter,Time,Down,ToGo,Location,KAN,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,KAN 30,24,21,"Lawrence Tynes kicks off 63 yards, returned by Torrie Cox for 13 yards (tackle by Julian Battle)",0.000,0.280
3,14:51,1,10,TAM 20,24,21,Brian Griese pass complete to Michael Clayton for 2 yards (tackle by William Bartee),0.280,0.000
3,14:15,2,8,TAM 22,24,27,"Michael Pittman for 78 yards, touchdown",0.000,7.000
3,,,,KAN 2,24,28,Martin Gramatica kicks extra point good,0.000,0.000
3,,,,TAM 30,24,28,"Martin Gramatica kicks off 52 yards, returned by Chris Horn for 11 yards (tackle by Jeff Gooch)",0.000,0.870
3,13:52,1,10,KAN 29,24,28,Priest Holmes for 2 yards (tackle by Greg Spires),0.870,0.600
3,13:16,2,8,KAN 31,24,28,Trent Green pass complete to Tony Gonzalez for 13 yards (tackle by Derrick Brooks),0.600,1.860
3,12:37,1,10,KAN 44,24,28,Priest Holmes for 1 yard (tackle by Greg Spires),1.860,1.450
3,12:02,2,9,KAN 45,24,28,Trent Green pass incomplete intended for Jason Dunn,1.450,0.760
3,11:54,3,9,KAN 45,24,28,Trent Green pass incomplete intended for Johnnie Morton (defended by Mario Edwards),0.760,-0.390
3,11:48,4,9,KAN 45,24,28,"Stephen Cheek punts 44 yards, returned by Joey Galloway for 2 yards",-0.390,0.320
3,11:38,1,10,TAM 13,24,28,"Michael Pittman for 2 yards (tackle by Kawika Mitchell). Penalty on Ryan Sims: Defensive Offside, 5 yards (no play)",-0.320,0.400
3,11:15,1,5,TAM 18,24,28,Michael Pittman for -2 yards (tackle by Jimmy Wilkerson and Eric Warfield),0.400,-0.440
3,10:32,2,7,TAM 16,24,28,Brian Griese pass incomplete intended for Michael Pittman (defended by Scott Fujita),-0.440,-1.060
3,10:25,3,7,TAM 16,24,28,Brian Griese pass incomplete intended for Ken Dilger (defended by Quinton Caver),-1.060,-2.390
3,10:19,4,7,TAM 16,24,28,"Josh Bidwell punts 57 yards, returned by Dante Hall for 13 yards (tackle by John Howell). Penalty on Shaunard Harts: Illegal Block Above the Waist, 10 yards",-2.390,-0.940
3,10:05,1,10,KAN 30,24,28,Trent Green pass complete to Tony Gonzalez for 13 yards (tackle by Dwight Smith),0.940,1.800
3,9:30,1,10,KAN 43,24,28,Trent Green pass complete to Eddie Kennison for 5 yards (tackle by Derrick Brooks),1.800,1.930
3,9:05,2,5,KAN 48,24,28,"Trent Green pass incomplete intended for Eddie Kennison is intercepted by Dwight Smith at TAM-38. Penalty on Dwight Smith: Taunting, 15 yards",1.930,-0.480
3,8:56,1,10,TAM 23,24,28,Michael Pittman for 9 yards (tackle by Greg Wesley),0.480,1.150
3,7:52,2,1,TAM 32,24,28,"Brian Griese pass complete to Michael Clayton for 5 yards (tackle by Jerome Woods). Penalty on Michael Clayton: Face Mask (15 Yards), 15 yards",1.150,-0.200
3,7:48,2,11,TAM 22,24,28,Brian Griese pass incomplete intended for Michael Clayton,-0.200,-0.890
3,7:45,3,11,TAM 22,24,28,"Brian Griese pass incomplete intended for Joey Galloway. Penalty on Julian Battle: Defensive Pass Interference, 18 yards (no play)",-0.890,1.600
3,7:41,1,10,TAM 40,24,28,Brian Griese pass incomplete intended for Ken Dilger,1.600,1.050
3,7:36,2,10,TAM 40,24,28,Brian Griese pass incomplete intended for Michael Clayton,1.050,0.370
3,7:26,3,10,TAM 40,24,28,"Penalty on Brian Griese: False Start, 5 yards (no play)",0.370,-0.300
3,7:26,3,15,TAM 35,24,28,Brian Griese pass complete to Michael Pittman for 6 yards (tackle by Ryan Sims),-0.300,-0.650
3,6:48,4,9,TAM 41,24,28,"Josh Bidwell punts 39 yards, fair catch by Dante Hall",-0.650,-0.280
3,6:38,1,10,KAN 20,24,28,Priest Holmes for 1 yard (tackle by Jon Bradley),0.280,-0.130
3,5:52,2,9,KAN 21,24,28,Trent Green pass complete to Tony Gonzalez for 6 yards (tackle by Ian Gold),-0.130,-0.030
3,5:17,3,3,KAN 27,24,28,Trent Green pass complete to Chris Horn for 30 yards (tackle by Ronde Barber),-0.030,2.720
3,4:35,1,10,TAM 43,24,28,Priest Holmes for 13 yards (tackle by Jermaine Phillips),2.720,3.580
3,4:02,1,10,TAM 30,24,28,Trent Green pass complete to Tony Gonzalez for 29 yards (tackle by Ronde Barber). Penalty on Ronde Barber: Illegal Contact (Declined),3.580,6.970
3,3:41,,,,24,28,Timeout #1 by Kansas City Chiefs,0.000,6.970
3,3:41,1,1,TAM 1,24,28,Larry Johnson for no gain (tackle by Derrick Brooks),6.970,5.910
3,3:03,2,1,TAM 1,24,28,Larry Johnson for no gain (tackle by John Howell),5.910,5.170
3,2:20,3,1,TAM 1,30,28,"Trent Green pass complete to Jason Dunn for 1 yard, touchdown",5.170,7.000
3,,,,TAM 2,31,28,Lawrence Tynes kicks extra point good,0.000,0.000
3,,,,KAN 30,31,28,"Lawrence Tynes kicks off 74 yards, touchback",0.000,0.280
3,2:13,1,10,TAM 20,31,28,Michael Pittman for 5 yards (tackle by Kawika Mitchell),0.280,0.410
3,1:35,2,5,TAM 25,31,28,Michael Pittman for 7 yards (tackle by Greg Wesley and Scott Fujita),0.410,1.070
3,0:51,1,10,TAM 32,31,28,"Brian Griese pass incomplete intended for Will Heller. Penalty on Scott Fujita: Defensive Pass Interference, 7 yards (no play)",1.070,1.530
3,0:43,1,10,TAM 39,31,28,Brian Griese pass complete to Ken Dilger for 5 yards (tackle by Quinton Caver),1.530,1.660
Quarter,Time,Down,ToGo,Location,KAN,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,TAM 44,31,28,Michael Pittman for 16 yards (tackle by Jerome Woods),1.660,2.920
4,14:29,1,10,KAN 40,31,28,Brian Griese pass complete to Joe Jurevicius for 23 yards (tackle by Eric Warfield),2.920,4.440
4,13:59,1,10,KAN 17,31,28,Brian Griese pass complete to Charles Lee for 7 yards (tackle by Quinton Caver),4.440,5.100
4,13:20,2,3,KAN 10,31,28,Earnest Graham for 1 yard (tackle by John Browning),5.100,4.570
4,12:38,,,,31,28,Timeout #1 by Tampa Bay Buccaneers,0.000,4.570
4,12:38,3,2,KAN 9,31,28,Brian Griese pass complete to Jameel Cook for 6 yards (tackle by Eric Warfield),4.570,6.510
4,12:00,1,3,KAN 3,31,34,"Michael Pittman for 3 yards, touchdown",6.510,7.000
4,,,,KAN 2,31,34,Martin Gramatica kicks extra point no good,0.000,-1.000
4,,,,TAM 30,31,34,"Martin Gramatica kicks off 60 yards, returned by Dante Hall for 23 yards (tackle by Will Allen)",0.000,1.140
4,11:43,1,10,KAN 33,31,34,Trent Green pass complete to Larry Johnson for 3 yards (tackle by Derrick Brooks),1.140,1.000
4,11:09,2,7,KAN 36,31,34,Larry Johnson for 11 yards (tackle by Derrick Brooks),1.000,2.060
4,10:30,1,10,KAN 47,31,34,Trent Green pass complete to Johnnie Morton for 5 yards (tackle by Brian Kelly),2.060,2.190
4,9:52,2,5,TAM 48,31,34,Larry Johnson for 3 yards (tackle by Chartric Darby),2.190,1.880
4,9:15,3,2,TAM 45,31,34,Trent Green pass complete to Larry Johnson for 8 yards (tackle by Brian Kelly),1.880,3.120
4,8:48,1,10,TAM 37,31,34,Larry Johnson for 2 yards (tackle by Ian Gold),3.120,2.840
4,8:07,2,8,TAM 35,31,34,Trent Green pass complete to Eddie Kennison for 12 yards (tackle by Brian Kelly),2.840,4.040
4,7:37,1,10,TAM 23,31,34,"Trent Green pass incomplete intended for Larry Johnson. Penalty on Trent Green: Intentional Grounding, 12 yards",4.040,1.880
4,7:31,2,22,TAM 35,31,34,Trent Green pass complete to Larry Johnson for 12 yards (tackle by Ian Gold),1.880,2.810
4,6:49,3,10,TAM 23,31,34,"Trent Green pass incomplete intended for Tony Gonzalez. Penalty on Dewayne White: Defensive Holding, 5 yards (no play)",2.810,4.370
4,6:41,1,10,TAM 18,31,34,Larry Johnson for -4 yards (tackle by Ronde Barber),4.370,3.290
4,5:58,2,14,TAM 22,31,34,Trent Green pass incomplete intended for Tony Gonzalez is intercepted by Jermaine Phillips,3.290,-0.280
4,5:48,1,10,TAM 20,31,34,Brian Griese pass complete to Ken Dilger for 24 yards (tackle by Jerome Woods),0.280,1.860
4,5:07,1,10,TAM 44,31,34,Michael Pittman for 3 yards (tackle by Eric Hicks and Kawika Mitchell),1.860,1.720
4,4:24,2,7,TAM 47,31,34,Brian Griese pass incomplete intended for Joe Jurevicius,1.720,1.030
4,4:18,3,7,TAM 47,31,34,Brian Griese sacked by Scott Fujita for -8 yards,1.030,-0.780
4,3:48,4,15,TAM 39,31,34,Josh Bidwell punts 42 yards,-0.780,-0.150
4,3:42,1,10,KAN 19,31,34,Trent Green pass complete to Johnnie Morton for 3 yards (tackle by Ronde Barber),0.150,0.070
4,3:04,2,7,KAN 22,31,34,Larry Johnson for 4 yards (tackle by Greg Spires),0.070,-0.160
4,2:30,3,3,KAN 26,31,34,"Trent Green pass complete to Larry Johnson for 15 yards (tackle by Will Allen). Penalty on Jermaine Phillips: Face Mask (5 Yards), 5 yards",-0.160,1.990
4,2:17,1,10,KAN 46,31,34,Larry Johnson for 3 yards (tackle by Simeon Rice and Shelton Quarles),1.990,1.860
4,2:01,2,7,KAN 49,31,34,Trent Green pass complete to Eddie Kennison for 6 yards (tackle by Brian Kelly),1.860,1.950
4,1:57,3,1,TAM 45,31,34,Larry Johnson for 2 yards (tackle by Derrick Brooks and Greg Spires),1.950,2.720
4,1:50,1,10,TAM 43,31,34,"Trent Green sacked by Ronde Barber for -8 yards. Trent Green fumbles (forced by Ronde Barber), recovered by Will Shields at KAN-49",2.720,1.100
4,1:26,2,18,KAN 49,31,34,Trent Green pass incomplete intended for Eddie Kennison,1.100,0.430
4,1:20,3,18,KAN 49,31,34,Trent Green pass incomplete intended for Tony Gonzalez,0.430,-0.130
,,,,,,,"Replay Assistant challenged the ruling, and the original play was overturned.",,
4,1:15,4,18,KAN 49,31,34,Trent Green sacked by Dewayne White for -7 yards,-0.130,-2.790
4,1:09,1,10,KAN 42,31,34,Brian Griese kneels for no gain,2.790,2.240
4,0:55,2,10,KAN 42,31,34,Brian Griese kneels for no gain,2.240,1.550
4,0:25,3,10,KAN 42,31,34,Brian Griese kneels for -1 yards,1.550,0.400
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
