Quarter,Time,Down,ToGo,Location,TAM,NWE,Detail,EPB,EPA
2,2:00,4,7,TAM 49,3,7,Jake Bailey punts 44 yards downed by Justin Bethel,,
2,1:49,1,10,TAM 5,3,7,Tom Brady pass complete short left to Antonio Brown for 4 yards (tackle by Jonathan Jones),,
2,1:25,2,6,TAM 9,3,7,Tom Brady pass complete deep right to Chris Godwin for 28 yards (tackle by Adrian Phillips),,
2,1:15,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
2,1:15,1,10,TAM 37,3,7,Tom Brady pass complete deep left to Chris Godwin for 26 yards (tackle by Jalen Mills),,
2,0:50,1,10,NWE 37,3,7,Tom Brady pass complete short right to Cameron Brate for 11 yards (tackle by Jonathan Jones),,
2,0:29,1,10,NWE 26,3,7,Tom Brady pass incomplete deep left intended for Chris Godwin,,
2,0:24,2,10,NWE 26,3,7,Tom Brady pass incomplete short right intended for Antonio Brown,,
2,0:21,3,10,NWE 26,3,7,Tom Brady pass incomplete short right intended for Antonio Brown,,
2,0:18,,,,,,Timeout #1 by New England Patriots,,
2,0:18,4,10,NWE 26,6,7,Ryan Succop 44 yard field goal good,,
2,0:13,,,TAM 35,6,7,"Bradley Pinion kicks off 65 yards, touchback.",,
2,0:13,1,10,NWE 25,6,7,Mac Jones kneels for -1 yards,,
Quarter,Time,Down,ToGo,Location,TAM,NWE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NWE 35,6,7,"Jake Bailey kicks off 64 yards, returned by Jaydon Mickens for 13 yards (tackle by Justin Bethel and Chase Winovich)",,
3,14:55,1,10,TAM 14,6,7,Leonard Fournette right guard for 4 yards (tackle by Lawrence Guy),,
3,14:16,2,6,TAM 18,6,7,Tom Brady pass incomplete short middle intended for Cameron Brate,,
3,14:13,3,6,TAM 18,6,7,"Tom Brady pass complete to Antonio Brown for no gain. Penalty on Donovan Smith: Illegal Use of Hands / Offense, 9 yards (accepted) (no play)",,
3,13:55,3,15,TAM 9,6,7,Leonard Fournette right end for 6 yards (tackle by Kyle Dugger),,
3,12:58,4,9,TAM 15,6,7,"Bradley Pinion punts 34 yards, returned by Gunner Olszewski for 11 yards (tackle by Kevin Minter)",,
3,12:46,1,10,TAM 38,6,7,Mac Jones pass complete short middle to Damien Harris for 9 yards (tackle by Shaquil Barrett),,
3,12:06,2,1,TAM 29,6,7,Damien Harris up the middle for 1 yard (tackle by William Gholston),,
3,11:19,1,10,TAM 28,6,7,"Mac Jones pass complete short right to J.J. Taylor for no gain. J.J. Taylor fumbles (forced by Antoine Winfield), recovered by Richard Sherman at TB-28 and returned for 4 yards (tackle by J.J. Taylor)",,
3,11:11,1,10,TAM 32,6,7,Leonard Fournette left guard for 8 yards (tackle by Adrian Phillips),,
3,10:37,2,2,TAM 40,6,7,Leonard Fournette left guard for no gain (tackle by Lawrence Guy),,
3,9:55,3,2,TAM 40,6,7,Tom Brady pass incomplete short left intended for O.J. Howard (defended by Deatrich Wise),,
3,9:51,4,2,TAM 40,6,7,"Bradley Pinion punts 43 yards, returned by Gunner Olszewski for 6 yards (tackle by Grant Stuard)",,
3,9:41,1,10,NWE 23,6,7,Nelson Agholor for 4 yards (tackle by Ross Cockrell and Antoine Winfield),,
3,9:08,2,6,NWE 27,6,7,Mac Jones sacked by William Gholston for -6 yards,,
3,8:26,3,12,NWE 21,6,7,Mac Jones sacked by Joe Tryon-Shoyinka for -9 yards,,
3,7:45,4,21,NWE 12,6,7,"Jake Bailey punts 58 yards, returned by Jaydon Mickens for 4 yards. Jaydon Mickens fumbles (forced by Matthew Slater) (tackle by Matthew Slater), recovered by Jakob Johnson at TB-34. Penalty on Matthew Slater: Unsportsmanlike Conduct / Offense, 6 yards (accepted) (no play)",,
3,7:17,4,6,NWE 6,6,7,"Jake Bailey punts 58 yards, returned by Jaydon Mickens for 12 yards (tackle by Brandon Bolden)",,
3,7:17,1,10,TAM 48,6,7,Tom Brady pass complete short right to Leonard Fournette for 11 yards (tackle by Matt Judon),,
3,6:41,1,10,NWE 41,6,7,"Leonard Fournette for 2 yards (tackle by Matt Judon and Davon Godchaux). Penalty on Davon Godchaux: Illegal Use of Hands / Defense, 5 yards (accepted)",,
3,6:28,1,10,NWE 34,6,7,Leonard Fournette left tackle for 7 yards (tackle by Kyle Dugger),,
3,5:44,2,3,NWE 27,6,7,Leonard Fournette left end for 7 yards (tackle by Kyle Dugger),,
3,4:48,1,10,NWE 20,6,7,Tom Brady pass incomplete deep right intended for Chris Godwin,,
3,4:45,2,10,NWE 20,6,7,Tom Brady pass complete to Mike Evans for 9 yards (tackle by J.C. Jackson),,
3,4:10,3,1,NWE 11,6,7,Ronald Jones up the middle for 3 yards (tackle by Carl Davis),,
3,3:33,1,8,NWE 8,12,7,"Ronald Jones for 8 yards, touchdown",,
3,3:29,,,NWE 15,13,7,Ryan Succop kicks extra point good,,
3,3:29,,,TAM 35,13,7,"Bradley Pinion kicks off 67 yards, returned by Brandon Bolden for 25 yards (tackle by Kevin Minter and Rashard Robinson)",,
3,3:21,1,10,NWE 23,13,7,Mac Jones pass complete short right to Damien Harris for 21 yards (tackle by Antoine Winfield),,
3,2:42,1,10,NWE 44,13,7,Mac Jones pass complete short left to Nelson Agholor for 13 yards (tackle by Pierre Desir),,
3,2:10,1,10,TAM 43,13,7,Mac Jones pass complete short left to Jakobi Meyers for 5 yards (tackle by Lavonte David),,
3,1:38,2,5,TAM 38,13,7,Mac Jones pass complete short left to N'Keal Harry for 10 yards (tackle by Pierre Desir),,
3,0:57,1,10,TAM 28,13,7,Mac Jones pass complete short left to Jonnu Smith for 12 yards (tackle by Antoine Winfield),,
3,0:25,1,10,TAM 16,13,7,Mac Jones pass complete short left to Brandon Bolden for 15 yards (tackle by Lavonte David),,
Quarter,Time,Down,ToGo,Location,TAM,NWE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,1,TAM 1,13,13,"Mac Jones pass complete short middle to Jonnu Smith for 1 yard, touchdown",,
4,14:57,,,TAM 15,13,14,Nick Folk kicks extra point good,,
4,14:57,,,NWE 35,13,14,"Jake Bailey kicks off 51 yards, returned by Tyler Johnson for 10 yards (tackle by Brandon Bolden)",,
4,14:52,1,10,TAM 24,13,14,Leonard Fournette right guard for 6 yards (tackle by Davon Godchaux and Christian Barmore),,
4,14:20,2,4,TAM 30,13,14,Leonard Fournette left end for 1 yard (tackle by Christian Barmore),,
4,13:40,3,3,TAM 31,13,14,Tom Brady pass complete short left to Antonio Brown for 7 yards (tackle by Jonathan Jones),,
4,13:19,1,10,TAM 38,13,14,Leonard Fournette up the middle for 4 yards (tackle by Carl Davis),,
4,12:39,2,6,TAM 42,13,14,Tom Brady pass incomplete short middle intended for Mike Evans,,
4,12:34,3,6,TAM 42,13,14,Tom Brady scrambles right guard for 6 yards (tackle by Davon Godchaux),,
4,11:47,1,10,TAM 48,13,14,Ronald Jones up the middle for 4 yards (tackle by Dont'a Hightower),,
4,11:00,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
4,11:00,2,6,NWE 48,13,14,Tom Brady pass complete short right to Leonard Fournette for 23 yards (tackle by Devin McCourty),,
4,10:24,1,10,NWE 25,13,14,Ronald Jones left tackle for 1 yard (tackle by Lawrence Guy and Matt Judon),,
4,9:39,2,9,NWE 24,13,14,Tom Brady pass incomplete deep left intended for Mike Evans,,
4,9:35,3,9,NWE 24,13,14,Tom Brady pass complete short middle to Cameron Brate for 18 yards (tackle by Kyle Dugger and Jonathan Jones),,
4,8:41,1,6,NWE 6,13,14,Leonard Fournette left guard for -2 yards (tackle by Matt Judon and Adrian Phillips),,
4,8:14,2,8,NWE 8,13,14,Tom Brady pass incomplete short right intended for Leonard Fournette,,
4,8:09,3,8,NWE 8,13,14,Tom Brady pass incomplete short right intended for Tyler Johnson,,
4,8:01,4,8,NWE 8,16,14,Ryan Succop 27 yard field goal good,,
4,7:58,,,TAM 35,16,14,"Bradley Pinion kicks off 65 yards, touchback.",,
4,7:58,1,10,NWE 25,16,14,Mac Jones pass complete short left to Nelson Agholor for 12 yards (tackle by Devin White),,
4,7:23,1,10,NWE 37,16,14,Mac Jones pass complete short middle to Jakobi Meyers for 3 yards (tackle by Devin White),,
4,6:42,2,7,NWE 40,16,14,Mac Jones pass complete to Jakobi Meyers for 21 yards (tackle by Richard Sherman),,
4,6:10,1,10,TAM 39,16,14,Jakobi Meyers pass complete deep right to Nelson Agholor for 30 yards (tackle by Richard Sherman),,
4,5:31,1,9,TAM 9,16,14,Mac Jones pass incomplete short left intended for Jonnu Smith,,
4,5:25,2,9,TAM 9,16,14,Mac Jones pass incomplete short middle intended for Jonnu Smith (defended by Devin White),,
4,5:21,3,9,TAM 9,16,14,Mac Jones pass complete short right to Brandon Bolden for no gain (tackle by Shaquil Barrett),,
4,4:38,4,9,TAM 9,16,17,Nick Folk 27 yard field goal good,,
4,4:34,,,NWE 35,16,17,"Jake Bailey kicks off 65 yards, touchback.",,
4,4:34,1,10,TAM 25,16,17,"Tom Brady pass incomplete deep right intended for Leonard Fournette. Penalty on Kyle Van Noy: Defensive Pass Interference, 31 yards (accepted) (no play)",,
4,4:28,1,10,NWE 44,16,17,Leonard Fournette left guard for 3 yards (tackle by Matt Judon and Kyle Dugger),,
4,3:43,2,7,NWE 41,16,17,"Tom Brady pass complete short right to Mike Evans for no gain. Penalty on Mike Evans: Offensive Pass Interference, 10 yards (accepted) (no play)",,
4,3:37,2,17,TAM 49,16,17,Tom Brady pass complete short right to Mike Evans for 11 yards (tackle by Josh Uche),,
4,3:03,3,6,NWE 40,16,17,Tom Brady pass complete short left to Antonio Brown for 8 yards (tackle by Justin Bethel),,
4,2:19,1,10,NWE 32,16,17,Leonard Fournette left tackle for 2 yards (tackle by Adrian Phillips),,
4,2:13,,,,,,Timeout #1 by New England Patriots,,
4,2:13,2,8,NWE 30,16,17,Tom Brady pass incomplete deep left intended for Antonio Brown,,
4,2:07,,,,,,Timeout #2 by New England Patriots,,
4,2:07,3,8,NWE 30,16,17,Tom Brady pass incomplete deep right intended for Antonio Brown,,
4,2:02,4,8,NWE 30,19,17,Ryan Succop 48 yard field goal good,,
4,1:57,,,TAM 35,19,17,"Bradley Pinion kicks off 65 yards, touchback.",,
4,1:57,1,10,NWE 25,19,17,"Mac Jones pass incomplete. Penalty on Jordan Whitehead: Defensive Pass Interference, 20 yards (accepted) . Penalty on Mac Jones: Defensive Pass Interference, 20 yards (accepted) . Penalty on Jordan Whitehead: Defensive Pass Interference, 20 yards (accepted) . Penalty on Mac Jones: Defensive Pass Interference, 20 yards (accepted) (no play)",,
4,1:53,1,10,NWE 45,19,17,Mac Jones pass complete short middle to Hunter Henry for 9 yards (tackle by Devin White),,
4,1:33,2,1,TAM 46,19,17,"Penalty on Hunter Henry: False Start, 5 yards (accepted) (no play)",,
4,1:15,2,6,NWE 49,19,17,Mac Jones pass complete short right to Brandon Bolden for 7 yards (tackle by Lavonte David),,
4,1:12,1,10,TAM 44,19,17,Mac Jones pass incomplete short left intended for Jakobi Meyers,,
4,1:07,2,10,TAM 44,19,17,Mac Jones pass complete short right to Jakobi Meyers for 7 yards,,
4,1:03,3,3,TAM 37,19,17,Mac Jones pass incomplete short middle intended for Jakobi Meyers (defended by Lavonte David),,
4,0:59,4,3,TAM 37,19,17,Nick Folk 56 yard field goal no good,,
4,0:55,1,10,TAM 46,19,17,Tom Brady kneels for -1 yards,,
4,0:52,,,,,,Timeout #3 by New England Patriots,,
4,0:52,2,11,TAM 45,19,17,Tom Brady kneels for -1 yards,,
4,0:21,3,12,TAM 44,19,17,Tom Brady kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
