Quarter,Time,Down,ToGo,Location,LAC,MIA,Detail,EPB,EPA
1,7:15,2,11,LAC 43,3,0,Josh Rosen pass complete short middle to Nick O'Leary for 9 yards (tackle by Roderic Teamer),2.110,2.610
1,6:39,3,2,LAC 34,3,6,"Josh Rosen pass complete deep right to DeVante Parker for 34 yards, touchdown",2.610,7.000
1,6:32,,,LAC 15,3,7,Jason Sanders kicks extra point good,0.000,0.000
1,6:32,,,MIA 35,3,7,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
1,6:32,1,10,LAC 25,3,7,Philip Rivers pass complete short middle to Keenan Allen for 5 yards (tackle by Jerome Baker),0.610,0.740
1,6:02,2,5,LAC 30,3,7,"Philip Rivers pass complete short right to Derek Watt for 21 yards (tackle by Eric Rowe). Penalty on Eric Rowe: Lowering the Head to Initiate Contact, 15 yards",0.740,3.310
1,5:32,1,10,MIA 34,3,7,Austin Ekeler left tackle for 1 yard (tackle by Xavien Howard),3.310,2.910
1,4:49,2,9,MIA 33,3,7,Austin Ekeler left guard for 5 yards (tackle by Jerome Baker),2.910,2.870
1,4:06,3,4,MIA 28,3,7,Philip Rivers pass complete short middle to Lance Kendricks for 13 yards (tackle by Reshad Jones). Penalty on Reshad Jones: Defensive Holding (Declined),2.870,4.580
1,3:36,1,10,MIA 15,3,7,Troymaine Pope right tackle for 2 yards (tackle by Avery Moss),4.580,4.280
1,2:53,2,8,MIA 13,9,7,"Philip Rivers pass complete short left to Troymaine Pope for 13 yards, touchdown",4.280,7.000
1,2:45,,,MIA 15,10,7,Ty Long kicks extra point good,0.000,0.000
1,2:45,,,LAC 35,10,7,"Ty Long kicks off 66 yards, returned by Jakeem Grant for 22 yards (tackle by Geremy Davis)",0.000,0.340
1,2:39,1,10,MIA 21,10,7,Kenyan Drake left tackle for 3 yards (tackle by Melvin Ingram),0.340,0.210
1,2:09,2,7,MIA 24,10,7,Kenyan Drake right tackle for 5 yards (tackle by Casey Hayward),0.210,0.170
1,1:32,3,2,MIA 29,10,7,"Josh Rosen pass complete short middle to Jakeem Grant for 3 yards (tackle by Desmond King). Penalty on Thomas Davis: Illegal Contact, 5 yards (no play)",0.170,1.200
1,1:01,1,10,MIA 34,10,7,Josh Rosen pass complete short right to Kenyan Drake for 19 yards (tackle by Denzel Perryman),1.200,2.460
1,0:20,1,10,LAC 47,10,7,Kenyan Drake right guard for 4 yards (tackle by Roderic Teamer and Jerry Tillery),2.460,2.450
Quarter,Time,Down,ToGo,Location,LAC,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,LAC 43,10,7,Kenyan Drake up the middle for 5 yards (tackle by Joey Bosa),2.450,2.410
2,14:21,3,1,LAC 38,10,7,Kenyan Drake right tackle for 10 yards (tackle by Rayshawn Jenkins),2.410,3.710
2,13:46,1,10,LAC 28,10,7,"Kalen Ballage left tackle for 10 yards (tackle by Rayshawn Jenkins). Penalty on J'Marcus Webb: Offensive Holding, 10 yards (no play)",3.710,3.050
2,13:21,1,20,LAC 38,10,7,Josh Rosen pass complete short right to Preston Williams for 12 yards. Preston Williams fumbles out of bounds,3.050,3.440
2,12:52,2,8,LAC 26,10,7,"Josh Rosen pass complete short right to Mike Gesicki for no gain (tackle by Roderic Teamer). Penalty on Denzel Perryman: Defensive Offside, 5 yards (no play)",3.440,4.110
2,12:42,2,3,LAC 21,10,7,Kalen Ballage left tackle for 1 yard (tackle by Brandon Mebane),4.110,3.530
2,12:04,3,2,LAC 20,10,7,"Josh Rosen pass incomplete short left intended for Preston Williams. Penalty on Michael Davis: Defensive Pass Interference, 10 yards (no play)",3.530,4.910
2,11:59,1,10,LAC 10,10,7,Jakeem Grant left end for -2 yards (tackle by Rayshawn Jenkins),4.910,3.860
2,11:24,2,12,LAC 12,10,7,Josh Rosen pass incomplete short right intended for Kalen Ballage,3.860,3.100
2,11:21,3,12,LAC 12,10,7,Josh Rosen pass incomplete short left intended for Kenyan Drake,3.100,2.630
2,11:15,4,12,LAC 12,10,10,Jason Sanders 30 yard field goal good,2.630,3.000
2,11:10,,,MIA 35,10,10,"Jason Sanders kicks off 60 yards, returned by Desmond King for 12 yards (tackle by Johnson Bademosi). Penalty on Geremy Davis: Illegal Block Above the Waist, 8 yards",0.000,-0.380
2,11:04,1,10,LAC 9,10,10,Philip Rivers pass complete short right to Austin Ekeler for 7 yards (tackle by Reshad Jones),-0.380,-0.160
2,10:26,2,3,LAC 16,10,10,Austin Ekeler left guard for -1 yards (tackle by Raekwon McMillan),-0.160,-0.720
2,9:43,3,4,LAC 15,10,10,Philip Rivers pass complete short middle to Keenan Allen for 16 yards (tackle by Xavien Howard),-0.720,1.000
2,9:03,1,10,LAC 31,10,10,"Philip Rivers pass complete short right to Keenan Allen for 69 yards. Penalty on Keenan Allen: Offensive Pass Interference, 10 yards (no play)",1.000,0.340
2,8:50,1,20,LAC 21,10,10,Philip Rivers pass complete deep middle to Geremy Davis for 19 yards (tackle by Reshad Jones),0.340,1.680
2,8:07,2,1,LAC 40,10,10,"Austin Ekeler right guard for 4 yards (tackle by Walt Aikens and Christian Wilkins). Penalty on Christian Wilkins: Unnecessary Roughness, 15 yards",1.680,2.850
2,7:37,1,10,MIA 41,10,10,"Philip Rivers aborted snap, recovered by Dan Feeney at MIA-42 (tackle by Charles Harris)",2.850,2.170
2,6:56,2,11,MIA 42,10,10,Philip Rivers pass complete short right to Keenan Allen for 5 yards (tackle by Taco Charlton),2.170,2.150
2,6:15,3,6,MIA 37,10,10,Philip Rivers pass incomplete short right intended for Dontrelle Inman (defended by Eric Rowe),2.150,0.790
2,6:10,4,6,MIA 37,10,10,"Philip Rivers pass incomplete short middle intended for Dontrelle Inman. Penalty on Trenton Scott: Face Mask (15 Yards), 15 yards",0.790,-2.390
2,6:05,1,10,LAC 48,10,10,Mark Walton left tackle for 3 yards (tackle by Thomas Davis),2.390,2.250
2,5:41,2,7,LAC 45,10,10,Josh Rosen pass complete short middle to Mark Walton for 4 yards (tackle by Brandon Mebane),2.250,2.080
2,5:02,3,3,LAC 41,10,10,Josh Rosen pass complete short middle to Isaiah Ford for 7 yards (tackle by Casey Hayward),2.080,3.310
2,4:26,1,10,LAC 34,10,10,Mark Walton right guard for 2 yards (tackle by Michael Davis),3.310,3.040
2,3:49,2,8,LAC 32,10,10,Josh Rosen pass incomplete short middle intended for Preston Williams,3.040,2.350
2,3:44,3,8,LAC 32,10,10,Josh Rosen pass incomplete deep right intended for Preston Williams,2.350,1.240
2,3:39,4,8,LAC 32,10,10,Jason Sanders 50 yard field goal no good,1.240,-1.600
2,3:34,1,10,LAC 40,10,10,Austin Ekeler left guard for 8 yards (tackle by Taco Charlton),1.600,2.130
2,3:08,2,2,LAC 48,10,10,Austin Ekeler left guard for 1 yard (tackle by Avery Moss),2.130,1.550
2,2:30,3,1,LAC 49,10,10,Austin Ekeler right guard for 4 yards (tackle by Davon Godchaux and Charles Harris),1.550,2.460
2,2:00,1,10,MIA 47,10,10,Philip Rivers pass complete short left to Austin Ekeler for 13 yards (tackle by Jerome Baker),2.460,3.310
2,1:53,1,10,MIA 34,10,10,Philip Rivers pass complete short right to Troymaine Pope for 1 yard (tackle by Avery Moss),3.310,2.910
2,1:08,2,9,MIA 33,10,10,Philip Rivers pass incomplete short right,2.910,2.210
2,1:02,3,9,MIA 33,10,10,Philip Rivers pass complete short left to Andre Patton for 15 yards (tackle by Johnson Bademosi),2.210,4.370
2,0:50,,,,,,Timeout #1 by Los Angeles Chargers,,
2,0:50,1,10,MIA 18,16,10,"Philip Rivers pass complete short left to Austin Ekeler for 18 yards, touchdown",4.370,7.000
2,0:43,,,MIA 15,17,10,Ty Long kicks extra point good,0.000,0.000
2,0:43,,,LAC 35,17,10,"Ty Long kicks off 66 yards, returned by Jakeem Grant for 23 yards (tackle by Nasir Adderley)",0.000,0.410
2,0:37,1,10,MIA 22,17,10,Kenyan Drake left end for 6 yards (tackle by Casey Hayward),0.410,0.680
2,0:32,2,4,MIA 28,17,10,Josh Rosen pass complete short right to Jakeem Grant for 6 yards (tackle by Rayshawn Jenkins),0.680,1.200
2,0:27,1,10,MIA 34,17,10,Josh Rosen pass complete short left to DeVante Parker for 10 yards (tackle by Desmond King),1.200,1.860
2,0:21,1,10,MIA 44,17,10,Josh Rosen pass complete short right to DeVante Parker for 13 yards (tackle by Casey Hayward),1.860,2.720
2,0:14,,,,,,Timeout #1 by Miami Dolphins,,
2,0:14,1,10,LAC 43,17,10,Josh Rosen sacked by and Desmond King for -4 yards,2.720,1.640
2,0:09,,,,,,Timeout #2 by Miami Dolphins,,
2,0:09,2,14,LAC 47,17,10,Josh Rosen pass complete short right to DeVante Parker for 13 yards,1.640,2.680
2,0:03,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:03,3,1,LAC 34,17,10,Jason Sanders 52 yard field goal no good,2.680,1.660
Quarter,Time,Down,ToGo,Location,LAC,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,17,10,"Ty Long kicks off 66 yards, returned by Jakeem Grant for 19 yards (tackle by Troymaine Pope and Jaylen Watkins)",0.000,0.040
3,14:55,1,10,MIA 18,17,10,Kenyan Drake left end for 8 yards (tackle by Roderic Teamer and Thomas Davis),0.040,0.680
3,14:21,2,2,MIA 26,17,10,"Kenyan Drake right guard for 5 yards (tackle by Justin Jones). Kenyan Drake fumbles (forced by Justin Jones), recovered by Evan Boehm at MIA-32 (tackle by Uchenna Nwosu)",0.680,1.070
3,13:59,1,10,MIA 32,17,10,Mark Walton up the middle for 8 yards (tackle by Denzel Perryman),1.070,1.610
3,13:23,2,2,MIA 40,17,10,Mark Walton up the middle for -2 yards (tackle by Denzel Perryman),1.610,0.630
3,12:46,3,4,MIA 38,17,10,Josh Rosen sacked by and Jerry Tillery for -2 yards,0.630,-0.980
3,12:07,4,6,MIA 36,17,10,Matt Haack punts 57 yards downed by Walt Aikens,-0.980,0.380
3,11:55,1,10,LAC 7,17,10,Austin Ekeler right guard for 1 yard (tackle by Jerome Baker),-0.380,-0.710
3,11:16,2,9,LAC 8,17,10,Austin Ekeler left tackle for no gain (tackle by Raekwon McMillan),-0.710,-1.300
3,10:33,3,9,LAC 8,17,10,Philip Rivers pass complete short left to Dontrelle Inman for 15 yards (tackle by Eric Rowe and Reshad Jones),-1.300,0.480
3,9:46,1,10,LAC 23,17,10,"Austin Ekeler right end for 10 yards (tackle by Eric Rowe and Christian Wilkins). Penalty on Keenan Allen: Illegal Blindside Block, 11 yards (no play)",0.480,-0.690
3,9:21,1,21,LAC 12,17,10,Troymaine Pope left guard for no gain (tackle by Davon Godchaux),-0.690,-1.580
3,8:34,2,21,LAC 12,17,10,Philip Rivers pass complete deep right to Keenan Allen for 20 yards (tackle by Raekwon McMillan),-1.580,0.430
3,7:51,,,,,,Timeout #1 by Los Angeles Chargers,,
3,7:51,3,1,LAC 32,17,10,Austin Ekeler up the middle for 7 yards (tackle by Steven Parker),0.430,1.530
3,7:07,1,10,LAC 39,17,10,Austin Ekeler right tackle for 5 yards (tackle by Christian Wilkins),1.530,1.660
3,6:28,2,5,LAC 44,17,10,Philip Rivers pass complete short left to Dontrelle Inman for 11 yards (tackle by Eric Rowe),1.660,2.590
3,5:44,1,10,MIA 45,17,10,Troymaine Pope left tackle for 7 yards (tackle by Reshad Jones),2.590,2.990
3,5:06,2,3,MIA 38,17,10,Austin Ekeler left end for 4 yards (tackle by Taco Charlton),2.990,3.310
3,4:23,1,10,MIA 34,17,10,Troymaine Pope right guard for no gain (tackle by Raekwon McMillan and Christian Wilkins),3.310,2.770
3,3:41,2,10,MIA 34,17,10,Philip Rivers pass complete short right to Austin Ekeler for 16 yards (tackle by Reshad Jones),2.770,4.370
3,2:59,1,10,MIA 18,17,10,Troymaine Pope right tackle for -3 yards (tackle by Taco Charlton and Jerome Baker),4.370,3.420
3,2:16,,,,,,Timeout #2 by Los Angeles Chargers,,
3,2:14,2,13,MIA 21,17,10,Philip Rivers sacked by Taco Charlton for -6 yards,3.420,1.950
3,1:33,3,19,MIA 27,17,10,Philip Rivers pass incomplete short right intended for Andre Patton (defended by Ken Webster),1.950,1.670
3,1:27,4,19,MIA 27,20,10,Ty Long 45 yard field goal good,1.670,3.000
3,1:22,,,LAC 35,20,10,"Ty Long kicks off 68 yards, returned by Jakeem Grant for 19 yards (tackle by Drue Tranquill). Penalty on Durham Smythe: Offensive Holding, 8 yards",0.000,-0.380
3,1:15,1,10,MIA 8,20,10,Josh Rosen pass incomplete short right intended for Kenyan Drake,-0.380,-0.780
3,1:10,2,10,MIA 8,20,10,Kenyan Drake left end for -2 yards (tackle by Uchenna Nwosu),-0.780,-1.650
3,0:41,3,12,MIA 6,20,10,Josh Rosen sacked by Desmond King for -5 yards,-1.650,-2.490
Quarter,Time,Down,ToGo,Location,LAC,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,17,MIA 1,20,10,"Matt Haack punts 46 yards, returned by Desmond King for 1 yard (tackle by Durham Smythe). Penalty on Troymaine Pope: Offensive Holding, 10 yards",-2.490,-1.860
4,14:49,1,10,LAC 44,20,10,Philip Rivers pass complete deep left to Dontrelle Inman for 25 yards,1.860,3.510
4,14:21,1,10,MIA 31,20,10,Austin Ekeler left end for 3 yards (tackle by Reshad Jones and Eric Rowe),3.510,3.370
4,13:38,2,7,MIA 28,20,10,Philip Rivers pass complete short middle to Dontrelle Inman for 12 yards (tackle by Xavien Howard). Penalty on Xavien Howard: Defensive Pass Interference (Declined),3.370,4.510
4,13:12,1,10,MIA 16,20,10,Philip Rivers pass complete short middle to Sean Culkin for 12 yards (tackle by Reshad Jones),4.510,6.280
4,12:36,1,4,MIA 4,20,10,Austin Ekeler right guard for 1 yard (tackle by Raekwon McMillan and Christian Wilkins),6.280,5.530
4,11:57,2,3,MIA 3,20,10,Philip Rivers pass complete short right to Keenan Allen for 2 yards (tackle by Xavien Howard),5.530,5.170
4,11:24,,,,,,Timeout #3 by Los Angeles Chargers,,
4,11:24,,,,,,Timeout #1 by Miami Dolphins,,
4,11:24,3,1,MIA 1,26,10,"Austin Ekeler up the middle for 1 yard, touchdown",5.170,7.000
4,11:20,,,MIA 15,27,10,Ty Long kicks extra point good,0.000,0.000
4,11:20,,,LAC 35,27,10,"Ty Long kicks off 65 yards, returned by Jakeem Grant for 29 yards (tackle by Geremy Davis)",0.000,0.870
4,11:14,1,10,MIA 29,27,10,Josh Rosen pass complete short left to Kenyan Drake for 3 yards (tackle by Uchenna Nwosu),0.870,0.730
4,10:35,2,7,MIA 32,27,10,Josh Rosen pass deep left intended for Preston Williams is intercepted by Michael Davis at MIA-48 and returned for no gain,0.730,-2.390
4,10:28,1,10,MIA 48,27,10,Austin Ekeler left guard for 4 yards (tackle by Ken Webster),2.390,2.390
4,9:49,2,6,MIA 44,27,10,Austin Ekeler right tackle for 9 yards (tackle by Steven Parker),2.390,3.250
4,9:03,1,10,MIA 35,27,10,Troymaine Pope left tackle for 4 yards (tackle by Avery Moss),3.250,3.240
4,8:18,2,6,MIA 31,27,10,Troymaine Pope left tackle for -2 yards (tackle by Christian Wilkins and Samuel Eguavoen),3.240,2.280
4,7:32,3,8,MIA 33,27,10,Philip Rivers pass incomplete deep right intended for Andre Patton,2.280,1.150
4,7:32,4,8,MIA 33,30,10,Ty Long 51 yard field goal good,1.150,3.000
4,7:21,,,LAC 35,30,10,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
4,7:21,1,10,MIA 25,30,10,Mark Walton left end for 11 yards (tackle by Drue Tranquill),0.610,1.330
4,6:42,1,10,MIA 36,30,10,Josh Rosen pass complete short right to Mark Walton for 7 yards (tackle by Drue Tranquill),1.330,1.740
4,6:07,2,3,MIA 43,30,10,Josh Rosen pass incomplete short right intended for Isaiah Ford,1.740,1.030
4,6:03,3,3,MIA 43,30,10,Josh Rosen pass complete short middle to Preston Williams for 5 yards (tackle by Michael Davis),1.030,2.130
4,5:32,1,10,MIA 48,30,10,Josh Rosen pass complete short left to Preston Williams for 4 yards (tackle by Michael Davis),2.130,2.120
4,5:04,2,6,LAC 48,30,10,Mark Walton left guard for 1 yard (tackle by Cortez Broughton),2.120,1.550
4,4:26,3,5,LAC 47,30,10,"Josh Rosen sacked by Desmond King for -7 yards. Josh Rosen fumbles (forced by Desmond King), recovered by Evan Boehm at MIA-46 (tackle by Rayshawn Jenkins)",1.550,-0.320
4,4:00,,,,,,Timeout #2 by Miami Dolphins,,
4,4:00,4,12,MIA 46,30,10,Josh Rosen pass complete short left to Isaiah Ford for 2 yards (tackle by Jaylen Watkins),-0.320,-2.390
4,3:56,1,10,MIA 48,30,10,Troymaine Pope right guard for 2 yards (tackle by Davon Godchaux),2.390,2.120
4,3:12,2,8,MIA 46,30,10,Troymaine Pope right end for 2 yards (tackle by Steven Parker),2.120,1.690
4,2:25,3,6,MIA 44,30,10,Tyrod Taylor pass complete short right to Andre Patton for 7 yards (tackle by Ken Webster),1.690,3.120
4,2:00,1,10,MIA 37,30,10,Tyrod Taylor kneels for -1 yards,3.120,2.440
4,1:17,2,11,MIA 38,30,10,Tyrod Taylor kneels for -1 yards,2.440,1.620
4,0:39,3,12,MIA 39,30,10,Tyrod Taylor kneels for -1 yards,1.620,0.590
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
