Quarter,Time,Down,ToGo,Location,CLE,SDG,Detail,EPB,EPA
2,13:11,1,10,SDG 28,10,7,Melvin Gordon left tackle for 23 yards (tackle by Justin Gilbert),0.810,2.320
2,12:47,1,10,CLE 49,10,7,Melvin Gordon left guard for 7 yards (tackle by Donte Whitner and Tashaun Gipson),2.320,2.730
2,12:13,2,3,CLE 42,10,7,Philip Rivers pass complete short left to Ladarius Green for 8 yards (tackle by Karlos Dansby and Pierre Desir),2.730,3.310
2,11:48,1,10,CLE 34,10,7,Danny Woodhead middle for 4 yards (tackle by Karlos Dansby and Paul Kruger),3.310,3.310
2,11:25,2,6,CLE 30,10,7,Philip Rivers pass incomplete short left intended for Dontrelle Inman (defended by Pierre Desir),3.310,2.610
2,11:20,3,6,CLE 30,10,7,Philip Rivers pass complete short left to Steve Johnson for 2 yards (tackle by Karlos Dansby and Paul Kruger),2.610,1.650
2,10:42,4,4,CLE 28,10,10,Josh Lambo 46 yard field goal good,1.650,3.000
2,10:42,,,SDG 35,10,10,"Josh Lambo kicks off 72 yards, returned by Justin Gilbert for 37 yards (tackle by Eric Weddle)",0.000,-0.940
2,10:29,1,10,CLE 30,10,10,Josh McCown sacked by Melvin Ingram for -3 yards,0.940,-0.010
2,9:56,2,13,CLE 27,10,10,Isaiah Crowell middle for 3 yards (tackle by Kyle Emanuel),-0.010,-0.300
2,9:09,3,10,CLE 30,10,10,Josh McCown pass complete short right to Duke Johnson for 16 yards (tackle by Adrian Phillips),-0.300,1.990
2,8:27,1,10,CLE 46,10,10,"Isaiah Crowell right end for no gain (tackle by Jimmy Wilson). Penalty on Alex Mack: Offensive Holding, 10 yards (no play)",1.990,1.330
2,8:00,1,20,CLE 36,10,10,"Josh McCown pass complete short left to Taylor Gabriel for 4 yards. Penalty on Duke Johnson: Offensive Pass Interference, 10 yards (no play)",1.330,0.670
2,7:37,1,30,CLE 26,10,10,Josh McCown pass incomplete short right intended for Duke Johnson,0.670,-1.250
2,7:32,2,30,CLE 26,10,10,Josh McCown pass complete short middle to Duke Johnson for 15 yards (tackle by Jimmy Wilson),-1.250,-1.250
2,6:44,2,30,CLE 26,10,10,Timeout #1 by Cleveland Browns,-1.250,0.100
2,6:44,3,15,CLE 41,10,10,Josh McCown pass complete short left to Taylor Gabriel for 10 yards (tackle by Patrick Robinson and Melvin Ingram),0.100,0.000
2,6:03,4,5,SDG 49,10,10,"Andy Lee punts 30 yards, out of bounds",0.000,-0.150
2,5:54,1,10,SDG 19,10,10,Melvin Gordon right end for 4 yards (tackle by Donte Whitner),0.150,0.210
2,5:33,2,6,SDG 23,10,10,Philip Rivers pass complete short middle to Melvin Gordon for 5 yards (tackle by Jamie Meder),0.210,0.100
2,4:52,3,1,SDG 28,10,10,Philip Rivers pass incomplete short left intended for Keenan Allen,0.100,-1.500
2,4:48,4,1,SDG 28,10,10,Mike Scifres punts 40 yards,-1.500,-1.070
2,4:37,1,10,CLE 32,10,10,Duke Johnson for 3 yards (tackle by Denzel Perryman),1.070,0.930
2,3:57,2,7,CLE 35,10,10,Josh McCown pass incomplete deep right intended for Travis Benjamin,0.930,0.230
2,3:51,3,7,CLE 35,10,10,Josh McCown pass incomplete short right intended for Dwayne Bowe (defended by Brandon Flowers),0.230,-1.040
2,3:46,4,7,CLE 35,10,10,"Andy Lee punts 57 yards, returned by Keenan Allen for 5 yards (tackle by Tank Carder)",-1.040,0.320
2,3:35,1,10,SDG 13,10,10,Philip Rivers pass complete short middle to Steve Johnson for 10 yards (tackle by Christian Kirksey),-0.320,0.480
2,3:16,1,10,SDG 23,10,10,Danny Woodhead left tackle for 4 yards (tackle by Donte Whitner),0.480,0.470
2,2:46,2,6,SDG 27,10,10,Philip Rivers pass complete short right to Danny Woodhead for 16 yards (tackle by Tramon Williams),0.470,1.800
2,2:18,1,10,SDG 43,10,10,"Philip Rivers pass incomplete short left intended for Keenan Allen. Penalty on Pierre Desir: Defensive Holding, 5 yards (no play)",1.800,2.130
2,2:12,1,10,SDG 48,10,10,Philip Rivers pass incomplete short right intended for Steve Johnson (defended by Tramon Williams),2.130,1.580
2,2:07,2,10,SDG 48,10,10,Danny Woodhead left tackle for 7 yards (tackle by Tashaun Gipson),1.580,1.820
2,2:00,3,3,CLE 45,10,10,"Penalty on John Hughes: Neutral Zone Infraction, 5 yards (no play)",1.820,2.920
2,2:00,1,10,CLE 40,10,10,Philip Rivers pass complete short right to Steve Johnson for 13 yards (tackle by Tramon Williams),2.920,3.780
2,1:56,1,10,CLE 27,10,10,Philip Rivers pass incomplete,3.780,3.230
2,1:50,2,10,CLE 27,10,10,Philip Rivers pass incomplete short right intended for Ladarius Green (defended by Karlos Dansby),3.230,2.540
2,1:46,3,10,CLE 27,10,10,Philip Rivers pass incomplete short left intended for Ladarius Green,2.540,1.670
2,1:41,4,10,CLE 27,10,13,Josh Lambo 45 yard field goal good,1.670,3.000
2,1:41,,,SDG 35,10,13,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.280
2,1:35,1,10,CLE 20,10,13,Josh McCown sacked by Jeremiah Attaochu for -1 yards,0.280,0.280
2,1:29,1,10,CLE 20,10,13,Timeout #1 by Los Angeles Chargers,0.280,-0.460
2,1:28,2,11,CLE 19,10,13,Josh McCown pass complete short middle to Duke Johnson for 9 yards (tackle by Eric Weddle),-0.460,-0.460
2,1:20,2,11,CLE 19,10,13,Timeout #2 by Los Angeles Chargers,-0.460,0.100
2,1:20,3,2,CLE 28,10,13,Josh McCown pass complete short middle to Duke Johnson for 3 yards (tackle by Manti Te'o),0.100,1.000
2,0:58,1,10,CLE 31,10,13,"Penalty on Melvin Ingram: Neutral Zone Infraction, 5 yards (no play)",1.000,1.730
2,0:56,1,5,CLE 36,10,13,Josh McCown pass complete short right to Travis Benjamin for 11 yards (tackle by Brandon Flowers),1.730,2.060
2,0:36,1,10,CLE 47,10,13,Josh McCown pass complete short left to Andrew Hawkins for 9 yards (tackle by Patrick Robinson and Eric Weddle),2.060,2.060
2,0:31,1,10,CLE 47,10,13,Timeout #2 by Cleveland Browns,2.060,2.730
2,0:31,2,1,SDG 44,10,13,"Josh McCown pass incomplete short left intended for Travis Benjamin. Penalty on Steve Williams: Illegal Use of Hands, 5 yards (no play)",2.730,2.980
2,0:26,1,10,SDG 39,10,13,Josh McCown pass complete deep left to Travis Benjamin for 15 yards,2.980,3.970
2,0:21,1,10,SDG 24,10,13,Josh McCown pass incomplete short middle intended for Andrew Hawkins,3.970,3.430
2,0:15,2,10,SDG 24,10,13,Josh McCown pass complete short left to Isaiah Crowell for 14 yards (tackle by Kendall Reyes and Adrian Phillips),3.430,3.430
2,0:06,2,10,SDG 24,10,13,Timeout #3 by Cleveland Browns,3.430,4.910
2,0:06,1,10,SDG 10,13,13,Travis Coons 28 yard field goal good,4.910,3.000
2,0:06,,,CLE 35,13,13,"Travis Coons kicks off 43 yards, returned by John Phillips for 5 yards",0.000,1.270
Quarter,Time,Down,ToGo,Location,CLE,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,13,13,"Travis Coons kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,SDG 20,13,13,Philip Rivers pass complete short right to Keenan Allen for 31 yards (tackle by Tramon Williams),0.280,2.320
3,14:26,1,10,CLE 49,13,13,Philip Rivers pass incomplete short left intended for Steve Johnson (defended by Johnson Bademosi),2.320,1.780
3,14:21,2,10,CLE 49,13,13,Philip Rivers pass complete short left to Danny Woodhead for 2 yards (tackle by Karlos Dansby),1.780,1.360
3,13:36,3,8,CLE 47,13,13,"Penalty on Keenan Allen: False Start, 5 yards (no play)",1.360,0.700
3,13:12,3,13,SDG 48,13,13,"Philip Rivers pass incomplete short left intended for Keenan Allen. Penalty on Johnson Bademosi: Defensive Pass Interference, 16 yards, Penalty on Johnson Bademosi: Face Mask (15 Yards) (Declined) (no play)",0.700,3.180
3,13:07,1,10,CLE 36,13,13,Melvin Gordon left end for -3 yards (tackle by Donte Whitner),3.180,2.230
3,12:31,2,13,CLE 39,13,13,"Penalty on Chris Hairston: False Start, 5 yards (no play)",2.230,1.560
3,12:10,2,18,CLE 44,13,13,Philip Rivers pass incomplete short left intended for Dontrelle Inman,1.560,0.890
3,12:04,3,18,CLE 44,13,13,Philip Rivers pass complete short right to Keenan Allen for 5 yards (tackle by Johnson Bademosi),0.890,0.660
3,11:26,4,13,CLE 39,13,13,"Mike Scifres punts 22 yards, out of bounds",0.660,0.060
3,11:19,1,10,CLE 17,13,13,Isaiah Crowell middle for 6 yards (tackle by Manti Te'o and Donald Butler),-0.060,0.350
3,10:47,2,4,CLE 23,13,13,Isaiah Crowell right tackle for 1 yard (tackle by Manti Te'o),0.350,-0.370
3,10:05,3,3,CLE 24,13,13,Josh McCown pass complete short right to Andrew Hawkins for 18 yards (tackle by Brandon Flowers),-0.370,1.730
3,9:47,1,10,CLE 42,13,13,"Penalty on Joel Bitonio: False Start, 5 yards (no play)",1.730,1.400
3,9:32,1,15,CLE 37,13,13,Josh McCown pass complete short left to Isaiah Crowell for -5 yards (tackle by Melvin Ingram),1.400,-0.160
3,8:51,2,20,CLE 32,13,13,Josh McCown pass complete short right to Isaiah Crowell for 53 yards (tackle by Melvin Ingram and Jimmy Wilson),-0.160,4.580
3,8:04,1,10,SDG 15,13,13,Shaun Draughn middle for 6 yards (tackle by Manti Te'o and Jimmy Wilson),4.580,5.030
3,7:20,2,4,SDG 9,13,13,Josh McCown pass complete short left to Shaun Draughn for -1 yards (tackle by Manti Te'o),5.030,4.000
3,6:40,3,5,SDG 10,13,13,Josh McCown pass complete short left to Duke Johnson for -5 yards (tackle by Manti Te'o and Corey Liuget),4.000,2.440
3,5:58,4,10,SDG 15,16,13,Travis Coons 33 yard field goal good,2.440,3.000
3,5:58,,,CLE 35,16,13,"Travis Coons kicks off 69 yards, returned by Branden Oliver for 23 yards (tackle by Johnson Bademosi)",0.000,-0.150
3,5:49,1,10,SDG 19,16,13,Melvin Gordon left tackle for 1 yard (tackle by Jamie Meder),0.150,-0.200
3,5:16,2,9,SDG 20,16,13,Philip Rivers pass complete short middle to Danny Woodhead for 61 yards (tackle by Tashaun Gipson),-0.200,4.310
3,4:28,1,10,CLE 19,16,19,"Philip Rivers pass complete deep right to Ladarius Green for 19 yards, touchdown",4.310,7.000
3,4:28,,,CLE 19,16,20,Josh Lambo kicks extra point good,0.000,0.000
3,4:28,,,SDG 35,16,20,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.280
3,4:23,1,10,CLE 20,16,20,Josh McCown pass incomplete short left intended for Travis Benjamin,0.280,-0.270
3,4:19,2,10,CLE 20,16,20,Isaiah Crowell right tackle for 2 yards (tackle by Ricardo Mathews),-0.270,-0.690
3,3:39,3,8,CLE 22,16,20,Josh McCown pass incomplete short right intended for Travis Benjamin,-0.690,-1.900
3,3:34,4,8,CLE 22,16,20,"Andy Lee punts 57 yards, fair catch by Keenan Allen",-1.900,-0.340
3,3:26,1,10,SDG 21,16,20,Melvin Gordon left end for 1 yard (tackle by Tramon Williams),0.340,-0.070
3,2:44,2,9,SDG 22,16,20,"Penalty on Philip Rivers: Delay of Game, 5 yards (no play)",-0.070,-0.860
3,2:21,2,14,SDG 17,16,20,Philip Rivers pass complete short left to Melvin Gordon for 3 yards (tackle by Tramon Williams and Christian Kirksey),-0.860,-1.020
3,1:41,3,11,SDG 20,16,20,"Philip Rivers pass complete short left to Dontrelle Inman for 15 yards (tackle by Johnson Bademosi). Penalty on Jordan Poyer: Unnecessary Roughness, 15 yards",-1.020,2.260
3,1:25,1,10,,16,20,Melvin Gordon middle for no gain (tackle by Christian Kirksey),2.260,1.710
3,0:47,2,10,,16,20,Philip Rivers pass incomplete short middle intended for John Phillips,1.710,1.710
3,0:41,2,10,,16,20,Timeout #1 by Los Angeles Chargers,1.710,1.030
3,0:41,3,10,,16,20,Philip Rivers sacked by Xavier Cooper for -4 yards,1.030,-0.320
3,0:03,4,14,SDG 46,16,20,"Mike Scifres punts 47 yards, returned by Travis Benjamin for 31 yards (tackle by John Phillips)",-0.320,-1.470
Quarter,Time,Down,ToGo,Location,CLE,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CLE 38,16,20,Isaiah Crowell right end for 6 yards (tackle by Eric Weddle),1.470,1.730
4,14:28,2,4,CLE 44,16,20,Isaiah Crowell right guard for no gain (tackle by Manti Te'o and Kendall Reyes),1.730,1.020
4,13:50,3,4,CLE 44,16,20,Josh McCown pass complete short left to Travis Benjamin for 16 yards (tackle by Steve Williams),1.020,2.920
4,13:22,1,10,SDG 40,16,20,Duke Johnson middle for 5 yards (tackle by Eric Weddle),2.920,3.050
4,12:39,2,5,SDG 35,16,20,Josh McCown pass complete short right to Duke Johnson for 8 yards (tackle by Manti Te'o),3.050,3.780
4,12:11,1,10,SDG 27,16,20,Isaiah Crowell right end for 2 yards (tackle by Kendall Reyes and Ryan Carrethers),3.780,3.500
4,11:30,2,8,SDG 25,16,20,Josh McCown sacked by Jeremiah Attaochu for -12 yards,3.500,1.220
4,10:45,3,20,SDG 37,16,20,Josh McCown pass complete short middle to Gary Barnidge for 15 yards (tackle by Adrian Phillips),1.220,2.040
4,10:01,4,5,SDG 22,19,20,Travis Coons 40 yard field goal good,2.040,3.000
4,10:01,,,CLE 35,19,20,"Travis Coons kicks off 69 yards, returned by Branden Oliver for 30 yards (tackle by Johnson Bademosi)",0.000,-0.670
4,9:51,1,10,SDG 26,19,20,Melvin Gordon left end for 5 yards (tackle by Pierre Desir),0.670,0.810
4,9:10,2,5,SDG 31,19,20,Philip Rivers pass incomplete short right intended for David Johnson,0.810,0.100
4,9:05,3,5,SDG 31,19,20,Philip Rivers pass complete short right to Dontrelle Inman for 68 yards (tackle by Barkevious Mingo),0.100,6.970
4,8:07,1,1,CLE 1,19,20,Penalty on CLE: Defensive 12 On-field (no play),6.970,6.970
4,7:57,1,1,CLE 1,19,20,Melvin Gordon right guard for no gain (tackle by Tank Carder and Randy Starks),6.970,5.910
4,7:29,2,1,CLE 1,19,26,"Philip Rivers pass complete short middle to John Phillips for 1 yard, touchdown",5.910,7.000
4,7:29,,,CLE 1,19,27,Josh Lambo kicks extra point good,0.000,0.000
4,,,,SDG 35,19,27,"Josh Lambo kicks off 70 yards, returned by Justin Gilbert for 38 yards (tackle by Josh Lambo)",,
4,7:19,1,10,CLE 33,19,27,Isaiah Crowell middle for 6 yards (tackle by Corey Liuget),1.140,1.400
4,6:44,2,4,CLE 39,19,27,Josh McCown pass complete short right to Taylor Gabriel for 4 yards (tackle by Jimmy Wilson),1.400,1.800
4,6:14,1,10,CLE 43,19,27,Isaiah Crowell middle for 4 yards (tackle by Denzel Perryman),1.800,1.790
4,5:36,2,6,CLE 47,19,27,Josh McCown pass complete short right to Travis Benjamin for 18 yards (tackle by Jeremiah Attaochu),1.790,3.250
4,4:55,1,10,SDG 35,19,27,Duke Johnson middle for 9 yards (tackle by Denzel Perryman and Eric Weddle),3.250,3.920
4,4:20,2,1,SDG 26,19,27,Duke Johnson left end for 3 yards (tackle by Corey Liuget),3.920,4.040
4,3:41,1,10,SDG 23,19,27,Josh McCown pass complete short right to Taylor Gabriel for 3 yards (tackle by Manti Te'o and Denzel Perryman),4.040,3.900
4,3:03,2,7,SDG 20,19,27,Josh McCown pass complete deep left to Gary Barnidge for 19 yards (tackle by Jimmy Wilson),3.900,6.970
,,,,,,,"CLE challenged the incomplete pass ruling, and the original play was overturned.",,
4,2:49,1,1,SDG 1,19,27,Duke Johnson middle for no gain (tackle by Kendall Reyes and Donald Butler),6.970,5.910
4,2:13,2,1,SDG 1,25,27,"Josh McCown pass complete short right to Gary Barnidge for 1 yard, touchdown",5.910,7.000
4,2:13,2,,SDG 1,27,27,"Two Point Attempt: Josh McCown pass complete to Taylor Gabriel, conversion succeeds",5.910,1.000
4,2:13,,,CLE 35,27,27,"Travis Coons kicks off 68 yards, returned by Branden Oliver for 30 yards (tackle by Tank Carder)",0.000,-0.740
4,2:03,1,10,SDG 27,27,27,Danny Woodhead left end for 5 yards (tackle by Johnson Bademosi),0.740,0.870
4,1:57,2,5,SDG 32,27,27,Philip Rivers pass complete short right to Ladarius Green for 17 yards (tackle by Donte Whitner),0.870,2.190
4,1:20,1,10,SDG 49,27,27,Philip Rivers pass complete short right to Keenan Allen for 8 yards (tackle by Pierre Desir),2.190,2.730
4,1:00,2,2,CLE 43,27,27,Danny Woodhead middle for 19 yards (tackle by Jordan Poyer),2.730,2.730
4,0:48,2,2,CLE 43,27,27,Timeout #1 by Cleveland Browns,2.730,3.970
4,0:48,1,10,CLE 24,27,27,Danny Woodhead right guard for 2 yards (tackle by Xavier Cooper),3.970,3.970
4,0:43,1,10,CLE 24,27,27,Timeout #2 by Cleveland Browns,3.970,3.700
4,0:43,2,8,CLE 22,27,27,Danny Woodhead middle for 2 yards (tackle by Paul Kruger and John Hughes),3.700,3.700
4,0:38,2,8,CLE 22,27,27,Timeout #3 by Cleveland Browns,3.700,3.270
4,0:38,3,6,CLE 20,27,27,Philip Rivers kneels for -1 yards,3.270,3.270
4,0:02,3,6,CLE 20,27,27,Timeout #2 by Los Angeles Chargers,3.270,2.060
4,0:02,4,7,CLE 21,27,27,"Josh Lambo 39 yard field goal no good. Penalty on Tramon Williams: Defensive Offside, 5 yards (no play)",2.060,2.500
4,0:00,4,2,CLE 16,27,30,Josh Lambo 34 yard field goal good,2.500,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
