Quarter,Time,Down,ToGo,Location,CLE,DEN,Detail,EPB,EPA
2,6:02,4,11,DEN 18,3,14,Dustin Hopkins 36 yard field goal good,2.250,3.000
2,5:59,,,CLE 35,3,14,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,5:59,1,10,DEN 25,3,14,Russell Wilson pass complete short right to Marvin Mims for 8 yards (tackle by Mike Ford),0.610,1.140
2,5:21,2,2,DEN 33,3,14,Javonte Williams right end for 10 yards (tackle by Grant Delpit),1.140,1.800
2,4:38,1,10,DEN 43,3,14,"Penalty on Ben Powers: False Start, 5 yards (accepted) (no play)",1.800,1.470
2,4:23,1,15,DEN 38,3,14,"Russell Wilson pass complete deep right to Courtland Sutton for no gain (tackle by Greg Newsome). Penalty on Courtland Sutton: Offensive Pass Interference, 10 yards (accepted) (no play)",1.470,0.810
2,3:53,1,25,DEN 28,3,14,Russell Wilson pass incomplete deep right intended for Courtland Sutton,0.810,-0.770
2,3:46,2,25,DEN 28,3,14,Russell Wilson pass incomplete short left intended for Javonte Williams (defended by Myles Garrett),-0.770,-1.420
2,3:42,3,25,DEN 28,3,14,Russell Wilson pass complete short right to Samaje Perine for 11 yards (tackle by Greg Newsome),-1.420,-0.780
2,3:14,4,14,DEN 39,3,14,"Riley Dixon punts 43 yards, returned by James Proche for 9 yards (tackle by Riley Moss and Mitchell Fraboni)",-0.780,-0.740
2,3:04,1,10,CLE 27,3,14,Dorian Thompson-Robinson pass complete short left to Cedric Tillman for 18 yards (tackle by Ja'Quan McMillian),0.740,1.930
2,2:45,1,10,CLE 45,3,14,Dorian Thompson-Robinson pass incomplete short left intended for Jerome Ford,1.930,1.380
2,2:35,2,10,CLE 45,3,14,Jerome Ford right end for 3 yards (tackle by Jonathon Cooper),1.380,1.090
2,2:00,3,7,CLE 48,3,14,Dorian Thompson-Robinson scrambles right end for 6 yards (tackle by Alex Singleton and D.J. Jones),1.090,0.200
2,1:19,4,1,DEN 46,3,14,Kareem Hunt right tackle for 3 yards (tackle by Tyler Lancaster),0.200,2.720
2,1:14,,,,,,Timeout #1 by Cleveland Browns,,
2,1:14,1,10,DEN 43,3,14,Dorian Thompson-Robinson pass complete short right to Jerome Ford for 11 yards (tackle by Patrick Surtain),2.720,3.450
2,1:06,1,10,DEN 32,3,14,Dorian Thompson-Robinson pass complete short middle to Cedric Tillman for 23 yards (tackle by Justin Simmons),3.450,5.140
2,0:39,1,9,DEN 9,3,14,Dorian Thompson-Robinson left end for 3 yards (tackle by Baron Browning),5.140,4.950
2,0:34,2,6,DEN 6,3,14,Dorian Thompson-Robinson pass incomplete short middle intended for David Bell (defended by Mike Purcell),4.950,4.040
2,0:30,3,6,DEN 6,3,14,Dorian Thompson-Robinson pass incomplete short right intended for Elijah Moore,4.040,2.990
2,0:25,4,6,DEN 6,6,14,Dustin Hopkins 24 yard field goal good,2.990,3.000
2,0:22,,,CLE 35,6,14,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,0:22,1,10,DEN 25,6,14,Russell Wilson kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,CLE,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,6,14,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,DEN 25,6,14,Russell Wilson pass complete short left to Javonte Williams for 2 yards (tackle by Tony Fields),0.610,0.330
3,14:35,2,8,DEN 27,6,14,Russell Wilson pass complete short right to Jerry Jeudy for 7 yards (tackle by Martin Emerson),0.330,0.560
3,13:54,3,1,DEN 34,6,14,Javonte Williams right end for -3 yards (tackle by Jeremiah Owusu-Koramoah and Alex Wright),0.560,-1.310
3,13:14,4,4,DEN 31,6,14,Riley Dixon punts 48 yards downed by Delarrin Turner-Yell,-1.310,-0.340
3,13:06,1,10,CLE 21,6,14,Dorian Thompson-Robinson pass incomplete short right intended for Amari Cooper,0.340,-0.200
3,13:03,2,10,CLE 21,6,14,Jerome Ford left tackle for 2 yards (tackle by Alex Singleton and P.J. Locke),-0.200,-0.630
3,12:21,3,8,CLE 23,6,14,Dorian Thompson-Robinson pass complete short right to Amari Cooper for 11 yards,-0.630,1.200
3,11:55,1,10,CLE 34,6,14,Jerome Ford left tackle for 13 yards (tackle by P.J. Locke),1.200,2.060
3,11:15,1,10,CLE 47,6,14,Dorian Thompson-Robinson pass complete short right to David Njoku for 16 yards (tackle by Fabian Moreau),2.060,3.120
3,10:34,1,10,DEN 37,6,14,Jerome Ford left guard for 6 yards (tackle by Ja'Quan McMillian and Alex Singleton),3.120,3.310
3,9:54,2,5,DEN 31,6,14,Dorian Thompson-Robinson pass complete deep right to David Njoku for 17 yards (tackle by Justin Simmons),3.310,4.650
3,9:09,1,10,DEN 14,6,14,Dorian Thompson-Robinson pass incomplete short right,4.650,4.000
3,9:00,2,10,DEN 14,6,14,Jerome Ford left guard for 3 yards (tackle by Jonathon Cooper and Justin Simmons),4.000,3.620
3,8:20,3,7,DEN 11,6,14,"Dorian Thompson-Robinson pass incomplete short middle intended for David Njoku. Penalty on P.J. Locke: Personal Foul / Defense, 6 yards (accepted) (no play)",3.620,6.060
3,8:15,1,5,DEN 5,6,14,Kareem Hunt right tackle for 1 yard (tackle by Jonathon Cooper and Alex Singleton),6.060,5.340
3,7:34,2,4,DEN 4,6,14,Dorian Thompson-Robinson pass incomplete short middle intended for David Njoku (defended by Alex Singleton),5.340,4.490
3,7:30,3,4,DEN 4,6,14,Kareem Hunt right end for 2 yards (tackle by Jonathon Cooper and Patrick Surtain),4.490,3.250
3,6:44,4,2,DEN 2,12,14,"Dorian Thompson-Robinson pass complete short right to Harrison Bryant for 2 yards, touchdown",3.250,7.000
3,6:42,,,DEN 2,12,14,Two Point Attempt: Dorian Thompson-Robinson pass incomplete,1.000,-1.000
3,6:42,,,CLE 35,12,14,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
3,6:42,1,10,DEN 25,12,14,"Javonte Williams right guard for no gain (tackle by Jeremiah Owusu-Koramoah). Penalty on Shelby Harris: Defensive Holding, 5 yards (accepted) (no play)",0.610,0.940
3,6:30,1,10,DEN 30,12,14,Russell Wilson pass complete short middle to Javonte Williams for 4 yards (tackle by Jeremiah Owusu-Koramoah),0.940,0.930
3,5:48,2,6,DEN 34,12,14,Russell Wilson pass complete short left to Lil'Jordan Humphrey for 13 yards (tackle by Jeremiah Owusu-Koramoah),0.930,2.060
