Quarter,Time,Down,ToGo,Location,PHI,DET,Detail,EPB,EPA
3,3:59,3,7,PHI 49,28,17,Shaun Hill pass incomplete short left intended for Calvin Johnson is intercepted by Ellis Hobbs at PHI-44,1.290,-1.860
3,3:53,1,10,PHI 44,28,17,"Michael Vick for no gain. Michael Vick fumbles, recovered by Michael Vick at PHI-43",1.860,1.180
3,3:24,,,,28,17,Timeout #1 by Philadelphia Eagles,0.000,1.180
3,3:17,2,11,PHI 43,28,17,Michael Vick sacked by Kyle Vanden Bosch for -12 yards,1.180,-1.090
3,2:43,3,23,PHI 31,28,17,Michael Vick pass incomplete deep right intended for Jeremy Maclin (defended by C.C. Brown),-1.090,-1.310
3,2:34,4,23,PHI 31,28,17,"Saverio Rocca punts 52 yards, returned by Stefan Logan for 6 yards (tackle by Jason Avant)",-1.310,-0.480
3,2:24,1,10,DET 23,28,17,Shaun Hill pass complete short left to Jahvid Best for 9 yards (tackle by Brandon Graham),0.480,1.150
3,1:50,2,1,DET 32,28,17,Jahvid Best right tackle for 1 yard (tackle by Brodrick Bunkley),1.150,1.140
3,1:04,1,10,DET 33,28,17,Shaun Hill pass incomplete short left intended for Jahvid Best,1.140,0.590
3,0:59,2,10,DET 33,28,17,Shaun Hill pass incomplete deep middle intended for Brandon Pettigrew,0.590,-0.100
3,0:50,3,10,DET 33,28,17,Shaun Hill pass complete short right to Brandon Pettigrew for 19 yards (tackle by Omar Gaither),-0.100,2.390
3,0:17,1,10,PHI 48,28,17,Jahvid Best left tackle for 2 yards (tackle by Brodrick Bunkley),2.390,2.120
Quarter,Time,Down,ToGo,Location,PHI,DET,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,PHI 46,28,17,"Shaun Hill pass complete short right to Jahvid Best for 6 yards (tackle by Ernie Sims). Penalty on Trent Cole: Illegal Use of Hands (Offsetting), Penalty on Dominic Raiola: Unnecessary Roughness (Offsetting) (no play)",2.120,2.120
4,14:35,2,8,PHI 46,28,17,Shaun Hill pass complete short right to Calvin Johnson for 6 yards (tackle by Omar Gaither),2.120,2.210
4,13:54,3,2,PHI 40,28,17,Shaun Hill pass complete short middle to Aaron Brown for 2 yards (tackle by Omar Gaither),2.210,3.050
4,13:14,1,10,PHI 38,28,17,Shaun Hill pass complete short left to Aaron Brown for 8 yards (tackle by Omar Gaither),3.050,3.590
4,12:57,2,2,PHI 30,28,17,Aaron Brown middle for 1 yard (tackle by Trent Cole),3.590,3.010
4,12:22,3,1,PHI 29,28,17,Jahvid Best right tackle for no gain (tackle by Quintin Mikell),3.010,1.620
4,11:40,4,1,PHI 29,28,17,Jahvid Best right tackle for no gain (tackle by Juqua Parker),1.620,-0.870
4,11:35,1,10,PHI 29,28,17,Michael Vick pass complete short left to Garrett Mills for 14 yards,0.870,1.800
4,11:01,1,10,PHI 43,28,17,LeSean McCoy left tackle for 6 yards (tackle by Alphonso Smith and Kyle Vanden Bosch),1.800,2.060
4,10:18,2,4,PHI 49,28,17,LeSean McCoy right tackle for -1 yards (tackle by Ndamukong Suh),2.060,1.220
4,9:35,3,5,PHI 48,28,17,Michael Vick pass incomplete short right intended for Mike Bell,1.220,-0.190
4,9:29,4,5,PHI 48,28,17,Saverio Rocca punts 37 yards,-0.190,0.220
4,9:22,1,10,DET 15,28,17,Shaun Hill pass complete short right to Jahvid Best for -2 yards (tackle by Omar Gaither),-0.220,-0.920
4,8:48,2,12,DET 13,28,17,"Shaun Hill sacked by Juqua Parker for -7 yards. Shaun Hill fumbles (forced by Juqua Parker), recovered by Dominic Raiola at DET-9",-0.920,-2.120
4,8:06,3,16,DET 9,28,17,Shaun Hill pass incomplete short right intended for Jahvid Best (defended by Ernie Sims),-2.120,-2.490
4,7:59,4,16,DET 9,28,17,Nick Harris punts 51 yards (tackle by John Wendling),-2.490,-1.730
4,7:49,1,10,PHI 42,28,17,Michael Vick pass incomplete short right intended for Brent Celek,1.730,1.190
4,7:44,2,10,PHI 42,28,17,"LeSean McCoy middle for 4 yards (tackle by Chris Houston). Penalty on Winston Justice: Offensive Holding, 10 yards",1.190,0.380
4,7:18,2,16,PHI 36,28,17,Michael Vick pass incomplete short right intended for Riley Cooper,0.380,-0.290
4,7:13,3,16,PHI 36,28,17,Michael Vick pass complete short middle to Jason Avant for 18 yards (tackle by Randy Phillips),-0.290,2.520
4,6:27,1,10,DET 46,34,17,"LeSean McCoy middle for 46 yards, touchdown",2.520,7.000
4,,,,DET 2,35,17,David Akers kicks extra point good,0.000,0.000
4,,,,PHI 30,35,17,"David Akers kicks off 70 yards, touchback",0.000,0.280
4,6:17,1,10,DET 20,35,17,Shaun Hill pass complete short middle to Brandon Pettigrew for 5 yards (tackle by Omar Gaither),0.280,0.410
4,5:53,2,5,DET 25,35,17,Shaun Hill pass complete short middle to Calvin Johnson for 18 yards (tackle by Quintin Mikell),0.410,1.800
4,5:17,1,10,DET 43,35,17,Shaun Hill pass complete short right to Brandon Pettigrew for 4 yards (tackle by Asante Samuel),1.800,1.790
4,4:50,2,6,DET 47,35,17,Shaun Hill pass complete short right to Brandon Pettigrew for 35 yards (tackle by Omar Gaither),1.790,4.370
4,4:45,1,10,PHI 18,35,17,Shaun Hill pass incomplete short right intended for Aaron Brown,4.370,3.800
4,4:41,2,10,PHI 18,35,17,"Penalty on Stephen Peterman: False Start, 5 yards (no play)",3.800,3.150
4,4:41,2,15,PHI 23,35,17,Shaun Hill pass complete short right to Jahvid Best for 21 yards (tackle by Ellis Hobbs and Joselio Hanson),3.150,6.740
4,4:15,1,2,PHI 2,35,23,"Jahvid Best left tackle for 2 yards, touchdown",6.740,7.000
4,,,,,35,23,"Penalty on Antonio Dixon: Neutral Zone Infraction, 5 yards",0.000,0.000
4,,,,PHI 2,35,24,Jason Hanson kicks extra point good,0.000,0.000
4,,,,DET 35,35,24,"Jason Hanson kicks off 69 yards, touchback",0.000,0.280
4,4:11,1,10,PHI 20,35,24,LeSean McCoy right tackle for 1 yard (tackle by Ashlee Palmer),0.280,-0.130
4,3:31,2,9,PHI 21,35,24,Michael Vick pass complete short right to LeSean McCoy for 1 yard (tackle by Ndamukong Suh),-0.130,-0.690
4,3:21,,,,35,24,Timeout #1 by Detroit Lions,0.000,-0.690
4,3:21,3,8,PHI 22,35,24,"Michael Vick sacked by Louis Delmas for -5 yards. Penalty on Michael Vick: Delay of Game, 5 yards",-0.690,-2.490
4,3:13,4,18,PHI 12,35,24,Saverio Rocca punts 54 yards (tackle by Jason Avant),-2.490,-1.930
4,3:01,1,10,DET 45,35,24,Shaun Hill pass complete short middle to Jahvid Best for 17 yards (tackle by Ernie Sims),1.930,3.050
4,2:35,1,10,PHI 38,35,24,Shaun Hill pass incomplete deep left intended for Bryant Johnson,3.050,2.510
4,2:31,2,10,PHI 38,35,24,Shaun Hill pass complete short left to Jahvid Best for 12 yards (tackle by Omar Gaither),2.510,3.840
4,2:23,,,,35,24,Timeout #2 by Detroit Lions,0.000,3.840
4,2:23,1,10,PHI 26,35,24,Shaun Hill pass complete short left to Jahvid Best for 1 yard (tackle by Ellis Hobbs),3.840,3.430
4,2:18,2,9,PHI 25,35,24,Shaun Hill pass complete short middle to Brandon Pettigrew for 11 yards (tackle by Omar Gaither),3.430,4.650
4,2:00,1,10,PHI 14,35,24,"Shaun Hill pass complete short middle to Calvin Johnson for 14 yards. Penalty on Calvin Johnson: Illegal Formation, 5 yards (no play)",4.650,4.260
4,1:55,1,15,PHI 19,35,30,"Shaun Hill pass complete deep middle to Calvin Johnson for 19 yards, touchdown",4.260,7.000
