Quarter,Time,Down,ToGo,Location,CHI,STL,Detail,EPB,EPA
1,1:30,3,6,CHI 6,7,20,"Kellen Clemens pass complete short middle to Jared Cook for 6 yards, touchdown",4.040,7.000
1,1:30,,,CHI 2,7,21,Greg Zuerlein kicks extra point good,0.000,0.000
1,1:30,,,STL 35,7,21,"Greg Zuerlein kicks off 73 yards, returned by Devin Hester for 26 yards (tackle by Ray Ray Armstrong)",0.000,-0.040
1,1:22,1,10,CHI 18,7,21,Josh McCown pass complete short right to Alshon Jeffery for 10 yards (tackle by James Laurinaitis),0.040,0.810
1,0:45,1,10,CHI 28,7,21,Josh McCown pass complete short middle to Earl Bennett for 8 yards (tackle by Trumaine Johnson),0.810,1.340
1,0:02,2,2,CHI 36,7,21,Josh McCown pass incomplete short right intended for Brandon Marshall (defended by Kendall Langford),1.340,0.630
Quarter,Time,Down,ToGo,Location,CHI,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,CHI 36,7,21,Josh McCown pass complete short left to Matt Forte for 13 yards (tackle by Rodney McLeod),0.630,2.190
2,14:23,1,10,CHI 49,7,21,Josh McCown pass incomplete deep middle intended for Alshon Jeffery,2.190,1.650
2,14:17,2,10,CHI 49,7,21,Michael Bush right tackle for -3 yards (tackle by William Hayes),1.650,0.560
2,13:42,3,13,CHI 46,7,21,Josh McCown pass complete short left to Earl Bennett for 6 yards (tackle by Janoris Jenkins),0.560,0.070
2,13:02,4,7,STL 48,7,21,"Adam Podlesh punts 36 yards, fair catch by Tavon Austin",0.070,0.350
2,12:51,1,10,STL 12,7,21,Zac Stacy left guard for 2 yards (tackle by Jonathan Bostic),-0.350,-0.610
2,12:13,2,8,STL 14,7,21,Zac Stacy left tackle for 3 yards (tackle by Corey Wootton),-0.610,-0.840
2,11:31,3,5,STL 17,7,21,Kellen Clemens pass incomplete deep middle intended for Chris Givens (defended by Zackary Bowman),-0.840,-2.320
2,11:25,4,5,STL 17,7,21,"Johnny Hekker punts 51 yards, fair catch by Devin Hester",-2.320,-1.070
2,11:17,1,10,CHI 32,7,21,Josh McCown pass complete short right to Matt Forte for 8 yards (tackle by Brandon McGee),1.070,1.610
2,10:57,2,2,CHI 40,7,21,Matt Forte up the middle for 4 yards (tackle by Kendall Langford),1.610,1.860
2,10:15,1,10,CHI 44,7,21,"Alshon Jeffery right end for 4 yards (tackle by Alec Ogletree). Penalty on Tony Fiammetta: Offensive Holding, 10 yards",1.860,1.470
2,9:44,1,16,CHI 38,7,21,Josh McCown pass complete short middle to Brandon Marshall for 9 yards (tackle by Trumaine Johnson),1.470,1.720
2,8:59,2,7,CHI 47,7,21,"Josh McCown pass incomplete short right intended for Tony Fiammetta. Penalty on Kyle Long: Unnecessary Roughness, 15 yards, Penalty on Josh McCown: Intentional Grounding (Declined), Penalty on Tony Fiammetta: Face Mask (15 Yards) (Declined)",1.720,-0.960
2,8:45,3,22,CHI 32,7,21,"Josh McCown pass incomplete deep left intended for Brandon Marshall is intercepted by Janoris Jenkins at STL-24. Penalty on Brandon McGee: Illegal Contact, 5 yards (no play)",-0.960,1.400
2,8:35,1,10,CHI 37,7,21,Matt Forte left tackle for 1 yard (tackle by Michael Brockers),1.400,0.990
2,7:56,2,9,CHI 38,7,21,Josh McCown pass complete short left to Matt Forte for 7 yards (tackle by Janoris Jenkins),0.990,0.990
2,7:22,2,9,CHI 38,7,21,Timeout #2 by Chicago Bears,0.990,1.220
2,7:22,3,2,CHI 45,7,21,Josh McCown pass complete short right to Brandon Marshall for 11 yards (tackle by Brandon McGee),1.220,2.650
2,6:57,1,10,STL 44,7,21,Josh McCown pass complete deep middle to Martellus Bennett for 37 yards (tackle by T.J. McDonald),2.650,5.600
2,6:09,1,7,STL 7,7,21,"Matt Forte left tackle for 4 yards. Penalty on Earl Bennett: Illegal Block Above the Waist, 10 yards",5.600,4.530
2,6:01,1,13,STL 13,7,21,Josh McCown pass complete short left to Michael Bush for 10 yards (tackle by Alec Ogletree),4.530,5.530
2,5:24,2,3,STL 3,13,21,"Josh McCown pass complete short left to Brandon Marshall for 3 yards, touchdown",5.530,7.000
2,5:24,,,STL 2,14,21,Robbie Gould kicks extra point good,0.000,0.000
2,5:24,,,CHI 35,14,21,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
2,5:19,1,10,STL 20,14,21,Kellen Clemens pass complete short middle to Tavon Austin for 7 yards (tackle by Tim Jennings),0.280,0.680
2,4:52,2,3,STL 27,14,21,Zac Stacy up the middle for 2 yards (tackle by James Anderson),0.680,0.230
2,4:12,3,1,STL 29,14,21,Kellen Clemens pass complete deep middle to Jared Cook for 27 yards (tackle by Chris Conte),0.230,2.650
2,3:27,1,10,CHI 44,14,21,Zac Stacy left tackle for 3 yards (tackle by Khaseem Greene),2.650,2.520
2,2:44,2,7,CHI 41,14,21,Zac Stacy right tackle for 16 yards (tackle by Chris Conte),2.520,2.520
2,2:30,2,7,CHI 41,14,21,Timeout #3 by Chicago Bears,2.520,3.910
2,2:30,1,10,CHI 25,14,21,Benny Cunningham right end for 11 yards (tackle by Jonathan Bostic),3.910,4.650
2,2:00,1,10,CHI 14,14,21,Zac Stacy left guard for 3 yards (tackle by Jonathan Bostic),4.650,4.520
2,1:24,2,7,CHI 11,14,21,Kellen Clemens pass incomplete short left intended for Tavon Austin,4.520,3.620
2,1:18,3,7,CHI 11,14,21,Kellen Clemens pass incomplete short right intended for Zac Stacy,3.620,2.700
2,1:15,4,7,CHI 11,14,24,Greg Zuerlein 29 yard field goal good,2.700,3.000
2,1:15,,,STL 35,14,24,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
2,1:11,1,10,CHI 20,14,24,Matt Forte right tackle for -2 yards (tackle by Chris Long),0.280,-0.630
2,0:31,2,12,CHI 18,14,24,Matt Forte left tackle for -5 yards (tackle by Robert Quinn),-0.630,-0.630
2,0:25,2,12,CHI 18,14,24,Timeout #2 by St. Louis Rams,-0.630,-2.190
2,0:25,3,17,CHI 13,14,24,Josh McCown pass incomplete short right intended for Matt Forte (defended by Chris Long),-2.190,-2.490
,,,,,,,"Replay Assistant challenged the incomplete pass ruling, and the play was upheld.",,
2,0:22,4,17,CHI 13,14,24,"Adam Podlesh punts 44 yards, out of bounds",-2.490,-1.800
2,0:16,1,10,STL 43,14,24,Kellen Clemens pass incomplete short left intended for Jared Cook,1.800,1.250
2,0:11,2,10,STL 43,14,24,Kellen Clemens pass incomplete deep right intended for Chris Givens,1.250,0.560
,,,,,,,"Replay Assistant challenged the incomplete pass ruling, and the play was upheld.",,
2,0:05,3,10,STL 43,14,24,Benny Cunningham right guard for 4 yards (tackle by Julius Peppers),0.560,-0.260
Quarter,Time,Down,ToGo,Location,CHI,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 35,14,24,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,CHI 20,14,24,Matt Forte right tackle for 5 yards (tackle by Brandon McGee),0.280,0.410
3,14:25,2,5,CHI 25,14,24,Josh McCown pass incomplete short middle intended for Martellus Bennett (defended by Alec Ogletree),0.410,-0.300
3,14:20,3,5,CHI 25,14,24,Josh McCown pass complete short middle to Brandon Marshall for 10 yards (tackle by Alec Ogletree),-0.300,1.270
3,13:38,1,10,CHI 35,14,24,Josh McCown pass complete short left to Earl Bennett for 7 yards (tackle by Janoris Jenkins),1.270,1.670
3,13:00,2,3,CHI 42,14,24,Matt Forte right end for 10 yards (tackle by Rodney McLeod),1.670,2.390
3,12:26,1,10,STL 48,14,24,Josh McCown pass complete short right to Earl Bennett for 11 yards (tackle by Alec Ogletree),2.390,3.120
3,11:52,1,10,STL 37,14,24,Josh McCown pass complete short left to Brandon Marshall for 8 yards (tackle by Janoris Jenkins),3.120,3.650
3,11:24,2,2,STL 29,14,24,Matt Forte right end for 1 yard (tackle by Alec Ogletree),3.650,3.070
3,10:42,3,1,STL 28,14,24,Josh McCown pass complete short left to Martellus Bennett for 7 yards (tackle by James Laurinaitis),3.070,4.170
3,10:00,1,10,STL 21,14,24,Josh McCown pass complete short left to Tony Fiammetta for 17 yards (tackle by James Laurinaitis),4.170,6.280
3,9:14,1,4,STL 4,14,24,Josh McCown pass incomplete short right intended for Michael Bush,6.280,5.340
3,9:08,2,4,STL 4,14,24,Josh McCown pass incomplete short left intended for Alshon Jeffery (defended by Janoris Jenkins),5.340,4.490
3,9:04,3,4,STL 4,14,24,Josh McCown right end for 3 yards (tackle by Alec Ogletree),4.490,3.550
3,8:20,4,1,STL 1,14,24,Michael Bush left tackle for -4 yards (tackle by Jo-Lonn Dunbar),3.550,0.380
3,8:16,1,10,STL 5,14,24,Benny Cunningham right guard for 3 yards (tackle by James Anderson),-0.380,-0.560
3,7:42,2,7,STL 8,14,24,Kellen Clemens pass incomplete short middle intended for Chris Givens,-0.560,-1.070
3,7:37,3,7,STL 8,14,24,Kellen Clemens pass complete short left to Jared Cook for 18 yards (tackle by Jonathan Bostic),-1.070,0.670
3,6:55,1,10,STL 26,14,24,Kellen Clemens pass incomplete short right intended for Chris Givens,0.670,0.130
3,6:48,2,10,STL 26,14,24,Kellen Clemens pass complete deep left to Tavon Austin for 32 yards (tackle by Tim Jennings),0.130,2.790
3,6:13,1,10,CHI 42,14,24,Benny Cunningham right end for 14 yards (tackle by Chris Conte),2.790,3.710
3,5:36,1,10,CHI 28,14,24,Benny Cunningham left end for 13 yards (tackle by Zackary Bowman),3.710,4.580
3,4:59,1,10,CHI 15,14,24,Kellen Clemens pass complete short right to Brian Quick for 3 yards (tackle by Tim Jennings),4.580,4.450
3,4:16,2,7,CHI 12,14,24,Kellen Clemens pass incomplete short left intended for Tavon Austin,4.450,4.450
3,4:12,2,7,CHI 12,14,24,Timeout #1 by St. Louis Rams,4.450,3.580
3,4:12,3,7,CHI 12,14,24,Kellen Clemens sacked by James Anderson for -10 yards,3.580,1.990
3,4:05,4,17,CHI 22,14,27,Greg Zuerlein 40 yard field goal good,1.990,3.000
3,4:05,,,STL 35,14,27,"Greg Zuerlein kicks off 74 yards, returned by Devin Hester for 23 yards (tackle by Cody Davis). Penalty on Derrick Martin: Offensive Holding, 7 yards",0.000,0.380
3,3:54,1,10,CHI 7,14,27,Matt Forte left tackle for 2 yards (tackle by Robert Quinn),-0.380,-0.630
3,3:19,2,8,CHI 9,14,27,Josh McCown pass complete deep middle to Brandon Marshall for 20 yards (tackle by T.J. McDonald),-0.630,0.870
3,3:19,1,10,CHI 29,14,27,"Penalty on CHI: Offensive 12 On-field, 5 yards (no play)",0.870,0.540
3,2:30,1,15,CHI 24,14,27,Josh McCown pass complete short middle to Brandon Marshall for 23 yards (tackle by Rodney McLeod),0.540,2.060
3,1:44,1,10,CHI 47,14,27,Matt Forte right end for no gain (tackle by Brandon McGee),2.060,1.520
3,1:05,2,10,CHI 47,14,27,Josh McCown pass incomplete short left intended for Brandon Marshall,1.520,0.830
3,0:58,3,10,CHI 47,14,27,"Penalty on Josh McCown: Delay of Game, 5 yards (no play)",0.830,0.170
3,0:58,3,15,CHI 42,14,27,Josh McCown pass incomplete short left intended for Alshon Jeffery. Penalty on Matt Slauson: Offensive Holding (Declined),0.170,-0.590
3,0:58,4,15,CHI 42,14,27,Adam Podlesh punts 41 yards (tackle by Sherrick McManis),-0.590,-0.040
3,0:40,1,10,STL 18,14,27,Kellen Clemens pass incomplete deep left intended for Tavon Austin,0.040,-0.490
3,0:32,2,10,STL 18,14,27,Benny Cunningham up the middle for 3 yards (tackle by Khaseem Greene),-0.490,-0.790
Quarter,Time,Down,ToGo,Location,CHI,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,7,STL 21,14,27,Kellen Clemens pass incomplete deep left intended for Chris Givens,-0.790,-1.960
4,14:54,4,7,STL 21,14,27,"Penalty on Jake McQuaide: False Start, 5 yards (no play)",-1.960,-2.390
4,14:54,4,12,STL 16,14,27,"Johnny Hekker punts 46 yards, returned by Devin Hester for 62 yards. Penalty on Craig Steltz: Offensive Holding, 10 yards",-2.390,-0.810
4,14:39,1,10,CHI 28,14,27,Josh McCown pass complete short right to Alshon Jeffery for 18 yards (tackle by T.J. McDonald),0.810,1.990
4,14:13,1,10,CHI 46,14,27,Josh McCown pass complete short left to Brandon Marshall for 12 yards (tackle by Rodney McLeod),1.990,2.790
4,13:26,1,10,STL 42,14,27,Josh McCown pass complete short right to Tony Fiammetta for 6 yards (tackle by James Laurinaitis),2.790,3.050
4,12:43,2,4,STL 36,14,27,Matt Forte up the middle for 1 yard (tackle by Kendall Langford),3.050,2.480
4,12:07,3,3,STL 35,14,27,Josh McCown pass complete short middle to Martellus Bennett for 11 yards (tackle by William Hayes),2.480,3.970
4,11:21,1,10,STL 24,14,27,Josh McCown pass complete short right to Matt Forte for 1 yard (tackle by Alec Ogletree),3.970,3.570
4,10:55,2,9,STL 23,14,27,Michael Bush right tackle for 3 yards (tackle by Chris Long),3.570,3.270
4,10:18,3,6,STL 20,14,27,"Josh McCown pass incomplete deep right intended for Earl Bennett. Penalty on Brandon McGee: Defensive Pass Interference, 19 yards (no play)",3.270,6.970
4,10:06,1,1,STL 1,14,27,Michael Bush up the middle for no gain (tackle by William Hayes and James Laurinaitis),6.970,6.970
4,9:20,1,1,STL 1,14,27,Timeout #1 by Chicago Bears,6.970,5.910
4,9:20,2,1,STL 1,14,27,Josh McCown pass incomplete short right intended for Alshon Jeffery. Penalty on Brandon McGee: Defensive Holding (no play),5.910,6.970
4,9:15,1,1,STL 1,14,27,Michael Bush right tackle for -2 yards (tackle by Alec Ogletree and T.J. McDonald),6.970,5.530
4,8:33,2,3,STL 3,14,27,"Josh McCown pass complete short middle to Martellus Bennett for 3 yards. Penalty on Jermon Bushrod: Offensive Holding, 10 yards (no play)",5.530,3.720
4,8:27,2,13,STL 13,14,27,Josh McCown pass complete short middle to Matt Forte for 12 yards (tackle by Alec Ogletree),3.720,5.170
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned.",,
4,8:10,3,1,STL 1,14,27,Josh McCown sacked by Michael Brockers for -9 yards. Penalty on Michael Brockers: Roughing the Passer (no play),5.170,6.970
4,8:00,1,1,STL 1,14,27,Michael Bush right guard for no gain (tackle by Robert Quinn),6.970,5.910
4,7:20,2,1,STL 1,20,27,"Michael Bush right tackle for 1 yard, touchdown",5.910,7.000
4,7:20,,,STL 2,21,27,Robbie Gould kicks extra point good,0.000,0.000
4,7:20,,,CHI 35,21,27,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
4,7:15,1,10,STL 20,21,27,Benny Cunningham up the middle for 4 yards (tackle by Major Wright),0.280,0.270
4,6:39,2,6,STL 24,21,27,Benny Cunningham right end for 27 yards (tackle by Chris Conte),0.270,2.320
4,5:59,1,10,CHI 49,21,27,"Kellen Clemens pass complete deep middle to Chris Givens for 19 yards. Penalty on Scott Wells: Illegal Use of Hands, 10 yards (no play)",2.320,1.660
4,5:28,1,20,STL 41,21,27,Kellen Clemens pass complete deep middle to Jared Cook for 29 yards (tackle by Major Wright),1.660,3.580
4,4:48,1,10,CHI 30,21,27,Benny Cunningham up the middle for 13 yards (tackle by Major Wright),3.580,4.440
4,4:04,1,10,CHI 17,21,27,Benny Cunningham right guard for 5 yards (tackle by Khaseem Greene),4.440,4.690
4,3:17,2,5,CHI 12,21,27,Benny Cunningham left tackle for 3 yards (tackle by Shea McClellin),4.690,4.690
4,3:12,2,5,CHI 12,21,27,Timeout #2 by Chicago Bears,4.690,4.570
4,3:12,3,2,CHI 9,21,33,"Benny Cunningham right tackle for 9 yards, touchdown",4.570,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
4,3:12,,,,21,35,"Two Point Attempt: Kellen Clemens pass complete to Isaiah Pead, conversion succeeds",0.000,1.000
4,3:12,,,STL 35,21,35,"Greg Zuerlein kicks off 73 yards, returned by Devin Hester for 18 yards (tackle by Stedman Bailey). Devin Hester fumbles, recovered by Devin Hester at CHI-10",0.000,0.380
4,2:58,1,10,CHI 10,21,35,Josh McCown pass complete short left to Matt Forte for 3 yards (tackle by Alec Ogletree),-0.380,-0.560
4,2:50,2,7,CHI 13,21,35,Josh McCown pass complete short left to Earl Bennett for 5 yards (tackle by Janoris Jenkins),-0.560,-0.480
4,2:44,3,2,CHI 18,21,35,Josh McCown pass complete short left to Earl Bennett for 4 yards (tackle by Janoris Jenkins),-0.480,0.410
4,2:38,1,10,CHI 22,21,35,Josh McCown pass complete short middle to Earl Bennett for 17 yards (tackle by James Laurinaitis),0.410,1.530
4,2:13,1,10,CHI 39,21,41,"Josh McCown sacked by Robert Quinn for -7 yards. Josh McCown fumbles (forced by Robert Quinn), recovered by Robert Quinn at CHI-31 and returned for 31 yards, touchdown",1.530,-7.000
4,2:05,,,CHI 2,21,42,Greg Zuerlein kicks extra point good,0.000,0.000
4,2:05,,,STL 35,21,42,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
4,2:04,1,10,CHI 20,21,42,Josh McCown pass complete short right to Alshon Jeffery for 5 yards (tackle by Alec Ogletree),0.280,0.410
4,1:59,2,5,CHI 25,21,42,Josh McCown pass complete short left to Brandon Marshall for 12 yards (tackle by Jo-Lonn Dunbar),0.410,1.400
4,1:32,1,10,CHI 37,21,42,Josh McCown pass incomplete short right intended for Alshon Jeffery is intercepted by Rodney McLeod at CHI-43,1.400,-2.720
4,1:25,1,10,CHI 43,21,42,Kellen Clemens kneels for -1 yards,2.720,2.720
4,1:22,1,10,CHI 43,21,42,Timeout #3 by Chicago Bears,2.720,2.040
4,1:22,2,11,CHI 44,21,42,Kellen Clemens kneels for -1 yards,2.040,1.220
4,0:41,3,12,CHI 45,21,42,Kellen Clemens kneels for -1 yards,1.220,0.200
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
