Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA
2,14:13,2,9,MIN 29,0,7,"Daunte Culpepper pass incomplete intended for Randy Moss. Penalty on Randy Moss: Offensive Pass Interference, 10 yards (no play)",0.400,-1.010
2,14:07,2,19,MIN 19,0,7,Michael Bennett middle for -1 yards (tackle by Patrick Kerney and Keith Brooking),-1.010,-1.960
2,13:29,3,20,MIN 18,0,7,Daunte Culpepper pass incomplete intended for Moe Williams,-1.960,-2.240
2,13:23,4,20,MIN 18,0,7,"Penalty on ATL: Defensive Delay of Game, 5 yards (no play)",-2.240,-1.830
2,13:23,4,15,MIN 23,0,7,Kyle Richardson punts 17 yards,-1.830,-2.920
2,13:09,1,10,MIN 40,0,7,Michael Vick pass complete to Brian Finneran for 39 yards (tackle by Corey Chavous). Penalty on Kenny Mixon: Defensive Offside (Declined),2.920,6.970
2,12:52,1,1,MIN 1,6,7,"Bob Christian left guard for 1 yard, touchdown",6.970,7.000
2,12:52,,,MIN 1,7,7,Jay Feely kicks extra point good,0.000,0.000
2,12:52,,,ATL 30,7,7,"Jay Feely kicks off 64 yards, returned by Tyrone Carter for 26 yards (tackle by Kevin McCadam)",0.000,1.070
2,12:42,1,10,MIN 32,7,7,Daunte Culpepper pass complete to Randy Moss for 19 yards (tackle by Ray Buchanan),1.070,2.320
2,12:16,1,10,ATL 49,7,7,Daunte Culpepper pass complete to Byron Chamberlain for 7 yards (tackle by Chris Draft),2.320,2.730
2,11:40,2,3,ATL 42,7,7,"Daunte Culpepper pass complete to Randy Moss for 16 yards. Penalty on Randy Moss: Offensive Pass Interference, 10 yards (no play)",2.730,1.380
2,11:09,2,13,MIN 48,7,7,Michael Bennett middle for no gain (tackle by Keith Brooking and Brady Smith),1.380,0.700
2,10:29,3,13,MIN 48,7,7,Daunte Culpepper pass incomplete intended for Randy Moss is intercepted by Ray Buchanan at ATL-39 and returned for 9 yards,0.700,-2.130
2,10:21,1,10,ATL 48,7,7,Michael Vick pass incomplete intended for Warrick Dunn,2.130,1.580
2,10:16,2,10,ATL 48,7,7,Michael Vick for 40 yards (tackle by Greg Biekert and Corey Chavous),1.580,4.780
2,9:24,1,10,MIN 12,7,7,--,4.780,0.220
2,9:17,1,10,MIN 15,7,7,Daunte Culpepper pass incomplete intended for Moe Williams,-0.220,-0.710
2,9:13,2,10,MIN 15,7,7,Daunte Culpepper pass incomplete intended for Randy Moss,-0.710,-1.370
2,9:08,3,10,MIN 15,7,7,Daunte Culpepper pass incomplete intended for Kelly Campbell,-1.370,-2.440
2,9:04,4,10,MIN 15,7,7,"Kyle Richardson punts 42 yards, fair catch by Allen Rossum",-2.440,-1.800
2,8:56,1,10,ATL 43,7,7,"Michael Vick pass incomplete intended for Brian Finneran. Penalty on Kynan Forney: Ineligible Downfield Pass, 5 yards (no play)",1.800,1.470
2,8:48,1,15,ATL 38,7,7,T.J. Duckett right end for 1 yard (tackle by Ronnie Bradford),1.470,0.710
2,8:07,2,14,ATL 39,7,7,Michael Vick for 8 yards (tackle by Lance Johnstone and Corey Chavous),0.710,1.090
2,7:23,3,6,ATL 47,7,7,Michael Vick pass incomplete intended for T.J. Duckett,1.090,-0.260
2,7:17,4,6,ATL 47,7,7,"Chris Mohr punts 42 yards, fair catch by Nick Davis",-0.260,0.370
2,7:09,1,10,MIN 11,7,7,Michael Bennett right tackle for -2 yards (tackle by Brady Smith),-0.370,-0.930
2,6:29,2,12,MIN 9,7,7,Daunte Culpepper pass incomplete intended for Randy Moss,-0.930,-1.650
2,6:23,3,12,MIN 9,7,7,Daunte Culpepper pass incomplete intended for Kelly Campbell is intercepted by Juran Bolden at ATL-45,-1.650,-1.930
2,6:15,1,10,ATL 45,7,7,"Michael Vick sacked by Henri Crockett for -3 yards. Michael Vick fumbles (forced by Henri Crockett), recovered by Chris Hovan at ATL-36",1.930,-3.180
,,,,,,,"ATL challenged the ruling, and the play was upheld.",,
2,6:05,1,10,ATL 36,7,7,Daunte Culpepper middle for 3 yards (tackle by Keith Brooking),3.180,3.040
2,5:19,2,7,ATL 33,7,7,Daunte Culpepper pass incomplete intended for Randy Moss (defended by Ashley Ambrose),3.040,2.350
2,5:13,3,7,ATL 33,7,7,Daunte Culpepper right guard for 20 yards (tackle by Ed Jasper),2.350,4.710
2,4:28,1,10,ATL 13,7,7,Michael Bennett middle for 7 yards (tackle by Matt Stewart and Keith Brooking),4.710,5.340
2,3:56,2,3,ATL 6,7,7,Daunte Culpepper pass complete to Randy Moss for 2 yards (tackle by Juran Bolden),5.340,5.010
2,3:25,3,1,ATL 4,7,7,Moe Williams right guard for 2 yards (tackle by Mark Simoneau and Juran Bolden),5.010,6.740
2,2:45,1,2,ATL 2,7,13,"Daunte Culpepper pass complete to Hunter Goodwin for 2 yards, touchdown",6.740,7.000
2,2:45,,,ATL 2,7,14,Gary Anderson kicks extra point good,0.000,0.000
2,2:45,,,MIN 30,7,14,"Hayden Epstein kicks off 69 yards, returned by Allen Rossum for 22 yards (tackle by Brian Williams)",0.000,-0.480
2,2:32,1,10,ATL 23,7,14,T.J. Duckett left end for 8 yards (tackle by Henri Crockett),0.480,1.010
2,2:00,2,2,ATL 31,7,14,T.J. Duckett right end for -1 yards (tackle by Fred Robbins),1.010,0.170
2,1:44,2,2,ATL 31,,,Timeout #1 by Minnesota Vikings,1.010,0.170
2,1:44,3,3,ATL 30,7,14,Michael Vick pass complete to Brian Finneran for 7 yards (tackle by Eric Kelly),0.170,1.400
2,1:17,1,10,ATL 37,7,14,Michael Vick pass complete to Alge Crumpler for 8 yards (tackle by Brian Williams and Lemanski Hall),1.400,1.940
2,0:53,2,2,ATL 45,7,14,Michael Vick pass complete to Alge Crumpler for 16 yards (tackle by Corey Chavous),1.940,2.980
2,0:46,1,10,MIN 39,13,14,"Michael Vick pass complete to Brian Finneran for 39 yards, touchdown",2.980,7.000
2,0:46,,,MIN 39,14,14,Jay Feely kicks extra point good,0.000,0.000
2,0:46,,,ATL 30,14,14,"Jay Feely kicks off 62 yards, returned by Tyrone Carter for 23 yards (tackle by Artie Ulmer)",0.000,1.000
2,0:32,1,10,MIN 31,14,14,Michael Bennett for 7 yards (tackle by Keith Brooking),1.000,1.410
2,0:27,2,3,MIN 38,14,14,Daunte Culpepper pass complete to Michael Bennett for 5 yards (tackle by Keith Brooking),1.410,1.800
2,0:19,2,3,MIN 38,,,Timeout #2 by Minnesota Vikings,1.410,1.800
2,0:19,1,10,MIN 43,14,14,Daunte Culpepper pass incomplete intended for Kelly Campbell is intercepted by Keion Carpenter at ATL-3 and returned for 36 yards,1.800,-1.530
2,0:04,1,10,ATL 39,14,14,Michael Vick pass incomplete intended for Alge Crumpler,1.530,0.990
Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 30,14,14,"Hayden Epstein kicks off 65 yards, returned by Allen Rossum for 22 yards (tackle by Patrick Chukwurah)",0.000,-0.740
3,14:53,1,10,ATL 27,14,14,T.J. Duckett middle for 4 yards (tackle by Greg Biekert),0.740,0.740
3,14:15,2,6,ATL 31,14,14,Michael Vick pass incomplete intended for Brian Finneran,0.740,0.040
3,14:09,3,6,ATL 31,14,14,Michael Vick pass incomplete intended for Brian Finneran,0.040,-1.310
3,14:09,4,6,ATL 31,14,14,"Chris Mohr punts 39 yards, fair catch by Nick Davis",-1.310,-0.940
3,13:53,1,10,MIN 30,14,14,Michael Bennett right tackle for 4 yards (tackle by Ed Jasper and Sam Rogers),0.940,0.930
3,13:23,2,6,MIN 34,14,14,Michael Bennett right guard for 22 yards (tackle by Keion Carpenter),0.930,2.650
3,12:44,1,10,ATL 44,14,14,Daunte Culpepper sacked by John Thierry for -10 yards,2.650,0.760
3,12:23,2,20,MIN 46,14,14,Michael Bennett middle for 2 yards (tackle by John Thierry and Chris Draft),0.760,0.370
3,11:44,3,18,MIN 48,14,14,Daunte Culpepper sacked by Brady Smith for -4 yards,0.370,-0.460
3,11:38,4,22,MIN 44,14,14,"Kyle Richardson punts 56 yards, touchback",-0.460,-0.280
3,11:27,1,10,ATL 20,14,14,T.J. Duckett left guard for 18 yards (tackle by Corey Chavous),0.280,1.470
3,10:48,1,10,ATL 38,14,14,T.J. Duckett left end for no gain (tackle by Lance Johnstone),1.470,0.920
3,9:59,1,10,ATL 38,,,Timeout #1 by Atlanta Falcons,1.470,0.920
3,9:59,2,10,ATL 38,14,14,"Michael Vick pass incomplete intended for Brian Finneran. Penalty on Todd Weiner: Offensive Holding, 10 yards (no play)",0.920,-0.430
3,9:53,2,20,ATL 28,14,14,Michael Vick pass incomplete intended for Shawn Jefferson,-0.430,-1.090
3,9:49,3,20,ATL 28,14,14,Michael Vick pass incomplete intended for Bob Christian. Penalty on Kynan Forney: Illegal Touch Pass (Declined),-1.090,-1.500
3,9:44,4,20,ATL 28,14,14,"Chris Mohr punts 45 yards, fair catch by Nick Davis",-1.500,-0.740
3,9:37,1,10,MIN 27,14,14,Michael Bennett left tackle for 1 yard (tackle by Matt Stewart and Brady Smith),0.740,0.330
3,8:55,2,9,MIN 28,14,14,Nick Davis left end for 11 yards (tackle by Fred Weary),0.330,1.530
3,8:29,1,10,MIN 39,14,14,Daunte Culpepper pass complete to Michael Bennett for 1 yard (tackle by John Thierry),1.530,1.120
3,7:51,2,9,MIN 40,14,14,Jim Kleinsasser middle for 4 yards (tackle by Ellis Johnson and Chris Draft),1.120,0.960
3,7:10,3,5,MIN 44,14,14,Daunte Culpepper pass incomplete intended for D'Wayne Bates (defended by Fred Weary),0.960,-0.460
3,7:04,4,5,MIN 44,14,14,"Kyle Richardson punts 46 yards, fair catch by Allen Rossum",-0.460,0.380
3,6:57,1,10,ATL 10,14,14,T.J. Duckett middle for -2 yards (tackle by Lorenzo Bromell and Henri Crockett),-0.380,-0.930
3,6:21,2,12,ATL 8,14,14,Michael Vick pass incomplete intended for Brian Finneran (defended by Fred Robbins),-0.930,-1.650
3,6:16,3,12,ATL 8,14,14,Michael Vick pass incomplete intended for Trevor Gaylor,-1.650,-2.490
3,6:10,4,12,ATL 8,14,14,"Chris Mohr punts 38 yards, returned by Nick Davis for 5 yards (tackle by Matt Stewart)",-2.490,-2.850
3,5:59,1,10,ATL 41,14,14,Daunte Culpepper right end for 3 yards (tackle by Matt Stewart),2.850,2.710
3,5:32,2,7,ATL 38,14,14,"Penalty on Corbin Lacina: False Start, 5 yards (no play)",2.710,2.040
3,5:05,2,12,ATL 43,14,14,Daunte Culpepper pass complete to D'Wayne Bates for 11 yards (tackle by Fred Weary),2.040,2.810
3,4:27,3,1,ATL 32,14,14,Michael Bennett left end for 28 yards (tackle by Keion Carpenter),2.810,6.280
3,3:59,1,4,ATL 4,14,14,Michael Bennett middle for 3 yards (tackle by Chris Draft and Gerald McBurrows),6.280,5.910
3,3:22,2,1,ATL 1,14,20,"Michael Bennett left guard for 1 yard, touchdown",5.910,7.000
3,3:22,,,ATL 1,14,21,Gary Anderson kicks extra point good,0.000,0.000
3,3:22,,,MIN 30,14,21,"Hayden Epstein kicks off 64 yards, returned by Allen Rossum for 18 yards (tackle by Chris Walsh)",0.000,-0.540
3,3:12,1,10,ATL 24,14,21,Michael Vick pass incomplete intended for Shawn Jefferson,0.540,0.000
,,,,,,,"ATL challenged the ruling, and the play was upheld.",,
3,3:03,2,10,ATL 24,14,21,Michael Vick for 19 yards (tackle by Ronnie Bradford),0.000,1.800
3,2:14,1,10,ATL 43,14,21,T.J. Duckett left guard for 1 yard (tackle by Ronnie Bradford),1.800,1.390
3,1:37,2,9,ATL 44,14,21,"Michael Vick pass incomplete intended for Brian Finneran. Penalty on Lorenzo Bromell: Roughing the Passer, 15 yards (no play)",1.390,2.850
3,1:31,1,10,MIN 41,14,21,Michael Vick for 13 yards,2.850,3.710
3,1:08,1,10,MIN 28,20,21,"Michael Vick for 28 yards, touchdown",3.710,7.000
3,1:08,,,MIN 28,21,21,Jay Feely kicks extra point good,0.000,0.000
3,1:08,,,ATL 30,21,21,"Jay Feely kicks off 63 yards, returned by James Wofford for 19 yards (tackle by Artie Ulmer)",0.000,0.670
3,0:54,1,10,MIN 26,21,21,Daunte Culpepper pass incomplete intended for D'Wayne Bates,0.670,0.130
3,0:47,2,10,MIN 26,21,21,Michael Bennett middle for 4 yards (tackle by Chris Draft),0.130,-0.030
3,0:09,3,6,MIN 30,21,21,Daunte Culpepper pass incomplete,-0.030,-1.370
Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,6,MIN 30,21,21,Kyle Richardson punts 53 yards,-1.370,0.060
4,14:50,1,10,ATL 17,21,21,Michael Vick pass complete to Alge Crumpler for 12 yards (tackle by Tyrone Carter),-0.060,0.870
4,14:23,1,10,ATL 29,21,21,T.J. Duckett middle for 2 yards (tackle by Chris Hovan and Fred Robbins),0.870,0.600
4,13:41,2,8,ATL 31,21,21,Michael Vick pass complete to Trevor Gaylor for 10 yards (tackle by Brian Williams),0.600,1.660
4,12:57,1,10,ATL 41,21,21,Michael Vick pass incomplete intended for Reggie Kelly,1.660,1.120
4,12:50,2,10,ATL 41,21,21,Michael Vick pass incomplete intended for Shawn Jefferson is intercepted by Ronnie Bradford at MIN-17 and returned for 20 yards,1.120,-1.400
4,12:37,1,10,MIN 37,21,21,Daunte Culpepper right end for 1 yard (tackle by Matt Stewart),1.400,0.990
4,12:30,2,9,MIN 38,21,21,Daunte Culpepper pass complete to Jim Kleinsasser for 6 yards (tackle by Chris Draft),0.990,1.090
4,11:28,3,3,MIN 44,21,21,Daunte Culpepper pass complete to D'Wayne Bates for 11 yards (tackle by Juran Bolden),1.090,2.590
4,10:41,1,10,ATL 45,21,21,Daunte Culpepper pass complete to Randy Moss for 8 yards (tackle by Chris Draft),2.590,3.120
4,10:00,2,2,ATL 37,21,21,Daunte Culpepper pass incomplete intended for D'Wayne Bates,3.120,2.410
4,9:54,3,2,ATL 37,21,21,Moe Williams right guard for 3 yards (tackle by Ed Jasper),2.410,3.310
4,9:20,1,10,ATL 34,21,21,"Penalty on Byron Chamberlain: False Start, 5 yards (no play)",3.310,2.980
4,8:54,1,15,ATL 39,21,21,Daunte Culpepper pass complete to D'Wayne Bates for 12 yards (tackle by Fred Weary and Ashley Ambrose),2.980,3.720
4,8:13,1,15,ATL 39,,,Timeout #1 by Minnesota Vikings,2.980,3.720
4,8:13,2,3,ATL 27,21,21,Daunte Culpepper pass incomplete intended for Randy Moss,3.720,3.010
4,8:09,3,3,ATL 27,21,21,Moe Williams left guard for -1 yards (tackle by Ellis Johnson),3.010,1.650
4,7:35,4,4,ATL 28,21,21,"Gary Anderson 46 yard field goal no good, blocked by Keith Brooking, recovered by Juran Bolden",1.650,-1.930
4,7:26,1,10,ATL 45,21,21,Michael Vick pass complete to Brian Finneran for 18 yards,1.930,3.120
4,6:59,1,10,MIN 37,21,21,Bob Christian right guard for 1 yard (tackle by Kenny Mixon),3.120,2.710
4,6:16,2,9,MIN 36,21,21,Bob Christian right guard for 1 yard (tackle by Nick Rogers and Chuck Wiley),2.710,2.150
4,5:40,3,8,MIN 35,21,21,Michael Vick for 8 yards (tackle by Corey Chavous),2.150,3.780
4,5:19,1,10,MIN 27,21,21,"Penalty on Bob Christian: False Start, 5 yards (no play)",3.780,3.450
4,5:03,1,10,MIN 27,,,Timeout #2 by Minnesota Vikings,3.780,3.450
4,5:03,1,15,MIN 32,21,21,T.J. Duckett right end for 4 yards (tackle by Greg Biekert),3.450,3.100
4,4:22,2,11,MIN 28,21,21,Michael Vick pass incomplete intended for Brian Kozlowski (defended by Corey Chavous),3.100,2.410
4,4:16,3,11,MIN 28,21,21,Michael Vick for 2 yards (tackle by Kenny Mixon and Greg Biekert),2.410,1.740
4,3:37,4,9,MIN 26,24,21,Jay Feely 44 yard field goal good,1.740,3.000
4,3:37,,,ATL 30,24,21,"Jay Feely kicks off 70 yards, returned by Tyrone Carter for 34 yards (tackle by Fred Weary)",0.000,1.200
4,3:27,1,10,MIN 34,24,21,Daunte Culpepper pass incomplete intended for D'Wayne Bates (defended by Ashley Ambrose),1.200,0.660
4,3:23,2,10,MIN 34,24,21,Daunte Culpepper sacked by Ellis Johnson for -6 yards,0.660,-0.820
4,2:51,3,16,MIN 28,24,21,Daunte Culpepper pass complete to Randy Moss for 40 yards (tackle by Keion Carpenter),-0.820,3.450
4,2:01,1,10,ATL 32,24,21,Daunte Culpepper pass complete to Randy Moss for 16 yards (tackle by Ray Buchanan),3.450,4.510
4,1:54,1,10,ATL 16,24,21,Daunte Culpepper pass complete to Chris Walsh for 9 yards (tackle by Chris Draft),4.510,5.540
4,1:49,2,1,ATL 7,24,21,"Penalty on Daunte Culpepper: Delay of Game, 5 yards (no play)",5.540,4.570
4,1:49,2,6,ATL 12,24,21,Daunte Culpepper pass complete to Randy Moss for 7 yards (tackle by Juran Bolden),4.570,6.060
4,1:11,1,5,ATL 5,24,21,Moe Williams middle for -1 yards (tackle by Ellis Johnson),6.060,4.950
4,0:34,2,6,ATL 6,24,21,Daunte Culpepper pass incomplete intended for Randy Moss,4.950,4.040
4,0:27,2,6,ATL 6,,,Timeout #3 by Minnesota Vikings,4.950,4.040
4,0:27,3,6,ATL 6,24,21,Randy Moss pass complete to Daunte Culpepper for 6 yards,4.040,4.040
4,0:27,3,6,ATL 6,24,21,"Penalty on MIN: Illegal Formation, 5 yards (no play)",4.040,3.120
4,0:20,3,11,ATL 11,24,21,Daunte Culpepper pass incomplete intended for Moe Williams,3.120,2.700
4,0:14,4,11,ATL 11,24,24,Gary Anderson 29 yard field goal good,2.700,3.000
4,0:14,,,MIN 30,24,24,"Hayden Epstein kicks off 62 yards, returned by Allen Rossum for 23 yards (tackle by Brian Russell). Penalty on Willie Offord: Unnecessary Roughness, 15 yards",0.000,-1.990
4,0:06,1,10,ATL 46,24,24,Michael Vick pass incomplete intended for Darrin Chiaverini,1.990,1.450
4,0:01,2,10,ATL 46,24,24,Michael Vick pass incomplete intended for Shawn Jefferson,1.450,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA
,,,,,,,"Vikings won the coin toss, Vikings to receive the overtime kickoff.",,
OT,15:00,,,ATL 30,24,24,"Jay Feely kicks off 60 yards, returned by Tyrone Carter for 10 yards (tackle by Artie Ulmer)",0.000,0.280
OT,14:55,1,10,MIN 20,24,24,Daunte Culpepper pass complete to D'Wayne Bates for 6 yards (tackle by Ray Buchanan),0.280,0.540
OT,14:29,2,4,MIN 26,24,24,"Daunte Culpepper sacked by Sam Rogers and Patrick Kerney for 0 yards. Daunte Culpepper fumbles (forced by Sam Rogers), recovered by Matt Birk at MIN-17",0.540,-1.510
OT,13:45,3,13,MIN 17,24,24,Daunte Culpepper sacked by Sam Rogers for -6 yards,-1.510,-2.490
OT,13:37,4,19,MIN 11,24,24,"Kyle Richardson punts 47 yards, returned by Allen Rossum for 10 yards (tackle by Harold Morrow)",-2.490,-2.390
OT,13:26,1,10,MIN 48,24,24,T.J. Duckett middle for 2 yards (tackle by Ronnie Bradford),2.390,2.120
OT,12:47,2,8,MIN 46,30,24,"Michael Vick for 46 yards, touchdown",2.120,6.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
