Quarter,Time,Down,ToGo,Location,WAS,HOU,Detail,EPB,EPA
1,5:45,1,10,WAS 26,7,7,Ladell Betts left end for 9 yards (tackle by C.C. Brown),0.670,1.350
1,5:07,2,1,WAS 35,7,7,Ladell Betts middle for 2 yards (tackle by DeMeco Ryans and Mario Williams),1.350,1.400
1,4:22,1,10,WAS 37,7,7,Mark Brunell pass complete short middle to Santana Moss for 13 yards (tackle by Mario Williams),1.400,2.260
1,3:40,1,10,,7,7,Mark Brunell pass complete to Brandon Lloyd for 9 yards (tackle by Lewis Sanders),2.260,2.930
1,3:04,2,1,HOU 41,7,7,Ladell Betts right guard for 2 yards (tackle by Morlon Greenwood and Dexter McCleon),2.930,2.980
1,2:25,1,10,HOU 39,7,7,Mark Brunell pass complete short left to Chris Cooley for 6 yards (tackle by C.C. Brown),2.980,3.250
1,1:59,2,4,HOU 33,7,7,Clinton Portis left guard for 3 yards (tackle by N.D. Kalu),3.250,2.940
1,1:24,3,1,HOU 30,7,7,Mark Brunell middle for 1 yard (tackle by DeMeco Ryans),2.940,3.640
1,0:54,1,10,HOU 29,7,7,Clinton Portis left end for 6 yards (tackle by Lewis Sanders),3.640,3.910
1,0:23,2,4,HOU 23,7,7,Clinton Portis right end for no gain (tackle by Dunta Robinson),3.910,3.200
Quarter,Time,Down,ToGo,Location,WAS,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,HOU 23,13,7,"Mark Brunell pass complete short left to Antwaan Randle El for 23 yards, touchdown",3.200,7.000
2,15:00,,,HOU 23,14,7,John Hall kicks extra point good,0.000,0.000
2,15:00,,,WAS 30,14,7,"John Hall kicks off 63 yards, returned by Wali Lundy for 23 yards (tackle by Mike Sellers)",0.000,0.940
2,14:45,1,10,HOU 30,14,7,"David Carr for no gain. David Carr fumbles, recovered by David Carr at HOU-29",0.940,0.260
2,14:20,2,11,HOU 29,14,7,David Carr pass incomplete intended for Ron Dayne (defended by Lemar Marshall),0.260,-0.430
2,14:13,3,11,HOU 29,14,7,"David Carr pass incomplete intended for Andre Johnson. Penalty on Mike Rumph: Illegal Use of Hands, 5 yards (no play)",-0.430,1.200
2,14:02,1,10,HOU 34,14,7,"Ron Dayne left end for 3 yards (tackle by Anthony Montgomery). Penalty on Warrick Holdman: Face Mask (5 Yards), 5 yards",1.200,2.370
2,13:40,1,2,HOU 42,14,7,David Carr pass incomplete deep middle intended for Andre Johnson (defended by Carlos Rogers),2.370,1.740
2,13:39,2,2,HOU 42,14,7,Ron Dayne middle for 7 yards (tackle by Marcus Washington and Lemar Marshall),1.740,2.190
2,13:10,1,10,HOU 49,14,7,Ron Dayne right guard for 4 yards (tackle by Cornelius Griffin),2.190,2.190
2,13:10,2,6,WAS 47,14,7,"Penalty on Chester Pitts: False Start, 5 yards (no play)",2.190,1.510
2,12:18,2,11,HOU 48,14,7,Ron Dayne right end for 7 yards (tackle by Warrick Holdman),1.510,1.750
2,11:36,3,4,WAS 45,14,7,David Carr pass incomplete short left intended for Owen Daniels (defended by Marcus Washington),1.750,0.270
2,11:29,4,4,WAS 45,14,7,"Chad Stanley punts 35 yards, fair catch by Antwaan Randle El",0.270,0.380
2,11:20,1,10,WAS 10,14,7,Mark Brunell pass complete to Mike Sellers for 1 yard (tackle by Dunta Robinson),-0.380,-0.710
2,10:38,2,9,WAS 11,14,7,Mark Brunell pass complete to Mike Sellers for 3 yards (tackle by Lewis Sanders and Morlon Greenwood),-0.710,-0.950
2,9:52,2,9,WAS 11,,,Timeout #1 by Washington Redskins,-0.710,-0.950
2,9:52,3,6,WAS 14,14,7,Mark Brunell pass complete short middle to Clinton Portis for 4 yards (tackle by Morlon Greenwood),-0.950,-2.240
2,9:18,4,2,WAS 18,14,7,"Derrick Frost punts 60 yards, returned by Phillip Buchanon for 7 yards (tackle by James Thrash)",-2.240,-0.870
2,9:04,1,10,HOU 29,14,7,Ron Dayne right guard for 5 yards (tackle by Demetric Evans),0.870,1.000
2,8:29,2,5,HOU 34,14,7,David Carr pass complete short left to Eric Moulds for 6 yards (tackle by Carlos Rogers),1.000,1.600
2,7:56,1,10,HOU 40,14,7,Ron Dayne right tackle for no gain (tackle by Cornelius Griffin and Marcus Washington),1.600,1.050
2,7:25,2,10,HOU 40,14,7,David Carr pass incomplete short right intended for Owen Daniels (defended by Adam Archuleta),1.050,0.370
2,7:18,3,10,HOU 40,14,7,David Carr pass complete to Andre Johnson for 10 yards (tackle by Carlos Rogers),0.370,2.260
2,6:50,1,10,,14,7,"David Carr pass complete deep middle to Jameel Cook for 23 yards (tackle by Warrick Holdman). Penalty on Zach Wiegert: Offensive Holding, 10 yards (no play)",2.260,1.600
2,6:18,1,20,HOU 40,14,7,David Carr pass complete short left to Jeb Putzier for 12 yards (tackle by Lemar Marshall and Carlos Rogers),1.600,1.980
2,5:45,2,8,WAS 48,14,7,Samkon Gado left guard for no gain (tackle by Warrick Holdman),1.980,1.290
2,5:07,3,8,WAS 48,14,7,David Carr pass incomplete intended for Eric Moulds (defended by Marcus Washington),1.290,0.070
2,5:02,4,8,WAS 48,14,7,"Chad Stanley punts 34 yards, returned by Antwaan Randle El for 4 yards (tackle by Jason Simmons)",0.070,-0.040
2,4:50,1,10,WAS 18,14,7,Clinton Portis right guard for 7 yards (tackle by Dunta Robinson),0.040,0.550
2,4:19,2,3,WAS 25,14,7,"Clinton Portis left end for 6 yards. Penalty on Casey Rabach: Offensive Holding, 10 yards (no play)",0.550,-0.930
2,3:51,2,13,WAS 15,14,7,Mark Brunell pass complete to Chris Cooley for no gain,-0.930,-1.660
2,3:07,3,13,WAS 15,14,7,Mark Brunell pass complete to Ladell Betts for 14 yards (tackle by Jason Simmons and Dexter McCleon),-1.660,0.870
2,3:07,1,10,WAS 29,14,7,"Penalty on Chris Samuels: False Start, 5 yards (no play)",0.870,0.540
2,2:03,1,15,WAS 24,14,7,Clinton Portis middle for 10 yards (tackle by C.C. Brown and Glenn Earl),0.540,1.000
2,1:57,2,5,WAS 34,14,7,Mark Brunell pass complete short left to Santana Moss for 6 yards (tackle by Morlon Greenwood),1.000,1.600
2,1:30,1,10,WAS 40,14,7,"Mark Brunell pass complete to Antwaan Randle El for 27 yards (tackle by C.C. Brown). Penalty on Jon Jansen: Offensive Holding, 10 yards (no play)",1.600,0.940
2,1:20,1,20,WAS 30,14,7,Mark Brunell pass complete to Chris Cooley for 9 yards (tackle by DeMeco Ryans),0.940,0.920
2,0:52,2,11,WAS 39,14,7,"Mark Brunell pass incomplete. Penalty on Jon Jansen: Offensive Holding, 10 yards, Penalty on Chris Samuels: Offensive Holding (Declined) (no play)",0.920,-0.430
2,0:47,2,21,WAS 29,14,7,Ladell Betts middle for 12 yards (tackle by Lewis Sanders and DeMeco Ryans),-0.430,0.500
2,0:23,3,9,WAS 41,14,7,Mark Brunell pass complete deep middle to David Patten for 25 yards (tackle by Glenn Earl),0.500,3.310
2,0:16,3,9,WAS 41,,,Timeout #2 by Washington Redskins,0.500,3.310
2,0:16,1,10,HOU 34,14,7,Mark Brunell pass complete short right to Antwaan Randle El for 4 yards (tackle by Dunta Robinson),3.310,3.310
2,0:09,2,6,HOU 30,20,7,"Clinton Portis middle for 30 yards, touchdown",3.310,7.000
2,0:09,,,HOU 30,21,7,John Hall kicks extra point good,0.000,0.000
2,0:09,,,WAS 30,21,7,"John Hall kicks onside 14 yards, recovered by DaShon Polk",0.000,0.940
Quarter,Time,Down,ToGo,Location,WAS,HOU,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 30,21,7,"John Hall kicks off 69 yards, returned by Phillip Buchanon for 28 yards (tackle by Khary Campbell). Penalty on Troy Evans: Offensive Holding, 10 yards, Penalty on Charlie Anderson: Offensive Holding (Declined)",0.000,0.150
3,14:53,1,10,HOU 19,21,7,Ron Dayne right guard for 2 yards (tackle by Lemar Marshall and Warrick Holdman),0.150,-0.060
3,14:26,2,8,HOU 21,21,7,David Carr pass incomplete short right intended for Jeb Putzier (defended by Cornelius Griffin),-0.060,-0.810
3,14:21,3,8,HOU 21,21,7,David Carr pass incomplete short left intended for Andre Johnson,-0.810,-1.960
3,14:15,4,8,HOU 21,21,7,Chad Stanley punts 49 yards,-1.960,-0.940
3,14:03,1,10,WAS 30,21,7,Santana Moss left end for 2 yards (tackle by C.C. Brown),0.940,0.660
3,13:30,2,8,WAS 32,21,7,Clinton Portis right tackle for 4 yards (tackle by Anthony Weaver),0.660,0.500
3,12:53,3,4,WAS 36,21,7,Mark Brunell pass complete short left to Antwaan Randle El for 7 yards (tackle by Lewis Sanders),0.500,1.800
3,12:13,1,10,WAS 43,21,7,Mark Brunell pass complete short left to Santana Moss for 7 yards (tackle by DeMeco Ryans),1.800,2.200
3,11:31,2,3,,21,7,"Clinton Portis left end for 7 yards (tackle by DeMeco Ryans). Penalty on Clinton Portis: Taunting, 15 yards",2.200,1.730
3,11:00,1,10,WAS 42,21,7,Mark Brunell pass complete to Mike Sellers for 5 yards (tackle by Shantee Orr),1.730,1.860
3,10:18,2,5,WAS 47,21,7,Mark Brunell pass complete to Ladell Betts for 8 yards (tackle by Dunta Robinson),1.860,2.590
3,9:31,1,10,HOU 45,21,7,Ladell Betts left end for 3 yards (tackle by Lewis Sanders),2.590,2.450
3,8:49,2,7,HOU 42,21,7,Mark Brunell pass complete to Santana Moss for 5 yards (tackle by Dunta Robinson),2.450,2.410
3,8:15,3,2,HOU 37,21,7,Mark Brunell pass complete to Brandon Lloyd for 11 yards (tackle by Dunta Robinson),2.410,3.840
3,7:27,1,10,HOU 26,21,7,Mark Brunell pass complete to Santana Moss for 13 yards (tackle by Glenn Earl),3.840,4.710
3,6:55,1,10,HOU 13,21,7,"Mark Brunell pass incomplete intended for Brandon Lloyd. Penalty on Thomas Johnson: Roughing the Passer, 7 yards (no play)",4.710,5.830
3,6:50,1,6,HOU 6,21,7,Clinton Portis left guard for 4 yards (tackle by Lewis Sanders),5.830,5.720
3,6:10,1,6,HOU 6,,,Timeout #1 by Washington Redskins,5.830,5.720
3,6:10,2,2,HOU 2,21,7,Clinton Portis left end for 1 yard (tackle by Glenn Earl),5.720,5.170
,,,,,,,"WAS challenged the ruling, and the original play was overturned.",,
3,5:46,3,1,HOU 1,27,7,"Clinton Portis middle for 1 yard, touchdown",5.170,7.000
3,5:46,,,HOU 1,28,7,John Hall kicks extra point good,0.000,0.000
3,5:46,,,WAS 30,28,7,"John Hall kicks off 67 yards, returned by Phillip Buchanon for 15 yards (tackle by Sean Taylor)",0.000,0.040
3,5:29,1,10,HOU 18,28,7,David Carr pass complete short middle to Andre Johnson for 3 yards (tackle by Kenny Wright),0.040,0.010
3,5:29,2,7,HOU 21,28,7,"Penalty on Jeb Putzier: False Start, 5 yards (no play)",0.010,-0.800
3,4:56,2,12,HOU 16,28,7,David Carr pass complete short left to Andre Johnson for 13 yards (tackle by Sean Taylor),-0.800,0.870
3,4:29,1,10,HOU 29,28,7,David Carr pass complete short middle to Eric Moulds for 9 yards (tackle by Warrick Holdman and Carlos Rogers),0.870,1.540
3,4:00,2,1,HOU 38,28,7,Ron Dayne right tackle for no gain (tackle by Phillip Daniels and Cornelius Griffin),1.540,0.830
3,3:29,3,1,HOU 38,28,7,Ron Dayne middle for 2 yards (tackle by Phillip Daniels),0.830,1.600
3,2:55,1,10,HOU 40,28,7,David Carr pass complete short right to Andre Johnson for 7 yards (tackle by Sean Taylor and Warrick Holdman),1.600,2.000
3,2:23,2,3,HOU 47,28,7,David Carr pass complete short left to Eric Moulds for 7 yards (tackle by Adam Archuleta),2.000,2.520
3,1:58,1,10,WAS 46,28,7,"David Carr for 3 yards (tackle by Marcus Washington). David Carr fumbles (forced by Marcus Washington), recovered by Kedric Golston at WAS-39 (tackle by Mark Bruener)",2.520,-1.530
3,1:49,1,10,WAS 39,28,7,Mark Brunell pass complete short left to Santana Moss for 6 yards (tackle by Lewis Sanders and C.C. Brown),1.530,1.800
3,1:12,2,4,WAS 45,28,7,Ladell Betts right end for 26 yards (tackle by C.C. Brown),1.800,3.640
3,0:28,1,10,HOU 29,28,7,Mark Brunell pass incomplete short middle intended for Brandon Lloyd (defended by Travis Johnson),3.640,3.100
3,0:23,2,10,HOU 29,28,7,Ladell Betts middle for 1 yard (tackle by Seth Payne and Travis Johnson),3.100,2.540
Quarter,Time,Down,ToGo,Location,WAS,HOU,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,9,HOU 28,28,7,Mark Brunell pass incomplete short left intended for Brandon Lloyd (defended by Lewis Sanders),2.540,1.590
4,14:55,4,9,HOU 28,31,7,John Hall 46 yard field goal good,1.590,3.000
4,14:55,,,WAS 30,31,7,"John Hall kicks off 63 yards, returned by Phillip Buchanon for 22 yards (tackle by Rocky McIntosh)",0.000,0.870
4,14:42,1,10,HOU 29,31,7,David Carr pass complete short right to Andre Johnson for 15 yards (tackle by Phillip Daniels),0.870,1.860
4,14:17,1,10,HOU 44,31,7,David Carr pass incomplete short right intended for Jameel Cook,1.860,1.320
4,14:10,2,10,HOU 44,31,7,David Carr pass complete short middle to Andre Johnson for 6 yards (tackle by Warrick Holdman),1.320,1.420
4,13:43,3,4,,31,7,Ron Dayne middle for 11 yards (tackle by Sean Taylor),1.420,2.980
4,13:12,1,10,WAS 39,31,7,David Carr pass incomplete short left intended for Jeb Putzier,2.980,2.440
4,13:07,2,10,WAS 39,31,7,Ron Dayne right guard for 5 yards (tackle by Kedric Golston),2.440,2.410
4,12:35,3,5,WAS 34,31,7,"David Carr pass incomplete deep left intended for Andre Johnson. Penalty on Carlos Rogers: Defensive Pass Interference, 32 yards (no play)",2.410,6.740
4,12:28,1,2,WAS 2,31,13,"David Carr pass complete to Owen Daniels for 2 yards, touchdown",6.740,7.000
4,12:21,1,2,WAS 2,,,Timeout #1 by Houston Texans,6.740,6.740
4,12:21,1,,WAS 2,31,15,"Two Point Attempt: Ron Dayne, conversion succeeds",1.000,1.000
4,12:21,,,HOU 30,31,15,"Kris Brown kicks off 71 yards, returned by Rock Cartwright for 25 yards (tackle by Glenn Earl)",0.000,0.540
4,12:14,1,10,WAS 24,31,15,Antwaan Randle El left end for 7 yards (tackle by Dunta Robinson and Lewis Sanders),0.540,0.940
4,11:30,2,3,WAS 31,31,15,Ladell Betts left guard for 4 yards (tackle by Thomas Johnson),0.940,1.270
4,10:46,1,10,WAS 35,31,15,Mark Brunell pass complete to Chris Cooley for 3 yards (tackle by Dunta Robinson),1.270,1.130
4,10:07,2,7,WAS 38,31,15,"Ladell Betts right end for 12 yards (tackle by C.C. Brown). Penalty on James Thrash: Offensive Holding, 10 yards (no play)",1.130,-0.220
4,9:40,2,17,WAS 28,31,15,Mark Brunell pass complete short middle to Ladell Betts for 5 yards (tackle by Dunta Robinson),-0.220,-0.230
4,8:59,3,12,WAS 33,31,15,Ladell Betts middle for 18 yards (tackle by Lewis Sanders),-0.230,2.320
4,8:17,1,10,HOU 49,31,15,Rock Cartwright left guard for 3 yards (tackle by DeMeco Ryans),2.320,2.190
4,7:38,2,7,HOU 46,31,15,Rock Cartwright left tackle for 4 yards (tackle by DeMeco Ryans),2.190,2.020
4,6:57,3,3,HOU 42,31,15,"Mark Brunell pass incomplete intended for Santana Moss. Penalty on Dunta Robinson: Defensive Holding, 5 yards (no play)",2.020,3.120
4,6:51,1,10,HOU 37,31,15,Mark Brunell pass incomplete short right intended for Ladell Betts,3.120,2.570
4,6:44,2,10,HOU 37,31,15,Ladell Betts right end for 11 yards (tackle by C.C. Brown),2.570,3.840
4,6:08,1,10,HOU 26,31,15,Rock Cartwright left end for 4 yards (tackle by N.D. Kalu),3.840,3.840
4,6:00,1,10,HOU 26,,,Timeout #2 by Houston Texans,3.840,3.840
4,6:00,2,6,HOU 22,31,15,"Penalty on Chris Samuels: False Start, 5 yards (no play)",3.840,3.160
4,6:00,2,11,HOU 27,31,15,Rock Cartwright right end for 9 yards (tackle by Glenn Earl),3.160,3.750
4,5:26,3,2,HOU 18,31,15,"Rock Cartwright middle for -5 yards (tackle by Seth Payne). Rock Cartwright fumbles (forced by Seth Payne), recovered by Shantee Orr at HOU-23 and returned for 77 yards. Penalty on Thomas Johnson: Unnecessary Roughness, 15 yards",3.750,-0.740
4,5:01,1,10,HOU 27,31,15,David Carr pass complete to Eric Moulds for 5 yards (tackle by Lemar Marshall),0.740,0.870
4,4:39,2,5,HOU 32,31,15,David Carr pass complete to Andre Johnson for 20 yards (tackle by Warrick Holdman),0.870,2.390
4,4:10,1,10,WAS 48,31,15,David Carr pass complete to Andre Johnson for 9 yards (tackle by Carlos Rogers),2.390,3.060
4,3:37,2,1,WAS 39,31,15,David Carr pass complete to Andre Johnson for 9 yards (tackle by Carlos Rogers),3.060,3.580
4,2:59,1,10,WAS 30,31,15,David Carr pass incomplete intended for Kevin Walter is intercepted by Kenny Wright at WAS-0,3.580,-0.280
4,2:50,1,10,WAS 20,31,15,Ladell Betts left end for 7 yards (tackle by Travis Johnson),0.280,0.680
4,2:00,2,3,WAS 27,31,15,Ladell Betts right end for 5 yards (tackle by DeMeco Ryans),0.680,1.070
4,1:15,1,10,WAS 32,31,15,Ladell Betts left end for 6 yards (tackle by Morlon Greenwood),1.070,1.340
4,1:08,1,10,WAS 32,,,Timeout #3 by Houston Texans,1.070,1.340
4,1:08,2,4,WAS 38,31,15,Ladell Betts right end for 5 yards (tackle by Morlon Greenwood),1.340,1.800
4,0:25,1,10,WAS 43,31,15,Mark Brunell kneels for -1 yards,1.800,1.120
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
