Quarter,Time,Down,ToGo,Location,LAR,CHI,Detail,EPB,EPA
2,0:51,1,10,CHI 39,6,6,Tarik Cohen left tackle for no gain (tackle by Dante Fowler),1.530,0.990
2,0:31,2,10,CHI 39,6,6,Mitchell Trubisky pass incomplete deep right intended for Allen Robinson,0.990,0.300
2,0:24,3,10,CHI 39,6,6,Mitchell Trubisky pass short right intended for Taylor Gabriel is intercepted by Nickell Robey-Coleman at CHI-49 and returned for no gain,0.300,-2.320
2,0:19,1,10,CHI 49,6,6,"Jared Goff pass complete short right to Todd Gurley for 3 yards (tackle by Kyle Fuller). Penalty on Todd Gurley: Illegal Shift, 5 yards (no play)",2.320,1.990
2,0:14,1,15,LAR 46,6,6,Jared Goff pass complete short right to Gerald Everett for 6 yards (tackle by Sherrick McManis),1.990,1.920
2,0:08,,,,,,Timeout #3 by Los Angeles Rams,,
2,0:08,2,9,CHI 48,6,6,Jared Goff pass deep left intended for Josh Reynolds is intercepted by Eddie Jackson at CHI-0 and returned for no gain,1.920,0.000
Quarter,Time,Down,ToGo,Location,LAR,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,6,6,"Cody Parkey kicks off 63 yards, returned by Pharoh Cooper for no gain (tackle by Nick Kwiatkoski). Penalty on John Kelly: Offensive Holding, 10 yards",0.000,-0.320
3,14:54,1,10,LAR 13,6,6,Todd Gurley right end for -5 yards (tackle by Leonard Floyd),-0.320,-1.150
3,14:18,2,15,LAR 8,6,8,"Jared Goff sacked by Eddie Goldman for -8 yards, safety.",-1.150,2.000
3,14:14,,,LAR 20,6,8,"Johnny Hekker kicks off 61 yards, returned by Tarik Cohen for no gain",0.000,0.150
3,14:14,1,10,CHI 19,6,8,Mitchell Trubisky pass complete short right to Allen Robinson for 12 yards (tackle by Aqib Talib),0.150,1.000
3,13:51,1,10,CHI 31,6,8,Jordan Howard left guard for 14 yards (tackle by Lamarcus Joyner),1.000,1.930
3,13:12,1,10,CHI 45,6,8,Mitchell Trubisky pass complete short middle to Allen Robinson for 14 yards (tackle by John Johnson),1.930,2.850
3,12:32,1,10,LAR 41,6,8,Jordan Howard left guard for 4 yards (tackle by Cory Littleton and Michael Brockers),2.850,2.850
3,11:53,2,6,LAR 37,6,8,Jordan Howard left guard for 4 yards (tackle by Dante Fowler),2.850,2.680
3,11:11,3,2,LAR 33,6,8,Tarik Cohen right tackle for 23 yards (tackle by John Johnson),2.680,4.910
3,10:29,1,10,LAR 10,6,8,Mitchell Trubisky pass complete short right to Allen Robinson for 8 yards (tackle by Aqib Talib),4.910,5.720
3,10:08,2,2,LAR 2,6,8,Mitchell Trubisky pass incomplete short right,5.720,4.950
3,10:01,3,2,LAR 2,6,14,"Mitchell Trubisky pass complete short right to Bradley Sowell for 2 yards, touchdown",4.950,7.000
3,9:58,,,LAR 15,6,15,Cody Parkey kicks extra point good,0.000,0.000
3,9:58,,,CHI 35,6,15,"Cody Parkey kicks off 67 yards, returned by Pharoh Cooper for no gain (tackle by Josh Bellamy)",0.000,0.040
3,9:54,1,10,LAR 18,6,15,Jared Goff pass complete short left to Robert Woods for 7 yards (tackle by Sherrick McManis),0.040,0.550
3,9:25,2,3,LAR 25,6,15,"Jared Goff sacked by Khalil Mack for -5 yards. Jared Goff fumbles (forced by Khalil Mack), recovered by Austin Blythe at LA-20 (tackle by Sherrick McManis)",0.550,-0.910
3,8:35,3,8,LAR 20,6,15,Jared Goff pass complete short middle to Josh Reynolds for 6 yards (tackle by Khalil Mack),-0.910,-1.630
3,7:58,4,2,LAR 26,6,15,Johnny Hekker punts 62 yards downed by Sam Shields,-1.630,0.350
3,7:45,1,10,CHI 12,6,15,Taquan Mizzell left guard for 1 yard (tackle by Michael Brockers),-0.350,-0.700
3,7:04,2,9,CHI 13,6,15,Mitchell Trubisky pass complete short right to Tarik Cohen for 7 yards (tackle by Nickell Robey-Coleman),-0.700,-0.480
3,6:22,3,2,CHI 20,6,15,Mitchell Trubisky pass complete short left to Tarik Cohen for 8 yards (tackle by Nickell Robey-Coleman),-0.480,0.810
3,5:49,1,10,CHI 28,6,15,Mitchell Trubisky pass complete short left to Allen Robinson for no gain (tackle by Marcus Peters),0.810,0.260
3,5:14,2,10,CHI 28,6,15,"Penalty on Ndamukong Suh: Neutral Zone Infraction, 5 yards (no play)",0.260,0.940
3,4:58,2,5,CHI 33,6,15,Mitchell Trubisky pass incomplete deep left intended for Allen Robinson,0.940,0.230
3,4:53,3,5,CHI 33,6,15,"Mitchell Trubisky pass incomplete short middle intended for Allen Robinson. Penalty on Nickell Robey-Coleman: Defensive Pass Interference, 7 yards (no play)",0.230,1.600
3,4:49,1,10,CHI 40,6,15,Jordan Howard left guard for 3 yards (tackle by Ndamukong Suh and Aaron Donald),1.600,1.460
3,4:10,2,7,CHI 43,6,15,Mitchell Trubisky pass deep left intended for Trey Burton is intercepted by John Johnson at LA-38 and returned for 35 yards,1.460,-3.780
3,3:58,1,10,CHI 27,6,15,Jared Goff pass short right intended for Josh Reynolds is intercepted by Kyle Fuller at CHI-16 and returned for 3 yards,3.780,-0.150
3,3:52,1,10,CHI 19,6,15,Jordan Howard left tackle for 8 yards (tackle by Samson Ebukam),0.150,0.750
3,3:12,2,2,CHI 27,6,15,"Penalty on Ethan Westbrooks: Encroachment, 5 yards (no play)",0.750,1.070
3,2:51,1,10,CHI 32,6,15,Tarik Cohen left end for 1 yard (tackle by Mark Barron),1.070,0.660
3,2:15,2,9,CHI 33,6,15,Jordan Howard left guard for 3 yards (tackle by Ndamukong Suh),0.660,0.370
3,1:32,3,6,CHI 36,6,15,Mitchell Trubisky left guard for 2 yards (tackle by Ndamukong Suh),0.370,-0.850
3,0:44,4,4,CHI 38,6,15,Pat O'Donnell punts 57 yards downed by Josh Bellamy,-0.850,0.380
3,0:32,1,10,LAR 5,6,15,Jared Goff pass complete short right to Tyler Higbee for 9 yards (tackle by Roquan Smith and Khalil Mack),-0.380,-0.100
Quarter,Time,Down,ToGo,Location,LAR,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,1,LAR 14,6,15,Todd Gurley left tackle for 2 yards (tackle by Akiem Hicks),-0.100,-0.140
4,14:19,1,10,LAR 16,6,15,Jared Goff pass incomplete short right,-0.140,-0.660
4,14:14,2,10,LAR 16,6,15,Todd Gurley left tackle for 12 yards (tackle by Prince Amukamara and Sherrick McManis),-0.660,0.810
4,13:34,1,10,LAR 28,6,15,Todd Gurley right guard for 6 yards (tackle by Roquan Smith),0.810,1.070
4,12:58,2,4,LAR 34,6,15,Jared Goff pass incomplete short left intended for Josh Reynolds,1.070,0.370
4,12:54,3,4,LAR 34,6,15,Jared Goff pass complete short middle to Gerald Everett for 9 yards (tackle by Danny Trevathan),0.370,1.800
4,12:18,1,10,LAR 43,6,15,Jared Goff pass incomplete short left intended for Gerald Everett (defended by Leonard Floyd),1.800,1.250
4,12:12,2,10,LAR 43,6,15,Jared Goff pass complete short left to Todd Gurley for 11 yards (tackle by Prince Amukamara),1.250,2.520
4,11:44,1,10,CHI 46,6,15,Jared Goff pass complete short middle to Robert Woods for 29 yards (tackle by Eddie Jackson),2.520,4.440
4,11:07,,,,,,Timeout #1 by Los Angeles Rams,,
4,11:07,1,10,CHI 17,6,15,"Penalty on Andrew Whitworth: False Start, 5 yards (no play)",4.440,4.110
4,11:07,1,15,CHI 22,6,15,Jared Goff pass incomplete short middle intended for Brandin Cooks,4.110,3.220
4,11:04,,,,,,Timeout #2 by Los Angeles Rams,,
4,11:04,2,15,CHI 22,6,15,Todd Gurley right end for no gain (tackle by Sherrick McManis),3.220,2.540
4,10:20,3,15,CHI 22,6,15,Jared Goff pass incomplete short middle intended for Todd Gurley,2.540,1.990
4,10:16,4,15,CHI 22,6,15,Greg Zuerlein 40 yard field goal no good,1.990,-0.940
4,10:11,1,10,CHI 30,6,15,"Penalty on Bryan Witzmann: False Start, 5 yards (no play)",0.940,0.610
4,10:11,1,15,CHI 25,6,15,Jordan Howard left end for 21 yards (tackle by Lamarcus Joyner and Nickell Robey-Coleman),0.610,1.990
4,9:27,1,10,CHI 46,6,15,Jordan Howard left guard for 4 yards (tackle by John Johnson and Michael Brockers),1.990,1.990
4,8:43,2,6,CHI 50,6,15,Tarik Cohen right end for -3 yards (tackle by Cory Littleton),1.990,0.890
4,7:59,3,9,CHI 47,6,15,Tarik Cohen right tackle for 3 yards (tackle by Ndamukong Suh),0.890,-0.060
4,7:16,4,6,CHI 50,6,15,"Penalty on Ben Braunecker: False Start, 5 yards (no play)",-0.060,-0.390
4,6:51,4,11,CHI 45,6,15,"Pat O'Donnell punts 37 yards, fair catch by Jojo Natson at LA-18",-0.390,-0.040
4,6:44,1,10,LAR 18,6,15,Todd Gurley right tackle for 2 yards (tackle by Leonard Floyd and Danny Trevathan),0.040,-0.130
4,6:03,2,8,LAR 20,6,15,Jared Goff pass complete short right to Gerald Everett for 7 yards (tackle by Adrian Amos),-0.130,-0.020
4,5:34,3,1,LAR 27,6,15,Jared Goff right end for 5 yards,-0.020,1.070
4,5:07,1,10,LAR 32,6,15,Jared Goff pass incomplete deep right intended for Josh Reynolds,1.070,0.530
4,5:01,2,10,LAR 32,6,15,Jared Goff pass complete short left to Robert Woods for 6 yards (tackle by Prince Amukamara),0.530,0.630
4,4:38,3,4,LAR 38,6,15,Jared Goff pass incomplete short right intended for Gerald Everett (defended by Eddie Jackson),0.630,-0.850
4,4:34,4,4,LAR 38,6,15,Jared Goff sacked by Akiem Hicks for -12 yards,-0.850,-3.840
4,4:28,1,10,LAR 26,6,15,Jordan Howard left guard for 3 yards (tackle by Cory Littleton),3.840,3.700
4,3:43,2,7,LAR 23,6,15,Jordan Howard right guard for no gain (tackle by Michael Brockers),3.700,3.010
4,3:35,,,,,,Timeout #3 by Los Angeles Rams,,
4,3:35,3,7,LAR 23,6,15,Jordan Howard left guard for 3 yards (tackle by Samson Ebukam),3.010,2.200
4,2:50,,,,,,Timeout #1 by Chicago Bears,,
4,2:50,4,4,LAR 20,6,15,Cody Parkey 38 yard field goal no good,2.200,-0.810
4,2:45,1,10,LAR 28,6,15,Jared Goff pass incomplete short left intended for Todd Gurley,0.810,0.260
4,2:41,2,10,LAR 28,6,15,Jared Goff pass complete short right to Josh Reynolds for 16 yards (tackle by Adrian Amos),0.260,1.860
4,2:34,1,10,LAR 44,6,15,Jared Goff pass incomplete short right intended for Robert Woods,1.860,1.320
4,2:30,2,10,LAR 44,6,15,Jared Goff pass incomplete short middle intended for Todd Gurley,1.320,0.630
4,2:25,3,10,LAR 44,6,15,Jared Goff pass incomplete short middle intended for Brandin Cooks (defended by Eddie Jackson),0.630,-0.460
4,2:20,4,10,LAR 44,6,15,Jared Goff pass deep left intended for Robert Woods is intercepted by Prince Amukamara at CHI-39 and returned for 9 yards,-0.460,-2.130
4,2:13,1,10,CHI 48,6,15,Jordan Howard right guard for 2 yards (tackle by Mark Barron),2.130,1.850
4,2:00,2,8,CHI 50,6,15,Mitchell Trubisky kneels for -1 yards,1.850,1.020
4,1:16,3,9,CHI 49,6,15,Mitchell Trubisky kneels for -1 yards,1.020,-0.190
4,0:35,,,,,,Timeout #2 by Chicago Bears,,
4,0:35,4,10,CHI 48,6,15,Pat O'Donnell punts 50 yards downed by DeAndre Houston-Carson,-0.190,0.380
4,0:25,1,10,LAR 2,6,15,Justin Davis left tackle for 19 yards (tackle by Sherrick McManis),-0.380,0.340
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
