Quarter,Time,Down,ToGo,Location,PHI,BAL,Detail,EPB,EPA
3,10:08,1,10,PHI 39,14,20,"Byron Marshall right end for no gain (tackle by Lardarius Webb). Penalty on Zach Orr: Unnecessary Roughness, 15 yards",1.530,2.520
3,10:00,1,10,BAL 46,14,20,Byron Marshall left end for -2 yards (tackle by Jerraud Powers),2.520,1.710
3,8:52,2,12,BAL 48,14,20,Carson Wentz pass complete short right to Nelson Agholor for 9 yards (tackle by Lardarius Webb),1.710,2.210
3,8:12,3,3,BAL 39,14,20,Carson Wentz pass incomplete short right intended for Jordan Matthews,2.210,0.660
3,8:05,4,3,BAL 39,14,20,Carson Wentz pass incomplete short left intended for Trey Burton,0.660,-1.530
3,8:01,1,10,BAL 39,14,20,Joe Flacco pass complete short right to Terrance West for 2 yards (tackle by Nigel Bradham and Jordan Hicks),1.530,1.260
3,7:42,2,8,BAL 41,14,20,Terrance West right guard for -4 yards (tackle by Vinny Curry),1.260,0.040
3,7:06,3,12,BAL 37,14,20,Joe Flacco pass incomplete short right intended for Kyle Juszczyk,0.040,-0.910
3,7:00,4,12,BAL 37,14,20,Sam Koch punts 51 yards,-0.910,0.350
3,6:47,1,10,PHI 12,14,20,Ryan Mathews left end for no gain (tackle by Terrell Suggs),-0.350,-0.780
3,6:04,2,10,PHI 12,14,20,Carson Wentz pass complete short middle to Zach Ertz for 7 yards (tackle by C.J. Mosley),-0.780,-0.600
3,5:20,3,3,PHI 19,14,20,Byron Marshall right guard for 12 yards (tackle by Eric Weddle),-0.600,1.000
3,4:41,1,10,PHI 31,14,20,Byron Marshall middle for 10 yards (tackle by Brandon Williams),1.000,1.660
3,3:58,1,10,PHI 41,14,20,Carson Wentz pass complete deep left to Zach Ertz for 24 yards (tackle by Eric Weddle and Shareece Wright),1.660,3.250
3,3:17,1,10,BAL 35,14,20,Byron Marshall right tackle for 4 yards (tackle by Brandon Williams),3.250,3.240
3,2:38,2,6,BAL 31,14,20,Ryan Mathews middle for 3 yards (tackle by Michael Pierce),3.240,2.940
3,1:54,3,3,BAL 28,14,20,Bryce Treggs left end for 4 yards (tackle by Eric Weddle and Zach Orr),2.940,3.970
3,1:14,1,10,BAL 24,14,20,Ryan Mathews left guard for 12 yards (tackle by C.J. Mosley),3.970,4.780
3,0:40,1,10,BAL 12,14,20,Ryan Mathews left guard for 3 yards (tackle by Michael Pierce),4.780,4.640
Quarter,Time,Down,ToGo,Location,PHI,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,BAL 9,14,20,Carson Wentz pass incomplete short middle intended for Byron Marshall,4.640,3.700
4,14:56,3,7,BAL 9,14,20,Carson Wentz pass incomplete short middle intended for Trey Burton,3.700,2.830
4,14:51,4,7,BAL 9,17,20,Caleb Sturgis 27 yard field goal good,2.830,3.000
4,14:48,,,PHI 35,17,20,"Caleb Sturgis kicks off 63 yards, returned by Chris Moore for 29 yards (tackle by Najee Goode)",0.000,-1.000
4,14:42,1,10,BAL 31,17,20,Joe Flacco pass incomplete short right intended for Michael Campanaro,1.000,0.460
4,14:38,2,10,BAL 31,17,20,Kenneth Dixon right guard for 4 yards (tackle by Vinny Curry),0.460,0.300
4,13:57,3,6,BAL 35,17,20,Joe Flacco pass complete short middle to Steve Smith for 6 yards (tackle by Malcolm Jenkins),0.300,1.660
4,13:20,1,10,BAL 41,17,20,"Kenneth Dixon left guard for 12 yards. Penalty on Vlad Ducasse: Offensive Holding, 10 yards",1.660,1.960
4,12:57,1,8,BAL 43,17,20,Joe Flacco pass complete short left to Terrance West for 10 yards (tackle by Jaylen Watkins),1.960,2.460
4,12:23,1,10,PHI 47,17,20,Joe Flacco pass complete short middle to Darren Waller for 11 yards (tackle by Connor Barwin),2.460,3.180
4,11:40,1,10,PHI 36,17,20,"Kenneth Dixon right guard for 5 yards (tackle by Brandon Graham). Penalty on Bennie Logan: Face Mask (15 Yards), 15 yards",3.180,4.510
4,11:14,1,10,PHI 16,17,26,"Kenneth Dixon left end for 16 yards, touchdown",4.510,7.000
4,11:06,,,PHI 15,17,27,Justin Tucker kicks extra point good,0.000,0.000
4,11:06,,,BAL 35,17,27,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
4,11:06,1,10,PHI 25,17,27,Ryan Mathews right guard for 3 yards (tackle by Brandon Williams),0.610,0.470
4,10:27,2,7,PHI 28,17,27,Carson Wentz pass complete short middle to Dorial Green-Beckham for 11 yards (tackle by Tavon Young),0.470,1.530
4,9:54,1,10,PHI 39,17,27,Ryan Mathews left guard for 19 yards (tackle by Albert McClellan),1.530,2.790
4,9:12,1,10,BAL 42,17,27,Carson Wentz pass complete short right to Trey Burton for 1 yard (tackle by Tavon Young),2.790,2.380
4,8:32,2,9,BAL 41,17,27,Carson Wentz pass incomplete deep left intended for Trey Burton,2.380,1.680
4,8:27,3,9,BAL 41,17,27,Carson Wentz pass complete short right to Byron Marshall for 7 yards (tackle by Tavon Young),1.680,1.100
4,7:49,4,2,BAL 34,17,27,Nelson Agholor left end for 1 yard (tackle by Eric Weddle),1.100,-1.140
4,7:43,1,10,BAL 33,17,27,Terrance West right guard for 2 yards (tackle by Jalen Mills),1.140,0.860
4,7:02,2,8,BAL 35,17,27,Joe Flacco pass incomplete short right intended for Steve Smith,0.860,0.170
4,6:59,3,8,BAL 35,17,27,Joe Flacco pass complete short middle to Mike Wallace for 54 yards (tackle by Rodney McLeod),0.170,0.000
4,6:21,,,,17,27,Timeout #1 by Baltimore Ravens,0.000,-4.840
4,6:21,1,10,PHI 11,17,27,Joe Flacco pass incomplete short left intended for Darren Waller is intercepted by Jordan Hicks at PHI-6 and returned for 34 yards,4.840,-1.600
4,6:12,1,10,PHI 40,17,27,Ryan Mathews middle for 11 yards (tackle by C.J. Mosley),1.600,2.320
4,5:46,1,10,BAL 49,17,27,Ryan Mathews left tackle for 18 yards (tackle by Eric Weddle and Zach Orr),2.320,3.510
4,5:08,1,10,BAL 31,17,27,Carson Wentz pass complete short right to Jordan Matthews for 1 yard (tackle by Jerraud Powers),3.510,3.100
4,4:47,2,9,BAL 30,17,27,Carson Wentz pass complete short middle to Jordan Matthews for 6 yards (tackle by C.J. Mosley),3.100,3.200
4,4:21,3,3,BAL 24,17,27,Carson Wentz pass complete short middle to Zach Ertz for 5 yards (tackle by C.J. Mosley),3.200,4.310
4,3:52,1,10,BAL 19,17,27,Byron Marshall left tackle for 3 yards (tackle by C.J. Mosley),4.310,4.180
4,3:30,2,7,BAL 16,17,27,Carson Wentz pass complete short middle to Zach Ertz for 9 yards (tackle by C.J. Mosley and Lardarius Webb),4.180,5.600
4,3:04,1,7,BAL 7,17,27,Carson Wentz pass incomplete short right intended for Zach Ertz,5.600,4.760
4,3:00,2,7,BAL 7,17,27,Byron Marshall left guard for -4 yards (tackle by Terrell Suggs),4.760,3.120
4,2:30,3,11,BAL 11,17,27,Carson Wentz pass incomplete short right intended for Dorial Green-Beckham (defended by Tavon Young),3.120,2.700
4,2:26,4,11,BAL 11,20,27,Caleb Sturgis 29 yard field goal good,2.700,3.000
4,2:22,,,PHI 35,20,27,"Caleb Sturgis kicks off 61 yards, returned by Lardarius Webb for 8 yards (tackle by Kamu Grugier-Hill)",0.000,0.350
4,2:18,1,10,BAL 12,20,27,Terrance West right guard for -2 yards (tackle by Bennie Logan),-0.350,-0.930
4,2:00,2,12,BAL 10,20,27,Terrance West right guard for 1 yard (tackle by Bennie Logan and Brandon Graham),-0.930,0.000
4,1:54,,,,20,27,Timeout #1 by Philadelphia Eagles,0.000,1.540
4,1:54,3,11,BAL 11,20,27,Kenneth Dixon middle for 1 yard (tackle by Fletcher Cox and Brandon Graham),-1.540,0.000
4,1:50,,,,20,27,Timeout #2 by Baltimore Ravens,0.000,2.490
4,1:50,4,10,BAL 12,20,27,Sam Koch punts 47 yards,-2.490,-1.660
4,1:39,1,10,PHI 41,20,27,Carson Wentz pass complete short middle to Jordan Matthews for 8 yards (tackle by C.J. Mosley and Elvis Dumervil),1.660,2.200
4,1:15,2,2,PHI 49,20,27,Carson Wentz pass incomplete short left intended for Nelson Agholor,2.200,1.490
4,0:49,3,2,PHI 49,20,27,Carson Wentz pass complete short middle to Jordan Matthews for 5 yards (tackle by Jerraud Powers),1.490,2.520
4,0:43,1,10,BAL 46,20,27,Carson Wentz pass incomplete short right intended for Dorial Green-Beckham,2.520,1.980
4,0:42,2,10,BAL 46,20,27,"Carson Wentz pass incomplete short right intended for Dorial Green-Beckham. Penalty on C.J. Mosley: Illegal Contact, 5 yards (no play)",1.980,2.850
4,0:33,1,10,BAL 41,20,27,Carson Wentz pass incomplete short middle intended for Nelson Agholor (defended by Shareece Wright),2.850,2.310
4,0:33,2,10,BAL 41,20,27,Carson Wentz pass complete deep right to Zach Ertz for 24 yards,2.310,4.440
4,0:26,1,10,BAL 17,20,27,Carson Wentz pass incomplete deep middle intended for Zach Ertz,4.440,3.850
4,0:22,2,10,BAL 17,20,27,"Carson Wentz pass incomplete short right intended for Nelson Agholor. Penalty on Tavon Young: Defensive Pass Interference, 13 yards (no play)",3.850,6.280
4,0:17,1,4,BAL 4,20,27,Carson Wentz pass incomplete short left intended for Jordan Matthews,6.280,5.340
4,0:12,2,4,BAL 4,26,27,"Carson Wentz left end for 4 yards, touchdown",5.340,7.000
4,0:04,,,,26,27,Timeout #2 by Philadelphia Eagles,0.000,0.000
4,0:04,,,BAL 2,26,27,"Two Point Attempt: Carson Wentz pass incomplete intended for Jordan Matthews, conversion fails",0.000,-1.000
4,0:04,,,PHI 35,26,27,"Caleb Sturgis kicks onside 12 yards, recovered by Anthony Levine",0.000,-2.460
4,0:04,1,10,PHI 47,26,27,Joe Flacco kneels for -1 yards,2.460,1.780
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
