Quarter,Time,Down,ToGo,Location,PHI,CAR,Detail,EPB,EPA
2,10:43,3,22,CAR 35,7,3,Jake Delhomme pass incomplete intended for Ricky Proehl,-0.760,-1.040
2,10:33,4,22,CAR 35,7,3,"Todd Sauerbrun punts 49 yards, returned by Brian Westbrook for 10 yards (tackle by Kris Mangum). Brian Westbrook fumbles, recovered by Mike Caldwell at PHI-22",-1.040,4.110
2,10:21,1,10,PHI 22,7,3,Stephen Davis right guard for no gain (tackle by Brandon Whiting),4.110,3.560
2,9:46,2,10,PHI 22,7,3,Stephen Davis left guard for 2 yards (tackle by Sam Rayburn),3.560,3.140
2,9:07,3,8,PHI 20,7,3,Jake Delhomme pass incomplete intended for Muhsin Muhammad,3.140,2.120
2,8:59,4,8,PHI 20,7,3,John Kasay 38 yard field goal no good,2.120,-0.810
2,8:54,1,10,PHI 28,7,3,Donovan McNabb pass incomplete intended for James Thrash (defended by Dante Wesley),0.810,0.260
2,8:47,2,10,PHI 28,7,3,Duce Staley right end for 3 yards (tackle by Will Witherspoon),0.260,-0.030
2,8:09,3,7,PHI 31,7,3,Donovan McNabb pass complete to Todd Pinkston for 15 yards (tackle by Reggie Howard),-0.030,1.990
2,7:32,1,10,PHI 46,7,3,Brian Westbrook right end for 8 yards (tackle by Deon Grant and Mike Minter),1.990,2.530
2,6:46,2,2,CAR 46,7,3,"Donovan McNabb pass complete to Duce Staley for 3 yards (tackle by Mike Minter). Penalty on Ricky Manning: Defensive Holding, 5 yards, Penalty on Dante Wesley: Illegal Use of Hands (Declined) (no play)",2.530,2.850
2,6:23,1,10,CAR 41,7,3,Brian Westbrook right guard for 1 yard (tackle by Kris Jenkins),2.850,2.440
2,5:47,2,9,CAR 40,7,3,Donovan McNabb pass incomplete intended for Todd Pinkston,2.440,1.750
2,5:47,3,9,CAR 40,7,3,"Penalty on Jon Runyan: False Start, 5 yards (no play)",1.750,1.090
2,5:43,3,14,CAR 45,7,3,Donovan McNabb pass complete to Freddie Mitchell for 22 yards (tackle by Mike Minter),1.090,4.040
2,4:59,1,10,CAR 23,7,3,Donovan McNabb sacked by Kris Jenkins and Al Wallace for -8 yards,4.040,2.420
2,4:33,,,,7,3,Timeout #2 by Philadelphia Eagles,0.000,2.420
2,4:33,2,18,CAR 31,7,3,Brian Westbrook left guard for 8 yards (tackle by Mike Minter),2.420,2.810
2,3:56,3,10,CAR 23,7,3,Donovan McNabb pass complete to Brian Westbrook for 6 yards (tackle by Will Witherspoon),2.810,2.390
2,3:15,4,4,CAR 17,10,3,David Akers 35 yard field goal good,2.390,3.000
2,,,,PHI 30,10,3,David Akers kicks off 40 yards,0.000,1.600
2,3:10,1,10,CAR 40,10,3,Stephen Davis right guard for 6 yards (tackle by Darwin Walker),1.600,1.860
2,2:37,2,4,CAR 46,10,3,Stephen Davis left tackle for 1 yard (tackle by Mark Simoneau),1.860,1.290
2,2:00,3,3,CAR 47,10,3,Stephen Davis right end for 14 yards (tackle by Sheldon Brown and Troy Vincent),1.290,2.980
2,1:33,1,10,PHI 39,10,3,Jake Delhomme pass complete to Ricky Proehl for 8 yards (tackle by Troy Vincent),2.980,3.520
2,1:14,2,2,PHI 31,10,3,Jake Delhomme pass complete to Nick Goings for 14 yards (tackle by Troy Vincent),3.520,4.440
2,1:07,1,10,PHI 17,10,3,Jake Delhomme pass incomplete intended for Steve Smith,4.440,3.850
2,0:59,2,10,PHI 17,10,3,Nick Goings left end for 8 yards (tackle by Brian Dawkins),3.850,4.570
2,0:52,3,2,PHI 9,10,3,Jake Delhomme pass complete to Mike Seidman for 1 yard (tackle by Troy Vincent),4.570,2.990
2,0:47,,,,10,3,Timeout #2 by Carolina Panthers,0.000,2.990
2,0:47,4,1,PHI 8,10,3,Stephen Davis up the middle for no gain (tackle by Brandon Whiting),2.990,0.380
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,0:33,1,10,PHI 8,10,3,Donovan McNabb kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,PHI,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 30,10,3,"David Akers kicks off 66 yards, returned by Steve Smith for 19 yards (tackle by Greg Lewis)",0.000,0.480
3,14:54,1,10,CAR 23,10,3,Jake Delhomme pass complete to Steve Smith for 18 yards (tackle by Bobby Taylor),0.480,1.660
3,14:18,1,10,CAR 41,10,3,Stephen Davis right guard for 6 yards (tackle by Brian Dawkins and Darwin Walker),1.660,1.930
3,13:42,2,4,CAR 47,10,3,Stephen Davis right end for 12 yards (tackle by N.D. Kalu),1.930,2.850
3,12:57,1,10,PHI 41,10,3,Jake Delhomme pass incomplete intended for Muhsin Muhammad,2.850,2.310
3,12:51,2,10,PHI 41,10,3,Stephen Davis up the middle for 1 yard (tackle by Sam Rayburn),2.310,1.750
3,12:09,3,9,PHI 40,10,3,"Penalty on Jeff Mitchell: False Start, 5 yards (no play)",1.750,1.090
3,11:53,3,14,PHI 45,10,3,Jake Delhomme pass complete to Ricky Proehl for 16 yards (tackle by Troy Vincent),1.090,3.640
3,11:07,1,10,PHI 29,10,3,Jake Delhomme pass incomplete intended for Ricky Proehl,3.640,3.100
3,11:01,2,10,PHI 29,10,3,Steve Smith left end for -2 yards (tackle by Jerome McDougle),3.100,2.150
3,10:17,3,12,PHI 31,10,3,Jake Delhomme pass incomplete intended for Steve Smith,2.150,1.320
3,10:12,4,12,PHI 31,10,3,John Kasay 49 yard field goal no good,1.320,-1.530
3,10:08,1,10,PHI 39,10,3,"Donovan McNabb for 7 yards (tackle by Julius Peppers). Penalty on Julius Peppers: Unnecessary Roughness, 15 yards",1.530,2.980
3,9:47,1,10,CAR 39,10,3,"Brian Westbrook left tackle for 3 yards (tackle by Will Witherspoon). Penalty on Freddie Mitchell: Offensive Holding, 10 yards (no play)",2.980,2.320
3,9:19,1,20,CAR 49,10,3,Donovan McNabb pass complete to Brian Westbrook for 15 yards (tackle by Will Witherspoon),2.320,3.120
3,8:31,2,5,CAR 34,10,3,Donovan McNabb pass complete to Brian Westbrook for 4 yards (tackle by Deon Grant),3.120,2.940
3,7:58,3,1,CAR 30,10,3,Donovan McNabb pass complete to Brian Westbrook for no gain,2.940,1.520
3,7:21,4,1,CAR 30,13,3,David Akers 48 yard field goal good,1.520,3.000
3,,,,PHI 30,13,3,"David Akers kicks off 66 yards, returned by Steve Smith for 26 yards (tackle by Sheldon Brown)",0.000,0.940
3,7:08,1,10,CAR 30,13,3,Jake Delhomme pass complete to Muhsin Muhammad for 23 yards (tackle by Michael Lewis),0.940,2.460
3,6:26,1,10,PHI 47,13,3,Jake Delhomme up the middle for 6 yards (tackle by Nate Wayne),2.460,2.720
3,5:42,2,4,PHI 41,13,3,Stephen Davis left guard for 3 yards (tackle by Sam Rayburn),2.720,2.410
3,4:59,3,1,PHI 38,13,3,Jake Delhomme right guard for 2 yards (tackle by Nate Wayne),2.410,3.180
3,4:15,1,10,PHI 36,13,3,Jake Delhomme pass complete to Muhsin Muhammad for 10 yards (tackle by Mark Simoneau),3.180,3.840
3,3:30,1,10,PHI 26,13,3,Stephen Davis up the middle for 2 yards (tackle by Mark Simoneau),3.840,3.570
3,2:53,2,8,PHI 24,13,9,"Jake Delhomme pass complete to Steve Smith for 24 yards, touchdown",3.570,7.000
3,,,,PHI 2,13,10,John Kasay kicks extra point good,0.000,0.000
3,,,,CAR 30,13,10,"John Kasay kicks off 68 yards, returned by James Thrash for 17 yards (tackle by Lester Towns)",0.000,0.150
3,2:39,1,10,PHI 19,13,10,"Donovan McNabb pass complete to Greg Lewis for 7 yards (tackle by Mike Minter). Penalty on Mike Minter: Unnecessary Roughness, 15 yards",0.150,1.660
3,2:19,1,10,PHI 41,13,10,Brian Westbrook left end for 9 yards (tackle by Deon Grant),1.660,2.340
3,1:52,2,1,CAR 50,13,10,Donovan McNabb sacked by Mike Rucker and Kris Jenkins for -5 yards,2.340,0.960
3,1:14,,,,13,10,Timeout #1 by Philadelphia Eagles,0.000,0.960
3,1:14,3,6,PHI 45,13,10,Donovan McNabb pass complete to Brian Westbrook for 7 yards (tackle by Reggie Howard),0.960,2.390
3,0:37,1,10,CAR 48,13,10,Donovan McNabb pass complete to Freddie Mitchell for 12 yards (tackle by Ricky Manning),2.390,3.180
3,0:08,1,10,CAR 36,13,10,Brian Westbrook right tackle for -2 yards (tackle by Will Witherspoon),3.180,2.370
Quarter,Time,Down,ToGo,Location,PHI,CAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,12,CAR 38,13,10,Donovan McNabb pass complete to L.J. Smith for 15 yards (tackle by Greg Favors),2.370,4.040
4,14:13,1,10,CAR 23,13,10,Correll Buckhalter left end for no gain (tackle by Will Witherspoon),4.040,3.500
4,13:33,2,10,CAR 23,13,10,Brian Westbrook right end for 3 yards (tackle by Julius Peppers),3.500,3.200
4,13:03,3,7,CAR 20,13,10,Donovan McNabb pass incomplete intended for Todd Pinkston,3.200,2.120
4,13:00,4,7,CAR 20,16,10,David Akers 38 yard field goal good,2.120,3.000
4,,,,PHI 30,16,10,"David Akers kicks off 59 yards, returned by Rod Smart for 13 yards (tackle by Keith Adams)",0.000,0.540
4,12:52,1,10,CAR 24,16,10,"Jake Delhomme sacked by Nate Wayne for -7 yards. Jake Delhomme fumbles (forced by Nate Wayne), recovered by Darwin Walker at CAR-11 (tackle by Jeno James)",0.540,-4.840
4,12:40,1,10,CAR 11,16,10,Brian Westbrook right tackle for 1 yard (tackle by Mike Rucker),4.840,4.320
4,12:03,2,9,CAR 10,22,10,"Donovan McNabb pass complete to James Thrash for 10 yards, touchdown",4.320,7.000
4,,,,,22,10,"Two Point Attempt: Donovan McNabb pass incomplete intended for Chad Lewis, conversion fails",1.000,-1.000
4,,,,PHI 30,22,10,"David Akers kicks off 70 yards, returned by Steve Smith for 17 yards (tackle by Sean Morey)",0.000,-0.060
4,11:52,1,10,CAR 17,22,10,Stephen Davis left end for 3 yards (tackle by Mark Simoneau),-0.060,-0.060
4,11:14,2,7,CAR 20,22,10,Stephen Davis left tackle for no gain (tackle by N.D. Kalu),-0.060,-0.870
4,10:36,3,7,CAR 20,22,10,Jake Delhomme pass incomplete intended for Muhsin Muhammad,-0.870,-2.030
4,10:31,4,7,CAR 20,22,10,Todd Sauerbrun punts 40 yards,-2.030,-1.600
4,10:20,1,10,PHI 40,22,10,Donovan McNabb pass incomplete intended for Freddie Mitchell,1.600,1.050
4,10:15,2,10,PHI 40,22,10,Brian Westbrook right tackle for 3 yards (tackle by Mike Rucker),1.050,0.760
4,9:32,3,7,PHI 43,22,10,Donovan McNabb pass complete to Freddie Mitchell for 6 yards (tackle by Deon Grant),0.760,-0.130
4,8:48,4,1,PHI 49,22,10,"Dirk Johnson punts 51 yards, touchback",-0.130,-0.280
4,8:36,1,10,CAR 20,22,10,"Jake Delhomme pass complete to Muhsin Muhammad for 11 yards (tackle by Troy Vincent). Penalty on Corey Simon: Roughing the Passer, 15 yards",0.280,1.990
4,8:18,1,10,CAR 46,22,10,Jake Delhomme pass complete to Jermaine Wiggins for 8 yards (tackle by Mark Simoneau),1.990,2.530
4,7:51,2,2,PHI 46,22,10,Jake Delhomme pass complete to Nick Goings for 5 yards (tackle by Mark Simoneau),2.530,2.850
4,7:27,1,10,PHI 41,22,10,Jake Delhomme pass complete to Steve Smith for 9 yards (tackle by Lito Sheppard),2.850,3.520
4,7:01,2,1,PHI 32,22,10,Jake Delhomme pass complete to Steve Smith for 9 yards (tackle by Lito Sheppard),3.520,4.040
4,6:49,1,10,PHI 23,22,16,"Jake Delhomme pass complete to Muhsin Muhammad for 23 yards, touchdown",4.040,7.000
4,,,,PHI 2,22,16,"John Kasay kicks extra point good. Penalty on Matt Willig: False Start, 5 yards (no play)",0.000,0.000
4,,,,PHI 2,22,16,John Kasay kicks extra point no good,0.000,-1.000
4,,,,CAR 30,22,16,"John Kasay kicks off 67 yards, returned by James Thrash for 21 yards (tackle by Lester Towns)",0.000,0.540
4,6:42,1,10,PHI 24,22,16,"Penalty on Bobbie Williams: False Start, 5 yards (no play)",0.540,0.130
4,6:37,1,15,PHI 19,22,16,Duce Staley left tackle for 6 yards (tackle by Greg Favors),0.130,0.130
4,6:27,,,,22,16,Timeout #1 by Carolina Panthers,0.000,0.130
4,6:27,2,9,PHI 25,22,16,Donovan McNabb pass incomplete intended for Todd Pinkston (defended by Reggie Howard),0.130,-0.560
4,6:24,,,,22,16,Timeout #2 by Philadelphia Eagles,0.000,-0.560
4,6:24,3,9,PHI 25,22,16,Brian Westbrook right end for 3 yards (tackle by Dante Wesley and Reggie Howard),-0.560,-1.500
4,6:18,,,,22,16,Timeout #2 by Carolina Panthers,0.000,-1.500
4,6:18,4,6,PHI 28,22,16,"Dirk Johnson punts 41 yards, returned by Steve Smith for 10 yards (tackle by Keith Adams). Penalty on Travares Tillman: Illegal Block Above the Waist, 10 yards",-1.500,-0.410
4,6:07,1,10,CAR 22,22,16,Jake Delhomme pass incomplete intended for Muhsin Muhammad (defended by Michael Lewis),0.410,-0.130
4,6:01,2,10,CAR 22,22,16,Jake Delhomme pass incomplete intended for Steve Smith (defended by Lito Sheppard),-0.130,-0.820
4,5:55,3,10,CAR 22,22,16,Jake Delhomme pass incomplete intended for Steve Smith. Penalty on Steve Smith: Offensive Pass Interference (Declined),-0.820,-1.900
4,5:49,4,10,CAR 22,22,16,Todd Sauerbrun punts 51 yards (tackle by Nick Goings),-1.900,-1.070
4,5:41,1,10,PHI 32,22,16,Correll Buckhalter right guard for 8 yards (tackle by Will Witherspoon),1.070,1.610
4,4:58,2,2,PHI 40,22,16,Correll Buckhalter left guard for 13 yards (tackle by Mike Caldwell),1.610,2.460
4,4:16,1,10,CAR 47,22,16,Correll Buckhalter right tackle for 3 yards (tackle by Brentson Buckner),2.460,2.320
4,4:09,,,,22,16,Timeout #3 by Carolina Panthers,0.000,2.320
4,4:09,2,7,CAR 44,22,16,Correll Buckhalter left end for -2 yards (tackle by Deon Grant),2.320,1.350
4,3:26,3,9,CAR 46,22,16,Donovan McNabb pass complete to Chad Lewis for 29 yards (tackle by Mike Minter),1.350,4.440
4,2:41,1,10,CAR 17,22,16,Duce Staley left guard for 3 yards (tackle by Kris Jenkins),4.440,4.320
4,2:00,2,7,CAR 14,22,16,Duce Staley left tackle for no gain (tackle by Shane Burton),4.320,3.500
4,1:15,3,7,CAR 14,22,16,Duce Staley left guard for 3 yards (tackle by Al Wallace and Mike Minter),3.500,2.770
4,0:29,,,,22,16,Timeout #3 by Philadelphia Eagles,0.000,2.770
4,0:29,4,4,CAR 11,25,16,David Akers 29 yard field goal good,2.770,3.000
4,,,,PHI 30,25,16,"David Akers kicks off 68 yards, returned by Steve Smith for 29 yards (tackle by Ike Reese)",0.000,1.000
4,0:18,1,10,CAR 31,25,16,Penalty on Kevin Donnalley: Illegal Forward Pass (no play),1.000,0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
