Quarter,Time,Down,ToGo,Location,NOR,TEN,Detail,EPB,EPA
2,9:13,1,10,TEN 16,3,14,Dion Lewis left tackle for 5 yards (tackle by Demario Davis),-0.140,0.150
2,8:30,2,5,TEN 21,3,14,Ryan Tannehill pass incomplete short right intended for Khari Blasingame (defended by Demario Davis),0.150,-0.700
2,8:21,3,5,TEN 21,3,14,"Penalty on Nate Davis: False Start, 5 yards (no play)",-0.700,-1.320
2,8:21,3,10,TEN 16,3,14,Ryan Tannehill sacked by A.J. Klein for -9 yards,-1.320,-2.490
2,7:46,4,19,TEN 7,3,14,"Brett Kern punts 43 yards, muffed catch by Deonte Harris, recovered by Deonte Harris at TEN-48, returned by Deonte Harris for no gain (tackle by Dane Cruikshank)",-2.490,-2.390
2,7:38,1,10,TEN 48,3,14,Drew Brees pass incomplete short left intended for Alvin Kamara (defended by Kamalei Correa),2.390,1.850
2,7:33,2,10,TEN 48,3,14,"Drew Brees pass incomplete short right. Penalty on Will Clapp: Offensive Holding, 10 yards (no play)",1.850,0.500
2,7:28,2,20,NOR 42,3,14,Drew Brees pass complete short left to Latavius Murray for 7 yards (tackle by Logan Ryan),0.500,0.760
2,6:44,3,13,NOR 49,3,14,Drew Brees pass incomplete short left intended for Michael Thomas,0.760,-0.130
2,6:39,4,13,NOR 49,3,14,"Thomas Morstead punts 44 yards, fair catch by Kalif Raymond at TEN-7 Penalty on NOR: Illegal Formation, 5 yards",-0.130,0.350
2,6:33,1,10,TEN 12,3,14,Ryan Tannehill up the middle for 8 yards (tackle by Taylor Stallworth),-0.350,0.290
2,5:57,2,2,TEN 20,3,14,Dalyn Dawkins right guard for 1 yard (tackle by Chauncey Gardner-Johnson and Demario Davis),0.290,-0.370
2,5:34,3,1,TEN 21,3,14,Ryan Tannehill pass complete short middle to Corey Davis for 6 yards (tackle by Marcus Williams),-0.370,0.740
2,4:56,1,10,TEN 27,3,14,Ryan Tannehill sacked by Cameron Jordan for -3 yards,0.740,-0.210
2,4:15,2,13,TEN 24,3,14,Dion Lewis up the middle for 12 yards (tackle by Demario Davis),-0.210,0.700
2,3:26,3,1,TEN 36,3,14,Ryan Tannehill sacked by Demario Davis for -10 yards,0.700,-1.630
2,2:40,4,11,TEN 26,3,14,Brett Kern punts 35 yards out of bounds,-1.630,-1.530
2,2:34,1,10,NOR 39,9,14,"Drew Brees pass complete deep left to Jared Cook for 61 yards, touchdown",1.530,7.000
2,2:23,,,TEN 15,10,14,Wil Lutz kicks extra point good,0.000,0.000
2,2:23,,,NOR 35,10,14,"Wil Lutz kicks off 66 yards, returned by Kalif Raymond for 18 yards (tackle by Taysom Hill). Penalty on Khari Blasingame: Offensive Holding, 8 yards",0.000,-0.380
2,2:14,1,10,TEN 9,10,14,Dion Lewis up the middle for 3 yards (tackle by Malcom Brown and David Onyemata),-0.380,-0.560
2,2:10,,,,,,Timeout #3 by New Orleans Saints,,
2,2:10,2,7,TEN 12,10,14,Ryan Tannehill pass incomplete short right,-0.560,-1.070
2,2:07,3,7,TEN 12,10,14,Ryan Tannehill pass complete short right to Tajae Sharpe for 12 yards (tackle by Patrick Robinson). Penalty on Janoris Jenkins: Defensive Holding (Declined),-1.070,0.540
2,2:00,1,10,TEN 24,10,14,Dion Lewis right guard for 3 yards (tackle by Carl Granderson and Demario Davis),0.540,0.400
2,1:55,,,,,,Timeout #3 by New Orleans Saints,,
2,1:55,2,7,TEN 27,10,14,Dalyn Dawkins right tackle for 5 yards (tackle by A.J. Klein and Janoris Jenkins),0.400,0.370
2,1:10,3,2,TEN 32,10,14,Dalyn Dawkins left end for -5 yards (tackle by Carl Granderson),0.370,-1.570
2,0:28,4,7,TEN 27,10,14,"Brett Kern punts 43 yards, returned by Deonte Harris for 8 yards (tackle by Kevin Byard and Beau Brinkley)",-1.570,-1.470
2,0:18,1,10,NOR 38,10,14,Drew Brees pass complete short right to Alvin Kamara for -2 yards (tackle by Jayon Brown),1.470,0.650
2,0:13,2,12,NOR 36,10,14,Alvin Kamara up the middle for 14 yards (tackle by Kevin Byard),0.650,2.260
Quarter,Time,Down,ToGo,Location,NOR,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 35,10,14,"Greg Joseph kicks off 63 yards, returned by Deonte Harris for 37 yards (tackle by Kenny Vaccaro)",0.000,1.530
3,14:52,1,10,NOR 39,10,14,Latavius Murray right tackle for 4 yards (tackle by Jayon Brown and Austin Johnson),1.530,1.530
3,14:11,2,6,NOR 43,10,14,"Drew Brees pass incomplete deep left intended for Michael Thomas. Penalty on Logan Ryan: Defensive Pass Interference, 17 yards (no play)",1.530,2.920
3,14:07,1,10,TEN 40,16,14,"Alvin Kamara left guard for 40 yards, touchdown",2.920,7.000
3,14:00,,,TEN 15,17,14,Wil Lutz kicks extra point good,0.000,0.000
3,14:00,,,NOR 35,17,14,"Wil Lutz kicks off 61 yards, returned by Kalif Raymond for 15 yards (tackle by Justin Hardee)",0.000,0.150
3,13:54,1,10,TEN 19,17,14,Dion Lewis left guard for 3 yards (tackle by P.J. Williams and David Onyemata),0.150,0.070
3,13:11,2,7,TEN 22,17,14,Dion Lewis right guard for 17 yards (tackle by Marshon Lattimore),0.070,1.530
3,12:34,1,10,TEN 39,17,14,"Dion Lewis left tackle for 9 yards (tackle by P.J. Williams). Penalty on Ben Jones: Offensive Holding, 10 yards (no play)",1.530,0.870
3,12:09,1,20,TEN 29,17,14,Ryan Tannehill sacked by Shy Tuttle for -2 yards,0.870,-0.630
3,11:25,2,22,TEN 27,17,14,Ryan Tannehill pass incomplete short right intended for Dalyn Dawkins,-0.630,-1.290
3,11:21,3,22,TEN 27,17,14,Ryan Tannehill pass incomplete short middle intended for Dion Lewis (defended by Malcom Brown),-1.290,-1.570
3,11:19,4,22,TEN 27,17,14,"Brett Kern punts 55 yards, returned by Deonte Harris for 12 yards (tackle by David Long and Beau Brinkley)",-1.570,-0.940
3,11:08,1,10,NOR 30,17,14,Drew Brees pass complete short right to Taysom Hill for -2 yards (tackle by Tramaine Brock),0.940,0.120
3,10:31,2,12,NOR 28,17,14,Drew Brees pass incomplete short left intended for Michael Thomas (defended by Logan Ryan),0.120,-0.560
3,10:25,3,12,NOR 28,17,14,Drew Brees pass complete deep right to Michael Thomas for 26 yards (tackle by Kevin Byard),-0.560,2.520
3,10:01,1,10,TEN 46,17,14,Drew Brees pass complete short right to Tre'Quan Smith for 13 yards (tackle by Tramaine Brock),2.520,3.380
3,9:34,1,10,TEN 33,17,14,Drew Brees pass complete short right to Alvin Kamara for 14 yards (tackle by Harold Landry),3.380,4.310
3,8:48,1,10,TEN 19,17,14,Alvin Kamara left tackle for 5 yards (tackle by Kenny Vaccaro),4.310,4.530
3,8:04,2,5,TEN 14,17,14,Drew Brees pass complete short middle to Michael Thomas for 10 yards (tackle by Logan Ryan),4.530,6.280
3,7:23,1,4,TEN 4,17,14,Alvin Kamara up the middle for 3 yards (tackle by Logan Ryan),6.280,5.910
3,7:10,2,1,TEN 1,23,14,"Alvin Kamara left tackle for 1 yard, touchdown",5.910,7.000
3,7:08,,,TEN 15,24,14,Wil Lutz kicks extra point good,0.000,0.000
3,7:08,,,NOR 35,24,14,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
3,7:08,1,10,TEN 25,24,14,Dion Lewis left guard for 8 yards (tackle by Chauncey Gardner-Johnson),0.610,1.140
3,6:30,2,2,TEN 33,24,14,Ryan Tannehill pass complete deep right to Corey Davis for 22 yards (tackle by Chauncey Gardner-Johnson),1.140,2.590
3,5:58,1,10,NOR 45,24,14,Ryan Tannehill pass complete short left to MyCole Pruitt for 5 yards (tackle by Chauncey Gardner-Johnson),2.590,2.720
3,5:20,2,5,NOR 40,24,14,Dion Lewis left tackle for 4 yards (tackle by Manti Te'o),2.720,2.540
3,4:36,3,1,NOR 36,24,20,"Ryan Tannehill pass complete short middle to Tajae Sharpe for 36 yards, touchdown",2.540,7.000
3,4:25,,,NOR 15,24,21,Greg Joseph kicks extra point good,0.000,0.000
3,4:25,,,TEN 35,24,21,"Greg Joseph kicks off 64 yards, returned by Deonte Harris for 47 yards (tackle by Tye Smith)",0.000,2.130
3,4:16,1,10,NOR 48,24,21,Alvin Kamara up the middle for 2 yards (tackle by Kenny Vaccaro and DaQuan Jones),2.130,1.850
3,3:41,2,8,NOR 50,24,21,Alvin Kamara left end for 7 yards (tackle by Rashaan Evans),1.850,2.080
3,2:57,3,1,TEN 43,24,21,Taysom Hill left end for 4 yards (tackle by Austin Johnson),2.080,2.980
3,2:13,1,10,TEN 39,24,21,Drew Brees pass complete deep left to Taysom Hill for 23 yards (tackle by Rashaan Evans),2.980,4.510
3,1:24,1,10,TEN 16,30,21,"Drew Brees pass complete deep right to Jared Cook for 16 yards, touchdown",4.510,7.000
3,1:18,,,TEN 15,31,21,Wil Lutz kicks extra point good,0.000,0.000
3,1:18,,,NOR 35,31,21,"Wil Lutz kicks off 68 yards, returned by Kalif Raymond for 26 yards (tackle by J.T. Gray)",0.000,0.480
3,1:13,1,10,TEN 23,31,21,Dalyn Dawkins up the middle for -3 yards (tackle by Patrick Robinson and Taylor Stallworth),0.480,-0.470
3,0:39,2,13,TEN 20,31,21,Ryan Tannehill pass complete short left to MyCole Pruitt for 10 yards (tackle by Demario Davis),-0.470,0.170
3,0:02,3,3,TEN 30,31,21,Ryan Tannehill pass complete short right to Tajae Sharpe for 7 yards (tackle by Patrick Robinson),0.170,1.400
Quarter,Time,Down,ToGo,Location,NOR,TEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,TEN 37,31,21,Dion Lewis right tackle for 3 yards (tackle by Manti Te'o and Cameron Jordan),1.400,1.260
4,14:25,2,7,TEN 40,31,21,"Ryan Tannehill sacked by Trey Hendrickson for no gain. Penalty on Marshon Lattimore: Defensive Holding, 5 yards (no play)",1.260,1.930
4,14:11,1,10,TEN 45,31,21,Ryan Tannehill pass incomplete deep left intended for Corey Davis,1.930,1.380
4,14:03,2,10,TEN 45,31,21,Dion Lewis right guard for no gain (tackle by Patrick Robinson),1.380,0.700
4,13:17,3,10,TEN 45,31,21,Ryan Tannehill pass complete short left to Tajae Sharpe for 7 yards (tackle by Patrick Robinson),0.700,0.070
4,12:38,4,3,NOR 48,31,21,Brett Kern punts 39 yards out of bounds,0.070,0.380
4,12:31,1,10,NOR 9,31,21,Drew Brees pass incomplete short left intended for Tre'Quan Smith,-0.380,-0.780
4,12:28,2,10,NOR 9,31,21,Drew Brees pass complete short left to Deonte Harris for no gain (tackle by Rashaan Evans),-0.780,-1.420
4,11:43,3,10,NOR 9,31,21,Drew Brees sacked by Derick Roberson for -8 yards,-1.420,-2.490
4,10:53,4,18,NOR 1,31,21,Penalty on Thomas Morstead: Delay of Game (no play),-2.490,-2.490
4,10:53,4,18,NOR 1,31,21,"Thomas Morstead punts 53 yards, returned by Kalif Raymond for 12 yards (tackle by J.T. Gray and Dwayne Washington)",-2.490,-2.790
4,10:42,1,10,NOR 42,31,21,Dalyn Dawkins left guard for 14 yards (tackle by Demario Davis),2.790,3.710
4,10:09,1,10,NOR 28,31,21,Dalyn Dawkins right guard for 9 yards (tackle by Manti Te'o and Chauncey Gardner-Johnson),3.710,4.420
4,9:30,2,1,NOR 19,31,21,Dalyn Dawkins left guard for 4 yards (tackle by Manti Te'o and Cameron Jordan),4.420,4.580
4,8:53,1,10,NOR 15,31,21,Dalyn Dawkins left tackle for -1 yards (tackle by Demario Davis),4.580,3.810
4,8:14,2,11,NOR 16,31,21,Ryan Tannehill pass complete short middle to Kalif Raymond for 9 yards (tackle by Patrick Robinson),3.810,4.680
4,7:33,3,2,NOR 7,31,27,"Ryan Tannehill pass complete short middle to Tajae Sharpe for 7 yards, touchdown, touchdown. Penalty on A.J. Klein: Defensive Holding (Declined)",4.680,7.000
4,7:27,,,NOR 15,31,28,Greg Joseph kicks extra point good,0.000,0.000
4,7:27,,,TEN 35,31,28,"Greg Joseph kicks off 49 yards, returned by Dwayne Washington for 12 yards (tackle by Kalif Raymond)",0.000,0.810
4,7:20,1,10,NOR 28,31,28,Drew Brees pass complete short right to Michael Thomas for 6 yards (tackle by Logan Ryan),0.810,1.070
4,6:40,2,4,NOR 34,31,28,Drew Brees pass complete short middle to Michael Thomas for 5 yards (tackle by Jayon Brown),1.070,1.530
4,5:58,1,10,NOR 39,31,28,Taysom Hill pass complete short left to Michael Thomas for 20 yards (tackle by LeShaun Sims and Jayon Brown),1.530,2.850
4,5:17,1,10,TEN 41,31,28,Alvin Kamara left tackle for 3 yards (tackle by Jurrell Casey),2.850,2.710
4,4:35,2,7,TEN 38,31,28,Drew Brees pass incomplete short left intended for Michael Thomas (defended by LeShaun Sims),2.710,2.020
4,4:30,3,7,TEN 38,31,28,Drew Brees pass incomplete short middle intended for Jared Cook,2.020,0.720
4,4:26,,,,,,Timeout #1 by New Orleans Saints,,
4,4:26,4,7,TEN 38,31,28,Taysom Hill pass incomplete short right intended for Justin Hardee,0.720,-1.470
4,4:23,1,10,TEN 38,31,28,"Ryan Tannehill pass complete deep right to Kalif Raymond for 23 yards (tackle by Janoris Jenkins and Chauncey Gardner-Johnson). Kalif Raymond fumbles (forced by Chauncey Gardner-Johnson), recovered by Chauncey Gardner-Johnson at NO-38 and returned for 37 yards (tackle by Jonnu Smith)",1.470,-3.910
4,4:06,1,10,TEN 25,31,28,Latavius Murray left tackle for 5 yards (tackle by Austin Johnson),3.910,4.040
4,3:25,2,5,TEN 20,31,28,Drew Brees pass complete short right to Alvin Kamara for 5 yards (tackle by Rashaan Evans),4.040,4.580
4,3:18,,,,,,Timeout #2 by Tennessee Titans,,
4,3:18,1,10,TEN 15,31,28,Alvin Kamara right guard for 1 yard (tackle by Jayon Brown),4.580,4.110
4,3:14,,,,,,Timeout #3 by Tennessee Titans,,
4,3:14,2,9,TEN 14,31,28,Drew Brees pass complete short left to Michael Thomas for 13 yards (tackle by Logan Ryan),4.110,6.970
4,2:59,1,1,TEN 1,31,28,Latavius Murray left guard for -1 yards (tackle by Matt Dickerson and Rashaan Evans),6.970,5.720
4,2:16,2,2,TEN 2,37,28,"Drew Brees pass complete short right to Michael Thomas for 2 yards, touchdown",5.720,7.000
4,2:10,,,TEN 15,38,28,Wil Lutz kicks extra point good,0.000,0.000
4,2:10,,,NOR 35,38,28,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,2:10,1,10,TEN 25,38,28,Ryan Tannehill pass complete deep left to A.J. Brown for 34 yards (tackle by Marshon Lattimore),0.610,2.850
4,2:04,1,10,NOR 41,38,28,Ryan Tannehill pass incomplete short right intended for Jonnu Smith,2.850,2.310
4,2:01,2,10,NOR 41,38,28,Ryan Tannehill pass incomplete short middle intended for Anthony Firkser (defended by A.J. Klein),2.310,1.620
4,1:57,3,10,NOR 41,38,28,Ryan Tannehill pass incomplete deep middle intended for A.J. Brown,1.620,0.530
4,1:52,,,,,,Timeout #2 by New Orleans Saints,,
4,1:52,4,10,NOR 41,38,28,Ryan Tannehill pass incomplete deep right intended for Tajae Sharpe (defended by Patrick Robinson),0.530,-1.660
4,1:44,1,10,NOR 41,38,28,Drew Brees kneels for -1 yards,1.660,0.990
4,1:04,2,11,NOR 40,38,28,Drew Brees kneels for -1 yards,0.990,0.170
4,0:29,3,12,NOR 39,38,28,Drew Brees kneels for -1 yards,0.170,-0.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
