Quarter,Time,Down,ToGo,Location,GNB,BUF,Detail,EPB,EPA
2,4:06,2,6,BUF 50,7,14,"James Cook left end for 7 yards (tackle by Quay Walker). Penalty on Quay Walker: Disqualification / Defense, 15 yards (accepted)",1.990,3.710
2,3:50,1,10,GNB 28,7,14,Josh Allen pass complete to Stefon Diggs for 7 yards (tackle by De'Vondre Campbell),3.710,4.110
2,3:07,2,3,GNB 21,7,14,Josh Allen pass complete short middle to Isaiah McKenzie for 8 yards (tackle by Rasul Douglas),4.110,4.710
2,2:26,1,10,GNB 13,7,14,Josh Allen up the middle for 6 yards (tackle by Darnell Savage),4.710,5.150
2,2:00,2,4,GNB 7,7,20,"Isaiah McKenzie left end for 7 yards, touchdown",5.150,7.000
2,1:54,,,GNB 15,7,21,Tyler Bass kicks extra point good,0.000,0.000
2,1:54,,,BUF 35,7,21,"Tyler Bass kicks off 64 yards, returned by Keisean Nixon for 20 yards (tackle by Cameron Lewis)",0.000,0.340
2,1:50,1,10,GNB 21,7,21,Aaron Jones left end for 11 yards (tackle by Jordan Poyer and Gregory Rousseau),0.340,1.070
2,1:20,1,10,GNB 32,7,21,Aaron Rodgers pass incomplete deep middle intended for Robert Tonyan (defended by Tremaine Edmunds),1.070,0.530
2,1:13,2,10,GNB 32,7,21,Aaron Rodgers sacked by Gregory Rousseau for -6 yards,0.530,-0.960
2,1:07,,,,,,Timeout #2 by Buffalo Bills,,
2,1:07,3,16,GNB 26,7,21,Aaron Jones left guard for 8 yards (tackle by Von Miller and Tremaine Edmunds),-0.960,-1.110
2,1:01,,,,,,Timeout #3 by Buffalo Bills,,
2,1:01,4,8,GNB 34,7,21,"Pat O'Donnell punts 46 yards, fair catch by Khalil Shakir at BUF-20",-1.110,-0.280
2,0:53,1,10,BUF 20,7,21,Josh Allen pass complete deep middle to Stefon Diggs for 53 yards (tackle by Darnell Savage),0.280,3.780
2,0:23,1,10,GNB 27,7,21,Josh Allen sacked by Eric Wilson for -2 yards,3.780,2.960
2,0:17,2,12,GNB 29,7,21,"Josh Allen pass incomplete deep middle intended for Gabriel Davis. Penalty on Preston Smith: Defensive Offside, 5 yards (accepted) (no play)",2.960,3.640
2,0:10,,,,,,Timeout #2 by Green Bay Packers,,
2,0:10,2,7,GNB 24,7,21,Josh Allen pass incomplete deep left intended for Khalil Shakir (defended by Jaire Alexander),3.640,2.940
2,0:03,,,,,,Timeout #3 by Green Bay Packers,,
2,0:03,3,7,GNB 24,7,24,Tyler Bass 42 yard field goal good,2.940,3.000
Quarter,Time,Down,ToGo,Location,GNB,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BUF 35,7,24,"Tyler Bass kicks off 64 yards, returned by Keisean Nixon for 15 yards (tackle by Tyler Bass). Penalty on Innis Gaines: Offensive Holding, 8 yards (accepted)",0.000,-0.380
3,14:51,1,10,GNB 8,7,24,"Aaron Rodgers sacked by Gregory Rousseau for no gain. Penalty on Ed Oliver: Defensive Offside, 5 yards (accepted) (no play)",-0.380,-0.070
3,14:27,1,5,GNB 13,7,24,Aaron Jones right guard for 32 yards (tackle by Dane Jackson),-0.070,1.930
3,13:50,1,10,GNB 45,7,24,Aaron Jones left tackle for 11 yards (tackle by Tremaine Edmunds),1.930,2.650
3,13:14,1,10,BUF 44,7,24,AJ Dillon right guard for no gain (tackle by DaQuan Jones and Damar Hamlin),2.650,2.110
3,12:36,2,10,BUF 44,7,24,AJ Dillon right guard for 27 yards (tackle by Matt Milano),2.110,4.440
3,11:56,1,10,BUF 17,7,24,AJ Dillon right end for -2 yards (tackle by Matt Milano),4.440,3.600
3,11:20,2,12,BUF 19,7,24,Aaron Rodgers pass complete short left to Josiah Deguara for 9 yards (tackle by Damar Hamlin and Jordan Phillips),3.600,4.340
3,10:36,3,3,BUF 10,7,24,"Aaron Rodgers pass complete short right to Robert Tonyan for no gain, touchdown. Penalty on Robert Tonyan: Offensive Pass Interference, 10 yards (accepted) (no play)",4.340,2.810
3,10:29,3,13,BUF 20,7,24,Aaron Rodgers pass incomplete short left intended for Aaron Jones (defended by A.J. Epenesa),2.810,2.120
3,10:24,4,13,BUF 20,10,24,Mason Crosby 38 yard field goal good,2.120,3.000
3,10:20,,,GNB 35,10,24,"Mason Crosby kicks off 68 yards, returned by Isaiah McKenzie for 33 yards (tackle by Eric Wilson)",0.000,0.940
3,10:08,1,10,BUF 30,10,24,"Josh Allen pass complete short right to Gabriel Davis for 9 yards. Penalty on Eric Wilson: Defensive Holding, 5 yards (accepted) (no play)",0.940,1.270
3,9:53,1,10,BUF 35,10,24,Josh Allen pass incomplete deep left intended for Dawson Knox,1.270,0.720
3,9:46,2,10,BUF 35,10,24,Josh Allen pass complete deep middle to Gabriel Davis for 29 yards (tackle by Adrian Amos),0.720,3.180
3,9:11,1,10,GNB 36,10,24,Josh Allen pass incomplete short left intended for Khalil Shakir (defended by Rashan Gary),3.180,2.640
3,9:05,2,10,GNB 36,10,24,Josh Allen scrambles left end for 10 yards (tackle by Isaiah McDuffie),2.640,3.840
3,8:18,1,10,GNB 26,10,24,"Devin Singletary left guard for 8 yards. Penalty on Dion Dawkins: Offensive Holding, 10 yards (accepted) (no play)",3.840,3.180
3,7:58,1,20,GNB 36,10,24,Devin Singletary left guard for 1 yard (tackle by Preston Smith and Eric Wilson),3.180,2.080
3,7:16,2,19,GNB 35,10,24,Josh Allen pass complete short middle to Stefon Diggs for 6 yards (tackle by Rasul Douglas),2.080,2.210
3,6:38,3,13,GNB 29,10,24,Josh Allen scrambles right tackle for 10 yards (tackle by Isaiah McDuffie and Kenny Clark),2.210,2.280
3,6:03,4,3,GNB 19,10,27,Tyler Bass 38 yard field goal good,2.280,3.000
3,5:59,,,BUF 35,10,27,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
3,5:59,1,10,GNB 25,10,27,Aaron Jones left tackle for 4 yards (tackle by Tremaine Edmunds and Damar Hamlin),0.610,0.600
3,5:23,2,6,GNB 29,10,27,Aaron Jones right guard for 4 yards (tackle by DaQuan Jones and Taron Johnson),0.600,0.430
3,4:37,3,2,GNB 33,10,27,Aaron Jones left guard for 7 yards (tackle by Boogie Basham),0.430,1.600
3,4:05,1,10,GNB 40,10,27,AJ Dillon right end for 5 yards (tackle by Tremaine Edmunds and Damar Hamlin),1.600,1.730
3,3:25,2,5,GNB 45,10,27,AJ Dillon right guard for 9 yards (tackle by Matt Milano and Damar Hamlin),1.730,2.520
3,2:36,1,10,BUF 46,10,27,AJ Dillon right guard for 3 yards (tackle by Dane Jackson and Boogie Basham),2.520,2.380
3,1:57,2,7,BUF 43,10,27,Aaron Jones left end for 8 yards (tackle by Gregory Rousseau),2.380,3.250
3,1:14,1,10,BUF 35,10,27,Aaron Rodgers pass complete short middle to Aaron Jones for no gain (tackle by Jordan Poyer and Tim Settle),3.250,2.700
3,0:30,2,10,BUF 35,10,27,Aaron Rodgers pass complete short left to Robert Tonyan for 3 yards (tackle by Taron Johnson),2.700,2.410
Quarter,Time,Down,ToGo,Location,GNB,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,7,BUF 32,10,27,Aaron Jones left guard for 6 yards (tackle by Tremaine Edmunds),2.410,1.890
4,14:18,4,1,BUF 26,10,27,Aaron Jones up the middle for -1 yards (tackle by Taron Johnson),1.890,-0.810
4,14:12,1,10,BUF 28,10,27,Josh Allen pass incomplete deep right intended for Stefon Diggs,0.810,0.260
4,14:06,2,10,BUF 28,10,27,Josh Allen pass incomplete short middle intended for Gabriel Davis,0.260,-0.430
4,14:03,3,10,BUF 28,10,27,"Josh Allen pass incomplete deep middle intended for Stefon Diggs. Penalty on Rasul Douglas: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",-0.430,1.070
4,13:57,1,10,BUF 32,10,27,Devin Singletary right tackle for -4 yards (tackle by Kingsley Enagbare),1.070,-0.010
4,13:15,2,14,BUF 28,10,27,"Josh Allen pass complete short left to Gabriel Davis for no gain. Penalty on Kingsley Enagbare: Defensive Offside, 5 yards (accepted) (no play)",-0.010,0.660
4,12:51,2,9,BUF 33,10,27,Josh Allen pass incomplete short left intended for Devin Singletary,0.660,-0.100
4,12:46,3,10,BUF 33,10,27,"Josh Allen pass deep middle intended for Gabriel Davis is intercepted by Rasul Douglas at GB-47 and returned for -1 yards, lateral to Jaire Alexander for no gain (tackle by Devin Singletary)",-0.100,-2.060
4,12:34,1,10,GNB 47,10,27,Aaron Rodgers pass short middle (defended by Tim Settle) intended for Amari Rodgers is intercepted by Matt Milano at GB-44 and returned for no gain (tackle by Zach Tom),2.060,-2.650
4,12:29,1,10,GNB 44,10,27,Devin Singletary left end for -4 yards (tackle by Preston Smith),2.650,1.570
4,11:44,2,14,GNB 48,10,27,Josh Allen pass complete deep left to James Cook for 41 yards (tackle by Darnell Savage),1.570,5.600
4,10:57,1,7,GNB 7,10,27,James Cook left guard for 4 yards (tackle by Adrian Amos),5.600,5.530
4,10:16,2,3,GNB 3,10,27,Josh Allen pass incomplete short right intended for Stefon Diggs,5.530,4.720
4,10:12,3,3,GNB 3,10,27,Josh Allen pass short right intended for Gabriel Davis is intercepted by Jaire Alexander at GB-3 and returned for 3 yards (tackle by Gabriel Davis),4.720,0.380
4,10:05,1,10,GNB 5,10,27,Aaron Jones left end for 1 yard (tackle by Taron Johnson and Tim Settle),-0.380,-0.710
4,9:24,2,9,GNB 6,10,27,Aaron Rodgers pass complete short middle to Robert Tonyan for 5 yards (tackle by Tremaine Edmunds),-0.710,-0.720
4,8:44,3,4,GNB 11,10,27,Aaron Rodgers pass complete short right to Robert Tonyan for 15 yards (tackle by Taron Johnson),-0.720,0.670
4,8:03,1,10,GNB 26,10,27,Aaron Rodgers pass complete deep left to Romeo Doubs for 26 yards (tackle by Taron Johnson),0.670,2.390
4,7:25,1,10,BUF 48,10,27,Aaron Rodgers pass incomplete short left intended for Amari Rodgers (defended by Dane Jackson),2.390,1.850
4,7:20,2,10,BUF 48,10,27,Aaron Rodgers scrambles left guard for 11 yards (tackle by Damar Hamlin),1.850,3.120
4,6:47,1,10,BUF 37,10,27,Aaron Rodgers pass incomplete deep right intended for Samori Toure,3.120,2.570
4,6:42,2,10,BUF 37,16,27,"Aaron Rodgers pass complete deep middle to Samori Toure for 37 yards, touchdown",2.570,7.000
4,6:32,,,BUF 15,17,27,Mason Crosby kicks extra point good,0.000,0.000
4,6:32,,,GNB 35,17,27,"Mason Crosby kicks off 55 yards, returned by Isaiah McKenzie for 16 yards (tackle by Keisean Nixon)",0.000,0.670
4,6:25,1,10,BUF 26,17,27,Devin Singletary right guard for 7 yards (tackle by Rashan Gary),0.670,1.070
4,5:49,2,3,BUF 33,17,27,Josh Allen pass complete short right to Stefon Diggs for 7 yards (tackle by Eric Wilson),1.070,1.600
4,5:14,1,10,BUF 40,17,27,Josh Allen pass complete short left to Gabriel Davis for 6 yards (tackle by Rasul Douglas and Jaire Alexander),1.600,1.860
4,4:35,2,4,BUF 46,17,27,Devin Singletary left guard for 3 yards (tackle by Kenny Clark and Preston Smith),1.860,1.550
4,3:53,3,1,BUF 49,17,27,Josh Allen left guard for 4 yards (tackle by Kenny Clark and Isaiah McDuffie),1.550,2.460
4,3:47,,,,,,Timeout #1 by Green Bay Packers,,
4,3:47,1,10,GNB 47,17,27,Devin Singletary right guard for 9 yards (tackle by Isaiah McDuffie),2.460,3.130
4,3:42,,,,,,Timeout #2 by Green Bay Packers,,
4,3:42,2,1,GNB 38,17,27,Devin Singletary up the middle for 4 yards (tackle by Dean Lowry and Kenny Clark),3.130,3.310
4,3:42,1,10,GNB 34,17,27,"Penalty on Gabriel Davis: Unnecessary Roughness / Offense, 15 yards (accepted) (no play)",3.310,2.320
4,3:36,1,10,GNB 49,17,27,Devin Singletary right guard for no gain (tackle by Adrian Amos),2.320,1.780
4,3:30,,,,,,Timeout #3 by Green Bay Packers,,
4,3:30,2,10,GNB 49,17,27,James Cook left end for 3 yards (tackle by Jarran Reed and Tedarrell Slaton),1.780,1.490
4,2:42,3,7,GNB 46,17,27,"Josh Allen pass incomplete short right intended for Jake Kumerow. Penalty on Dion Dawkins: Ineligible Downfield Pass, 5 yards (declined)",1.490,0.200
4,2:42,4,7,GNB 46,17,27,"Sam Martin punts 29 yards, fair catch by Amari Rodgers at GB-17",0.200,0.060
4,2:34,1,10,GNB 17,17,27,Aaron Rodgers pass complete short left to Robert Tonyan for 9 yards (tackle by Tremaine Edmunds),-0.060,0.750
4,2:08,2,1,GNB 26,17,27,Aaron Rodgers pass complete short left to Romeo Doubs for 10 yards (tackle by Kaiir Elam),0.750,1.330
4,2:00,1,10,GNB 36,17,27,Aaron Rodgers pass complete short right to Aaron Jones for 5 yards (tackle by Tremaine Edmunds and Damar Hamlin),1.330,1.470
4,1:29,2,5,GNB 41,17,27,Aaron Rodgers pass incomplete short left intended for Samori Toure,1.470,0.760
4,1:23,3,5,GNB 41,17,27,Aaron Rodgers pass complete deep left to Amari Rodgers for 22 yards (tackle by Kaiir Elam),0.760,3.120
4,1:00,1,10,BUF 37,17,27,Aaron Rodgers pass incomplete short right,3.120,2.570
4,0:54,2,10,BUF 37,17,27,Aaron Rodgers pass incomplete short right intended for Romeo Doubs,2.570,1.880
4,0:48,3,10,BUF 37,17,27,Aaron Rodgers pass incomplete deep middle intended for Samori Toure,1.880,0.790
4,0:43,,,,,,Timeout #1 by Buffalo Bills,,
4,0:43,4,10,BUF 37,17,27,Mason Crosby 55 yard field goal no good,0.790,-1.930
4,0:38,1,10,BUF 45,17,27,Josh Allen kneels for -1 yards,1.930,1.250
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
