Quarter,Time,Down,ToGo,Location,GNB,LVR,Detail,EPB,EPA
1,2:46,3,8,LVR 18,0,0,"Jordan Love pass incomplete short middle. Penalty on Josh Myers: Ineligible Downfield Pass, 5 yards (declined)",3.220,2.250
1,2:41,4,8,LVR 18,3,0,Anders Carlson 37 yard field goal good,2.250,3.000
1,2:38,,,GNB 35,3,0,"Anders Carlson kicks off 65 yards, touchback.",0.000,0.610
1,2:38,1,10,LVR 25,3,0,Jimmy Garoppolo pass complete short right to Michael Mayer for 19 yards (tackle by Darnell Savage and Rudy Ford),0.610,1.860
1,1:57,1,10,LVR 44,3,0,"Penalty on Tre Tucker: False Start, 5 yards (accepted) (no play)",1.860,1.530
1,1:36,1,15,LVR 39,3,0,Tre Tucker left end for 16 yards (tackle by Rudy Ford),1.530,2.590
1,0:58,1,10,GNB 45,3,0,Josh Jacobs right guard for 5 yards (tackle by Rashan Gary),2.590,2.720
1,0:21,2,5,GNB 40,3,0,Jimmy Garoppolo pass incomplete short left intended for Jakobi Meyers (defended by Rasul Douglas),2.720,2.010
1,0:15,3,5,GNB 40,3,0,Jimmy Garoppolo sacked by Preston Smith for -7 yards,2.010,0.130
Quarter,Time,Down,ToGo,Location,GNB,LVR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,12,GNB 47,3,0,"AJ Cole punts 37 yards, fair catch by Jayden Reed at GB-10",0.130,0.380
2,14:53,1,10,GNB 10,3,0,Jordan Love pass complete short right to Ben Sims for 12 yards (tackle by Divine Deablo),-0.380,0.410
2,14:14,1,10,GNB 22,3,0,Patrick Taylor left guard for -3 yards (tackle by Maxx Crosby),0.410,-0.600
2,13:35,2,13,GNB 19,3,0,Jordan Love pass complete short middle to Patrick Taylor for 2 yards (tackle by Divine Deablo),-0.600,-0.960
2,12:49,3,11,GNB 21,3,0,Jordan Love pass incomplete short right intended for Patrick Taylor,-0.960,-1.960
2,12:45,4,11,GNB 21,3,0,Daniel Whelan punts 41 yards downed by Jonathan Owens,-1.960,-1.470
2,12:37,1,10,LVR 38,3,0,Josh Jacobs up the middle for 9 yards (tackle by Rudy Ford and Darnell Savage),1.470,2.140
2,12:06,2,1,LVR 47,3,0,Jimmy Garoppolo up the middle for 3 yards (tackle by Quay Walker),2.140,2.260
2,11:27,1,10,LVR 50,3,0,Josh Jacobs sacked by Kingsley Enagbare for -4 yards,2.260,1.170
2,10:31,2,14,LVR 46,3,0,Jimmy Garoppolo scrambles up the middle for 3 yards (tackle by Preston Smith),1.170,0.890
2,9:56,3,11,LVR 49,3,0,"Jimmy Garoppolo pass complete short left to Ameer Abdullah for 10 yards (tackle by Rudy Ford and Quay Walker) Replay Assistant challenged the first down ruling, and the original play was overturned. Jimmy Garoppolo pass complete short left to Ameer Abdullah for 11 yards and Rudy Ford and Quay Walker)",0.890,2.920
2,9:42,1,10,GNB 40,3,0,Josh Jacobs left guard for 5 yards (tackle by Lukas Van Ness and Colby Wooden),2.920,3.050
2,9:09,2,5,GNB 35,3,0,Jimmy Garoppolo pass complete short left to Josh Jacobs for no gain (tackle by Lukas Van Ness),3.050,2.340
2,8:29,3,5,GNB 35,3,0,Jimmy Garoppolo pass complete short right to Jakobi Meyers for 10 yards (tackle by Eric Wilson),2.340,3.910
2,7:44,1,10,GNB 25,3,0,"Penalty on Kenny Clark: Neutral Zone Infraction, 5 yards (accepted) (no play)",3.910,4.640
2,7:27,1,5,GNB 20,3,0,Josh Jacobs right guard for 3 yards (tackle by Karl Brooks and Rashan Gary),4.640,4.550
2,6:48,2,2,GNB 17,3,0,Josh Jacobs right guard for 1 yard (tackle by Karl Brooks and Eric Wilson),4.550,4.060
2,6:11,3,1,GNB 16,3,0,Jakobi Meyers left end for no gain (tackle by Rasul Douglas),4.060,2.530
2,5:26,4,1,GNB 16,3,0,DeAndre Carter left end for 3 yards (tackle by Keisean Nixon),2.530,4.710
2,4:54,1,10,GNB 13,3,0,Josh Jacobs right guard for 4 yards (tackle by Tedarrell Slaton and Kingsley Enagbare),4.710,4.770
2,4:13,2,6,GNB 9,3,6,"Jimmy Garoppolo pass complete short middle to Jakobi Meyers for 9 yards, touchdown",4.770,7.000
2,4:09,,,GNB 15,3,7,Daniel Carlson kicks extra point good,0.000,0.000
2,4:09,,,LVR 35,3,7,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,4:09,1,10,GNB 25,3,7,Jordan Love pass short left intended for Romeo Doubs is intercepted by Robert Spillane at GB-31 and returned for 24 yards (tackle by Jayden Reed),0.610,-5.600
2,4:00,1,7,GNB 7,3,7,Josh Jacobs up the middle for -1 yards (tackle by Isaiah McDuffie and Preston Smith),5.600,4.570
2,3:16,2,8,GNB 8,3,7,Jimmy Garoppolo pass complete short left to Josh Jacobs for no gain (tackle by Keisean Nixon),4.570,3.580
2,2:38,3,8,GNB 8,3,7,Jimmy Garoppolo pass incomplete short left intended for DeAndre Carter (defended by Preston Smith),3.580,2.950
2,2:35,4,8,GNB 8,3,10,Daniel Carlson 26 yard field goal good,2.950,3.000
2,2:32,,,LVR 35,3,10,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,2:32,1,10,GNB 25,3,10,AJ Dillon left guard for -1 yards (tackle by Maxx Crosby and Adam Butler),0.610,-0.070
2,2:00,2,11,GNB 24,3,10,Jordan Love pass incomplete short right intended for Patrick Taylor,-0.070,-0.760
2,1:53,3,11,GNB 24,3,10,Jordan Love pass complete short right to Luke Musgrave for 4 yards (tackle by Tyler Hall),-0.760,-1.500
2,1:06,4,7,GNB 28,3,10,"Daniel Whelan punts 54 yards, returned by DeAndre Carter for 6 yards (tackle by Jonathan Owens and Tucker Kraft)",-1.500,-0.540
2,0:55,1,10,LVR 24,3,10,DeAndre Carter right end for no gain (tackle by Isaiah McDuffie),0.540,0.000
2,0:47,,,,,,Timeout #1 by Green Bay Packers,,
2,0:47,2,10,LVR 24,3,10,Jimmy Garoppolo pass incomplete short left intended for Hunter Renfrow,0.000,-0.690
2,0:42,3,10,LVR 24,3,10,Jimmy Garoppolo pass complete deep middle to Jakobi Meyers for 18 yards (tackle by Isaiah McDuffie),-0.690,1.730
2,0:35,,,,,,Timeout #2 by Las Vegas Raiders,,
2,0:35,1,10,LVR 42,3,10,Jimmy Garoppolo pass complete short middle to Jakobi Meyers for 16 yards (tackle by Jaire Alexander and Eric Wilson),1.730,2.790
2,0:26,,,,,,Timeout #3 by Las Vegas Raiders,,
2,0:26,1,10,GNB 42,3,10,Jimmy Garoppolo pass complete short middle to Hunter Renfrow for 7 yards (tackle by Keisean Nixon),2.790,3.190
2,0:16,2,3,GNB 35,3,10,Jimmy Garoppolo spiked the ball,3.190,2.480
2,0:15,,,,,,Timeout #2 by Green Bay Packers,,
2,0:15,3,3,GNB 35,3,10,Jimmy Garoppolo pass incomplete short right,2.480,0.990
2,0:12,,,,,,Timeout #3 by Green Bay Packers,,
2,0:12,4,3,GNB 35,3,10,Daniel Carlson 53 yard field goal no good blocked by Yosh Nijman,0.990,-1.800
2,0:07,1,10,GNB 43,3,10,Jordan Love scrambles right end for 11 yards (tackle by Tyler Hall),1.800,2.520
Quarter,Time,Down,ToGo,Location,GNB,LVR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,GNB 35,3,10,"Anders Carlson kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LVR 25,3,10,Jimmy Garoppolo pass complete short right to Austin Hooper for 7 yards (tackle by Isaiah McDuffie and Rudy Ford),0.610,1.010
3,14:20,2,3,LVR 32,3,10,Jimmy Garoppolo pass complete short middle to Jakobi Meyers for 8 yards (tackle by Eric Wilson),1.010,1.600
3,13:35,1,10,LVR 40,3,10,Josh Jacobs left tackle for -3 yards (tackle by Kingsley Enagbare),1.600,0.650
3,13:00,2,13,LVR 37,3,10,Jimmy Garoppolo pass short middle intended for Jakobi Meyers is intercepted by Rudy Ford at LV-46 and returned for 9 yards (tackle by Austin Hooper),0.650,-3.120
3,12:49,1,10,LVR 37,3,10,AJ Dillon left tackle for 5 yards (tackle by Malcolm Koonce and Amik Robertson),3.120,3.250
3,12:25,2,5,LVR 32,3,10,Jordan Love sacked by Tre'von Moehrig for no gain,3.250,2.540
3,11:43,3,5,LVR 32,3,10,Jordan Love pass complete short right to Luke Musgrave for 3 yards (tackle by Tre'von Moehrig),2.540,1.600
3,11:14,4,2,LVR 29,3,10,AJ Dillon up the middle for 3 yards (tackle by Bilal Nichols and Maxx Crosby),1.600,3.840
3,10:34,1,10,LVR 26,3,10,AJ Dillon left guard for 6 yards (tackle by Robert Spillane and Tre'von Moehrig),3.840,4.110
3,9:53,2,4,LVR 20,3,10,AJ Dillon left tackle for 11 yards (tackle by Tre'von Moehrig),4.110,5.140
3,9:12,1,9,LVR 9,3,10,AJ Dillon up the middle for 4 yards (tackle by Byron Young),5.140,5.150
3,8:32,2,5,LVR 5,9,10,"AJ Dillon up the middle for 5 yards, touchdown",5.150,7.000
3,8:27,,,LVR 15,10,10,Anders Carlson kicks extra point good,0.000,0.000
3,8:27,,,GNB 35,10,10,"Anders Carlson kicks off 66 yards, returned by DeAndre Carter for 29 yards (tackle by Corey Ballentine and Eric Wilson)",0.000,0.810
3,8:21,1,10,LVR 28,10,10,Jimmy Garoppolo pass incomplete short right intended for Michael Mayer,0.810,0.260
3,8:14,2,10,LVR 28,10,10,Jimmy Garoppolo pass complete short left to Josh Jacobs for 4 yards (tackle by Rudy Ford),0.260,0.100
3,7:35,3,6,LVR 32,10,10,Jimmy Garoppolo pass incomplete short left intended for Tre Tucker,0.100,-1.240
3,7:27,4,6,LVR 32,10,10,"AJ Cole punts 53 yards, returned by Keisean Nixon for 2 yards (tackle by Ameer Abdullah)",-1.240,0.060
3,7:15,1,10,GNB 17,10,10,"Jordan Love pass complete deep left to Christian Watson for 77 yards (tackle by Marcus Peters). Penalty on Marcus Peters: Horse Collar Tackle, 3 yards (accepted)",-0.060,6.510
3,6:48,1,3,LVR 3,10,10,AJ Dillon right guard for -2 yards (tackle by Maxx Crosby),6.510,5.150
3,6:05,2,5,LVR 5,10,10,AJ Dillon up the middle for 1 yard (tackle by Bilal Nichols and John Jenkins),5.150,4.490
3,5:26,3,4,LVR 4,10,10,Jordan Love pass incomplete short left intended for Romeo Doubs,4.490,3.030
3,5:19,4,4,LVR 4,13,10,Anders Carlson 22 yard field goal good,3.030,3.000
3,5:16,,,GNB 35,13,10,"Anders Carlson kicks off 65 yards, touchback.",0.000,0.610
3,5:16,1,10,LVR 25,13,10,Josh Jacobs right tackle for 24 yards (tackle by Jaire Alexander and Rudy Ford),0.610,2.190
3,4:37,1,10,LVR 49,13,10,Josh Jacobs right guard for 6 yards (tackle by Eric Wilson and Rashan Gary),2.190,2.460
3,4:02,2,4,GNB 45,13,10,Josh Jacobs right end for no gain (tackle by Rudy Ford and Isaiah McDuffie),2.460,1.750
3,3:23,3,4,GNB 45,13,10,Jimmy Garoppolo pass complete short left to Jakobi Meyers for 8 yards (tackle by Keisean Nixon),1.750,3.120
3,2:44,1,10,GNB 37,13,10,Jimmy Garoppolo pass incomplete short left intended for Jakobi Meyers (defended by Rasul Douglas),3.120,2.570
3,2:38,2,10,GNB 37,13,10,Jimmy Garoppolo pass complete short middle to Davante Adams for 21 yards (tackle by Isaiah McDuffie),2.570,4.510
3,1:58,1,10,GNB 16,13,10,Jimmy Garoppolo pass complete short left to Davante Adams for 5 yards (tackle by Rasul Douglas),4.510,4.760
3,1:19,2,5,GNB 11,13,10,Josh Jacobs right guard for 2 yards (tackle by Kenny Clark and Tedarrell Slaton),4.760,4.390
3,0:35,,,,,,Timeout #1 by Las Vegas Raiders,,
3,0:35,3,3,GNB 9,13,10,Jimmy Garoppolo pass complete short left to Davante Adams for 7 yards (tackle by Isaiah McDuffie),4.390,6.740
Quarter,Time,Down,ToGo,Location,GNB,LVR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,2,GNB 2,13,16,"Josh Jacobs up the middle for 2 yards, touchdown",6.740,7.000
4,14:56,,,GNB 15,13,17,Daniel Carlson kicks extra point good,0.000,0.000
4,14:56,,,LVR 35,13,17,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
4,14:56,1,10,GNB 25,13,17,AJ Dillon left tackle for 3 yards (tackle by Adam Butler),0.610,0.470
4,14:20,2,7,GNB 28,13,17,Jordan Love pass incomplete deep middle intended for Christian Watson,0.470,-0.230
4,14:13,3,7,GNB 28,13,17,Jordan Love pass complete short right to Dontayvion Wicks for 10 yards (tackle by Marcus Peters),-0.230,1.470
4,13:37,1,10,GNB 38,13,17,AJ Dillon left tackle for 6 yards (tackle by Robert Spillane and Divine Deablo),1.470,1.730
4,12:56,2,4,GNB 44,13,17,Jordan Love pass complete short left to Romeo Doubs for 4 yards (tackle by Amik Robertson),1.730,2.130
4,12:13,1,10,GNB 48,13,17,AJ Dillon up the middle for 3 yards (tackle by Divine Deablo and John Jenkins),2.130,1.990
4,11:29,2,7,LVR 49,13,17,AJ Dillon right guard for 3 yards (tackle by Divine Deablo and John Jenkins),1.990,1.680
4,10:46,3,4,LVR 46,13,17,Jordan Love pass complete short right to Luke Musgrave for 6 yards (tackle by Divine Deablo),1.680,2.920
4,10:06,1,10,LVR 40,13,17,Jordan Love sacked by Maxx Crosby for -7 yards,2.920,1.430
4,9:22,2,17,LVR 47,13,17,Jordan Love pass short right (defended by Marcus Peters) intended for Christian Watson is intercepted by Robert Spillane at LV-38 and returned for 4 yards (tackle by Patrick Taylor),1.430,-1.730
4,9:11,1,10,LVR 42,13,17,Jimmy Garoppolo pass complete short left to Jakobi Meyers for 6 yards (tackle by Rasul Douglas),1.730,2.000
4,8:40,2,4,LVR 48,13,17,Josh Jacobs left guard for 1 yard (tackle by Rudy Ford),2.000,1.420
4,8:01,3,3,LVR 49,13,17,Jimmy Garoppolo sacked by Rashan Gary for -5 yards,1.420,-0.460
4,7:10,4,8,LVR 44,13,17,"Penalty on LVR: Delay of Game, 5 yards (accepted) (no play)",-0.460,-0.780
4,7:10,4,13,LVR 39,13,17,"AJ Cole punts 44 yards, fair catch by Jayden Reed at GB-17",-0.780,0.060
4,7:03,1,10,GNB 17,13,17,"Jordan Love scrambles left end for no gain (tackle by Robert Spillane). Penalty on Tucker Kraft: Offensive Holding, 8 yards (accepted) (no play)",-0.060,-0.680
4,6:34,1,18,GNB 9,13,17,Jordan Love pass complete short left to Christian Watson for 8 yards (tackle by Robert Spillane and Roderic Teamer),-0.680,-0.580
4,5:53,2,10,GNB 17,13,17,Jordan Love pass incomplete short left intended for AJ Dillon,-0.580,-1.250
4,5:50,3,10,GNB 17,13,17,Jordan Love pass incomplete deep middle intended for Christian Watson,-1.250,-2.320
4,5:43,4,10,GNB 17,13,17,"Daniel Whelan punts 50 yards, fair catch by DeAndre Carter at LV-33",-2.320,-1.140
4,5:35,1,10,LVR 33,13,17,Josh Jacobs right guard for 2 yards (tackle by Isaiah McDuffie and Eric Wilson),1.140,0.860
4,4:52,2,8,LVR 35,13,17,Jimmy Garoppolo pass complete short middle to Josh Jacobs for 11 yards (tackle by Keisean Nixon and Eric Wilson),0.860,1.990
4,4:12,1,10,LVR 46,13,17,Josh Jacobs up the middle for 8 yards (tackle by Jaire Alexander),1.990,2.530
4,3:30,2,2,GNB 46,13,17,Josh Jacobs left tackle for 4 yards (tackle by Isaiah McDuffie),2.530,2.790
4,3:23,,,,,,Timeout #1 by Green Bay Packers,,
4,3:23,1,10,GNB 42,13,17,Josh Jacobs right guard for -1 yards (tackle by Jonathan Owens and Kenny Clark),2.790,2.110
4,2:43,2,11,GNB 43,13,17,Jimmy Garoppolo pass complete short middle to Josh Jacobs for 5 yards (tackle by Kenny Clark),2.110,2.080
4,2:35,,,,,,Timeout #2 by Green Bay Packers,,
4,2:35,3,6,GNB 38,13,17,Ameer Abdullah up the middle for 4 yards (tackle by Devonte Wyatt and Kenny Clark),2.080,1.100
4,2:00,4,2,GNB 34,13,17,Daniel Carlson 52 yard field goal no good,1.100,-1.730
4,1:56,1,10,GNB 42,13,17,Jordan Love pass complete short right to Luke Musgrave for 7 yards (tackle by Marcus Peters),1.730,2.130
4,1:51,2,3,GNB 49,13,17,"Jordan Love pass complete to Patrick Taylor for 2 yards Replay Assistant challenged the short of the line to gain ruling, and the original play was overturned. Jordan Love pass complete short right to Patrick Taylor for 3 yards (tackle by Marcus Peters)",2.130,2.390
4,1:47,1,10,LVR 48,13,17,Jordan Love pass complete short left to Luke Musgrave for 8 yards (tackle by Tyler Hall and Robert Spillane),2.390,2.930
4,1:28,2,2,LVR 40,13,17,Jordan Love pass incomplete short left intended for Patrick Taylor,2.930,2.210
4,1:22,3,2,LVR 40,13,17,Patrick Taylor up the middle for 5 yards (tackle by Bilal Nichols),2.210,3.250
4,0:59,1,10,LVR 35,13,17,Jordan Love pass incomplete short right intended for Romeo Doubs,3.250,2.700
4,0:55,2,10,LVR 35,13,17,Jordan Love pass incomplete short middle intended for Luke Musgrave,2.700,2.010
4,0:51,3,10,LVR 35,13,17,Jordan Love pass deep left intended for Christian Watson is intercepted by Amik Robertson in end zone and returned for no gain,2.010,-0.280
4,0:44,1,10,LVR 20,13,17,Jimmy Garoppolo kneels for -1 yards,0.280,-0.460
4,0:12,2,11,LVR 19,13,17,Jimmy Garoppolo kneels for -1 yards,-0.460,-1.330
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
