Quarter,Time,Down,ToGo,Location,BAL,NYG,Detail,EPB,EPA
3,2:13,1,10,BAL 30,10,20,Willis McGahee left end for 1 yard (tackle by Danny Clark),0.940,0.530
3,1:40,2,9,BAL 31,10,20,Joe Flacco pass incomplete short middle intended for Todd Heap,0.530,-0.160
3,1:33,3,9,BAL 31,10,20,Joe Flacco pass complete short middle to Ray Rice for 11 yards (tackle by Michael Johnson),-0.160,1.730
3,0:57,1,10,BAL 42,10,20,Ray Rice right tackle for 5 yards (tackle by Terrell Thomas and Danny Clark),1.730,1.860
3,0:25,2,5,BAL 47,10,26,"Joe Flacco pass incomplete short left intended for Derrick Mason is intercepted by Aaron Ross at 50 and returned for 50 yards, touchdown",1.860,-7.000
3,,,,BAL 2,10,27,Lawrence Tynes kicks extra point good,0.000,0.000
3,,,,NYG 30,10,27,"Lawrence Tynes kicks off 68 yards, returned by Yamon Figurs for 29 yards (tackle by Domenik Hixon)",0.000,1.000
3,0:08,1,10,BAL 31,10,27,Joe Flacco for 30 yards (tackle by James Butler),1.000,2.980
Quarter,Time,Down,ToGo,Location,BAL,NYG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NYG 39,10,27,Joe Flacco pass incomplete short right intended for Le'Ron McClain,2.980,2.440
4,14:54,2,10,NYG 39,10,27,Joe Flacco pass incomplete deep left intended for Mark Clayton (defended by Corey Webster),2.440,1.750
4,14:48,3,10,NYG 39,10,27,Joe Flacco pass incomplete short left intended for Todd Heap,1.750,0.660
4,14:42,4,10,NYG 39,10,27,Sam Koch punts 18 yards,0.660,-0.340
4,14:31,1,10,NYG 21,10,27,Ahmad Bradshaw left tackle for 77 yards (tackle by Fabian Washington),0.340,6.740
4,13:37,,,,10,27,Timeout #1 by New York Giants,0.000,6.740
4,13:37,1,2,BAL 2,10,27,Eli Manning pass incomplete short left intended for Plaxico Burress (defended by Samari Rolle),6.740,5.720
4,13:31,2,2,BAL 2,10,27,Ahmad Bradshaw right guard for -2 yards (tackle by Haloti Ngata and Marques Douglas),5.720,4.490
4,12:50,3,4,BAL 4,10,27,Ahmad Bradshaw right end for 3 yards (tackle by Terrell Suggs and Justin Bannan),4.490,3.550
4,12:07,4,1,BAL 1,10,30,Lawrence Tynes 19 yard field goal good,3.550,3.000
4,,,,NYG 30,10,30,"Lawrence Tynes kicks off 71 yards, touchback",0.000,0.280
4,12:02,1,10,BAL 20,10,30,Joe Flacco pass complete short right to Le'Ron McClain for 9 yards (tackle by Antonio Pierce),0.280,0.950
4,11:31,2,1,BAL 29,10,30,Le'Ron McClain left guard for 3 yards (tackle by Antonio Pierce),0.950,1.070
4,10:58,1,10,BAL 32,10,30,Ray Rice left tackle for 5 yards (tackle by Danny Clark),1.070,1.200
4,10:26,2,5,BAL 37,10,30,Ray Rice left tackle for 3 yards (tackle by Chase Blackburn),1.200,0.890
4,9:55,3,2,BAL 40,10,30,Ray Rice left tackle for 3 yards (tackle by Antonio Pierce),0.890,1.800
4,9:27,1,10,BAL 43,10,30,"Joe Flacco pass complete short left to Ray Rice for 5 yards (tackle by Antonio Pierce and Bryan Kehl). Penalty on Oniel Cousins: Offensive Holding, 10 yards (no play)",1.800,1.140
4,9:05,1,20,BAL 33,10,30,"Penalty on Barry Cofield: Encroachment, 5 yards (no play)",1.140,1.470
4,8:45,1,15,BAL 38,10,30,Joe Flacco pass complete short left to Ray Rice for -1 yards (tackle by Antonio Pierce and Corey Webster),1.470,0.440
4,8:03,2,16,BAL 37,10,30,Le'Ron McClain left end for 7 yards (tackle by Corey Webster and Mathias Kiwanuka),0.440,0.690
4,7:21,3,9,BAL 44,10,30,Joe Flacco pass complete short right to Todd Heap for 3 yards (tackle by Sam Madison),0.690,-0.260
4,6:37,4,6,BAL 47,10,30,Joe Flacco pass complete short right to Todd Heap for 12 yards (tackle by Michael Johnson),-0.260,2.850
4,6:12,1,10,NYG 41,10,30,Ray Rice left guard for -1 yards (tackle by Terrell Thomas),2.850,2.170
4,5:41,2,11,NYG 42,10,30,Joe Flacco pass incomplete short middle intended for Derrick Mason (defended by Terrell Thomas),2.170,1.490
4,5:34,3,11,NYG 42,10,30,Joe Flacco pass incomplete short middle intended for Le'Ron McClain,1.490,0.460
4,5:30,4,11,NYG 42,10,30,Joe Flacco sacked by Mathias Kiwanuka for -10 yards,0.460,-2.390
4,5:22,1,10,BAL 48,10,30,Ahmad Bradshaw right guard for 1 yard (tackle by Justin Bannan and Trevor Pryce),2.390,1.980
4,4:38,2,9,BAL 47,10,30,Ahmad Bradshaw left tackle for 1 yard (tackle by Haloti Ngata and Ray Lewis),1.980,1.420
4,3:51,3,8,BAL 46,10,30,Eli Manning pass complete short middle to Domenik Hixon for 16 yards (tackle by Fabian Washington),1.420,3.580
4,3:05,1,10,BAL 30,10,30,Ahmad Bradshaw right guard for 3 yards (tackle by Bart Scott and Jim Leonhard),3.580,3.440
4,2:22,2,7,BAL 27,10,30,Ahmad Bradshaw right tackle for 5 yards (tackle by Bart Scott and Samari Rolle),3.440,3.400
4,2:00,3,2,BAL 22,10,30,Ahmad Bradshaw left tackle for 6 yards (tackle by Jim Leonhard),3.400,4.510
4,1:16,1,10,BAL 16,10,30,Eli Manning kneels for -2 yards,4.510,3.640
4,0:37,2,12,BAL 18,10,30,Eli Manning kneels for -1 yards,3.640,2.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
