Quarter,Time,Down,ToGo,Location,BAL,KAN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,7,KAN 49,23,7,Matt Cassel pass incomplete deep left intended for Verran Tucker. Penalty on Branden Albert: Offensive Holding (Declined),1.160,-0.130
4,14:54,4,7,KAN 49,23,7,"Dustin Colquitt punts 51 yards, touchback",-0.130,-0.280
4,14:46,1,10,BAL 20,23,7,Donte' Stallworth left end for 1 yard (tackle by Tamba Hali),0.280,-0.130
4,14:09,2,9,BAL 21,23,7,"Joe Flacco pass complete short right to Ray Rice for 4 yards (tackle by Jovan Belcher). Penalty on Donte' Stallworth: Offensive Pass Interfere, 10 yards (no play)",-0.130,-1.440
4,13:56,2,19,BAL 11,23,7,Ray Rice middle for 14 yards (tackle by Kendrick Lewis),-1.440,-0.300
4,13:12,3,5,BAL 25,23,7,Joe Flacco pass complete short middle to Todd Heap for 8 yards (tackle by Jon McGraw and Derrick Johnson),-0.300,1.140
4,12:27,1,10,BAL 33,23,7,Ray Rice middle for 8 yards (tackle by Shaun Smith),1.140,1.670
4,11:40,2,2,BAL 41,23,7,Ray Rice middle for 2 yards (tackle by Glenn Dorsey),1.670,1.800
4,10:53,1,10,BAL 43,23,7,Ray Rice middle for 3 yards (tackle by Shaun Smith),1.800,1.660
4,10:13,2,7,BAL 46,23,7,Willis McGahee middle for -2 yards (tackle by Shaun Smith and Derrick Johnson),1.660,0.690
4,9:28,3,9,BAL 44,23,7,Joe Flacco pass complete short middle to Todd Heap for 6 yards (tackle by Eric Berry),0.690,-0.060
4,8:41,4,3,,23,7,"Sam Koch punts 49 yards. Penalty on Demorrio Williams: Defensive Offside, 5 yards (no play)",-0.060,2.590
4,8:28,1,10,KAN 45,23,7,Willis McGahee middle for 3 yards (tackle by Derrick Johnson),2.590,2.450
4,7:49,2,7,KAN 42,23,7,Willis McGahee middle for 2 yards (tackle by Tamba Hali),2.450,2.010
4,7:17,3,5,KAN 40,23,7,Joe Flacco pass complete short left to Anquan Boldin for 6 yards (tackle by Javier Arenas),2.010,3.310
4,6:37,1,10,KAN 34,23,7,Ray Rice middle for 5 yards (tackle by Jovan Belcher),3.310,3.450
4,5:57,2,5,KAN 29,23,7,Ray Rice middle for 3 yards (tackle by Kendrick Lewis),3.450,3.140
4,5:12,3,2,KAN 26,23,7,Ray Rice middle for 1 yard (tackle by Glenn Dorsey),3.140,1.950
4,4:32,4,1,KAN 25,29,7,"Willis McGahee middle for 25 yards, touchdown",1.950,7.000
4,,,,KAN 2,30,7,Billy Cundiff kicks extra point good,0.000,0.000
4,,,,BAL 30,30,7,Billy Cundiff kicks off 58 yards,0.000,1.600
4,4:26,1,10,KAN 40,30,7,Matt Cassel sacked by Terrell Suggs for -2 yards,1.600,0.780
4,4:10,2,12,KAN 38,30,7,Matt Cassel pass incomplete deep right,0.780,0.100
4,4:05,3,12,KAN 38,30,7,Matt Cassel sacked by Ray Lewis for -10 yards,0.100,-1.500
4,3:37,4,22,KAN 28,30,7,Matt Cassel pass incomplete deep left intended for Verran Tucker is intercepted by Josh Wilson at BAL-34,-1.500,-1.200
4,3:32,1,10,BAL 34,30,7,Jalen Parmele middle for 3 yards (tackle by Jovan Belcher),1.200,1.060
4,2:50,2,7,BAL 37,30,7,Jalen Parmele middle for 6 yards (tackle by Kendrick Lewis),1.060,1.160
4,2:06,3,1,BAL 43,30,7,Jalen Parmele middle for 3 yards (tackle by Glenn Dorsey),1.160,1.990
4,2:00,1,10,BAL 46,30,7,Jalen Parmele middle for 1 yard (tackle by Ron Edwards),1.990,1.590
4,1:16,2,9,BAL 47,30,7,Joe Flacco kneels for -1 yards,1.590,0.760
4,0:39,3,10,BAL 46,30,7,Joe Flacco kneels for -1 yards,0.760,-0.390
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
