Quarter,Time,Down,ToGo,Location,ATL,MIA,Detail,EPB,EPA
2,10:57,1,10,ATL 23,7,6,"Ricky Williams left guard for 23 yards, touchdown",4.040,7.000
2,,,,ATL 2,7,7,Olindo Mare kicks extra point good,0.000,0.000
2,,,,MIA 30,7,7,"Olindo Mare kicks off 70 yards, returned by Allen Rossum for 16 yards (tackle by Sammy Morris). Penalty on John Leake: Illegal Block Above the , 8 yards",0.000,-0.380
2,10:44,1,10,ATL 8,7,7,Michael Vick pass complete to Roddy White for 15 yards (tackle by Zach Thomas and Travares Tillman),-0.380,0.480
2,10:10,1,10,ATL 23,7,7,Michael Vick left end for 3 yards (tackle by Travis Daniels),0.480,0.340
2,9:38,2,7,ATL 26,7,7,Warrick Dunn right guard for -1 yards (tackle by Kevin Carter),0.340,-0.490
2,8:58,3,8,ATL 25,7,7,Michael Vick pass complete to Roddy White for 20 yards (tackle by Travis Daniels),-0.490,1.930
2,8:11,1,10,ATL 45,7,7,Michael Vick pass complete to Warrick Dunn for 9 yards (tackle by Junior Seau and Kevin Carter),1.930,2.600
2,7:32,2,1,MIA 46,7,7,Warrick Dunn right tackle for 1 yard (tackle by Jeff Zgonina and Junior Seau),2.600,2.590
2,6:55,1,10,MIA 45,7,7,Roddy White right end for 16 yards (tackle by Travis Daniels and David Bowens),2.590,3.640
2,6:13,1,10,MIA 29,7,7,Michael Vick pass incomplete intended for Alge Crumpler (defended by Sam Madison),3.640,3.100
2,6:07,2,10,MIA 29,7,7,Warrick Dunn left guard for 21 yards (tackle by Travares Tillman),3.100,5.370
2,5:32,1,8,MIA 8,7,7,Justin Griffith right tackle for 7 yards (tackle by Matt Roth),5.370,5.910
2,4:55,2,1,MIA 1,7,7,"Michael Vick pass complete to Brian Finneran for 1 yard. Penalty on Kevin Shaffer: Offensive Holding, 10 yards (no play)",5.910,4.020
2,4:51,2,11,MIA 11,7,7,Michael Vick pass incomplete intended for Roddy White,4.020,3.120
2,4:44,3,11,MIA 11,13,7,"Michael Vick pass complete to Brian Finneran for 11 yards, touchdown. Penalty on Lance Schulters: Defensive Offside (Declined)",3.120,7.000
2,,,,MIA 2,14,7,Todd Peterson kicks extra point good,0.000,0.000
2,,,,ATL 30,14,7,"Michael Koenen kicks off 79 yards, touchback",0.000,0.280
2,4:40,1,10,MIA 20,14,7,"Gus Frerotte pass incomplete intended for Marty Booker. Penalty on Antwan Lake: Defensive Offside, 5 yards (no play)",0.280,1.010
2,4:36,1,5,MIA 25,14,7,Gus Frerotte pass incomplete intended for Chris Chambers,1.010,0.410
2,4:31,2,5,MIA 25,14,7,Ricky Williams left tackle for -1 yards (tackle by Chauncey Davis),0.410,-0.430
2,3:50,3,6,MIA 24,14,7,"Penalty on Jeno James: False Start, 5 yards (no play)",-0.430,-1.140
2,3:33,3,11,MIA 19,14,7,Gus Frerotte pass incomplete intended for Ronnie Brown,-1.140,-2.140
2,3:28,4,11,MIA 19,14,7,"Donnie Jones punts 50 yards, muffed catch by Allen Rossum, recovered by Yeremiah Bell and returned for no gain",-2.140,4.650
2,3:14,1,10,ATL 14,14,7,Ronnie Brown right guard for 1 yard (tackle by Patrick Kerney and Bryan Scott),4.650,4.160
2,2:36,2,9,ATL 13,14,7,Gus Frerotte pass incomplete intended for Randy McMichael,4.160,3.260
2,2:31,,,,14,7,Timeout #1 by Miami Dolphins,0.000,3.260
2,2:31,3,9,ATL 13,14,7,Gus Frerotte pass complete to Randy McMichael for 4 yards (tackle by Allen Rossum and Chad Lavalais),3.260,2.880
2,2:00,4,5,ATL 9,14,10,Olindo Mare 28 yard field goal good,2.880,3.000
2,,,,MIA 30,14,10,"Olindo Mare kicks off 72 yards, returned by Allen Rossum for 23 yards (tackle by Derrick Pope)",0.000,0.340
2,1:51,1,10,ATL 21,14,10,Warrick Dunn for 9 yards (tackle by Vonnie Holliday),0.340,1.020
2,1:19,2,1,ATL 30,14,10,Michael Vick pass complete to Brian Finneran for 11 yards (tackle by Zach Thomas),1.020,1.660
2,1:00,1,10,ATL 41,14,10,Michael Vick pass complete to Warrick Dunn for 4 yards (tackle by Travis Daniels),1.660,1.660
2,0:53,2,6,ATL 45,14,10,Justin Griffith left guard for 2 yards (tackle by Zach Thomas),1.660,1.220
2,0:46,,,,14,10,Timeout #2 by Atlanta Falcons,0.000,1.220
2,0:46,3,4,ATL 47,14,10,Michael Vick pass incomplete intended for Brian Finneran,1.220,-0.260
2,0:40,4,4,ATL 47,14,10,Michael Koenen punts 48 yards,-0.260,0.380
2,0:28,1,10,MIA 5,14,10,Gus Frerotte kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,ATL,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 30,14,10,"Michael Koenen kicks off 63 yards, returned by Wes Welker for 22 yards (tackle by Fred McCrary)",0.000,0.870
3,14:54,1,10,MIA 29,14,10,Gus Frerotte pass complete to Marty Booker for 7 yards,0.870,1.270
3,14:31,2,3,MIA 36,14,10,Ronnie Brown up the middle for 15 yards (tackle by Michael Boley and Jonathan Babineaux),1.270,2.320
3,13:57,1,10,ATL 49,14,10,Ronnie Brown right tackle for 15 yards (tackle by Keith Brooking),2.320,3.310
3,13:31,1,10,ATL 34,14,10,Ronnie Brown up the middle for -4 yards (tackle by Michael Boley and Demorrio Williams),3.310,2.230
3,12:46,2,14,ATL 38,14,10,Ricky Williams up the middle for 2 yards (tackle by Chad Lavalais),2.230,1.820
3,12:05,3,12,ATL 36,14,10,"Penalty on Jeno James: False Start, 5 yards (no play)",1.820,1.160
3,11:48,3,17,ATL 41,14,10,Gus Frerotte pass incomplete intended for Wes Welker,1.160,0.530
3,11:40,4,17,ATL 41,14,10,Donnie Jones punts 35 yards,0.530,0.380
3,11:31,1,10,ATL 6,14,10,"Michael Vick pass complete to Brian Finneran for 14 yards (tackle by Sam Madison). Penalty on Channing Crowder: Personal Foul, 15 yards",-0.380,1.270
3,11:01,1,10,ATL 35,14,10,Michael Vick pass complete to Brian Finneran for 12 yards (tackle by Travis Daniels),1.270,2.060
3,10:30,1,10,ATL 47,14,10,Warrick Dunn right tackle for 9 yards (tackle by Channing Crowder and Junior Seau),2.060,2.730
3,9:48,2,1,MIA 44,14,10,Michael Vick left end for 6 yards (tackle by Zach Thomas),2.730,3.050
3,9:26,1,10,MIA 38,14,10,Warrick Dunn right tackle for 3 yards (tackle by Zach Thomas),3.050,2.910
3,8:49,2,7,MIA 35,14,10,Warrick Dunn right tackle for 3 yards (tackle by Zach Thomas and Matt Roth),2.910,2.610
3,8:12,3,4,MIA 32,14,10,Michael Vick left end for 6 yards (tackle by Travares Tillman),2.610,3.840
3,7:23,1,10,MIA 26,14,10,Warrick Dunn up the middle for 4 yards (tackle by Lance Schulters),3.840,3.840
3,6:47,2,6,MIA 22,14,10,"Michael Vick pass complete to Warrick Dunn for 3 yards (tackle by Zach Thomas). Warrick Dunn fumbles (forced by Zach Thomas), ball out of bounds at MIA-19",3.840,3.570
3,6:19,3,3,MIA 19,14,10,Michael Vick pass complete to Roddy White for 15 yards (tackle by Sam Madison),3.570,6.280
3,5:42,1,4,MIA 4,14,10,Warrick Dunn right guard for 2 yards (tackle by Kevin Carter),6.280,5.720
3,5:08,2,2,MIA 2,14,10,Warrick Dunn up the middle for -1 yards (tackle by Zach Thomas),5.720,4.720
3,4:25,3,3,MIA 3,14,10,Michael Vick pass incomplete intended for Brian Finneran,4.720,3.040
3,4:20,4,3,MIA 3,17,10,Todd Peterson 21 yard field goal good,3.040,3.000
3,,,,ATL 30,17,10,"Michael Koenen kicks off 71 yards, returned by Wes Welker for 21 yards (tackle by Ike Reese)",0.000,0.280
3,4:08,1,10,MIA 20,17,10,Ricky Williams left end for 8 yards (tackle by Jason Webster),0.280,0.810
3,3:33,2,2,MIA 28,17,10,Gus Frerotte pass complete to Randy McMichael for 5 yards (tackle by Bryan Scott),0.810,1.140
3,2:57,1,10,MIA 33,17,10,Ricky Williams up the middle for 4 yards (tackle by Darrell Shropshire and Chauncey Davis),1.140,1.130
3,2:19,2,6,MIA 37,17,10,Gus Frerotte pass complete to Marty Booker for 8 yards (tackle by DeAngelo Hall),1.130,1.930
3,1:54,1,10,MIA 45,17,10,Ricky Williams up the middle for 6 yards (tackle by Darrell Shropshire),1.930,2.190
3,1:19,2,4,ATL 49,17,10,Ricky Williams left guard for 1 yard (tackle by Keith Brooking and Darrell Shropshire),2.190,1.620
3,0:41,3,3,ATL 48,17,10,Gus Frerotte pass incomplete intended for Ronnie Brown,1.620,0.070
3,0:36,4,3,ATL 48,17,10,Donnie Jones punts 26 yards,0.070,-0.410
3,0:25,1,10,ATL 22,17,10,Michael Vick pass incomplete intended for Brian Finneran,0.410,-0.130
3,0:20,2,10,ATL 22,17,10,Justin Griffith left tackle for 1 yard (tackle by Matt Roth),-0.130,-0.690
Quarter,Time,Down,ToGo,Location,ATL,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,9,ATL 23,17,10,Michael Vick pass complete to Alge Crumpler for 11 yards (tackle by Zach Thomas and Yeremiah Bell),-0.690,1.200
4,14:26,1,10,ATL 34,17,10,Justin Griffith left end for no gain (tackle by Channing Crowder),1.200,0.660
4,13:50,2,10,ATL 34,17,10,Michael Vick pass complete to Brian Finneran for 9 yards (tackle by Sam Madison),0.660,1.160
4,13:12,,,,17,10,Timeout #1 by Miami Dolphins,0.000,1.160
4,13:12,3,1,ATL 43,17,10,Warrick Dunn up the middle for 5 yards (tackle by Travares Tillman),1.160,2.130
4,12:35,1,10,ATL 48,17,10,Michael Vick pass incomplete intended for Roddy White,2.130,1.580
4,12:29,2,10,ATL 48,17,10,Warrick Dunn up the middle for 3 yards (tackle by Keith Traylor and Lance Schulters),1.580,1.290
4,11:44,3,7,MIA 49,17,10,Michael Vick pass complete to Alge Crumpler for 9 yards (tackle by Yeremiah Bell),1.290,2.920
4,10:54,1,10,MIA 40,17,10,Michael Vick pass complete to Alge Crumpler for 6 yards (tackle by Lance Schulters),2.920,3.180
4,10:10,2,4,MIA 34,17,10,Warrick Dunn left end for 3 yards (tackle by Travares Tillman),3.180,2.870
4,9:33,3,1,MIA 31,17,10,Michael Vick pass incomplete intended for Dwayne Blakley (defended by Travares Tillman),2.870,1.410
4,9:26,4,1,MIA 31,17,10,Warrick Dunn right guard for -4 yards (tackle by Keith Traylor and Zach Thomas),1.410,-1.270
4,9:21,1,10,MIA 35,17,10,"Penalty on Randy McMichael: False Start, 5 yards (no play)",1.270,0.940
4,9:21,1,15,MIA 30,17,10,Gus Frerotte pass complete to Randy McMichael for 12 yards (tackle by Jason Webster),0.940,1.670
4,8:55,2,3,MIA 42,17,10,Chris Chambers for -1 yards (tackle by Keion Carpenter),1.670,0.830
4,8:21,3,4,MIA 41,17,10,Gus Frerotte pass incomplete intended for Chris Chambers (defended by Jason Webster),0.830,-0.650
4,8:17,4,4,MIA 41,17,10,Donnie Jones punts 51 yards,-0.650,0.380
4,8:05,1,10,ATL 8,17,10,Michael Vick pass incomplete intended for Alge Crumpler,-0.380,-0.780
4,8:02,2,10,ATL 8,17,10,Warrick Dunn up the middle for 2 yards (tackle by Keith Traylor and Jeff Zgonina),-0.780,-1.190
4,7:21,3,8,ATL 10,17,10,Michael Vick sacked by Jason Taylor for -5 yards,-1.190,-2.490
4,6:48,4,13,ATL 5,17,10,"Michael Koenen punts 37 yards, muffed catch by Wes Welker, recovered by Reggie Howard and returned for no gain",-2.490,-2.790
4,6:38,1,10,ATL 42,17,10,Ronnie Brown right guard for 8 yards (tackle by Patrick Kerney),2.790,3.320
4,6:01,2,2,ATL 34,17,10,Ronnie Brown right tackle for 4 yards (tackle by Chad Lavalais),3.320,3.580
4,5:28,1,10,ATL 30,17,10,Gus Frerotte pass complete to Chris Chambers for 7 yards (tackle by Bryan Scott),3.580,3.980
4,4:49,2,3,ATL 23,17,10,Ricky Williams for 1 yard (tackle by Bryan Scott),3.980,3.400
4,4:43,3,2,ATL 22,17,10,Ronnie Brown left tackle for 1 yard (tackle by Keith Brooking and Demorrio Williams),3.400,2.210
4,4:12,4,1,ATL 21,17,10,Ronnie Brown right tackle for 5 yards (tackle by Demorrio Williams),2.210,4.510
4,3:28,1,10,ATL 16,17,10,Gus Frerotte pass complete to Sammy Morris for 2 yards (tackle by Michael Boley),4.510,4.210
4,2:52,2,8,ATL 14,17,10,Gus Frerotte pass complete to Wes Welker for 6 yards (tackle by Bryan Scott),4.210,4.620
4,2:47,3,2,ATL 8,17,10,Gus Frerotte pass incomplete intended for Chris Chambers is intercepted by Keion Carpenter at ATL-5 and returned for 1 yard,4.620,0.380
4,2:41,1,10,ATL 6,17,10,Warrick Dunn right guard for 2 yards (tackle by Jason Taylor),-0.380,-0.630
4,2:35,,,,17,10,Timeout #2 by Miami Dolphins,0.000,-0.630
4,2:35,2,8,ATL 8,17,10,Michael Vick pass complete to Brian Finneran for 2 yards (tackle by Travares Tillman),-0.630,-0.950
4,2:28,,,,17,10,Timeout #3 by Miami Dolphins,0.000,-0.950
4,2:28,3,6,ATL 10,17,10,Warrick Dunn left end for 8 yards (tackle by Travares Tillman),-0.950,0.040
4,2:00,1,10,ATL 18,17,10,Michael Vick kneels for -1 yards,0.040,-0.650
4,1:16,2,11,ATL 17,17,10,Michael Vick kneels for -1 yards,-0.650,-1.500
4,0:35,3,12,ATL 16,17,10,Michael Vick kneels for -1 yards,-1.500,-2.440
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
