Quarter,Time,Down,ToGo,Location,TAM,CLE,Detail,EPB,EPA
OT,6:48,2,12,CLE 19,17,17,"Jacoby Brissett scrambles for no gain. Penalty on Jedrick Wills: Offensive Holding, 9 yards (accepted) (no play)",-0.530,-1.580
OT,6:16,2,21,CLE 10,17,17,Jacoby Brissett pass incomplete deep left intended for David Njoku,-1.580,-2.710
OT,6:10,3,21,CLE 10,17,17,Kareem Hunt right tackle for 3 yards (tackle by Devin White),-2.710,-2.490
OT,5:39,4,18,CLE 13,17,17,"Corey Bojorquez punts 65 yards, returned by Jaelon Darden for 7 yards (tackle by Anthony Schwartz). Penalty on Zyon McCollum: Illegal Block Above the Waist, 10 yards (accepted)",-2.490,-0.150
OT,5:27,1,10,TAM 19,17,17,Rachaad White left guard for 5 yards (tackle by Jeremiah Owusu-Koramoah and Sione Takitaki),0.150,0.340
OT,4:48,2,5,TAM 24,17,17,Tom Brady pass complete short left to Chris Godwin for 14 yards (tackle by Thomas Graham),0.340,1.470
OT,4:14,1,10,TAM 38,17,17,Rachaad White right end for 1 yard (tackle by Jeremiah Owusu-Koramoah),1.470,1.060
OT,3:36,2,9,TAM 39,17,17,Tom Brady pass incomplete deep right intended for Mike Evans,1.060,0.370
OT,3:29,3,9,TAM 39,17,17,Tom Brady sacked by Myles Garrett for -4 yards,0.370,-1.040
OT,2:53,4,13,TAM 35,17,17,Jake Camarda punts 36 yards downed by Pat O'Connor,-1.040,-0.870
OT,2:45,1,10,CLE 29,17,17,Jacoby Brissett pass complete short right to Amari Cooper for 17 yards (tackle by Antoine Winfield and Devin White),0.870,1.990
OT,2:00,1,10,CLE 46,17,17,Nick Chubb right tackle for 4 yards (tackle by Devin White and Lavonte David),1.990,2.060
OT,1:37,2,5,CLE 50,17,17,Nick Chubb left tackle for 2 yards (tackle by Anthony Nelson),2.060,1.620
OT,0:47,3,3,TAM 48,17,17,"Jacoby Brissett pass complete to Amari Cooper for 46 yards (tackle by Dee Delaney) Replay Assistant challenged the runner was in bounds ruling, and the original play was overturned. Jacoby Brissett pass complete deep right to Amari Cooper for 45 yards (tackle by Dee Delaney)",1.620,6.510
OT,0:48,1,3,TAM 3,17,17,Nick Chubb right guard for no gain (tackle by Lavonte David),6.510,5.530
OT,0:24,,,,,,Timeout #1 by Cleveland Browns,,
OT,0:24,2,3,TAM 3,17,23,"Nick Chubb right guard for 3 yards, touchdown Penalty on TAM: Defensive Offside, 5 yards (declined)",5.530,6.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
