Quarter,Time,Down,ToGo,Location,SEA,IND,Detail,EPB,EPA
2,4:33,1,10,IND 46,19,14,Darrius Heyward-Bey left end for 7 yards (tackle by Earl Thomas),1.990,2.400
2,3:53,2,3,SEA 47,19,14,Andrew Luck pass complete short right to Coby Fleener for 4 yards,2.400,2.720
2,3:22,1,10,SEA 43,19,14,Trent Richardson right tackle for 1 yard (tackle by Jordan Hill),2.720,2.310
2,2:41,2,9,SEA 42,19,14,Andrew Luck pass incomplete short middle intended for Reggie Wayne,2.310,1.620
2,2:36,3,9,SEA 42,19,14,Andrew Luck pass complete short left to T.Y. Hilton for 13 yards (tackle by Brandon Browner),1.620,3.640
2,2:00,1,10,SEA 29,19,14,Trent Richardson up the middle for no gain (tackle by Brandon Mebane and Red Bryant),3.640,3.100
2,1:25,2,10,SEA 29,19,14,"Andrew Luck right end for 20 yards (tackle by Cliff Avril and Kam Chancellor). Penalty on Anthony Castonzo: Offensive Holding, 10 yards (no play)",3.100,1.750
2,1:16,2,20,SEA 39,19,14,Donald Brown left guard for 16 yards (tackle by Earl Thomas),1.750,1.750
2,1:08,2,20,SEA 39,19,14,Timeout #1 by Indianapolis Colts,1.750,3.200
2,1:08,3,4,SEA 23,19,14,Andrew Luck pass incomplete deep right intended for Darrius Heyward-Bey,3.200,2.000
2,1:03,4,4,SEA 23,19,17,Adam Vinatieri 41 yard field goal good,2.000,3.000
2,1:03,,,IND 35,19,17,"Pat McAfee kicks off 74 yards, touchback",0.000,-0.280
2,0:58,1,10,SEA 20,19,17,Russell Wilson pass complete short left to Golden Tate for 27 yards (tackle by Jerrell Freeman),0.280,0.280
2,0:48,1,10,SEA 20,19,17,Timeout #1 by Seattle Seahawks,0.280,2.060
2,0:48,1,10,SEA 47,19,17,Russell Wilson right end for 11 yards (tackle by Darius Butler),2.060,2.790
2,0:29,1,10,IND 42,19,17,"Russell Wilson pass complete deep left to Doug Baldwin for 18 yards (tackle by Darius Butler). Penalty on J.R. Sweezy: Ineligible Downfield Pass, 5 yards (no play)",2.790,2.460
2,0:25,1,15,IND 47,19,17,Russell Wilson pass incomplete deep right intended for Golden Tate,2.460,1.570
2,0:18,2,15,IND 47,19,17,Russell Wilson pass complete short left to Doug Baldwin for 6 yards,1.570,1.570
2,0:15,2,15,IND 47,19,17,Timeout #2 by Indianapolis Colts,1.570,1.680
2,0:15,3,9,IND 41,19,17,Russell Wilson pass incomplete deep left intended for Golden Tate (defended by Lawrence Guy),1.680,1.680
2,0:10,3,9,IND 41,19,17,Timeout #2 by Seattle Seahawks,1.680,0.530
2,0:10,4,9,IND 41,19,17,"Russell Wilson sacked by Robert Mathis for -7 yards. Erik Walden fumbles (forced by Marshawn Lynch), recovered by Russell Wilson at SEA-30 (tackle by Lawrence Guy)",0.530,0.000
Quarter,Time,Down,ToGo,Location,SEA,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 35,19,17,"Pat McAfee kicks off no gain, touchback",0.000,0.280
3,15:00,1,10,SEA 20,19,17,Marshawn Lynch right tackle for 18 yards (tackle by Antoine Bethea and Robert Mathis),0.280,1.470
3,14:17,1,10,SEA 38,19,17,Russell Wilson pass complete short right to Doug Baldwin for 27 yards,1.470,3.250
3,13:50,1,10,IND 35,19,17,Russell Wilson pass incomplete short left intended for Golden Tate (defended by Robert Mathis),3.250,2.700
3,13:43,2,10,IND 35,19,17,Marshawn Lynch left end for 1 yard (tackle by Fili Moala and Jerrell Freeman),2.700,2.700
3,12:56,2,10,IND 35,19,17,Timeout #1 by Seattle Seahawks,2.700,2.150
3,12:56,3,9,IND 34,19,17,Russell Wilson left tackle for 14 yards (tackle by Vontae Davis),2.150,4.240
3,12:13,1,10,IND 20,19,17,Marshawn Lynch left tackle for 2 yards (tackle by Jerrell Freeman and Cory Redding),4.240,3.960
3,11:34,2,8,IND 18,19,17,Russell Wilson pass incomplete deep left intended for Doug Baldwin,3.960,3.220
3,11:28,3,8,IND 18,19,17,Russell Wilson pass incomplete deep right intended for Sidney Rice,3.220,2.250
3,11:23,4,8,IND 18,22,17,Steven Hauschka 36 yard field goal good,2.250,3.000
3,11:23,,,SEA 35,22,17,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.280
3,11:18,1,10,IND 20,22,17,Trent Richardson left tackle for 16 yards (tackle by Earl Thomas),0.280,1.330
3,10:33,1,10,IND 36,22,17,Andrew Luck pass complete short right to Robert Hughes for 6 yards (tackle by K.J. Wright and Kam Chancellor),1.330,1.600
3,9:49,2,4,IND 42,22,17,"Andrew Luck sacked by Chris Clemons for -8 yards. Andrew Luck fumbles (forced by Chris Clemons), recovered by Cliff Avril at IND-30 (tackle by Hugh Thornton)",1.600,-3.580
3,9:42,1,10,IND 30,22,17,"Penalty on SEA: Offensive 12 On-field, 5 yards (no play)",3.580,3.250
3,9:42,1,15,IND 35,22,17,Russell Wilson pass incomplete deep right intended for Golden Tate (defended by Greg Toler),3.250,2.360
3,9:36,2,15,IND 35,22,17,Russell Wilson for 6 yards (tackle by Erik Walden),2.360,2.480
3,9:00,3,9,IND 29,22,17,Russell Wilson up the middle for 6 yards (tackle by Erik Walden),2.480,2.030
3,8:17,4,3,IND 23,25,17,Steven Hauschka 41 yard field goal good,2.030,3.000
3,8:17,,,SEA 35,25,17,"Steven Hauschka kicks off 74 yards, touchback",0.000,-0.280
3,8:12,1,10,IND 20,25,17,Trent Richardson left tackle for 2 yards (tackle by Michael Bennett),0.280,0.000
3,7:47,2,8,IND 22,25,17,Andrew Luck pass complete short left to Reggie Wayne for 9 yards (tackle by Brandon Browner),0.000,1.000
3,7:14,1,10,IND 31,25,17,Trent Richardson up the middle for 4 yards (tackle by Clinton McDonald),1.000,1.000
3,6:40,2,6,IND 35,25,17,Andrew Luck pass incomplete short left intended for Darrius Heyward-Bey,1.000,0.300
3,6:35,3,6,IND 35,25,17,Andrew Luck pass complete short middle to Coby Fleener for 11 yards (tackle by K.J. Wright),0.300,1.990
3,6:09,1,10,IND 46,25,17,Trent Richardson up the middle for 10 yards (tackle by Earl Thomas),1.990,2.650
3,5:35,1,10,SEA 44,25,17,Andrew Luck right tackle for 6 yards (tackle by K.J. Wright),2.650,2.920
3,4:58,2,4,SEA 38,25,17,Andrew Luck pass incomplete short left intended for Darrius Heyward-Bey,2.920,2.210
3,4:53,3,4,SEA 38,25,17,Andrew Luck pass complete short right to Reggie Wayne for 9 yards (tackle by Richard Sherman),2.210,3.640
3,4:22,1,10,SEA 29,25,23,"Andrew Luck pass complete deep left to T.Y. Hilton for 29 yards, touchdown",3.640,7.000
3,4:22,,,,25,23,"Two Point Attempt: Andrew Luck pass incomplete intended for Darrius Heyward-Bey, conversion fails. Penalty on Darrius Heyward-Bey: Illegal Touch Pass (Declined)",0.000,-1.000
3,4:22,,,IND 35,25,23,"Pat McAfee kicks off 74 yards, touchback",0.000,-0.280
3,4:16,1,10,SEA 20,25,23,Marshawn Lynch up the middle for 3 yards (tackle by Cory Redding),0.280,0.140
3,3:42,2,7,SEA 23,25,23,Russell Wilson pass complete short left to Luke Willson for 11 yards (tackle by Kavell Conner),0.140,1.200
3,3:17,1,10,SEA 34,25,23,Marshawn Lynch right tackle for no gain (tackle by Kavell Conner and Cory Redding),1.200,0.660
3,2:39,2,10,SEA 34,25,23,Russell Wilson pass complete short right to Marshawn Lynch for 5 yards (tackle by Kavell Conner),0.660,0.630
3,2:08,3,5,SEA 39,25,23,Russell Wilson pass complete deep left to Doug Baldwin for 27 yards (tackle by Delano Howell),0.630,3.310
3,1:42,1,10,IND 34,25,23,Russell Wilson sacked by Robert Mathis for 0 yards,3.310,2.770
3,1:12,2,10,IND 34,25,23,Russell Wilson pass complete short right to Golden Tate for 6 yards (tackle by Greg Toler and Antoine Bethea),2.770,2.870
3,0:44,3,4,IND 28,25,23,Russell Wilson pass incomplete short right intended for Marshawn Lynch,2.870,1.650
3,0:40,4,4,IND 28,28,23,Steven Hauschka 46 yard field goal good,1.650,3.000
3,0:40,,,SEA 35,28,23,"Steven Hauschka kicks off 69 yards, returned by David Reed for 28 yards (tackle by Heath Farwell). Penalty on Mario Harvey: Offensive Holding, 10 yards",0.000,0.280
3,0:28,1,10,IND 14,28,23,Donald Brown up the middle for 6 yards (tackle by Bruce Irvin),-0.280,0.150
Quarter,Time,Down,ToGo,Location,SEA,IND,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,IND 20,28,23,Donald Brown up the middle for 5 yards (tackle by Jordan Hill),0.150,0.610
4,14:31,1,10,IND 25,28,23,Andrew Luck pass complete short left to Donald Brown for no gain,0.610,0.060
4,14:02,2,10,IND 25,28,23,Andrew Luck pass incomplete short left intended for Darrius Heyward-Bey (defended by Brandon Browner),0.060,-0.620
4,13:56,3,10,IND 25,28,23,"Andrew Luck pass incomplete deep right intended for T.Y. Hilton. Penalty on Richard Sherman: Defensive Pass Interference, 16 yards (no play)",-0.620,1.660
4,13:51,1,10,IND 41,28,23,Trent Richardson right tackle for -1 yards (tackle by Brandon Mebane and Cliff Avril),1.660,0.990
4,13:18,2,11,IND 40,28,23,Andrew Luck pass complete short middle to T.Y. Hilton for 13 yards (tackle by K.J. Wright),0.990,2.460
4,12:35,1,10,SEA 47,28,23,Trent Richardson up the middle for 2 yards (tackle by Brandon Mebane and Kam Chancellor),2.460,2.180
4,11:55,2,8,SEA 45,28,23,Andrew Luck pass incomplete short right intended for Coby Fleener,2.180,1.490
4,11:50,3,8,SEA 45,28,23,Andrew Luck pass complete short right to T.Y. Hilton for 12 yards (tackle by Richard Sherman),1.490,3.380
4,11:14,1,10,SEA 33,28,23,Trent Richardson right guard for 1 yard (tackle by Kam Chancellor and Tony McDaniel),3.380,2.970
4,10:39,2,9,SEA 32,28,23,Andrew Luck right end for 5 yards (tackle by Earl Thomas),2.970,2.970
4,10:01,2,9,SEA 32,28,23,Timeout #2 by Seattle Seahawks,2.970,2.940
4,10:01,3,4,SEA 27,28,23,Andrew Luck pass complete short left to Reggie Wayne for 5 yards (tackle by Walter Thurmond),2.940,4.110
,,,,,,,"IND challenged the first down ruling, and the original play was overturned.",,
4,9:46,1,10,SEA 22,28,23,Andrew Luck pass complete deep right to Reggie Wayne for 19 yards (tackle by Earl Thomas),4.110,6.510
4,8:59,1,3,SEA 3,28,29,"Donald Brown up the middle for 3 yards, touchdown",6.510,7.000
4,8:55,1,3,SEA 3,28,29,Timeout #3 by Seattle Seahawks,6.510,0.000
4,8:59,,,,28,31,"Two Point Attempt: Andrew Luck pass complete to Reggie Wayne, conversion succeeds",0.000,1.000
4,8:59,,,IND 35,28,31,"Pat McAfee kicks off 74 yards, touchback",0.000,-0.280
4,8:55,1,10,SEA 20,28,31,Marshawn Lynch right end for 2 yards (tackle by Cory Redding and Fili Moala),0.280,0.000
4,8:12,2,8,SEA 22,28,31,Russell Wilson pass complete short left to Golden Tate for 6 yards (tackle by Jerrell Freeman),0.000,0.100
4,7:27,3,2,SEA 28,28,31,Russell Wilson left end for no gain (tackle by Jerrell Freeman),0.100,-1.500
4,6:46,4,2,SEA 28,28,31,"Jon Ryan punts 45 yards, fair catch by T.Y. Hilton",-1.500,-0.740
4,6:38,1,10,IND 27,28,31,Trent Richardson up the middle for 4 yards (tackle by Brandon Mebane and Kam Chancellor),0.740,0.740
4,5:52,2,6,IND 31,28,31,Andrew Luck pass complete deep left to Reggie Wayne for 19 yards (tackle by Walter Thurmond),0.740,2.260
4,5:21,1,10,,28,31,Trent Richardson left guard for 5 yards (tackle by K.J. Wright and Kam Chancellor),2.260,2.390
4,4:34,2,5,SEA 45,28,31,Andrew Luck pass incomplete short right intended for Darrius Heyward-Bey,2.390,1.690
4,4:30,3,5,SEA 45,28,31,Trent Richardson left tackle for 10 yards (tackle by Earl Thomas),1.690,3.250
4,3:44,1,10,SEA 35,28,31,Trent Richardson up the middle for 4 yards (tackle by Red Bryant and K.J. Wright),3.250,3.240
4,2:59,2,6,SEA 31,28,31,Trent Richardson up the middle for -3 yards (tackle by Michael Bennett and K.J. Wright),3.240,2.150
4,2:14,3,9,SEA 34,28,31,Donald Brown up the middle for 3 yards (tackle by Bobby Wagner),2.150,1.340
4,2:00,4,6,SEA 31,28,34,Adam Vinatieri 49 yard field goal good,1.340,3.000
4,2:00,,,IND 35,28,34,"Pat McAfee kicks off 74 yards, touchback",0.000,-0.280
4,1:55,1,10,SEA 20,28,34,Russell Wilson right tackle for 22 yards (tackle by Kavell Conner),0.280,1.730
4,1:47,1,10,SEA 42,28,34,Russell Wilson pass incomplete short right intended for Luke Willson,1.730,1.190
4,1:42,2,10,SEA 42,28,34,Russell Wilson pass incomplete deep left intended for Sidney Rice (defended by Darius Butler),1.190,0.500
4,1:36,3,10,SEA 42,28,34,"Penalty on Russell Wilson: Delay of Game, 5 yards (no play)",0.500,-0.160
4,1:36,3,15,SEA 37,28,34,Russell Wilson pass incomplete short right intended for Golden Tate (defended by Greg Toler),-0.160,-0.910
4,1:31,4,15,SEA 37,28,34,Russell Wilson pass incomplete deep left intended for Sidney Rice is intercepted by Darius Butler at IND-38,-0.910,-1.470
4,1:23,1,10,IND 38,28,34,Andrew Luck kneels for -1 yards,1.470,0.790
4,0:43,2,11,IND 37,28,34,Andrew Luck kneels for -1 yards,0.790,-0.030
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
