Quarter,Time,Down,ToGo,Location,TAM,NYJ,Detail,EPB,EPA
1,3:46,1,10,NYJ 44,0,2,Doug Martin left tackle for 5 yards (tackle by Antonio Allen),2.650,2.780
1,3:10,2,5,NYJ 39,0,2,Josh Freeman pass complete short right to Vincent Jackson for 7 yards (tackle by Antonio Allen),2.780,3.450
1,2:40,1,10,NYJ 32,0,2,Josh Freeman pass complete short left to Vincent Jackson for 12 yards (tackle by Antonio Cromartie and Demario Davis),3.450,4.240
1,1:56,1,10,NYJ 20,0,2,Doug Martin left tackle for 3 yards (tackle by David Harris),4.240,4.120
1,1:12,2,7,NYJ 17,6,2,"Josh Freeman pass complete deep left to Mike Williams for 17 yards, touchdown. Penalty on Dee Milliner: Unnecessary Roughness, 15 yards",4.120,7.000
1,1:12,,,NYJ 2,7,2,Rian Lindell kicks extra point good,0.000,0.000
1,1:07,1,10,NYJ 20,7,2,Geno Smith pass incomplete short left intended for Santonio Holmes (defended by Darrelle Revis),0.280,-0.270
1,1:03,2,10,NYJ 20,7,2,Bilal Powell right guard for 4 yards (tackle by Derek Landri),-0.270,-0.430
1,1:03,3,6,NYJ 24,7,2,"Penalty on Willie Colon: False Start, 5 yards (no play)",-0.430,-1.140
1,0:07,3,11,NYJ 19,7,2,Geno Smith pass complete short middle to Santonio Holmes for 13 yards (tackle by Dashon Goldson),-1.140,1.070
Quarter,Time,Down,ToGo,Location,TAM,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NYJ 32,7,2,Geno Smith pass incomplete short right intended for Chris Ivory,1.070,0.530
2,14:57,2,10,NYJ 32,7,2,Chris Ivory left tackle for 3 yards (tackle by Mason Foster),0.530,0.230
2,14:13,3,7,NYJ 35,7,2,Geno Smith pass complete short right to Tommy Bohanon for 21 yards (tackle by Mark Barron),0.230,2.650
2,13:36,1,10,TAM 44,7,2,Bilal Powell left tackle for -1 yards (tackle by Lavonte David and Dashon Goldson),2.650,1.980
2,12:58,2,11,TAM 45,7,2,Geno Smith pass complete short middle to Kellen Winslow for 3 yards (tackle by Da'Quan Bowers),1.980,1.690
2,12:17,3,8,TAM 42,7,2,"Geno Smith left end for 13 yards (tackle by Dashon Goldson). Penalty on TAM: Defensive Holding, 5 yards",1.690,3.970
2,11:53,1,10,TAM 24,7,2,Chris Ivory up the middle for -1 yards (tackle by Adrian Clayborn and Derek Landri),3.970,3.300
2,11:20,2,11,TAM 25,7,2,Geno Smith pass incomplete deep right intended for Stephen Hill,3.300,2.610
2,11:12,3,11,TAM 25,7,2,Geno Smith pass incomplete deep left intended for Clyde Gates,2.610,1.800
2,11:06,4,11,TAM 25,7,5,Nick Folk 43 yard field goal good,1.800,3.000
2,11:06,,,NYJ 35,7,5,"Nick Folk kicks off 65 yards, touchback",0.000,-0.280
2,11:01,1,10,TAM 20,7,5,Doug Martin left tackle for no gain (tackle by Demario Davis and Damon Harrison),0.280,-0.270
2,10:23,2,10,TAM 20,7,5,Doug Martin right guard for 5 yards (tackle by Damon Harrison and David Harris),-0.270,-0.270
2,10:00,2,10,TAM 20,7,5,Timeout #1 by New York Jets,-0.270,-0.300
2,10:00,3,5,TAM 25,7,5,Josh Freeman pass complete short middle to Vincent Jackson for 39 yards (tackle by Dawan Landry),-0.300,3.180
2,9:15,1,10,NYJ 36,7,5,"Doug Martin right end for 3 yards (tackle by Calvin Pace). Penalty on Davin Joseph: Offensive Holding, 10 yards (no play)",3.180,2.520
2,8:45,1,20,NYJ 46,7,5,Josh Freeman pass complete short right to Brian Leonard for 4 yards (tackle by Demario Davis),2.520,1.830
2,8:00,2,16,NYJ 42,7,5,Josh Freeman pass incomplete short right intended for Mike Williams,1.830,1.160
2,7:56,3,16,NYJ 42,7,5,Josh Freeman pass complete short right to Doug Martin for -3 yards (tackle by David Harris and Sheldon Richardson),1.160,0.270
2,7:11,4,19,NYJ 45,7,5,Michael Koenen punts 34 yards,0.270,0.370
2,7:03,1,10,NYJ 11,7,5,"Geno Smith sacked by Mason Foster for -6 yards. Geno Smith fumbles (forced by Mason Foster), recovered by Akeem Spence at NYJ-5 (tackle by D'Brickashaw Ferguson)",-0.370,-6.060
2,6:51,1,5,NYJ 5,13,5,"Doug Martin left tackle for 5 yards, touchdown",6.060,7.000
2,6:51,,,NYJ 2,14,5,Rian Lindell kicks extra point good,0.000,0.000
2,6:51,,,TAM 35,14,5,"Michael Koenen kicks off 65 yards, touchback",0.000,-0.280
2,6:46,1,10,NYJ 20,14,5,Geno Smith pass complete short middle to Jeremy Kerley for 11 yards (tackle by Leonard Johnson and Lavonte David),0.280,1.000
2,6:18,1,10,NYJ 31,14,5,Geno Smith pass complete short middle to Bilal Powell for 9 yards (tackle by Leonard Johnson),1.000,1.680
2,5:52,2,1,NYJ 40,14,5,Bilal Powell right guard for no gain (tackle by Akeem Spence),1.680,0.960
2,5:23,3,1,NYJ 40,14,5,Chris Ivory up the middle for 2 yards (tackle by Lavonte David and Jonathan Casillas),0.960,1.730
2,4:48,1,10,NYJ 42,14,5,"Geno Smith pass incomplete deep middle intended for Jeff Cumberland. Penalty on Dashon Goldson: Personal Foul, 15 yards (no play)",1.730,2.720
2,4:41,1,10,TAM 43,14,5,Chris Ivory right end for 3 yards (tackle by Dekoda Watson),2.720,2.580
2,4:41,2,7,TAM 40,14,5,Geno Smith pass incomplete short right intended for Stephen Hill is intercepted by Lavonte David at TAM-34 and returned for 7 yards (tackle by Nick Mangold),2.580,-1.660
2,4:05,1,10,TAM 41,14,5,Doug Martin right tackle for 2 yards (tackle by Garrett McIntyre),1.660,1.390
2,3:31,2,8,TAM 43,14,5,Josh Freeman pass complete short right to Nate Byham for 1 yard (tackle by Demario Davis),1.390,0.830
2,2:43,3,7,TAM 44,14,5,Josh Freeman pass incomplete deep right intended for Vincent Jackson is intercepted by Dawan Landry at NYJ-31 and returned for 38 yards (tackle by Vincent Jackson),0.830,-3.510
2,2:33,1,10,TAM 31,14,5,Geno Smith sacked by Mason Foster for -18 yards,3.510,0.540
2,2:00,2,28,TAM 49,14,5,Geno Smith pass complete short left to Konrad Reuland for 7 yards (tackle by Johnthan Banks),0.540,0.830
2,1:23,3,21,TAM 42,14,5,"Geno Smith pass complete short middle to Jeremy Kerley for 8 yards (tackle by Leonard Johnson). Penalty on Mark Barron: Unnecessary Roughness, 15 yards",0.830,4.310
2,1:15,1,10,TAM 19,14,5,"Geno Smith pass incomplete short right intended for Bilal Powell. Penalty on Austin Howard: Offensive Holding, 10 yards (no play)",4.310,3.640
2,1:09,1,20,TAM 29,14,5,Geno Smith pass complete short right to Stephen Hill for 4 yards,3.640,2.950
2,1:02,2,16,TAM 25,14,5,Geno Smith pass complete deep right to Kellen Winslow for 18 yards (tackle by Leonard Johnson),2.950,2.950
2,0:39,2,16,TAM 25,14,5,Timeout #2 by New York Jets,2.950,5.600
2,0:39,1,7,TAM 7,14,11,"Geno Smith pass complete short middle to Kellen Winslow for 7 yards, touchdown",5.600,7.000
2,0:39,,,TAM 2,14,12,Nick Folk kicks extra point good,0.000,0.000
2,0:39,,,NYJ 35,14,12,"Nick Folk kicks off 69 yards, returned by Kevin Ogletree for 25 yards (tackle by Darrin Walls)",0.000,-0.340
2,0:28,1,10,TAM 21,14,12,"Doug Martin up the middle for 7 yards (tackle by David Harris). Doug Martin fumbles (forced by David Harris), recovered by Jeremy Zuttah at TAM-28",0.340,0.750
Quarter,Time,Down,ToGo,Location,TAM,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 35,14,12,"Michael Koenen kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,NYJ 20,14,12,Geno Smith pass complete short left to Stephen Hill for 10 yards (tackle by Johnthan Banks),0.280,0.940
3,14:35,1,10,NYJ 30,14,12,Chris Ivory right end for 7 yards (tackle by Mark Barron),0.940,1.340
3,13:57,2,3,NYJ 37,14,12,Geno Smith pass complete short right to Stephen Hill for 4 yards (tackle by Lavonte David and Mark Barron),1.340,1.660
3,13:18,1,10,NYJ 41,14,12,Chris Ivory left guard for -1 yards (tackle by Adrian Clayborn),1.660,0.990
3,12:44,2,11,NYJ 40,14,12,Geno Smith pass complete short right to Kellen Winslow for 10 yards (tackle by Jonathan Casillas),0.990,1.620
3,12:06,3,1,,14,12,Bilal Powell up the middle for 4 yards (tackle by Leonard Johnson),1.620,2.520
3,11:31,1,10,TAM 46,14,12,Geno Smith sacked by Lavonte David for -6 yards. Penalty on D'Brickashaw Ferguson: Offensive Holding (Declined),2.520,1.170
3,11:08,2,16,NYJ 48,14,12,Geno Smith pass incomplete short right intended for Clyde Gates,1.170,0.500
3,11:03,3,16,NYJ 48,14,12,Geno Smith pass complete short middle to Kellen Winslow for 11 yards (tackle by Lavonte David),0.500,0.530
3,10:29,4,5,TAM 41,14,12,"Robert Malone punts 35 yards, fair catch by Eric Page",0.530,0.380
3,10:20,1,10,TAM 6,14,12,Josh Freeman pass incomplete short right intended for Doug Martin,-0.380,-0.780
3,10:16,2,10,TAM 6,14,12,Doug Martin right end for 2 yards (tackle by Calvin Pace),-0.780,-1.190
3,9:33,3,8,TAM 8,14,12,Josh Freeman pass complete short right to Mike Williams for 13 yards (tackle by Antonio Allen and Antwan Barnes),-1.190,0.340
3,9:06,1,10,TAM 21,14,12,Josh Freeman pass incomplete short right intended for Doug Martin,0.340,-0.200
3,9:03,2,10,TAM 21,14,12,Doug Martin up the middle for 1 yard (tackle by David Harris and Demario Davis),-0.200,-0.760
3,8:19,3,9,TAM 22,14,12,Josh Freeman pass complete short right to Vincent Jackson for 17 yards (tackle by Josh Bush),-0.760,1.530
3,7:49,1,10,TAM 39,14,12,Doug Martin left tackle for 1 yard (tackle by Sheldon Richardson),1.530,1.120
3,7:09,2,9,TAM 40,14,12,Josh Freeman pass complete short left to Mike Williams for 15 yards (tackle by David Harris and Antonio Allen),1.120,2.590
3,6:28,1,10,NYJ 45,14,12,Doug Martin up the middle for 1 yard (tackle by Kenrick Ellis),2.590,2.180
3,5:48,2,9,NYJ 44,14,12,Josh Freeman pass incomplete short right intended for Mike Williams,2.180,1.490
3,5:44,3,9,NYJ 44,14,12,"Josh Freeman sacked by Muhammad Wilkerson for 0 yards. Penalty on Muhammad Wilkerson: Defensive Offside, 5 yards (no play)",1.490,2.150
3,5:17,3,4,NYJ 39,14,12,Josh Freeman pass incomplete short left intended for Vincent Jackson,2.150,0.660
3,5:13,4,4,NYJ 39,14,12,Michael Koenen punts 35 yards,0.660,0.380
3,5:04,1,10,NYJ 4,14,12,Bilal Powell up the middle for 3 yards (tackle by Daniel Te'o-Nesheim),-0.380,-0.560
3,4:34,2,7,NYJ 7,14,12,Geno Smith pass incomplete short middle intended for Bilal Powell (defended by Lavonte David),-0.560,-1.070
3,4:29,3,7,NYJ 7,14,12,Geno Smith up the middle for 12 yards,-1.070,0.150
3,3:51,1,10,NYJ 19,14,12,Bilal Powell right end for 6 yards (tackle by Johnthan Banks),0.150,0.480
3,3:15,2,4,NYJ 25,14,12,Bilal Powell left guard for 2 yards (tackle by Dashon Goldson and Lavonte David),0.480,-0.030
3,2:32,3,2,NYJ 27,14,12,Geno Smith sacked by Dekoda Watson for -11 yards,-0.030,-2.390
3,2:24,4,13,NYJ 16,14,12,"Robert Malone punts 84 yards, touchback",-2.390,-0.280
3,2:16,1,10,TAM 20,14,12,Josh Freeman pass incomplete short left intended for Doug Martin,0.280,-0.270
3,2:12,2,10,TAM 20,14,12,Doug Martin right tackle for -2 yards (tackle by Damon Harrison),-0.270,-1.330
3,1:32,3,12,TAM 18,14,12,Josh Freeman pass incomplete short right intended for Vincent Jackson,-1.330,-2.240
3,1:29,4,12,TAM 18,14,12,"Michael Koenen punts 57 yards, out of bounds",-2.240,-0.610
3,1:22,1,10,NYJ 25,14,12,Geno Smith pass complete short left to Stephen Hill for 6 yards (tackle by Dashon Goldson),0.610,0.870
3,0:53,2,4,NYJ 31,14,12,"Penalty on D'Brickashaw Ferguson: False Start, 5 yards (no play)",0.870,0.200
3,0:36,2,9,NYJ 26,14,12,Geno Smith left end for 8 yards (tackle by Akeem Spence),0.200,0.560
Quarter,Time,Down,ToGo,Location,TAM,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,NYJ 34,14,12,Jeremy Kerley left end for -1 yards (tackle by Lavonte David),0.560,-1.180
4,14:24,4,2,NYJ 33,14,12,"Robert Malone punts 43 yards, returned by Eric Page for 2 yards (tackle by Ellis Lankster). Penalty on Michael Adams: Offensive Holding, 10 yards",-1.180,0.280
4,14:14,1,10,TAM 14,14,12,Josh Freeman pass incomplete short middle intended for Vincent Jackson,-0.280,-0.750
4,14:11,2,10,TAM 14,14,12,Doug Martin left tackle for 1 yard (tackle by Damon Harrison),-0.750,-1.280
4,13:28,3,9,TAM 15,14,12,Josh Freeman pass complete short right to Vincent Jackson for 22 yards (tackle by Dawan Landry),-1.280,1.400
4,13:03,1,10,TAM 37,14,12,Doug Martin right end for 3 yards (tackle by Dee Milliner),1.400,1.260
4,12:20,2,7,TAM 40,14,12,Doug Martin right tackle for 3 yards (tackle by Sheldon Richardson and Muhammad Wilkerson),1.260,0.960
4,11:42,3,4,TAM 43,14,12,Josh Freeman pass incomplete short right intended for Doug Martin,0.960,-0.520
4,11:37,4,4,TAM 43,14,12,Michael Koenen punts 34 yards,-0.520,-0.480
4,11:25,1,10,NYJ 23,14,12,Geno Smith pass incomplete short right intended for Chris Ivory,0.480,-0.070
4,11:20,2,10,NYJ 23,14,12,Bilal Powell up the middle for 4 yards (tackle by Adrian Clayborn),-0.070,-0.230
4,10:40,3,6,NYJ 27,14,12,"Geno Smith for 1 yard. Penalty on Leonard Johnson: Defensive Holding, 5 yards",-0.230,1.140
4,10:24,1,10,NYJ 33,14,12,"Bilal Powell right end for no gain (tackle by Jonathan Casillas). Bilal Powell fumbles (forced by Jonathan Casillas), recovered by Stephen Hill at NYJ-33",1.140,0.590
4,9:40,2,10,NYJ 33,14,12,Geno Smith pass complete deep right to Clyde Gates for 17 yards,0.590,2.260
4,9:17,1,10,,14,12,Geno Smith pass complete short right to Stephen Hill for 8 yards (tackle by Leonard Johnson),2.260,2.790
,,,,,,,"NYJ challenged the pass completion ruling, and the original play was overturned.",,
4,9:03,2,2,TAM 42,14,12,Chris Ivory right tackle for no gain (tackle by Mason Foster),2.790,2.080
4,8:25,3,2,TAM 42,14,12,Geno Smith pass complete short left to Bilal Powell for 6 yards (tackle by Darrelle Revis),2.080,3.180
4,8:00,1,10,TAM 36,14,12,Bilal Powell left guard for 2 yards (tackle by Gerald McCoy),3.180,2.910
4,7:23,2,8,TAM 34,14,12,Geno Smith pass complete short right to Bilal Powell for 14 yards (tackle by Michael Adams),2.910,4.240
4,6:36,1,10,TAM 20,14,12,Chris Ivory right tackle for 2 yards (tackle by Leonard Johnson),4.240,3.960
4,6:00,2,8,TAM 18,14,12,Geno Smith pass incomplete deep right intended for Stephen Hill,3.960,3.220
4,5:53,3,8,TAM 18,14,12,Geno Smith pass complete short right to Bilal Powell for 6 yards (tackle by Leonard Johnson),3.220,2.760
4,5:09,4,2,TAM 12,14,15,Nick Folk 30 yard field goal good,2.760,3.000
4,5:09,,,NYJ 35,14,15,"Nick Folk kicks off 72 yards, returned by Eric Page for 27 yards (tackle by Dawan Landry)",0.000,-0.280
4,5:00,1,10,TAM 20,14,15,Doug Martin right end for 1 yard (tackle by Dawan Landry),0.280,-0.130
4,4:15,2,9,TAM 21,14,15,"Penalty on Demar Dotson: False Start, 5 yards (no play)",-0.130,-0.940
4,4:15,2,14,TAM 16,14,15,Josh Freeman sacked by Calvin Pace and Sheldon Richardson for -10 yards,-0.940,-3.060
4,3:38,3,24,TAM 6,14,15,Josh Freeman pass incomplete deep middle intended for Vincent Jackson,-3.060,-2.490
4,3:33,4,24,TAM 6,14,15,"Michael Koenen punts 53 yards, fair catch by Kyle Wilson",-2.490,-1.660
4,3:25,1,10,NYJ 41,14,15,Chris Ivory right tackle for -1 yards (tackle by Daniel Te'o-Nesheim),1.660,0.990
4,2:41,2,11,NYJ 40,14,15,Geno Smith pass complete short right to Stephen Hill for 7 yards (tackle by Dekoda Watson and Mason Foster),0.990,0.990
4,2:30,2,11,NYJ 40,14,15,Timeout #1 by Tampa Bay Buccaneers,0.990,1.220
4,2:30,3,4,NYJ 47,14,15,Geno Smith sacked by Lavonte David for -1 yards,1.220,1.220
4,2:21,3,4,NYJ 47,14,15,Timeout #2 by Tampa Bay Buccaneers,1.220,-0.320
4,2:21,4,5,NYJ 46,14,15,"Robert Malone punts 54 yards, touchback",-0.320,-0.280
4,2:14,1,10,TAM 20,14,15,Josh Freeman pass incomplete deep middle intended for Mike Williams,0.280,-0.270
4,2:08,2,10,TAM 20,14,15,Doug Martin left guard for 17 yards (tackle by Jaiquawn Jarrett),-0.270,1.400
4,2:00,1,10,TAM 37,14,15,Josh Freeman pass incomplete short right intended for Kevin Ogletree,1.400,0.860
4,1:55,2,10,TAM 37,14,15,Josh Freeman pass incomplete short left intended for Kevin Ogletree,0.860,0.170
4,1:51,3,10,TAM 37,14,15,Josh Freeman pass complete short left to Vincent Jackson for 37 yards (tackle by Demario Davis),0.170,3.840
4,1:04,1,10,NYJ 26,14,15,Doug Martin up the middle for no gain (tackle by Sheldon Richardson),3.840,3.840
4,0:59,1,10,NYJ 26,14,15,Timeout #1 by New York Jets,3.840,3.300
4,0:59,2,10,NYJ 26,14,15,Doug Martin right tackle for 7 yards (tackle by Antonio Allen),3.300,3.300
4,0:50,2,10,NYJ 26,14,15,Timeout #2 by New York Jets,3.300,3.570
4,0:50,3,3,NYJ 19,14,15,Doug Martin right guard for no gain (tackle by Damon Harrison and Demario Davis),3.570,3.570
4,0:38,3,3,NYJ 19,14,15,Timeout #3 by New York Jets,3.570,2.280
4,0:38,4,3,NYJ 19,17,15,Rian Lindell 37 yard field goal good,2.280,3.000
4,0:38,,,TAM 35,17,15,"Michael Koenen kicks off 65 yards, touchback",0.000,-0.280
4,0:34,1,10,NYJ 20,17,15,Geno Smith pass incomplete short middle intended for Kellen Winslow (defended by Leonard Johnson),0.280,-0.270
4,0:29,2,10,NYJ 20,17,15,Geno Smith pass complete deep middle to Kellen Winslow for 25 yards (tackle by Mark Barron),-0.270,1.930
4,0:15,1,10,NYJ 45,17,15,Geno Smith spiked the ball,1.930,1.380
4,0:15,2,10,NYJ 45,17,15,"Geno Smith for 10 yards. Penalty on Lavonte David: Personal Foul, 15 yards",1.380,3.580
4,0:15,1,10,TAM 30,17,18,Nick Folk 48 yard field goal good,3.580,3.000
4,0:15,,,NYJ 35,17,18,"Nick Folk kicks off 37 yards, returned by Doug Martin for 40 yards (tackle by Jaiquawn Jarrett). Doug Martin fumbles, recovered by Ricky Sapp at NYJ-30",0.000,1.270
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
