Quarter,Time,Down,ToGo,Location,CAR,HOU,Detail,EPB,EPA
2,10:32,3,3,CAR 39,14,0,Cam Newton pass incomplete short middle intended for Steve Smith (defended by Quintin Demps),0.760,-0.780
2,10:27,4,3,CAR 39,14,0,"Jason Baker punts 47 yards, returned by Jacoby Jones for 8 yards (tackle by Captain Munnerlyn)",-0.780,-0.410
2,10:16,1,10,HOU 22,14,0,Ben Tate left tackle for 8 yards (tackle by Dan Connor),0.410,0.950
2,9:46,2,2,HOU 30,14,0,Ben Tate right guard for 4 yards (tackle by Frank Kearse),0.950,1.200
2,9:08,1,10,HOU 34,14,0,Arian Foster left end for 5 yards (tackle by Dan Connor),1.200,1.330
2,8:33,2,5,HOU 39,14,0,T.J. Yates pass complete short right to Lawrence Vickers for 6 yards (tackle by Jordan Senn),1.330,1.930
2,8:05,1,10,HOU 45,14,0,Arian Foster left tackle for 15 yards (tackle by Charles Godfrey and James Anderson),1.930,2.920
2,7:21,1,10,CAR 40,14,0,Ben Tate right end for 5 yards (tackle by Chris Gamble),2.920,3.050
2,6:46,2,5,CAR 35,14,0,"Ben Tate left guard for 2 yards (tackle by R.J. Stanford and Sherrod Martin). Penalty on Wade Smith: Offensive Holding, 10 yards",3.050,1.970
2,6:46,2,13,CAR 43,14,0,T.J. Yates pass incomplete short right intended for Owen Daniels,1.970,1.290
2,6:12,3,13,CAR 43,14,0,T.J. Yates pass incomplete short left intended for Kevin Walter is intercepted by Jordan Senn at CAR-31 and returned for 21 yards (tackle by Antoine Caldwell),1.290,-2.390
2,6:03,1,10,HOU 48,14,0,DeAngelo Williams left guard for -2 yards (tackle by Antonio Smith),2.390,1.580
2,5:20,2,12,,14,0,Cam Newton right end for 11 yards (tackle by DeMeco Ryans),1.580,2.340
2,4:45,3,1,HOU 39,14,0,Jonathan Stewart up the middle for 5 yards (tackle by Glover Quin),2.340,3.310
2,4:10,1,10,HOU 34,14,0,Armanti Edwards pass complete short left to Steve Smith for 11 yards (tackle by DeMeco Ryans),3.310,4.040
2,3:38,1,10,HOU 23,14,0,Jonathan Stewart up the middle for 6 yards (tackle by Shaun Cody and Brian Cushing),4.040,4.380
2,2:57,2,4,HOU 17,14,0,"Penalty on Jordan Gross: False Start, 5 yards (no play)",4.380,3.630
2,2:32,2,9,HOU 22,14,0,Cam Newton pass complete short left to Legedu Naanee for 7 yards (tackle by DeMeco Ryans and Shaun Cody),3.630,4.050
2,2:00,3,2,HOU 15,14,0,Jonathan Stewart right guard for 4 yards (tackle by Brian Cushing and J.J. Watt),4.050,4.840
2,1:23,1,10,HOU 11,14,0,Cam Newton pass complete short right to Richie Brockel for 4 yards (tackle by Brian Cushing),4.840,4.890
2,0:59,2,6,HOU 7,20,0,"Richie Brockel left end for 7 yards, touchdown",4.890,7.000
2,,,,,20,0,"Penalty on Byron Bell: False Start, 5 yards (no play)",0.000,0.000
2,,,,HOU 2,21,0,Olindo Mare kicks extra point good,0.000,0.000
2,,,,CAR 35,21,0,"Olindo Mare kicks off 71 yards, returned by Quintin Demps for 34 yards (tackle by Thomas Keiser)",0.000,0.810
2,0:48,1,10,HOU 28,21,0,"T.J. Yates pass incomplete short middle intended for Jacoby Jones. Penalty on Eric Winston: Offensive Holding, 10 yards (no play)",0.810,-0.040
2,0:44,1,20,HOU 18,21,0,T.J. Yates pass complete short right to Arian Foster for 5 yards (tackle by Jordan Senn),-0.040,-0.410
2,0:38,,,,21,0,Timeout #1 by Houston Texans,0.000,-0.410
2,0:38,2,15,HOU 23,21,0,"T.J. Yates for no gain. T.J. Yates fumbles, recovered by Arian Foster at HOU-18",-0.410,-1.090
Quarter,Time,Down,ToGo,Location,CAR,HOU,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 35,21,0,"Neil Rackers kicks off 71 yards, touchback",0.000,0.280
3,15:00,1,10,CAR 20,21,0,DeAngelo Williams right guard for no gain (tackle by Brian Cushing and J.J. Watt),0.280,-0.270
3,14:21,2,10,CAR 20,21,0,Cam Newton pass complete short middle to Greg Olsen for -2 yards (tackle by Brian Cushing and Glover Quin),-0.270,-1.330
3,13:36,3,12,CAR 18,21,0,Cam Newton pass complete short left to Jonathan Stewart for 5 yards (tackle by Brian Cushing),-1.330,-1.830
3,13:12,4,7,CAR 23,21,0,"Jason Baker punts 54 yards, returned by Jacoby Jones for 42 yards (tackle by Josh Vaughan)",-1.830,-3.250
3,12:54,1,10,CAR 35,21,0,Arian Foster left guard for 5 yards (tackle by Charles Johnson and Charles Godfrey),3.250,3.380
3,12:33,2,5,CAR 30,21,0,Arian Foster right guard for 18 yards (tackle by Jordan Pugh),3.380,4.780
3,11:54,1,10,CAR 12,21,0,Arian Foster left guard for 5 yards (tackle by Frank Kearse),4.780,5.020
3,11:21,2,5,CAR 7,21,0,T.J. Yates pass incomplete short right intended for Arian Foster,5.020,4.160
3,11:16,3,5,CAR 7,21,0,T.J. Yates pass incomplete short right intended for Kevin Walter (defended by Chris Gamble),4.160,2.980
3,11:10,4,5,CAR 7,21,3,Neil Rackers 26 yard field goal good,2.980,3.000
3,,,,HOU 35,21,3,"Neil Rackers kicks off 68 yards, returned by Kealoha Pilares for 21 yards (tackle by Jason Allen)",0.000,0.040
3,11:02,1,10,CAR 18,21,3,Cam Newton pass incomplete short right intended for Brandon LaFell,0.040,-0.490
3,10:57,2,10,CAR 18,21,3,Jonathan Stewart up the middle for no gain (tackle by J.J. Watt),-0.490,-1.170
3,10:15,3,10,CAR 18,21,3,Cam Newton right end for 17 yards (tackle by Quintin Demps),-1.170,1.270
3,9:28,1,10,CAR 35,21,3,"DeAngelo Williams right guard for no gain (tackle by Connor Barwin). Penalty on CAR: Illegal Formation, 5 yards (no play)",1.270,0.940
3,8:58,1,15,CAR 30,21,3,Cam Newton pass incomplete deep left intended for Brandon LaFell,0.940,0.050
3,8:52,2,15,CAR 30,21,3,Cam Newton pass incomplete short right intended for Jeremy Shockey (defended by DeMeco Ryans),0.050,-0.630
3,8:43,3,15,CAR 30,21,3,Cam Newton pass complete short middle to Jonathan Stewart for 3 yards (tackle by J.J. Watt and Connor Barwin),-0.630,-1.180
3,8:09,4,12,CAR 33,21,3,"Jason Baker punts 49 yards, returned by Jacoby Jones for 3 yards (tackle by Dan Connor). Penalty on Tim Dobbins: Illegal Block Above the Waist, 10 yards",-1.180,0.380
3,7:59,1,10,HOU 9,21,3,T.J. Yates pass complete short right to Lawrence Vickers for 4 yards (tackle by Chris Gamble and Jordan Senn),-0.380,-0.480
3,7:27,2,6,HOU 13,21,3,"T.J. Yates pass complete short left to Ben Tate for 10 yards (tackle by Jordan Senn). Penalty on Jordan Senn: Unnecessary Roughness (Offsetting), Penalty on Ben Tate: Face Mask (15 Yards) (Offsetting) (no play)",-0.480,-0.480
3,7:06,2,6,HOU 13,21,3,T.J. Yates pass incomplete short left intended for Bryant Johnson,-0.480,-0.950
3,7:00,3,6,HOU 13,21,3,T.J. Yates pass complete short middle to Kevin Walter for 7 yards (tackle by Chris Gamble),-0.950,0.280
,,,,,,,"CAR challenged the first down ruling, and the play was upheld.",,
3,6:43,1,10,HOU 20,21,3,T.J. Yates pass incomplete deep middle intended for Owen Daniels,0.280,-0.270
3,6:35,2,10,HOU 20,21,3,T.J. Yates pass complete short left to Joel Dreessen for 11 yards (tackle by Jordan Senn),-0.270,1.000
3,6:03,1,10,HOU 31,21,3,Arian Foster right end for 9 yards (tackle by Jordan Pugh),1.000,1.680
3,5:27,2,1,HOU 40,21,3,T.J. Yates pass complete short middle to Owen Daniels for 17 yards (tackle by R.J. Stanford),1.680,2.720
3,4:44,1,10,CAR 43,21,3,T.J. Yates pass complete short left to Arian Foster for 25 yards (tackle by Sherrod Martin),2.720,4.370
3,4:11,1,10,CAR 18,21,3,"Arian Foster left end for 4 yards (tackle by Dan Connor). Penalty on Joel Dreessen: Offensive Holding, 10 yards (no play)",4.370,3.710
3,3:50,1,20,CAR 28,21,3,T.J. Yates pass complete short middle to Owen Daniels for 12 yards (tackle by Jordan Senn),3.710,4.090
3,3:11,2,8,CAR 16,21,3,T.J. Yates pass incomplete deep right intended for Joel Dreessen,4.090,3.300
3,3:04,,,,21,3,Timeout #1 by Houston Texans,0.000,3.300
3,3:04,3,8,CAR 16,21,3,T.J. Yates pass incomplete short left intended for Bryant Johnson,3.300,2.380
3,2:57,4,8,CAR 16,21,6,Neil Rackers 34 yard field goal good,2.380,3.000
3,,,,HOU 35,21,6,"Neil Rackers kicks off 71 yards, touchback",0.000,0.280
3,2:53,1,10,CAR 20,21,6,Cam Newton pass incomplete short left intended for Jonathan Stewart,0.280,-0.270
3,2:53,2,10,CAR 20,21,6,Cam Newton pass incomplete short left intended for Brandon LaFell,-0.270,-0.960
3,2:44,3,10,CAR 20,21,6,Cam Newton pass incomplete deep right intended for Brandon LaFell,-0.960,-2.030
3,2:37,4,10,CAR 20,21,6,"Jason Baker punts 54 yards, returned by Jacoby Jones for 6 yards (tackle by Jason Williams)",-2.030,-1.070
3,2:25,1,10,HOU 32,21,6,T.J. Yates up the middle for 15 yards (tackle by James Anderson),1.070,2.060
3,1:49,1,10,HOU 47,21,6,Arian Foster left end for 7 yards (tackle by Jordan Senn),2.060,2.460
3,1:32,2,3,CAR 46,21,6,Arian Foster right tackle for 22 yards (tackle by Sherrod Martin),2.460,3.970
3,1:11,1,10,CAR 24,21,6,"T.J. Yates pass complete short left to Kevin Walter for 24 yards. Penalty on Kevin Walter: Illegal Touch Pass, 5 yards (no play)",3.970,3.640
3,1:04,1,15,CAR 29,21,6,Arian Foster left end for -1 yards (tackle by James Anderson),3.640,2.620
3,0:32,2,16,CAR 30,21,6,T.J. Yates pass complete deep middle to Kevin Walter for 19 yards (tackle by R.J. Stanford and Dan Connor),2.620,4.840
Quarter,Time,Down,ToGo,Location,CAR,HOU,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CAR 11,21,6,Arian Foster right guard for 6 yards (tackle by James Anderson),4.840,5.280
4,14:30,2,4,CAR 5,21,6,Arian Foster left guard for 4 yards (tackle by Sherrod Martin and Frank Kearse),5.280,6.970
4,13:52,1,1,CAR 1,21,12,"Arian Foster left tackle for 1 yard, touchdown",6.970,7.000
4,,,,CAR 2,21,13,Neil Rackers kicks extra point good,0.000,0.000
4,,,,HOU 35,21,13,"Neil Rackers kicks off 74 yards, touchback",0.000,0.280
4,13:48,1,10,CAR 20,21,13,DeAngelo Williams left guard for 2 yards (tackle by J.J. Watt and Tim Jamison),0.280,0.000
4,13:14,2,8,CAR 22,21,13,Cam Newton left tackle for 13 yards (tackle by Glover Quin),0.000,1.270
4,12:35,1,10,CAR 35,21,13,DeAngelo Williams right tackle for 5 yards (tackle by Jason Allen and Earl Mitchell),1.270,1.400
4,11:53,2,5,CAR 40,21,13,DeAngelo Williams right tackle for 1 yard (tackle by Brian Cushing and Brooks Reed),1.400,0.830
4,11:13,3,4,CAR 41,21,13,Cam Newton pass complete short right to Legedu Naanee for 9 yards (tackle by Jason Allen),0.830,2.260
4,10:47,1,10,,21,13,Cam Newton pass complete short middle to Jeremy Shockey for 26 yards (tackle by Danieal Manning),2.260,3.970
4,9:59,1,10,HOU 24,27,13,"DeAngelo Williams up the middle for 24 yards, touchdown",3.970,7.000
4,,,,HOU 2,28,13,Olindo Mare kicks extra point good,0.000,0.000
4,,,,CAR 35,28,13,"Olindo Mare kicks off 71 yards, returned by Quintin Demps for 50 yards (tackle by Josh Vaughan)",0.000,1.860
4,9:45,1,10,HOU 44,28,13,T.J. Yates pass complete deep middle to Jacoby Jones for 24 yards (tackle by Sherrod Martin),1.860,3.450
4,9:21,1,10,CAR 32,28,13,T.J. Yates pass complete short left to Arian Foster for 22 yards (tackle by Dan Connor),3.450,4.910
4,8:44,1,10,CAR 10,28,13,Arian Foster left guard for 3 yards (tackle by James Anderson and Jason Shirley),4.910,4.760
4,8:10,2,7,CAR 7,28,13,T.J. Yates sacked by Greg Hardy for -2 yards,4.760,3.360
4,7:34,3,9,CAR 9,28,13,T.J. Yates pass incomplete short middle intended for Jacoby Jones is intercepted by James Anderson and returned for 5 yards (tackle by T.J. Yates),3.360,0.380
4,7:25,1,10,CAR 3,28,13,Jonathan Stewart up the middle for 1 yard (tackle by Antonio Smith and DeMeco Ryans),-0.380,-0.710
4,6:42,2,9,CAR 4,28,13,Jonathan Stewart left guard for 1 yard (tackle by J.J. Watt and DeMeco Ryans),-0.710,-1.190
4,6:00,3,8,CAR 5,28,13,Cam Newton left guard for 8 yards (tackle by DeMeco Ryans),-1.190,-0.320
4,5:17,1,10,CAR 13,28,13,Jonathan Stewart left tackle for 2 yards (tackle by Brooks Reed),-0.320,-0.570
4,5:12,,,,28,13,Timeout #2 by Houston Texans,0.000,-0.570
4,5:12,2,8,CAR 15,28,13,Cam Newton pass complete short middle to Steve Smith for 22 yards (tackle by Glover Quin),-0.570,1.400
4,5:01,,,,28,13,Timeout #3 by Houston Texans,0.000,1.400
4,5:01,1,10,CAR 37,28,13,Jonathan Stewart up the middle for 12 yards (tackle by Brian Cushing),1.400,2.190
4,4:19,1,10,CAR 49,28,13,Jonathan Stewart up the middle for no gain (tackle by Earl Mitchell),2.190,1.650
4,3:34,2,10,CAR 49,28,13,DeAngelo Williams left end for 8 yards (tackle by Danieal Manning),1.650,2.010
4,3:28,3,2,HOU 43,28,13,Cam Newton left guard for 3 yards (tackle by Tim Jamison),2.010,2.920
4,2:45,1,10,HOU 40,28,13,DeAngelo Williams left guard for 3 yards (tackle by Tim Jamison),2.920,2.780
4,2:00,2,7,HOU 37,28,13,DeAngelo Williams right guard for 3 yards (tackle by Earl Mitchell and Antonio Smith),2.780,2.480
4,1:17,3,4,HOU 34,28,13,DeAngelo Williams up the middle for 6 yards (tackle by Glover Quin and Brian Cushing),2.480,3.710
4,0:33,1,10,HOU 28,28,13,Cam Newton kneels for -1 yards,3.710,3.030
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
