Quarter,Time,Down,ToGo,Location,BUF,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 30,10,13,"Matt Prater kicks off 43 yards, returned by Fred Jackson for 17 yards (tackle by Karl Paymah)",0.000,1.860
3,14:54,1,10,BUF 44,10,13,Marshawn Lynch up the middle for 5 yards (tackle by Ebenezer Ekuban and D.J. Williams),1.860,1.990
3,14:13,2,5,BUF 49,10,13,"Penalty on Derek Fine: False Start, 6 yards (no play)",1.990,1.180
3,13:50,2,11,BUF 43,10,13,Trent Edwards pass complete short left to Robert Royal for 8 yards (tackle by D.J. Williams),1.180,1.550
3,13:20,3,3,DEN 49,10,13,Trent Edwards pass complete short middle to Fred Jackson for 4 yards (tackle by Dre' Bly),1.550,2.590
3,12:40,1,10,DEN 45,10,13,Marshawn Lynch right guard for 5 yards (tackle by Champ Bailey),2.590,2.720
3,12:00,2,5,DEN 40,10,13,Trent Edwards pass complete short left to Josh Reed for 7 yards (tackle by Champ Bailey),2.720,3.380
3,11:29,1,10,DEN 33,10,13,Fred Jackson right guard for 3 yards (tackle by Elvis Dumervil),3.380,3.240
3,10:52,2,7,DEN 30,10,13,Trent Edwards pass incomplete deep left intended for Roscoe Parrish,3.240,2.540
3,10:47,3,7,DEN 30,10,13,Marshawn Lynch up the middle for no gain (tackle by Elvis Dumervil),2.540,1.410
3,9:58,4,7,DEN 30,13,13,Rian Lindell 49 yard field goal good,1.410,3.000
3,,,,BUF 30,13,13,"Rian Lindell kicks off 63 yards, returned by Selvin Young for 22 yards (tackle by Dustin Fox)",0.000,0.870
3,9:46,1,10,DEN 29,13,13,Selvin Young up the middle for no gain (tackle by Kawika Mitchell),0.870,0.330
3,9:15,2,10,DEN 29,13,13,Jay Cutler pass incomplete short middle intended for Brandon Marshall (defended by Chris Kelsay),0.330,-0.360
3,9:09,,,,13,13,Timeout #1 by Denver Broncos,0.000,-0.360
3,9:09,3,10,DEN 29,13,13,"Jay Cutler pass complete deep middle to Brandon Marshall for 24 yards (tackle by Donte Whitner). Brandon Marshall fumbles (forced by Donte Whitner), recovered by Reggie Corner at BUF-44 (tackle by Tatum Bell)",-0.360,-1.730
3,8:58,1,10,BUF 42,13,13,"Trent Edwards pass incomplete deep left intended for Lee Evans. Penalty on Dre' Bly: Defensive Pass Interference, 22 yards (no play)",1.730,3.180
3,8:52,1,10,DEN 36,13,13,Fred Jackson up the middle for 2 yards (tackle by Champ Bailey),3.180,2.910
3,8:12,2,8,DEN 34,13,13,Trent Edwards right end for 11 yards (tackle by Jamie Winborn),2.910,4.040
3,7:26,1,10,DEN 23,13,13,Trent Edwards pass complete short right to Josh Reed for 12 yards (tackle by Champ Bailey),4.040,4.840
3,6:40,1,10,DEN 11,13,13,Roscoe Parrish right end for no gain (tackle by Dre' Bly),4.840,4.140
3,5:57,2,10,DEN 11,13,13,Trent Edwards pass incomplete short right intended for Fred Jackson. Penalty on Kirk Chambers: Offensive Holding (Declined),4.140,3.130
3,5:48,3,10,DEN 11,13,13,Trent Edwards pass complete short middle to Fred Jackson for 1 yard (tackle by Elvis Dumervil),3.130,2.760
3,5:02,4,9,DEN 10,16,13,Rian Lindell 28 yard field goal good,2.760,3.000
3,,,,BUF 30,16,13,"Rian Lindell kicks off 64 yards, muffed by Selvin Young, recovered by Selvin Young at DEN-6, and returned for 10 yards",0.000,-0.140
3,4:52,1,10,DEN 16,16,13,Jay Cutler pass complete deep middle to Daniel Graham for 24 yards (tackle by Bryan Scott),-0.140,1.600
3,4:10,1,10,DEN 40,16,13,Jay Cutler pass incomplete deep right intended for Brandon Marshall (defended by Terrence McGee),1.600,1.050
3,4:03,2,10,DEN 40,16,13,Jay Cutler pass incomplete deep right intended for Eddie Royal,1.050,0.370
3,3:57,3,10,DEN 40,16,13,"Penalty on Jay Cutler: Delay of Game, 5 yards (no play)",0.370,-0.300
3,3:57,3,15,DEN 35,16,13,Jay Cutler pass complete deep right to Daniel Graham for 23 yards (tackle by Leodis McKelvin),-0.300,2.790
3,3:09,1,10,BUF 42,16,13,Jay Cutler pass complete deep middle to Tony Scheffler for 20 yards (tackle by Bryan Scott),2.790,4.110
3,2:26,1,10,BUF 22,16,13,Jay Cutler sacked by Kawika Mitchell for -8 yards,4.110,2.480
3,1:58,2,18,BUF 30,16,13,Jay Cutler pass complete short right to Brandon Marshall for 12 yards (tackle by Bryan Scott),2.480,3.400
3,1:18,3,6,BUF 18,16,13,Jay Cutler pass complete short left to Brandon Stokley for 12 yards (tackle by Reggie Corner),3.400,5.830
3,0:44,1,6,BUF 6,16,19,"Jay Cutler left end for 6 yards, touchdown",5.830,7.000
3,,,,BUF 2,16,20,Matt Prater kicks extra point good,0.000,0.000
3,,,,DEN 30,16,20,"Matt Prater kicks off 60 yards, returned by Leodis McKelvin for 18 yards (tackle by Louis Green)",0.000,0.810
3,0:33,1,10,BUF 28,16,20,Fred Jackson right guard for 4 yards (tackle by Champ Bailey and Kenny Peterson),0.810,0.800
Quarter,Time,Down,ToGo,Location,BUF,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,BUF 32,16,20,Trent Edwards pass complete deep right to Fred Jackson for 65 yards (tackle by Dre' Bly),0.800,6.510
4,14:10,1,3,DEN 3,16,20,Xavier Omon up the middle for 1 yard (tackle by John Engelberger and Jamie Winborn),6.510,5.720
4,13:32,2,2,DEN 2,16,20,Xavier Omon right guard for -1 yards (tackle by Josh Bell and Dewayne Robertson),5.720,4.720
4,12:50,3,3,DEN 3,22,20,"Trent Edwards pass complete short left to Steve Johnson for 3 yards, touchdown",4.720,7.000
4,,,,DEN 2,23,20,Rian Lindell kicks extra point good,0.000,0.000
4,,,,BUF 30,23,20,"Rian Lindell kicks off 68 yards, returned by Selvin Young for 24 yards (tackle by Blake Costanzo)",0.000,0.670
4,12:40,1,10,DEN 26,23,20,Jay Cutler pass complete deep right to Tony Scheffler for 36 yards (tackle by Bryan Scott),0.670,3.050
4,11:56,1,10,BUF 38,23,20,Jay Cutler pass complete short left to Eddie Royal for 11 yards (tackle by Terrence McGee),3.050,3.780
4,11:16,1,10,BUF 27,23,20,Jay Cutler pass incomplete short left intended for Eddie Royal,3.780,3.230
4,11:13,2,10,BUF 27,23,20,Selvin Young right guard for 2 yards (tackle by Paul Posluszny and Ryan Denney),3.230,2.810
4,11:13,3,8,BUF 25,23,20,Jay Cutler pass incomplete deep right intended for Eddie Royal,2.810,1.800
4,11:08,4,8,BUF 25,23,23,Matt Prater 43 yard field goal good,1.800,3.000
4,,,,DEN 30,23,23,"Matt Prater kicks off 45 yards, returned by Fred Jackson for 30 yards (tackle by Tatum Bell)",0.000,2.590
4,10:54,1,10,DEN 45,23,23,Trent Edwards pass complete deep right to Josh Reed for 16 yards,2.590,3.640
4,10:24,1,10,DEN 29,23,23,Trent Edwards pass complete short left to Josh Reed for 11 yards (tackle by Josh Bell),3.640,4.370
4,9:37,1,10,DEN 18,23,23,Fred Jackson left tackle for 10 yards (tackle by Dre' Bly),4.370,5.370
4,9:00,1,8,DEN 8,29,23,"Fred Jackson right tackle for 8 yards, touchdown",5.370,7.000
4,,,,DEN 2,30,23,Rian Lindell kicks extra point good,0.000,0.000
4,,,,BUF 30,30,23,"Rian Lindell kicks off 70 yards, returned by Selvin Young for 24 yards (tackle by George Wilson)",0.000,0.540
4,8:48,1,10,DEN 24,30,23,Jay Cutler pass incomplete deep middle intended for Daniel Graham,0.540,0.000
4,8:43,2,10,DEN 24,30,23,"Jay Cutler pass incomplete short left intended for Eddie Royal is intercepted by Leodis McKelvin at DEN-29 and returned for 2 yards (tackle by Eddie Royal). Penalty on Marcus Stroud: Defensive Holding, 5 yards (no play)",0.000,0.870
4,8:37,1,10,DEN 29,30,23,Jay Cutler pass complete deep left to Brandon Marshall for 19 yards,0.870,2.130
4,8:37,1,10,DEN 48,30,23,Tatum Bell up the middle for 3 yards (tackle by Kyle Williams and Ryan Denney),2.130,1.990
4,7:52,2,7,BUF 49,30,23,Jay Cutler pass incomplete short middle intended for Brandon Stokley (defended by Reggie Corner),1.990,1.290
4,7:49,3,7,BUF 49,30,23,Jay Cutler pass complete short middle to Eddie Royal for 15 yards (tackle by Bryan Scott),1.290,3.310
4,7:10,1,10,BUF 34,30,23,Jay Cutler pass complete short right to Brandon Marshall for 8 yards (tackle by Terrence McGee),3.310,3.850
4,6:32,2,2,BUF 26,30,23,Jay Cutler pass complete short right to Brandon Marshall for 11 yards (tackle by Paul Posluszny),3.850,4.580
4,5:51,1,10,BUF 15,30,23,Jay Cutler pass incomplete short right intended for Tatum Bell,4.580,3.950
4,5:47,2,10,BUF 15,30,23,Jay Cutler pass incomplete short right intended for Brandon Marshall,3.950,3.100
4,5:42,3,10,BUF 15,30,23,Jay Cutler pass incomplete short right intended for Brandon Marshall is intercepted by Kawika Mitchell at BUF-1 and returned for 1 yard (tackle by Brandon Marshall),3.100,0.380
4,5:35,1,10,BUF 2,30,23,Fred Jackson left tackle for 5 yards (tackle by Nate Webster and Ebenezer Ekuban),-0.380,-0.420
4,4:56,2,5,BUF 7,30,23,Fred Jackson right guard for no gain (tackle by Ebenezer Ekuban and Marcus Thomas),-0.420,-0.840
4,4:15,3,5,BUF 7,30,23,Fred Jackson right end for 1 yard (tackle by Nic Clemons and Kenny Peterson),-0.840,-2.490
4,3:41,4,4,BUF 8,30,23,Brian Moorman punts 53 yards,-2.490,-1.530
4,3:27,1,10,DEN 39,30,23,Jay Cutler pass complete short middle to Brandon Stokley for 7 yards (tackle by Reggie Corner),1.530,1.930
4,2:43,2,3,DEN 46,30,23,Jay Cutler right guard for 9 yards (tackle by Spencer Johnson),1.930,2.590
4,2:07,1,10,BUF 45,30,23,Jay Cutler pass incomplete deep right intended for Brandon Marshall (defended by Terrence McGee),2.590,2.040
4,2:01,2,10,BUF 45,30,23,Jay Cutler pass incomplete short left intended for Brandon Stokley (defended by Reggie Corner),2.040,1.360
4,1:56,3,10,BUF 45,30,23,Jay Cutler pass complete short middle to Brandon Stokley for 13 yards (tackle by Keith Ellison),1.360,3.450
4,1:26,1,10,BUF 32,30,23,Jay Cutler pass complete short middle to Brandon Marshall for 12 yards (tackle by Reggie Corner),3.450,4.240
4,1:16,,,,30,23,Timeout #2 by Denver Broncos,0.000,4.240
4,1:16,1,10,BUF 20,30,23,Jay Cutler pass incomplete short middle intended for Brandon Stokley (defended by Reggie Corner),4.240,3.690
4,1:07,2,10,BUF 20,30,23,Jay Cutler pass complete short left to Daniel Graham for 5 yards (tackle by Paul Posluszny),3.690,3.700
4,0:44,3,5,BUF 15,30,23,Jay Cutler pass incomplete short middle intended for Brandon Stokley,3.700,2.490
4,0:39,4,5,BUF 15,30,23,Jay Cutler pass incomplete short middle intended for Brandon Stokley (defended by Reggie Corner),2.490,0.220
4,0:32,1,10,BUF 15,30,23,Trent Edwards kneels for -1 yards,-0.220,-0.820
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
