Quarter,Time,Down,ToGo,Location,DET,TAM,Detail,EPB,EPA
2,12:44,3,7,DET 8,3,0,Jared Goff pass complete short left to Amon-Ra St. Brown for 5 yards (tackle by Jamel Dean),-1.070,-2.490
2,12:04,4,2,DET 13,3,0,"Jack Fox punts 45 yards, fair catch by Deven Thompkins at TB-42",-2.490,-1.730
2,11:58,1,10,TAM 42,3,0,Rachaad White up the middle for 8 yards (tackle by Will Harris),1.730,2.270
2,11:34,2,2,DET 50,3,0,"Penalty on Tristan Wirfs: False Start, 5 yards (accepted) (no play)",2.270,1.590
2,11:16,2,7,TAM 45,3,0,Baker Mayfield pass complete short right to Rachaad White for no gain (tackle by Cameron Sutton and Alex Anzalone),1.590,0.890
2,10:33,3,7,TAM 45,3,0,Baker Mayfield pass complete deep right to Trey Palmer for 21 yards,0.890,3.310
2,9:53,1,10,DET 34,3,0,Rachaad White up the middle for no gain (tackle by Alex Anzalone and Jack Campbell),3.310,2.770
2,9:14,2,10,DET 34,3,0,Baker Mayfield pass complete short right to Rachaad White for 7 yards (tackle by Jack Campbell),2.770,3.010
2,8:32,3,3,DET 27,3,0,"Baker Mayfield pass incomplete deep left intended for Mike Evans. Penalty on Will Harris: Defensive Holding, 5 yards (accepted) (no play)",3.010,4.110
2,8:26,1,10,DET 22,3,0,Ke'Shawn Vaughn right tackle for 7 yards (tackle by Levi Onwuzurike),4.110,4.650
2,7:46,2,3,DET 15,3,0,Baker Mayfield pass incomplete short left intended for Ke'Shawn Vaughn (defended by Alex Anzalone),4.650,3.930
2,7:42,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
2,7:42,3,3,DET 15,3,0,Baker Mayfield pass incomplete short left intended for Deven Thompkins,3.930,2.540
2,7:38,4,3,DET 15,3,3,Chase McLaughlin 33 yard field goal good,2.540,3.000
2,7:34,,,TAM 35,3,3,"Jake Camarda kicks off 65 yards, touchback.",0.000,0.610
2,7:34,1,10,DET 25,3,3,Jared Goff pass complete short left to David Montgomery for 19 yards (tackle by Cam Gill and Shaquil Barrett),0.610,1.860
2,7:04,1,10,DET 44,3,3,Craig Reynolds right guard for 1 yard (tackle by Calijah Kancey and Logan Hall),1.860,1.450
2,6:29,2,9,DET 45,3,3,Jared Goff pass complete short right to Josh Reynolds for 21 yards (tackle by Ryan Neal),1.450,3.310
2,5:46,1,10,TAM 34,3,3,Jared Goff pass complete short left to Amon-Ra St. Brown for 8 yards (tackle by Shaquil Barrett),3.310,3.850
2,5:07,2,2,TAM 26,3,3,Craig Reynolds up the middle for 2 yards (tackle by Shaquil Barrett),3.850,3.970
2,4:26,1,10,TAM 24,3,3,"Penalty on Penei Sewell: False Start, 5 yards (accepted) (no play)",3.970,3.640
2,4:08,1,15,TAM 29,3,3,Jared Goff sacked by Joe Tryon-Shoyinka for no gain,3.640,2.760
2,3:31,2,15,TAM 29,3,3,Craig Reynolds up the middle for 2 yards (tackle by Devin White and Joe Tryon-Shoyinka),2.760,2.350
2,2:49,3,13,TAM 27,9,3,"Jared Goff pass complete short left to Amon-Ra St. Brown for 27 yards, touchdown",2.350,7.000
2,2:39,,,TAM 15,10,3,Riley Patterson kicks extra point good,0.000,0.000
2,2:39,,,DET 35,10,3,"Riley Patterson kicks off 62 yards, returned by Deven Thompkins for 20 yards (tackle by Julian Okwara)",0.000,0.480
2,2:35,1,10,TAM 23,10,3,Baker Mayfield pass complete short left to Cade Otton for 15 yards (tackle by Tracy Walker),0.480,1.470
2,2:00,1,10,TAM 38,10,3,Baker Mayfield pass incomplete deep left intended for Trey Palmer,1.470,0.920
2,1:53,2,10,TAM 38,10,3,Rachaad White left tackle for 5 yards (tackle by Alex Anzalone and Will Harris),0.920,0.890
2,1:09,3,5,TAM 43,10,3,Baker Mayfield pass incomplete short right intended for Trey Palmer (defended by Julian Okwara),0.890,-0.520
2,1:06,4,5,TAM 43,10,3,"Jake Camarda punts 57 yards, touchback.",-0.520,-0.280
2,0:59,1,10,DET 20,10,3,Jared Goff pass incomplete short middle intended for Sam LaPorta,0.280,-0.270
2,0:53,2,10,DET 20,10,3,Jared Goff pass incomplete short left intended for Sam LaPorta,-0.270,-0.960
2,0:50,3,10,DET 20,10,3,Jared Goff pass complete short right to Josh Reynolds for 20 yards (tackle by Ryan Neal and Antoine Winfield),-0.960,1.600
2,0:42,,,,,,Timeout #1 by Detroit Lions,,
2,0:42,1,10,DET 40,10,3,Jared Goff pass incomplete short left intended for Sam LaPorta,1.600,1.050
2,0:38,2,10,DET 40,10,3,Jared Goff sacked by Lavonte David for -8 yards,1.050,-0.690
Quarter,Time,Down,ToGo,Location,DET,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 35,10,3,"Jake Camarda kicks off 60 yards, returned by Khalil Dorsey for 19 yards (tackle by K.J. Britt)",0.000,0.540
3,14:55,1,10,DET 24,10,3,Craig Reynolds left tackle for no gain (tackle by Lavonte David and Devin White),0.540,0.000
3,14:20,2,10,DET 24,10,3,Jared Goff pass complete short left to Kalif Raymond for 6 yards (tackle by Joe Tryon-Shoyinka),0.000,0.100
3,13:37,3,4,DET 30,10,3,Jared Goff pass complete short right to Craig Reynolds for 28 yards (tackle by Christian Izien),0.100,2.790
3,12:51,1,10,TAM 42,10,3,Jared Goff pass complete short left to Brock Wright for 7 yards (tackle by Jamel Dean and Devin White),2.790,3.190
3,12:11,2,3,TAM 35,10,3,Devine Ozigbo left end for 4 yards (tackle by Vita Vea),3.190,3.510
3,11:29,1,10,TAM 31,10,3,Jared Goff pass incomplete short middle,3.510,2.970
3,11:25,2,10,TAM 31,10,3,Craig Reynolds for -3 yards (tackle by Lavonte David),2.970,1.880
3,10:44,3,13,TAM 34,10,3,Jared Goff pass incomplete short middle intended for Sam LaPorta (defended by Carlton Davis),1.880,1.060
3,10:38,4,13,TAM 34,10,3,Riley Patterson 52 yard field goal no good,1.060,-1.730
3,10:33,1,10,TAM 42,10,3,Baker Mayfield pass complete short middle to Chris Godwin for 23 yards (tackle by Kerby Joseph),1.730,3.250
3,9:58,1,10,DET 35,10,3,Baker Mayfield pass complete deep middle to Mike Evans for 18 yards (tackle by Kerby Joseph),3.250,4.440
3,9:14,1,10,DET 17,10,3,Rachaad White up the middle for 4 yards (tackle by Derrick Barnes and Aidan Hutchinson),4.440,4.500
3,8:37,2,6,DET 13,10,3,Deven Thompkins right end for 5 yards (tackle by Cameron Sutton and Jack Campbell),4.500,4.800
3,7:57,3,1,DET 8,10,3,"Baker Mayfield pass incomplete intended for Mike Evans. Penalty on Mike Evans: Offensive Pass Interference, 10 yards (accepted) (no play)",4.800,3.000
3,7:52,3,11,DET 18,10,3,Baker Mayfield pass incomplete short left intended for Mike Evans,3.000,2.250
3,7:48,4,11,DET 18,10,6,Chase McLaughlin 36 yard field goal good,2.250,3.000
3,7:44,,,TAM 35,10,6,"Jake Camarda kicks off 57 yards, returned by Khalil Dorsey for 19 yards (tackle by K.J. Britt)",0.000,0.740
3,7:39,1,10,DET 27,10,6,Craig Reynolds left tackle for 1 yard (tackle by Christian Izien),0.740,0.330
3,7:02,2,9,DET 28,10,6,Jared Goff pass complete short left to Sam LaPorta for 5 yards (tackle by Lavonte David and Devin White),0.330,0.300
3,6:39,3,4,DET 33,10,6,Jared Goff pass complete short middle to Amon-Ra St. Brown for 11 yards (tackle by Jamel Dean and Carlton Davis),0.300,1.860
3,5:58,1,10,DET 44,10,6,Craig Reynolds right guard for 1 yard (tackle by Vita Vea),1.860,1.450
3,5:22,2,9,DET 45,10,6,Jared Goff pass complete short left to Jameson Williams for 8 yards (tackle by Christian Izien and Jamel Dean),1.450,1.820
3,4:44,3,1,TAM 47,10,6,"Craig Reynolds for no gain. Penalty on Amon-Ra St. Brown: Offensive Holding, 10 yards (accepted) (no play)",1.820,0.500
3,4:21,3,11,DET 43,10,6,Jared Goff pass complete short middle to Kalif Raymond for 12 yards (tackle by Zyon McCollum and Lavonte David),0.500,2.590
3,3:35,1,10,TAM 45,10,6,Jared Goff pass incomplete deep left intended for Jameson Williams,2.590,2.040
3,3:30,2,10,TAM 45,10,6,Jared Goff pass incomplete short left intended for Sam LaPorta,2.040,1.360
3,3:27,3,10,TAM 45,16,6,"Jared Goff pass complete deep right to Jameson Williams for 45 yards, touchdown",1.360,7.000
3,3:19,,,TAM 15,17,6,Riley Patterson kicks extra point good,0.000,0.000
3,3:19,,,DET 35,17,6,"Riley Patterson kicks off 61 yards, returned by Deven Thompkins for 19 yards (tackle by Jalen Reeves-Maybin)",0.000,0.480
3,3:14,1,10,TAM 23,17,6,Baker Mayfield pass complete short right to Mike Evans for 12 yards (tackle by Tracy Walker),0.480,1.270
3,2:39,1,10,TAM 35,17,6,Ke'Shawn Vaughn left guard for 2 yards (tackle by Jack Campbell and John Cominsky),1.270,0.990
3,2:03,2,8,TAM 37,17,6,Ke'Shawn Vaughn left guard for 1 yard (tackle by Alex Anzalone and Romeo Okwara),0.990,0.430
3,1:19,3,7,TAM 38,17,6,Baker Mayfield pass incomplete short left intended for Ke'Shawn Vaughn (defended by Kerby Joseph),0.430,-0.850
3,1:16,4,7,TAM 38,17,6,"Jake Camarda punts 44 yards, returned by Kalif Raymond for 11 yards (tackle by Kaevon Merriweather)",-0.850,-0.870
3,1:05,1,10,DET 29,17,6,Jared Goff pass complete short left to Craig Reynolds for no gain (tackle by Jamel Dean),0.870,0.330
3,0:25,2,10,DET 29,17,6,"Jared Goff scrambles up the middle for 4 yards (tackle by Devin White). Penalty on Christian Izien: Illegal Use of Hands / Defense, 5 yards (accepted)",0.330,1.470
3,0:25,1,10,DET 38,17,6,"Penalty on Joe Tryon-Shoyinka: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.470,2.200
Quarter,Time,Down,ToGo,Location,DET,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,5,DET 43,17,6,Jared Goff pass complete deep middle to Amon-Ra St. Brown for 23 yards (tackle by Antoine Winfield),2.200,3.310
4,14:18,1,10,TAM 34,17,6,Jared Goff pass complete short left to Josh Reynolds for 9 yards (tackle by Devin White),3.310,3.990
4,13:33,2,1,TAM 25,17,6,Jared Goff pass complete short left to Marvin Jones for 5 yards,3.990,4.240
4,12:54,1,10,TAM 20,17,6,Jared Goff pass incomplete deep left intended for Sam LaPorta,4.240,3.690
4,12:50,2,10,TAM 20,17,6,Craig Reynolds right end for 2 yards (tackle by Lavonte David),3.690,3.220
4,12:07,3,8,TAM 18,17,6,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown (defended by Joe Tryon-Shoyinka),3.220,2.250
4,12:04,4,8,TAM 18,20,6,Riley Patterson 36 yard field goal good,2.250,3.000
4,12:00,,,DET 35,20,6,"Riley Patterson kicks off 65 yards, touchback.",0.000,0.610
4,12:00,1,10,TAM 25,20,6,Baker Mayfield pass complete short right to Deven Thompkins for no gain (tackle by Cameron Sutton),0.610,0.060
4,11:26,2,10,TAM 25,20,6,Baker Mayfield pass complete short right to Mike Evans for 8 yards (tackle by Cameron Sutton),0.060,0.430
4,10:57,3,2,TAM 33,20,6,Baker Mayfield pass incomplete deep left intended for Trey Palmer,0.430,-1.180
4,10:52,4,2,TAM 33,20,6,"Jake Camarda punts 66 yards, returned by Kalif Raymond for 15 yards (tackle by K.J. Britt and Cam Gill)",-1.180,0.140
4,10:37,1,10,DET 16,20,6,Jared Goff pass complete short right to Amon-Ra St. Brown for 6 yards (tackle by YaYa Diaby),-0.140,0.280
4,9:53,2,4,DET 22,20,6,"Penalty on Taylor Decker: False Start, 5 yards (accepted) (no play)",0.280,-0.510
4,9:51,2,9,DET 17,20,6,Jared Goff pass complete short right to Amon-Ra St. Brown for 6 yards (tackle by Christian Izien),-0.510,-0.450
4,9:14,3,3,DET 23,20,6,Jared Goff pass complete short right to Amon-Ra St. Brown for 4 yards (tackle by Christian Izien),-0.450,0.740
4,8:33,1,10,DET 27,20,6,Craig Reynolds right end for 8 yards (tackle by Carlton Davis),0.740,1.280
4,7:46,2,2,DET 35,20,6,Jared Goff pass complete short right to Amon-Ra St. Brown for 8 yards (tackle by Lavonte David),1.280,1.800
4,7:06,1,10,DET 43,20,6,Jared Goff pass complete short middle to Devine Ozigbo for 8 yards (tackle by Lavonte David),1.800,2.330
4,6:19,2,2,TAM 49,20,6,Devine Ozigbo up the middle for -3 yards (tackle by Vita Vea),2.330,1.220
4,5:32,3,5,DET 48,20,6,Jared Goff pass complete short middle to Sam LaPorta for 12 yards (tackle by Antoine Winfield and Lavonte David),1.220,2.920
4,4:47,1,10,TAM 40,20,6,Jared Goff pass incomplete short left,2.920,2.370
4,4:44,2,10,TAM 40,20,6,Craig Reynolds up the middle for 1 yard (tackle by Greg Gaines and Ryan Neal),2.370,1.820
4,4:37,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
4,4:37,3,9,TAM 39,20,6,Jared Goff sacked by Calijah Kancey for -5 yards,1.820,0.330
4,3:55,4,14,TAM 44,20,6,Jack Fox punts 42 yards out of bounds,0.330,0.380
4,3:45,1,10,TAM 2,20,6,Baker Mayfield pass complete short right to Rachaad White for 5 yards (tackle by Alex Anzalone and Aidan Hutchinson),-0.380,-0.420
4,3:19,2,5,TAM 7,20,6,Baker Mayfield pass complete short right to Mike Evans for 11 yards (tackle by Alex Anzalone),-0.420,0.040
4,2:50,1,10,TAM 18,20,6,Baker Mayfield pass incomplete deep right intended for Mike Evans,0.040,-0.490
4,2:45,2,10,TAM 18,20,6,Baker Mayfield pass complete short middle to Chris Godwin for 7 yards (tackle by Tracy Walker),-0.490,-0.270
4,2:39,3,3,TAM 25,20,6,Baker Mayfield sacked by Julian Okwara for -1 yards,-0.270,-1.770
4,2:02,4,4,TAM 24,20,6,Baker Mayfield pass complete short middle to Chris Godwin for 8 yards (tackle by Will Harris and Tracy Walker),-1.770,1.070
4,1:58,1,10,TAM 32,20,6,Baker Mayfield pass complete deep right to Trey Palmer for 26 yards (tackle by Kerby Joseph),1.070,2.790
4,1:35,1,10,DET 42,20,6,Baker Mayfield pass incomplete deep middle intended for Mike Evans (defended by Tracy Walker),2.790,2.240
4,1:34,2,10,DET 42,20,6,Baker Mayfield pass complete short middle to Chris Godwin for 13 yards (tackle by Tracy Walker),2.240,3.640
4,1:14,1,10,DET 29,20,6,Baker Mayfield pass incomplete deep right intended for Deven Thompkins (defended by Cameron Sutton),3.640,3.100
4,1:10,2,10,DET 29,20,6,Baker Mayfield pass incomplete deep middle intended for Trey Palmer,3.100,2.410
4,1:04,3,10,DET 29,20,6,Baker Mayfield pass incomplete deep middle intended for Chris Godwin,2.410,1.500
4,0:58,4,10,DET 29,20,6,Baker Mayfield pass incomplete deep middle intended for Cade Otton,1.500,-0.870
4,0:53,1,10,DET 29,20,6,Devine Ozigbo up the middle for 4 yards (tackle by William Gholston and Ryan Neal),0.870,0.870
4,0:17,2,6,DET 33,20,6,Jared Goff kneels for -1 yards,0.870,0.040
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
