Quarter,Time,Down,ToGo,Location,TAM,STL,Detail,EPB,EPA
2,5:59,2,7,STL 43,14,7,Marc Bulger pass complete to Torry Holt for 5 yards (tackle by Brian Kelly),1.460,1.420
2,5:20,3,2,STL 48,14,7,Marc Bulger pass complete to Isaac Bruce for 11 yards (tackle by Derrick Brooks),1.420,2.850
2,4:37,1,10,TAM 41,14,7,Marc Bulger pass incomplete intended for Isaac Bruce,2.850,2.310
2,4:30,2,10,TAM 41,14,7,Marc Bulger pass incomplete intended for Marshall Faulk,2.310,1.620
2,4:27,3,10,TAM 41,14,7,Marc Bulger pass incomplete intended for Kevin Curtis,1.620,0.530
2,4:20,4,10,TAM 41,14,7,Sean Landeta punts 37 yards,0.530,0.380
2,4:10,1,10,TAM 4,14,7,Michael Pittman right end for no gain (tackle by Tommy Polley),-0.380,-0.780
2,3:45,2,10,TAM 4,14,7,"Penalty on Derrick Deese: False Start, 2 yards (no play)",-0.780,-0.930
2,3:36,2,12,TAM 2,14,7,"Penalty on Leonard Little: Encroachment, 5 yards (no play)",-0.930,-0.560
2,3:19,2,7,TAM 7,14,7,Brian Griese pass incomplete intended for Michael Pittman,-0.560,-1.070
2,3:15,3,7,TAM 7,14,7,"Brian Griese for no gain. Brian Griese fumbles, recovered by Leonard Little at TAM-5 (tackle by John Wade)",-1.070,-6.060
2,3:12,1,5,TAM 5,14,7,Marshall Faulk right tackle for 2 yards (tackle by Greg Spires),6.060,5.530
2,2:42,2,3,TAM 3,14,7,Steven Jackson right guard for 1 yard (tackle by Derrick Brooks),5.530,4.950
2,2:00,3,2,TAM 2,14,7,Marshall Faulk up the middle for 1 yard (tackle by Greg Spires),4.950,3.550
2,1:49,,,,14,7,Timeout #1 by Tampa Bay Buccaneers,0.000,3.550
2,1:49,4,1,TAM 1,14,13,"Marshall Faulk up the middle for 1 yard, touchdown",3.550,7.000
2,,,,TAM 2,14,14,Jeff Wilkins kicks extra point good,0.000,0.000
2,,,,STL 30,14,14,Jeff Wilkins kicks off 69 yards,0.000,1.600
2,1:42,1,10,TAM 40,14,14,Brian Griese pass complete to Mike Alstott for 6 yards (tackle by Adam Archuleta),1.600,1.860
2,1:38,2,4,TAM 46,14,14,Brian Griese pass complete to Tim Brown for 5 yards (tackle by Aeneas Williams),1.860,2.320
2,1:33,1,10,STL 49,14,14,Brian Griese pass complete to Mike Alstott for 9 yards (tackle by Aeneas Williams),2.320,3.000
,,,,,,,"Replay Assistant challenged the ruling, and the original play was overturned.",,
2,1:27,2,1,STL 40,14,14,Brian Griese pass incomplete intended for Charles Lee,3.000,2.280
2,1:22,3,1,STL 40,14,14,Mike Alstott up the middle for 4 yards (tackle by Tommy Polley),2.280,3.180
2,1:17,,,,14,14,Timeout #2 by Tampa Bay Buccaneers,0.000,3.180
2,1:17,1,10,STL 36,14,14,Brian Griese pass incomplete intended for Michael Clayton,3.180,2.640
2,1:10,2,10,STL 36,14,14,Brian Griese pass complete to Charles Lee for 6 yards (tackle by Rich Coady),2.640,2.740
2,0:54,,,,14,14,Timeout #3 by Tampa Bay Buccaneers,0.000,2.740
2,0:54,3,4,STL 30,14,14,Brian Griese pass complete to Ken Dilger for no gain,2.740,1.460
2,0:25,4,4,STL 30,14,14,Martin Gramatica 48 yard field goal no good,1.460,-1.470
2,0:20,1,10,STL 38,14,14,Marc Bulger pass complete to Marshall Faulk for 16 yards (tackle by Mario Edwards),1.470,2.520
2,0:12,,,,14,14,Timeout #2 by St. Louis Rams,0.000,2.520
2,0:12,1,10,TAM 46,14,14,Marc Bulger pass complete to Shaun McDonald for 8 yards (tackle by Mario Edwards),2.520,3.060
2,0:07,2,2,TAM 38,14,14,Marc Bulger pass incomplete intended for Isaac Bruce,3.060,2.350
2,0:03,,,,14,14,Timeout #3 by St. Louis Rams,0.000,2.350
2,0:03,3,2,TAM 38,14,14,Jeff Wilkins 56 yard field goal no good,2.350,1.930
Quarter,Time,Down,ToGo,Location,TAM,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 30,14,14,"Jeff Wilkins kicks off 60 yards, returned by Torrie Cox for 44 yards (tackle by Jeff Wilkins)",0.000,2.520
3,14:53,1,10,STL 46,14,14,Brian Griese pass incomplete intended for Mike Alstott,2.520,1.980
3,14:45,2,10,STL 46,14,14,Michael Pittman left end for 2 yards (tackle by DeJuan Groce),1.980,1.550
3,14:06,3,8,STL 44,14,14,Brian Griese pass incomplete intended for Michael Clayton (defended by Jerametrius Butler),1.550,0.330
3,14:00,4,8,STL 44,14,14,Josh Bidwell punts 29 yards,0.330,0.220
3,13:48,1,10,STL 15,14,14,Marshall Faulk up the middle for 8 yards (tackle by Brian Kelly),-0.220,0.480
3,13:07,2,2,STL 23,14,14,Marshall Faulk left end for 1 yard (tackle by Chartric Darby and Ian Gold),0.480,-0.270
3,12:22,,,,14,14,Timeout #1 by St. Louis Rams,0.000,-0.270
3,12:22,3,1,STL 24,14,14,Steven Jackson up the middle for 2 yards (tackle by Derrick Brooks),-0.270,0.670
3,11:42,1,10,STL 26,14,14,Marc Bulger pass complete to Joey Goodspeed for 8 yards (tackle by Jeff Gooch),0.670,1.210
3,11:15,2,2,STL 34,14,14,Marc Bulger pass complete to Steven Jackson for no gain,1.210,0.500
3,10:33,3,2,STL 34,14,14,Steven Jackson up the middle for 1 yard (tackle by Ellis Wyms),0.500,-1.040
3,9:54,4,1,STL 35,14,14,"Sean Landeta punts 61 yards. Penalty on Jerametrius Butler: Illegal Touch Kick, 5 yards (no play)",-1.040,-1.370
3,9:44,4,6,STL 30,14,14,Sean Landeta punts 63 yards,-1.370,0.380
3,9:32,1,10,TAM 7,14,14,Brian Griese for -6 yards (tackle by Anthony Hargrove),-0.380,-1.220
3,9:06,2,16,TAM 1,14,14,Brian Griese pass complete to Ken Dilger for 15 yards (tackle by Adam Archuleta),-1.220,-0.370
3,8:27,3,1,TAM 16,14,14,Mike Alstott up the middle for no gain (tackle by Ryan Pickett),-0.370,-2.390
3,8:08,4,1,TAM 16,14,14,"Josh Bidwell punts 45 yards, returned by Shaun McDonald for -8 yards (tackle by John Howell)",-2.390,-1.000
3,7:55,1,10,STL 31,14,14,Marc Bulger pass incomplete intended for Torry Holt is intercepted by Ian Gold at STL-46 and returned for 31 yards (tackle by Andy McCollum),1.000,-4.580
3,7:41,1,10,STL 15,14,20,"Michael Pittman left end for 8 yards (tackle by Adam Archuleta). Michael Pittman fumbles (forced by Adam Archuleta), recovered by Adam Archuleta at STL-7 and returned for 93 yards, touchdown",4.580,-7.000
,,,,,,,"TAM challenged the ruling, and the play was upheld.",,
3,,,,TAM 2,14,21,Jeff Wilkins kicks extra point good,0.000,0.000
3,,,,STL 30,14,21,"Jeff Wilkins kicks off 68 yards, returned by Torrie Cox for 27 yards (tackle by Kwamie Lassiter)",0.000,0.870
3,7:17,1,10,TAM 29,14,21,Brian Griese pass complete to Michael Pittman for 6 yards (tackle by DeJuan Groce),0.870,1.140
3,6:59,2,4,TAM 35,14,21,Brian Griese pass incomplete intended for Michael Clayton (defended by Jerametrius Butler),1.140,0.430
3,6:52,3,4,TAM 35,14,21,Brian Griese left tackle for 3 yards (tackle by Leonard Little). Penalty on Charles Lee: Illegal Shift (Declined),0.430,-0.850
3,6:34,4,1,TAM 38,14,21,"Josh Bidwell punts 40 yards, fair catch by Shaun McDonald",-0.850,-0.410
3,6:26,1,10,STL 22,14,21,"Marshall Faulk right tackle for 4 yards (tackle by Jermaine Phillips). Penalty on Torry Holt: Offensive Holding, 10 yards",0.410,-0.240
3,5:45,1,16,STL 16,14,21,Marshall Faulk right tackle for 5 yards (tackle by Dwight Smith),-0.240,-0.270
3,5:10,2,11,STL 21,14,21,Marc Bulger pass complete to Marshall Faulk for 4 yards (tackle by Brian Kelly),-0.270,-0.430
3,4:20,3,7,STL 25,14,21,"Marc Bulger sacked by Greg Spires for -7 yards. Marc Bulger fumbles (forced by Greg Spires), recovered by Anthony McFarland at STL-20 (tackle by Andy McCollum)",-0.430,-4.240
3,4:11,1,10,STL 20,14,21,Brian Griese pass complete to Ken Dilger for 5 yards (tackle by Brandon Chillar),4.240,4.450
3,3:35,2,5,STL 15,14,21,Michael Pittman up the middle for 2 yards (tackle by Tommy Polley and Ryan Pickett),4.450,4.100
3,2:53,3,3,STL 13,14,21,Brian Griese pass complete to Ken Dilger for 10 yards (tackle by DeJuan Groce),4.100,6.510
3,2:25,1,3,STL 3,14,21,"Penalty on Brian Griese: Delay of Game, 5 yards (no play)",6.510,5.370
3,2:06,1,8,STL 8,14,21,Brian Griese pass complete to Michael Clayton for 4 yards (tackle by Pisa Tinoisamoa),5.370,5.340
3,1:21,,,,14,21,Timeout #2 by Tampa Bay Buccaneers,0.000,5.340
3,1:21,2,4,STL 4,14,21,Michael Pittman right tackle for 3 yards (tackle by Leonard Little),5.340,5.170
3,0:43,3,1,STL 1,20,21,"Brian Griese pass complete to Will Heller for 1 yard, touchdown",5.170,7.000
3,,,,STL 2,21,21,Martin Gramatica kicks extra point good,0.000,0.000
3,,,,TAM 30,21,21,"Martin Gramatica kicks off 67 yards, returned by Arlen Harris for 20 yards (tackle by Will Allen)",0.000,0.480
3,0:31,1,10,STL 23,21,21,Steven Jackson up the middle for 4 yards (tackle by Chartric Darby and Jeff Gooch),0.480,0.470
Quarter,Time,Down,ToGo,Location,TAM,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,STL 27,21,21,Marc Bulger pass complete to Torry Holt for 7 yards (tackle by Ronde Barber),0.470,1.200
4,14:30,1,10,STL 34,21,21,Marc Bulger sacked by Simeon Rice for -6 yards,1.200,-0.150
4,13:58,2,16,STL 28,21,21,Marc Bulger pass complete to Steven Jackson for 2 yards (tackle by Ian Gold),-0.150,-0.560
4,13:11,3,14,STL 30,21,21,Marc Bulger pass complete to Steven Jackson for 28 yards (tackle by Jermaine Phillips),-0.560,2.790
4,12:19,1,10,TAM 42,21,21,Steven Jackson left end for 4 yards (tackle by Jeff Gooch),2.790,2.780
4,11:33,2,6,TAM 38,21,21,Marshall Faulk left tackle for 2 yards (tackle by Ellis Wyms),2.780,2.340
4,10:55,3,4,TAM 36,21,27,"Marc Bulger pass complete to Torry Holt for 36 yards, touchdown",2.340,7.000
4,,,,TAM 2,21,28,Jeff Wilkins kicks extra point good,0.000,0.000
4,,,,STL 30,21,28,"Jeff Wilkins kicks off 69 yards, returned by Torrie Cox for 22 yards (tackle by Tony Newson)",0.000,0.480
4,10:39,1,10,TAM 23,21,28,Michael Pittman up the middle for 13 yards (tackle by DeJuan Groce),0.480,1.330
4,10:03,1,10,TAM 36,21,28,Brian Griese pass complete to Charles Lee for 11 yards (tackle by Jerametrius Butler),1.330,2.060
4,9:24,1,10,TAM 47,21,28,"Penalty on Kenyatta Walker: False Start, 5 yards (no play)",2.060,1.730
4,9:07,1,15,TAM 42,21,28,Brian Griese pass complete to Michael Pittman for no gain,1.730,0.840
4,8:31,2,15,TAM 42,21,28,Brian Griese pass complete to Michael Clayton for 17 yards (tackle by Jerametrius Butler),0.840,2.850
4,7:48,1,10,STL 41,21,28,Mike Alstott left end for 7 yards (tackle by DeJuan Groce),2.850,3.250
4,7:12,2,3,STL 34,21,28,Brian Griese pass complete to Michael Clayton for 13 yards (tackle by Aeneas Williams),3.250,4.170
4,6:32,1,10,STL 21,21,28,Brian Griese sacked by Erik Flowers for -8 yards,4.170,2.550
4,5:56,2,18,STL 29,21,28,Brian Griese pass incomplete intended for Charles Lee,2.550,1.880
4,5:51,3,18,STL 29,21,28,Brian Griese pass incomplete intended for Michael Clayton is intercepted by Jerametrius Butler,1.880,-0.280
4,5:42,1,10,STL 20,21,28,Marshall Faulk left guard for 3 yards (tackle by Chartric Darby),0.280,0.140
4,5:02,2,7,STL 23,21,28,Marc Bulger pass complete to Kevin Curtis for 32 yards (tackle by Jermaine Phillips),0.140,2.590
4,4:53,1,10,TAM 45,21,28,Marshall Faulk left tackle for 3 yards (tackle by Derrick Brooks and Jeff Gooch),2.590,2.450
4,4:12,2,7,TAM 42,21,28,Marshall Faulk left guard for no gain (tackle by Simeon Rice),2.450,1.750
4,3:25,,,,21,28,Timeout #2 by St. Louis Rams,0.000,1.750
4,3:25,3,7,TAM 42,21,28,Kevin Curtis right end for 7 yards (tackle by Jeff Gooch),1.750,3.250
4,2:35,1,10,TAM 35,21,28,Steven Jackson right guard for 4 yards (tackle by Derrick Brooks),3.250,3.240
4,2:29,,,,21,28,Timeout #3 by Tampa Bay Buccaneers,0.000,3.240
4,2:29,2,6,TAM 31,21,28,Steven Jackson left tackle for -1 yards (tackle by Greg Spires),3.240,2.410
4,2:00,3,7,TAM 32,21,28,Steven Jackson left tackle for 6 yards (tackle by Simeon Rice),2.410,1.890
4,1:14,,,,21,28,Timeout #3 by St. Louis Rams,0.000,1.890
4,1:14,4,1,TAM 26,21,28,Jeff Wilkins 44 yard field goal no good,1.890,-1.200
4,1:09,1,10,TAM 34,21,28,Brian Griese pass complete to Michael Pittman for 5 yards (tackle by Jerametrius Butler),1.200,1.330
4,0:53,2,5,TAM 39,21,28,Brian Griese spiked the ball,1.330,0.630
4,0:53,3,5,TAM 39,21,28,Brian Griese pass incomplete intended for Ken Dilger (defended by Tommy Polley),0.630,-0.780
4,0:48,4,5,TAM 39,21,28,Brian Griese pass complete to Michael Clayton for 25 yards (tackle by Jerametrius Butler),-0.780,3.180
4,0:43,1,10,STL 36,21,28,Brian Griese pass incomplete intended for Tim Brown,3.180,2.640
4,0:38,2,10,STL 36,21,28,"Brian Griese pass complete to Tim Brown for 21 yards (tackle by Aeneas Williams). Tim Brown fumbles (forced by Aeneas Williams), recovered by Jerametrius Butler at STL-10 and returned for 2 yards (tackle by Bill Schroeder)",2.640,0.350
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
4,0:26,1,10,STL 12,21,28,Marc Bulger up the middle for -1 yards (tackle by Anthony McFarland),-0.350,-0.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
