Quarter,Time,Down,ToGo,Location,CAR,TEN,Detail,EPB,EPA
2,0:12,4,18,CAR 6,14,10,"Brad Nortman punts 44 yards, out of bounds",-2.490,-2.260
2,0:04,1,10,,14,10,Marcus Mariota pass incomplete deep right intended for Dorial Green-Beckham,2.260,1.710
Quarter,Time,Down,ToGo,Location,CAR,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 35,14,10,"Ryan Succop kicks off 66 yards, returned by Fozzy Whittaker for 22 yards (tackle by David Bass). Penalty on A.J. Klein: Offensive Holding, 10 yards",0.000,0.370
3,14:54,1,10,CAR 11,14,10,Jonathan Stewart right end for 4 yards (tackle by Avery Williamson),-0.370,-0.430
3,14:21,2,6,CAR 15,14,10,Jonathan Stewart left guard for 5 yards (tackle by Jurrell Casey),-0.430,-0.370
3,13:39,3,1,CAR 20,14,10,Mike Tolbert right tackle for 2 yards (tackle by Avery Williamson and Wesley Woodyard),-0.370,0.410
3,13:01,1,10,CAR 22,14,10,Cam Newton sacked by Michael Griffin for -7 yards,0.410,0.410
3,12:12,1,10,CAR 22,14,10,Timeout #1 by Carolina Panthers,0.410,-1.210
3,12:12,2,17,CAR 15,14,10,Cam Newton sacked by Wesley Woodyard for -1 yards,-1.210,-2.240
3,11:39,3,18,CAR 14,14,10,Cam Newton sacked by Brian Orakpo for -6 yards,-2.240,-2.490
3,10:59,4,24,CAR 8,14,10,"Brad Nortman punts 63 yards, out of bounds",-2.490,-0.870
3,10:51,1,10,TEN 29,14,10,Marcus Mariota pass complete short right to Justin Hunter for 8 yards (tackle by Josh Norman),0.870,1.410
3,10:14,2,2,TEN 37,14,10,Antonio Andrews middle for 4 yards (tackle by A.J. Klein),1.410,1.660
3,9:39,1,10,TEN 41,14,10,Antonio Andrews left tackle for no gain (tackle by Star Lotulelei),1.660,1.120
3,9:05,2,10,TEN 41,14,10,Antonio Andrews middle for -2 yards (tackle by A.J. Klein),1.120,0.170
3,8:23,3,12,TEN 39,14,10,Marcus Mariota pass incomplete deep left intended for Dorial Green-Beckham is intercepted by Kurt Coleman at CAR-42,0.170,-1.730
3,8:17,1,10,CAR 42,14,10,Jonathan Stewart left tackle for -2 yards (tackle by Avery Williamson),1.730,0.920
3,7:38,2,12,CAR 40,14,10,Cam Newton pass complete short left to Ted Ginn for 8 yards (tackle by Coty Sensabaugh),0.920,1.290
3,6:57,3,4,CAR 48,14,10,Cam Newton pass complete short left to Ted Ginn for 6 yards (tackle by Brian Orakpo),1.290,2.520
3,6:25,1,10,TEN 46,14,10,Jonathan Stewart right tackle for 1 yard (tackle by Avery Williamson),2.520,2.110
3,5:42,2,9,TEN 45,14,10,Cam Newton pass incomplete short left intended for Ted Ginn,2.110,1.420
3,5:35,3,9,TEN 45,14,10,Cam Newton pass incomplete deep left intended for Jerricho Cotchery,1.420,0.270
3,5:30,4,9,TEN 45,14,10,"Brad Nortman punts 34 yards, fair catch by Dexter McCluster",0.270,0.370
3,5:24,1,10,TEN 11,14,10,Marcus Mariota pass complete short left to Justin Hunter for 5 yards,-0.370,-0.300
3,4:55,2,5,TEN 16,14,10,Antonio Andrews left tackle for 4 yards (tackle by Josh Norman),-0.300,-0.370
3,4:15,3,1,TEN 20,14,10,Marcus Mariota pass incomplete short left intended for Anthony Fasano,-0.370,-2.030
3,4:11,4,1,TEN 20,14,10,"Brett Kern punts 54 yards, returned by Ted Ginn for 15 yards (tackle by Steven Johnson)",-2.030,-1.660
3,4:01,1,10,CAR 41,14,10,"Cam Newton pass incomplete deep left intended for Ted Ginn. Penalty on Da'Norris Searcy: Unnecessary Roughness, 15 yards",1.660,2.650
3,3:56,1,10,TEN 44,14,10,Cam Newton pass complete short left to Devin Funchess for 14 yards (tackle by B.W. Webb),2.650,3.580
3,3:21,1,10,TEN 30,14,10,Cam Newton pass incomplete deep left intended for Ted Ginn,3.580,3.030
3,3:15,2,10,TEN 30,14,10,Cam Newton pass complete short right to Ted Ginn for 12 yards,3.030,4.370
3,2:57,1,10,TEN 18,14,10,Jonathan Stewart right end for 4 yards (tackle by Avery Williamson),4.370,4.430
3,2:15,2,6,TEN 14,14,10,"Cam Newton left guard for -4 yards (tackle by Derrick Morgan). Penalty on Cam Newton: Face Mask (15 Yards), 15 yards (no play)",4.430,2.340
3,1:53,2,21,TEN 29,14,10,Cam Newton sacked by Avery Williamson and David Bass for -9 yards,2.340,0.500
3,1:07,3,30,TEN 38,14,10,Cam Newton pass complete short right to Jerricho Cotchery for 8 yards (tackle by B.W. Webb),0.500,1.410
,,,,,,,"TEN challenged the runner was down by contact ruling, and the play was upheld.",,
3,0:28,4,22,TEN 30,17,10,Graham Gano 48 yard field goal good,1.410,3.000
3,0:28,,,CAR 35,17,10,"Graham Gano kicks off 65 yards, touchback",0.000,-0.280
3,0:23,1,10,TEN 20,17,10,Antonio Andrews left tackle for no gain (tackle by Roman Harper),0.280,-0.270
Quarter,Time,Down,ToGo,Location,CAR,TEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,TEN 20,17,10,Bishop Sankey middle for 2 yards (tackle by Kawann Short and Kyle Love),-0.270,-0.690
4,14:14,3,8,TEN 22,17,10,"Marcus Mariota for no gain. Marcus Mariota fumbles, recovered by Marcus Mariota at TEN-12",-0.690,-2.490
4,13:35,4,18,TEN 12,17,10,"Brett Kern punts 54 yards, returned by Ted Ginn for 23 yards (tackle by Daimion Stafford)",-2.490,-2.720
4,13:22,1,10,TEN 43,17,10,Cam Newton pass complete short left to Jerricho Cotchery for -2 yards (tackle by Cody Riggs),2.720,1.910
4,12:50,2,12,TEN 45,17,10,Cam Newton pass complete short left to Greg Olsen for 11 yards (tackle by Michael Griffin),1.910,2.680
4,12:11,3,1,TEN 34,17,10,Cam Newton pass complete short left to Mike Tolbert for 16 yards (tackle by B.W. Webb),2.680,4.370
4,11:28,1,10,TEN 18,17,10,Jonathan Stewart left tackle for 13 yards (tackle by Michael Griffin),4.370,6.060
4,10:49,1,5,TEN 5,17,10,Cam Newton left end for 4 yards (tackle by Brian Orakpo),6.060,5.910
4,10:14,2,1,TEN 1,17,10,Jonathan Stewart middle for no gain (tackle by Jurrell Casey and Sammie Lee Hill),5.910,5.170
4,9:55,3,1,TEN 1,17,10,Mike Tolbert right tackle for no gain (tackle by Wesley Woodyard),5.170,3.550
4,9:10,4,1,TEN 1,20,10,Graham Gano 19 yard field goal good,3.550,3.000
4,9:10,,,CAR 35,20,10,"Graham Gano kicks off 66 yards, returned by Dexter McCluster for 18 yards (tackle by Tre Boston)",0.000,0.060
4,9:02,1,10,TEN 17,20,10,Marcus Mariota sacked by Kony Ealy for -7 yards,-0.060,-1.290
4,8:23,2,17,TEN 10,20,10,Marcus Mariota pass incomplete short right intended for Dexter McCluster,-1.290,-2.240
4,8:16,3,17,TEN 10,20,10,Marcus Mariota pass complete short right to Justin Hunter for 10 yards (tackle by Charles Tillman),-2.240,-2.030
4,7:40,4,7,TEN 20,20,10,"Brett Kern punts 56 yards, returned by Ted Ginn for 12 yards (tackle by Beau Brinkley)",-2.030,-1.330
4,7:26,1,10,CAR 36,20,10,Cam Newton pass complete short left to Greg Olsen for 18 yards (tackle by Brian Orakpo),1.330,2.520
4,6:45,1,10,TEN 46,20,10,Jonathan Stewart middle for 3 yards (tackle by Avery Williamson and Al Woods),2.520,2.380
4,6:01,2,7,TEN 43,20,10,Jonathan Stewart left tackle for 6 yards (tackle by Wesley Woodyard),2.380,2.480
4,5:20,3,1,TEN 37,20,10,Cam Newton middle for 2 yards (tackle by Al Woods),2.480,3.250
4,4:36,1,10,TEN 35,20,10,Jonathan Stewart left guard for 4 yards (tackle by Wesley Woodyard and Derrick Morgan),3.250,3.240
4,3:52,2,6,TEN 31,20,10,Cam Newton left end for 7 yards,3.240,3.970
4,3:07,1,10,TEN 24,20,10,Jonathan Stewart right tackle for 17 yards (tackle by B.W. Webb and Michael Griffin),3.970,5.600
4,2:59,1,7,TEN 7,20,10,Jonathan Stewart left guard for 6 yards (tackle by Avery Williamson and Michael Griffin),5.600,5.600
4,2:53,1,7,TEN 7,20,10,Timeout #2 by Tennessee Titans,5.600,5.910
4,2:53,2,1,TEN 1,20,10,Jonathan Stewart right guard for -1 yards (tackle by David Bass),5.910,5.910
4,2:48,2,1,TEN 1,20,10,Timeout #3 by Tennessee Titans,5.910,4.950
4,2:48,3,2,TEN 2,26,10,"Cam Newton right guard for 2 yards, touchdown",4.950,7.000
4,2:48,,,TEN 2,27,10,"Graham Gano kicks extra point good. Penalty on Marqueston Huff: Defensive Offside, 5 yards",0.000,0.000
4,2:48,,,CAR 40,27,10,"Graham Gano kicks off 60 yards, returned by Dexter McCluster for 13 yards (tackle by Teddy Williams)",0.000,0.320
4,2:37,1,10,TEN 13,27,10,Marcus Mariota pass complete short right to Harry Douglas for 1 yard (tackle by Jared Allen),-0.320,-0.680
4,2:11,2,9,TEN 14,27,10,Marcus Mariota pass complete deep left to Justin Hunter for 24 yards (tackle by Charles Tillman and Kurt Coleman),-0.680,1.470
4,2:00,1,10,TEN 38,27,10,Marcus Mariota pass complete short right to Dexter McCluster for 5 yards (tackle by Luke Kuechly),1.470,1.600
4,1:34,2,5,TEN 43,27,10,Marcus Mariota pass incomplete deep right intended for Rico Richardson,1.600,0.890
4,1:28,3,5,TEN 43,27,10,Marcus Mariota pass complete short middle to Harry Douglas for 19 yards (tackle by Tre Boston),0.890,3.050
4,1:10,1,10,CAR 38,27,10,"Marcus Mariota pass complete short middle to Dexter McCluster for 3 yards (tackle by Luke Kuechly). Dexter McCluster fumbles (forced by Luke Kuechly), recovered by Kawann Short at CAR-35 (tackle by Andy Gallik)",3.050,-1.270
4,1:00,1,10,CAR 35,27,10,Cam Newton kneels for -1 yards,1.270,0.590
4,0:35,2,11,CAR 34,27,10,Cam Newton kneels for -1 yards,0.590,-0.230
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
