Quarter,Time,Down,ToGo,Location,CAR,IND,Detail,EPB,EPA
Quarter,Time,Down,ToGo,Location,CAR,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,CAR 31,0,14,Christian McCaffrey right tackle for 4 yards (tackle by Anthony Walker),0.530,0.370
2,14:25,3,5,CAR 35,0,14,Will Grier pass complete deep right to Jarius Wright for 19 yards (tackle by Malik Hooker),0.370,2.520
2,13:49,1,10,IND 46,0,14,Will Grier pass incomplete short right,2.520,1.980
2,13:41,2,10,IND 46,0,14,Will Grier pass complete short right to Christian McCaffrey for 7 yards (tackle by Anthony Walker),1.980,2.210
2,13:05,3,3,IND 39,0,14,Will Grier sacked by Anthony Walker for no gain,2.210,0.660
2,12:21,4,3,IND 39,0,14,Will Grier pass complete short right to Curtis Samuel for 12 yards (tackle by Pierre Desir),0.660,3.780
2,11:43,1,10,IND 27,0,14,Christian McCaffrey right end for 14 yards (tackle by Clayton Geathers),3.780,4.710
2,11:06,1,10,IND 13,0,14,Christian McCaffrey right tackle for 4 yards (tackle by Bobby Okereke),4.710,4.770
2,10:31,2,6,IND 9,0,14,Will Grier pass incomplete short right intended for Greg Olsen,4.770,3.880
2,10:27,3,6,IND 9,0,14,Will Grier pass incomplete short right intended for Greg Olsen (defended by Pierre Desir),3.880,2.850
2,10:22,4,6,IND 9,3,14,Joey Slye 27 yard field goal good,2.850,3.000
2,10:18,,,CAR 35,3,14,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
2,10:18,1,10,IND 25,3,14,Marlon Mack up the middle for 6 yards (tackle by Mario Addison),0.610,0.870
2,9:48,2,4,IND 31,3,14,Marlon Mack up the middle for 6 yards (tackle by James Bradberry),0.870,1.400
2,9:12,1,10,IND 37,3,14,Jacoby Brissett pass complete short right to T.Y. Hilton for 7 yards (tackle by James Bradberry),1.400,1.800
2,8:31,2,3,IND 44,3,14,Jacoby Brissett pass complete short middle to Marlon Mack for 3 yards (tackle by Luke Kuechly),1.800,2.060
2,7:49,1,10,IND 47,3,14,Marlon Mack left end for 4 yards (tackle by Jermaine Carter),2.060,2.060
2,7:10,2,6,CAR 49,3,14,Jordan Wilkins right guard for 2 yards (tackle by Javien Elliott and Luke Kuechly),2.060,1.620
2,6:34,3,4,CAR 47,3,14,Jacoby Brissett right tackle for 24 yards (tackle by James Bradberry),1.620,4.040
2,5:45,1,10,CAR 23,3,14,Jacoby Brissett pass complete deep left to Mo Alie-Cox for 21 yards (tackle by Ross Cockrell),4.040,6.740
2,5:17,1,2,CAR 2,3,20,"Marlon Mack up the middle for 2 yards, touchdown",6.740,7.000
2,5:14,,,CAR 15,3,21,Chase McLaughlin kicks extra point good,0.000,0.000
2,5:14,,,IND 35,3,21,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
2,5:14,1,10,CAR 25,3,21,Will Grier pass complete short middle to Christian McCaffrey for 10 yards (tackle by Bobby Okereke),0.610,1.270
2,4:39,1,10,CAR 35,3,21,Will Grier sacked by Grover Stewart for -11 yards,1.270,-0.760
2,3:57,2,21,CAR 24,3,21,Will Grier pass complete short right to Christian McCaffrey for 3 yards (tackle by Pierre Desir),-0.760,-1.020
2,3:20,3,18,CAR 27,3,21,Will Grier pass deep right intended for Jarius Wright is intercepted by Anthony Walker at IND-35 and returned for no gain,-1.020,-1.270
2,3:12,1,10,IND 35,3,21,Jacoby Brissett pass incomplete deep right intended for T.Y. Hilton,1.270,0.720
2,3:06,2,10,IND 35,3,21,Jacoby Brissett pass complete deep left to Dontrelle Inman for 18 yards (tackle by Tre Boston),0.720,2.460
2,2:37,1,10,CAR 47,3,21,Marlon Mack up the middle for 7 yards (tackle by Wes Horton),2.460,2.860
2,2:00,2,3,CAR 40,3,21,"Jacoby Brissett left end for 12 yards (tackle by Ross Cockrell). Penalty on Ross Cockrell: Illegal Contact, 5 yards",2.860,4.040
2,1:53,1,10,CAR 23,3,21,Marlon Mack left end for 11 yards (tackle by Vernon Butler),4.040,4.780
2,1:47,1,10,CAR 12,3,21,Marlon Mack left guard for 4 yards (tackle by Eric Reid),4.780,4.830
2,1:16,2,6,CAR 8,3,21,Marlon Mack up the middle for 5 yards (tackle by Ross Cockrell and Eric Reid),4.830,5.060
2,0:50,,,,,,Timeout #2 by Carolina Panthers,,
2,0:50,3,1,CAR 3,3,21,Jacoby Brissett pass incomplete short right,5.060,3.060
2,0:45,,,,,,Timeout #1 by Indianapolis Colts,,
2,0:45,4,1,CAR 3,3,21,Marlon Mack left end for -1 yards (tackle by Ross Cockrell),3.060,0.380
2,0:39,1,10,CAR 4,3,21,Christian McCaffrey right tackle for 4 yards (tackle by George Odum and Pierre Desir),-0.380,-0.490
Quarter,Time,Down,ToGo,Location,CAR,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 35,3,21,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,IND 25,3,21,Jacoby Brissett pass complete short middle to Ross Travis for 19 yards (tackle by Ross Cockrell),0.610,1.860
3,14:24,1,10,IND 44,3,21,Jacoby Brissett pass complete short left to Zach Pascal for 6 yards (tackle by Tre Boston and Javien Elliott),1.860,2.130
3,13:46,2,4,IND 50,3,21,Jacoby Brissett pass complete short middle to Marlon Mack for 3 yards (tackle by Luke Kuechly),2.130,1.820
3,13:26,3,1,CAR 47,3,21,"Marlon Mack left tackle for 3 yards (tackle by Bruce Irvin). Penalty on Vernon Butler: Disqualification, 15 yards",1.820,3.640
3,13:03,1,10,CAR 29,3,21,Jacoby Brissett pass complete short left to T.Y. Hilton for 8 yards (tackle by Ross Cockrell),3.640,4.180
3,12:30,2,2,CAR 21,3,21,Jordan Wilkins right tackle for 8 yards (tackle by Eric Reid),4.180,4.710
3,11:52,1,10,CAR 13,3,21,Jacoby Brissett pass incomplete short middle intended for Jack Doyle,4.710,4.050
3,11:47,2,10,CAR 13,3,21,Jacoby Brissett sacked by Bruce Irvin for -4 yards,4.050,2.880
3,11:07,3,14,CAR 17,3,21,Jacoby Brissett pass incomplete short right intended for Zach Pascal (defended by James Bradberry),2.880,2.310
3,11:03,4,14,CAR 17,3,24,Chase McLaughlin 35 yard field goal good,2.310,3.000
3,10:59,,,IND 35,3,24,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
3,10:59,1,10,CAR 25,3,24,Christian McCaffrey left tackle for 1 yard (tackle by Grover Stewart),0.610,0.200
3,10:29,2,9,CAR 26,3,24,Will Grier left end for 11 yards (tackle by Darius Leonard),0.200,1.400
3,9:54,1,10,CAR 37,3,24,Curtis Samuel right end for 3 yards (tackle by Anthony Walker),1.400,1.260
3,9:18,2,7,CAR 40,3,24,Will Grier pass complete short left to Christian McCaffrey for 9 yards (tackle by Bobby Okereke),1.260,2.190
3,8:54,1,10,CAR 49,3,24,Will Grier pass complete short right to Christian McCaffrey for 4 yards (tackle by Bobby Okereke),2.190,2.190
3,8:16,2,6,IND 47,3,24,Christian McCaffrey right tackle for 6 yards (tackle by Pierre Desir and Clayton Geathers),2.190,2.850
3,7:39,1,10,IND 41,3,24,Will Grier pass complete short left to Chris Hogan for 9 yards (tackle by Anthony Walker and Clayton Geathers),2.850,3.520
3,6:59,2,1,IND 32,3,24,Christian McCaffrey up the middle for 2 yards (tackle by Tyquan Lewis),3.520,3.580
3,6:17,1,10,IND 30,3,24,Will Grier sacked by Al-Quadin Muhammad for -10 yards,3.580,1.680
3,5:36,2,20,IND 40,3,24,Will Grier pass complete short right to Chris Hogan for 7 yards (tackle by Khari Willis),1.680,1.950
3,5:04,3,13,IND 33,3,24,Will Grier left end for 1 yard (tackle by Bobby Okereke),1.950,1.240
3,4:21,4,12,IND 32,6,24,Joey Slye 50 yard field goal good,1.240,3.000
3,4:16,,,CAR 35,6,24,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
3,4:16,1,10,IND 25,6,24,Jacoby Brissett pass incomplete deep right,0.610,0.060
3,4:09,2,10,IND 25,6,24,Jacoby Brissett pass complete short left to Nyheim Hines for 2 yards (tackle by Ross Cockrell),0.060,-0.360
3,3:31,3,8,IND 27,6,24,Jacoby Brissett pass incomplete deep right intended for Marcus Johnson,-0.360,-1.570
3,3:26,4,8,IND 27,6,24,"Rigoberto Sanchez punts 51 yards, returned by Chris Hogan for 8 yards (tackle by Zaire Franklin)",-1.570,-0.940
3,3:15,1,10,CAR 30,6,24,Will Grier pass complete short middle to Christian McCaffrey for 2 yards (tackle by Anthony Walker),0.940,0.660
3,2:42,2,8,CAR 32,6,24,Will Grier pass incomplete short left intended for Jarius Wright,0.660,-0.030
3,2:38,3,8,CAR 32,6,24,Will Grier pass complete short left to Christian McCaffrey for 10 yards (tackle by Briean Boddy-Calhoun and Darius Leonard),-0.030,1.730
3,2:11,1,10,CAR 42,6,24,Will Grier pass incomplete deep left intended for Greg Olsen,1.730,1.190
3,2:06,2,10,CAR 42,6,24,Will Grier pass complete short middle to Ian Thomas for 2 yards (tackle by Briean Boddy-Calhoun),1.190,0.760
3,1:28,3,8,CAR 44,6,24,Will Grier pass complete short right to Christian McCaffrey for 10 yards (tackle by Darius Leonard),0.760,2.520
3,1:07,1,10,IND 46,6,24,Will Grier pass incomplete deep right,2.520,1.980
3,0:56,2,10,IND 46,6,24,Will Grier pass incomplete deep right intended for Curtis Samuel,1.980,1.290
3,0:52,3,10,IND 46,6,24,Will Grier pass incomplete deep right intended for Chris Hogan,1.290,0.200
3,0:47,4,10,IND 46,6,24,Michael Palardy pass complete short right to DeAndrew White for 12 yards (tackle by George Odum),0.200,3.310
3,0:01,1,10,IND 34,6,24,Will Grier pass complete short middle to Christian McCaffrey for 13 yards (tackle by Briean Boddy-Calhoun and Darius Leonard),3.310,4.170
Quarter,Time,Down,ToGo,Location,CAR,IND,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,IND 21,6,24,Will Grier pass complete short right to Christian McCaffrey for 4 yards (tackle by Anthony Walker),4.170,4.200
4,14:45,2,6,IND 17,6,24,Christian McCaffrey right guard for 2 yards (tackle by Darius Leonard),4.200,3.810
4,14:10,3,4,IND 15,6,24,Will Grier pass complete short middle to Brandon Zylstra for 3 yards (tackle by Pierre Desir and Anthony Walker),3.810,2.780
4,13:45,4,1,IND 12,6,24,Will Grier left guard for no gain (tackle by Justin Houston and Anthony Walker),2.780,0.350
4,13:38,1,10,IND 12,6,24,Marlon Mack up the middle for 3 yards (tackle by Javien Elliott and Gerald McCoy),-0.350,-0.500
4,13:04,2,7,IND 15,6,24,Marlon Mack left tackle for 3 yards (tackle by Jermaine Carter),-0.500,-0.720
4,12:22,,,,,,Timeout #2 by Indianapolis Colts,,
4,12:22,3,4,IND 18,6,24,"Jacoby Brissett pass incomplete short middle intended for Zach Pascal (defended by Tre Boston). Penalty on Gerald McCoy: Roughing the Passer, 15 yards (no play)",-0.720,1.140
4,12:18,1,10,IND 33,6,24,Jacoby Brissett sacked by Brian Burns for no gain,1.140,0.590
4,11:34,2,10,IND 33,6,24,Marlon Mack up the middle for 30 yards (tackle by Javien Elliott),0.590,3.120
4,10:42,1,10,CAR 37,6,24,Jacoby Brissett sacked by Bruce Irvin for -9 yards,3.120,1.360
4,10:00,2,19,CAR 46,6,24,Jacoby Brissett pass complete short right to Jack Doyle for 6 yards,1.360,1.490
4,9:19,3,13,CAR 40,6,24,Jacoby Brissett pass incomplete short left intended for Dontrelle Inman,1.490,0.590
4,9:15,4,13,CAR 40,6,24,Rigoberto Sanchez punts 36 yards downed by George Odum,0.590,0.380
4,9:08,1,10,CAR 4,6,24,Will Grier pass complete short middle to Christian McCaffrey for 13 yards (tackle by Bobby Okereke and Darius Leonard),-0.380,-0.060
4,8:46,1,10,CAR 17,6,24,Will Grier pass complete short right to Christian McCaffrey for 8 yards (tackle by Briean Boddy-Calhoun and Darius Leonard),-0.060,0.620
4,8:21,2,2,CAR 25,6,24,Will Grier pass incomplete deep right intended for Curtis Samuel (defended by Pierre Desir),0.620,-0.240
4,8:15,3,2,CAR 25,6,24,Will Grier sacked by Al-Quadin Muhammad for -7 yards,-0.240,-2.240
4,7:34,4,9,CAR 18,6,30,"Michael Palardy punts 53 yards, returned by Nyheim Hines for 71 yards, touchdown",-2.240,-7.000
4,7:16,,,CAR 15,6,31,Chase McLaughlin kicks extra point good,0.000,0.000
4,7:16,,,IND 35,6,31,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
4,7:16,1,10,CAR 25,6,31,Will Grier pass complete short right to Christian McCaffrey for 8 yards (tackle by Malik Hooker),0.610,1.140
4,6:53,2,2,CAR 33,6,31,Will Grier pass deep right intended for DeAndrew White is intercepted by Pierre Desir at IND-24 and returned for no gain,1.140,-0.540
4,6:44,1,10,IND 24,6,31,Jordan Wilkins left end for 13 yards (tackle by Eric Reid),0.540,1.400
4,6:03,1,10,IND 37,6,31,Jordan Wilkins right end for 10 yards (tackle by Tre Boston),1.400,2.060
4,5:24,1,10,IND 47,6,31,Jordan Wilkins up the middle for 9 yards (tackle by Eric Reid),2.060,2.730
4,4:47,2,1,CAR 44,6,31,Nyheim Hines left tackle for 4 yards (tackle by Luke Kuechly),2.730,2.920
4,4:05,1,10,CAR 40,6,31,"Jordan Wilkins up the middle for 38 yards (tackle by Tre Boston). Penalty on Tre Boston: Horse Collar Tackle, 1 yard",2.920,6.970
4,3:53,1,1,CAR 1,6,31,Jordan Wilkins right guard for no gain (tackle by Luke Kuechly),6.970,5.910
4,3:16,2,1,CAR 1,6,31,Jacoby Brissett pass incomplete short left intended for Ross Travis,5.910,5.170
4,3:13,3,1,CAR 1,6,37,"Jordan Wilkins right end for 1 yard, touchdown",5.170,7.000
4,3:10,,,CAR 15,6,38,Chase McLaughlin kicks extra point good,0.000,0.000
4,3:10,,,IND 35,6,38,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
4,3:10,1,10,CAR 25,6,38,Reggie Bonnafon up the middle for 5 yards (tackle by Briean Boddy-Calhoun),0.610,0.740
4,2:49,2,5,CAR 30,6,38,Will Grier pass complete short right to Ian Thomas for 7 yards (tackle by Darius Leonard),0.740,1.400
4,2:25,1,10,CAR 37,6,38,Reggie Bonnafon right end for 7 yards (tackle by Darius Leonard),1.400,1.800
4,2:00,2,3,CAR 44,6,38,Will Grier pass complete short middle to Ian Thomas for 7 yards (tackle by Bobby Okereke),1.800,2.320
4,1:43,1,10,IND 49,6,38,Will Grier pass deep right intended for DeAndrew White is intercepted by Pierre Desir at IND-7 and returned for no gain,2.320,0.380
4,1:32,1,10,IND 7,6,38,Brian Hoyer kneels for no gain,-0.380,-0.780
4,0:52,2,10,IND 7,6,38,Brian Hoyer kneels for -1 yards,-0.780,-1.540
4,0:32,3,11,IND 6,6,38,Brian Hoyer kneels for -1 yards,-1.540,-2.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
