Quarter,Time,Down,ToGo,Location,PHI,CHI,Detail,EPB,EPA
1,2:41,4,4,PHI 42,3,0,Pat O'Donnell punts 35 yards downed by Taquan Mizzell,0.460,0.380
1,2:28,1,10,PHI 7,3,0,Darren Sproles right tackle for 1 yard (tackle by Danny Trevathan),-0.380,-0.710
1,1:46,2,9,PHI 8,3,0,Nick Foles pass incomplete short left intended for Alshon Jeffery,-0.710,-1.300
1,1:39,3,9,PHI 8,3,0,Darren Sproles left guard for 10 yards (tackle by Deon Bush),-1.300,0.040
1,1:01,1,10,PHI 18,3,0,Wendell Smallwood right end for -1 yards (tackle by Akiem Hicks),0.040,-0.650
1,0:19,2,11,PHI 17,3,0,Nick Foles pass complete short right to Alshon Jeffery for 13 yards (tackle by Kyle Fuller),-0.650,0.940
Quarter,Time,Down,ToGo,Location,PHI,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PHI 30,3,0,Nick Foles pass complete deep right to Alshon Jeffery for 30 yards,0.940,2.920
2,14:25,1,10,CHI 40,3,0,Nick Foles pass short middle intended for Wendell Smallwood is intercepted by Roquan Smith at CHI-35 and returned for no gain,2.920,-1.270
2,14:21,1,10,CHI 35,3,0,Mitchell Trubisky left tackle for -1 yards (tackle by Nigel Bradham),1.270,0.590
2,13:43,2,11,CHI 34,3,0,Mitchell Trubisky pass complete short left to Adam Shaheen for 6 yards (tackle by Malcolm Jenkins),0.590,0.700
2,12:58,3,5,CHI 40,3,0,"Mitchell Trubisky pass complete short right to Anthony Miller for 2 yards (tackle by Cre'von LeBlanc). Penalty on Michael Bennett: Unnecessary Roughness, 15 yards",0.700,2.720
2,12:26,1,10,PHI 43,3,0,Mitchell Trubisky pass complete deep middle to Tarik Cohen for 19 yards (tackle by Rasul Douglas),2.720,3.970
2,11:47,,,,,,Timeout #1 by Chicago Bears,,
2,11:47,1,10,PHI 24,3,0,Tarik Cohen left end for no gain (tackle by Rasul Douglas),3.970,3.430
2,11:06,2,10,PHI 24,3,0,Mitchell Trubisky pass complete short left to Allen Robinson for no gain (tackle by Malcolm Jenkins),3.430,2.740
2,10:19,3,10,PHI 24,3,0,Mitchell Trubisky left end for 6 yards (tackle by Malcolm Jenkins),2.740,2.320
2,9:42,4,4,PHI 18,3,3,Cody Parkey 36 yard field goal good,2.320,3.000
2,9:38,,,CHI 35,3,3,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
2,9:38,1,10,PHI 25,3,3,Wendell Smallwood left guard for 10 yards (tackle by Adrian Amos),0.610,1.270
2,9:07,1,10,PHI 35,3,3,Wendell Smallwood right tackle for no gain (tackle by Eddie Goldman and Leonard Floyd),1.270,0.720
2,8:25,2,10,PHI 35,3,3,Nick Foles pass complete short right to Nelson Agholor for 11 yards,0.720,1.990
2,7:57,1,10,PHI 46,3,3,Darren Sproles left tackle for 5 yards (tackle by Roquan Smith),1.990,2.130
2,7:16,2,5,CHI 49,3,3,Darren Sproles left end for -1 yards (tackle by Sherrick McManis),2.130,1.290
2,6:40,3,6,PHI 50,3,3,Nick Foles pass complete deep middle to Golden Tate for 28 yards (tackle by Adrian Amos),1.290,4.110
2,6:02,1,10,CHI 22,3,3,Darren Sproles right guard for 1 yard (tackle by Eddie Goldman),4.110,3.700
2,5:27,2,9,CHI 21,3,3,Nick Foles pass deep right intended for Nelson Agholor is intercepted by Adrian Amos at CHI-0 and returned for no gain,3.700,-0.280
2,5:18,1,10,CHI 20,3,3,Jordan Howard left end for 1 yard (tackle by Nigel Bradham),0.280,-0.130
2,4:36,2,9,CHI 21,3,3,Mitchell Trubisky pass incomplete short right intended for Allen Robinson (defended by Avonte Maddox),-0.130,-0.820
2,4:31,3,9,CHI 21,3,3,Mitchell Trubisky pass incomplete deep right intended for Allen Robinson (defended by Avonte Maddox),-0.820,-1.960
2,4:21,4,9,CHI 21,3,3,"Pat O'Donnell punts 46 yards, returned by Darren Sproles for -1 yards (tackle by Nick Kwiatkoski)",-1.960,-1.070
2,4:10,1,10,PHI 32,3,3,Wendell Smallwood left tackle for -2 yards (tackle by Akiem Hicks and Roquan Smith),1.070,0.260
2,3:26,2,12,PHI 30,3,3,Nick Foles pass incomplete short middle intended for Darren Sproles (defended by Leonard Floyd),0.260,-0.430
2,3:22,3,12,PHI 30,3,3,Nick Foles pass complete short middle to Golden Tate for 6 yards (tackle by Sherrick McManis),-0.430,-0.980
2,2:45,4,6,PHI 36,3,3,Cameron Johnston punts 53 yards out of bounds,-0.980,0.370
2,2:38,1,10,CHI 11,3,3,Mitchell Trubisky pass complete short left to Taylor Gabriel for 1 yard (tackle by Rasul Douglas),-0.370,-0.710
2,2:00,2,9,CHI 12,3,3,Mitchell Trubisky pass complete short middle to Anthony Miller for 9 yards (tackle by Corey Graham). Penalty on Timmy Jernigan: Defensive Offside (Declined),-0.710,0.340
2,1:52,1,10,CHI 21,3,3,Mitchell Trubisky pass complete deep middle to Anthony Miller for 23 yards (tackle by Tre Sullivan),0.340,1.860
2,1:27,1,10,CHI 44,3,3,Mitchell Trubisky pass complete short left to Allen Robinson for 7 yards (tackle by Rasul Douglas),1.860,2.260
2,1:07,2,3,PHI 49,3,3,Mitchell Trubisky pass incomplete deep middle intended for Adam Shaheen (defended by Tre Sullivan),2.260,1.550
2,1:04,3,3,PHI 49,3,3,"Benny Cunningham right guard for 2 yards (tackle by Brandon Graham). Penalty on Nigel Bradham: Illegal Use of Hands, 5 yards",1.550,2.790
2,0:59,1,10,PHI 42,3,3,Mitchell Trubisky pass complete short left to Allen Robinson for 7 yards (tackle by Corey Graham),2.790,3.190
2,0:36,2,3,PHI 35,3,3,Mitchell Trubisky pass incomplete deep right intended for Anthony Miller (defended by Cre'von LeBlanc),3.190,2.480
2,0:26,3,3,PHI 35,3,3,Mitchell Trubisky pass complete short middle to Taylor Gabriel for 12 yards (tackle by Rasul Douglas),2.480,4.040
2,0:21,,,,,,Timeout #2 by Chicago Bears,,
2,0:21,1,10,PHI 23,3,3,Mitchell Trubisky pass incomplete deep middle intended for Taylor Gabriel (defended by Tre Sullivan),4.040,3.500
2,0:13,2,10,PHI 23,3,3,Mitchell Trubisky pass incomplete short middle intended for Tarik Cohen,3.500,2.810
2,0:09,3,10,PHI 23,3,3,Jordan Howard right guard for 12 yards (tackle by Tre Sullivan),2.810,4.840
2,0:03,,,,,,Timeout #3 by Chicago Bears,,
2,0:03,,,,,,Timeout #1 by Philadelphia Eagles,,
2,0:03,1,10,PHI 11,3,6,Cody Parkey 29 yard field goal good,4.840,-3.000
Quarter,Time,Down,ToGo,Location,PHI,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 35,3,6,"Jake Elliott kicks off 62 yards, returned by Josh Bellamy for no gain (tackle by Deiondre' Hall)",0.000,-0.060
3,14:53,1,10,CHI 17,3,6,Jordan Howard left guard for -1 yards (tackle by Fletcher Cox),-0.060,-0.730
3,14:15,2,11,CHI 16,3,6,Taylor Gabriel right end for 21 yards (tackle by Rasul Douglas),-0.730,1.400
3,13:28,1,10,CHI 37,3,6,Mitchell Trubisky pass complete short middle to Adam Shaheen for no gain (tackle by Nigel Bradham),1.400,0.860
3,12:49,2,10,CHI 37,3,6,Mitchell Trubisky pass complete short left to Allen Robinson for 9 yards (tackle by Rasul Douglas),0.860,1.360
3,12:05,3,1,CHI 46,3,6,Jordan Howard left guard for 5 yards (tackle by Malcolm Jenkins),1.360,2.320
3,11:24,1,10,PHI 49,3,6,Mitchell Trubisky sacked by Timmy Jernigan and Brandon Graham for -5 yards,2.320,1.110
3,10:38,2,15,CHI 46,3,6,Mitchell Trubisky pass complete short middle to Ben Braunecker for 9 yards (tackle by Jordan Hicks),1.110,1.620
3,9:59,3,6,PHI 45,3,6,Mitchell Trubisky pass incomplete short left,1.620,0.270
3,9:51,4,6,PHI 45,3,6,"Pat O'Donnell punts 28 yards, fair catch by Darren Sproles at PHI-17",0.270,0.060
3,9:43,1,10,PHI 17,3,6,Nick Foles pass complete short middle to Zach Ertz for 5 yards (tackle by Danny Trevathan),-0.060,0.210
3,9:06,2,5,PHI 22,3,6,Darren Sproles left tackle for -1 yards (tackle by Eddie Goldman),0.210,-0.750
3,8:21,3,6,PHI 21,3,6,"Nick Foles pass incomplete deep left intended for Zach Ertz. Penalty on Adrian Amos: Unnecessary Roughness, 14 yards (no play)",-0.750,1.270
3,8:14,1,10,PHI 35,3,6,Nick Foles pass complete short left to Darren Sproles for 4 yards (tackle by Adrian Amos),1.270,1.260
3,7:53,2,6,PHI 39,3,6,Nick Foles pass complete short middle to Golden Tate for 1 yard (tackle by Danny Trevathan),1.260,0.700
3,7:09,3,5,PHI 40,3,6,Nick Foles pass complete short left to Golden Tate for 9 yards,0.700,2.190
3,6:37,1,10,PHI 49,3,6,"Penalty on CHI: Defensive Too Many Men on Field, 5 yards (no play)",2.190,2.920
3,6:15,1,5,CHI 46,3,6,Darren Sproles left tackle for 3 yards (tackle by Roquan Smith),2.920,2.730
3,5:32,2,2,CHI 43,3,6,"Nick Foles pass incomplete deep left intended for Jordan Matthews. Penalty on Prince Amukamara: Defensive Pass Interference, 33 yards (no play)",2.730,4.910
3,5:26,1,10,CHI 10,9,6,"Nick Foles pass complete short middle to Dallas Goedert for 10 yards, touchdown",4.910,7.000
3,5:20,,,CHI 15,10,6,Jake Elliott kicks extra point good,0.000,0.000
3,5:20,,,PHI 35,10,6,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
3,5:20,1,10,CHI 25,10,6,Mitchell Trubisky pass incomplete short middle intended for Taylor Gabriel (defended by Rasul Douglas),0.610,0.060
3,5:15,2,10,CHI 25,10,6,Jordan Howard right guard for 2 yards (tackle by Michael Bennett and Fletcher Cox),0.060,-0.360
3,4:38,3,8,CHI 27,10,6,Mitchell Trubisky pass complete short middle to Adam Shaheen for 7 yards (tackle by Cre'von LeBlanc),-0.360,-1.110
3,3:58,4,1,CHI 34,10,6,Pat O'Donnell punts 49 yards out of bounds,-1.110,0.060
3,3:47,1,10,PHI 17,10,6,Nick Foles pass complete short right to Zach Ertz for 11 yards (tackle by Kyle Fuller),-0.060,0.810
3,3:13,1,10,PHI 28,10,6,Nick Foles pass complete short right to Darren Sproles for 10 yards (tackle by Roquan Smith),0.810,1.470
3,2:25,1,10,PHI 38,10,6,Darren Sproles left tackle for 2 yards (tackle by Khalil Mack),1.470,1.190
3,1:52,2,8,PHI 40,10,6,Nick Foles pass incomplete deep left intended for Alshon Jeffery (defended by Prince Amukamara),1.190,0.500
3,1:46,3,8,PHI 40,10,6,Nick Foles pass incomplete short middle intended for Golden Tate (defended by Adrian Amos),0.500,-0.720
3,1:42,4,8,PHI 40,10,6,"Cameron Johnston punts 38 yards, fair catch by Tarik Cohen at CHI-22",-0.720,-0.410
3,1:33,1,10,CHI 22,10,6,Mitchell Trubisky pass complete short middle to Allen Robinson for 12 yards (tackle by Avonte Maddox),0.410,1.200
3,0:58,1,10,CHI 34,10,6,Mitchell Trubisky pass complete deep right to Allen Robinson for 45 yards (tackle by Tre Sullivan),1.200,4.170
3,0:14,1,10,PHI 21,10,6,Mitchell Trubisky pass incomplete deep right intended for Allen Robinson,4.170,3.630
3,0:09,2,10,PHI 21,10,6,Mitchell Trubisky pass complete short right to Tarik Cohen for 1 yard (tackle by Corey Graham),3.630,3.070
Quarter,Time,Down,ToGo,Location,PHI,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,9,PHI 20,10,6,Mitchell Trubisky left tackle for 4 yards (tackle by Malcolm Jenkins),3.070,2.430
4,14:17,4,5,PHI 16,10,9,Cody Parkey 34 yard field goal good,2.430,3.000
4,14:13,,,CHI 35,10,9,"Cody Parkey kicks off 60 yards, returned by Boston Scott for no gain (tackle by DeAndre Houston-Carson)",0.000,0.670
4,14:06,1,10,PHI 26,10,9,Nick Foles pass complete short left to Alshon Jeffery for 1 yard (tackle by Leonard Floyd),0.670,0.270
4,13:28,2,9,PHI 27,10,9,Wendell Smallwood right guard for 6 yards (tackle by Danny Trevathan),0.270,0.370
4,12:43,3,3,PHI 33,10,9,Darren Sproles right guard for 2 yards (tackle by Khalil Mack),0.370,-1.040
4,12:08,4,1,PHI 35,10,9,"Cameron Johnston punts 45 yards, fair catch by Tarik Cohen at CHI-20",-1.040,-0.280
4,12:00,1,10,CHI 20,10,9,Taylor Gabriel right end for -1 yards (tackle by Jordan Hicks),0.280,-0.460
4,11:16,2,11,CHI 19,10,9,Mitchell Trubisky pass incomplete short left intended for Taylor Gabriel,-0.460,-1.140
4,11:13,3,11,CHI 19,10,9,Mitchell Trubisky pass complete deep middle to Taylor Gabriel for 19 yards (tackle by Corey Graham),-1.140,1.470
4,10:36,1,10,CHI 38,10,9,Jordan Howard left guard for 6 yards (tackle by Jordan Hicks),1.470,1.730
4,9:54,2,4,CHI 44,10,9,Mitchell Trubisky pass complete deep right to Josh Bellamy for 34 yards (tackle by Avonte Maddox),1.730,4.110
4,9:09,1,10,PHI 22,10,15,"Mitchell Trubisky pass complete deep right to Allen Robinson for 22 yards, touchdown. Penalty on Avonte Maddox: Defensive Pass Interference (Declined)",4.110,7.000
4,9:04,,,PHI 2,10,15,"Two Point Attempt: Mitchell Trubisky pass complete to Taylor Gabriel, conversion fails",0.000,-1.000
4,9:04,,,CHI 35,10,15,"Cody Parkey kicks off 65 yards, returned by Boston Scott for no gain (tackle by Josh Bellamy and Benny Cunningham)",0.000,-0.280
4,8:57,1,10,PHI 14,10,15,Nick Foles pass incomplete short right intended for Zach Ertz,-0.280,-0.750
4,8:52,2,10,PHI 14,10,15,Nick Foles pass incomplete deep middle intended for Golden Tate (defended by Sherrick McManis),-0.750,-1.400
4,8:46,3,10,PHI 14,10,15,Nick Foles pass complete short middle to Nelson Agholor for 13 yards (tackle by Adrian Amos),-1.400,0.740
4,8:07,1,10,PHI 27,10,15,Darren Sproles right guard for 2 yards (tackle by Akiem Hicks),0.740,0.470
4,7:23,2,8,PHI 29,10,15,Nick Foles pass incomplete deep left intended for Golden Tate,0.470,-0.230
4,7:15,3,8,PHI 29,10,15,Nick Foles pass incomplete short left intended for Dallas Goedert,-0.230,-1.440
4,7:10,4,8,PHI 29,10,15,"Cameron Johnston punts 45 yards, fair catch by Tarik Cohen at CHI-26",-1.440,-0.670
4,7:02,1,10,CHI 26,10,15,Jordan Howard left guard for -2 yards (tackle by Nigel Bradham),0.670,-0.140
4,6:22,2,12,CHI 24,10,15,Mitchell Trubisky sacked by Michael Bennett for -7 yards,-0.140,-2.020
4,5:38,3,19,CHI 17,10,15,Mitchell Trubisky pass complete short middle to Tarik Cohen for 7 yards (tackle by Cre'von LeBlanc),-2.020,-1.770
4,4:57,4,12,CHI 24,10,15,Pat O'Donnell punts 36 yards out of bounds,-1.770,-1.600
4,4:48,1,10,PHI 40,10,15,Nick Foles pass complete short middle to Alshon Jeffery for 15 yards (tackle by Danny Trevathan),1.600,2.590
4,4:05,1,10,CHI 45,10,15,Nick Foles pass incomplete short right intended for Dallas Goedert (defended by Sherrick McManis),2.590,2.040
4,4:00,2,10,CHI 45,10,15,Nick Foles pass complete short middle to Dallas Goedert for 10 yards (tackle by Deon Bush),2.040,3.250
4,3:20,1,10,CHI 35,10,15,Nick Foles pass complete short right to Nelson Agholor for 8 yards (tackle by Roquan Smith),3.250,3.780
4,3:13,2,2,CHI 27,10,15,Nick Foles pass complete short middle to Zach Ertz for 13 yards (tackle by Adrian Amos and Sherrick McManis),3.780,4.650
4,2:35,1,10,CHI 14,10,15,Wendell Smallwood left guard for 1 yard (tackle by Akiem Hicks),4.650,4.160
4,2:00,2,9,CHI 13,10,15,Nick Foles pass incomplete short middle intended for Nelson Agholor (defended by Sherrick McManis),4.160,3.260
4,1:55,3,9,CHI 13,10,15,Nick Foles pass complete short middle to Alshon Jeffery for 11 yards (tackle by Adrian Amos),3.260,6.740
4,1:14,1,2,CHI 2,10,15,Darren Sproles right guard for no gain (tackle by Khalil Mack),6.740,5.720
4,1:10,,,,,,Timeout #1 by Chicago Bears,,
4,1:10,2,2,CHI 2,10,15,Darren Sproles right guard for no gain (tackle by Eddie Goldman and Khalil Mack),5.720,4.950
4,1:05,,,,,,Timeout #2 by Chicago Bears,,
4,1:05,3,2,CHI 2,10,15,Nick Foles pass incomplete short right intended for Alshon Jeffery (defended by Kyle Fuller),4.950,3.250
4,1:01,,,,,,Timeout #1 by Philadelphia Eagles,,
4,1:01,4,2,CHI 2,16,15,"Nick Foles pass complete short right to Golden Tate for 2 yards, touchdown, touchdown",3.250,7.000
4,0:56,,,CHI 2,16,15,"Two Point Attempt: Wendell Smallwood rushes, conversion fails.",0.000,-1.000
4,0:56,,,PHI 35,16,15,"Jake Elliott kicks off 58 yards, returned by Tarik Cohen for no gain (tackle by Tre Sullivan)",0.000,1.730
4,0:48,1,10,CHI 42,16,15,Mitchell Trubisky pass incomplete short left intended for Taylor Gabriel (defended by Tre Sullivan),1.730,1.190
4,0:44,2,10,CHI 42,16,15,Mitchell Trubisky pass complete deep right to Allen Robinson for 25 yards (tackle by Avonte Maddox),1.190,3.380
4,0:35,,,,,,Timeout #3 by Chicago Bears,,
4,0:35,1,10,PHI 33,16,15,Mitchell Trubisky pass complete short right to Allen Robinson for 8 yards (tackle by Avonte Maddox),3.380,3.920
4,0:16,2,2,PHI 25,16,15,Mitchell Trubisky spiked the ball,3.920,3.200
4,0:15,3,2,PHI 25,16,15,Mitchell Trubisky pass incomplete deep middle intended for Anthony Miller,3.200,1.930
4,0:10,,,,,,Timeout #3 by Philadelphia Eagles,,
4,0:10,4,2,PHI 25,16,15,Cody Parkey 43 yard field goal no good,1.930,-1.140
4,0:05,1,10,PHI 33,16,15,Nick Foles kneels for -1 yards,1.140,0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
