Quarter,Time,Down,ToGo,Location,WAS,NWE,Detail,EPB,EPA
4,4:23,2,10,WAS 5,20,17,Sam Howell pass complete short right to Antonio Gibson for 7 yards (tackle by Marte Mapu),-0.780,-0.600
4,4:15,3,3,WAS 12,20,17,Sam Howell pass complete short left to Terry McLaurin for 7 yards (tackle by Myles Bryant),-0.600,0.150
4,3:29,1,10,WAS 19,20,17,Brian Robinson up the middle for 2 yards (tackle by Davon Godchaux),0.150,-0.060
4,3:24,,,,,,Timeout #1 by New England Patriots,,
4,3:24,2,8,WAS 21,20,17,Sam Howell pass incomplete short right intended for Terry McLaurin (defended by Christian Barmore) (defended by Jabrill Peppers),-0.060,-0.810
4,3:22,3,8,WAS 21,20,17,Sam Howell pass complete short left to Jamison Crowder for 6 yards (tackle by Myles Bryant),-0.810,-1.570
4,2:41,4,2,WAS 27,20,17,"Tress Way punts, returned by Demario Douglas for no gain. Penalty on Mack Wilson: Offensive Holding, 10 yards (declined) . Penalty on Mack Wilson: Defensive Offside, 5 yards (accepted) (no play)",-1.570,1.070
4,2:29,1,10,WAS 32,20,17,Brian Robinson left guard for 2 yards (tackle by Jahlani Tavai and Christian Barmore),1.070,0.800
4,2:25,,,,,,Timeout #2 by New England Patriots,,
4,2:25,2,8,WAS 34,20,17,Brian Robinson left tackle for 2 yards (tackle by Ja'Whaun Bentley),0.800,0.370
4,2:21,,,,,,Timeout #3 by New England Patriots,,
4,2:21,3,6,WAS 36,20,17,Sam Howell pass incomplete deep right intended for Dyami Brown,0.370,-0.980
4,2:14,4,6,WAS 36,20,17,"Tress Way punts 64 yards, touchback.. Penalty on Brenden Schooler: Offensive Holding, 11 yards (accepted)",-0.980,0.380
4,2:07,1,10,NWE 9,20,17,Mac Jones pass complete short middle to Rhamondre Stevenson for 15 yards (tackle by David Mayo),-0.380,0.540
4,2:00,1,10,NWE 24,20,17,Mac Jones pass complete short right to Hunter Henry for 8 yards (tackle by Kendall Fuller),0.540,1.080
4,1:55,2,2,NWE 32,20,17,Mac Jones pass complete short middle to JuJu Smith-Schuster for 13 yards (tackle by Kendall Fuller),1.080,1.930
4,1:34,1,10,NWE 45,20,17,Mac Jones pass incomplete short left intended for Hunter Henry (defended by Percy Butler),1.930,1.380
4,1:32,2,10,NWE 45,20,17,Mac Jones pass incomplete deep left intended for Mike Gesicki,1.380,0.700
4,1:26,3,10,NWE 45,20,17,Mac Jones pass complete short right to Rhamondre Stevenson for 6 yards (tackle by Emmanuel Forbes),0.700,0.000
4,1:04,4,4,WAS 49,20,17,Mac Jones pass complete short middle to JuJu Smith-Schuster for 6 yards (tackle by Emmanuel Forbes),0.000,2.720
4,0:45,1,10,WAS 43,20,17,Mac Jones scrambles right end for 2 yards (tackle by Kamren Curl),2.720,2.520
4,0:38,2,7,WAS 41,20,17,Mac Jones pass short middle intended for JuJu Smith-Schuster is intercepted by Jartavius Martin at WAS-33 and returned for no gain (tackle by JuJu Smith-Schuster),2.520,-1.140
4,0:30,1,10,WAS 33,20,17,Sam Howell kneels for -1 yards,1.140,0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
