Quarter,Time,Down,ToGo,Location,NWE,CIN,Detail,EPB,EPA
2,0:52,2,7,CIN 10,0,3,BenJarvus Green-Ellis right guard for 2 yards (tackle by Joe Vellano and Brandon Spikes),-0.560,-0.560
2,0:48,2,7,CIN 10,0,3,Timeout #2 by New England Patriots,-0.560,-0.840
2,0:48,3,5,CIN 12,0,3,BenJarvus Green-Ellis left tackle for 2 yards (tackle by Jerod Mayo),-0.840,-0.840
2,0:44,3,5,CIN 12,0,3,Timeout #3 by New England Patriots,-0.840,-2.470
2,0:44,4,3,CIN 14,0,3,"Kevin Huber punts 35 yards, fair catch by Julian Edelman",-2.470,-2.320
2,0:37,1,10,CIN 49,0,3,Tom Brady pass complete deep middle to Danny Amendola for 21 yards (tackle by Chris Crocker),2.320,3.710
2,0:23,1,10,CIN 28,0,3,Tom Brady spiked the ball,3.710,3.170
2,0:22,2,10,CIN 28,0,3,Tom Brady pass incomplete short right intended for Danny Amendola,3.170,2.480
2,0:19,3,10,CIN 28,0,3,Tom Brady pass complete short right to Brandon Bolden for 4 yards (tackle by Terence Newman),2.480,2.480
2,0:13,3,10,CIN 28,0,3,Timeout #1 by Cincinnati Bengals,2.480,1.890
2,0:13,4,6,CIN 24,3,3,Stephen Gostkowski 42 yard field goal good,1.890,3.000
2,0:13,,,NWE 35,3,3,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
2,0:08,1,10,CIN 20,3,3,Andy Dalton kneels for no gain,0.280,-0.270
Quarter,Time,Down,ToGo,Location,NWE,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NWE 35,3,3,"Stephen Gostkowski kicks off 66 yards, returned by Brandon Tate for 29 yards (tackle by Michael Buchanan)",0.000,0.810
3,14:54,1,10,CIN 28,3,3,Andy Dalton pass incomplete short left intended for Tyler Eifert,0.810,0.260
3,14:50,2,10,CIN 28,3,3,Andy Dalton pass incomplete short right intended for A.J. Green,0.260,-0.430
3,14:45,3,10,CIN 28,3,3,Andy Dalton pass incomplete short right intended for A.J. Green (defended by Aqib Talib),-0.430,-1.500
3,14:37,4,10,CIN 28,3,3,"Kevin Huber punts 51 yards, returned by Julian Edelman for 24 yards (tackle by Marvin Jones)",-1.500,-1.930
3,14:24,1,10,NWE 45,3,3,Tom Brady pass complete short right to Kenbrell Thompkins for 5 yards (tackle by Terence Newman),1.930,2.060
3,13:51,2,5,,3,3,Tom Brady pass complete short middle to Brandon Bolden for 7 yards (tackle by Vontaze Burfict),2.060,2.720
3,13:31,1,10,CIN 43,3,3,Tom Brady pass incomplete short right intended for Danny Amendola,2.720,2.180
3,13:25,2,10,CIN 43,3,3,Brandon Bolden right end for 1 yard (tackle by Domata Peko and Geno Atkins),2.180,1.620
3,12:39,3,9,CIN 42,3,3,Tom Brady sacked by Vontaze Burfict for -10 yards,1.620,-0.190
3,12:12,4,19,NWE 48,3,3,Ryan Allen punts 43 yards,-0.190,0.380
3,12:00,1,10,CIN 9,3,3,BenJarvus Green-Ellis left guard for 5 yards (tackle by Tommy Kelly and Rob Ninkovich),-0.380,-0.390
3,11:17,2,5,CIN 14,3,3,Andy Dalton pass incomplete short left intended for Giovani Bernard (defended by Jerod Mayo),-0.390,-0.840
3,11:10,3,5,CIN 14,3,3,Andy Dalton for 6 yards (tackle by Jerod Mayo),-0.840,0.280
3,10:43,1,10,CIN 20,3,3,Andy Dalton pass complete short right to A.J. Green for 12 yards (tackle by Aqib Talib),0.280,1.070
3,10:07,1,10,CIN 32,3,3,Giovani Bernard right tackle for 9 yards (tackle by Jerod Mayo),1.070,1.740
3,9:31,2,1,CIN 41,3,3,Andy Dalton pass complete short right to Jermaine Gresham for 2 yards (tackle by Aqib Talib),1.740,1.800
3,8:54,1,10,CIN 43,3,3,BenJarvus Green-Ellis left tackle for 3 yards (tackle by Joe Vellano),1.800,1.660
3,8:18,2,7,CIN 46,3,3,Andy Dalton pass complete short middle to Tyler Eifert for 12 yards (tackle by Steve Gregory),1.660,2.790
3,7:36,1,10,NWE 42,3,3,Andy Dalton pass complete short middle to Mohamed Sanu for 17 yards (tackle by Steve Gregory),2.790,3.910
3,7:02,1,10,NWE 25,3,3,Andy Dalton sacked by Jerod Mayo and Chris Jones for -8 yards,3.910,2.280
3,6:33,2,18,NWE 33,3,3,Giovani Bernard right guard for 1 yard (tackle by Brandon Spikes),2.280,1.750
3,5:55,3,17,NWE 32,3,3,Andy Dalton pass incomplete deep right intended for A.J. Green,1.750,1.240
3,5:48,4,17,NWE 32,3,6,Mike Nugent 50 yard field goal good,1.240,3.000
3,5:48,,,CIN 35,3,6,"Mike Nugent kicks off 65 yards, returned by Devin McCourty for 22 yards (tackle by Chris Lewis-Harris)",0.000,-0.410
3,5:35,1,10,NWE 22,3,6,LeGarrette Blount left tackle for 3 yards (tackle by Devon Still),0.410,0.270
3,4:55,2,7,NWE 25,3,6,Tom Brady pass complete deep middle to Julian Edelman for 17 yards (tackle by Rey Maualuga),0.270,1.730
3,4:22,1,10,NWE 42,3,6,Tom Brady pass incomplete deep middle intended for Kenbrell Thompkins,1.730,1.190
3,4:16,2,10,NWE 42,3,6,Brandon Bolden left tackle for no gain (tackle by Wallace Gilberry and Chris Crocker),1.190,0.500
3,3:34,3,10,NWE 42,3,6,"Tom Brady sacked by Geno Atkins for -8 yards. Penalty on Carlos Dunlap: Defensive Offside, 5 yards (no play)",0.500,1.160
3,3:09,3,5,NWE 47,3,6,Tom Brady pass complete short left to Brandon Bolden for 3 yards (tackle by Vontaze Burfict),1.160,-0.060
3,2:22,4,2,,3,6,Ryan Allen punts 43 yards,-0.060,0.380
3,2:09,1,10,CIN 7,3,6,Andy Dalton pass complete short left to A.J. Green for 3 yards (tackle by Kyle Arrington),-0.380,-0.560
3,1:38,2,7,CIN 10,3,6,Andy Dalton sacked by Tommy Kelly and Jerod Mayo for -8 yards,-0.560,-2.010
3,1:10,3,15,CIN 2,3,6,Andy Dalton pass complete deep left to Marvin Jones for 28 yards (tackle by Devin McCourty),-2.010,0.940
3,0:32,1,10,CIN 30,3,6,Giovani Bernard right end for 28 yards (tackle by Devin McCourty and Alfonzo Dennard),0.940,2.790
Quarter,Time,Down,ToGo,Location,NWE,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NWE 42,3,6,Andy Dalton pass complete short right to Tyler Eifert for 2 yards (tackle by Dont'a Hightower and Chandler Jones),2.790,2.510
4,14:18,2,8,NWE 40,3,6,Andy Dalton right end for 6 yards (tackle by Brandon Spikes),2.510,2.610
4,13:54,3,2,NWE 34,3,6,BenJarvus Green-Ellis right guard for 4 yards (tackle by Chris Jones and Brandon Spikes),2.610,3.580
4,13:20,1,10,NWE 30,3,6,Andy Dalton pass complete short left to Tyler Eifert for 6 yards (tackle by Devin McCourty),3.580,3.840
4,12:44,2,4,NWE 24,3,6,Giovani Bernard right guard for 1 yard (tackle by Brandon Spikes),3.840,3.270
4,11:39,3,3,NWE 23,3,6,Andy Dalton pass complete short right to A.J. Green for 17 yards (tackle by Aqib Talib),3.270,5.830
4,11:32,1,6,NWE 6,3,6,BenJarvus Green-Ellis right guard for 5 yards (tackle by Devin McCourty),5.830,5.910
4,11:02,2,1,NWE 1,3,6,BenJarvus Green-Ellis right guard for no gain (tackle by Rob Ninkovich),5.910,5.910
4,10:14,2,1,NWE 1,3,6,Timeout #1 by Cincinnati Bengals,5.910,5.170
4,10:14,3,1,NWE 1,3,6,"Penalty on Domata Peko: False Start, 4 yards (no play)",5.170,4.260
4,10:14,3,5,NWE 5,3,6,Andy Dalton left guard for 4 yards (tackle by Kyle Arrington),4.260,3.550
4,9:27,4,1,NWE 1,3,12,"BenJarvus Green-Ellis for 1 yard, touchdown",3.550,7.000
4,9:27,,,NWE 2,3,13,Mike Nugent kicks extra point good,0.000,0.000
4,9:27,,,CIN 35,3,13,"Mike Nugent kicks off 68 yards, returned by Devin McCourty for 27 yards (tackle by Cedric Peerman)",0.000,-0.540
4,9:15,1,10,NWE 24,3,13,LeGarrette Blount left tackle for 6 yards (tackle by Carlos Dunlap),0.540,0.810
4,8:43,2,4,NWE 30,3,13,"Tom Brady pass complete short middle to Aaron Dobson for 53 yards (tackle by George Iloka). Aaron Dobson fumbles (forced by George Iloka), recovered by Aaron Dobson at CIN-17",0.810,4.440
4,7:57,1,10,CIN 17,3,13,Tom Brady pass complete deep left to Danny Amendola for 16 yards (tackle by Chris Crocker),4.440,6.970
4,7:18,1,1,CIN 1,3,13,LeGarrette Blount left tackle for no gain (tackle by Vincent Rey),6.970,5.910
4,6:42,2,1,CIN 1,3,13,Tom Brady pass incomplete short right intended for Nate Solder,5.910,5.910
4,6:36,2,1,CIN 1,3,13,Timeout #2 by Cincinnati Bengals,5.910,5.170
4,6:36,3,1,CIN 1,3,13,Tom Brady pass incomplete short left intended for Julian Edelman (defended by Adam Jones),5.170,3.550
4,6:30,4,1,CIN 1,6,13,Stephen Gostkowski 19 yard field goal good,3.550,3.000
4,6:30,,,NWE 35,6,13,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
4,6:28,1,10,CIN 20,6,13,Giovani Bernard right tackle for 7 yards (tackle by Steve Gregory and Devin McCourty),0.280,0.680
4,5:49,2,3,CIN 27,6,13,Giovani Bernard right tackle for 9 yards (tackle by Steve Gregory),0.680,1.330
4,5:10,1,10,CIN 36,6,13,Giovani Bernard left guard for 5 yards (tackle by Chris Jones),1.330,1.470
4,4:26,2,5,CIN 41,6,13,Giovani Bernard left tackle for 3 yards (tackle by Steve Gregory),1.470,1.470
4,3:40,2,5,CIN 41,6,13,Timeout #3 by Cincinnati Bengals,1.470,1.160
4,3:40,3,2,CIN 44,6,13,Andy Dalton pass complete short left to Giovani Bernard for 6 yards (tackle by Devin McCourty),1.160,2.260
4,3:34,1,10,,6,13,"Giovani Bernard left end for -4 yards (tackle by Devin McCourty). Giovani Bernard fumbles (forced by Devin McCourty), recovered by Jerod Mayo at CIN-46 and returned for 2 yards (tackle by Clint Boling)",2.260,-2.650
4,3:26,1,10,CIN 44,6,13,Tom Brady pass incomplete deep right intended for Aaron Dobson (defended by Terence Newman),2.650,2.110
4,3:18,2,10,CIN 44,6,13,Tom Brady pass incomplete short left intended for Danny Amendola (defended by Chris Crocker),2.110,1.420
4,3:12,3,10,CIN 44,6,13,"Tom Brady sacked by Wallace Gilberry for -5 yards. Tom Brady fumbles (forced by Wallace Gilberry), recovered by Tom Brady at CIN-49",1.420,0.000
4,2:40,4,15,CIN 49,6,13,"Ryan Allen punts 40 yards, fair catch by Brandon Tate",0.000,0.380
4,2:32,1,10,CIN 9,6,13,BenJarvus Green-Ellis for 3 yards (tackle by Steve Gregory),-0.380,-0.380
4,2:27,1,10,CIN 9,6,13,Timeout #1 by New England Patriots,-0.380,-0.560
4,2:27,2,7,CIN 12,6,13,BenJarvus Green-Ellis left tackle for 5 yards (tackle by Dont'a Hightower),-0.560,-0.560
4,2:20,2,7,CIN 12,6,13,Timeout #2 by New England Patriots,-0.560,-0.480
4,2:20,3,2,CIN 17,6,13,BenJarvus Green-Ellis for no gain (tackle by Jerod Mayo),-0.480,-2.320
4,2:00,4,2,CIN 17,6,13,Kevin Huber punts 57 yards (tackle by Vincent Rey),-2.320,-1.270
4,1:48,1,10,NWE 35,6,13,Tom Brady pass incomplete short right intended for Brandon Bolden,1.270,0.720
4,1:44,2,10,NWE 35,6,13,Tom Brady pass incomplete short middle intended for Julian Edelman,0.720,0.040
4,1:40,3,10,NWE 35,6,13,Tom Brady pass complete short middle to Brandon Bolden for 6 yards (tackle by Taylor Mays),0.040,-0.650
4,0:53,4,4,NWE 41,6,13,"Tom Brady pass incomplete short left intended for Kenbrell Thompkins. Penalty on Chris Crocker: Defensive Offside, 5 yards (no play)",-0.650,1.990
4,0:49,1,10,NWE 46,6,13,Tom Brady pass incomplete short left intended for Julian Edelman (defended by Chris Crocker),1.990,1.450
4,0:43,2,10,NWE 46,6,13,Brandon Bolden for 12 yards (tackle by Adam Jones),1.450,1.450
4,0:36,2,10,NWE 46,6,13,Timeout #3 by New England Patriots,1.450,2.790
4,0:36,1,10,CIN 42,6,13,Tom Brady pass incomplete,2.790,2.240
4,0:30,2,10,CIN 42,6,13,"Tom Brady pass incomplete short left intended for Kenbrell Thompkins. Penalty on Wallace Gilberry: Roughing the Passer, 15 yards (no play)",2.240,3.780
4,0:26,1,10,CIN 27,6,13,Tom Brady pass incomplete deep left intended for Aaron Dobson is intercepted by Adam Jones at CIN-3,3.780,0.380
4,0:16,1,10,CIN 3,6,13,Andy Dalton kneels for no gain,-0.380,-0.780
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
