Quarter,Time,Down,ToGo,Location,PIT,WAS,Detail,EPB,EPA
2,0:42,2,4,WAS 9,7,6,Ben Roethlisberger pass incomplete short middle intended for Jesse James (defended by David Bruton),5.030,4.220
2,0:37,3,4,WAS 9,7,6,Ben Roethlisberger pass complete short middle to Jesse James for 6 yards (tackle by William Compton and DeAngelo Hall),4.220,4.220
2,0:31,3,4,WAS 9,7,6,Timeout #2 by Pittsburgh Steelers,4.220,6.510
2,0:31,1,3,WAS 3,13,6,"Ben Roethlisberger pass complete short left to Eli Rogers for 3 yards, touchdown",6.510,7.000
2,0:31,,,WAS 3,14,6,Chris Boswell kicks extra point good,0.000,0.000
2,0:31,,,PIT 35,14,6,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.610
2,0:27,1,10,WAS 25,14,6,Chris Thompson right tackle for 9 yards (tackle by Robert Golden and Mike Mitchell),0.610,1.280
Quarter,Time,Down,ToGo,Location,PIT,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,14,6,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,PIT 25,14,6,DeAngelo Williams left end for 7 yards (tackle by Bashaud Breeland and William Compton),0.610,1.010
3,14:22,2,3,PIT 32,14,6,Ben Roethlisberger pass incomplete short middle intended for DeAngelo Williams,1.010,0.300
3,14:15,3,3,PIT 32,14,6,Ben Roethlisberger pass complete deep left to Antonio Brown for 16 yards (tackle by Bashaud Breeland),0.300,2.130
3,13:40,1,10,PIT 48,14,6,DeAngelo Williams left end for 17 yards (tackle by William Compton),2.130,3.250
3,13:01,1,10,WAS 35,14,6,DeAngelo Williams right end for no gain (tackle by David Bruton),3.250,2.700
3,12:17,2,10,WAS 35,14,6,Fitzgerald Toussaint right guard for 7 yards (tackle by William Compton),2.700,2.940
3,11:29,3,3,WAS 28,14,6,Ben Roethlisberger pass incomplete deep left intended for Jesse James,2.940,1.680
3,11:23,4,3,WAS 28,17,6,Chris Boswell 46 yard field goal good,1.680,3.000
3,11:23,,,PIT 35,17,6,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.610
3,11:18,1,10,WAS 25,17,6,"Penalty on Matt Jones: False Start, 5 yards (no play)",0.610,0.280
3,11:18,1,15,WAS 20,17,6,Matt Jones left end for -1 yards (tackle by James Harrison and William Gay),0.280,-0.810
3,10:40,2,16,WAS 19,17,6,Kirk Cousins pass complete short middle to Jamison Crowder for 9 yards (tackle by James Harrison and Lawrence Timmons),-0.810,-0.230
3,10:07,3,7,WAS 28,17,6,"Kirk Cousins pass complete short right to Jamison Crowder for 7 yards (tackle by Ryan Shazier). Jamison Crowder fumbles (forced by Ryan Shazier), recovered by Pierre Garcon at WAS-37 and returned for 7 yards",-0.230,1.860
3,9:22,1,10,WAS 44,17,6,"Kirk Cousins pass incomplete deep left intended for Jordan Reed is intercepted by Ryan Shazier at PIT-39 and returned for 51 yards. Penalty on Mike Mitchell: Illegal Block Above the Waist, 10 yards",1.860,-0.610
3,9:05,1,10,PIT 25,17,6,Ben Roethlisberger pass complete short left to Antonio Brown for no gain,0.610,0.060
3,8:26,2,10,PIT 25,17,6,"Ben Roethlisberger pass complete deep left to Sammie Coates for 42 yards (tackle by DeAngelo Hall). Ben Roethlisberger fumbles, recovered by Ben Roethlisberger at PIT-19",0.060,3.380
3,7:52,1,10,WAS 33,17,6,Ben Roethlisberger pass complete short left to DeAngelo Williams for 7 yards (tackle by Mason Foster),3.380,3.780
3,7:14,2,3,WAS 26,17,6,Ben Roethlisberger pass incomplete short middle intended for DeAngelo Williams,3.780,3.070
3,7:08,3,3,WAS 26,23,6,"Ben Roethlisberger pass complete deep left to Antonio Brown for 26 yards, touchdown. Penalty on Antonio Brown: Unsportsmanlike Conduct, 15 yards",3.070,7.000
3,7:08,,,WAS 26,24,6,Chris Boswell kicks extra point good,0.000,0.000
3,7:08,,,PIT 20,24,6,"Chris Boswell kicks off 77 yards, returned by Will Blackmon for 29 yards (tackle by Shamarko Thomas)",0.000,-1.070
3,6:53,1,10,WAS 32,24,6,Matt Jones left tackle for 12 yards (tackle by Robert Golden and Lawrence Timmons),1.070,1.860
3,6:11,1,10,WAS 44,24,6,Kirk Cousins pass complete short left to DeSean Jackson for 9 yards (tackle by Jarvis Jones),1.860,2.530
3,5:39,2,1,PIT 47,24,6,Kirk Cousins pass complete short left to DeSean Jackson for 11 yards (tackle by William Gay),2.530,3.180
3,5:13,1,10,PIT 36,24,6,"Penalty on Kory Lichtensteiger: False Start, 5 yards (no play)",3.180,2.850
3,4:56,1,15,PIT 41,24,6,Kirk Cousins pass complete short middle to Chris Thompson for 11 yards (tackle by Ryan Shazier),2.850,3.450
3,4:18,2,4,PIT 30,24,6,Kirk Cousins pass complete short right to Pierre Garcon for 10 yards (tackle by Ross Cockrell),3.450,4.240
3,3:49,1,10,PIT 20,24,6,"Matt Jones middle for no gain (tackle by Ricardo Mathews and Daniel McCullers). Penalty on Trent Williams: Offensive Holding, 10 yards (no play)",4.240,3.580
3,3:30,1,20,PIT 30,24,6,Kirk Cousins pass complete short right to Pierre Garcon for 6 yards (tackle by Sean Davis),3.580,3.150
3,2:53,2,14,PIT 24,24,6,Kirk Cousins pass complete short left to Pierre Garcon for 8 yards (tackle by Sean Davis and William Gay),3.150,3.520
3,2:12,3,6,PIT 16,24,6,Kirk Cousins pass incomplete deep right intended for Jamison Crowder,3.520,2.400
3,2:04,4,6,PIT 16,24,9,Dustin Hopkins 34 yard field goal good,2.400,3.000
3,2:04,,,WAS 35,24,9,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
3,2:01,1,10,PIT 25,24,9,DeAngelo Williams left tackle for 4 yards (tackle by David Bruton and Kendall Reyes),0.610,0.600
3,1:21,2,6,PIT 29,24,9,DeAngelo Williams middle for 4 yards (tackle by Kendall Reyes),0.600,0.430
3,0:36,3,2,PIT 33,24,9,Ben Roethlisberger pass incomplete short right intended for Antonio Brown,0.430,-1.180
3,0:31,4,2,PIT 33,24,9,"Jordan Berry punts 61 yards, returned by Jamison Crowder for 17 yards (tackle by Vince Williams)",-1.180,-0.480
3,0:19,1,10,WAS 23,24,9,Kirk Cousins pass complete short middle to Matt Jones for 9 yards (tackle by Ryan Shazier),0.480,1.150
Quarter,Time,Down,ToGo,Location,PIT,WAS,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,1,WAS 32,24,9,Chris Thompson left end for 7 yards (tackle by Mike Mitchell),1.150,1.530
4,14:41,1,10,WAS 39,24,9,Kirk Cousins pass complete short middle to Jordan Reed for 5 yards (tackle by Ryan Shazier and Lawrence Timmons),1.530,1.660
4,14:20,2,5,WAS 44,24,9,Kirk Cousins pass complete deep right to Pierre Garcon for 19 yards,1.660,3.120
4,14:03,1,10,PIT 37,24,9,Kirk Cousins pass complete deep middle to Jamison Crowder for 16 yards (tackle by Mike Mitchell),3.120,4.170
4,13:36,1,10,PIT 21,24,9,Kirk Cousins pass complete short middle to Vernon Davis for 20 yards (tackle by L.J. Fort),4.170,6.970
4,13:05,1,1,PIT 1,24,15,"Chris Thompson right end for 1 yard, touchdown",6.970,7.000
4,13:05,1,1,PIT 1,24,15,"Penalty on Dustin Hopkins: Delay of Game, 5 yards (no play)",6.970,0.000
4,13:05,,,PIT 1,24,16,Dustin Hopkins kicks extra point good,0.000,0.000
4,13:05,,,WAS 35,24,16,"Dustin Hopkins kicks off 56 yards, returned by Fitzgerald Toussaint for 18 yards (tackle by Terence Garvin)",0.000,-0.740
4,12:53,1,10,PIT 27,24,16,Ben Roethlisberger pass complete short middle to DeAngelo Williams for 5 yards (tackle by William Compton and David Bruton),0.740,0.870
4,12:08,2,5,PIT 32,24,16,DeAngelo Williams right end for 9 yards (tackle by Mason Foster),0.870,1.660
4,11:33,1,10,PIT 41,24,16,DeAngelo Williams middle for 4 yards (tackle by Mason Foster and Preston Smith),1.660,1.660
4,10:57,2,6,PIT 45,24,16,Ben Roethlisberger pass complete short middle to Jesse James for 6 yards (tackle by Dashaun Phillips and Mason Foster),1.660,2.320
4,10:21,1,10,WAS 49,24,16,DeAngelo Williams right guard for 8 yards (tackle by David Bruton),2.320,2.860
4,9:46,2,2,WAS 41,24,16,DeAngelo Williams middle for 3 yards (tackle by Mason Foster and Evander Hood),2.860,3.050
4,9:09,1,10,WAS 38,24,16,Fitzgerald Toussaint right end for -3 yards (tackle by Mason Foster),3.050,2.100
4,8:33,2,13,WAS 41,24,16,Ben Roethlisberger pass incomplete short right intended for Antonio Brown (defended by Josh Norman),2.100,1.420
4,8:28,3,13,WAS 41,24,16,Ben Roethlisberger pass complete short right to Sammie Coates for 14 yards (tackle by Su'a Cravens and Josh Norman),1.420,3.780
4,7:53,1,10,WAS 27,24,16,"DeAngelo Williams right end for 5 yards (tackle by DeAngelo Hall and Preston Smith). Penalty on Jesse James: Offensive Holding, 10 yards",3.780,3.450
4,7:24,1,15,WAS 32,24,16,Ben Roethlisberger pass complete short left to DeAngelo Williams for -4 yards (tackle by Mason Foster),3.450,2.020
4,6:39,2,19,WAS 36,24,16,Ben Roethlisberger pass complete deep left to Antonio Brown for 21 yards (tackle by Bashaud Breeland),2.020,4.580
4,5:55,1,10,WAS 15,30,16,"DeAngelo Williams left end for 15 yards, touchdown",4.580,7.000
4,5:55,,,WAS 15,31,16,"Chris Boswell kicks extra point good. Penalty on Josh Norman: Defensive Offside, 5 yards",0.000,0.000
4,5:55,,,PIT 40,31,16,"Chris Boswell kicks off 60 yards, touchback",0.000,-0.610
4,5:48,1,10,WAS 25,31,16,Kirk Cousins pass complete short right to DeSean Jackson for 12 yards,0.610,1.400
4,5:32,1,10,WAS 37,31,16,Kirk Cousins pass incomplete short right intended for Jordan Reed,1.400,0.860
4,5:32,2,10,WAS 37,31,16,"Penalty on Shawn Lauvao: False Start, 5 yards (no play)",0.860,0.180
4,5:20,2,15,WAS 32,31,16,Kirk Cousins pass incomplete short right intended for Jamison Crowder (defended by Mike Mitchell),0.180,-0.490
4,5:15,3,15,WAS 32,31,16,Kirk Cousins pass complete short left to Jordan Reed for 5 yards (tackle by Jarvis Jones and William Gay),-0.490,-0.910
4,4:26,4,10,WAS 37,31,16,Kirk Cousins right end for 8 yards (tackle by Arthur Moats),-0.910,-2.590
4,4:17,1,10,WAS 45,31,16,DeAngelo Williams left end for 13 yards (tackle by Bashaud Breeland),2.590,3.450
4,3:32,1,10,WAS 32,31,16,DeAngelo Williams left tackle for 1 yard (tackle by Kedric Golston and William Compton),3.450,3.450
4,3:25,1,10,WAS 32,31,16,Timeout #1 by Washington Redskins,3.450,3.040
4,3:25,2,9,WAS 31,31,16,DeAngelo Williams left guard for 4 yards (tackle by Mason Foster),3.040,3.040
4,3:19,2,9,WAS 31,31,16,Timeout #2 by Washington Redskins,3.040,2.870
4,3:19,3,5,WAS 27,31,16,Ben Roethlisberger pass complete deep left to Antonio Brown for 16 yards (tackle by Bashaud Breeland),2.870,4.840
4,2:34,1,10,WAS 11,31,16,DeAngelo Williams middle for 5 yards (tackle by DeAngelo Hall),4.840,5.080
4,2:00,2,5,WAS 6,37,16,"DeAngelo Williams left end for 6 yards, touchdown",5.080,7.000
4,2:00,,,WAS 6,38,16,Chris Boswell kicks extra point good,0.000,0.000
4,2:00,,,PIT 35,38,16,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.610
4,1:54,1,10,WAS 25,38,16,Kirk Cousins pass incomplete short right intended for DeSean Jackson,0.610,0.060
4,1:49,2,10,WAS 25,38,16,Kirk Cousins pass complete short middle to Jordan Reed for 11 yards (tackle by Lawrence Timmons),0.060,1.330
4,1:26,1,10,WAS 36,38,16,Kirk Cousins pass complete short left to Josh Doctson for 9 yards (tackle by William Gay),1.330,2.010
4,0:59,2,1,WAS 45,38,16,"Kirk Cousins pass incomplete deep right intended for DeSean Jackson (defended by Ross Cockrell). Penalty on Ross Cockrell: Defensive Pass Interference, 46 yards (no play)",2.010,5.140
4,0:50,1,9,PIT 9,38,16,Kirk Cousins pass complete short left to Jamison Crowder for 6 yards (tackle by Robert Golden and William Gay),5.140,5.530
4,0:26,2,3,PIT 3,38,16,Kirk Cousins pass incomplete short left intended for DeSean Jackson,5.530,4.720
4,0:23,3,3,PIT 3,38,16,Kirk Cousins pass incomplete short middle intended for Jamison Crowder is intercepted by James Harrison at PIT--3,4.720,-0.280
4,0:18,1,10,PIT 20,38,16,Ben Roethlisberger kneels for -2 yards,0.280,-0.630
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
