Quarter,Time,Down,ToGo,Location,PHI,STL,Detail,EPB,EPA
2,2:26,1,10,STL 45,7,7,Marc Bulger sacked by Jerome McDougle for -6 yards,1.930,0.570
2,2:15,,,,7,7,Timeout #1 by Philadelphia Eagles,0.000,0.570
2,2:15,2,16,STL 39,7,7,"Marc Bulger pass incomplete intended for Kevin Curtis. Penalty on Sheldon Brown: Defensive Holding, 5 yards (no play)",0.570,1.860
2,2:10,1,10,STL 44,7,7,Marc Bulger pass complete to Isaac Bruce for 26 yards (tackle by Matt Ware),1.860,3.580
2,2:00,1,10,PHI 30,7,7,Marc Bulger pass incomplete intended for Marshall Faulk,3.580,3.030
2,1:57,2,10,PHI 30,7,7,Marc Bulger pass complete to Shaun McDonald for 9 yards (tackle by Dexter Wynn),3.030,3.530
2,1:52,3,1,PHI 21,7,7,Marshall Faulk up the middle for 5 yards (tackle by Michael Lewis),3.530,4.510
2,1:45,,,,7,7,Timeout #1 by St. Louis Rams,0.000,4.510
2,1:45,1,10,PHI 16,7,7,Marc Bulger for 3 yards (tackle by Hugh Douglas),4.510,4.390
2,1:36,2,7,PHI 13,7,7,Marshall Faulk right end for 3 yards (tackle by J.R. Reed),4.390,4.170
2,0:53,3,4,PHI 10,7,7,Marc Bulger pass incomplete intended for Shaun McDonald,4.170,2.840
2,0:46,4,4,PHI 10,7,10,Jeff Wilkins 28 yard field goal good,2.840,3.000
2,,,,STL 30,7,10,"Jeff Wilkins kicks off 67 yards, returned by J.R. Reed for 22 yards (tackle by Drew Wahlroos)",0.000,0.610
2,0:35,1,10,PHI 25,7,10,Koy Detmer kneels for -1 yards (tackle by Ryan Pickett),0.610,-0.070
2,0:33,,,,7,10,Timeout #2 by St. Louis Rams,0.000,-0.070
2,0:33,2,11,PHI 24,7,10,Koy Detmer kneels for -1 yards (tackle by Jimmy Kennedy),-0.070,-0.890
2,0:32,,,,7,10,Timeout #3 by St. Louis Rams,0.000,-0.890
2,0:20,3,12,PHI 23,7,10,Koy Detmer kneels for -1 yards (tackle by Jimmy Kennedy),-0.890,-1.900
Quarter,Time,Down,ToGo,Location,PHI,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 30,7,10,"Jeff Wilkins kicks off 57 yards, returned by J.R. Reed for 31 yards (tackle by Trev Faulk)",0.000,1.860
3,14:53,1,10,PHI 44,7,10,Koy Detmer pass incomplete intended for Billy McMullen,1.860,1.320
3,14:49,2,10,PHI 44,7,10,Koy Detmer pass incomplete intended for Freddie Mitchell,1.320,0.630
3,14:43,3,10,PHI 44,7,10,"Penalty on Koy Detmer: Illegal Forward Pass, 5 yards",0.630,-0.650
3,14:34,4,13,PHI 41,7,10,Dirk Johnson punts 50 yards (tackle by Dirk Johnson),-0.650,-0.870
3,14:22,1,10,STL 29,7,10,Steven Jackson left end for -3 yards (tackle by Mike Labinjo),0.870,-0.080
3,13:40,2,13,STL 26,7,10,Marc Bulger pass incomplete intended for Isaac Bruce (defended by Roderick Hood),-0.080,-0.760
3,13:35,3,13,STL 26,7,10,"Marc Bulger pass complete to Torry Holt for 9 yards (tackle by Mike Labinjo). Penalty on Matt Ware: Face Mask (15 Yards), 15 yards",-0.760,2.260
3,13:14,1,10,STL 50,7,10,Steven Jackson left guard for 1 yard (tackle by Hugh Douglas),2.260,1.850
3,12:30,2,9,PHI 49,7,10,Marc Bulger pass complete to Torry Holt for 10 yards (tackle by Matt Ware),1.850,2.980
3,11:47,1,10,PHI 39,7,10,"Penalty on Jerome McDougle: Encroachment, 5 yards (no play)",2.980,3.710
3,11:30,1,5,PHI 34,7,10,Marshall Faulk right end for 2 yards (tackle by Roderick Hood),3.710,3.390
3,10:38,2,3,PHI 32,7,10,Steven Jackson right end for 10 yards (tackle by Roderick Hood),3.390,4.110
3,9:53,1,10,PHI 22,7,10,Steven Jackson up the middle for 7 yards (tackle by Darwin Walker),4.110,4.650
3,9:14,2,3,PHI 15,7,10,Steven Jackson right end for 7 yards (tackle by J.R. Reed),4.650,5.370
3,8:29,1,8,PHI 8,7,10,Steven Jackson up the middle for 1 yard (tackle by J.R. Reed),5.370,4.760
3,7:48,2,7,PHI 7,7,16,"Marc Bulger pass complete to Isaac Bruce for 7 yards, touchdown",4.760,7.000
3,,,,PHI 2,7,17,Jeff Wilkins kicks extra point good,0.000,0.000
3,,,,STL 30,7,17,"Jeff Wilkins kicks off 58 yards, returned by Roderick Hood for 33 yards (tackle by Kevin Garrett)",0.000,1.930
3,7:29,1,10,PHI 45,7,17,Reno Mahe left tackle for no gain (tackle by Damione Lewis),1.930,1.380
3,6:56,2,10,PHI 45,7,17,Koy Detmer pass complete to Billy McMullen for 5 yards (tackle by Pisa Tinoisamoa),1.380,1.360
3,6:15,3,5,STL 50,7,17,Koy Detmer pass incomplete intended for Greg Lewis,1.360,-0.060
3,6:10,4,5,STL 50,7,17,Dirk Johnson punts 38 yards,-0.060,0.350
3,5:57,1,10,STL 12,7,17,Steven Jackson up the middle for no gain (tackle by Hugh Douglas),-0.350,-0.780
3,5:22,2,10,STL 12,7,17,Steven Jackson left end for 5 yards (tackle by Sam Rayburn),-0.780,-0.840
3,4:36,3,5,STL 17,7,17,Marc Bulger pass complete to Isaac Bruce for 13 yards (tackle by Dexter Wynn),-0.840,0.940
3,4:04,1,10,STL 30,7,17,"Steven Jackson right tackle for 13 yards (tackle by Roderick Hood). Penalty on Tom Nutten: Offensive Holding, 10 yards (no play)",0.940,0.280
3,3:37,1,20,STL 20,7,17,Marc Bulger pass incomplete intended for Kevin Curtis,0.280,-0.960
3,3:32,2,20,STL 20,7,17,Marshall Faulk up the middle for 6 yards (tackle by Corey Simon),-0.960,-0.820
3,2:50,3,14,STL 26,7,17,Marc Bulger pass complete to Isaac Bruce for 25 yards (tackle by Michael Lewis),-0.820,2.320
3,2:15,1,10,PHI 49,7,17,Marc Bulger pass complete to Torry Holt for 15 yards (tackle by Dexter Wynn),2.320,3.310
3,1:33,1,10,PHI 34,7,17,"Penalty on Sam Rayburn: Encroachment, 5 yards (no play)",3.310,4.040
3,1:10,1,5,PHI 29,7,17,Marshall Faulk left end for -2 yards (tackle by Ike Reese),4.040,3.180
3,0:50,2,7,PHI 31,7,17,"Marc Bulger pass incomplete intended for Isaac Bruce. Penalty on Kevin Curtis: Illegal Formation, 5 yards (no play)",3.180,2.500
3,0:40,2,12,PHI 36,7,17,Steven Jackson up the middle for 3 yards (tackle by Keith Adams),2.500,2.210
Quarter,Time,Down,ToGo,Location,PHI,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,9,PHI 33,7,17,Marc Bulger sacked by Jamaal Green for -9 yards,2.210,0.460
4,14:32,4,18,PHI 42,7,17,"Kevin Stemke punts 30 yards, fair catch by Dexter Wynn",0.460,0.350
4,14:25,1,10,PHI 12,7,17,Jeff Blake pass incomplete intended for Freddie Mitchell,-0.350,-0.780
4,14:21,2,10,PHI 12,7,17,"Penalty on Brian Howard: Unsportsmanlike Conduct, 15 yards (no play)",-0.780,0.740
4,14:21,1,10,PHI 27,7,17,Jeff Blake pass incomplete intended for Greg Lewis,0.740,0.200
4,14:12,2,10,PHI 27,7,17,"Penalty on Jeff Blake: Delay of Game, 5 yards (no play)",0.200,-0.480
4,14:12,2,15,PHI 22,7,17,Jeff Blake pass incomplete intended for L.J. Smith (defended by Jerametrius Butler),-0.480,-1.150
4,14:07,3,15,PHI 22,7,17,Jeff Blake pass complete to Reno Mahe for 5 yards (tackle by Tommy Polley),-1.150,-1.570
4,13:33,4,10,PHI 27,7,17,"Dirk Johnson punts 39 yards, fair catch by Shaun McDonald. Penalty on Greg Lewis: Player Out of Bounds on Punt (Declined)",-1.570,-1.200
4,13:26,1,10,STL 34,7,17,Marc Bulger right end for 1 yard (tackle by Ike Reese),1.200,0.790
4,12:55,2,9,STL 35,7,17,Steven Jackson up the middle for -2 yards (tackle by Paul Grasmanis),0.790,-0.160
4,12:13,3,11,STL 33,7,17,"Marc Bulger pass complete to Kevin Curtis for 30 yards (tackle by Keith Adams). Kevin Curtis fumbles (forced by Keith Adams), recovered by Matt Ware at PHI-38 and returned for 9 yards (tackle by Isaac Bruce)",-0.160,-2.060
4,11:58,1,10,PHI 47,7,17,Thomas Tapeh left tackle for 3 yards (tackle by Ryan Pickett),2.060,1.920
4,11:20,2,7,STL 50,7,17,"Penalty on Alonzo Ephraim: False Start, 5 yards (no play)",1.920,1.250
4,11:07,2,12,PHI 45,7,17,"Jeff Blake sacked by Bryce Fisher for -8 yards. Jeff Blake fumbles (forced by Bryce Fisher), recovered by Pisa Tinoisamoa at PHI-41 and returned for 10 yards (tackle by Thomas Tapeh)",1.250,-3.510
4,10:57,1,10,PHI 31,7,17,Marc Bulger pass complete to Torry Holt for 6 yards (tackle by Keith Adams),3.510,3.780
4,10:17,2,4,PHI 25,7,17,Steven Jackson right end for 5 yards (tackle by Darwin Walker),3.780,4.240
4,9:33,1,10,PHI 20,7,17,Marshall Faulk right end for 2 yards (tackle by Jerome McDougle),4.240,3.960
4,8:44,2,8,PHI 18,7,17,"Marshall Faulk right end for 3 yards (tackle by Ike Reese). Penalty on Jerome McDougle: Encroachment, 5 yards (no play)",3.960,4.830
4,8:15,2,3,PHI 13,7,17,Marc Bulger pass complete to Isaac Bruce for 8 yards (tackle by Roderick Hood),4.830,6.060
4,7:35,1,5,PHI 5,7,17,Marc Bulger pass incomplete intended for Marshall Faulk,6.060,5.150
4,7:32,2,5,PHI 5,7,17,"Marshall Faulk left guard for no gain (tackle by Matt Ware). Penalty on Joey Goodspeed: Offensive Holding, 10 yards (no play)",5.150,3.460
4,7:08,2,15,PHI 15,7,17,"Marc Bulger pass complete to Torry Holt for 7 yards (tackle by Michael Lewis). Torry Holt fumbles (forced by Michael Lewis), recovered by Torry Holt at PHI-8",3.460,3.580
4,6:14,3,8,PHI 8,7,17,Marshall Faulk up the middle for -3 yards (tackle by Corey Simon),3.580,2.700
4,5:28,4,11,PHI 11,7,20,Jeff Wilkins 29 yard field goal good,2.700,3.000
4,,,,STL 30,7,20,"Jeff Wilkins kicks off 58 yards, returned by Roderick Hood for 25 yards (tackle by Trev Faulk)",0.000,1.400
4,5:18,1,10,PHI 37,7,20,Jeff Blake for 8 yards (tackle by Pisa Tinoisamoa),1.400,1.940
4,5:06,2,2,PHI 45,7,20,"Thomas Tapeh up the middle for 10 yards (tackle by Tommy Polley). Penalty on Steve Sciullo: Unnecessary Roughness, 15 yards",1.940,1.600
4,5:06,1,10,PHI 40,7,20,Jeff Blake pass incomplete intended for Greg Lewis (defended by Jerametrius Butler),1.600,1.050
4,4:50,2,10,PHI 40,7,20,"Penalty on Artis Hicks: False Start, 5 yards (no play)",1.050,0.380
4,4:50,2,15,PHI 35,7,20,Jeff Blake pass incomplete intended for Greg Lewis (defended by Tommy Polley),0.380,-0.300
4,4:44,3,15,PHI 35,7,20,Jeff Blake pass incomplete intended for Billy McMullen (defended by Travis Fisher),-0.300,-1.040
4,4:38,4,15,PHI 35,7,20,"Dirk Johnson punts 47 yards, returned by Shaun McDonald for 1 yard (tackle by Ike Reese)",-1.040,-0.150
4,4:26,1,10,STL 19,7,20,Marshall Faulk right tackle for -1 yards (tackle by Mike Labinjo),0.150,-0.560
4,3:41,2,11,STL 18,7,20,Marc Bulger up the middle for 3 yards (tackle by Paul Grasmanis),-0.560,-0.810
4,3:30,,,,7,20,Timeout #1 by Philadelphia Eagles,0.000,-0.810
4,3:30,3,8,STL 21,7,20,"Marc Bulger pass incomplete intended for Torry Holt (defended by Michael Lewis). Penalty on Darwin Walker: Roughing the Passer, 15 yards (no play)",-0.810,1.330
4,3:24,1,10,STL 36,7,20,Marshall Faulk left tackle for no gain (tackle by Paul Grasmanis),1.330,0.790
4,3:17,,,,7,20,Timeout #2 by Philadelphia Eagles,0.000,0.790
4,3:17,2,10,STL 36,7,20,"Marc Bulger pass complete to Isaac Bruce for 5 yards (tackle by Roderick Hood). Isaac Bruce fumbles (forced by Roderick Hood), recovered by Torry Holt at STL-41",0.790,0.760
4,2:47,,,,7,20,Timeout #3 by Philadelphia Eagles,0.000,0.760
4,2:47,3,5,STL 41,7,20,Marshall Faulk right tackle for 4 yards (tackle by J.R. Reed),0.760,-0.390
4,2:00,4,1,STL 45,7,20,"Kevin Stemke punts 42 yards, fair catch by Dexter Wynn",-0.390,0.320
4,1:52,1,10,PHI 13,7,20,"Jeff Blake pass incomplete intended for Freddie Mitchell. Penalty on L.J. Smith: Illegal Motion, 5 yards (no play)",-0.320,-0.570
4,1:46,1,15,PHI 8,7,20,Jeff Blake pass incomplete intended for L.J. Smith,-0.570,-1.150
4,1:42,2,15,PHI 8,7,20,Jeff Blake pass complete to Freddie Mitchell for 21 yards (tackle by Travis Fisher),-1.150,0.870
4,1:22,1,10,PHI 29,7,20,Jeff Blake pass complete to Thomas Tapeh for 2 yards (tackle by Pisa Tinoisamoa),0.870,0.600
4,0:59,2,8,PHI 31,7,20,Jeff Blake pass incomplete intended for Greg Lewis,0.600,-0.100
4,0:55,3,8,PHI 31,7,20,"Penalty on Trey Darilek: False Start, 5 yards (no play)",-0.100,-0.760
4,0:55,3,13,PHI 26,7,20,Jeff Blake pass complete to Thomas Tapeh for 13 yards (tackle by Pisa Tinoisamoa),-0.760,1.530
4,0:28,,,,7,20,Timeout #4 by Philadelphia Eagles,0.000,1.530
4,0:28,1,10,PHI 39,7,20,Reno Mahe up the middle for 16 yards (tackle by Adam Archuleta),1.530,2.590
4,0:02,1,10,STL 45,7,20,Jeff Blake spiked the ball,2.590,2.040
4,0:01,2,10,STL 45,7,20,Jeff Blake pass incomplete intended for Greg Lewis,2.040,1.360
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
