Quarter,Time,Down,ToGo,Location,NYJ,NYG,Detail,EPB,EPA
2,3:30,3,15,NYG 25,9,10,"Ryan Fitzpatrick pass complete short left to Bilal Powell for 25 yards, touchdown",2.340,7.000
2,3:30,,,NYG 25,10,10,Randy Bullock kicks extra point good,0.000,0.000
2,3:30,,,NYJ 35,10,10,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.280
2,3:21,1,10,NYG 20,10,10,Eli Manning pass complete short middle to Shane Vereen for 7 yards (tackle by Buster Skrine and David Harris),0.280,0.680
2,2:56,2,3,NYG 27,10,10,Shane Vereen left tackle for 1 yard (tackle by Leonard Williams and Calvin Pryor),0.680,0.100
2,2:27,3,2,NYG 28,10,16,"Eli Manning pass complete short middle to Odell Beckham for 72 yards, touchdown",0.100,7.000
2,2:27,,,NYJ 28,10,17,Josh Brown kicks extra point good,0.000,0.000
2,2:27,,,NYG 35,10,17,"Josh Brown kicks off 61 yards, returned by Bilal Powell for 20 yards (tackle by Andre Williams)",0.000,-0.540
2,2:08,1,10,NYJ 24,10,17,Ryan Fitzpatrick pass incomplete deep left intended for Eric Decker,0.540,0.000
2,2:03,2,10,NYJ 24,10,17,Ryan Fitzpatrick pass incomplete short right intended for Bilal Powell. Penalty on Brian Winters: Offensive Holding (Declined),0.000,-0.690
2,1:59,3,10,NYJ 24,10,17,Ryan Fitzpatrick pass complete short left to Bilal Powell for 6 yards (tackle by Jonathan Casillas and Prince Amukamara),-0.690,-0.690
2,1:50,3,10,NYJ 24,10,17,Timeout #2 by New York Giants,-0.690,-1.370
2,1:50,4,4,NYJ 30,10,17,"Ryan Quigley punts 37 yards, out of bounds",-1.370,-1.140
2,1:42,1,10,NYG 33,10,17,Eli Manning sacked by Mike Catapano for -3 yards,1.140,0.190
2,1:18,2,13,NYG 30,10,17,Eli Manning pass complete deep middle to Will Tye for 45 yards (tackle by Marcus Gilchrist),0.190,0.190
2,1:07,2,13,NYG 30,10,17,Timeout #3 by New York Giants,0.190,3.910
2,1:07,1,10,NYJ 25,10,17,Eli Manning pass incomplete deep middle intended for Odell Beckham,3.910,3.360
2,1:00,2,10,NYJ 25,10,17,Eli Manning pass complete short right to Dwayne Harris for 8 yards (tackle by Buster Skrine),3.360,3.850
2,0:41,3,2,NYJ 17,10,17,Eli Manning pass incomplete short left intended for Myles White,3.850,2.440
2,0:34,4,2,NYJ 17,10,20,Josh Brown 35 yard field goal good,2.440,3.000
2,0:34,,,NYG 35,10,20,"Josh Brown kicks off 56 yards, returned by Jeff Cumberland for 10 yards (tackle by Landon Collins)",0.000,-0.150
2,0:23,1,10,NYJ 19,10,20,Ryan Fitzpatrick pass complete short middle to Chris Ivory for 6 yards (tackle by Landon Collins),0.150,0.480
2,0:16,2,4,NYJ 25,10,20,"Ryan Fitzpatrick pass incomplete short left intended for Chris Ivory. Penalty on Trumaine McBride: Illegal Use of Hands, 5 yards (no play)",0.480,0.940
2,0:10,1,10,NYJ 30,10,20,Chris Ivory middle for 6 yards (tackle by Jason Pierre-Paul),0.940,1.200
Quarter,Time,Down,ToGo,Location,NYJ,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 35,10,20,"Randy Bullock kicks off 65 yards, returned by Dwayne Harris for 26 yards (tackle by Rontez Miles)",0.000,-0.670
3,14:55,1,10,NYG 26,10,20,Eli Manning pass incomplete short left intended for Odell Beckham,0.670,0.130
3,14:51,2,10,NYG 26,10,20,Andre Williams middle for 2 yards (tackle by Damon Harrison),0.130,-0.300
3,14:20,3,8,NYG 28,10,20,Eli Manning pass complete short left to Odell Beckham for 15 yards (tackle by Calvin Pryor),-0.300,1.800
3,14:06,1,10,NYG 43,10,20,Andre Williams middle for 1 yard (tackle by Demario Davis),1.800,1.390
3,13:44,2,9,NYG 44,10,20,Eli Manning pass incomplete short left intended for Andre Williams,1.390,0.690
3,13:35,3,9,NYG 44,10,20,Eli Manning pass complete deep middle to Will Tye for 25 yards (tackle by Jamari Lattimore),0.690,3.510
3,13:09,1,10,NYJ 31,10,20,"Penalty on Will Tye: False Start, 5 yards (no play)",3.510,3.180
3,12:56,1,15,NYJ 36,10,20,Eli Manning sacked by Leonard Williams for -4 yards,3.180,1.750
3,12:12,2,19,NYJ 40,10,20,Andre Williams left tackle for 1 yard (tackle by Rontez Miles),1.750,1.220
3,11:36,3,18,NYJ 39,10,20,"Eli Manning pass complete deep right to Myles White for 35 yards (tackle by Marcus Gilchrist). Penalty on Ereck Flowers: Offensive Holding, 10 yards (no play)",1.220,-0.100
3,11:07,3,28,NYJ 49,10,20,Eli Manning pass complete short left to Myles White for 5 yards (tackle by David Harris),-0.100,0.330
3,10:45,4,23,NYJ 44,10,20,"Brad Wing punts 32 yards, fair catch by Eric Decker",0.330,0.350
3,10:35,1,10,NYJ 12,10,20,Chris Ivory left tackle for 1 yard (tackle by Landon Collins and Robert Ayers),-0.350,-0.700
3,9:53,2,9,NYJ 13,10,20,Ryan Fitzpatrick pass complete short left to Chris Ivory for 11 yards (tackle by Landon Collins),-0.700,0.540
3,9:11,1,10,NYJ 24,10,20,Chris Ivory middle for no gain (tackle by Jonathan Casillas and Markus Kuhn),0.540,0.000
3,8:29,2,10,NYJ 24,10,20,Ryan Fitzpatrick pass complete short middle to Kellen Davis for 8 yards (tackle by Uani Unga),0.000,0.370
3,7:48,3,2,NYJ 32,10,20,"Penalty on Jason Pierre-Paul: Neutral Zone Infraction, 5 yards (no play)",0.370,1.400
3,7:32,1,10,NYJ 37,10,20,Ryan Fitzpatrick pass complete short right to Brandon Marshall for 5 yards (tackle by Mark Herzlich),1.400,1.530
3,6:52,2,5,NYJ 42,10,20,Ryan Fitzpatrick middle for 1 yard (tackle by Jason Pierre-Paul and Cullen Jenkins),1.530,0.960
3,6:06,3,4,NYJ 43,10,20,Ryan Fitzpatrick pass complete short middle to Brandon Marshall for 3 yards (tackle by Landon Collins),0.960,-0.320
3,5:25,4,1,NYJ 46,10,20,"Penalty on Dexter McDougle: False Start, 5 yards (no play)",-0.320,-0.650
3,5:16,4,6,NYJ 41,10,20,"Ryan Quigley punts 46 yards, returned by Dwayne Harris for 16 yards (tackle by Erin Henderson)",-0.650,-0.870
3,5:03,1,10,NYG 29,10,20,Eli Manning pass complete short right to Odell Beckham for 11 yards (tackle by Sheldon Richardson),0.870,1.600
3,4:34,1,10,NYG 40,10,20,Orleans Darkwa left guard for 6 yards (tackle by David Harris),1.600,1.860
3,4:01,2,4,NYG 46,10,20,Orleans Darkwa left tackle for no gain (tackle by Muhammad Wilkerson and Damon Harrison),1.860,1.160
3,3:16,3,4,NYG 46,10,20,"Penalty on Justin Pugh: False Start, 5 yards (no play)",1.160,0.500
3,3:02,3,9,NYG 41,10,20,Eli Manning pass complete short left to Orleans Darkwa for 10 yards (tackle by Leger Douzable),0.500,2.320
3,2:19,1,10,NYJ 49,10,20,Eli Manning pass incomplete short right intended for Dwayne Harris,2.320,1.780
3,2:09,2,10,NYJ 49,10,20,Orleans Darkwa left tackle for 4 yards (tackle by Marcus Gilchrist),1.780,1.620
3,1:28,3,6,NYJ 45,10,20,Eli Manning left end for 2 yards (tackle by David Harris),1.620,0.400
3,0:44,4,4,NYJ 43,10,20,"Brad Wing punts 37 yards. Penalty on Rontez Miles: Defensive Offside, 5 yards (no play)",0.400,3.050
3,0:31,1,10,NYJ 38,10,20,Rashad Jennings left guard for 1 yard (tackle by Erin Henderson and Leonard Williams),3.050,2.640
Quarter,Time,Down,ToGo,Location,NYJ,NYG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,NYJ 37,10,20,Eli Manning pass complete short left to Rashad Jennings for 19 yards (tackle by Rontez Miles and Erin Henderson),2.640,4.370
4,14:24,1,10,NYJ 18,10,20,Rashad Jennings left guard for 5 yards (tackle by Sheldon Richardson and David Harris),4.370,4.610
4,13:47,2,5,NYJ 13,10,20,"Eli Manning pass incomplete short right intended for Will Tye. Penalty on Justin Pugh: Unnecessary Roughness, 15 yards (no play)",4.610,2.480
4,13:35,2,20,NYJ 28,10,20,Eli Manning pass complete short middle to Shane Vereen for no gain,2.480,1.820
4,13:01,3,20,NYJ 28,10,20,"Eli Manning pass complete short middle to Shane Vereen for 11 yards (tackle by Jamari Lattimore and Calvin Pace). Penalty on Darrin Walls: Illegal Contact, 5 yards (no play)",1.820,4.040
4,12:39,1,10,NYJ 23,10,20,"Rashad Jennings middle for 1 yard (tackle by Muhammad Wilkerson and Rontez Miles). Penalty on Weston Richburg: Offensive Holding, 10 yards (no play)",4.040,3.380
4,12:08,1,20,NYJ 33,10,20,Eli Manning pass complete short right to Rueben Randle for 6 yards (tackle by Darrin Walls),3.380,2.960
4,11:36,2,14,NYJ 27,10,20,Rashad Jennings middle for 4 yards (tackle by Erin Henderson and Rontez Miles),2.960,2.810
4,10:54,3,10,NYJ 23,10,20,"Eli Manning pass incomplete deep left intended for Dwayne Harris. Penalty on Buster Skrine: Defensive Pass Interference, 11 yards (no play)",2.810,4.780
4,10:47,1,10,NYJ 12,10,20,Shane Vereen middle for 1 yard (tackle by Damon Harrison and Rontez Miles),4.780,4.270
4,10:19,2,9,NYJ 11,10,20,Eli Manning sacked by Muhammad Wilkerson for -9 yards,4.270,2.480
4,9:39,3,18,NYJ 20,10,20,Eli Manning pass complete deep left to Rueben Randle for 16 yards (tackle by Antonio Cromartie),2.480,2.480
4,8:50,3,18,NYJ 20,10,20,Timeout #1 by New York Giants,2.480,3.040
4,8:50,4,2,NYJ 4,10,20,Eli Manning pass incomplete short right intended for Rueben Randle is intercepted by Rontez Miles at NYJ-3 and returned for 11 yards,3.040,0.280
4,8:42,1,10,NYJ 14,10,20,Ryan Fitzpatrick pass complete short middle to Eric Decker for 9 yards (tackle by Trevin Wade),-0.280,0.550
4,8:05,2,1,NYJ 23,10,20,Ryan Fitzpatrick pass complete short left to Chris Ivory for 2 yards (tackle by Jonathan Casillas and Cooper Taylor),0.550,0.610
4,7:31,1,10,NYJ 25,10,20,Ryan Fitzpatrick pass complete short middle to Eric Decker for 12 yards (tackle by Trevin Wade),0.610,1.400
4,6:54,1,10,NYJ 37,10,20,Ryan Fitzpatrick pass incomplete deep right intended for Quincy Enunwa (defended by Trumaine McBride),1.400,0.860
4,6:44,2,10,NYJ 37,10,20,Ryan Fitzpatrick pass complete deep middle to Eric Decker for 16 yards (tackle by Cooper Taylor),0.860,2.460
4,6:23,1,10,NYG 47,10,20,Ryan Fitzpatrick pass complete short middle to Eric Decker for 15 yards (tackle by Cooper Taylor),2.460,3.450
4,5:55,1,10,NYG 32,10,20,Ryan Fitzpatrick pass incomplete short middle intended for Bilal Powell (defended by Jason Pierre-Paul),3.450,2.900
4,5:50,2,10,NYG 32,10,20,Ryan Fitzpatrick pass complete short left to Brandon Marshall for 25 yards (tackle by Prince Amukamara),2.900,5.600
4,5:21,1,7,NYG 7,10,20,Ryan Fitzpatrick pass complete short left to Brandon Marshall for 1 yard (tackle by Prince Amukamara),5.600,4.950
4,4:38,2,6,NYG 6,10,20,Ryan Fitzpatrick pass incomplete short right intended for Eric Decker,4.950,4.040
4,4:33,3,6,NYG 6,10,20,Ryan Fitzpatrick pass incomplete short left intended for Eric Decker,4.040,2.990
4,4:33,4,6,NYG 6,13,20,Randy Bullock 24 yard field goal good,2.990,3.000
4,4:33,,,NYJ 35,13,20,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.280
4,4:24,1,10,NYG 20,13,20,Orleans Darkwa middle for no gain (tackle by Damon Harrison),0.280,-0.270
4,3:43,2,10,NYG 20,13,20,Orleans Darkwa left guard for 4 yards (tackle by Damon Harrison and David Harris),-0.270,-0.430
4,3:04,3,6,NYG 24,13,20,Eli Manning pass incomplete short left intended for Shane Vereen,-0.430,-1.770
4,2:57,4,6,NYG 24,13,20,"Brad Wing punts 30 yards, out of bounds. Penalty on Jeff Cumberland: Running Into the Kicker, 5 yards (no play)",-1.770,-1.440
4,2:48,4,1,NYG 29,13,20,"Brad Wing punts 42 yards, fair catch by Eric Decker",-1.440,-0.870
4,2:40,1,10,NYJ 29,13,20,Ryan Fitzpatrick pass complete short right to Bilal Powell for 20 yards (tackle by Craig Dahl),0.870,2.190
4,2:32,1,10,NYJ 49,13,20,Ryan Fitzpatrick pass incomplete short left intended for Quincy Enunwa,2.190,1.650
4,2:26,2,10,NYJ 49,13,20,Ryan Fitzpatrick pass complete short left to Bilal Powell for 1 yard (tackle by Trevin Wade),1.650,1.090
4,2:00,3,9,,13,20,Ryan Fitzpatrick pass complete short left to Brandon Marshall for 10 yards (tackle by Prince Amukamara),1.090,2.920
4,1:35,1,10,NYG 40,13,20,Ryan Fitzpatrick sacked by Robert Ayers for -5 yards,2.920,2.920
4,1:27,1,10,NYG 40,13,20,Timeout #1 by New York Jets,2.920,1.700
4,1:27,2,15,NYG 45,13,20,Ryan Fitzpatrick pass complete short middle to Quincy Enunwa for 9 yards (tackle by Jonathan Casillas),1.700,2.210
4,1:06,3,6,NYG 36,13,20,Ryan Fitzpatrick pass incomplete short left intended for Bilal Powell (defended by Landon Collins),2.210,0.880
4,1:01,4,6,NYG 36,13,20,Ryan Fitzpatrick middle for 15 yards (tackle by Landon Collins),0.880,4.170
4,0:40,1,10,NYG 21,13,20,Ryan Fitzpatrick pass complete short right to Bilal Powell for 12 yards (tackle by Craig Dahl and Damontre Moore),4.170,4.170
4,0:32,1,10,NYG 21,13,20,Timeout #2 by New York Giants,4.170,5.140
