Quarter,Time,Down,ToGo,Location,TEN,CAR,Detail,EPB,EPA
2,1:39,,,,,,Timeout #2 by Tennessee Titans,,
2,1:39,1,10,TEN 19,0,10,Kyle Allen pass complete short right to D.J. Moore for 7 yards (tackle by Kevin Byard and Logan Ryan),4.310,4.920
2,1:04,2,3,TEN 12,0,16,"Kyle Allen pass complete short left to Curtis Samuel for 12 yards, touchdown, touchdown",4.920,7.000
2,0:58,,,TEN 15,0,17,Joey Slye kicks extra point good,0.000,0.000
2,0:58,,,CAR 35,0,17,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
2,0:58,1,10,TEN 25,0,17,Ryan Tannehill pass complete short right to Corey Davis for 11 yards (tackle by Ross Cockrell),0.610,1.330
2,0:40,1,10,TEN 36,0,17,Ryan Tannehill pass incomplete short middle intended for Anthony Firkser (defended by Luke Kuechly),1.330,0.790
2,0:36,2,10,TEN 36,0,17,Ryan Tannehill pass complete short right to Adam Humphries for 11 yards (tackle by Shaq Thompson),0.790,2.060
2,0:28,,,,,,Timeout #3 by Tennessee Titans,,
2,0:28,1,10,TEN 47,0,17,Ryan Tannehill pass complete short right to Dion Lewis for 24 yards (tackle by Eric Reid). Penalty on Brian Burns: Defensive Offside (Declined),2.060,3.640
2,0:21,1,10,CAR 29,0,17,Ryan Tannehill pass complete short right to Dion Lewis for -2 yards (tackle by Shaq Thompson),3.640,2.830
2,0:17,2,12,CAR 31,0,17,Ryan Tannehill sacked by Marquis Haynes for -7 yards,2.830,1.220
2,0:17,3,19,CAR 38,0,17,Ryan Tannehill spiked the ball,1.220,0.720
2,0:04,4,19,CAR 38,0,17,Ryan Succop 56 yard field goal no good,0.720,1.930
Quarter,Time,Down,ToGo,Location,TEN,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 35,0,17,"Joey Slye kicks off 64 yards, returned by Kalif Raymond for 32 yards (tackle by Bryan Cox and Joey Slye)",0.000,1.140
3,14:54,1,10,TEN 33,0,17,Derrick Henry left guard for 9 yards (tackle by Eric Reid),1.140,1.810
3,14:19,2,1,TEN 42,0,17,Derrick Henry up the middle for 7 yards (tackle by Eric Reid and Ross Cockrell),1.810,2.190
3,13:41,1,10,TEN 49,0,17,Derrick Henry left tackle for 2 yards (tackle by Dontari Poe and Gerald McCoy),2.190,1.920
3,13:05,2,8,CAR 49,0,17,Derrick Henry right end for 12 yards (tackle by Shaq Thompson),1.920,3.120
3,12:29,1,10,CAR 37,0,17,Derrick Henry up the middle for 2 yards (tackle by Shaq Thompson),3.120,2.840
3,11:51,2,8,CAR 35,0,17,"Penalty on A.J. Brown: False Start, 5 yards (no play)",2.840,2.170
3,11:27,2,13,CAR 40,0,17,Ryan Tannehill left end for 25 yards (tackle by Ross Cockrell),2.170,4.580
3,10:50,1,10,CAR 15,0,17,Derrick Henry up the middle for 7 yards (tackle by Efe Obada and Tre Boston),4.580,5.220
3,10:18,2,3,CAR 8,6,17,"Derrick Henry up the middle for 8 yards, touchdown",5.220,7.000
3,10:11,,,CAR 15,7,17,Ryan Succop kicks extra point good,0.000,0.000
3,10:11,,,TEN 35,7,17,"Ryan Succop kicks off 67 yards, returned by Greg Dortch for 32 yards (tackle by Kalif Raymond)",0.000,0.940
3,10:04,1,10,CAR 30,7,17,Christian McCaffrey up the middle for 6 yards (tackle by Jayon Brown and Harold Landry),0.940,1.200
3,9:25,2,4,CAR 36,7,17,Kyle Allen pass incomplete deep right intended for Curtis Samuel (defended by Adoree' Jackson),1.200,0.500
3,9:18,3,4,CAR 36,7,17,Kyle Allen pass incomplete short right intended for Jarius Wright,0.500,-0.980
3,9:10,4,4,CAR 36,7,17,Colin Jones right end for 5 yards (tackle by Dane Cruikshank),-0.980,1.660
3,8:19,1,10,CAR 41,7,17,Christian McCaffrey up the middle for 11 yards (tackle by Rashaan Evans),1.660,2.390
3,7:42,1,10,TEN 48,7,17,Christian McCaffrey left guard for 3 yards (tackle by DaQuan Jones and Logan Ryan),2.390,2.250
3,7:02,2,7,TEN 45,7,17,"Christian McCaffrey right guard for 5 yards (tackle by Logan Ryan and Rashaan Evans). Penalty on Kenny Vaccaro: Defensive Offside, 5 yards (no play)",2.250,2.930
3,6:42,2,2,TEN 40,7,17,Christian McCaffrey right guard for 1 yard (tackle by Wesley Woodyard and Jeffery Simmons),2.930,2.340
3,6:05,3,1,TEN 39,7,17,"Alex Armah right guard for 1 yard (tackle by Kamalei Correa and Rashaan Evans). Penalty on Kamalei Correa: Defensive Offside, 6 yards (no play)",2.340,3.380
3,5:47,1,10,TEN 33,7,17,Kyle Allen pass complete deep left to D.J. Moore for 32 yards (tackle by Kenny Vaccaro),3.380,6.970
3,5:19,1,1,TEN 1,7,23,"Christian McCaffrey left guard for 1 yard, touchdown",6.970,7.000
3,5:16,,,TEN 15,7,24,Joey Slye kicks extra point good,0.000,0.000
3,5:16,,,CAR 35,7,24,"Joey Slye kicks off 68 yards, returned by Kalif Raymond for 28 yards (tackle by Javien Elliott). Penalty on Daren Bates: Offensive Holding, 10 yards",0.000,-0.220
3,5:09,1,10,TEN 15,7,24,Ryan Tannehill sacked by Shaq Thompson for -7 yards,-0.220,-1.290
3,4:27,2,17,TEN 8,7,24,Derrick Henry up the middle for 2 yards (tackle by Eric Reid),-1.290,-2.010
3,3:43,3,15,TEN 10,7,24,Ryan Tannehill pass incomplete deep left intended for Tajae Sharpe,-2.010,-2.490
3,3:35,4,15,TEN 10,7,24,"Brett Kern punts 51 yards, returned by Greg Dortch for 11 yards (tackle by Kevin Byard and MyCole Pruitt)",-2.490,-2.260
3,3:20,1,10,CAR 50,7,24,Kyle Allen pass incomplete short right,2.260,1.710
3,3:13,2,10,CAR 50,7,24,Christian McCaffrey up the middle for 4 yards (tackle by Rashaan Evans and Wesley Woodyard),1.710,1.550
3,2:34,3,6,TEN 46,7,24,Kyle Allen pass incomplete deep left intended for Curtis Samuel,1.550,0.200
3,2:27,4,6,TEN 46,7,24,"Michael Palardy punts 40 yards, fair catch by Adam Humphries at TEN-6",0.200,0.380
3,2:20,1,10,TEN 6,7,24,Ryan Tannehill up the middle for 1 yard (tackle by Vernon Butler),-0.380,-0.710
3,1:57,2,9,TEN 7,7,24,Derrick Henry up the middle for 7 yards (tackle by Kyle Love and Eric Reid),-0.710,-0.480
3,1:38,3,2,TEN 14,7,24,Ryan Tannehill pass complete short middle to Adam Humphries for 25 yards (tackle by Tre Boston),-0.480,1.530
3,1:08,1,10,TEN 39,7,24,Derrick Henry up the middle for 3 yards (tackle by Ross Cockrell),1.530,1.390
3,0:28,2,7,TEN 42,7,24,Derrick Henry right end for no gain (tackle by Gerald McCoy),1.390,0.700
Quarter,Time,Down,ToGo,Location,TEN,CAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,7,TEN 42,7,24,Ryan Tannehill pass complete deep right to A.J. Brown for 35 yards (tackle by James Bradberry),0.700,4.040
4,14:31,1,10,CAR 23,7,24,Ryan Tannehill pass incomplete deep left intended for A.J. Brown,4.040,3.500
4,14:24,2,10,CAR 23,13,24,"Ryan Tannehill pass complete short right to Derrick Henry for 23 yards, touchdown",3.500,7.000
4,14:14,,,CAR 15,14,24,Ryan Succop kicks extra point good,0.000,0.000
4,14:14,,,TEN 35,14,24,"Ryan Succop kicks off 68 yards, returned by Greg Dortch for 20 yards (tackle by Kalif Raymond and Dane Cruikshank)",0.000,-0.060
4,14:08,1,10,CAR 17,14,24,Christian McCaffrey up the middle for 3 yards (tackle by Austin Johnson and Harold Landry),-0.060,-0.060
4,13:32,2,7,CAR 20,14,24,Kyle Allen pass complete short left to Christian McCaffrey for 10 yards (tackle by Wesley Woodyard),-0.060,0.940
4,12:54,1,10,CAR 30,14,24,Christian McCaffrey right guard for 1 yard (tackle by Wesley Woodyard and Jeffery Simmons),0.940,0.530
4,12:12,2,9,CAR 31,14,24,"Kyle Allen pass complete short right to Christian McCaffrey for 21 yards (tackle by Kevin Byard). Penalty on Taylor Moton: Offensive Holding, 10 yards (no play)",0.530,-0.820
4,11:46,2,19,CAR 21,14,24,Kyle Allen pass complete short right to Reggie Bonnafon for 7 yards (tackle by Wesley Woodyard),-0.820,-0.560
4,11:15,3,12,CAR 28,14,24,Kyle Allen pass complete short right to D.J. Moore for 14 yards (tackle by Kevin Byard),-0.560,1.730
4,10:33,1,10,CAR 42,14,30,"Christian McCaffrey up the middle for 58 yards, touchdown",1.730,7.000
4,10:23,,,TEN 15,14,30,"Joey Slye kicks extra point blocked by Dane Cruikshank. Penalty on Daren Bates: Lowering the Head to Initiate Contact, 15 yards",0.000,-1.000
4,10:23,,,CAR 50,14,30,"Michael Palardy kicks off 49 yards, returned by Kalif Raymond for 9 yards (tackle by Jermaine Carter)",0.000,-0.380
4,10:18,1,10,TEN 10,14,30,Ryan Tannehill pass complete short left to A.J. Brown for 13 yards (tackle by Donte Jackson),-0.380,0.480
4,9:53,1,10,TEN 23,14,30,Ryan Tannehill pass complete short left to Derrick Henry for 11 yards (tackle by Bryan Cox),0.480,1.200
4,9:31,1,10,TEN 34,14,30,Ryan Tannehill pass complete short right to Derrick Henry for 2 yards (tackle by Luke Kuechly),1.200,0.930
4,9:04,2,8,TEN 36,14,30,Ryan Tannehill pass complete short left to Kalif Raymond for 14 yards (tackle by Tre Boston),0.930,2.260
4,8:43,1,10,TEN 50,14,30,Ryan Tannehill pass deep middle intended for Kalif Raymond is intercepted by Tre Boston at CAR-34 and returned for 20 yards,2.260,-2.520
4,8:33,1,10,TEN 46,14,30,Curtis Samuel right end for 10 yards (tackle by Logan Ryan and Adoree' Jackson),2.520,3.180
4,7:46,1,10,TEN 36,14,30,Reggie Bonnafon left guard for 4 yards (tackle by DaQuan Jones and Wesley Woodyard),3.180,3.180
4,7:02,2,6,TEN 32,14,30,Reggie Bonnafon up the middle for 1 yard (tackle by Kamalei Correa and Austin Johnson),3.180,2.610
4,6:15,3,5,TEN 31,14,30,Kyle Allen pass incomplete short right intended for Jarius Wright,2.610,1.350
4,6:06,,,,,,Timeout #1 by Carolina Panthers,,
4,6:06,4,5,TEN 31,14,30,Joey Slye 49 yard field goal no good,1.350,-1.530
4,6:01,1,10,TEN 39,14,30,Ryan Tannehill pass incomplete deep right intended for Corey Davis. Penalty on James Bradberry: Defensive Pass Interference (Offsetting) Penalty on TEN: Illegal Use of Hands (Offsetting) (no play),1.530,1.530
4,5:47,1,10,TEN 39,14,30,Ryan Tannehill pass complete short right to Dion Lewis for -3 yards (tackle by Shaq Thompson),1.530,0.580
4,5:27,2,13,TEN 36,14,30,Ryan Tannehill pass complete short right to Corey Davis for 12 yards (tackle by James Bradberry and Shaq Thompson),0.580,1.490
4,5:01,3,1,TEN 48,14,30,Dion Lewis right end for -2 yards (tackle by Gerald McCoy),1.490,-0.320
4,4:32,,,,,,Timeout #2 by Carolina Panthers,,
4,4:32,4,3,TEN 46,14,30,Ryan Tannehill pass complete short left to Corey Davis for 7 yards (tackle by Javien Elliott),-0.320,2.460
4,4:10,1,10,CAR 47,14,30,Ryan Tannehill pass complete short left to A.J. Brown for 10 yards,2.460,3.120
4,4:05,1,10,CAR 37,14,30,Ryan Tannehill pass incomplete short left intended for Jonnu Smith,3.120,2.570
4,4:01,2,10,CAR 37,14,30,Ryan Tannehill pass complete short right to Tajae Sharpe for 15 yards (tackle by Ross Cockrell and Luke Kuechly),2.570,4.110
4,3:39,1,10,CAR 22,14,30,Ryan Tannehill pass complete short middle to Jonnu Smith for 7 yards (tackle by Luke Kuechly),4.110,4.650
4,3:18,2,3,CAR 15,14,30,Ryan Tannehill pass complete short middle to Kalif Raymond for 5 yards (tackle by Luke Kuechly),4.650,4.910
4,2:58,1,10,CAR 10,20,30,"Ryan Tannehill right end for 10 yards, touchdown",4.910,7.000
4,2:49,,,CAR 2,20,30,"Two Point Attempt: Ryan Tannehill pass incomplete intended for Adam Humphries, conversion fails",1.000,-1.000
4,2:49,,,TEN 35,20,30,"Ryan Succop kicks onside 8 yards, returned by Greg Olsen for no gain",0.000,2.720
4,2:48,1,10,TEN 43,20,30,Reggie Bonnafon up the middle for 1 yard (tackle by Rashaan Evans and DaQuan Jones),2.720,2.310
4,2:44,,,,,,Timeout #1 by Tennessee Titans,,
4,2:44,2,9,TEN 42,20,30,Kyle Allen pass incomplete short left intended for D.J. Moore (defended by Austin Johnson),2.310,1.620
4,2:41,3,9,TEN 42,20,30,Kyle Allen left end for -2 yards (tackle by Harold Landry),1.620,0.330
4,2:36,,,,,,Timeout #2 by Tennessee Titans,,
4,2:36,4,11,TEN 44,20,30,"Michael Palardy punts 30 yards, fair catch by Adam Humphries at TEN-14",0.330,0.280
4,2:29,1,10,TEN 14,20,30,Ryan Tannehill pass complete short middle to Dion Lewis for 5 yards (tackle by Shaq Thompson),-0.280,-0.040
4,2:10,2,5,TEN 19,20,30,Ryan Tannehill pass complete short right to Dion Lewis for 9 yards (tackle by Shaq Thompson),-0.040,0.810
4,2:04,1,10,TEN 28,20,30,"Ryan Tannehill pass incomplete deep right intended for A.J. Brown. Penalty on Luke Kuechly: Defensive Holding, 5 yards (no play)",0.810,1.140
4,1:57,1,10,TEN 33,20,30,Ryan Tannehill sacked by Eric Reid for no gain,1.140,0.590
4,1:35,2,10,TEN 33,20,30,Ryan Tannehill pass incomplete short right intended for Corey Davis,0.590,-0.100
4,1:34,3,10,TEN 33,20,30,Ryan Tannehill pass complete deep right to Tajae Sharpe for 16 yards (tackle by Ross Cockrell),-0.100,2.190
4,1:14,1,10,TEN 49,20,30,Ryan Tannehill pass complete short right to Corey Davis for 18 yards (tackle by Ross Cockrell) Penalty on CAR: Defensive Too Many Men on Field (Declined),2.190,3.380
4,1:08,1,10,CAR 33,20,30,Ryan Tannehill pass incomplete short right intended for Tajae Sharpe,3.380,2.840
4,1:05,2,10,CAR 33,20,30,Ryan Tannehill pass complete short right to Jonnu Smith for 7 yards (tackle by Shaq Thompson),2.840,3.070
4,0:53,3,3,CAR 26,20,30,Ryan Tannehill spiked the ball,3.070,1.840
4,0:52,4,3,CAR 26,20,30,Ryan Succop 44 yard field goal no good,1.840,-1.200
4,0:47,1,10,CAR 34,20,30,Kyle Allen kneels for -1 yards,1.200,0.520
4,0:29,2,11,CAR 33,20,30,Kyle Allen kneels for -1 yards,0.520,-0.300
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
