Quarter,Time,Down,ToGo,Location,LAC,BAL,Detail,EPB,EPA
1,5:12,,,BAL 35,0,7,"Justin Tucker kicks off 63 yards, returned by K.J. Hill for 18 yards (tackle by Kristian Welch and Malik Harrison)",,
1,5:08,1,10,LAC 20,0,7,Austin Ekeler left guard for 2 yards (tackle by Justin Houston and Calais Campbell),,
1,4:33,2,8,LAC 22,0,7,Justin Herbert pass complete short middle to Keenan Allen for 3 yards (tackle by Patrick Queen and Chuck Clark),,
1,4:10,3,5,LAC 25,0,7,Justin Herbert sacked by DeShon Elliott for -6 yards,,
1,3:33,4,10,LAC 19,0,7,"Ty Long punts 69 yards, returned by Devin Duvernay for 14 yards (tackle by Stephen Anderson)",,
1,3:19,1,10,BAL 26,0,7,Lamar Jackson pass complete short middle to Mark Andrews for 16 yards (tackle by Kyzir White),,
1,2:41,1,10,BAL 42,0,7,Lamar Jackson pass complete short middle to Devin Duvernay for 8 yards (tackle by Derwin James),,
1,2:04,2,2,LAC 50,0,7,Latavius Murray right end for 3 yards (tackle by Kyzir White and Linval Joseph),,
1,1:17,1,10,LAC 47,0,7,Lamar Jackson right end for 3 yards (tackle by Michael Davis),,
1,0:35,2,7,LAC 44,0,7,Lamar Jackson pass complete short right to Mark Andrews for 9 yards,,
Quarter,Time,Down,ToGo,Location,LAC,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LAC 35,0,7,"Le'Veon Bell right guard for no gain (tackle by Derwin James). Penalty on Josh Oliver: Offensive Holding, 10 yards (accepted) (no play)",,
2,14:39,1,20,LAC 45,0,7,Lamar Jackson scrambles right end for 22 yards (tackle by Derwin James),,
2,13:54,1,10,LAC 23,0,7,Lamar Jackson pass complete short left to Mark Andrews for 21 yards (tackle by Amen Ogbongbemiga),,
2,13:28,1,2,LAC 2,0,13,"Le'Veon Bell right end for 2 yards, touchdown",,
2,13:24,,,LAC 15,0,14,Justin Tucker kicks extra point good,,
2,13:24,,,BAL 35,0,14,"Justin Tucker kicks off 65 yards, touchback.",,
2,13:24,1,10,LAC 25,0,14,Austin Ekeler left tackle for 5 yards (tackle by Anthony Averett),,
2,12:52,2,5,LAC 30,0,14,Austin Ekeler left guard for 2 yards (tackle by Brandon Williams and Malik Harrison),,
2,12:28,3,3,LAC 32,0,14,Justin Herbert pass incomplete short middle intended for Mike Williams (defended by Josh Bynes),,
2,12:22,4,3,LAC 32,0,14,"Ty Long punts 53 yards, returned by Devin Duvernay for 13 yards (tackle by Nick Niemann)",,
2,12:11,1,10,BAL 28,0,14,Latavius Murray right guard for 3 yards (tackle by Amen Ogbongbemiga),,
2,11:31,2,7,BAL 31,0,14,Lamar Jackson pass incomplete short left intended for Devin Duvernay,,
2,11:26,3,7,BAL 31,0,14,"Lamar Jackson pass complete short middle to Josh Oliver for 2 yards. Josh Oliver fumbles (forced by Derwin James), recovered by Josh Oliver at BAL-33 (tackle by Derwin James)",,
2,10:51,4,5,BAL 33,0,14,Sam Koch punts 53 yards out of bounds,,
2,10:44,1,10,LAC 14,0,14,Justin Herbert pass complete short middle to Austin Ekeler for 18 yards (tackle by DeShon Elliott),,
2,10:09,1,10,LAC 32,0,14,Justin Herbert pass incomplete short left intended for Jalen Guyton,,
2,10:01,2,10,LAC 32,0,14,Justin Herbert pass complete short middle to Justin Jackson for 7 yards (tackle by Malik Harrison and Josh Bynes),,
2,9:18,3,3,LAC 39,0,14,Justin Herbert pass incomplete short left intended for Austin Ekeler,,
2,9:13,4,3,LAC 39,0,14,Justin Herbert pass incomplete short left intended for Mike Williams (defended by Marlon Humphrey),,
2,9:09,1,10,LAC 39,0,14,Lamar Jackson sacked by Linval Joseph for -10 yards,,
2,8:31,2,19,LAC 49,0,14,Lamar Jackson scrambles right end for 5 yards (tackle by Christian Covington),,
2,7:42,3,15,LAC 44,0,14,Lamar Jackson pass complete short left to Marquise Brown for 10 yards. Marquise Brown fumbles out of bounds,,
2,7:13,4,5,LAC 34,0,17,Justin Tucker 52 yard field goal good,,
2,7:03,,,BAL 35,0,17,"Justin Tucker kicks off 60 yards, returned by K.J. Hill for 16 yards (tackle by Tylan Wallace and Chris Board)",,
2,6:59,1,10,LAC 21,0,17,Justin Herbert scrambles left end for 10 yards (tackle by Josh Bynes),,
2,6:21,1,10,LAC 31,0,17,Joshua Kelley left end for -2 yards (tackle by Josh Bynes and Anthony Averett),,
2,5:43,2,13,LAC 29,0,17,Justin Herbert pass complete short middle to Donald Parham for 5 yards (tackle by Justin Madubuike),,
2,5:18,3,7,LAC 34,0,17,Justin Herbert pass complete short left to Josh Palmer for 8 yards (tackle by Anthony Averett),,
2,4:41,1,10,LAC 42,0,17,Justin Herbert pass deep middle intended for Jared Cook is intercepted by DeShon Elliott at BAL-37 and returned for no gain (tackle by Jared Cook),,
2,4:33,1,10,BAL 37,0,17,Lamar Jackson pass short middle intended for Rashod Bateman is intercepted by Kyzir White at BAL-49 and returned for 22 yards (tackle by Kevin Zeitler and Latavius Murray),,
2,4:20,1,10,BAL 27,0,17,Justin Herbert pass complete deep middle to Mike Williams for 26 yards (tackle by Chuck Clark),,
2,4:10,1,1,BAL 1,6,17,"Justin Herbert pass complete short right to Jared Cook for 1 yard, touchdown",,
2,4:04,,,BAL 15,6,17,Tristan Vizcaino kicks extra point no good,,
2,4:04,,,LAC 35,6,17,"Tristan Vizcaino kicks off 61 yards, returned by Devin Duvernay for 23 yards (tackle by Chris Rumph and Alohi Gilman)",,
2,3:58,1,10,BAL 27,6,17,Le'Veon Bell right end for 5 yards (tackle by Kyzir White),,
2,3:23,2,5,BAL 32,6,17,Lamar Jackson pass complete to Rashod Bateman for 6 yards (tackle by Asante Samuel and Nick Niemann),,
2,2:45,1,10,BAL 38,6,17,Devonta Freeman right guard for 7 yards (tackle by Nick Niemann),,
2,2:00,2,3,BAL 45,6,17,Lamar Jackson up the middle for 3 yards (tackle by Joey Bosa),,
2,1:17,1,10,BAL 48,6,17,Lamar Jackson sacked by Joey Bosa for -9 yards,,
2,0:30,2,19,BAL 39,6,17,Lamar Jackson pass incomplete deep right intended for James Proche,,
2,0:24,3,19,BAL 39,6,17,Lamar Jackson sacked by Uchenna Nwosu for -8 yards,,
2,0:19,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:19,4,26,BAL 31,6,17,Sam Koch punts 33 yards,,
2,0:06,1,10,LAC 36,6,17,Justin Herbert pass complete short middle to Austin Ekeler for 16 yards (tackle by Jimmy Smith),,
Quarter,Time,Down,ToGo,Location,LAC,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,6,17,"Tristan Vizcaino kicks off 64 yards, returned by Devin Duvernay for 47 yards (tackle by Tristan Vizcaino)",,
3,14:51,1,10,BAL 48,6,17,Latavius Murray right end for 6 yards (tackle by Michael Davis),,
3,14:12,2,4,LAC 46,6,17,Latavius Murray right tackle for 1 yard (tackle by Uchenna Nwosu),,
3,13:27,3,3,LAC 45,6,17,Lamar Jackson pass complete to Rashod Bateman for 4 yards (tackle by Michael Davis),,
3,12:48,1,10,LAC 41,6,17,Devonta Freeman right tackle for 5 yards (tackle by Christian Covington and Derwin James),,
3,12:22,2,4,LAC 36,6,17,Devonta Freeman for 4 yards (tackle by Michael Davis),,
3,11:42,3,1,LAC 32,6,17,Latavius Murray up the middle for 1 yard (tackle by Joey Bosa and Kyzir White),,
3,11:13,1,10,LAC 31,6,17,Lamar Jackson pass complete short left to Rashod Bateman for 11 yards (tackle by Chris Harris),,
3,10:34,1,10,LAC 20,6,17,Devonta Freeman right tackle for 7 yards (tackle by Asante Samuel and Amen Ogbongbemiga),,
3,9:54,2,3,LAC 13,6,17,Devonta Freeman right tackle for 2 yards (tackle by Christian Covington),,
3,9:11,3,1,LAC 11,6,17,Lamar Jackson right guard for 2 yards (tackle by Uchenna Nwosu and Kyzir White),,
3,8:28,1,9,LAC 9,6,17,Le'Veon Bell right guard for no gain (tackle by Uchenna Nwosu),,
3,7:46,2,9,LAC 9,6,23,"Lamar Jackson pass complete short middle to Mark Andrews for 9 yards, touchdown",,
3,7:39,,,LAC 15,6,24,Justin Tucker kicks extra point good,,
3,7:39,,,BAL 35,6,24,"Justin Tucker kicks off 67 yards, returned by Jalen Guyton for 22 yards (tackle by Malik Harrison). Penalty on Kemon Hall: Offensive Holding, 10 yards (accepted)",,
3,7:33,1,10,LAC 10,6,24,Joshua Kelley right end for 2 yards (tackle by Chuck Clark),,
3,7:04,2,8,LAC 12,6,24,Justin Herbert pass complete short middle to Mike Williams for 1 yard (tackle by Marlon Humphrey),,
3,6:43,3,7,LAC 13,6,24,Justin Herbert pass incomplete intended for Mike Williams (defended by Josh Bynes) (no play),,
3,6:39,3,2,LAC 18,6,24,Austin Ekeler for 1 yard (tackle by Calais Campbell and Brandon Williams),,
3,5:59,4,1,LAC 19,6,24,Justin Herbert pass incomplete short left intended for Josh Palmer,,
3,5:55,1,10,LAC 18,6,24,Devonta Freeman right tackle for -3 yards (tackle by Joey Bosa),,
3,5:16,2,13,LAC 21,6,24,Lamar Jackson pass incomplete intended for Mark Andrews,,
3,5:10,3,13,LAC 21,6,24,Lamar Jackson pass incomplete deep left intended for Marquise Brown,,
3,5:06,4,13,LAC 21,6,27,Justin Tucker 39 yard field goal good,,
3,5:02,,,BAL 35,6,27,"Justin Tucker kicks off 65 yards, touchback.",,
3,5:02,1,10,LAC 25,6,27,Justin Herbert pass incomplete short left intended for Jared Cook,,
3,4:58,2,10,LAC 25,6,27,Justin Herbert pass incomplete short left intended for Stephen Anderson,,
3,4:54,3,10,LAC 25,6,27,Justin Herbert pass incomplete short middle intended for Jared Cook (defended by DeShon Elliott),,
3,4:51,4,10,LAC 25,6,27,"Ty Long punts 57 yards, returned by Devin Duvernay for 17 yards (tackle by Nick Niemann)",,
3,4:40,1,10,BAL 35,6,27,Latavius Murray up the middle for 5 yards (tackle by Christian Covington),,
3,4:04,2,5,BAL 40,6,27,Lamar Jackson pass complete short middle to Rashod Bateman for 8 yards (tackle by Amen Ogbongbemiga),,
3,3:22,1,10,BAL 48,6,27,Le'Veon Bell for 7 yards (tackle by Derwin James),,
3,2:47,2,3,LAC 45,6,27,Latavius Murray right tackle for 3 yards (tackle by Amen Ogbongbemiga and Jerry Tillery),,
3,2:12,1,10,LAC 42,6,27,Lamar Jackson pass complete deep middle to Marquise Brown for 20 yards (tackle by Derwin James),,
3,1:31,1,10,LAC 22,6,27,Le'Veon Bell right end for no gain (tackle by Asante Samuel),,
3,0:44,2,10,LAC 22,6,27,Lamar Jackson pass incomplete short left intended for Devonta Freeman,,
3,0:38,,,,,,Timeout #1 by Los Angeles Chargers,,
3,0:38,3,10,LAC 22,6,27,Lamar Jackson pass complete short middle to Mark Andrews for 13 yards (tackle by Alohi Gilman and Trey Marshall),,
Quarter,Time,Down,ToGo,Location,LAC,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,9,LAC 9,6,33,"Devonta Freeman left end for 9 yards, touchdown",,
4,14:55,,,LAC 15,6,34,Justin Tucker kicks extra point good,,
4,14:55,,,BAL 35,6,34,"Justin Tucker kicks off 59 yards, returned by Jalen Guyton for 10 yards (tackle by Brandon Stephens)",,
4,14:50,1,10,LAC 16,6,34,Justin Herbert pass complete short left to Jared Cook for 5 yards (tackle by Malik Harrison),,
4,14:14,2,6,LAC 21,6,34,Justin Herbert pass complete to Keenan Allen for 10 yards (tackle by Anthony Averett),,
4,13:44,1,10,LAC 31,6,34,"Justin Herbert pass complete deep left to Keenan Allen for 21 yards (tackle by DeShon Elliott) BAL challenged the pass completion ruling, and the play was upheld.",,
4,13:10,1,10,BAL 48,6,34,Joshua Kelley left guard for 3 yards (tackle by Brandon Williams and Josh Bynes),,
4,12:37,2,7,BAL 45,6,34,Justin Herbert pass incomplete short middle intended for Josh Palmer (defended by Brandon Williams),,
4,12:34,3,7,BAL 45,6,34,Justin Herbert pass complete short right to Jalen Guyton for 15 yards (tackle by Anthony Averett),,
4,11:55,1,10,BAL 30,6,34,Justin Herbert pass complete short middle to Stephen Anderson for -1 yards (tackle by Brandon Stephens),,
4,11:13,2,11,BAL 31,6,34,"Justin Herbert pass incomplete intended for Keenan Allen. Penalty on Keenan Allen: Offensive Pass Interference, 10 yards (accepted) (no play)",,
4,11:07,2,21,BAL 41,6,34,Justin Herbert pass complete short right to Donald Parham for 5 yards (tackle by Brandon Stephens),,
4,10:42,3,16,BAL 36,6,34,"Justin Herbert pass complete to Keenan Allen for no gain (tackle by DeShon Elliott). Penalty on Rashawn Slater: Offensive Holding, 10 yards (accepted) (no play)",,
4,10:27,3,26,BAL 46,6,34,Justin Herbert pass incomplete deep right intended for Jalen Guyton (defended by Anthony Averett),,
4,10:22,4,26,BAL 46,6,34,"Ty Long punts 46 yards, touchback.",,
4,10:14,1,10,BAL 20,6,34,Le'Veon Bell right end for -1 yards (tackle by Kyzir White and Uchenna Nwosu),,
4,9:31,2,11,BAL 19,6,34,Lamar Jackson pass complete short middle to Miles Boykin for 6 yards (tackle by Asante Samuel),,
4,8:50,3,6,BAL 25,6,34,Lamar Jackson up the middle for 9 yards (tackle by Joey Bosa),,
4,8:05,1,10,BAL 34,6,34,Le'Veon Bell up the middle for 3 yards (tackle by Linval Joseph and Nick Niemann),,
4,7:17,2,7,BAL 37,6,34,Lamar Jackson pass complete short right to Marquise Brown for 1 yard (tackle by Derwin James),,
4,6:36,3,6,BAL 38,6,34,Lamar Jackson pass short middle intended for Rashod Bateman is intercepted by Kyzir White at BAL-46 and returned for no gain (tackle by Trystan Colon-Castillo),,
4,6:32,1,10,BAL 46,6,34,Justin Herbert pass complete to Austin Ekeler for 4 yards (tackle by Marlon Humphrey),,
4,6:02,2,6,BAL 42,6,34,Justin Herbert pass incomplete short left intended for Josh Palmer,,
4,5:59,3,6,BAL 42,6,34,Justin Herbert pass complete to Keenan Allen for 5 yards (tackle by Patrick Queen),,
4,5:28,,,,,,Timeout #2 by Los Angeles Chargers,,
4,5:28,4,1,BAL 37,6,34,Justin Herbert up the middle for 2 yards (tackle by Justin Madubuike),,
4,4:49,1,10,BAL 35,6,34,Justin Herbert pass complete short right to Austin Ekeler for 10 yards (tackle by Chuck Clark and Chris Board),,
4,4:08,1,10,BAL 25,6,34,Justin Herbert pass complete short middle to Gabe Nabers for 6 yards (tackle by Josh Bynes),,
4,3:33,2,4,BAL 19,6,34,Austin Ekeler left guard for -2 yards (tackle by Calais Campbell),,
4,2:55,3,6,BAL 21,6,34,Justin Herbert sacked by Justin Houston for -7 yards,,
4,2:14,4,13,BAL 28,6,34,Justin Herbert pass incomplete short right intended for Jalen Guyton,,
4,2:08,1,10,BAL 29,6,34,Le'Veon Bell left guard for 2 yards (tackle by Chris Rumph),,
4,2:00,2,9,BAL 31,6,34,Tyler Huntley right guard for 12 yards (tackle by Nick Niemann),,
4,0:51,1,10,BAL 43,6,34,Tyler Huntley kneels for -1 yards,,
4,0:18,2,11,BAL 42,6,34,Tyler Huntley kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
