Quarter,Time,Down,ToGo,Location,HOU,PIT,Detail,EPB,EPA
2,12:01,4,3,HOU 30,14,0,"Chad Stanley punts 39 yards, returned by Antwaan Randle El for no gain",-1.370,-1.000
2,11:53,1,10,PIT 31,14,0,Jerome Bettis right end for -1 yards (tackle by Matt Stevens),1.000,0.320
2,11:11,2,11,PIT 30,14,0,Amos Zereoue right tackle for 3 yards (tackle by Matt Stevens),0.320,0.040
2,10:30,3,8,PIT 33,14,0,Tommy Maddox pass incomplete intended for Terance Mathis (defended by Jamie Sharper),0.040,-1.180
2,10:26,4,8,PIT 33,14,0,"Josh Miller punts 37 yards, fair catch by Jermaine Lewis",-1.180,-1.000
2,10:18,1,10,HOU 31,14,0,David Carr pass complete to Billy Miller for 9 yards (tackle by Kendrell Bell),1.000,1.680
2,9:45,2,1,HOU 40,14,0,Jonathan Wells right tackle for no gain (tackle by Kimo von Oelhoffen),1.680,0.960
2,9:08,3,1,HOU 40,14,0,Jonathan Wells right tackle for -2 yards (tackle by James Farrior),0.960,-0.850
2,8:29,4,3,HOU 38,14,0,"Chad Stanley punts 62 yards, touchback",-0.850,-0.280
2,8:17,1,10,PIT 20,14,0,Tommy Maddox pass incomplete intended for Jerame Tuman (defended by Jay Foreman),0.280,-0.270
2,8:12,2,10,PIT 20,14,0,Jerome Bettis left end for -2 yards (tackle by Jay Foreman and Gary Walker),-0.270,-1.330
2,7:35,3,12,PIT 18,14,0,Tommy Maddox pass complete to Hines Ward for 6 yards (tackle by Jamie Sharper),-1.330,-1.770
2,6:57,4,6,PIT 24,14,0,"Josh Miller punts 39 yards, returned by Jermaine Lewis for 11 yards (tackle by Chris Fuamatu-Ma'afala)",-1.770,-2.130
2,6:47,1,10,HOU 48,14,0,"David Carr for no gain. David Carr fumbles, recovered by David Carr at HOU-47",2.130,1.450
2,6:14,2,11,HOU 47,14,0,David Carr pass incomplete intended for Corey Bradford,1.450,0.760
2,6:12,3,11,HOU 47,14,0,David Carr sacked by Joey Porter for -5 yards,0.760,-0.590
2,5:57,4,16,HOU 42,14,0,"Chad Stanley punts 31 yards, fair catch by Hank Poteat",-0.590,-0.740
2,5:49,1,10,PIT 27,14,0,Jerome Bettis middle for 4 yards (tackle by Seth Payne and Corey Sears),0.740,0.740
2,5:12,2,6,PIT 31,14,0,Tommy Maddox sacked by Kailee Wong for -1 yards,0.740,-0.100
2,4:41,3,7,PIT 30,14,0,Tommy Maddox pass incomplete intended for Amos Zereoue,-0.100,-1.370
2,4:37,4,7,PIT 30,14,0,"Josh Miller punts 35 yards, returned by Jermaine Lewis for 3 yards (tackle by Hank Poteat)",-1.370,-1.470
2,4:28,1,10,HOU 38,14,0,Jonathan Wells left tackle for no gain (tackle by Kendrell Bell),1.470,0.920
2,3:47,2,10,HOU 38,14,0,David Carr pass complete to Billy Miller for 9 yards (tackle by Lee Flowers),0.920,1.420
2,3:06,3,1,HOU 47,14,0,David Carr pass incomplete intended for Jarrod Baxter,1.420,-0.260
2,3:01,4,1,HOU 47,14,0,"Chad Stanley punts 32 yards, fair catch by Hank Poteat",-0.260,-0.340
2,2:53,1,10,PIT 21,14,0,Tommy Maddox left end for 1 yard (tackle by Jerry DeLoach),0.340,-0.070
2,2:23,2,9,PIT 22,14,0,Tommy Maddox pass complete to Amos Zereoue for 13 yards (tackle by Jamie Sharper and Kenny Wright),-0.070,1.270
2,2:00,1,10,PIT 35,14,0,Tommy Maddox pass incomplete intended for Hines Ward,1.270,0.720
2,1:56,2,10,PIT 35,14,0,Tommy Maddox pass complete to Plaxico Burress for 10 yards (tackle by Marcus Coleman),0.720,1.930
2,1:33,1,10,PIT 45,14,0,Tommy Maddox pass complete to Terance Mathis for 14 yards,1.930,2.850
2,1:26,1,10,HOU 41,14,0,Tommy Maddox pass complete to Hines Ward for 12 yards (tackle by Matt Stevens and Jeff Posey),2.850,3.640
2,1:14,1,10,HOU 41,,,Timeout #1 by Pittsburgh Steelers,2.850,3.640
2,1:14,1,10,HOU 29,14,0,Tommy Maddox sacked by Gary Walker for -4 yards,3.640,2.560
2,0:55,2,14,HOU 33,14,0,"Penalty on Kendall Simmons: False Start, 5 yards (no play)",2.560,1.890
2,0:38,2,19,HOU 38,14,0,Tommy Maddox pass complete to Plaxico Burress for 16 yards (tackle by Jamie Sharper),1.890,3.340
2,0:28,2,19,HOU 38,,,Timeout #2 by Pittsburgh Steelers,1.890,3.340
2,0:28,3,3,HOU 22,14,0,Tommy Maddox pass incomplete intended for Plaxico Burress,3.340,2.090
2,0:28,4,3,HOU 22,14,3,Jeff Reed 40 yard field goal good,2.090,3.000
2,0:28,,,PIT 30,14,3,"Jeff Reed kicks off 57 yards, returned by Jermaine Lewis for 17 yards (tackle by Mike Logan)",0.000,0.940
2,0:20,1,10,HOU 30,14,3,David Carr kneels for -1 yards,0.940,0.260
Quarter,Time,Down,ToGo,Location,HOU,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 30,14,3,"Kris Brown kicks off 59 yards, returned by Lee Mays for 25 yards (tackle by Troy Evans)",0.000,1.330
3,15:00,1,10,PIT 36,14,3,Jerome Bettis right guard for 1 yard (tackle by Seth Payne and Jay Foreman),1.330,0.930
3,14:18,2,9,PIT 37,14,3,Amos Zereoue left end for 7 yards (tackle by Kevin Williams),0.930,1.160
3,13:35,3,2,PIT 44,14,3,Tommy Maddox pass complete to Antwaan Randle El for 14 yards (tackle by Matt Stevens),1.160,2.790
3,12:50,1,10,HOU 42,14,3,Hines Ward right end for 7 yards (tackle by Jay Foreman),2.790,3.190
3,12:04,2,3,HOU 35,14,3,Jerome Bettis middle for 1 yard (tackle by Seth Payne and Jamie Sharper),3.190,2.610
3,11:22,3,2,HOU 34,14,3,Tommy Maddox pass complete to Dan Kreider for 10 yards (tackle by Aaron Glenn),2.610,3.970
3,10:44,1,10,HOU 24,14,3,"Tommy Maddox pass incomplete intended for Plaxico Burress. Penalty on Matt Stevens: Defensive Pass Interference, 18 yards (no play)",3.970,5.830
3,10:36,1,6,HOU 6,14,3,Amos Zereoue right end for 1 yard (tackle by Aaron Glenn),5.830,5.150
3,9:58,2,5,HOU 5,14,3,Tommy Maddox pass incomplete intended for Plaxico Burress,5.150,4.260
3,9:54,3,5,HOU 5,14,3,Tommy Maddox sacked by Jamie Sharper for -8 yards,4.260,2.570
3,9:54,4,13,HOU 13,14,6,Jeff Reed 31 yard field goal good,2.570,3.000
3,9:54,,,PIT 30,14,6,"Jeff Reed kicks off 61 yards, returned by Jermaine Lewis for 17 yards (tackle by Chris Hope)",0.000,0.670
3,9:33,1,10,HOU 26,14,6,David Carr pass incomplete intended for Corey Bradford,0.670,0.130
3,9:21,2,10,HOU 26,14,6,Jonathan Wells right tackle for -1 yards (tackle by James Farrior),0.130,-0.690
3,8:38,3,11,HOU 25,14,6,David Carr pass incomplete intended for James Allen,-0.690,-1.700
3,8:31,4,11,HOU 25,14,6,"Chad Stanley punts 35 yards, returned by Antwaan Randle El for 3 yards (tackle by Frank Murphy)",-1.700,-1.800
3,8:21,1,10,PIT 43,14,6,Antwaan Randle El right end for 11 yards (tackle by Jamie Sharper),1.800,2.520
3,7:47,1,10,HOU 46,14,6,Antwaan Randle El pass complete to Hines Ward for 1 yard (tackle by Matt Stevens),2.520,2.110
3,7:19,2,9,HOU 45,14,6,Tommy Maddox pass incomplete intended for Plaxico Burress,2.110,1.420
3,7:14,3,9,HOU 45,14,6,Tommy Maddox pass incomplete intended for Hines Ward,1.420,0.270
3,7:09,4,9,HOU 45,14,6,"Josh Miller punts 28 yards, fair catch by Jermaine Lewis",0.270,0.060
3,7:02,1,10,HOU 17,14,6,James Allen right tackle for no gain (tackle by Jason Gildon and James Farrior),-0.060,-0.580
3,6:29,2,10,HOU 17,14,6,David Carr pass complete to Billy Miller for 15 yards (tackle by Lee Flowers and Kendrell Bell),-0.580,1.070
3,5:54,1,10,HOU 32,14,6,James Allen left tackle for 3 yards (tackle by Jason Gildon and Casey Hampton),1.070,0.930
3,5:17,2,7,HOU 35,14,6,James Allen middle for 1 yard (tackle by Casey Hampton),0.930,0.370
3,4:42,3,6,HOU 36,14,6,David Carr pass incomplete intended for Jabar Gaffney (defended by Dewayne Washington),0.370,-0.980
3,4:39,4,6,HOU 36,14,6,"Chad Stanley punts 46 yards, returned by Antwaan Randle El for 11 yards (tackle by Chris Carter)",-0.980,-0.870
3,4:27,1,10,PIT 29,14,6,Amos Zereoue right end for 4 yards (tackle by Seth Payne),0.870,0.870
3,3:49,2,6,PIT 33,14,6,"Penalty on Chukky Okobi: False Start, 5 yards (no play)",0.870,0.190
3,3:34,2,11,PIT 28,14,6,Tommy Maddox pass complete to Hines Ward for 5 yards (tackle by Eric Brown),0.190,0.170
3,2:56,3,6,PIT 33,14,6,Tommy Maddox pass incomplete intended for Terance Mathis,0.170,-1.180
3,2:52,4,6,PIT 33,14,6,"Josh Miller punts 35 yards, returned by Jermaine Lewis for 4 yards (tackle by James Farrior)",-1.180,-1.330
3,2:42,1,10,HOU 36,14,6,James Allen left tackle for no gain (tackle by Kendrell Bell),1.330,0.790
3,2:06,2,10,HOU 36,14,6,David Carr sacked by Kendrell Bell for -7 yards,0.790,-0.820
3,1:34,2,10,HOU 36,,,Timeout #1 by Houston Texans,0.790,-0.820
3,1:34,3,17,HOU 29,14,6,James Allen middle for 7 yards (tackle by Clark Haggans),-0.820,-0.980
3,0:59,4,10,HOU 36,14,6,"Chad Stanley punts 41 yards, returned by Antwaan Randle El for 13 yards (tackle by Frank Murphy)",-0.980,-1.330
3,0:51,1,10,PIT 36,14,6,Tommy Maddox pass incomplete intended for Plaxico Burress,1.330,0.790
3,0:46,2,10,PIT 36,14,6,Tommy Maddox pass complete to Antwaan Randle El for 4 yards (tackle by Jay Foreman and Jamie Sharper),0.790,0.630
3,0:01,2,10,PIT 36,,,Timeout #1 by Pittsburgh Steelers,0.790,0.630
3,0:01,3,6,PIT 40,14,6,Tommy Maddox pass complete to Antwaan Randle El for 13 yards (tackle by Kevin Williams),0.630,2.460
Quarter,Time,Down,ToGo,Location,HOU,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,HOU 47,14,6,Amos Zereoue for 4 yards (tackle by Marcus Coleman),2.460,2.450
4,14:54,2,6,HOU 43,14,6,Tommy Maddox pass incomplete intended for Plaxico Burress,2.450,1.750
4,14:37,3,6,HOU 43,14,6,Tommy Maddox pass complete to Antwaan Randle El for 4 yards (tackle by Jamie Sharper and Matt Stevens),1.750,0.660
4,13:59,4,2,HOU 39,14,6,Tommy Maddox pass complete to Hines Ward for 14 yards (tackle by Jeff Posey),0.660,3.910
4,13:16,1,10,HOU 25,14,6,Tommy Maddox pass incomplete intended for Jerame Tuman,3.910,3.360
4,13:13,2,10,HOU 25,14,6,Tommy Maddox pass incomplete intended for Plaxico Burress,3.360,2.680
4,13:08,3,10,HOU 25,14,6,Tommy Maddox pass incomplete intended for Hines Ward,2.680,1.800
4,13:03,4,10,HOU 25,14,6,Jeff Reed 43 yard field goal no good,1.800,-1.140
4,13:00,1,10,HOU 33,14,6,James Allen left guard for 3 yards (tackle by Aaron Smith and Jason Gildon),1.140,1.000
4,12:17,2,7,HOU 36,14,6,James Allen right guard for 6 yards (tackle by Lee Flowers and Brent Alexander),1.000,1.090
4,11:40,3,1,HOU 42,14,6,James Allen right guard for -3 yards (tackle by James Farrior),1.090,-0.780
4,11:05,4,4,HOU 39,14,6,"Chad Stanley punts 46 yards, returned by Antwaan Randle El for 13 yards (tackle by Sean McDermott)",-0.780,-0.810
4,10:52,1,10,PIT 28,14,6,Amos Zereoue middle for 14 yards (tackle by Eric Brown),0.810,1.730
4,10:17,1,10,PIT 42,14,6,Amos Zereoue middle for 2 yards (tackle by Jerry DeLoach and Seth Payne),1.730,1.460
4,9:37,2,8,PIT 44,14,6,Amos Zereoue middle for 2 yards (tackle by Seth Payne and Gary Walker),1.460,1.030
4,8:58,3,6,PIT 46,14,6,Tommy Maddox sacked by Jamie Sharper for -4 yards,1.030,-0.590
4,8:41,4,10,PIT 42,14,6,"Josh Miller punts 33 yards, muffed catch by Jabar Gaffney, recovered by Hank Poteat and returned for no gain",-0.590,3.910
4,8:29,1,10,HOU 25,14,6,"Amos Zereoue left guard for no gain (tackle by Marcus Coleman). Penalty on Jerame Tuman: Offensive Holding, 10 yards (no play)",3.910,3.250
4,8:15,1,20,HOU 35,14,6,Amos Zereoue middle for 14 yards (tackle by Aaron Glenn),3.250,3.900
4,7:30,2,6,HOU 21,14,6,Jerome Bettis left guard for 3 yards (tackle by Gary Walker),3.900,3.660
4,6:52,3,3,HOU 18,14,6,"Amos Zereoue right end for 17 yards. Penalty on Hines Ward: Offensive Holding, 10 yards (no play)",3.660,2.280
4,6:29,3,13,HOU 28,14,6,Tommy Maddox pass complete to Terance Mathis for 10 yards (tackle by Aaron Glenn),2.280,2.350
4,5:44,4,3,HOU 18,14,6,Tommy Maddox sacked by Gary Walker and Jeff Posey for -8 yards,2.350,-0.670
4,5:40,1,10,HOU 26,14,6,David Carr pass incomplete intended for James Allen,0.670,0.130
4,5:35,2,10,HOU 26,14,6,James Allen middle for -3 yards (tackle by Brent Alexander and Joey Porter),0.130,-0.960
4,4:57,3,13,HOU 23,14,6,James Allen left end for 10 yards (tackle by Brent Alexander),-0.960,-1.180
4,4:57,4,3,HOU 33,14,6,"Chad Stanley punts 49 yards, muffed catch by Antwaan Randle El, recovered by Troy Evans and returned for no gain",-1.180,4.240
4,3:57,1,10,PIT 20,14,6,James Allen middle for -2 yards (tackle by Casey Hampton and Kimo von Oelhoffen),4.240,3.420
4,3:51,1,10,PIT 20,,,Timeout #2 by Pittsburgh Steelers,4.240,3.420
4,3:51,2,12,PIT 22,14,6,James Allen left guard for -6 yards (tackle by Lee Flowers). Penalty on Cameron Spikes: Offensive Offside (Declined),3.420,1.950
4,3:45,3,18,PIT 28,14,6,James Allen middle for 3 yards (tackle by Brent Alexander),1.950,1.800
4,3:40,3,18,PIT 28,,,Timeout #3 by Pittsburgh Steelers,1.950,1.800
4,3:40,4,15,PIT 25,17,6,Kris Brown 43 yard field goal good,1.800,3.000
4,3:40,,,HOU 30,17,6,"Kris Brown kicks off 66 yards, returned by Lee Mays for 24 yards (tackle by Frank Murphy)",0.000,0.810
4,3:35,1,10,PIT 28,17,6,Tommy Maddox pass incomplete intended for Plaxico Burress,0.810,0.260
4,3:25,2,10,PIT 28,17,6,Tommy Maddox pass incomplete intended for Antwaan Randle El,0.260,-0.430
4,3:21,3,10,PIT 28,17,6,Tommy Maddox pass incomplete intended for Plaxico Burress (defended by Jay Foreman),-0.430,-1.500
4,3:13,4,10,PIT 28,17,6,Tommy Maddox pass complete to Antwaan Randle El for 26 yards (tackle by Marcus Coleman and Kevin Williams),-1.500,2.520
4,2:48,1,10,HOU 46,17,6,Tommy Maddox pass complete to Terance Mathis for 8 yards (tackle by Aaron Glenn),2.520,3.060
4,2:44,2,2,HOU 38,17,6,Tommy Maddox pass incomplete intended for Antwaan Randle El,3.060,2.350
4,2:39,3,2,HOU 38,17,6,Hines Ward middle for no gain (tackle by Jamie Sharper),2.350,0.720
4,2:14,4,2,HOU 38,23,6,"Tommy Maddox pass incomplete intended for Terance Mathis is intercepted by Aaron Glenn at HOU-35 and returned for 65 yards, touchdown",0.720,-7.000
4,2:02,,,PIT 38,24,6,Kris Brown kicks extra point good,0.000,0.000
4,2:02,,,HOU 30,24,6,"Kris Brown kicks off 68 yards, returned by Lee Mays for 20 yards (tackle by Frank Murphy)",0.000,0.410
4,1:56,1,10,PIT 22,24,6,Tommy Maddox pass complete to Plaxico Burress for 17 yards (tackle by Aaron Glenn),0.410,1.530
4,1:47,1,10,PIT 39,24,6,Tommy Maddox pass complete to Amos Zereoue for 14 yards (tackle by Matt Stevens and Jason Simmons),1.530,2.460
4,1:22,1,10,HOU 47,24,6,Tommy Maddox pass complete to Hines Ward for 17 yards (tackle by Matt Stevens),2.460,3.580
4,1:01,1,10,HOU 30,24,6,Tommy Maddox pass incomplete intended for Hines Ward (defended by Jimmy McClain),3.580,3.030
4,0:57,2,10,HOU 30,24,6,Tommy Maddox pass incomplete intended for Terance Mathis,3.030,2.340
4,0:46,3,10,HOU 30,24,6,Tommy Maddox pass complete to Antwaan Randle El for 8 yards (tackle by Kevin Williams),2.340,2.120
4,0:23,4,2,HOU 22,24,6,Tommy Maddox pass complete to Antwaan Randle El for 6 yards (tackle by Jason Simmons),2.120,4.510
4,0:04,1,10,HOU 16,24,6,Tommy Maddox pass complete to Terance Mathis for -2 yards (tackle by Kenny Wright),4.510,3.640
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
