Quarter,Time,Down,ToGo,Location,OAK,SFO,Detail,EPB,EPA
1,0:32,1,10,OAK 42,3,0,Michael Bush right guard for 3 yards (tackle by Demetric Evans),1.730,1.590
Quarter,Time,Down,ToGo,Location,OAK,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,OAK 45,3,0,Louis Murphy right end for 43 yards (tackle by Taylor Mays),1.590,4.780
2,14:30,1,10,SFO 12,3,0,Michael Bush middle for 5 yards (tackle by Dashon Goldson),4.780,5.020
2,13:58,2,5,SFO 7,3,0,Michael Bush middle for 1 yard (tackle by Takeo Spikes),5.020,4.380
2,13:21,3,4,SFO 6,3,0,Michael Bush middle for no gain (tackle by Justin Smith and Dashon Goldson),4.380,3.000
2,12:46,4,4,SFO 6,6,0,Sebastian Janikowski 24 yard field goal good,3.000,3.000
2,,,,OAK 30,6,0,"Sebastian Janikowski kicks off 70 yards, touchback",0.000,0.280
2,12:40,1,10,SFO 20,6,0,Alex Smith sacked by Matt Shaughnessy for -2 yards,0.280,-0.630
2,12:11,2,12,SFO 18,6,0,Alex Smith pass complete short right to Josh Morgan for 9 yards (tackle by Tyvon Branch),-0.630,-0.030
2,11:38,3,3,SFO 27,6,0,Alex Smith pass incomplete short middle intended for Michael Crabtree,-0.030,-1.570
2,11:29,4,3,SFO 27,6,0,Andy Lee punts 39 yards,-1.570,-1.200
2,11:21,1,10,OAK 34,6,0,Jason Campbell pass incomplete deep middle intended for Zach Miller is intercepted by Manny Lawson at SFO-43,1.200,-1.800
2,11:14,1,10,SFO 43,6,0,Frank Gore left tackle for 1 yard (tackle by Trevor Scott and Rolando McClain),1.800,1.390
2,10:37,2,9,SFO 44,6,0,"Penalty on Tommy Kelly: Encroachment, 5 yards (no play)",1.390,2.060
2,10:26,2,4,SFO 49,6,0,Alex Smith pass incomplete short left intended for Vernon Davis,2.060,1.350
2,10:18,3,4,SFO 49,6,0,Alex Smith pass complete short middle to Vernon Davis for 12 yards (tackle by Chris Johnson and Michael Mitchell),1.350,2.980
2,9:35,1,10,OAK 39,6,0,Alex Smith pass incomplete short right intended for Vernon Davis,2.980,2.440
2,9:28,2,10,OAK 39,6,0,Frank Gore left tackle for 5 yards (tackle by Michael Huff),2.440,2.410
2,8:42,3,5,OAK 34,6,0,Alex Smith pass incomplete deep right intended for Josh Morgan,2.410,1.070
2,8:37,,,,6,0,Timeout #1 by San Francisco 49ers,0.000,1.070
2,8:37,4,5,OAK 34,6,0,"Andy Lee punts 34 yards, touchback",1.070,-0.280
2,8:28,1,10,OAK 20,6,0,Michael Bush left tackle for 1 yard (tackle by Aubrayo Franklin),0.280,-0.130
2,7:51,2,9,OAK 21,6,0,Jason Campbell pass incomplete short left intended for Louis Murphy (defended by Demetric Evans),-0.130,-0.820
2,7:45,3,9,OAK 21,6,0,Jason Campbell pass incomplete short right intended for Jacoby Ford,-0.820,-1.960
2,7:42,4,9,OAK 21,6,0,Shane Lechler punts 42 yards,-1.960,-1.400
2,7:33,1,10,SFO 37,6,0,Alex Smith pass incomplete short right intended for Josh Morgan,1.400,0.860
2,7:28,2,10,SFO 37,6,0,Frank Gore right guard for 1 yard (tackle by Michael Mitchell and Trevor Scott),0.860,0.300
2,6:44,3,9,SFO 38,6,0,Alex Smith pass incomplete deep left intended for Michael Crabtree (defended by Nnamdi Asomugha),0.300,-0.850
2,6:38,4,9,SFO 38,6,0,"Andy Lee punts 54 yards, returned by Nick Miller for 9 yards (tackle by Tarell Brown)",-0.850,0.060
2,6:26,1,10,OAK 17,6,0,Jason Campbell right end for 1 yard (tackle by Ahmad Brooks),-0.060,-0.420
2,6:01,2,9,OAK 18,6,0,Michael Bush left guard for 2 yards (tackle by Ricky Jean-Francois and Patrick Willis),-0.420,-0.870
2,5:17,3,7,OAK 20,6,0,Jason Campbell pass incomplete deep right intended for Johnnie Lee Higgins,-0.870,-2.030
2,5:12,4,7,OAK 20,6,0,"Shane Lechler punts 60 yards, returned by Ted Ginn for 11 yards (tackle by Trevor Scott)",-2.030,-1.000
2,5:00,1,10,SFO 31,6,0,Frank Gore right end for 3 yards (tackle by Matt Shaughnessy),1.000,0.870
2,4:24,2,7,SFO 34,6,0,Frank Gore left end for 4 yards (tackle by Trevor Scott),0.870,0.700
2,3:38,3,3,SFO 38,6,0,Alex Smith pass incomplete short left intended for Frank Gore (defended by Richard Seymour),0.700,-0.850
2,3:29,4,3,SFO 38,6,0,Andy Lee punts 55 yards,-0.850,0.380
2,3:18,1,10,OAK 7,6,0,Michael Bush left end for 1 yard (tackle by Takeo Spikes),-0.380,-0.710
2,2:43,2,9,OAK 8,6,0,Marcel Reece middle for 2 yards (tackle by Justin Smith),-0.710,-1.070
2,2:37,,,,6,0,Timeout #2 by San Francisco 49ers,0.000,-1.070
2,2:37,3,7,OAK 10,6,0,Michael Bush middle for 5 yards (tackle by Takeo Spikes and Patrick Willis),-1.070,-2.440
2,2:31,,,,6,0,Timeout #3 by San Francisco 49ers,0.000,-2.440
2,2:30,4,2,OAK 15,6,0,"Shane Lechler punts 60 yards, returned by Ted Ginn for 15 yards (tackle by Jon Condo). Penalty on Anthony Dixon: Offensive Holding, 10 yards",-2.440,0.140
2,2:18,1,10,SFO 16,6,0,Alex Smith pass complete short middle to Josh Morgan for 5 yards (tackle by Tyvon Branch),-0.140,0.150
2,2:00,2,5,SFO 21,6,0,Alex Smith pass complete short left to Brian Westbrook for 19 yards (tackle by Michael Huff),0.150,1.600
2,1:54,1,10,SFO 40,6,0,Alex Smith pass incomplete short middle intended for Frank Gore,1.600,1.050
2,1:49,2,10,SFO 40,6,0,Alex Smith pass complete short middle to Ted Ginn for 4 yards (tackle by Michael Huff),1.050,0.890
2,1:26,3,6,SFO 44,6,0,Alex Smith pass complete short right to Michael Crabtree for 8 yards (tackle by Stanford Routt),0.890,2.390
2,1:05,1,10,OAK 48,6,0,Alex Smith pass complete deep middle to Josh Morgan for 35 yards (tackle by Stanford Routt),2.390,4.710
2,0:32,1,10,OAK 13,6,0,Alex Smith pass complete short right to Vernon Davis for 6 yards (tackle by Nnamdi Asomugha),4.710,5.150
2,0:17,2,4,OAK 7,6,0,Alex Smith spiked the ball,5.150,4.330
2,0:15,3,4,OAK 7,6,0,Alex Smith pass incomplete short left intended for Frank Gore,4.330,2.990
2,0:11,4,4,OAK 7,6,3,Joe Nedney 25 yard field goal good,2.990,3.000
2,,,,SFO 30,6,3,Joe Nedney kicks off 41 yards,0.000,0.870
2,0:06,1,10,OAK 29,6,3,Jason Campbell kneels for -1 yards,0.870,0.190
Quarter,Time,Down,ToGo,Location,OAK,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 30,6,3,"Sebastian Janikowski kicks off 66 yards, returned by Ted Ginn for 27 yards (tackle by Michael Mitchell). Penalty on Phillip Adams: Offensive Holding, 10 yards",0.000,0.340
3,14:53,1,10,SFO 21,6,3,"Frank Gore middle for 6 yards (tackle by Trevor Scott). Penalty on Richard Seymour: Defensive Offside, 5 yards (no play)",0.340,1.070
3,14:30,1,5,SFO 26,6,3,Frank Gore middle for 4 yards (tackle by Michael Huff),1.070,1.020
3,13:48,2,1,SFO 30,6,3,"Frank Gore middle for 3 yards (tackle by Tyvon Branch). Penalty on Joe Staley: Offensive Holding, 10 yards (no play)",1.020,-0.340
3,13:20,2,11,SFO 20,6,3,Alex Smith pass complete short middle to Michael Crabtree for 10 yards (tackle by Tyvon Branch),-0.340,0.300
3,12:39,3,1,SFO 30,6,3,Frank Gore middle for 2 yards (tackle by Michael Mitchell),0.300,1.070
3,11:57,1,10,SFO 32,6,3,"Penalty on Michael Crabtree: False Start, 5 yards (no play)",1.070,0.740
3,11:32,1,15,SFO 27,6,3,"Alex Smith pass incomplete short right intended for Nate Byham. Penalty on Alex Smith: Intentional Grounding, 12 yards",0.740,-1.930
3,11:25,2,27,SFO 15,6,3,Alex Smith sacked by Tommy Kelly for -3 yards,-1.930,-3.760
3,10:45,3,30,SFO 12,6,3,Alex Smith pass incomplete deep right intended for Ted Ginn,-3.760,-2.490
3,10:36,4,30,SFO 12,6,3,"Andy Lee punts 52 yards, returned by Nick Miller for 13 yards (tackle by Manny Lawson)",-2.490,-2.190
3,10:22,1,10,OAK 49,6,3,Michael Bush middle for 3 yards (tackle by Justin Smith),2.190,2.050
3,9:38,2,7,SFO 48,6,3,"Jason Campbell pass incomplete deep left intended for Darrius Heyward-Bey. Penalty on Marcel Reece: Offensive Holding, 10 yards (no play)",2.050,0.700
3,9:31,2,17,OAK 42,6,3,Michael Bush middle for 1 yard (tackle by Patrick Willis),0.700,0.170
3,8:53,3,16,OAK 43,6,3,Jason Campbell right end for 7 yards (tackle by Ahmad Brooks),0.170,-0.060
3,8:19,4,9,,6,3,"Shane Lechler punts 41 yards, fair catch by Ted Ginn. Penalty on Ahmad Brooks: Defensive 12 On-field (Declined)",-0.060,0.380
3,8:11,1,10,SFO 9,6,3,Frank Gore middle for 6 yards (tackle by Tommy Kelly),-0.380,-0.280
3,7:29,2,4,SFO 15,6,3,Frank Gore middle for 5 yards (tackle by Tommy Kelly),-0.280,0.280
3,6:45,1,10,SFO 20,6,3,Alex Smith pass complete short right to Nate Byham for 7 yards (tackle by Stanford Routt),0.280,0.680
3,6:01,2,3,SFO 27,6,3,Frank Gore middle for no gain (tackle by Matt Shaughnessy),0.680,-0.030
3,5:14,3,3,SFO 27,6,3,Alex Smith pass complete short left to Michael Crabtree for 7 yards (tackle by Kamerion Wimbley),-0.030,1.200
3,4:30,1,10,SFO 34,6,3,Frank Gore right tackle for 11 yards (tackle by Kamerion Wimbley),1.200,1.930
3,3:43,1,10,SFO 45,6,3,Alex Smith right end for 1 yard (tackle by Kamerion Wimbley),1.930,1.520
3,3:12,2,9,SFO 46,6,3,Alex Smith pass complete short middle to Dominique Zeigler for 6 yards (tackle by Chris Johnson),1.520,1.620
3,2:27,3,3,OAK 48,6,3,"Alex Smith pass complete short right to Vernon Davis for 5 yards (tackle by Tyvon Branch). Penalty on Chris Johnson: Defensive Holding, 5 yards (no play)",1.620,2.720
3,1:47,1,10,OAK 43,6,3,Alex Smith pass incomplete short right intended for Josh Morgan,2.720,2.180
3,1:42,2,10,OAK 43,6,3,Frank Gore middle for 2 yards (tackle by Tyvon Branch),2.180,1.750
3,0:57,3,8,OAK 41,6,3,Alex Smith pass complete short right to Ted Ginn for 19 yards (tackle by Chris Johnson),1.750,4.110
3,0:11,1,10,OAK 22,6,3,"Alex Smith pass incomplete. Penalty on Alex Smith: Intentional Grounding, 10 yards",4.110,2.210
3,0:05,2,20,OAK 32,6,9,"Alex Smith pass complete deep middle to Michael Crabtree for 32 yards, touchdown",2.210,7.000
3,,,,OAK 2,6,10,Joe Nedney kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,OAK,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,,,,SFO 30,6,10,"Joe Nedney kicks off 61 yards, returned by Jacoby Ford for 47 yards (tackle by Phillip Adams). Penalty on Stevie Brown: Illegal Block Above the , 10 yards",0.000,-0.370
4,14:52,1,10,OAK 11,6,10,Jason Campbell sacked by Parys Haralson for -10 yards,-0.370,-1.510
4,14:20,2,20,OAK 1,6,10,Jason Campbell middle for 1 yard (tackle by Aubrayo Franklin),-1.510,-2.470
4,13:35,3,19,OAK 2,6,10,Jason Campbell pass incomplete deep right intended for Louis Murphy,-2.470,-2.490
4,13:28,4,19,OAK 2,6,10,"Shane Lechler punts 61 yards, returned by Ted Ginn for 5 yards (tackle by Hiram Eugene)",-2.490,-1.730
4,13:15,1,10,SFO 42,6,10,Frank Gore middle for 3 yards (tackle by Tommy Kelly),1.730,1.590
4,12:28,,,,6,10,Timeout #1 by San Francisco 49ers,0.000,1.590
4,12:28,2,7,SFO 45,6,10,Frank Gore middle for no gain (tackle by Matt Shaughnessy),1.590,0.890
4,11:44,3,7,SFO 45,6,10,Alex Smith pass complete short right to Vernon Davis for no gain,0.890,-0.390
4,11:25,4,7,SFO 45,6,10,Andy Lee punts 32 yards,-0.390,-0.480
4,11:14,1,10,OAK 23,6,10,Michael Bush left tackle for 2 yards (tackle by Ricky Jean-Francois),0.480,0.200
4,10:44,2,8,OAK 25,6,10,Jason Campbell pass incomplete short left intended for Louis Murphy (defended by Taylor Mays),0.200,-0.490
4,10:37,3,8,OAK 25,6,10,Jason Campbell pass complete short right to Zach Miller for 22 yards (tackle by Will Peterson),-0.490,2.060
4,10:05,1,10,OAK 47,6,10,Jason Campbell pass complete deep middle to Zach Miller for 26 yards (tackle by Nate Clements). Penalty on Taylor Mays: Illegal Contact (Declined),2.060,3.780
4,9:41,1,10,SFO 27,6,10,Jason Campbell right end for 2 yards (tackle by Takeo Spikes),3.780,3.500
4,9:12,2,8,SFO 25,6,10,Michael Bush left guard for 3 yards (tackle by Takeo Spikes),3.500,3.200
4,8:32,3,5,SFO 22,6,10,Jason Campbell pass incomplete short right intended for Zach Miller (defended by Patrick Willis),3.200,2.040
4,8:26,4,5,SFO 22,9,10,Sebastian Janikowski 40 yard field goal good,2.040,3.000
4,,,,OAK 30,9,10,"Sebastian Janikowski kicks off 70 yards, touchback",0.000,0.280
4,8:21,1,10,SFO 20,9,10,Frank Gore right end for 64 yards (tackle by Michael Huff),0.280,4.510
4,7:31,1,10,OAK 16,9,10,"Anthony Dixon left guard for 9 yards. Penalty on Joe Staley: Offensive Holding, 10 yards",4.510,4.420
4,7:21,1,11,OAK 17,9,16,"Alex Smith pass complete short left to Vernon Davis for 17 yards, touchdown",4.420,7.000
4,,,,OAK 2,9,17,Joe Nedney kicks extra point good,0.000,0.000
4,,,,SFO 30,9,17,"Joe Nedney kicks off 62 yards, returned by Jacoby Ford for 21 yards (tackle by Reggie Smith)",0.000,0.870
4,7:08,1,10,OAK 29,9,17,"Jason Campbell sacked by Ricky Jean-Francois for -4 yards. Jason Campbell fumbles (forced by Ricky Jean-Francois), recovered by Michael Bush at OAK-25",0.870,-0.210
4,6:20,2,14,OAK 25,9,17,Jason Campbell pass incomplete short left intended for Johnnie Lee Higgins (defended by Shawntae Spencer),-0.210,-0.890
4,6:13,3,14,OAK 25,9,17,Jason Campbell pass incomplete short left intended for Michael Bush,-0.890,-1.700
4,6:07,4,14,OAK 25,9,17,Shane Lechler punts 57 yards (tackle by Stevie Brown),-1.700,-1.470
4,5:55,1,10,SFO 38,9,17,Frank Gore right tackle for -1 yards (tackle by Rolando McClain),1.470,0.790
4,5:13,2,11,SFO 37,9,17,Alex Smith pass incomplete short right intended for Vernon Davis,0.790,0.100
4,5:07,3,11,SFO 37,9,17,Frank Gore middle for 14 yards (tackle by Michael Huff),0.100,2.320
4,4:22,1,10,OAK 49,9,17,Frank Gore middle for 1 yard (tackle by Tommy Kelly and Lamarr Houston),2.320,1.920
4,3:37,2,9,OAK 48,9,17,Frank Gore right tackle for no gain (tackle by Tyvon Branch),1.920,1.220
4,3:30,,,,9,17,Timeout #1 by Oakland Raiders,0.000,1.220
4,3:30,3,9,OAK 48,9,17,Frank Gore middle for 1 yard (tackle by Tyvon Branch),1.220,0.130
4,3:26,,,,9,17,Timeout #2 by Oakland Raiders,0.000,0.130
4,3:26,4,8,OAK 47,9,17,"Andy Lee punts 37 yards, returned by Nick Miller for 3 yards (tackle by NaVorro Bowman)",0.130,0.320
4,3:14,1,10,OAK 13,9,17,Jason Campbell pass complete short left to Darrius Heyward-Bey for 7 yards (tackle by Shawntae Spencer),-0.320,0.220
4,2:52,2,3,OAK 20,9,17,Jason Campbell pass incomplete short left intended for Darrius Heyward-Bey,0.220,-0.590
4,2:46,3,3,OAK 20,9,17,Jason Campbell pass incomplete short left intended for Jacoby Ford is intercepted by Takeo Spikes at OAK-25 and returned for 6 yards,-0.590,-4.310
4,2:39,1,10,OAK 19,9,17,Frank Gore right tackle for 2 yards (tackle by Tyvon Branch),4.310,4.030
4,2:08,,,,9,17,Timeout #2 by San Francisco 49ers,0.000,4.030
4,2:08,2,8,OAK 17,9,17,Frank Gore middle for 6 yards (tackle by Tommy Kelly),4.030,4.430
4,2:03,,,,9,17,Timeout #3 by Oakland Raiders,0.000,4.430
4,2:03,3,2,OAK 11,9,17,Frank Gore left guard for 3 yards (tackle by Hiram Eugene),4.430,5.370
4,2:00,1,8,OAK 8,9,17,Alex Smith kneels for -1 yards,5.370,4.380
4,1:19,2,9,OAK 9,9,17,Alex Smith kneels for -1 yards,4.380,3.130
4,0:37,3,10,OAK 10,9,17,Alex Smith kneels for -1 yards,3.130,2.700
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
