Quarter,Time,Down,ToGo,Location,ATL,SDG,Detail,EPB,EPA
2,6:29,2,1,SDG 46,15,7,Ovie Mughelli middle for 3 yards (tackle by Stephen Cooper and Ryon Bingham),2.600,2.720
2,5:51,1,10,SDG 43,15,7,Matt Ryan pass incomplete,2.720,2.180
2,5:43,2,10,SDG 43,15,7,Jerious Norwood middle for 2 yards (tackle by Shaun Phillips and Eric Weddle),2.180,1.750
2,5:02,3,8,SDG 41,15,7,Matt Ryan pass complete deep right to Michael Jenkins for 22 yards (tackle by Eric Weddle),1.750,4.310
2,4:23,1,10,SDG 19,15,7,Michael Turner middle for 6 yards (tackle by Luis Castillo),4.310,4.720
2,3:49,2,4,SDG 13,15,7,Michael Turner left end for 1 yard (tackle by Tim Dobbins),4.720,4.190
2,3:09,3,3,SDG 12,15,7,Jerious Norwood right end for 10 yards (tackle by Shaun Phillips),4.190,6.740
2,2:46,3,3,SDG 12,15,7,Timeout #2 by Atlanta Falcons,4.190,6.740
2,2:46,1,2,SDG 2,15,7,Michael Turner middle for no gain (tackle by Brandon Siler and Tim Dobbins),6.740,5.720
2,2:00,2,2,SDG 2,15,7,Michael Turner right guard for 1 yard (tackle by Quentin Jammer),5.720,5.170
2,1:21,3,1,SDG 1,15,7,Penalty on Ryon Bingham: Neutral Zone Infraction (no play),5.170,5.170
2,1:14,3,1,SDG 1,15,7,Ovie Mughelli right guard for no gain (tackle by Tim Dobbins and Brandon Siler),5.170,3.550
2,1:02,3,1,SDG 1,15,7,Timeout #1 by San Diego Chargers,5.170,3.550
2,1:02,4,1,SDG 1,15,7,Michael Turner middle for no gain (tackle by Brandon Siler and Tim Dobbins),3.550,0.380
2,0:57,1,10,SDG 1,15,7,Philip Rivers middle for 4 yards (tackle by Jamaal Anderson),-0.380,-0.490
2,0:24,2,6,SDG 5,15,7,LaDainian Tomlinson middle for 6 yards (tackle by Chris Houston),-0.490,-0.370
Quarter,Time,Down,ToGo,Location,ATL,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 30,15,7,"Nate Kaeding kicks off 65 yards, returned by Jerious Norwood for 16 yards (tackle by Marques Harris)",0.000,0.340
3,14:55,1,10,ATL 21,15,7,Matt Ryan pass incomplete short left intended for Jerious Norwood,0.340,-0.200
3,14:51,2,10,ATL 21,15,7,Michael Turner for 3 yards (tackle by Jacques Cesaire),-0.200,-0.490
3,14:23,3,7,ATL 24,15,7,"Matt Ryan pass incomplete deep middle intended for Roddy White. Penalty on Eric Weddle: Defensive Pass Interference, 40 yards (no play)",-0.490,3.180
3,14:15,1,10,SDG 36,15,7,Michael Turner right end for 11 yards (tackle by Quentin Jammer and Eric Weddle),3.180,3.910
3,13:40,1,10,SDG 25,15,7,Michael Turner left tackle for 5 yards (tackle by Jyles Tucker),3.910,4.040
3,13:06,2,5,SDG 20,15,7,Michael Turner middle for -3 yards (tackle by Jamal Williams),4.040,2.940
3,12:24,3,8,SDG 23,15,13,"Matt Ryan pass complete short right to Brian Finneran for 7 yards (tackle by Quentin Jammer). Brian Finneran fumbles (forced by Quentin Jammer), recovered by Eric Weddle at SDG-14 and returned for 86 yards, touchdown",2.940,-7.000
,,,,,,,"ATL challenged the pass completion ruling, and the play was upheld.",,
3,12:08,,,,15,13,"Two Point Attempt: Philip Rivers pass incomplete intended for Malcom Floyd, conversion fails",1.000,-1.000
3,12:08,,,SDG 30,15,13,"Nate Kaeding kicks off 64 yards, returned by Jerious Norwood for 23 yards (tackle by Antoine Cason)",0.000,0.870
3,12:01,1,10,ATL 29,15,13,Michael Turner middle for 2 yards (tackle by Jamal Williams and Eric Weddle),0.870,0.600
3,11:22,2,8,ATL 31,15,13,"Matt Ryan pass complete short middle to Roddy White for 7 yards (tackle by Eric Weddle). Penalty on Tim Dobbins: Defensive Offside, 5 yards (no play)",0.600,1.270
3,10:57,2,3,ATL 36,15,13,Michael Turner middle for 1 yard (tackle by Luis Castillo and Stephen Cooper),1.270,0.700
3,10:18,3,2,ATL 37,15,13,Jerious Norwood right end for 1 yard (tackle by Matt Wilhelm and Shaun Phillips),0.700,-0.850
3,9:39,4,1,ATL 38,15,13,"Michael Koenen punts 51 yards, fair catch by Darren Sproles. Penalty on Quentin Jammer: Illegal Block Above the Waist, 5 yards",-0.850,0.380
3,9:30,1,10,SDG 6,15,13,LaDainian Tomlinson left end for -3 yards (tackle by Chris Houston),-0.380,-1.000
3,8:55,2,13,SDG 3,15,13,LaDainian Tomlinson middle for 6 yards (tackle by Lawyer Milloy and Curtis Lofton),-1.000,-1.070
3,8:12,3,7,SDG 9,15,13,Philip Rivers pass complete short middle to Antonio Gates for 11 yards (tackle by Keith Brooking),-1.070,0.280
3,7:33,1,10,SDG 20,15,13,LaDainian Tomlinson middle for 4 yards (tackle by Jason Jefferson),0.280,0.270
3,6:52,2,6,SDG 24,15,13,Philip Rivers pass complete short right to LaDainian Tomlinson for 5 yards (tackle by Michael Boley and Domonique Foxworth),0.270,0.230
3,6:31,3,1,SDG 29,15,13,LaDainian Tomlinson left end for no gain (tackle by Michael Boley),0.230,-1.440
3,5:51,4,1,SDG 29,15,13,"Mike Scifres punts 43 yards, fair catch by Harry Douglas",-1.440,-0.810
3,5:42,1,10,ATL 28,15,13,Michael Turner left tackle for no gain (tackle by Steve Gregory and Jamal Williams),0.810,0.260
3,5:03,2,10,ATL 28,15,13,Matt Ryan pass complete short right to Roddy White for 8 yards (tackle by Quentin Jammer),0.260,0.630
3,4:26,3,2,ATL 36,15,13,Matt Ryan pass complete short left to Brian Finneran for 7 yards (tackle by Eric Weddle),0.630,1.800
3,4:02,1,10,ATL 43,15,13,Matt Ryan pass complete deep right to Roddy White for 25 yards (tackle by Quentin Jammer),1.800,3.450
3,3:20,1,10,SDG 32,15,13,Michael Turner for 15 yards (tackle by Clinton Hart),3.450,4.440
3,2:46,1,10,SDG 17,15,13,Matt Ryan pass complete short left to Justin Peelle for 9 yards (tackle by Steve Gregory),4.440,5.480
3,2:20,2,1,SDG 8,15,13,Michael Turner middle for no gain (tackle by Tim Dobbins),5.480,4.800
3,1:41,3,1,SDG 8,15,13,Matt Ryan middle for 1 yard (tackle by Matt Wilhelm),4.800,5.600
3,1:01,1,7,SDG 7,15,13,Michael Turner middle for 2 yards (tackle by Jyles Tucker),5.600,5.150
3,0:27,1,7,SDG 7,15,13,Timeout #1 by San Diego Chargers,5.600,5.150
3,0:27,2,5,SDG 5,15,13,Matt Ryan pass complete short right to Jerious Norwood for no gain,5.150,4.260
Quarter,Time,Down,ToGo,Location,ATL,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,5,SDG 5,21,13,"Matt Ryan pass complete short left to Harry Douglas for 5 yards, touchdown",4.260,7.000
4,15:00,,,SDG 2,22,13,Jason Elam kicks extra point good,0.000,0.000
4,15:00,,,ATL 30,22,13,"Michael Koenen kicks off 78 yards, returned by Darren Sproles for 26 yards (tackle by David Irons). Penalty on Antoine Harris: Low Block, 15 yards",0.000,1.140
4,14:51,1,10,SDG 33,22,13,Philip Rivers sacked by Kroy Biermann for -3 yards,1.140,0.190
4,14:27,2,13,SDG 30,22,13,Philip Rivers pass incomplete short right intended for Chris Chambers (defended by Michael Boley),0.190,-0.490
4,14:20,3,13,SDG 30,22,13,Philip Rivers pass complete short left to Malcom Floyd for 11 yards (tackle by Chris Houston),-0.490,-0.650
4,13:47,4,2,SDG 41,22,13,"Mike Scifres punts 49 yards. Penalty on David Irons: Offensive Holding (Offsetting), Penalty on Brandon Siler: Ineligible Downfield Kick (Offsetting) (no play)",-0.650,-0.650
4,13:47,4,2,SDG 41,22,13,Jacob Hester right end for 28 yards (tackle by Thomas DeCoud and Michael Boley),-0.650,3.510
4,12:45,1,10,ATL 31,22,13,"LaDainian Tomlinson right end for no gain (tackle by Curtis Lofton). Penalty on Nick Hardwick: Offensive Holding, 10 yards (no play)",3.510,2.850
4,12:23,1,20,ATL 41,22,13,Philip Rivers pass incomplete short right intended for LaDainian Tomlinson,2.850,1.620
4,12:18,2,20,ATL 41,22,13,Philip Rivers pass complete deep right to Malcom Floyd for 16 yards (tackle by Domonique Foxworth),1.620,3.070
4,11:50,3,4,ATL 25,22,13,Philip Rivers pass incomplete deep left intended for Vincent Jackson (defended by Chris Houston),3.070,1.880
4,11:43,4,4,ATL 25,22,13,"Nate Kaeding 43 yard field goal no good, blocked by Jamaal Anderson, recovered by Curtis Lofton and returned for 19 yards",1.880,-0.610
4,11:33,1,10,ATL 25,22,13,Michael Turner right end for 5 yards (tackle by Marques Harris),0.610,0.740
4,10:49,2,5,ATL 30,22,13,Michael Turner left tackle for 1 yard (tackle by Jamal Williams),0.740,0.170
4,10:06,3,4,ATL 31,22,13,Matt Ryan pass complete short middle to Roddy White for 13 yards (tackle by Eric Weddle),0.170,1.860
4,9:22,1,10,ATL 44,22,13,"Michael Turner right end for 1 yard (tackle by Quentin Jammer). Michael Turner fumbles (forced by Quentin Jammer), recovered by Quentin Jammer at ATL-45 (tackle by Justin Blalock)",1.860,-2.590
,,,,,,,"ATL challenged the fumble ruling, and the play was upheld.",,
4,9:05,1,10,ATL 45,22,13,Philip Rivers pass complete short middle to LaDainian Tomlinson for 11 yards (tackle by Chevis Jackson),2.590,3.310
4,8:42,1,10,ATL 34,22,13,"Philip Rivers for 3 yards (tackle by Chauncey Davis). Philip Rivers fumbles (forced by Chauncey Davis), recovered by Philip Rivers at ATL-31",3.310,3.180
4,8:31,2,7,ATL 31,22,13,Philip Rivers pass complete short left to Malcom Floyd for 6 yards (tackle by Chris Houston and Lawyer Milloy),3.180,3.270
4,7:59,3,1,ATL 25,22,13,Philip Rivers middle for 1 yard (tackle by Jamaal Anderson and Curtis Lofton),3.270,3.970
4,7:16,1,10,ATL 24,22,13,Philip Rivers sacked by Jonathan Babineaux for -6 yards,3.970,2.620
4,6:53,2,16,ATL 30,22,13,Philip Rivers pass complete deep middle to Malcom Floyd for 18 yards (tackle by Domonique Foxworth),2.620,4.780
4,6:08,1,10,ATL 12,22,13,Philip Rivers pass complete short right to Chris Chambers for 2 yards (tackle by Chevis Jackson),4.780,4.450
4,5:32,2,8,ATL 10,22,13,Philip Rivers pass incomplete short left intended for Malcom Floyd,4.450,3.480
4,5:24,3,8,ATL 10,22,13,Philip Rivers pass incomplete short middle intended for Vincent Jackson (defended by Domonique Foxworth),3.480,2.760
4,5:17,4,8,ATL 10,22,16,Nate Kaeding 28 yard field goal good,2.760,3.000
4,5:17,,,SDG 30,22,16,"Nate Kaeding kicks off 66 yards, returned by Jerious Norwood for 15 yards (tackle by Legedu Naanee)",0.000,0.150
4,5:09,1,10,ATL 19,22,16,Michael Turner right end for 9 yards (tackle by Steve Gregory),0.150,0.880
4,4:24,2,1,ATL 28,22,16,Michael Turner middle for no gain (tackle by Luis Castillo),0.880,0.100
4,3:41,3,1,ATL 28,22,16,Michael Turner right tackle for no gain (tackle by Igor Olshansky and Stephen Cooper),0.100,-1.500
4,2:58,4,1,ATL 28,22,16,"Michael Koenen punts 55 yards, returned by Darren Sproles for 12 yards (tackle by Coy Wire). Penalty on Jacob Hester: Illegal Block Above the Waist, 10 yards",-1.500,-0.150
4,2:46,1,10,SDG 19,22,16,Philip Rivers pass complete short left to LaDainian Tomlinson for no gain,0.150,-0.390
4,2:41,2,10,SDG 19,22,16,Philip Rivers sacked by John Abraham and Jonathan Babineaux for -9 yards,-0.390,-2.470
4,2:12,3,19,SDG 10,22,16,Philip Rivers pass incomplete deep right intended for Malcom Floyd (defended by Erik Coleman),-2.470,-2.490
4,2:06,4,19,SDG 10,22,16,"Mike Scifres punts 32 yards, out of bounds",-2.490,-2.790
4,1:58,1,10,SDG 42,22,16,Michael Turner middle for 3 yards (tackle by Jamal Williams),2.790,2.650
4,1:53,1,10,SDG 42,22,16,Timeout #2 by San Diego Chargers,2.790,2.650
4,1:53,2,7,SDG 39,22,16,Michael Turner right end for 14 yards (tackle by Igor Olshansky),2.650,3.910
4,1:45,2,7,SDG 39,22,16,Timeout #3 by San Diego Chargers,2.650,3.910
4,1:45,1,10,SDG 25,22,16,Matt Ryan kneels for -2 yards,3.910,3.090
4,1:06,2,12,SDG 27,22,16,Matt Ryan kneels for -1 yards,3.090,2.280
4,0:37,3,13,SDG 28,22,16,Matt Ryan kneels for -1 yards,2.280,1.500
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
