Quarter,Time,Down,ToGo,Location,CIN,SEA,Detail,EPB,EPA
2,11:09,3,6,CIN 28,10,3,"Andy Dalton middle for 7 yards (tackle by Richard Sherman). Penalty on Bobbie Williams: Offensive Holding (Offsetting), Penalty on Richard Sherman: Defensive Holding (Offsetting), Penalty on Andre Caldwell: Unnecessary Roughness (Offsetting) (no play)",-0.160,-0.160
2,10:54,3,6,CIN 28,10,3,Andy Dalton pass incomplete short right intended for Andre Caldwell,-0.160,-1.500
2,10:50,4,6,CIN 28,10,3,Kevin Huber punts 44 yards,-1.500,-0.810
2,10:41,1,10,SEA 28,10,3,"Marshawn Lynch middle for no gain (tackle by Thomas Howard). Marshawn Lynch fumbles (forced by Thomas Howard), recovered by Gibril Wilson at SEA-31 (tackle by Robert Gallery)",0.810,-3.510
2,10:34,1,10,SEA 31,10,3,"Andy Dalton pass complete short right to Bernard Scott for no gain. Penalty on Andre Smith: Offensive Holding, 10 yards (no play)",3.510,2.850
2,10:07,1,20,SEA 41,10,3,"Bernard Scott left tackle for -1 yards (tackle by Earl Thomas and Alan Branch). Penalty on Bobbie Williams: Offensive Holding, 10 yards (no play)",2.850,2.190
2,9:38,1,30,CIN 49,10,3,Andy Dalton pass complete short right to A.J. Green for 9 yards,2.190,1.480
2,9:02,,,,10,3,Timeout #2 by Cincinnati Bengals,0.000,0.000
2,9:02,,,,10,3,Timeout #1 by Seattle Seahawks,0.000,1.480
2,9:02,2,21,SEA 42,10,3,Andy Dalton pass complete short left to Bernard Scott for 1 yard (tackle by David Hawthorne and Brandon Mebane),1.480,0.960
2,8:18,3,20,SEA 41,10,3,Andy Dalton pass incomplete short right intended for Jerome Simpson (defended by Richard Sherman),0.960,0.530
2,8:11,4,20,SEA 41,10,3,"Kevin Huber punts 30 yards, fair catch by Leon Washington",0.530,0.370
2,8:04,1,10,SEA 11,10,3,Tarvaris Jackson pass incomplete short right intended for Sidney Rice,-0.370,-0.780
2,7:59,2,10,SEA 11,10,3,Tarvaris Jackson pass incomplete short right intended for Sidney Rice,-0.780,-1.420
2,7:54,3,10,SEA 11,10,3,Tarvaris Jackson pass complete short left to Sidney Rice for 11 yards (tackle by Leon Hall and Brandon Johnson),-1.420,0.410
,,,,,,,"SEA challenged the first down ruling, and the original play was overturned.",,
2,7:10,1,10,SEA 22,10,3,Marshawn Lynch right end for -3 yards (tackle by Manny Lawson),0.410,-0.600
2,6:28,2,13,SEA 19,10,3,Marshawn Lynch right tackle for no gain (tackle by Carlos Dunlap),-0.600,-1.290
2,5:44,3,13,SEA 19,10,3,Tarvaris Jackson pass incomplete short middle intended for Zach Miller,-1.290,-2.140
2,5:39,4,13,SEA 19,10,3,"Jon Ryan punts 64 yards, returned by Brandon Tate for 9 yards (tackle by Malcolm Smith). Penalty on Colin Cochart: Illegal Block Above the , 10 yards",-2.140,0.140
2,5:27,1,10,CIN 16,10,3,Bernard Scott left tackle for 3 yards (tackle by K.J. Wright),-0.140,-0.180
2,4:48,2,7,CIN 19,10,3,Andy Dalton pass complete short right to A.J. Green for 6 yards (tackle by Richard Sherman),-0.180,-0.200
2,4:16,3,1,CIN 25,10,3,"Penalty on Red Bryant: Encroachment, 6 yards (no play)",-0.200,1.000
2,3:54,1,10,CIN 31,10,3,Brian Leonard left guard for 4 yards (tackle by Earl Thomas and Brandon Mebane),1.000,1.000
2,3:18,2,6,CIN 35,10,3,Andy Dalton pass incomplete deep right intended for A.J. Green,1.000,0.300
2,3:13,3,6,CIN 35,10,3,"Andy Dalton pass incomplete short left intended for A.J. Green. Penalty on Brandon Browner: Defensive Pass Interfere, 14 yards (no play)",0.300,2.190
2,3:09,1,10,CIN 49,10,3,Andy Dalton pass complete short left to Bernard Scott for -1 yards (tackle by LeRoy Hill),2.190,1.510
2,2:37,2,11,CIN 48,10,3,Andy Dalton pass incomplete short left intended for Brian Leonard,1.510,0.830
2,2:33,3,11,CIN 48,10,3,Andy Dalton pass complete short right to Donald Lee for 14 yards (tackle by Atari Bigby),0.830,3.050
2,2:00,1,10,SEA 38,10,3,"Penalty on Andre Smith: False Start, 5 yards (no play)",3.050,2.720
2,2:00,1,15,SEA 43,16,3,"Andy Dalton pass complete deep middle to A.J. Green for 43 yards, touchdown",2.720,7.000
2,,,,SEA 2,17,3,Mike Nugent kicks extra point good,0.000,0.000
2,,,,CIN 35,17,3,"Mike Nugent kicks off 73 yards, returned by Leon Washington for 43 yards (tackle by Kelly Jennings)",0.000,1.270
2,1:44,1,10,SEA 35,17,3,Tarvaris Jackson pass complete short right to Sidney Rice for 6 yards,1.270,1.530
2,1:39,2,4,SEA 41,17,3,Tarvaris Jackson pass incomplete,1.530,0.830
2,1:33,3,4,SEA 41,17,3,Tarvaris Jackson pass complete short left to Ben Obomanu for 32 yards (tackle by Leon Hall),0.830,3.780
2,1:07,1,10,CIN 27,17,3,Tarvaris Jackson pass incomplete deep left intended for Sidney Rice,3.780,3.230
2,1:01,2,10,CIN 27,17,3,"Penalty on John Moffitt: False Start, 5 yards (no play)",3.230,2.560
2,1:01,2,15,CIN 32,17,3,Tarvaris Jackson pass complete short right to Doug Baldwin for 21 yards (tackle by Reggie Nelson),2.560,4.840
2,0:52,,,,17,3,Timeout #3 by Cincinnati Bengals,0.000,4.840
2,0:52,1,10,CIN 11,17,3,Tarvaris Jackson sacked by Frostee Rucker for -10 yards,4.840,2.940
2,0:27,2,20,CIN 21,17,3,Tarvaris Jackson pass complete short right to Justin Forsett for 13 yards (tackle by Thomas Howard),2.940,3.760
2,0:19,,,,17,3,Timeout #2 by Seattle Seahawks,0.000,3.760
2,0:19,3,7,CIN 8,17,3,Tarvaris Jackson pass complete short right to Zach Miller for 5 yards,3.760,3.050
2,0:14,,,,17,3,Timeout #3 by Seattle Seahawks,0.000,3.050
2,0:14,4,2,CIN 3,17,3,Marshawn Lynch middle for 2 yards (tackle by Reggie Nelson),3.050,6.060
Quarter,Time,Down,ToGo,Location,CIN,SEA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 35,17,3,"Mike Nugent kicks off 71 yards, returned by Leon Washington for 34 yards (tackle by Brian Leonard)",0.000,0.810
3,14:54,1,10,SEA 28,17,3,Tarvaris Jackson pass complete short left to Doug Baldwin for 4 yards (tackle by Leon Hall),0.810,0.800
3,14:22,2,6,SEA 32,17,3,Tarvaris Jackson pass incomplete deep left intended for Sidney Rice,0.800,0.100
3,14:15,3,6,SEA 32,17,3,Tarvaris Jackson pass complete short middle to Cameron Morrah for 13 yards (tackle by Gibril Wilson),0.100,1.930
3,13:52,1,10,SEA 45,17,3,Tarvaris Jackson pass incomplete short right intended for Golden Tate,1.930,1.380
3,13:47,2,10,SEA 45,17,3,Tarvaris Jackson pass incomplete short left intended for Leon Washington,1.380,0.700
3,13:43,3,10,SEA 45,17,3,"Penalty on James Carpenter: False Start, 5 yards (no play)",0.700,0.040
3,13:43,3,15,SEA 40,17,3,Tarvaris Jackson pass incomplete deep right intended for Golden Tate,0.040,-0.720
3,13:37,4,15,SEA 40,17,3,"Jon Ryan punts 60 yards, touchback",-0.720,-0.280
3,13:29,1,10,CIN 20,17,3,Bernard Scott right guard for 1 yard (tackle by David Hawthorne),0.280,-0.130
3,12:50,2,9,CIN 21,17,3,Andy Dalton pass complete short left to Bernard Scott for no gain,-0.130,-0.820
3,12:06,3,9,CIN 21,17,3,Andy Dalton sacked by Anthony Hargrove for -8 yards,-0.820,-2.490
3,11:36,4,17,CIN 13,17,3,"Kevin Huber punts 56 yards, returned by Leon Washington for 12 yards (tackle by Gibril Wilson)",-2.490,-1.800
3,11:23,1,10,SEA 43,17,3,Marshawn Lynch middle for 4 yards (tackle by Domata Peko),1.800,1.790
3,10:46,2,6,SEA 47,17,3,Tarvaris Jackson pass complete short left to Michael Robinson for 11 yards (tackle by Leon Hall),1.790,2.790
3,10:09,1,10,CIN 42,17,3,Marshawn Lynch left tackle for 2 yards (tackle by Domata Peko),2.790,2.510
3,9:27,2,8,CIN 40,17,3,Tarvaris Jackson pass complete short left to Ben Obomanu for 7 yards (tackle by Leon Hall),2.510,2.740
3,8:45,3,1,CIN 33,17,3,Marshawn Lynch right tackle for -3 yards (tackle by Brandon Johnson),2.740,0.890
3,8:03,4,4,CIN 36,17,3,"Jon Ryan punts 36 yards, touchback",0.890,-0.280
3,7:55,1,10,CIN 20,17,3,Bernard Scott left end for -1 yards (tackle by K.J. Wright),0.280,-0.460
3,7:18,2,11,CIN 19,17,3,Andrew Hawkins left end for 6 yards (tackle by Earl Thomas),-0.460,-0.300
3,6:47,3,5,CIN 25,17,3,Andy Dalton pass complete deep middle to Donald Lee for 26 yards (tackle by Earl Thomas),-0.300,2.320
3,6:06,1,10,SEA 49,17,3,Bernard Scott middle for 6 yards (tackle by Earl Thomas),2.320,2.590
3,5:25,2,4,SEA 43,17,3,Andy Dalton pass incomplete deep right intended for A.J. Green,2.590,1.880
3,5:21,3,4,SEA 43,17,3,Andy Dalton pass complete short middle to Brian Leonard for 4 yards (tackle by Roy Lewis and Anthony Hargrove),1.880,2.980
3,4:39,1,10,SEA 39,17,3,Andy Dalton pass incomplete deep left intended for Andre Caldwell,2.980,2.440
3,4:34,2,10,SEA 39,17,3,Andy Dalton pass incomplete deep right intended for A.J. Green is intercepted by Richard Sherman at SEA-9,2.440,0.380
3,4:26,1,10,SEA 9,17,3,Tarvaris Jackson pass incomplete short right intended for Anthony McCoy,-0.380,-0.780
3,4:21,2,10,SEA 9,17,3,Tarvaris Jackson pass complete deep left to Ben Obomanu for 55 yards (tackle by Leon Hall),-0.780,3.180
3,3:33,1,10,CIN 36,17,3,Tarvaris Jackson left tackle for 2 yards (tackle by Leon Hall),3.180,2.910
3,2:54,2,8,CIN 34,17,3,Marshawn Lynch right tackle for 9 yards (tackle by Reggie Nelson),2.910,3.910
3,2:10,1,10,CIN 25,17,3,Tarvaris Jackson pass complete short left to Sidney Rice for 15 yards (tackle by Chris Crocker),3.910,4.910
3,1:36,1,10,CIN 10,17,3,Marshawn Lynch left tackle for 1 yard (tackle by Pat Sims and Dan Skuta),4.910,4.380
3,0:52,2,9,CIN 9,17,3,Tarvaris Jackson pass complete short right to Golden Tate for 2 yards (tackle by Reggie Nelson),4.380,3.810
3,0:16,3,7,CIN 7,17,3,Tarvaris Jackson pass incomplete short middle intended for Sidney Rice,3.810,2.970
3,0:08,4,7,CIN 7,17,6,Steven Hauschka 25 yard field goal good,2.970,3.000
3,,,,SEA 35,17,6,"Steven Hauschka kicks off 69 yards, returned by Brandon Tate for 27 yards (tackle by Heath Farwell)",0.000,0.480
Quarter,Time,Down,ToGo,Location,CIN,SEA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CIN 23,17,6,Bernard Scott left end for 3 yards (tackle by Brandon Browner),0.480,0.340
4,14:28,2,7,CIN 26,17,6,Andy Dalton pass incomplete short right intended for A.J. Green,0.340,-0.360
4,14:22,,,,17,6,Timeout #1 by Cincinnati Bengals,0.000,-0.360
4,14:22,3,7,CIN 26,17,6,Andy Dalton pass complete short right to Andre Caldwell for 9 yards (tackle by Richard Sherman),-0.360,1.270
4,13:49,1,10,CIN 35,17,6,Bernard Scott left tackle for 14 yards (tackle by Earl Thomas and Kam Chancellor),1.270,2.190
4,13:07,1,10,CIN 49,17,6,Andy Dalton pass incomplete short right intended for A.J. Green,2.190,1.650
4,13:04,2,10,CIN 49,17,6,Bernard Scott left end for 3 yards (tackle by LeRoy Hill),1.650,1.360
4,12:46,3,7,SEA 48,17,6,Andy Dalton pass incomplete deep right intended for A.J. Green is intercepted by Kam Chancellor at SEA-13 and returned for 8 yards,1.360,-0.340
4,12:29,1,10,SEA 21,17,6,Tarvaris Jackson pass incomplete deep right intended for Cameron Morrah,0.340,-0.200
4,12:24,2,10,SEA 21,17,6,Marshawn Lynch middle for 4 yards (tackle by Brandon Johnson and Domata Peko),-0.200,-0.360
4,11:46,3,6,SEA 25,17,6,"Penalty on Kris Durham: False Start, 5 yards (no play)",-0.360,-1.020
4,11:27,3,11,SEA 20,17,6,Tarvaris Jackson pass complete deep right to Doug Baldwin for 31 yards (tackle by Kelly Jennings),-1.020,2.320
4,10:33,1,10,CIN 49,17,6,Tarvaris Jackson pass complete deep left to Sidney Rice for 35 yards (tackle by Leon Hall),2.320,4.650
4,9:53,1,10,CIN 14,17,6,Tarvaris Jackson pass complete short right to Golden Tate for 9 yards (tackle by Gibril Wilson and Thomas Howard),4.650,5.670
4,9:22,2,1,CIN 5,17,6,Marshawn Lynch left end for 3 yards (tackle by Leon Hall),5.670,6.740
4,8:59,1,2,CIN 2,17,12,"Marshawn Lynch middle for 2 yards, touchdown",6.740,7.000
4,,,,,17,12,"Two Point Attempt: Tarvaris Jackson pass incomplete intended for Ben Obomanu, conversion fails",1.000,-1.000
4,,,,SEA 35,17,12,"Steven Hauschka kicks off 72 yards, returned by Brandon Tate for 45 yards (tackle by Roy Lewis)",0.000,1.470
4,8:48,1,10,CIN 38,17,12,"Andy Dalton pass incomplete short right intended for Jerome Simpson. Penalty on Red Bryant: Defensive Holding, 5 yards (no play)",1.470,1.800
4,8:40,1,10,CIN 43,17,12,Bernard Scott left tackle for 16 yards (tackle by Kam Chancellor and Earl Thomas),1.800,2.850
4,7:55,1,10,SEA 41,17,12,Bernard Scott right guard for 2 yards (tackle by Earl Thomas),2.850,2.580
4,7:14,2,8,SEA 39,17,12,"Andy Dalton pass incomplete deep left intended for A.J. Green. Penalty on Richard Sherman: Illegal Contact, 5 yards (no play)",2.580,3.310
4,7:05,1,10,SEA 34,17,12,Bernard Scott right guard for 2 yards (tackle by David Hawthorne and Red Bryant),3.310,3.040
4,6:22,2,8,SEA 32,17,12,Bernard Scott middle for -2 yards (tackle by Raheem Brock and Earl Thomas),3.040,2.080
4,5:39,3,10,SEA 34,17,12,Andy Dalton pass complete short left to Andre Caldwell for 4 yards (tackle by Roy Lewis),2.080,1.430
4,5:01,4,6,SEA 30,20,12,Mike Nugent 48 yard field goal good,1.430,3.000
4,,,,CIN 35,20,12,"Mike Nugent kicks off 70 yards, returned by Leon Washington for 20 yards (tackle by Taylor Mays)",0.000,-0.220
4,4:45,1,10,SEA 15,20,12,Tarvaris Jackson pass incomplete short right intended for Doug Baldwin,-0.220,-0.710
4,4:41,2,10,SEA 15,20,12,Tarvaris Jackson pass complete short left to Doug Baldwin for 1 yard (tackle by Chris Crocker),-0.710,-1.250
4,4:03,3,9,SEA 16,20,12,Tarvaris Jackson sacked by Carlos Dunlap for -9 yards,-1.250,-2.490
4,3:39,4,18,SEA 7,26,12,"Jon Ryan punts 49 yards, returned by Brandon Tate for 56 yards, touchdown",-2.490,-7.000
4,,,,SEA 2,27,12,Mike Nugent kicks extra point good,0.000,0.000
4,,,,CIN 35,27,12,"Mike Nugent kicks off 43 yards, returned by Justin Forsett for 11 yards (tackle by Dan Skuta)",0.000,1.140
4,3:17,1,10,SEA 33,27,12,Tarvaris Jackson pass complete deep middle to Doug Baldwin for 16 yards (tackle by Reggie Nelson),1.140,2.190
4,2:58,1,10,SEA 49,27,12,Tarvaris Jackson pass incomplete deep middle intended for Doug Baldwin,2.190,1.650
4,2:54,2,10,SEA 49,27,12,"Penalty on Russell Okung: False Start, 5 yards (no play)",1.650,0.970
4,2:54,2,15,SEA 44,27,12,Tarvaris Jackson pass complete short left to Cameron Morrah for 8 yards (tackle by Brandon Johnson),0.970,1.360
4,2:19,3,7,CIN 48,27,12,Tarvaris Jackson pass complete short right to Sidney Rice for 13 yards (tackle by Kelly Jennings),1.360,3.250
4,2:00,1,10,CIN 35,27,12,Tarvaris Jackson pass incomplete short left intended for Cameron Morrah,3.250,2.700
4,1:55,2,10,CIN 35,27,12,Tarvaris Jackson pass incomplete deep middle intended for Cameron Morrah,2.700,2.010
4,1:50,3,10,CIN 35,27,12,Tarvaris Jackson pass incomplete short right intended for Leon Washington (defended by Carlos Dunlap),2.010,0.970
4,1:45,4,10,CIN 35,27,12,Charlie Whitehurst pass incomplete short right intended for Zach Miller,0.970,-1.270
4,1:40,1,10,CIN 35,27,12,Bernard Scott right tackle for no gain (tackle by Kam Chancellor),1.270,0.720
4,1:34,,,,27,12,Timeout #1 by Seattle Seahawks,0.000,0.720
4,1:34,2,10,CIN 35,27,12,Bernard Scott left end for -1 yards (tackle by Alan Branch),0.720,-0.100
4,1:29,,,,27,12,Timeout #2 by Seattle Seahawks,0.000,-0.100
4,1:29,3,11,CIN 34,27,12,Andy Dalton left end for no gain (tackle by K.J. Wright),-0.100,-1.110
4,1:23,,,,27,12,Timeout #3 by Seattle Seahawks,0.000,-1.110
4,1:23,4,11,CIN 34,27,12,"Kevin Huber punts 37 yards, returned by Leon Washington for 12 yards (tackle by Vincent Rey)",-1.110,-1.660
4,1:12,1,10,SEA 41,27,12,Tarvaris Jackson pass incomplete short right intended for Doug Baldwin (defended by Chris Crocker),1.660,1.120
4,1:08,2,10,SEA 41,27,12,Tarvaris Jackson pass complete short middle to Zach Miller for 15 yards (tackle by Brandon Johnson and Thomas Howard),1.120,2.650
4,0:49,1,10,CIN 44,33,12,"Tarvaris Jackson pass incomplete deep left intended for Kris Durham is intercepted by Reggie Nelson at CIN-25 and returned for 75 yards, touchdown",2.650,-7.000
4,,,,SEA 2,34,12,Mike Nugent kicks extra point good,0.000,0.000
4,,,,CIN 35,34,12,"Mike Nugent kicks off 65 yards, touchback",0.000,0.280
4,0:36,1,10,SEA 20,34,12,Leon Washington left tackle for 28 yards (tackle by Gibril Wilson),0.280,2.130
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
