Quarter,Time,Down,ToGo,Location,NYJ,STL,Detail,EPB,EPA
2,11:53,4,5,STL 8,3,7,"Nick Folk 26 yard field goal no good, blocked by Janoris Jenkins, recovered by Quintin Mikell",2.970,0.320
2,11:48,1,10,STL 13,3,7,Daryl Richardson right tackle for 11 yards (tackle by LaRon Landry),-0.320,0.540
2,11:20,1,10,STL 24,3,7,Daryl Richardson up the middle for 5 yards (tackle by Eric Smith),0.540,0.670
2,10:40,2,5,STL 29,3,7,Daryl Richardson left tackle for 1 yard (tackle by Muhammad Wilkerson),0.670,0.100
2,9:56,3,4,STL 30,3,7,Sam Bradford pass incomplete short right intended for Austin Pettis (defended by Antonio Cromartie),0.100,-1.370
2,9:45,4,4,STL 30,3,7,"John Hekker punts 55 yards, returned by Kyle Wilson for 19 yards (tackle by Mike McNeill)",-1.370,-1.200
2,9:35,1,10,NYJ 34,3,7,Joe McKnight right tackle for 7 yards (tackle by James Laurinaitis),1.200,1.600
2,9:01,2,3,NYJ 41,3,7,Joe McKnight left tackle for 9 yards (tackle by Quintin Mikell),1.600,2.260
2,8:16,1,10,,3,7,Jeremy Kerley right tackle for -1 yards (tackle by William Hayes),2.260,1.580
2,7:39,2,11,NYJ 49,3,7,Mark Sanchez pass incomplete short left intended for Joe McKnight,1.580,0.890
2,7:34,3,11,NYJ 49,3,7,Mark Sanchez pass complete short left to Dustin Keller for 6 yards (tackle by Quintin Mikell),0.890,0.270
2,6:54,4,5,STL 45,3,7,Tim Tebow pass complete short right to Lex Hilliard for -1 yards (tackle by James Laurinaitis),0.270,-1.990
2,6:50,1,10,STL 46,3,7,Steven Jackson right tackle for 21 yards (tackle by Calvin Pace),1.990,3.380
2,6:05,1,10,NYJ 33,3,7,Steven Jackson left guard for 2 yards (tackle by Muhammad Wilkerson),3.380,3.110
2,5:24,2,8,NYJ 31,3,7,"Sam Bradford sacked by Muhammad Wilkerson for -6 yards. Sam Bradford fumbles (forced by Muhammad Wilkerson), recovered by Bart Scott at NYJ-34 and returned for 38 yards (tackle by Matthew Mulligan)",3.110,-3.710
2,5:12,1,10,STL 28,3,7,Shonn Greene up the middle for 3 yards (tackle by Rocky McIntosh),3.710,3.570
2,4:37,2,7,STL 25,9,7,"Mark Sanchez pass complete deep right to Chaz Schilens for 25 yards, touchdown",3.570,7.000
2,4:37,,,STL 2,10,7,Nick Folk kicks extra point good,0.000,0.000
2,4:31,,,NYJ 35,10,7,"Nick Folk kicks off 68 yards, returned by Chris Givens for 22 yards (tackle by Garrett McIntyre)",0.000,0.150
2,4:27,1,10,STL 19,10,7,"Sam Bradford pass complete short left to Lance Kendricks for 7 yards (tackle by LaRon Landry). Lance Kendricks fumbles (forced by LaRon Landry), recovered by Lance Kendricks at STL-26",0.150,0.610
2,3:51,2,3,STL 26,10,7,Steven Jackson right tackle for -1 yards (tackle by Quinton Coples),0.610,-0.290
2,3:08,3,4,STL 25,10,7,Sam Bradford pass incomplete deep right intended for Danny Amendola,-0.290,-1.700
2,3:02,4,4,STL 25,10,7,"John Hekker punts 41 yards, out of bounds",-1.700,-1.200
2,2:52,1,10,NYJ 34,10,7,"Penalty on Jason Smith: False Start, 5 yards (no play)",1.200,0.870
2,2:52,1,15,NYJ 29,10,7,Joe McKnight left end for -1 yards (tackle by Rocky McIntosh),0.870,-0.150
2,2:24,2,16,NYJ 28,10,7,Mark Sanchez pass complete deep middle to Jeremy Kerley for 32 yards (tackle by Trumaine Johnson),-0.150,2.920
2,2:00,1,10,STL 40,10,7,Mark Sanchez pass incomplete deep left intended for Stephen Hill,2.920,2.370
2,1:54,2,10,STL 40,10,7,Bilal Powell up the middle for no gain (tackle by Robert Quinn),2.370,1.680
2,1:21,3,10,STL 40,10,7,Mark Sanchez pass complete short middle to Bilal Powell for 7 yards (tackle by Cortland Finnegan),1.680,0.000
2,1:02,,,,10,7,Timeout #1 by St. Louis Rams,0.000,1.190
2,1:02,4,3,STL 33,13,7,Nick Folk 51 yard field goal good,1.190,3.000
2,0:57,,,NYJ 35,13,7,"Nick Folk kicks off 63 yards, returned by Chris Givens for 98 yards. Penalty on Rodney McLeod: Offensive Holding, 10 yards",0.000,-0.280
2,0:43,1,10,STL 14,13,7,Sam Bradford pass incomplete short right intended for Brian Quick (defended by Ellis Lankster),-0.280,-0.750
2,0:39,2,10,STL 14,13,7,Sam Bradford pass complete short right to Brian Quick for 9 yards (tackle by Kyle Wilson),-0.750,0.000
2,0:30,,,,13,7,Timeout #2 by St. Louis Rams,0.000,-0.320
2,0:30,3,1,STL 23,13,7,Sam Bradford pass incomplete deep right intended for Austin Pettis,-0.320,-1.830
2,0:24,4,1,STL 23,13,7,"John Hekker punts 48 yards, fair catch by Kyle Wilson",-1.830,-0.870
2,0:18,1,10,NYJ 29,13,7,Mark Sanchez kneels for -1 yards,0.870,0.190
Quarter,Time,Down,ToGo,Location,NYJ,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 35,13,7,"Nick Folk kicks off 67 yards, returned by Chris Givens for 16 yards (tackle by Josh Bush)",0.000,-0.280
3,14:55,1,10,STL 14,13,7,Sam Bradford pass complete short right to Steven Jackson for 2 yards (tackle by David Harris),-0.280,-0.510
3,14:21,2,8,STL 16,13,7,Steven Jackson up the middle for 7 yards (tackle by LaRon Landry),-0.510,-0.320
3,13:30,3,1,STL 23,13,7,Sam Bradford pass complete short right to Danny Amendola for 9 yards (tackle by David Harris),-0.320,1.070
3,12:52,1,10,STL 32,13,7,Steven Jackson right end for 7 yards (tackle by Eric Smith),1.070,1.470
3,12:23,2,3,STL 39,13,7,Daryl Richardson right guard for 1 yard (tackle by Demario Davis),1.470,0.890
3,11:38,3,2,STL 40,13,7,Sam Bradford pass incomplete deep right intended for Danny Amendola,0.890,-0.720
3,11:32,4,2,STL 40,13,7,"John Hekker punts 50 yards, muffed catch by Kyle Wilson, recovered by Kyle Wilson and returned for no gain",-0.720,0.370
3,11:23,1,10,NYJ 11,13,7,Shonn Greene right tackle for 14 yards (tackle by James Laurinaitis),-0.370,0.610
3,10:50,1,10,NYJ 25,13,7,Shonn Greene up the middle for 1 yard (tackle by Michael Brockers),0.610,0.200
3,10:16,2,9,NYJ 26,13,7,Mark Sanchez pass complete short left to Chaz Schilens for 6 yards (tackle by Janoris Jenkins),0.200,0.300
3,9:36,3,3,NYJ 32,13,7,Mark Sanchez pass complete short right to Jeremy Kerley for 6 yards (tackle by Cortland Finnegan),0.300,1.470
3,9:10,1,10,NYJ 38,13,7,Shonn Greene right tackle for 4 yards (tackle by Rocky McIntosh),1.470,1.460
3,8:29,2,6,NYJ 42,13,7,"Mark Sanchez pass incomplete deep right intended for Stephen Hill. Penalty on Stephen Hill: Offensive Pass Interference, 10 yards (no play)",1.460,0.110
3,8:23,2,16,NYJ 32,13,7,Mark Sanchez pass incomplete short left intended for Chaz Schilens,0.110,-0.560
3,8:19,3,16,NYJ 32,13,7,Bilal Powell up the middle for 10 yards (tackle by Cortland Finnegan),-0.560,-0.590
3,7:51,4,6,NYJ 42,13,7,"Robert Malone punts 58 yards, touchback",-0.590,-0.280
3,7:42,1,10,STL 20,13,7,Sam Bradford pass incomplete short left intended for Brandon Gibson,0.280,-0.270
3,7:36,2,10,STL 20,13,7,Steven Jackson right guard for -4 yards (tackle by Yeremiah Bell),-0.270,-1.690
3,6:51,3,14,STL 16,13,7,"Penalty on Ellis Lankster: Encroachment, 5 yards (no play)",-1.690,-0.820
3,6:30,3,9,STL 21,13,7,Sam Bradford pass incomplete short right intended for Daryl Richardson,-0.820,-1.960
3,6:24,4,9,STL 21,13,7,"John Hekker punts 57 yards, returned by Kyle Wilson for 10 yards (tackle by Justin Cole). Penalty on Rodney McLeod: Player Out of Bounds on Punt, 5 yards",-1.960,-1.400
3,6:14,1,10,NYJ 37,13,7,Mark Sanchez left end for 8 yards (tackle by Jo-Lonn Dunbar),1.400,1.940
3,5:32,2,2,NYJ 45,13,7,Shonn Greene up the middle for 4 yards (tackle by Rocky McIntosh),1.940,2.190
3,4:57,1,10,NYJ 49,13,7,Shonn Greene up the middle for 1 yard (tackle by Quintin Mikell),2.190,1.780
3,4:15,2,9,,13,7,Mark Sanchez pass complete short left to Dustin Keller for 10 yards (tackle by Quintin Mikell),1.780,2.920
3,3:39,1,10,STL 40,13,7,Bilal Powell left guard for 1 yard (tackle by Jo-Lonn Dunbar),2.920,2.510
3,3:05,2,9,STL 39,13,7,Mark Sanchez pass complete short right to Chaz Schilens for 9 yards (tackle by Cortland Finnegan),2.510,3.580
3,2:23,1,10,STL 30,13,7,Bilal Powell right guard for 3 yards (tackle by James Laurinaitis),3.580,3.440
3,1:49,2,7,STL 27,13,7,Bilal Powell right tackle for 4 yards (tackle by James Laurinaitis),3.440,3.270
3,1:11,3,3,STL 23,13,7,Mark Sanchez pass complete short left to Konrad Reuland for 18 yards (tackle by Quintin Mikell),3.270,6.060
3,0:45,1,5,STL 5,13,7,Shonn Greene up the middle for 1 yard (tackle by Eugene Sims),6.060,5.340
Quarter,Time,Down,ToGo,Location,NYJ,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,STL 4,13,7,Joe McKnight left tackle for -1 yards (tackle by James Laurinaitis),5.340,4.260
4,14:22,3,5,STL 5,19,7,"Bilal Powell up the middle for 5 yards, touchdown",4.260,7.000
4,14:22,,,STL 2,20,7,Nick Folk kicks extra point good,0.000,0.000
4,14:16,,,NYJ 35,20,7,"Nick Folk kicks off 71 yards, touchback",0.000,0.280
4,14:16,1,10,STL 20,20,7,Sam Bradford pass complete short left to Chris Givens for 3 yards (tackle by Demario Davis),0.280,0.140
4,13:34,2,7,STL 23,20,7,Sam Bradford pass complete short middle to Danny Amendola for 6 yards (tackle by David Harris),0.140,0.230
4,13:01,3,1,STL 29,20,7,Daryl Richardson up the middle for 6 yards (tackle by Garrett McIntyre),0.230,1.270
4,12:23,1,10,STL 35,20,7,"Daryl Richardson left end for 2 yards (tackle by LaRon Landry). Daryl Richardson fumbles (forced by LaRon Landry), recovered by Garrett McIntyre at STL-38 (tackle by Harvey Dahl)",1.270,-3.050
4,12:15,1,10,STL 38,20,7,Clyde Gates right end for 12 yards (tackle by Cortland Finnegan),3.050,3.840
4,11:47,1,10,STL 26,20,7,Shonn Greene left tackle for -1 yards (tackle by Michael Brockers),3.840,3.160
4,11:06,2,11,STL 27,20,7,Shonn Greene left tackle for 2 yards (tackle by James Laurinaitis),3.160,2.740
4,10:25,3,9,STL 25,20,7,Mark Sanchez pass complete short left to Bilal Powell for 11 yards (tackle by Janoris Jenkins),2.740,4.650
4,9:55,1,10,STL 14,20,7,Bilal Powell up the middle for 4 yards (tackle by Jo-Lonn Dunbar),4.650,4.710
4,9:15,2,6,STL 10,20,7,Bilal Powell right guard for -1 yards (tackle by Jo-Lonn Dunbar),4.710,3.620
4,8:32,3,7,STL 11,26,7,"Bilal Powell up the middle for 11 yards, touchdown",3.620,7.000
4,8:32,,,STL 2,27,7,Nick Folk kicks extra point good,0.000,0.000
4,8:29,,,NYJ 35,27,7,"Nick Folk kicks off 69 yards, returned by Chris Givens for 48 yards (tackle by Chaz Schilens)",0.000,1.860
4,8:21,1,10,STL 44,27,7,Steven Jackson left tackle for 20 yards (tackle by Yeremiah Bell),1.860,3.180
4,8:21,1,10,NYJ 36,27,7,"Penalty on Rodger Saffold: False Start, 5 yards (no play)",3.180,2.850
4,7:37,1,15,NYJ 41,27,7,Sam Bradford pass incomplete deep right intended for Chris Givens,2.850,1.960
4,7:31,2,15,NYJ 41,27,7,Sam Bradford pass complete short right to Danny Amendola for 10 yards (tackle by LaRon Landry),1.960,2.610
4,7:05,3,5,NYJ 31,27,7,Sam Bradford pass complete short right to Chris Givens for 8 yards (tackle by Kyle Wilson),2.610,4.040
4,6:44,1,10,NYJ 23,27,7,Sam Bradford pass complete short middle to Steven Jackson for 3 yards (tackle by David Harris),4.040,3.900
4,6:16,2,7,NYJ 20,27,7,Sam Bradford pass complete short right to Daryl Richardson for 18 yards (tackle by Kyle Wilson),3.900,6.740
4,5:48,1,2,NYJ 2,27,13,"Sam Bradford pass complete short left to Brandon Gibson for 2 yards, touchdown",6.740,7.000
4,5:48,,,,27,13,"Two Point Attempt: Sam Bradford pass incomplete intended for Brian Quick, conversion fails",0.000,-1.000
4,5:40,,,STL 35,27,13,"John Hekker kicks onside 9 yards, recovered by Dustin Keller",0.000,2.650
4,5:39,1,10,STL 44,27,13,Shonn Greene right tackle for 1 yard (tackle by William Hayes),2.650,2.250
4,4:54,2,9,STL 43,27,13,Shonn Greene up the middle for 2 yards (tackle by Eugene Sims),2.250,0.000
4,4:48,,,,27,13,Timeout #1 by St. Louis Rams,0.000,1.820
4,4:48,3,7,STL 41,27,13,Tim Tebow right end for -6 yards (tackle by Rocky McIntosh),1.820,0.000
4,4:41,,,,27,13,Timeout #2 by St. Louis Rams,0.000,0.130
4,4:41,4,13,STL 47,27,13,Robert Malone punts 37 yards,0.130,0.380
4,4:28,1,10,STL 10,27,13,Sam Bradford pass complete short middle to Brandon Gibson for 6 yards (tackle by Kyle Wilson),-0.380,-0.230
4,4:28,2,4,STL 16,27,13,Sam Bradford pass incomplete short left intended for Steven Jackson,-0.230,-0.720
4,3:58,3,4,STL 16,27,13,Sam Bradford pass incomplete short right intended for Steven Jackson,-0.720,-2.390
4,3:54,4,4,STL 16,27,13,Sam Bradford pass complete short right to Lance Kendricks for 7 yards (tackle by LaRon Landry),-2.390,0.480
4,3:37,1,10,STL 23,27,13,Sam Bradford pass incomplete short right intended for Daryl Richardson,0.480,-0.070
4,3:32,2,10,STL 23,27,13,Sam Bradford pass incomplete short left intended for Danny Amendola (defended by Yeremiah Bell),-0.070,-0.760
4,3:27,3,10,STL 23,27,13,"Sam Bradford pass incomplete short right intended for Daryl Richardson. Penalty on Garrett McIntyre: Roughing the Passer (Offsetting), Penalty on Sam Bradford: Intentional Grounding (Offsetting) (no play)",-0.760,-0.760
4,3:24,3,10,STL 23,27,13,Sam Bradford pass incomplete short left intended for Chris Givens. Penalty on Daryl Richardson: Offensive Holding (Declined),-0.760,-1.830
4,3:14,4,10,STL 23,27,13,Sam Bradford pass incomplete short left intended for Austin Pettis,-1.830,-4.040
4,3:12,1,10,STL 23,27,13,Bilal Powell up the middle for 3 yards (tackle by Cortland Finnegan),4.040,3.900
4,2:30,2,7,STL 20,27,13,Bilal Powell up the middle for 2 yards (tackle by Michael Brockers),3.900,0.000
4,2:23,,,,27,13,Timeout #3 by St. Louis Rams,0.000,3.490
4,2:23,3,5,STL 18,27,13,Mark Sanchez left end for -8 yards (tackle by Eugene Sims),3.490,1.740
4,2:00,4,13,STL 26,27,13,Nick Folk 44 yard field goal no good,1.740,-1.200
4,1:56,1,10,STL 34,27,13,Sam Bradford for 7 yards (tackle by Ellis Lankster),1.200,1.600
4,1:48,2,3,STL 41,27,13,Sam Bradford pass incomplete deep middle intended for Chris Givens,1.600,0.890
4,1:41,3,3,STL 41,27,13,Sam Bradford pass incomplete deep right intended for Austin Pettis,0.890,-0.650
4,1:36,4,3,STL 41,27,13,Sam Bradford pass complete short right to Austin Pettis for 10 yards (tackle by Yeremiah Bell),-0.650,2.320
4,1:21,1,10,NYJ 49,27,13,Sam Bradford spiked the ball,2.320,1.780
4,1:20,2,10,NYJ 49,27,13,Sam Bradford pass incomplete short middle intended for Cory Harkey,1.780,1.090
4,1:16,3,10,NYJ 49,27,13,Sam Bradford pass complete short left to Chris Givens for -1 yards (tackle by Eric Smith),1.090,-0.060
4,0:47,4,11,,27,13,Sam Bradford pass complete short right to Chris Givens for 9 yards (tackle by Ellis Lankster),-0.060,-1.660
4,0:41,1,10,NYJ 41,27,13,Mark Sanchez kneels for -1 yards,1.660,0.990
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
