Quarter,Time,Down,ToGo,Location,MIA,TEN,Detail,EPB,EPA
2,1:17,1,10,MIA 40,0,14,"Brian Griese sacked by Robaire Smith for -6 yards. Brian Griese fumbles (forced by Robaire Smith), recovered by Albert Haynesworth at MIA-36 and returned for 12 yards (tackle by Ricky Williams)",1.600,-3.970
2,1:11,1,10,MIA 24,0,20,"Steve McNair pass complete to Justin McCareins for 24 yards, touchdown",3.970,7.000
2,,,,MIA 2,0,21,Gary Anderson kicks extra point good,0.000,0.000
2,,,,TEN 30,0,21,"Craig Hentrich kicks off 52 yards, returned by Travis Minor for 12 yards (tackle by Ray Wells)",0.000,0.940
2,0:56,1,10,MIA 30,0,21,Ricky Williams up the middle for 15 yards (tackle by Jevon Kearse and Keith Bulluck),0.940,1.930
2,0:49,,,,0,21,Timeout #1 by Miami Dolphins,0.000,1.930
2,0:49,1,10,MIA 45,0,21,Brian Griese pass complete to Derrius Thompson for 8 yards (tackle by Andre Dyson),1.930,2.460
2,0:27,2,2,TEN 47,0,21,Ricky Williams up the middle for 3 yards (tackle by Lance Schulters and Peter Sirmon),2.460,2.650
2,0:27,,,,0,21,Timeout #2 by Miami Dolphins,0.000,2.650
2,0:27,1,10,TEN 44,0,21,Brian Griese pass incomplete intended for Randy McMichael (defended by Keith Bulluck),2.650,2.110
2,0:23,2,10,TEN 44,0,21,"Brian Griese pass complete to Derrius Thompson for 31 yards (tackle by Lance Schulters). Penalty on Todd Wade: Offensive Holding, 10 yards (no play)",2.110,0.760
2,0:12,2,20,MIA 46,0,21,Brian Griese pass complete to Randy McMichael for 3 yards (tackle by Lance Schulters),0.760,0.500
2,0:06,,,,0,21,Timeout #3 by Miami Dolphins,0.000,0.500
2,0:06,3,17,MIA 49,0,21,Brian Griese pass incomplete intended for Chris Chambers (defended by Lamont Thompson),0.500,-0.130
Quarter,Time,Down,ToGo,Location,MIA,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 30,0,21,"Craig Hentrich kicks off 64 yards, returned by Travis Minor for 17 yards (tackle by Ray Wells)",0.000,0.480
3,14:53,1,10,MIA 23,0,21,"Penalty on Randy McMichael: False Start, 5 yards (no play)",0.480,0.000
3,14:53,1,15,MIA 18,0,21,Brian Griese pass complete to Derrius Thompson for 9 yards (tackle by Andre Dyson),0.000,0.470
3,14:29,2,6,MIA 27,0,21,Ricky Williams up the middle for -1 yards (tackle by Keith Bulluck),0.470,-0.360
3,13:52,3,7,MIA 26,0,21,Brian Griese pass incomplete intended for James McKnight,-0.360,-1.630
3,13:46,4,7,MIA 26,0,21,Matt Turk punts 39 yards,-1.630,-1.270
3,13:39,1,10,TEN 35,0,21,Eddie George up the middle for 6 yards (tackle by Tommy Hendricks and Sammy Knight),1.270,1.530
3,13:00,2,4,TEN 41,0,21,Steve McNair pass complete to Justin McCareins for 11 yards (tackle by Terrell Buckley),1.530,2.390
3,12:21,1,10,MIA 48,0,21,"Penalty on Frank Wycheck: False Start, 5 yards (no play)",2.390,2.060
3,12:02,1,15,TEN 47,0,21,"Steve McNair for no gain. Steve McNair fumbles, recovered by Eddie George at TEN-44 and returned for 4 yards",2.060,1.310
3,11:19,2,14,TEN 48,0,21,Eddie George up the middle for 3 yards (tackle by Sammy Knight and Tommy Hendricks),1.310,1.030
3,10:33,3,11,MIA 49,0,21,Steve McNair pass complete to Derrick Mason for 10 yards (tackle by Sam Madison),1.030,0.660
3,9:46,4,1,MIA 39,0,21,Craig Hentrich punts 37 yards,0.660,0.380
3,9:32,1,10,MIA 2,0,21,Ricky Williams left guard for -1 yards (tackle by Rocky Boiman and Keith Bulluck),-0.380,-0.850
3,8:56,2,11,MIA 1,0,21,Brian Griese pass complete to Ricky Williams for 6 yards (tackle by Tank Williams),-0.850,-0.840
3,8:14,3,5,MIA 7,0,27,"Brian Griese pass incomplete intended for Derrius Thompson is intercepted by Andre Dyson at MIA-11 and returned for 11 yards, touchdown",-0.840,-7.000
3,,,,MIA 2,0,28,Gary Anderson kicks extra point good,0.000,0.000
3,,,,TEN 30,0,28,"Craig Hentrich kicks off 55 yards, returned by Travis Minor for 22 yards (tackle by Eddie Berlin)",0.000,1.400
3,8:02,1,10,MIA 37,0,28,Ricky Williams up the middle for 7 yards (tackle by Peter Sirmon and Rocky Calmus),1.400,1.800
3,7:33,2,3,MIA 44,0,28,Ricky Williams right guard for no gain (tackle by Keith Bulluck and Rocky Calmus),1.800,1.090
3,6:52,3,3,MIA 44,0,28,"Brian Griese pass incomplete intended for Randy McMichael. Penalty on Kevin Carter: Defensive Offside, 5 yards (no play)",1.090,2.190
3,6:47,1,10,MIA 49,0,28,Ricky Williams up the middle for 3 yards (tackle by Tank Williams and Keith Bulluck),2.190,2.050
3,5:54,2,7,TEN 48,0,28,Brian Griese pass complete to Rob Konrad for 8 yards (tackle by Jevon Kearse),2.050,2.920
3,5:12,1,10,TEN 40,0,28,"Penalty on Jevon Kearse: Defensive Offside, 5 yards (no play)",2.920,3.650
3,4:57,1,5,TEN 35,0,28,Travis Minor left tackle for no gain (tackle by Jevon Kearse and Kevin Carter),3.650,3.050
3,4:22,2,5,TEN 35,0,28,Brian Griese pass complete to Chris Chambers for 11 yards (tackle by Andre Dyson),3.050,3.970
3,3:46,1,10,TEN 24,0,28,Brian Griese pass incomplete intended for Kendall Newson is intercepted by Samari Rolle at TEN-11 and returned for 36 yards (tackle by Randy McMichael),3.970,-2.060
3,3:34,1,10,TEN 47,0,28,Chris Brown right tackle for 9 yards (tackle by Sammy Knight and Larry Chester),2.060,2.730
3,2:51,2,1,MIA 44,0,28,Chris Brown left end for 8 yards (tackle by Sam Madison and Morlon Greenwood),2.730,3.180
3,2:01,1,10,MIA 36,0,28,Chris Brown up the middle for 7 yards (tackle by Tommy Hendricks),3.180,3.580
3,1:17,2,3,MIA 29,0,28,Chris Brown left tackle for 2 yards (tackle by Tommy Hendricks),3.580,3.140
3,0:19,3,1,MIA 27,0,28,Eddie George right tackle for no gain (tackle by Tommy Hendricks),3.140,1.820
Quarter,Time,Down,ToGo,Location,MIA,TEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,1,MIA 27,0,28,Chris Brown left tackle for no gain (tackle by Tommy Hendricks),1.820,-0.740
4,14:53,1,10,MIA 27,0,28,Ricky Williams right tackle for 2 yards (tackle by Peter Sirmon),0.740,0.470
4,14:16,2,8,MIA 29,0,28,Brian Griese pass complete to Chris Chambers for 19 yards (tackle by Samari Rolle),0.470,2.130
4,13:40,1,10,MIA 48,0,28,Ricky Williams up the middle for 2 yards (tackle by Peter Sirmon and Albert Haynesworth),2.130,1.850
4,13:01,2,8,TEN 50,0,28,Brian Griese pass incomplete intended for Randy McMichael,1.850,1.160
4,12:55,3,8,TEN 50,0,28,Brian Griese sacked by Jevon Kearse for 0 yards,1.160,-0.060
4,12:21,4,8,TEN 50,0,28,"Matt Turk punts 43 yards, fair catch by Justin McCareins",-0.060,0.380
4,12:13,1,10,TEN 7,0,28,Robert Holcombe right tackle for 1 yard (tackle by Tommy Hendricks and Terrell Buckley),-0.380,-0.710
4,11:31,2,9,TEN 8,0,28,Robert Holcombe right tackle for 4 yards (tackle by Terrell Buckley),-0.710,-0.840
4,10:44,3,5,TEN 12,0,28,Robert Holcombe up the middle for 1 yard (tackle by Jeff Zgonina and Brock Marion),-0.840,-2.490
4,10:02,4,4,TEN 13,0,28,"Craig Hentrich punts 49 yards, returned by Sam Simmons for 6 yards (tackle by Ken Amato)",-2.490,-1.860
4,9:50,1,10,MIA 44,0,28,Brian Griese pass incomplete intended for Rob Konrad,1.860,1.320
4,9:47,2,10,MIA 44,0,28,Brian Griese pass incomplete intended for Chris Chambers is intercepted by Keith Bulluck at TEN-43,1.320,-1.800
4,9:40,1,10,TEN 43,0,28,Billy Volek pass complete to Justin McCareins for 18 yards (tackle by Tommy Hendricks),1.800,2.980
4,8:57,1,10,MIA 39,0,28,Chris Brown left tackle for 9 yards (tackle by Corey Jenkins),2.980,3.660
4,8:14,2,1,MIA 30,0,28,Billy Volek pass complete to Chris Brown for 4 yards (tackle by Tommy Hendricks),3.660,3.840
4,7:30,1,10,MIA 26,0,28,Chris Brown right tackle for -2 yards (tackle by Tommy Hendricks),3.840,3.030
4,6:45,2,12,MIA 28,0,28,Chris Brown right tackle for 10 yards (tackle by Sammy Knight and Tommy Hendricks),3.030,3.750
4,5:56,3,2,MIA 18,0,28,Billy Volek up the middle for 1 yard (tackle by Rob Burnett),3.750,2.460
4,5:21,4,1,MIA 17,0,31,Gary Anderson 35 yard field goal good,2.460,3.000
4,,,,TEN 30,0,31,"Craig Hentrich kicks off 72 yards, returned by Travis Minor for 29 yards (tackle by Jake Schifino)",0.000,0.740
4,5:09,1,10,MIA 27,0,31,Travis Minor up the middle for 3 yards (tackle by Keith Bulluck and Albert Haynesworth),0.740,0.600
4,4:33,2,7,MIA 30,0,31,Sage Rosenfels pass incomplete intended for Travis Minor,0.600,-0.100
4,4:28,3,7,MIA 30,0,31,Sage Rosenfels pass complete to Travis Minor for 5 yards (tackle by Mike Echols),-0.100,-1.040
4,3:54,4,2,MIA 35,0,31,"Matt Turk punts 47 yards, fair catch by Justin McCareins",-1.040,-0.040
4,3:46,1,10,TEN 18,0,31,Chris Brown right guard for 2 yards (tackle by Dario Romero and Jeff Zgonina),0.040,-0.130
4,3:02,2,8,TEN 20,0,31,Chris Brown right end for 1 yard (tackle by Tommy Hendricks and Sammy Knight),-0.130,-0.790
4,2:17,3,7,TEN 21,0,31,Chris Brown left tackle for 3 yards (tackle by Tommy Hendricks),-0.790,-1.770
4,2:00,4,4,TEN 24,0,31,Craig Hentrich punts 35 yards,-1.770,-1.660
4,1:51,1,10,MIA 41,0,31,Travis Minor right tackle for 19 yards (tackle by Brad Kassell and Tony Beckham),1.660,2.920
4,1:19,1,10,TEN 40,0,31,Sage Rosenfels pass incomplete intended for Sam Simmons,2.920,2.370
4,1:13,2,10,TEN 40,0,31,"Sage Rosenfels pass complete to Kendall Newson for 3 yards (tackle by Mike Echols). Penalty on MIA: Illegal Formation, 5 yards (no play)",2.370,1.700
4,1:08,2,15,TEN 45,0,31,Sage Rosenfels pass complete to Donald Lee for 6 yards (tackle by Ray Wells),1.700,1.820
4,0:35,3,9,TEN 39,0,31,Sage Rosenfels pass complete to Kendall Newson for 18 yards (tackle by Mike Echols),1.820,4.170
4,0:23,,,,0,31,Timeout #1 by Miami Dolphins,0.000,4.170
4,0:23,1,10,TEN 21,6,31,"Sage Rosenfels pass complete to Donald Lee for 21 yards, touchdown",4.170,7.000
4,,,,TEN 2,7,31,Olindo Mare kicks extra point good,0.000,0.000
4,,,,MIA 30,7,31,Olindo Mare kicks off 17 yards,0.000,2.460
4,0:18,1,10,MIA 47,7,31,Billy Volek kneels for -1 yards,2.460,1.780
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
