Quarter,Time,Down,ToGo,Location,LAR,ARI,Detail,EPB,EPA
2,1:56,4,3,LAR 27,10,3,"Johnny Hekker punts 53 yards, fair catch by John Brown",-1.570,-0.280
2,1:48,1,10,ARI 20,10,3,Carson Palmer pass complete short left to David Johnson for 6 yards (tackle by Mark Barron),0.280,0.540
2,1:42,2,4,ARI 26,10,3,Carson Palmer pass incomplete short right intended for John Brown (defended by Trumaine Johnson),0.540,-0.160
2,1:38,3,4,ARI 26,10,3,Carson Palmer pass complete short right to John Brown for 15 yards (tackle by Trumaine Johnson),-0.160,1.660
2,1:30,1,10,ARI 41,10,3,Carson Palmer pass complete deep left to John Brown for 20 yards (tackle by Lamarcus Joyner),1.660,2.980
2,1:08,1,10,LAR 39,10,3,Carson Palmer pass incomplete short right intended for Michael Floyd (defended by Trumaine Johnson),2.980,2.980
2,1:01,1,10,LAR 39,10,3,Timeout #1 by Arizona Cardinals,2.980,2.440
2,1:01,2,10,LAR 39,10,3,Carson Palmer pass complete short left to John Brown for 18 yards (tackle by E.J. Gaines),2.440,2.440
2,0:53,2,10,LAR 39,10,3,Timeout #2 by Arizona Cardinals,2.440,4.170
2,0:53,1,10,LAR 21,10,3,Carson Palmer pass complete deep middle to Michael Floyd for 16 yards (tackle by Alec Ogletree),4.170,6.060
2,0:29,1,5,LAR 5,10,9,"Carson Palmer pass complete short left to Michael Floyd for 5 yards, touchdown",6.060,7.000
2,0:29,,,LAR 5,10,10,Chandler Catanzaro kicks extra point good,0.000,0.000
2,0:29,,,ARI 35,10,10,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.610
2,0:24,1,10,LAR 25,10,10,Case Keenum kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,LAR,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,10,10,"Chandler Catanzaro kicks off 70 yards, returned by Benny Cunningham for 26 yards (tackle by Tyvon Branch)",0.000,0.340
3,14:54,1,10,LAR 21,10,10,Case Keenum pass incomplete deep middle intended for Tavon Austin,0.340,-0.200
,,,,,,,"challenged the incomplete pass ruling, and the play was upheld.",,
3,14:44,2,10,LAR 21,10,10,Todd Gurley middle for 3 yards (tackle by Alex Okafor),-0.200,-0.490
3,14:05,3,7,LAR 24,10,10,Case Keenum pass complete short right to Todd Gurley for 33 yards (tackle by Marcus Cooper),-0.490,2.720
3,13:21,1,10,ARI 43,10,10,"Case Keenum sacked by Chandler Jones for -7 yards. Case Keenum fumbles (forced by Chandler Jones), recovered by Chandler Jones at ARI-48 (tackle by Greg Robinson)",2.720,-2.130
3,13:12,1,10,ARI 48,10,10,David Johnson right end for no gain (tackle by Trumaine Johnson),2.130,1.580
3,12:35,2,10,ARI 48,10,10,David Johnson middle for 5 yards (tackle by Lamarcus Joyner),1.580,1.550
3,11:54,3,5,LAR 47,10,10,Carson Palmer pass complete deep left to John Brown for 20 yards (tackle by Maurice Alexander),1.550,3.780
3,11:20,1,10,LAR 27,10,10,Larry Fitzgerald left end for 1 yard (tackle by E.J. Gaines),3.780,3.370
3,10:40,2,9,LAR 26,10,10,"Carson Palmer sacked by Aaron Donald for -5 yards. Carson Palmer fumbles (forced by Aaron Donald), recovered by Eugene Sims at LAR-31 (tackle by David Johnson)",3.370,-1.000
3,10:32,1,10,LAR 31,10,10,Todd Gurley middle for no gain (tackle by Josh Mauro),1.000,0.460
3,9:56,2,10,LAR 31,10,10,Todd Gurley left tackle for 3 yards (tackle by Ed Stinson),0.460,0.170
3,9:15,3,7,LAR 34,10,10,Case Keenum pass complete short middle to Kenny Britt for 11 yards (tackle by Tyvon Branch),0.170,1.930
3,8:57,1,10,LAR 45,10,10,Todd Gurley middle for 3 yards (tackle by Ed Stinson),1.930,1.790
3,8:18,2,7,LAR 48,10,10,"Case Keenum pass incomplete short right intended for Todd Gurley (defended by Marcus Cooper). Penalty on Josh Mauro: Defensive Offside, 5 yards (no play)",1.790,2.460
3,8:12,2,2,ARI 47,10,10,Case Keenum pass incomplete deep left intended for Brian Quick,2.460,1.750
3,8:04,3,2,ARI 47,10,10,Case Keenum pass complete short middle to Lance Kendricks for 10 yards (tackle by Tony Jefferson),1.750,3.120
3,7:26,1,10,ARI 37,10,10,Case Keenum right end for 2 yards (tackle by Tony Jefferson),3.120,2.840
3,6:45,2,8,ARI 35,10,10,"Case Keenum middle for 27 yards (tackle by Tyvon Branch). Penalty on Greg Robinson: Offensive Holding, 10 yards (no play)",2.840,1.490
3,6:14,2,18,ARI 45,10,10,"Penalty on Cody Wichmann: False Start, 5 yards (no play)",1.490,0.820
3,5:58,2,23,,10,10,Case Keenum pass incomplete short left intended for Brian Quick,0.820,0.170
3,5:53,3,23,,10,10,Case Keenum sacked by Markus Golden for -14 yards,0.170,-0.980
3,5:17,4,37,LAR 36,10,10,"Johnny Hekker punts 43 yards, returned by John Brown for 4 yards (tackle by Jake McQuaide)",-0.980,-0.610
3,5:05,1,10,ARI 25,10,10,Chris Johnson left tackle for -4 yards (tackle by Matt Longacre and E.J. Gaines),0.610,-0.480
3,4:20,2,14,ARI 21,10,10,Carson Palmer pass complete short left to Michael Floyd for 15 yards,-0.480,1.330
3,3:53,1,10,ARI 36,10,10,David Johnson middle for 3 yards (tackle by Lamarcus Joyner),1.330,1.200
3,3:17,2,7,ARI 39,10,10,Carson Palmer pass incomplete short left intended for Jermaine Gresham (defended by E.J. Gaines),1.200,0.500
3,3:10,3,7,ARI 39,10,10,Carson Palmer pass complete deep right to JJ Nelson for 24 yards,0.500,3.120
3,3:03,1,10,LAR 37,10,10,David Johnson middle for 11 yards (tackle by Mark Barron),3.120,3.840
3,2:24,1,10,LAR 26,10,10,David Johnson middle for 3 yards (tackle by Matt Longacre),3.840,3.700
3,1:47,2,7,LAR 23,10,10,"Penalty on D.J. Humphries: False Start, 5 yards (no play)",3.700,3.030
3,1:34,2,12,LAR 28,10,10,Carson Palmer pass complete short right to David Johnson for 24 yards (tackle by Alec Ogletree and Maurice Alexander),3.030,6.280
3,0:56,1,4,LAR 4,10,10,David Johnson middle for 1 yard (tackle by Michael Brockers),6.280,5.530
3,0:15,2,3,LAR 3,10,10,Carson Palmer pass incomplete,5.530,4.720
3,0:09,3,3,LAR 3,10,10,Carson Palmer pass incomplete short left intended for John Brown (defended by E.J. Gaines),4.720,3.040
3,0:04,4,3,LAR 3,10,13,Chandler Catanzaro 21 yard field goal good,3.040,3.000
Quarter,Time,Down,ToGo,Location,LAR,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,,,,ARI 35,10,13,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,0.610
4,15:00,1,10,LAR 25,10,13,Case Keenum pass complete deep middle to Kenny Britt for 31 yards (tackle by Marcus Cooper and Deone Bucannon),0.610,2.650
4,14:20,1,10,ARI 44,10,13,Todd Gurley left tackle for 3 yards (tackle by Tony Jefferson),2.650,2.520
4,13:39,2,7,ARI 41,10,13,Case Keenum pass complete short right to Tavon Austin for 6 yards (tackle by Tyrann Mathieu),2.520,2.610
4,13:01,3,1,ARI 35,10,13,Case Keenum pass complete short left to Todd Gurley for -4 yards (tackle by Tyrann Mathieu),2.610,0.660
4,12:29,4,5,ARI 39,10,13,Case Keenum pass incomplete deep left intended for Brian Quick (defended by Patrick Peterson),0.660,-1.530
4,12:22,1,10,ARI 39,10,13,Carson Palmer pass complete short left to Larry Fitzgerald for 12 yards (tackle by Maurice Alexander),1.530,2.320
4,11:45,1,10,LAR 49,10,13,Chris Johnson left tackle for 7 yards (tackle by E.J. Gaines),2.320,2.730
4,11:23,2,3,LAR 42,10,13,"David Johnson middle for 1 yard (tackle by Dominique Easley). David Johnson fumbles (forced by Dominique Easley), recovered by Josh Forrest at LAR-41 (tackle by David Johnson)",2.730,-1.660
4,11:11,1,10,LAR 41,10,13,Case Keenum pass incomplete deep left intended for Lance Kendricks,1.660,1.120
4,11:05,2,10,LAR 41,10,13,Case Keenum middle for 13 yards (tackle by Deone Bucannon),1.120,2.520
4,10:42,1,10,ARI 46,10,13,Todd Gurley middle for -1 yards (tackle by Kevin Minter),2.520,1.840
4,10:01,2,11,ARI 47,10,13,Case Keenum pass complete short left to Todd Gurley for 8 yards (tackle by D.J. Swearinger),1.840,2.210
4,9:15,3,3,ARI 39,10,13,"Case Keenum pass complete short left to Lance Kendricks for 27 yards (tackle by Patrick Peterson). Penalty on Greg Robinson: Ineligible Downfield Pass, 5 yards (no play)",2.210,1.550
4,8:42,3,8,ARI 44,10,13,Case Keenum pass incomplete short right intended for Brian Quick,1.550,0.330
,,,,,,,"challenged the incomplete pass ruling, and the play was upheld.",,
4,8:34,4,8,ARI 44,10,13,"Penalty on Temarrick Hemingway: False Start, 5 yards (no play)",0.330,0.000
4,8:34,4,13,ARI 49,10,13,"Johnny Hekker punts 44 yards, fair catch by Patrick Peterson",0.000,0.380
4,8:26,1,10,ARI 5,10,13,David Johnson middle for 1 yard (tackle by Ethan Westbrooks),-0.380,-0.710
4,7:46,2,9,ARI 6,10,13,Carson Palmer pass complete short middle to John Brown for 29 yards (tackle by Mark Barron),-0.710,1.270
4,6:58,1,10,ARI 35,10,13,Andre Ellington middle for no gain (tackle by Aaron Donald),1.270,0.720
4,6:23,2,10,ARI 35,10,13,Carson Palmer pass complete short right to Andre Ellington for 4 yards (tackle by Trumaine Johnson),0.720,0.560
4,5:40,3,6,ARI 39,10,13,Carson Palmer sacked by Aaron Donald and Eugene Sims for -9 yards. Penalty on Mike Iupati: Offensive Holding (Declined),0.560,-1.370
4,5:26,4,15,ARI 30,10,13,"Ryan Quigley punts 51 yards, returned by Tavon Austin for 47 yards (tackle by Ifeanyi Momah). Penalty on Ifeanyi Momah: Face Mask (15 Yards), 15 yards",-1.370,-4.310
4,5:09,1,10,ARI 19,10,13,Todd Gurley right end for 2 yards (tackle by Tony Jefferson),4.310,4.030
4,4:24,2,8,ARI 17,10,13,Case Keenum pass incomplete,4.030,3.260
4,4:16,3,8,ARI 17,10,13,Case Keenum pass complete short right to Todd Gurley for 8 yards (tackle by Kevin Minter and Deone Bucannon),3.260,5.140
4,3:27,1,9,ARI 9,10,13,Todd Gurley right tackle for 5 yards (tackle by Tony Jefferson),5.140,5.340
4,2:41,2,4,ARI 4,16,13,"Case Keenum pass complete short right to Brian Quick for 4 yards, touchdown",5.340,7.000
4,2:41,,,ARI 4,17,13,Greg Zuerlein kicks extra point good,0.000,0.000
4,2:41,,,LAR 35,17,13,"Greg Zuerlein kicks off 63 yards, returned by Andre Ellington for 13 yards (tackle by Cory Littleton)",0.000,0.220
4,2:32,1,10,ARI 15,17,13,Drew Stanton pass complete short right to Jaron Brown for 7 yards (tackle by Mark Barron),-0.220,0.350
4,2:08,2,3,ARI 22,17,13,"Drew Stanton pass complete short middle to David Johnson for 4 yards (tackle by Mark Barron). Penalty on Alec Ogletree: Illegal Contact, 5 yards (no play)",0.350,0.740
4,2:03,1,10,ARI 27,17,13,Drew Stanton pass incomplete short right intended for John Brown,0.740,0.200
4,1:58,2,10,ARI 27,17,13,Drew Stanton pass complete short middle to Larry Fitzgerald for 13 yards (tackle by Mark Barron),0.200,1.600
4,1:38,1,10,ARI 40,17,13,Drew Stanton pass incomplete short left intended for Jaron Brown,1.600,1.050
4,1:34,2,10,ARI 40,17,13,Drew Stanton pass incomplete deep middle intended for Michael Floyd is intercepted by Mark Barron at LAR-44 and returned for 1 yard,1.050,-1.930
