Quarter,Time,Down,ToGo,Location,NOR,CAR,Detail,EPB,EPA
3,13:38,3,10,NOR 25,0,17,Jameis Winston pass incomplete deep left intended for Marquez Callaway,,
3,13:33,4,10,NOR 25,0,17,"Blake Gillikin punts 52 yards, returned by Alex Erickson for no gain (tackle by Ty Montgomery)",,
3,13:22,1,10,CAR 23,0,17,Christian McCaffrey left end for 3 yards (tackle by Shy Tuttle and Demario Davis),,
3,12:39,2,7,CAR 26,0,17,"Sam Darnold up the middle for no gain. Sam Darnold fumbles, recovered by Sam Darnold at CAR-20 and returned for 6 yards Sam Darnold pass incomplete",,
3,12:31,3,7,CAR 26,0,17,"Sam Darnold pass complete short right to Christian McCaffrey for 7 yards (tackle by Zack Baun and Malcolm Roach). Penalty on Malcolm Roach: Defensive Lowering the head to initiate contact, 15 yards (accepted)",,
3,12:07,1,10,CAR 48,0,17,Sam Darnold pass complete short right to Brandon Zylstra for 13 yards (tackle by Marcus Williams and Carl Granderson),,
3,11:27,1,10,NOR 39,0,17,Christian McCaffrey left guard for 5 yards (tackle by Cameron Jordan and Zack Baun),,
3,10:44,2,5,NOR 34,0,17,Sam Darnold pass complete short left to Christian McCaffrey for 8 yards (tackle by Malcolm Jenkins),,
3,10:08,1,10,NOR 26,0,17,Sam Darnold pass incomplete deep left intended for Robbie Anderson,,
3,10:02,2,10,NOR 26,0,17,Sam Darnold pass complete short right to Terrace Marshall for 1 yard (tackle by Demario Davis),,
3,9:17,3,9,NOR 25,0,17,Sam Darnold sacked by Bradley Roby for -7 yards,,
3,8:40,4,16,NOR 32,0,17,Zane Gonzalez 55 yard field goal no good blocked by Carl Granderson (tackle by Brady Christensen),,
3,8:27,1,10,CAR 38,0,17,"Deonte Harty right end for 1 yard (tackle by Juston Burris). Penalty on Marquez Callaway: Offensive Holding, 10 yards (accepted)",,
3,7:55,1,19,CAR 47,0,17,Alvin Kamara left tackle for 2 yards (tackle by Bravvion Roy),,
3,7:08,2,17,CAR 45,0,17,Jameis Winston scrambles left end for 12 yards (tackle by Shaq Thompson and Brian Burns),,
3,6:17,3,5,CAR 33,0,17,Tony Jones up the middle for no gain (tackle by Derrick Brown),,
3,5:31,,,,,,Timeout #1 by New Orleans Saints,,
3,5:31,4,5,CAR 33,0,17,Jameis Winston sacked by DaQuan Jones for -7 yards,,
3,5:25,1,10,CAR 40,0,17,Chuba Hubbard left guard for 9 yards (tackle by Paulson Adebo),,
3,4:51,2,1,CAR 49,0,17,Sam Darnold pass incomplete short left intended for D.J. Moore (defended by Desmond Trufant),,
3,4:45,3,1,CAR 49,0,17,Chuba Hubbard left guard for no gain (tackle by Albert Huggins and Zack Baun),,
3,4:07,4,1,CAR 49,0,17,"Joseph Charlton punts 39 yards, fair catch by Deonte Harty at NO-12",,
3,3:59,1,10,NOR 12,0,17,Tony Jones right guard for 1 yard (tackle by Shaq Thompson),,
3,3:18,2,9,NOR 13,0,17,Taysom Hill right tackle for 7 yards (tackle by Frankie Luvu),,
3,2:37,3,2,NOR 20,0,17,Alvin Kamara right end for 1 yard (tackle by Brian Burns),,
3,2:05,4,1,NOR 21,0,17,"Penalty on NOR: Delay of Game, 5 yards (accepted) (no play)",,
3,1:51,4,6,NOR 16,0,17,"Blake Gillikin punts 59 yards, returned by Alex Erickson for no gain (tackle by Ty Montgomery)",,
3,1:42,1,10,CAR 25,0,17,Sam Darnold pass short middle intended for Chuba Hubbard is intercepted by Malcolm Roach at CAR-23 and returned for 5 yards (tackle by Matt Paradis and Dennis Daley),,
3,1:34,1,10,CAR 18,0,17,Alvin Kamara right guard for 5 yards (tackle by Shaq Thompson),,
3,0:51,2,5,CAR 13,0,17,Taysom Hill scrambles up the middle for 9 yards (tackle by Jeremy Chinn),,
3,0:05,1,4,CAR 4,0,17,Jameis Winston pass complete short right to Ty Montgomery for 3 yards (tackle by Juston Burris),,
Quarter,Time,Down,ToGo,Location,NOR,CAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,1,CAR 1,0,17,Alvin Kamara right end for -7 yards (tackle by Donte Jackson and DaQuan Jones),,
4,14:43,3,8,CAR 8,6,17,"Jameis Winston scrambles up the middle for 8 yards, touchdown",,
4,14:37,,,CAR 15,7,17,Aldrick Rosas kicks extra point good,,
4,14:37,,,NOR 35,7,17,"Aldrick Rosas kicks off 65 yards, touchback.",,
4,14:37,1,10,CAR 25,7,17,Christian McCaffrey right tackle for 2 yards (tackle by Demario Davis and Cameron Jordan),,
4,13:55,2,8,CAR 27,7,17,Sam Darnold pass complete short right to Robbie Anderson for 4 yards (tackle by P.J. Williams),,
4,13:09,3,4,CAR 31,7,17,Sam Darnold pass complete short right to Christian McCaffrey for 8 yards (tackle by Demario Davis),,
4,12:30,1,10,CAR 39,7,17,Sam Darnold pass complete short left to Brandon Zylstra for 11 yards (tackle by Desmond Trufant),,
4,11:45,1,10,CAR 50,7,17,Christian McCaffrey left tackle for -2 yards (tackle by Payton Turner),,
4,10:57,2,12,CAR 48,7,17,Sam Darnold pass incomplete short right intended for D.J. Moore (defended by Marcus Williams),,
4,10:50,3,12,CAR 48,7,17,Sam Darnold sacked by Payton Turner for -4 yards,,
4,9:54,4,16,CAR 44,7,17,"Penalty on Stantley Thomas-Oliver: False Start, 5 yards (accepted) (no play)",,
4,9:54,4,21,CAR 39,7,17,Joseph Charlton punts 51 yards downed by Giovanni Ricci,,
4,9:42,1,10,NOR 10,7,17,Jameis Winston pass incomplete short left intended for Alvin Kamara,,
4,9:37,2,10,NOR 10,7,17,Tony Jones left tackle for 6 yards (tackle by DaQuan Jones and Sean Chandler),,
4,8:53,3,4,NOR 16,7,17,"Jameis Winston sacked by Brian Burns for no gain. Jameis Winston fumbles (forced by Brian Burns), recovered by DaQuan Jones at NO-11 Replay Assistant challenged the fumble ruling, and the original play was overturned. Jameis Winston pass incomplete short left intended for Chris Hogan",,
4,8:42,4,4,NOR 16,7,17,Blake Gillikin punts 37 yards out of bounds,,
4,8:42,1,10,CAR 47,7,17,Sam Darnold pass incomplete short left intended for Robbie Anderson,,
4,8:36,2,10,CAR 47,7,17,"Sam Darnold pass complete short left to Christian McCaffrey for no gain. Penalty on Christian Ringo: Roughing the Passer, 15 yards (accepted) (no play)",,
4,8:16,1,10,NOR 38,7,17,Sam Darnold pass incomplete deep left intended for Robbie Anderson,,
4,8:10,2,10,NOR 38,7,17,Sam Darnold pass incomplete short right intended for Christian McCaffrey,,
4,8:07,3,10,NOR 38,7,17,Sam Darnold pass complete short right to Terrace Marshall for 11 yards (tackle by Bradley Roby and P.J. Williams),,
4,7:22,1,10,NOR 27,7,17,Christian McCaffrey up the middle for no gain (tackle by Carl Granderson),,
4,6:35,2,10,NOR 27,7,17,Sam Darnold pass complete short right to Robbie Anderson for 16 yards (tackle by Marcus Williams),,
4,6:00,1,10,NOR 11,7,23,"Christian McCaffrey right tackle for 11 yards, touchdown",,
4,5:53,,,NOR 15,7,23,Zane Gonzalez kicks extra point no good,,
4,5:53,,,CAR 35,7,23,"Zane Gonzalez kicks off 50 yards, returned by Alex Armah for 17 yards (tackle by Julian Stanford and Clay Johnston)",,
4,5:47,1,10,NOR 32,7,23,Jameis Winston pass complete short left to Alvin Kamara for 8 yards (tackle by Jeremy Chinn),,
4,5:14,2,2,NOR 40,7,23,Jameis Winston pass incomplete short left intended for Alvin Kamara,,
4,5:10,3,2,NOR 40,7,23,Jameis Winston sacked by Brian Burns for -8 yards,,
4,4:32,4,10,NOR 32,7,23,Jameis Winston pass incomplete deep left intended for Lil'Jordan Humphrey,,
4,4:28,1,10,NOR 32,7,23,Chuba Hubbard left guard for no gain (tackle by Cameron Jordan),,
4,3:43,2,10,NOR 32,7,23,Christian McCaffrey left tackle for -1 yards (tackle by Demario Davis),,
4,3:36,,,,,,Timeout #1 by Carolina Panthers,,
4,3:36,3,11,NOR 33,7,23,Sam Darnold pass complete short left to D.J. Moore for 9 yards (tackle by Paulson Adebo),,
4,3:26,,,,,,Timeout #2 by New Orleans Saints,,
4,3:26,4,2,NOR 24,7,26,Zane Gonzalez 42 yard field goal good,,
4,3:21,,,CAR 35,7,26,"Zane Gonzalez kicks off 65 yards, returned by Deonte Harty for 33 yards (tackle by Keith Taylor)",,
4,3:14,1,10,NOR 33,7,26,Jameis Winston pass complete deep right to Juwan Johnson for 23 yards (tackle by Rashaan Melvin),,
4,2:49,1,10,CAR 44,7,26,"Jameis Winston pass deep middle intended for Juwan Johnson is intercepted by Jaycee Horn at CAR-15 and returned for 13 yards (tackle by Jameis Winston). Penalty on Frankie Luvu: Defensive Illegal Blindside Block, 14 yards (accepted)",,
4,2:36,1,10,CAR 14,7,26,Christian McCaffrey up the middle for 1 yard (tackle by Zack Baun),,
4,2:31,,,,,,Timeout #3 by New Orleans Saints,,
4,2:31,2,9,CAR 15,7,26,"Christian McCaffrey left tackle for 3 yards (tackle by Carl Granderson and Paulson Adebo). Penalty on Paulson Adebo: Personal Foul / Defense, 15 yards (accepted)",,
4,2:23,1,10,CAR 33,7,26,Chuba Hubbard up the middle for 2 yards (tackle by Cameron Jordan and Marcus Williams),,
4,2:00,2,8,CAR 35,7,26,Chuba Hubbard left end for -5 yards (tackle by Carl Granderson),,
4,1:15,3,13,CAR 30,7,26,Chuba Hubbard right tackle for 3 yards (tackle by Desmond Trufant and Cameron Jordan),,
4,0:30,,,,,,Timeout #2 by Carolina Panthers,,
4,0:30,4,10,CAR 33,7,26,"Joseph Charlton punts 37 yards, fair catch by Deonte Harty at NO-30",,
4,0:22,1,10,NOR 30,7,26,Jameis Winston kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
