Quarter,Time,Down,ToGo,Location,ARI,LVR,Detail,EPB,EPA
1,5:25,2,1,ARI 1,0,6,"Derek Carr pass complete short left to Davante Adams for 1 yard, touchdown",5.910,7.000
1,5:22,,,ARI 15,0,7,Daniel Carlson kicks extra point good,0.000,0.000
1,5:22,,,LVR 35,0,7,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
1,5:22,1,10,ARI 25,0,7,Kyler Murray pass complete short left to Marquise Brown for 6 yards (tackle by Nate Hobbs),0.610,0.870
1,4:47,2,4,ARI 31,0,7,James Conner up the middle for 3 yards (tackle by Maxx Crosby and Divine Deablo),0.870,0.560
1,4:05,3,1,ARI 34,0,7,James Conner left guard for 4 yards (tackle by Chandler Jones and Divine Deablo),0.560,1.470
1,3:23,1,10,ARI 38,0,7,Eno Benjamin up the middle for 3 yards (tackle by Andrew Billings and Jayon Brown),1.470,1.330
1,2:49,2,7,ARI 41,0,7,Kyler Murray sacked by Maxx Crosby for -7 yards,1.330,-0.290
1,2:05,,,,,,Timeout #1 by Arizona Cardinals,,
1,2:05,3,14,ARI 34,0,7,Kyler Murray pass complete short left to Marquise Brown for 10 yards (tackle by Divine Deablo),-0.290,-0.460
1,1:29,4,4,ARI 44,0,7,"Andy Lee punts 56 yards, touchback.",-0.460,-0.280
1,1:21,1,10,LVR 20,0,7,"Penalty on J.J. Watt: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.280,1.010
1,1:21,1,5,LVR 25,0,7,"Derek Carr pass complete deep left to Darren Waller for 19 yards (tackle by Jalen Thompson). Penalty on Marco Wilson: Illegal Contact, 5 yards (declined)",1.010,1.860
1,0:55,1,10,LVR 44,0,7,Josh Jacobs left guard for 4 yards (tackle by Budda Baker and Dennis Gardeck),1.860,1.860
1,0:11,2,6,LVR 48,0,7,Derek Carr pass complete short left to Foster Moreau for 19 yards (tackle by Nick Vigil),1.860,3.380
Quarter,Time,Down,ToGo,Location,ARI,LVR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ARI 33,0,7,"Penalty on Kolton Miller: False Start, 5 yards (accepted) (no play)",3.380,3.050
2,15:00,1,15,ARI 38,0,7,Derek Carr pass complete short left to Josh Jacobs for 12 yards (tackle by Tanner Vallejo),3.050,3.780
2,14:18,2,3,ARI 26,0,7,Derek Carr pass complete short left to Mack Hollins for 7 yards (tackle by Marco Wilson and Jace Whittaker),3.780,4.310
2,13:28,1,10,ARI 19,0,7,"Zamir White left tackle for no gain (tackle by Budda Baker and Nick Vigil). Penalty on Dylan Parham: Offensive Holding, 10 yards (accepted) (no play)",4.310,3.640
2,13:06,1,20,ARI 29,0,7,Derek Carr pass complete short left to Hunter Renfrow for 8 yards (tackle by Victor Dimukeje),3.640,3.490
2,12:28,2,12,ARI 21,0,7,Derek Carr pass complete short right to Mack Hollins for 7 yards (tackle by Byron Murphy),3.490,3.760
2,11:52,3,5,ARI 14,0,7,Derek Carr pass incomplete short right intended for Davante Adams,3.760,2.560
2,11:45,4,5,ARI 14,0,10,Daniel Carlson 32 yard field goal good,2.560,3.000
2,11:40,,,LVR 35,0,10,"Daniel Carlson kicks off 62 yards, returned by Eno Benjamin for 22 yards (tackle by Matthias Farley and Sam Webb)",0.000,0.610
2,11:32,1,10,ARI 25,0,10,James Conner right guard for 5 yards (tackle by Divine Deablo and Johnathan Hankins),0.610,0.740
2,11:04,2,5,ARI 30,0,10,Kyler Murray pass complete short middle to Zach Ertz for 5 yards (tackle by Jayon Brown),0.740,1.270
2,10:20,1,10,ARI 35,0,10,James Conner up the middle for 4 yards (tackle by Johnathan Abram),1.270,1.260
2,9:35,2,6,ARI 39,0,10,"Kyler Murray pass incomplete short right. Penalty on Kyler Murray: Intentional Grounding, 15 yards (accepted)",1.260,-1.420
2,9:28,3,21,ARI 24,0,10,Kyler Murray pass complete short right to James Conner for 5 yards (tackle by Amik Robertson),-1.420,-1.440
2,9:08,4,16,ARI 29,0,10,Andy Lee punts 30 yards out of bounds,-1.440,-1.660
2,9:02,1,10,LVR 41,0,10,Derek Carr pass incomplete deep middle intended for Darren Waller,1.660,1.120
2,8:58,2,10,LVR 41,0,10,Derek Carr pass complete short middle to Darren Waller for 13 yards (tackle by Zaven Collins and Devon Kennard),1.120,2.520
2,8:32,1,10,ARI 46,0,10,Derek Carr pass complete short middle to Hunter Renfrow for 20 yards (tackle by Nick Vigil),2.520,3.840
2,8:01,1,10,ARI 26,0,10,Derek Carr pass incomplete short left intended for Hunter Renfrow (defended by Jace Whittaker),3.840,3.300
2,7:56,2,10,ARI 26,0,10,Derek Carr pass incomplete deep left intended for Davante Adams,3.300,2.610
2,7:51,3,10,ARI 26,0,10,Derek Carr pass complete short left to Ameer Abdullah for 23 yards (tackle by Zaven Collins),2.610,6.510
2,7:04,1,3,ARI 3,0,16,"Derek Carr pass complete short left to Darren Waller for 3 yards, touchdown",6.510,7.000
2,7:00,,,ARI 15,0,17,Daniel Carlson kicks extra point good,0.000,0.000
2,7:00,,,LVR 35,0,17,"Daniel Carlson kicks off 63 yards, returned by Eno Benjamin for 18 yards (tackle by Sam Webb). Penalty on Dennis Gardeck: Offensive Illegal Block Above the Waist, 10 yards (accepted)",0.000,-0.380
2,6:53,1,10,ARI 10,0,17,Kyler Murray pass complete short middle to James Conner for 21 yards (tackle by Duron Harmon and Nate Hobbs),-0.380,1.000
2,6:17,1,10,ARI 31,0,17,Eno Benjamin left guard for 6 yards (tackle by Jayon Brown and Johnathan Abram),1.000,1.270
2,5:40,2,4,ARI 37,0,17,Eno Benjamin left tackle for 7 yards (tackle by Nate Hobbs),1.270,1.860
2,4:50,1,10,ARI 44,0,17,"Kyler Murray pass complete short right to A.J. Green for 11 yards (tackle by Amik Robertson). Penalty on Kelvin Beachum: Ineligible Downfield Pass, 5 yards (accepted) (no play)",1.860,1.530
2,4:50,1,15,ARI 39,0,17,Kyler Murray pass complete short middle to Zach Ertz for 6 yards (tackle by Divine Deablo),1.530,1.450
2,4:10,2,9,ARI 45,0,17,Kyler Murray pass incomplete deep right intended for James Conner,1.450,0.760
2,3:36,,,,,,Timeout #1 by Las Vegas Raiders,,
2,3:36,3,9,ARI 45,0,17,"Kyler Murray pass short middle is intercepted by Nate Hobbs at LV-45 and returned for no gain (tackle by Darrel Williams). Penalty on Nate Hobbs: Defensive Holding, 5 yards (accepted) (no play)",0.760,2.260
2,3:25,1,10,ARI 50,0,17,James Conner up the middle for 6 yards (tackle by Divine Deablo and Maxx Crosby),2.260,2.520
2,2:52,2,4,LVR 44,0,17,James Conner left guard for 2 yards (tackle by Andrew Billings),2.520,2.080
2,2:00,3,2,LVR 42,0,17,Kyler Murray pass deep right intended for Marquise Brown is intercepted by Amik Robertson at LV-20 and returned for 7 yards (tackle by Marquise Brown),2.080,-0.740
2,1:51,1,10,LVR 27,0,17,"Josh Jacobs up the middle for 5 yards (tackle by Jalen Thompson and Markus Golden). Penalty on Thayer Munford: Offensive Holding, 10 yards (accepted)",0.740,0.410
2,1:24,1,15,LVR 22,0,17,Josh Jacobs up the middle for 5 yards (tackle by Nick Vigil and Markus Golden),0.410,0.200
2,1:13,2,10,LVR 27,0,17,Derek Carr pass complete short middle to Foster Moreau for 17 yards (tackle by Zaven Collins),0.200,1.860
2,0:41,1,10,LVR 44,0,17,Josh Jacobs right guard for no gain (tackle by J.J. Watt),1.860,1.320
2,0:36,,,,,,Timeout #2 by Las Vegas Raiders,,
2,0:36,2,10,LVR 44,0,17,"Derek Carr pass complete to Ameer Abdullah for no gain. Penalty on Thayer Munford: Illegal Formation, 5 yards (accepted) (no play)",1.320,0.640
2,0:30,2,15,LVR 39,0,17,Derek Carr scrambles right end for 9 yards (tackle by Zaven Collins),0.640,1.160
2,0:18,,,,,,Timeout #3 by Las Vegas Raiders,,
2,0:18,3,6,LVR 48,0,17,Derek Carr pass complete short left to Davante Adams for 11 yards (tackle by Jalen Thompson),1.160,2.850
2,0:12,1,10,ARI 41,0,17,Derek Carr pass incomplete short left intended for Mack Hollins,2.850,2.310
2,0:09,2,10,ARI 41,0,17,Derek Carr pass complete short right to Hunter Renfrow for 4 yards,2.310,2.150
2,0:05,3,6,ARI 37,0,20,Daniel Carlson 55 yard field goal good,2.150,3.000
Quarter,Time,Down,ToGo,Location,ARI,LVR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LVR 35,0,20,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,ARI 25,0,20,James Conner left tackle for 1 yard (tackle by Divine Deablo and Chandler Jones),0.610,0.200
3,14:30,2,9,ARI 26,0,20,"Kyler Murray sacked by Bilal Nichols for no gain. Penalty on Bilal Nichols: Face Mask (15 Yards), 15 yards (accepted) (no play)",0.200,1.660
3,14:09,1,10,ARI 41,0,20,Kyler Murray pass incomplete short right intended for James Conner,1.660,1.120
3,14:02,2,10,ARI 41,0,20,Kyler Murray pass complete short left to Darrel Williams for 1 yard (tackle by Nate Hobbs),1.120,0.560
3,13:22,3,9,ARI 42,0,20,Kyler Murray pass incomplete short right,0.560,-0.590
3,13:15,4,9,ARI 42,0,20,Andy Lee punts 50 yards out of bounds,-0.590,0.380
3,13:07,1,10,LVR 8,0,20,Josh Jacobs up the middle for 1 yard (tackle by Zaven Collins),-0.380,-0.710
3,12:30,2,9,LVR 9,0,20,Derek Carr pass incomplete short right intended for Hunter Renfrow,-0.710,-1.300
3,12:21,3,9,LVR 9,0,20,Derek Carr pass complete short left to Darren Waller for 7 yards (tackle by Marco Wilson),-1.300,-2.390
3,11:42,4,2,LVR 16,0,20,"AJ Cole punts 66 yards, returned by Greg Dortch for 3 yards (tackle by Mack Hollins)",-2.390,-0.340
3,11:30,1,10,ARI 21,0,20,"Kyler Murray pass complete short left to A.J. Green for no gain (tackle by Nate Hobbs). Penalty on Kelvin Beachum: Illegal Formation, 5 yards (accepted) (no play)",0.340,-0.220
3,11:06,1,15,ARI 16,0,20,Kyler Murray pass complete short left to Greg Dortch for 29 yards (tackle by Nate Hobbs),-0.220,1.930
3,10:37,1,10,ARI 45,0,20,Kyler Murray pass complete short left to Zach Ertz for 13 yards (tackle by Johnathan Abram),1.930,2.790
3,10:13,1,10,LVR 42,0,20,"Kyler Murray right end for 10 yards (tackle by Duron Harmon). Penalty on A.J. Green: Offensive Holding, 10 yards (accepted)",2.790,2.790
3,9:29,,,,,,Timeout #1 by Arizona Cardinals,,
3,9:29,1,10,LVR 42,0,20,Darrel Williams left end for 8 yards (tackle by Amik Robertson),2.790,3.320
3,8:58,2,2,LVR 34,0,20,Darrel Williams left guard for 4 yards (tackle by Jayon Brown),3.320,3.580
3,8:22,1,10,LVR 30,0,20,Kyler Murray pass complete short left to Marquise Brown for 4 yards (tackle by Jayon Brown),3.580,3.570
3,7:44,2,6,LVR 26,0,20,Kyler Murray pass incomplete short right intended for Eno Benjamin,3.570,2.870
3,7:37,3,6,LVR 26,0,20,Kyler Murray pass complete short middle to Zach Ertz for 16 yards (tackle by Johnathan Abram),2.870,4.910
3,7:02,1,10,LVR 10,0,20,Eno Benjamin left guard for 5 yards (tackle by Johnathan Hankins and Divine Deablo),4.910,5.150
3,6:17,2,5,LVR 5,0,20,Kyler Murray pass incomplete short left intended for Marquise Brown,5.150,4.260
3,6:08,3,5,LVR 5,6,20,"Kyler Murray pass complete short right to Greg Dortch for 5 yards, touchdown",4.260,7.000
3,6:03,,,LVR 15,7,20,Matt Prater kicks extra point good,0.000,0.000
3,6:03,,,ARI 35,7,20,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
3,6:03,1,10,LVR 25,7,20,Josh Jacobs right guard for 6 yards (tackle by Jalen Thompson),0.610,0.870
3,5:21,2,4,LVR 31,7,20,Josh Jacobs up the middle for 9 yards (tackle by Budda Baker),0.870,1.600
3,4:43,1,10,LVR 40,7,20,"Zamir White right guard for no gain (tackle by Zaven Collins). Penalty on Mack Hollins: Illegal Formation, 5 yards (accepted) (no play)",1.600,1.270
3,4:16,1,15,LVR 35,7,20,"Derek Carr pass incomplete deep middle intended for Mack Hollins. Penalty on Marco Wilson: Defensive Pass Interference, 47 yards (accepted) (no play)",1.270,4.370
3,4:08,1,10,ARI 18,7,20,Zamir White left end for 2 yards (tackle by Budda Baker),4.370,4.090
3,3:22,2,8,ARI 16,7,20,Derek Carr pass complete short right to Hunter Renfrow for 9 yards (tackle by Jalen Thompson),4.090,5.600
3,2:39,1,7,ARI 7,7,20,Josh Jacobs left guard for no gain (tackle by Zach Allen),5.600,4.760
3,1:55,2,7,ARI 7,7,20,Derek Carr pass incomplete short left intended for Darren Waller (defended by Jalen Thompson),4.760,3.810
3,1:47,3,7,ARI 7,7,20,Derek Carr pass incomplete short middle intended for Hunter Renfrow,3.810,2.970
3,1:41,4,7,ARI 7,7,23,Daniel Carlson 25 yard field goal good,2.970,3.000
3,1:38,,,LVR 35,7,23,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,1:38,1,10,ARI 25,7,23,Kyler Murray pass complete short right to A.J. Green for 6 yards (tackle by Divine Deablo),0.610,0.870
3,1:04,2,4,ARI 31,7,23,Kyler Murray left guard for 8 yards (tackle by Jayon Brown),0.870,1.530
3,0:30,1,10,ARI 39,7,23,Kyler Murray pass incomplete deep right intended for A.J. Green,1.530,0.990
3,0:22,2,10,ARI 39,7,23,Kyler Murray pass complete short left to Andre Baccellia for 11 yards (tackle by Chandler Jones),0.990,2.260
Quarter,Time,Down,ToGo,Location,ARI,LVR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,ARI 50,7,23,Darrel Williams right tackle for 30 yards (tackle by Johnathan Abram),2.260,4.240
4,14:15,1,10,LVR 20,7,23,Kyler Murray pass complete short left to Eno Benjamin for 9 yards (tackle by Divine Deablo and Roderic Teamer),4.240,5.260
4,13:28,2,1,LVR 11,7,23,Eno Benjamin up the middle for no gain (tackle by Bilal Nichols),5.260,4.590
4,12:46,3,1,LVR 11,7,23,Kyler Murray pass incomplete short left intended for Marquise Brown,4.590,2.850
4,12:37,,,,,,Timeout #1 by Las Vegas Raiders,,
4,12:37,4,1,LVR 11,7,23,Kyler Murray pass incomplete short right intended for Zach Ertz,2.850,0.370
4,12:31,1,10,LVR 11,7,23,Derek Carr pass incomplete short middle intended for Davante Adams (defended by Zach Allen),-0.370,-0.780
4,12:29,2,10,LVR 11,7,23,Derek Carr pass incomplete short left intended for Mack Hollins,-0.780,-1.420
4,12:24,3,10,LVR 11,7,23,Derek Carr pass incomplete short right intended for Foster Moreau (defended by J.J. Watt),-1.420,-2.490
4,12:22,4,10,LVR 11,7,23,"AJ Cole punts 61 yards, returned by Greg Dortch for 18 yards (tackle by Trent Sieg)",-2.490,-1.990
4,12:07,1,10,ARI 46,7,23,Eno Benjamin up the middle for 1 yard (tackle by Maxx Crosby and Andrew Billings),1.990,1.590
4,11:43,2,9,ARI 47,7,23,Kyler Murray pass complete short left to Greg Dortch for 11 yards (tackle by Divine Deablo and Kendal Vickers),1.590,2.790
4,11:22,1,10,LVR 42,7,23,Kyler Murray pass complete short left to Eno Benjamin for 8 yards (tackle by Nate Hobbs),2.790,3.320
4,10:55,2,2,LVR 34,7,23,Darrel Williams right guard for 3 yards (tackle by Kendal Vickers and Divine Deablo),3.320,3.510
4,10:33,1,10,LVR 31,7,23,Kyler Murray pass complete short right to Andre Baccellia for 1 yard (tackle by Jayon Brown),3.510,3.100
4,9:59,2,9,LVR 30,7,23,Eno Benjamin left end for no gain (tackle by Nate Hobbs) (no play),3.100,2.430
4,9:25,,,,,,Timeout #2 by Arizona Cardinals,,
4,9:25,2,14,LVR 35,7,23,Kyler Murray pass complete short right to Greg Dortch for 10 yards (tackle by Rock Ya-Sin and Jayon Brown),2.430,3.070
4,8:45,3,4,LVR 25,7,23,Kyler Murray pass incomplete short right intended for A.J. Green (defended by Rock Ya-Sin),3.070,1.880
4,8:35,4,4,LVR 25,7,23,"Kyler Murray pass complete to Marquise Brown for no gain, touchdown. Penalty on Amik Robertson: Defensive Pass Interference, 15 yards (declined) Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Kyler Murray pass complete deep left to Marquise Brown for 24 yards (tackle by Amik Robertson). Penalty on Amik Robertson: Defensive Pass Interference, 15 yards (declined)",1.880,6.970
4,8:17,1,1,LVR 1,13,23,"Darrel Williams up the middle for 1 yard, touchdown",6.970,7.000
4,8:13,,,LVR 2,15,23,"Two Point Attempt: Kyler Murray rushes, conversion succeeds.",1.000,1.000
4,8:13,1,2,ARI 35,15,23,"Matt Prater kicks off 65 yards, touchback.",3.890,0.610
4,8:13,1,10,LVR 25,15,23,Josh Jacobs up the middle for 7 yards (tackle by Ben Niemann and Zaven Collins),0.610,1.010
4,7:40,2,3,LVR 32,15,23,Josh Jacobs up the middle for 3 yards (tackle by Budda Baker),1.010,1.270
4,6:56,1,10,LVR 35,15,23,Josh Jacobs up the middle for -4 yards (tackle by Rashard Lawrence),1.270,0.180
4,6:17,2,14,LVR 31,15,23,Derek Carr pass complete short middle to Darren Waller for 4 yards (tackle by Dennis Gardeck),0.180,0.040
4,5:39,3,10,LVR 35,15,23,Derek Carr pass complete short right to Darren Waller for 4 yards (tackle by Dennis Gardeck and Jace Whittaker),0.040,-0.780
4,4:58,4,6,LVR 39,15,23,AJ Cole punts 34 yards downed by Foster Moreau,-0.780,-0.740
4,4:43,1,10,ARI 27,15,23,Kyler Murray pass complete short right to A.J. Green for no gain (tackle by Amik Robertson),0.740,0.200
4,4:17,2,10,ARI 27,15,23,Kyler Murray pass complete short right to A.J. Green for 10 yards (tackle by Jayon Brown),0.200,1.400
4,3:50,1,10,ARI 37,15,23,Kyler Murray pass complete short middle to Zach Ertz for 11 yards (tackle by Jayon Brown),1.400,2.130
4,3:26,1,10,ARI 48,15,23,Kyler Murray pass incomplete short left intended for Marquise Brown (defended by Johnathan Hankins),2.130,1.580
4,3:25,2,10,ARI 48,15,23,Darrel Williams up the middle for 9 yards (tackle by Divine Deablo and Kendal Vickers),1.580,2.080
4,3:03,3,1,LVR 43,15,23,Darrel Williams left guard for no gain (tackle by Kendal Vickers),2.080,0.400
4,2:28,4,1,LVR 43,15,23,Kyler Murray scrambles right end for 2 yards (tackle by Johnathan Abram),0.400,2.850
4,2:20,1,10,LVR 41,15,23,"Kyler Murray sacked by Maxx Crosby for no gain. Penalty on Rock Ya-Sin: Defensive Holding, 5 yards (accepted) (no play)",2.850,3.180
4,2:17,1,10,LVR 36,15,23,Kyler Murray pass complete short left to Zach Ertz for 6 yards (tackle by Divine Deablo),3.180,3.450
4,2:00,2,4,LVR 30,15,23,Kyler Murray left end for 5 yards (tackle by Johnathan Abram and Jayon Brown),3.450,3.910
4,1:55,1,10,LVR 25,15,23,Kyler Murray pass complete short left to Eno Benjamin for 3 yards (tackle by Nate Hobbs),3.910,3.770
4,1:36,2,7,LVR 22,15,23,Kyler Murray pass complete short right to Zach Ertz for 10 yards (tackle by Duron Harmon),3.770,4.780
4,1:09,1,10,LVR 12,15,23,Eno Benjamin right tackle for 6 yards (tackle by Jayon Brown),4.780,5.210
4,0:39,2,4,LVR 6,15,23,Kyler Murray pass incomplete short middle intended for Darrel Williams,5.210,4.380
4,0:34,,,,,,Timeout #3 by Arizona Cardinals,,
4,0:34,3,4,LVR 6,15,23,"Kyler Murray pass complete to A.J. Green for 5 yards Replay Assistant challenged the pass completion ruling, and the original play was overturned. Kyler Murray pass incomplete short right intended for A.J. Green (defended by Rock Ya-Sin)",4.380,3.000
4,0:30,,,,,,Timeout #2 by Las Vegas Raiders,,
4,0:30,4,4,LVR 6,15,23,"Kyler Murray pass incomplete short left intended for Marquise Brown. Penalty on Roderic Teamer: Defensive Holding, 3 yards (accepted) (no play)",3.000,6.510
4,0:18,1,3,LVR 3,15,23,Kyler Murray pass incomplete short right intended for A.J. Green (defended by Rock Ya-Sin),6.510,5.530
4,0:11,2,3,LVR 3,15,23,Kyler Murray pass incomplete short left intended for Zach Ertz (defended by Johnathan Abram),5.530,4.720
4,0:08,3,3,LVR 3,15,23,Kyler Murray pass incomplete short left intended for Zach Ertz,4.720,3.040
4,0:05,4,3,LVR 3,21,23,"Kyler Murray scrambles left tackle for 3 yards, touchdown",3.040,7.000
4,0:00,,,,,,Timeout #3 by Las Vegas Raiders,,
4,0:00,,,LVR 15,21,23,"Penalty on ARI: Delay of Game, 5 yards (accepted) (no play)",0.000,1.000
4,0:00,1,7,LVR 2,23,23,"Two Point Attempt: Kyler Murray pass complete to to A.J. Green for no gain Replay Assistant challenged the pass completion ruling, and the play was upheld.",1.000,1.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,ARI,LVR,Detail,EPB,EPA
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the overtime kickoff.",,
OT,10:00,,,LVR 35,23,23,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
OT,10:00,1,10,ARI 25,23,23,Kyler Murray pass complete short right to Zach Ertz for 8 yards (tackle by Duron Harmon),0.610,1.140
OT,9:28,2,2,ARI 33,23,23,Eno Benjamin left guard for 3 yards (tackle by Divine Deablo),1.140,1.330
OT,8:53,1,10,ARI 36,23,23,Kyler Murray pass complete short left to Stephen Anderson for 2 yards (tackle by Nate Hobbs),1.330,1.060
OT,8:23,2,8,ARI 38,23,23,Kyler Murray pass complete short middle to Marquise Brown for 16 yards (tackle by Nate Hobbs),1.060,2.520
OT,7:40,1,10,LVR 46,23,23,"Penalty on Zach Ertz: False Start, 5 yards (accepted) (no play)",2.520,2.190
OT,7:40,1,15,ARI 49,23,23,Kyler Murray pass complete short middle to Marquise Brown for 8 yards (tackle by Divine Deablo),2.190,2.380
OT,7:06,2,7,LVR 43,23,23,Kyler Murray pass complete short left to Darrel Williams for 2 yards (tackle by Nate Hobbs),2.380,1.950
OT,6:25,3,5,LVR 41,23,23,Darrel Williams left end for 4 yards (tackle by Nate Hobbs and Duron Harmon),1.950,0.790
OT,5:36,,,,,,Timeout #1 by Arizona Cardinals,,
OT,5:36,4,1,LVR 37,23,23,Kyler Murray pass incomplete deep left intended for Marquise Brown (defended by Duron Harmon),0.790,-1.400
OT,5:30,1,10,LVR 37,23,23,Derek Carr pass incomplete short right intended for Davante Adams,1.400,0.860
OT,5:26,2,10,LVR 37,23,23,Derek Carr pass complete short left to Hunter Renfrow for 7 yards (tackle by Isaiah Simmons),0.860,1.090
OT,4:45,,,,,,Timeout #1 by Las Vegas Raiders,,
OT,4:45,,,,,,Timeout #2 by Arizona Cardinals,,
OT,4:45,3,3,LVR 44,23,23,"Derek Carr pass complete to Hunter Renfrow for 11 yards. Hunter Renfrow fumbles (forced by Zaven Collins) (tackle by Jalen Thompson), recovered by Foster Moreau at ARI-39",1.090,2.980
OT,4:12,1,10,ARI 39,23,23,Derek Carr pass incomplete deep middle intended for Davante Adams,2.980,2.440
OT,4:05,2,10,ARI 39,29,23,"Derek Carr pass complete short left to Hunter Renfrow for no gain. Hunter Renfrow fumbles (forced by Isaiah Simmons), recovered by Byron Murphy at ARI-41 and returned for 59 yards, touchdown Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",2.440,-6.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
