Quarter,Time,Down,ToGo,Location,KAN,PHI,Detail,EPB,EPA
4,5:15,1,10,KAN 25,35,35,Isiah Pacheco left tackle for 3 yards (tackle by Javon Hargrave),0.610,0.470
4,4:37,2,7,KAN 28,35,35,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 10 yards (tackle by Darius Slay),0.470,1.470
4,4:32,1,10,KAN 38,35,35,Isiah Pacheco up the middle for 2 yards (tackle by C.J. Gardner-Johnson and Javon Hargrave),1.470,1.190
4,4:11,2,8,KAN 40,35,35,Patrick Mahomes pass complete short right to Travis Kelce for 7 yards (tackle by Kyzir White and Marcus Epps),1.190,1.420
4,3:37,3,1,KAN 47,35,35,Isiah Pacheco left end for 10 yards (tackle by C.J. Gardner-Johnson),1.420,2.720
4,2:55,1,10,PHI 43,35,35,Patrick Mahomes scrambles up the middle for 26 yards (tackle by Kyzir White),2.720,4.440
4,2:07,1,10,PHI 17,35,35,Isiah Pacheco up the middle for 2 yards (tackle by Kyzir White),4.440,4.150
4,2:00,2,8,PHI 15,35,35,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for no gain (tackle by Avonte Maddox and T.J. Edwards),4.150,3.340
4,1:54,,,,,,Timeout #2 by Philadelphia Eagles,,
4,1:54,3,8,PHI 15,35,35,"Patrick Mahomes pass incomplete short left intended for JuJu Smith-Schuster. Penalty on James Bradberry: Defensive Holding, 4 yards (accepted) (no play)",3.340,4.840
4,1:48,1,10,PHI 11,35,35,Jerick McKinnon left end for 9 yards,4.840,5.850
4,1:36,,,,,,Timeout #3 by Philadelphia Eagles,,
4,1:36,2,1,PHI 2,35,35,Patrick Mahomes kneels for -5 yards,5.850,3.980
4,0:54,,,,,,Timeout #2 by Kansas City Chiefs,,
4,0:54,3,6,PHI 7,35,35,Patrick Mahomes kneels for -2 yards,3.980,2.830
4,0:11,,,,,,Timeout #3 by Kansas City Chiefs,,
4,0:11,4,8,PHI 9,38,35,Harrison Butker 27 yard field goal good,2.830,3.000
4,0:08,,,KAN 35,38,35,"Harrison Butker kicks off 40 yards, returned by Kenneth Gainwell for 11 yards (tackle by Darius Harris)",0.000,1.330
4,0:06,1,10,PHI 36,38,35,Jalen Hurts pass incomplete deep middle,1.330,0.790
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
