Quarter,Time,Down,ToGo,Location,DET,DEN,Detail,EPB,EPA
1,8:01,,,,0,0,Timeout #1 by Detroit Lions,0.000,1.530
1,8:01,1,10,DET 39,0,0,Shawn Bryson right guard for 28 yards (tackle by Kelly Herndon),1.530,3.380
1,7:15,1,10,DEN 33,6,0,"Joey Harrington pass complete to Charles Rogers for 33 yards, touchdown",3.380,7.000
1,,,,DEN 2,7,0,Jason Hanson kicks extra point good,0.000,0.000
1,,,,DET 30,7,0,"Jason Hanson kicks off 70 yards, touchback",0.000,0.280
1,7:07,1,10,DEN 20,7,0,Quentin Griffin right end for 6 yards (tackle by Otis Smith),0.280,0.540
1,6:30,2,4,DEN 26,7,0,Jake Plummer pass complete to Shannon Sharpe for 4 yards (tackle by Brian Walker),0.540,0.940
1,5:50,1,10,DEN 30,7,0,"Jake Plummer for no gain. Jake Plummer fumbles, recovered by Jake Plummer at DEN-26",0.940,-0.820
1,5:15,2,19,DEN 21,7,0,Jake Plummer pass complete to Ashley Lelie for 15 yards (tackle by Dre' Bly),-0.820,0.500
1,4:33,3,4,DEN 36,7,0,Jake Plummer pass complete to Ashley Lelie for 16 yards (tackle by Brian Walker),0.500,2.390
1,3:51,,,,7,0,Timeout #2 by Detroit Lions,0.000,2.390
1,3:51,1,10,DET 48,7,0,Quentin Griffin left tackle for 5 yards (tackle by Shaun Rogers),2.390,2.520
1,3:12,2,5,DET 43,7,0,Quentin Griffin left tackle for -1 yards (tackle by Earl Holmes and Barrett Green),2.520,1.690
1,2:29,3,6,DET 44,7,0,Jake Plummer pass complete to Shannon Sharpe for 15 yards (tackle by Barrett Green),1.690,3.640
1,2:04,1,10,DET 29,7,6,"Jake Plummer pass complete to Ashley Lelie for 29 yards, touchdown",3.640,7.000
1,,,,DET 2,7,7,Jason Elam kicks extra point good,0.000,0.000
1,,,,DEN 30,7,7,"Micah Knorr kicks off 70 yards, touchback",0.000,0.280
1,1:56,1,10,DET 20,7,7,Joey Harrington pass complete to Olandis Gary for -2 yards (tackle by Al Wilson),0.280,-0.630
1,1:14,2,12,DET 18,7,7,Shawn Bryson up the middle for 7 yards (tackle by Al Wilson),-0.630,-0.300
1,0:32,3,5,DET 25,7,7,Joey Harrington pass incomplete intended for Az-Zahir Hakim (defended by Kelly Herndon),-0.300,-1.700
1,0:26,4,5,DET 25,7,7,"John Jett punts 40 yards, returned by Deltha O'Neal for 9 yards (tackle by Corey Harris)",-1.700,-1.860
1,0:17,1,10,DEN 44,7,7,Jake Plummer pass complete to Shannon Sharpe for 8 yards (tackle by Earl Holmes),1.860,2.400
Quarter,Time,Down,ToGo,Location,DET,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,DET 48,7,7,Jake Plummer pass complete to Rod Smith for 22 yards (tackle by Corey Harris),2.400,3.840
2,14:17,1,10,DET 26,7,7,Jake Plummer sacked by Shaun Rogers for -7 yards,3.840,2.350
2,13:54,2,17,DET 33,7,7,Jake Plummer pass complete to Ashley Lelie for 16 yards (tackle by Corey Harris),2.350,3.950
2,13:15,3,1,DET 17,7,7,"Mike Anderson left tackle for 5 yards (tackle by Bracy Walker). Penalty on DET: Defensive 12 On-field, 5 yards (no play)",3.950,4.780
2,12:49,1,10,DET 12,7,7,Jake Plummer pass complete to Rod Smith for 7 yards (tackle by Boss Bailey),4.780,5.410
2,12:04,2,3,DET 5,7,7,Mike Anderson up the middle for 4 yards (tackle by James Hall),5.410,6.970
2,11:21,1,1,DET 1,7,7,Mike Anderson left tackle for no gain (tackle by Earl Holmes),6.970,5.910
2,10:40,2,1,DET 1,7,13,"Jake Plummer pass complete to Shannon Sharpe for 1 yard, touchdown",5.910,7.000
2,,,,DET 2,7,14,Jason Elam kicks extra point good,0.000,0.000
2,,,,DEN 30,7,14,"Micah Knorr kicks off 70 yards, touchback",0.000,0.280
2,10:36,1,10,DET 20,7,14,Joey Harrington pass incomplete intended for Charles Rogers,0.280,-0.270
2,10:32,2,10,DET 20,7,14,Shawn Bryson left end for no gain (tackle by Kelly Herndon and Nick Ferguson),-0.270,-0.960
2,9:52,3,10,DET 20,7,14,Joey Harrington pass complete to Casey Fitzsimmons for 15 yards (tackle by Ian Gold),-0.960,1.270
2,9:33,1,10,DET 35,7,14,Olandis Gary right tackle for 3 yards (tackle by Al Wilson),1.270,1.130
2,8:54,2,7,DET 38,7,14,Joey Harrington pass complete to Charles Rogers for 9 yards (tackle by Kelly Herndon),1.130,2.060
2,8:07,1,10,DET 47,7,14,Olandis Gary for 10 yards,2.060,2.720
2,7:40,1,10,DEN 43,7,14,Joey Harrington pass incomplete intended for Charles Rogers,2.720,2.180
2,7:35,2,10,DEN 43,7,14,Shawn Bryson left tackle for 9 yards (tackle by Al Wilson and Deltha O'Neal),2.180,2.680
2,6:52,3,1,DEN 34,7,14,Shawn Bryson right tackle for -1 yards (tackle by Ian Gold),2.680,0.990
2,6:06,4,2,DEN 35,10,14,Jason Hanson 53 yard field goal good,0.990,3.000
2,,,,DET 30,10,14,"Jason Hanson kicks off 70 yards, touchback",0.000,0.280
2,6:00,1,10,DEN 20,10,14,Jake Plummer pass complete to Rod Smith for 12 yards (tackle by Dre' Bly),0.280,1.070
2,5:21,1,10,DEN 32,10,14,Quentin Griffin right end for 1 yard (tackle by James Davis),1.070,0.660
2,4:37,2,9,DEN 33,10,14,Jake Plummer pass complete to Ed McCaffrey for 4 yards (tackle by Earl Holmes),0.660,0.500
2,3:56,,,,10,14,Timeout #3 by Detroit Lions,0.000,0.500
2,3:55,3,5,DEN 37,10,14,Jake Plummer up the middle for 20 yards (tackle by Brian Walker),0.500,2.720
2,3:13,1,10,DET 43,10,14,Jake Plummer pass complete to Shannon Sharpe for 18 yards (tackle by Dre' Bly),2.720,3.910
2,2:28,1,10,DET 25,10,14,Quentin Griffin left end for -4 yards (tackle by James Hall),3.910,2.820
2,2:00,2,14,DET 29,10,14,Jake Plummer pass complete to Shannon Sharpe for 8 yards (tackle by Dre' Bly),2.820,3.200
2,1:13,,,,10,14,Timeout #1 by Denver Broncos,0.000,3.200
2,1:13,3,6,DET 21,10,14,"Jake Plummer right guard for 7 yards. Jake Plummer fumbles, recovered by Jimmy Wyrick at DET-11 and returned for 7 yards (tackle by Ed McCaffrey)",3.200,-0.040
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,1:05,1,10,DET 18,10,14,Joey Harrington pass incomplete intended for Shawn Bryson,0.040,-0.490
2,1:01,2,10,DET 18,10,14,Shawn Bryson right tackle for 9 yards (tackle by Al Wilson),-0.490,-0.020
2,0:33,3,1,DET 27,10,14,Joey Harrington up the middle for 4 yards (tackle by Kelly Herndon),-0.020,1.000
2,0:15,1,10,DET 31,10,14,Joey Harrington pass incomplete intended for Az-Zahir Hakim (defended by Sam Brandon),1.000,0.460
2,0:10,2,10,DET 31,10,14,Avon Cobourne up the middle for 19 yards (tackle by Al Wilson and Kelly Herndon),0.460,2.260
Quarter,Time,Down,ToGo,Location,DET,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 30,10,14,"Jason Hanson kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,DEN 20,10,14,Jake Plummer pass incomplete intended for Reuben Droughns,0.280,-0.270
3,14:56,2,10,DEN 20,10,14,Mike Anderson right guard for 7 yards (tackle by Earl Holmes),-0.270,-0.030
3,14:16,3,3,DEN 27,10,14,Mike Anderson left guard for 1 yard (tackle by James Hall),-0.030,-1.500
3,13:38,4,2,DEN 28,10,14,"Micah Knorr punts 37 yards, returned by Az-Zahir Hakim for 7 yards (tackle by Ian Gold)",-1.500,-1.730
3,13:28,1,10,DET 42,10,14,Olandis Gary right tackle for 4 yards (tackle by Nick Ferguson),1.730,1.730
3,12:53,2,6,DET 46,10,14,"Penalty on Ray Brown: False Start, 5 yards (no play)",1.730,1.050
3,12:35,2,11,DET 41,10,14,Shawn Bryson up the middle for 1 yard (tackle by Nick Ferguson),1.050,0.500
3,11:53,3,10,DET 42,10,14,"Joey Harrington pass incomplete intended for Charles Rogers. Penalty on Lenny Walls: Defensive Pass Interference, 10 yards (no play)",0.500,2.390
3,11:49,1,10,DEN 48,10,14,Joey Harrington pass incomplete intended for Charles Rogers,2.390,1.850
3,11:44,2,10,DEN 48,10,14,Joey Harrington pass incomplete intended for Charles Rogers,1.850,1.160
3,11:39,3,10,DEN 48,10,14,Joey Harrington pass incomplete intended for Charles Rogers,1.160,0.070
3,11:39,4,10,DEN 48,10,14,John Jett punts 44 yards,0.070,0.380
3,11:21,1,10,DEN 4,10,14,Quentin Griffin left guard for 2 yards (tackle by Barrett Green),-0.380,-0.630
3,10:46,2,8,DEN 6,10,14,Jake Plummer pass incomplete intended for Dwayne Carswell,-0.630,-1.190
3,10:40,3,8,DEN 6,10,14,Jake Plummer pass incomplete (defended by Dre' Bly),-1.190,-2.490
3,10:36,4,8,DEN 6,10,14,"Micah Knorr punts 53 yards, returned by Az-Zahir Hakim for 2 yards (tackle by Willie Middlebrooks)",-2.490,-1.800
3,10:27,1,10,DET 43,10,14,"Joey Harrington pass complete to Az-Zahir Hakim for 5 yards (tackle by Monsanto Pope). Az-Zahir Hakim fumbles (forced by Monsanto Pope), recovered by Jeff Backus at DET-48",1.800,1.930
3,9:45,2,5,DET 48,10,14,Olandis Gary right guard for 2 yards (tackle by Monsanto Pope),1.930,1.490
3,9:05,3,3,DEN 50,10,14,Joey Harrington for 5 yards (tackle by Reggie Hayward),1.490,2.590
3,8:26,1,10,DEN 45,10,14,"Joey Harrington pass complete to Mikhael Ricks for 15 yards (tackle by Bertrand Berry). Penalty on Dominic Raiola: Chop Block, 15 yards (no play)",2.590,1.600
3,8:00,1,25,DET 40,10,14,Joey Harrington pass complete to Shawn Bryson for -1 yards (tackle by Deltha O'Neal),1.600,-0.120
3,7:15,2,26,DET 39,10,14,Joey Harrington sacked by Trevor Pryce and Mario Fatafehi for -8 yards,-0.120,-1.810
3,6:38,3,34,DET 31,10,14,Shawn Bryson for 6 yards (tackle by Ian Gold),-1.810,-0.910
3,6:08,4,28,DET 37,10,14,"John Jett punts 39 yards, returned by Deltha O'Neal for no gain",-0.910,-0.540
3,6:00,1,10,DEN 24,10,14,Jake Plummer pass complete to Rod Smith for 8 yards (tackle by James Davis),0.540,1.080
3,5:22,2,2,DEN 32,10,14,Mike Anderson up the middle for 8 yards (tackle by Kalimba Edwards),1.080,1.600
3,4:41,1,10,DEN 40,10,14,Jake Plummer pass complete to Shannon Sharpe for 20 yards (tackle by Corey Harris),1.600,2.920
3,3:55,1,10,DET 40,10,14,Jake Plummer pass complete to Dwayne Carswell for 7 yards (tackle by Otis Smith),2.920,3.320
3,3:16,2,3,DET 33,10,14,Jake Plummer pass complete to Rod Smith for 12 yards (tackle by Dre' Bly),3.320,4.170
3,2:38,1,10,DET 21,10,14,"Penalty on Dan Neil: False Start, 5 yards (no play)",4.170,3.840
3,2:19,1,15,DET 26,10,14,"Jake Plummer pass incomplete intended for Shannon Sharpe. Penalty on Dan Neil: Offensive Holding, 10 yards (no play)",3.840,3.180
3,2:14,1,25,DET 36,10,14,Jake Plummer pass incomplete intended for Ashley Lelie (defended by Dre' Bly),3.180,1.600
3,2:10,2,25,DET 36,10,14,Jake Plummer pass complete to Chris Cole for 12 yards (tackle by Alex Molden),1.600,2.540
3,1:26,,,,10,14,Timeout #1 by Detroit Lions,0.000,2.540
3,1:26,3,13,DET 24,10,14,"Penalty on James Hall: Defensive Offside, 5 yards (no play)",2.540,3.180
3,1:26,3,8,DET 19,10,14,Jake Plummer pass incomplete intended for Chris Cole,3.180,2.180
3,1:21,4,8,DET 19,10,17,Jason Elam 37 yard field goal good,2.180,3.000
3,,,,DEN 30,10,17,"Micah Knorr kicks off 62 yards, returned by Avon Cobourne for 22 yards (tackle by Jashon Sykes)",0.000,0.940
3,1:12,1,10,DET 30,10,17,Joey Harrington pass complete to Cory Schlesinger for 8 yards (tackle by John Mobley),0.940,1.470
3,0:35,2,2,DET 38,10,17,Shawn Bryson right end for 1 yard (tackle by Nick Ferguson),1.470,0.890
3,0:09,3,1,DET 39,10,17,Joey Harrington up the middle for 1 yard (tackle by John Mobley),0.890,1.600
Quarter,Time,Down,ToGo,Location,DET,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DET 40,10,17,"Olandis Gary left tackle for 20 yards (tackle by Sam Brandon). Penalty on Bill Schroeder: Offensive Holding, 10 yards",1.600,2.260
4,14:32,1,10,DEN 50,10,17,Joey Harrington pass incomplete intended for Charles Rogers,2.260,1.710
4,14:28,2,10,DEN 50,10,17,Shawn Bryson right tackle for 7 yards (tackle by Al Wilson and Nick Ferguson),1.710,1.950
4,13:47,3,3,DEN 43,16,17,"Joey Harrington pass complete to Scotty Anderson for 43 yards, touchdown",1.950,7.000
4,,,,DEN 2,16,17,Jason Hanson kicks extra point no good,0.000,-1.000
4,,,,DET 30,16,17,"Jason Hanson kicks off 72 yards, returned by Chris Cole for 24 yards (tackle by James Davis). Penalty on Donnie Spragan: Illegal Block Above the Waist, 10 yards",0.000,-0.350
4,13:29,1,10,DEN 12,16,17,Jake Plummer for 11 yards,-0.350,0.480
4,12:55,1,10,DEN 23,16,17,Jake Plummer pass complete to Mike Anderson for 4 yards (tackle by Barrett Green),0.480,0.470
4,12:24,2,6,DEN 27,16,17,"Quentin Griffin up the middle for -7 yards (tackle by Dan Wilkinson). Quentin Griffin fumbles (forced by Dan Wilkinson), recovered by Jake Plummer at DEN-20",0.470,-1.150
4,11:36,3,13,DEN 20,16,17,Jake Plummer pass incomplete intended for Ashley Lelie (defended by Jimmy Wyrick),-1.150,-2.030
4,11:30,4,13,DEN 20,16,17,"Micah Knorr punts 50 yards, returned by Dre' Bly for 2 yards (tackle by Donnie Spragan)",-2.030,-1.070
4,11:19,1,10,DET 32,16,17,Olandis Gary up the middle for 1 yard (tackle by Trevor Pryce),1.070,0.660
4,10:34,2,9,DET 33,16,17,"Joey Harrington pass incomplete intended for Cory Schlesinger. Penalty on Monsanto Pope: Defensive Holding, 5 yards (no play)",0.660,1.470
4,10:25,1,10,DET 38,16,17,Joey Harrington pass incomplete intended for Casey Fitzsimmons,1.470,0.920
4,10:21,2,10,DET 38,16,17,Joey Harrington pass incomplete intended for Charles Rogers (defended by Kelly Herndon),0.920,0.230
4,10:17,3,10,DET 38,16,17,Joey Harrington pass complete to Charles Rogers for 10 yards (tackle by Lenny Walls),0.230,2.130
4,9:40,1,10,DET 48,16,17,"Penalty on Darius Holland: Neutral Zone Infraction, 4 yards (no play)",2.130,2.710
4,9:15,1,6,DEN 48,16,17,Joey Harrington pass incomplete intended for Charles Rogers,2.710,2.120
4,9:11,2,6,DEN 48,16,17,"Penalty on Casey Fitzsimmons: False Start, 5 yards (no play)",2.120,1.450
4,9:11,2,11,DET 47,16,17,"Joey Harrington pass complete to Charles Rogers for 10 yards (tackle by Nick Ferguson). Penalty on Dominic Raiola: Chop Block, 15 yards (no play)",1.450,-0.580
4,8:41,2,26,DET 32,16,17,Joey Harrington pass complete to Shawn Bryson for 10 yards (tackle by Reggie Hayward),-0.580,0.100
4,7:59,3,16,DET 42,16,17,Joey Harrington pass incomplete intended for Az-Zahir Hakim,0.100,-0.590
4,7:53,4,16,DET 42,16,17,"John Jett punts 58 yards, touchback",-0.590,-0.280
4,7:42,1,10,DEN 20,16,17,Jake Plummer pass complete to Quentin Griffin for 5 yards (tackle by Earl Holmes),0.280,0.410
4,7:04,2,5,DEN 25,16,17,Jake Plummer pass complete to Quentin Griffin for 6 yards (tackle by Boss Bailey),0.410,1.000
4,6:21,1,10,DEN 31,16,17,Quentin Griffin left end for 8 yards (tackle by Dre' Bly),1.000,1.540
4,5:55,2,2,DEN 39,16,17,Quentin Griffin left guard for 2 yards (tackle by Robert Porcher),1.540,1.660
4,5:23,1,10,DEN 41,16,17,"Jake Plummer pass incomplete intended for Ashley Lelie. Penalty on Otis Smith: Defensive Pass Interference, 14 yards (no play)",1.660,2.590
4,5:19,1,10,DET 45,16,17,Jake Plummer left end for 4 yards (tackle by Boss Bailey),2.590,2.580
4,4:52,2,6,DET 41,16,17,Jake Plummer pass complete to Mike Anderson for 18 yards (tackle by Dre' Bly),2.580,4.040
4,4:06,1,10,DET 23,16,17,Mike Anderson up the middle for no gain (tackle by Robert Porcher),4.040,3.500
4,3:25,2,10,DET 23,16,17,Jake Plummer pass incomplete intended for Reuben Droughns,3.500,2.810
4,3:21,,,,16,17,Timeout #2 by Detroit Lions,0.000,2.810
4,3:21,3,10,DET 23,16,17,Jake Plummer pass incomplete intended for Ed McCaffrey,2.810,1.930
4,3:17,4,10,DET 23,16,20,Jason Elam 41 yard field goal good,1.930,3.000
4,,,,DEN 30,16,20,"Micah Knorr kicks off 69 yards, returned by Avon Cobourne for 19 yards (tackle by Reuben Droughns)",0.000,0.280
4,3:08,1,10,DET 20,16,20,Joey Harrington pass complete to Shawn Bryson for -4 yards (tackle by Mario Fatafehi),0.280,-0.940
4,2:38,2,14,DET 16,16,20,Joey Harrington pass complete to Az-Zahir Hakim for 4 yards (tackle by Ian Gold),-0.940,-0.960
4,2:28,,,,16,20,Timeout #3 by Detroit Lions,0.000,-0.960
4,2:28,3,10,DET 20,16,20,Joey Harrington pass complete to Shawn Bryson for 2 yards (tackle by Ian Gold),-0.960,-1.900
4,2:00,4,8,DET 22,16,20,Joey Harrington pass complete to Charles Rogers for 10 yards (tackle by Deltha O'Neal),-1.900,1.070
4,1:41,1,10,DET 32,16,20,Joey Harrington pass incomplete (defended by Bertrand Berry),1.070,0.530
4,1:35,2,10,DET 32,16,20,Joey Harrington pass incomplete intended for Charles Rogers (defended by Ian Gold),0.530,-0.160
4,1:30,3,10,DET 32,16,20,Joey Harrington pass incomplete intended for Bill Schroeder,-0.160,-1.240
4,1:27,4,10,DET 32,16,20,Joey Harrington pass incomplete intended for Charles Rogers,-1.240,-3.450
4,1:21,1,10,DET 32,16,20,Jake Plummer kneels for -1 yards,3.450,2.770
4,0:39,2,11,DET 33,16,20,Jake Plummer kneels for -1 yards,2.770,1.950
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
