Quarter,Time,Down,ToGo,Location,NYJ,TAM,Detail,EPB,EPA
3,8:38,2,8,NYJ 44,3,6,Ryan Fitzpatrick pass incomplete short left intended for Adam Humphries (defended by Kony Ealy),2.250,1.550
3,8:33,3,8,NYJ 44,3,6,Ryan Fitzpatrick pass incomplete deep middle intended for Chris Godwin (defended by Demario Davis),1.550,0.330
3,8:27,4,8,NYJ 44,3,6,"Bryan Anger punts 35 yards, fair catch by Jojo Natson",0.330,0.380
3,8:20,1,10,NYJ 9,3,6,Bilal Powell middle for 3 yards (tackle by Darryl Tapp),-0.380,-0.560
3,7:45,2,7,NYJ 12,3,6,Elijah McGuire left end for 6 yards (tackle by Justin Evans),-0.560,-0.370
3,7:00,3,1,NYJ 18,3,6,Bilal Powell right guard for no gain (tackle by Lavonte David),-0.370,-2.240
3,6:18,4,1,NYJ 18,3,6,"Lac Edwards punts 58 yards, muffed catch by Bernard Reedy, recovered by Bernard Reedy and returned for 1 yard (tackle by Terrence Brooks)",-2.240,-0.670
3,6:08,1,10,TAM 26,3,6,Doug Martin left guard for 1 yard (tackle by Demario Davis),0.670,0.270
3,5:35,2,9,TAM 27,3,6,Ryan Fitzpatrick pass incomplete short left intended for Cameron Brate,0.270,-0.430
3,5:31,3,9,TAM 27,3,6,Ryan Fitzpatrick pass incomplete short middle intended for Cameron Brate (defended by Demario Davis),-0.430,-1.570
3,5:24,4,9,TAM 27,3,6,"Bryan Anger punts 41 yards, returned by Jojo Natson for -2 yards (tackle by Josh Robinson)",-1.570,-0.940
3,5:17,1,10,NYJ 30,3,6,Josh McCown pass complete short right to Jermaine Kearse for 14 yards (tackle by Brent Grimes),0.940,1.860
3,4:47,1,10,NYJ 44,3,6,Josh McCown pass complete short right to Jermaine Kearse for 3 yards (tackle by Brent Grimes),1.860,1.720
3,4:11,2,7,NYJ 47,3,6,Bilal Powell left end for -3 yards (tackle by Kendell Beckwith),1.720,0.630
3,3:31,3,10,NYJ 44,3,6,"Josh McCown pass complete short middle to Bilal Powell for 5 yards (tackle by Kwon Alexander). Bilal Powell fumbles (forced by Kwon Alexander), recovered by Lavonte David at TAM-49",0.630,-2.190
,,,,,,,"TAM challenged the runner was down by contact ruling, and the original play was overturned.",,
3,3:25,1,10,TAM 49,3,6,Ryan Fitzpatrick pass complete deep left to Chris Godwin for 20 yards,2.190,3.510
3,2:56,1,10,NYJ 31,3,6,Peyton Barber right end for -1 yards (tackle by Demario Davis and Steve McLendon),3.510,2.830
3,2:13,2,11,NYJ 32,3,6,Ryan Fitzpatrick pass incomplete deep right intended for Chris Godwin,2.830,2.150
3,2:07,3,11,NYJ 32,3,6,"Ryan Fitzpatrick pass incomplete deep left intended for DeSean Jackson is intercepted by Marcus Maye at NYJ-12. Penalty on Marcus Maye: Illegal Contact, 5 yards (no play)",2.150,3.780
3,2:00,1,10,NYJ 27,3,6,Charles Sims for -1 yards (tackle by Demario Davis),3.780,3.100
3,1:19,2,11,NYJ 28,3,6,Ryan Fitzpatrick pass incomplete short left intended for DeSean Jackson (defended by Darryl Roberts),3.100,2.410
3,1:15,3,11,NYJ 28,3,6,Ryan Fitzpatrick pass complete short left to DeSean Jackson for 9 yards (tackle by Darryl Roberts),2.410,2.310
3,0:33,4,2,NYJ 19,3,9,Patrick Murray 37 yard field goal good,2.310,3.000
3,0:29,,,TAM 35,3,9,"Patrick Murray kicks off 64 yards, returned by Jojo Natson for 24 yards (tackle by Peyton Barber)",0.000,-0.610
3,0:22,1,10,NYJ 25,3,9,Josh McCown sacked by Darryl Tapp for -6 yards,0.610,-0.810
Quarter,Time,Down,ToGo,Location,NYJ,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,16,NYJ 19,3,9,Elijah McGuire left tackle for no gain (tackle by Gerald McCoy and Kwon Alexander),-0.810,-1.510
4,14:20,3,16,NYJ 19,3,9,Josh McCown pass complete short middle to Chad Hansen for 9 yards (tackle by T.J. Ward),-1.510,-1.500
4,13:42,4,7,NYJ 28,3,9,Lac Edwards punts 53 yards,-1.500,-0.150
4,13:30,1,10,TAM 19,3,9,Doug Martin left end for -4 yards (tackle by Josh Martin),0.150,-1.000
4,13:01,2,14,TAM 15,3,9,Ryan Fitzpatrick pass complete short left to Chris Godwin for 13 yards (tackle by Josh Martin),-1.000,0.100
4,12:20,3,1,TAM 28,3,9,Ryan Fitzpatrick pass complete short middle to Charles Sims for 3 yards (tackle by Darron Lee),0.100,1.000
4,11:40,1,10,TAM 31,3,9,Ryan Fitzpatrick pass incomplete deep middle intended for DeSean Jackson,1.000,0.460
4,11:32,2,10,TAM 31,3,9,Ryan Fitzpatrick pass incomplete short right intended for Freddie Martino,0.460,-0.230
4,11:28,3,10,TAM 31,3,9,"Ryan Fitzpatrick pass incomplete short right intended for DeSean Jackson (defended by Darron Lee). Penalty on Darryl Roberts: Defensive Pass Interference, 13 yards (no play)",-0.230,1.860
4,11:23,1,10,TAM 44,3,9,"Doug Martin right end for 2 yards (tackle by Jordan Jenkins). Penalty on J.R. Sweezy: Offensive Holding, 10 yards (no play)",1.860,1.200
4,11:02,1,20,TAM 34,3,9,Jacquizz Rodgers left guard for 5 yards (tackle by Freddie Bishop),1.200,0.640
4,10:34,2,15,TAM 39,3,9,Ryan Fitzpatrick pass incomplete short left intended for Chris Godwin,0.640,-0.030
4,10:30,3,15,TAM 39,3,9,Charles Sims for 21 yards (tackle by Marcus Maye),-0.030,2.920
4,9:49,1,10,NYJ 40,3,9,Doug Martin left guard for no gain (tackle by Steve McLendon),2.920,2.370
4,9:25,2,10,NYJ 40,3,9,Ryan Fitzpatrick pass complete short right to Adam Humphries for 13 yards (tackle by Marcus Maye),2.370,0.000
4,8:52,,,,,,Timeout #1 by Tampa Bay Buccaneers,0.000,-3.780
4,8:52,1,10,NYJ 27,3,9,Doug Martin right tackle for 5 yards (tackle by Freddie Bishop and Jordan Jenkins),3.780,3.910
4,8:12,2,5,NYJ 22,3,9,Doug Martin middle for 8 yards (tackle by Buster Skrine),3.910,4.650
4,7:30,1,10,NYJ 14,3,9,Doug Martin right guard for 4 yards (tackle by Darryl Roberts and Freddie Bishop),4.650,4.710
4,6:47,2,6,NYJ 10,3,9,Doug Martin middle for 4 yards (tackle by Steve McLendon),4.710,0.000
4,6:10,,,,,,Timeout #2 by Tampa Bay Buccaneers,0.000,-4.730
4,6:10,3,2,NYJ 6,3,15,"Ryan Fitzpatrick pass complete short right to Charles Sims for 6 yards, touchdown",4.730,7.000
4,6:05,,,NYJ 2,3,15,"Two Point Attempt: Ryan Fitzpatrick middle, conversion fails",0.000,-1.000
4,6:05,,,TAM 35,3,15,"Patrick Murray kicks off 69 yards, returned by Jojo Natson for 14 yards (tackle by Freddie Martino)",0.000,0.380
4,6:01,1,10,NYJ 10,3,15,Josh McCown pass incomplete short middle intended for Bilal Powell,-0.380,-0.780
4,5:55,2,10,NYJ 10,3,15,Josh McCown pass complete short middle to Austin Seferian-Jenkins for 4 yards (tackle by Kwon Alexander),-0.780,-0.950
4,5:29,3,6,NYJ 14,3,15,Josh McCown pass complete short left to Chad Hansen for 7 yards,-0.950,0.340
4,5:11,1,10,NYJ 21,3,15,Josh McCown pass complete short middle to Austin Seferian-Jenkins for 11 yards (tackle by Justin Evans),0.340,1.070
4,4:48,1,10,NYJ 32,3,15,Josh McCown sacked by Gerald McCoy for -9 yards,1.070,-0.690
4,4:24,2,19,NYJ 23,3,15,Josh McCown pass complete short middle to Austin Seferian-Jenkins for 8 yards (tackle by T.J. Ward),-0.690,-0.290
4,4:00,3,11,NYJ 31,3,15,Josh McCown sacked by Gerald McCoy for -5 yards,-0.290,0.000
4,3:45,,,,,,Timeout #1 by New York Jets,0.000,1.630
4,3:45,4,16,NYJ 26,3,15,Josh McCown pass complete deep middle to Austin Seferian-Jenkins for 28 yards (tackle by Ryan Smith),-1.630,2.520
4,3:34,1,10,TAM 46,3,15,Josh McCown pass complete deep middle to Chad Hansen for 17 yards (tackle by Justin Evans),2.520,3.640
4,3:10,1,10,TAM 29,3,15,Josh McCown pass complete short right to ArDarius Stewart for no gain,3.640,3.100
4,2:43,2,10,TAM 29,3,15,Josh McCown pass incomplete short middle intended for Jermaine Kearse (defended by Clinton McDonald),3.100,2.410
4,2:39,3,10,TAM 29,3,15,Josh McCown pass complete short right to Elijah McGuire for 4 yards (tackle by Lavonte David),2.410,1.830
4,2:34,4,6,TAM 25,3,15,Josh McCown pass incomplete deep right intended for Robby Anderson,1.830,-0.610
4,2:27,1,10,TAM 25,3,15,Doug Martin right guard for 2 yards (tackle by Jamal Adams and Darron Lee),0.610,0.330
4,2:22,2,8,TAM 27,3,15,Doug Martin right tackle for 3 yards (tackle by Darryl Roberts and Freddie Bishop),0.330,0.000
4,2:22,,,,,,Timeout #2 by New York Jets,0.000,-0.040
4,2:16,3,5,TAM 30,3,15,Charles Sims for no gain (tackle by Darryl Roberts and Freddie Bishop),0.040,0.000
4,2:16,,,,,,Timeout #3 by New York Jets,0.000,1.370
4,2:00,4,5,TAM 30,3,15,"Bryan Anger punts 40 yards, out of bounds",-1.370,-0.940
4,1:53,1,10,NYJ 30,3,15,Josh McCown sacked by Clinton McDonald for -7 yards,0.940,-0.550
4,1:26,2,17,NYJ 23,3,15,Josh McCown pass incomplete short right intended for Chad Hansen,-0.550,-1.220
4,1:22,3,17,NYJ 23,3,15,"Josh McCown pass complete short middle to Elijah McGuire for 8 yards (tackle by Kwon Alexander). Penalty on Chris Baker: Roughing the Passer, 15 yards",-1.220,1.990
4,1:10,1,10,NYJ 46,3,15,Josh McCown pass complete short middle to Austin Seferian-Jenkins for no gain,1.990,1.450
4,0:54,2,10,NYJ 46,3,15,Josh McCown pass complete deep middle to Austin Seferian-Jenkins for 16 yards (tackle by Justin Evans and Chris Conte),1.450,3.050
4,0:36,1,10,TAM 38,9,15,"Josh McCown pass complete deep right to Robby Anderson for 38 yards, touchdown",3.050,7.000
4,0:28,,,TAM 15,10,15,Chandler Catanzaro kicks extra point good,0.000,0.000
4,0:28,,,NYJ 35,10,15,"Chandler Catanzaro kicks onside 14 yards, recovered by Chris Godwin",0.000,-2.320
4,0:27,1,10,NYJ 49,10,15,Ryan Fitzpatrick kneels for -1 yards,2.320,1.650
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
