Quarter,Time,Down,ToGo,Location,LAC,MIA,Detail,EPB,EPA
1,8:02,1,10,MIA 12,0,7,Salvon Ahmed up the middle for 2 yards (tackle by Kenneth Murray and Justin Jones),-0.350,-0.610
1,7:21,2,8,MIA 14,0,7,Tua Tagovailoa pass complete deep left to Mike Gesicki for 23 yards (tackle by Nasir Adderley),-0.610,1.400
1,6:39,1,10,MIA 37,0,7,"Penalty on Solomon Kindley: False Start, 5 yards (no play)",1.400,1.070
1,6:17,1,15,MIA 32,0,7,Tua Tagovailoa pass complete short left to Jakeem Grant for 13 yards (tackle by Michael Davis),1.070,1.940
1,5:41,2,2,MIA 45,0,7,Salvon Ahmed left tackle for 3 yards (tackle by Linval Joseph and Jerry Tillery),1.940,2.130
1,4:57,1,10,MIA 48,0,7,Salvon Ahmed up the middle for 18 yards (tackle by Nasir Adderley and Kyzir White),2.130,3.310
1,4:13,1,10,LAC 34,0,7,Tua Tagovailoa pass incomplete deep left intended for Mike Gesicki (defended by Michael Davis),3.310,2.770
1,4:07,2,10,LAC 34,0,7,Tua Tagovailoa pass complete short right to Jakeem Grant for 15 yards (tackle by Rayshawn Jenkins),2.770,4.310
1,3:23,1,10,LAC 19,0,7,Tua Tagovailoa right tackle for 1 yard (tackle by Kyzir White),4.310,3.880
1,2:40,2,9,LAC 18,0,7,Salvon Ahmed left guard for 8 yards (tackle by Nasir Adderley),3.880,4.690
1,1:56,3,1,LAC 10,0,7,Tua Tagovailoa pass incomplete short left,4.690,2.910
1,1:51,4,1,LAC 10,0,7,"Jason Sanders yard field goal good. Penalty on Quenton Meeks: Defensive Offside, 5 yards (no play)",2.910,6.060
1,1:49,1,5,LAC 5,0,7,Tua Tagovailoa left end for 2 yards (tackle by Nasir Adderley),6.060,5.530
1,1:06,2,3,LAC 3,0,7,Tua Tagovailoa pass incomplete short right intended for DeVante Parker,5.530,4.720
1,1:01,3,3,LAC 3,0,13,"Tua Tagovailoa pass complete short right to Jakeem Grant for 3 yards, touchdown",4.720,7.000
1,0:58,,,LAC 15,0,14,Jason Sanders kicks extra point good,0.000,0.000
1,0:58,,,MIA 35,0,14,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
1,0:58,1,10,LAC 25,0,14,Kalen Ballage left guard for -2 yards (tackle by Zach Sieler),0.610,-0.210
1,0:36,2,12,LAC 23,0,14,Justin Herbert pass incomplete deep left intended for Keenan Allen (defended by Nik Needham),-0.210,-0.890
1,0:30,3,12,LAC 23,0,14,Justin Herbert pass complete short middle to Jalen Guyton for 9 yards (tackle by Byron Jones),-0.890,-1.240
Quarter,Time,Down,ToGo,Location,LAC,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,3,LAC 32,0,14,"Ty Long punts 42 yards, returned by Jakeem Grant for 18 yards (tackle by Cole Mazza)",-1.240,-1.860
2,14:50,1,10,MIA 44,0,14,Tua Tagovailoa pass incomplete short right intended for Mike Gesicki,1.860,1.320
2,14:43,2,10,MIA 44,0,14,Salvon Ahmed right guard for no gain (tackle by Denzel Perryman),1.320,0.630
2,14:03,3,10,MIA 44,0,14,"Ted Karras for no gain. Ted Karras fumbles, recovered by Tua Tagovailoa at MIA-39 Tua Tagovailoa pass complete deep right to DeVante Parker for 23 yards (tackle by Casey Hayward)",0.630,3.380
2,13:19,1,10,LAC 33,0,14,Tua Tagovailoa pass complete short middle to DeVante Parker for 8 yards (tackle by Kenneth Murray),3.380,3.920
2,12:36,2,2,LAC 25,0,14,Tua Tagovailoa pass incomplete short right intended for DeVante Parker,3.920,3.200
2,12:32,3,2,LAC 25,0,14,Tua Tagovailoa pass complete short middle to Durham Smythe for 7 yards (tackle by Linval Joseph),3.200,4.370
2,11:53,1,10,LAC 18,0,14,Malcolm Perry up the middle for 6 yards (tackle by Rayshawn Jenkins),4.370,4.810
2,11:08,2,4,LAC 12,0,14,Salvon Ahmed right tackle for 3 yards (tackle by Kyzir White),4.810,4.740
2,10:28,3,1,LAC 9,0,14,"Ted Karras aborted snap, recovered by Nick Vigil at LAC-19 and returned for 44 yards (tackle by Tua Tagovailoa)",4.740,-3.120
2,10:16,1,10,MIA 37,0,14,Joshua Kelley left guard for 7 yards (tackle by Andrew Van Ginkel and Elandon Roberts),3.120,3.520
2,9:56,2,3,MIA 30,0,14,Joshua Kelley right guard for 2 yards (tackle by Elandon Roberts and Zach Sieler),3.520,3.070
2,9:22,3,1,MIA 28,0,14,Kalen Ballage right tackle for 10 yards (tackle by Bobby McCain),3.070,4.370
2,8:36,1,10,MIA 18,0,14,Kalen Ballage left guard for 3 yards (tackle by Raekwon Davis and Kyle Van Noy),4.370,4.250
2,8:18,2,7,MIA 15,0,14,Justin Herbert pass complete short right to Jalen Guyton for 5 yards (tackle by Xavien Howard),4.250,4.510
2,7:38,3,2,MIA 10,0,14,Kalen Ballage up the middle for 1 yard (tackle by Raekwon Davis),4.510,2.980
2,6:59,4,1,MIA 9,0,14,Kalen Ballage right guard for 1 yard (tackle by Andrew Van Ginkel and Zach Sieler),2.980,5.370
2,6:25,,,,,,Timeout #1 by Miami Dolphins,,
2,6:25,1,8,MIA 8,0,14,Justin Herbert right end for 3 yards (tackle by Eric Rowe),5.370,5.150
2,5:50,2,5,MIA 5,0,14,Joshua Kelley up the middle for 4 yards (tackle by Eric Rowe and Elandon Roberts),5.150,5.170
2,5:10,3,1,MIA 1,0,14,Kalen Ballage up the middle for no gain (tackle by Shaq Lawson),5.170,3.550
2,4:27,,,,,,Timeout #1 by Los Angeles Chargers,,
2,4:27,,,,,,Timeout #2 by Miami Dolphins,,
2,4:27,4,1,MIA 1,6,14,"Justin Herbert up the middle for 1 yard, touchdown",3.550,7.000
2,4:25,,,MIA 15,7,14,Michael Badgley kicks extra point good,0.000,0.000
2,4:25,,,LAC 35,7,14,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
2,4:25,1,10,MIA 25,7,14,Salvon Ahmed up the middle for 6 yards (tackle by Damion Square and Kyzir White),0.610,0.870
2,3:48,2,4,MIA 31,7,14,Salvon Ahmed right guard for 3 yards (tackle by Uchenna Nwosu),0.870,0.560
2,3:10,3,1,MIA 34,7,14,Salvon Ahmed left guard for no gain (tackle by Linval Joseph and Kenneth Murray),0.560,-1.110
2,2:14,4,1,MIA 34,7,14,Matt Haack punts 62 yards downed by Mack Hollins,-1.110,0.380
2,2:00,1,10,LAC 4,7,14,Justin Herbert pass complete short left to Kalen Ballage for 5 yards (tackle by Brandon Jones),-0.380,-0.420
2,1:55,2,5,LAC 9,7,14,Justin Herbert pass complete short left to Kalen Ballage for 6 yards (tackle by Brandon Jones and Andrew Van Ginkel),-0.420,-0.220
2,1:33,1,10,LAC 15,7,14,Justin Herbert pass incomplete short right intended for Kalen Ballage,-0.220,-0.710
2,1:29,2,10,LAC 15,7,14,Justin Herbert pass incomplete deep left intended for Hunter Henry,-0.710,-1.370
2,1:25,3,10,LAC 15,7,14,Justin Herbert pass incomplete short left intended for Hunter Henry (defended by Emmanuel Ogbah),-1.370,-2.440
2,1:21,4,10,LAC 15,7,14,"Penalty on Cole Mazza: False Start, 5 yards (no play)",-2.440,-2.490
2,1:21,4,15,LAC 10,7,14,"Ty Long punts 57 yards, returned by Jakeem Grant for 20 yards (tackle by Jahleel Addae)",-2.490,-2.460
2,1:06,1,10,LAC 47,7,14,Tua Tagovailoa pass complete short left to Malcolm Perry for 13 yards (tackle by Justin Jones),2.460,3.310
2,0:46,1,10,LAC 34,7,14,Tua Tagovailoa pass incomplete short left intended for DeVante Parker,3.310,2.770
2,0:43,2,10,LAC 34,7,14,Patrick Laird up the middle for 2 yards (tackle by Jahleel Addae),2.770,2.350
2,0:36,,,,,,Timeout #3 by Miami Dolphins,,
2,0:36,3,8,LAC 32,7,14,Tua Tagovailoa pass incomplete deep right intended for Jakeem Grant,2.350,1.240
2,0:29,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:29,4,8,LAC 32,7,17,Jason Sanders 50 yard field goal good,1.240,3.000
2,0:24,,,MIA 35,7,17,"Jason Sanders kicks off 74 yards, returned by Joe Reed for 22 yards (tackle by Kavon Frazier)",0.000,-0.320
2,0:20,1,10,LAC 13,7,17,Justin Herbert kneels for -1 yards,-0.320,-0.850
Quarter,Time,Down,ToGo,Location,LAC,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,7,17,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,MIA 25,7,17,Tua Tagovailoa pass incomplete short middle intended for DeVante Parker,0.610,0.060
3,14:57,2,10,MIA 25,7,17,Salvon Ahmed right guard for 6 yards (tackle by Rayshawn Jenkins),0.060,0.170
3,14:16,3,4,MIA 31,7,17,"Penalty on DeVante Parker: False Start, 5 yards (no play)",0.170,-0.490
3,13:52,3,9,MIA 26,7,17,Tua Tagovailoa pass incomplete short right intended for Mike Gesicki (defended by Michael Davis),-0.490,-1.630
3,13:47,4,9,MIA 26,7,17,"Matt Haack punts 42 yards, fair catch by K.J. Hill at LAC-32",-1.630,-1.070
3,13:40,1,10,LAC 32,7,17,Justin Herbert pass complete short left to Keenan Allen for 15 yards (tackle by Jerome Baker),1.070,2.060
3,13:01,1,10,LAC 47,7,17,Justin Herbert pass complete short right to Gabe Nabers for 9 yards (tackle by Jerome Baker),2.060,2.730
3,12:15,2,1,MIA 44,7,17,Kalen Ballage right guard for 3 yards (tackle by Jerome Baker),2.730,2.850
3,11:39,1,10,MIA 41,7,17,Joshua Kelley left tackle for 8 yards (tackle by Elandon Roberts),2.850,3.390
3,11:01,2,2,MIA 33,7,17,Joshua Kelley up the middle for -1 yards (tackle by Benito Jones and Shaq Lawson),3.390,2.540
3,10:21,3,3,MIA 34,7,17,Justin Herbert pass complete short left to Mike Williams for 10 yards (tackle by Byron Jones),2.540,3.970
3,9:41,1,10,MIA 24,7,17,Kalen Ballage up the middle for 7 yards (tackle by Raekwon Davis and Eric Rowe),3.970,4.460
3,9:17,2,3,MIA 17,7,17,Kalen Ballage left guard for 4 yards (tackle by Eric Rowe),4.460,4.710
3,8:32,1,10,MIA 13,7,17,Kalen Ballage up the middle for 7 yards (tackle by Jerome Baker and Elandon Roberts),4.710,5.340
3,7:53,2,3,MIA 6,7,17,Kalen Ballage up the middle for 4 yards (tackle by Raekwon Davis),5.340,6.740
3,7:10,1,2,MIA 2,13,17,"Justin Herbert pass complete short right to Hunter Henry for 2 yards, touchdown",6.740,7.000
3,7:02,,,MIA 15,13,17,"Penalty on Sam Tevi: False Start, 5 yards (no play)",1.000,0.000
3,7:02,,,MIA 20,14,17,Michael Badgley kicks extra point good,0.000,0.000
3,7:02,,,LAC 35,14,17,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
3,7:02,1,10,MIA 25,14,17,Tua Tagovailoa pass complete short middle to Mike Gesicki for 17 yards (tackle by Michael Davis and Denzel Perryman),0.610,1.730
3,6:25,1,10,MIA 42,14,17,Tua Tagovailoa pass complete short right to Malcolm Perry for 8 yards (tackle by Nasir Adderley),1.730,2.270
3,5:45,2,2,MIA 50,14,17,Salvon Ahmed left tackle for 18 yards (tackle by Nasir Adderley),2.270,3.450
3,5:03,1,10,LAC 32,14,17,"Penalty on Salvon Ahmed: False Start, 5 yards (no play)",3.450,3.120
3,4:47,1,15,LAC 37,14,17,Tua Tagovailoa pass complete deep middle to Adam Shaheen for 19 yards (tackle by Michael Davis),3.120,4.370
3,4:05,1,10,LAC 18,14,17,Salvon Ahmed up the middle for no gain (tackle by Denzel Perryman),4.370,3.800
3,3:25,2,10,LAC 18,14,17,Salvon Ahmed right guard for 1 yard (tackle by Justin Jones),3.800,3.170
3,2:39,3,9,LAC 17,14,17,Tua Tagovailoa pass incomplete deep left intended for DeVante Parker,3.170,2.310
3,2:35,4,9,LAC 17,14,20,Jason Sanders 35 yard field goal good,2.310,3.000
3,2:30,,,MIA 35,14,20,"Jason Sanders kicks off 61 yards, returned by Joe Reed for 14 yards (tackle by Patrick Laird)",0.000,0.040
3,2:26,1,10,LAC 18,14,20,Justin Herbert pass complete short left to Kalen Ballage for 9 yards (tackle by Kyle Van Noy),0.040,0.820
3,1:53,2,1,LAC 27,14,20,Kalen Ballage right guard for 4 yards (tackle by Eric Rowe),0.820,1.000
3,1:16,1,10,LAC 31,14,20,Justin Herbert pass complete short right to Kalen Ballage for 16 yards (tackle by Bobby McCain),1.000,2.060
3,0:29,1,10,LAC 47,14,20,Joshua Kelley up the middle for -2 yards (tackle by Jason Strowbridge),2.060,1.250
Quarter,Time,Down,ToGo,Location,LAC,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,12,LAC 45,14,20,Justin Herbert sacked by Emmanuel Ogbah for no gain,1.250,0.560
4,14:20,3,12,LAC 45,14,20,Justin Herbert pass short right intended for Mike Williams is intercepted by Xavien Howard at MIA-40 and returned for 28 yards,0.560,-3.450
4,14:10,1,10,LAC 32,14,20,Tua Tagovailoa pass complete short left to Jakeem Grant for 12 yards (tackle by Michael Davis),3.450,4.240
4,13:55,1,10,LAC 20,14,20,Salvon Ahmed up the middle for 11 yards (tackle by Kyzir White and Rayshawn Jenkins),4.240,5.140
4,13:13,1,9,LAC 9,14,20,Salvon Ahmed right tackle for 2 yards (tackle by Tevaughn Campbell),5.140,4.760
4,12:30,2,7,LAC 7,14,20,Tua Tagovailoa pass complete short right to Salvon Ahmed for 5 yards (tackle by Nasir Adderley),4.760,4.950
4,11:44,,,,,,Timeout #1 by Miami Dolphins,,
4,11:44,3,2,LAC 2,14,26,"Tua Tagovailoa pass complete short right to Durham Smythe for 2 yards, touchdown",4.950,7.000
4,11:38,,,LAC 2,14,26,"Two Point Attempt: Tua Tagovailoa pass incomplete intended for Mack Hollins, conversion fails",1.000,-1.000
4,11:38,,,MIA 35,14,26,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
4,11:38,1,10,LAC 25,14,26,Kalen Ballage right tackle for 2 yards (tackle by Raekwon Davis and Elandon Roberts),0.610,0.330
4,11:03,2,8,LAC 27,14,26,Justin Herbert pass incomplete deep left intended for Mike Williams,0.330,-0.360
4,10:58,3,8,LAC 27,14,26,"Justin Herbert pass incomplete short right intended for Jalen Guyton. Penalty on Trai Turner: Unnecessary Roughness, 9 yards",-0.360,-2.240
4,10:53,4,17,LAC 18,14,26,"Ty Long punts 39 yards, returned by Jakeem Grant for 19 yards (tackle by Nick Vigil and Jahleel Addae)",-2.240,-3.050
4,10:40,1,10,LAC 38,14,26,Salvon Ahmed right end for 5 yards (tackle by Kenneth Murray),3.050,3.180
4,9:55,2,5,LAC 33,14,26,Salvon Ahmed up the middle for 3 yards (tackle by Damion Square),3.180,2.870
4,9:12,3,2,LAC 30,14,26,Tua Tagovailoa pass complete short left to Mack Hollins for 1 yard (tackle by Rayshawn Jenkins),2.870,1.620
4,8:28,4,1,LAC 29,14,26,Jason Sanders 47 yard field goal no good,1.620,-1.400
4,8:22,1,10,LAC 37,14,26,Justin Herbert pass complete short right to Kalen Ballage for -2 yards (tackle by Zach Sieler),1.400,0.590
4,7:52,2,12,LAC 35,14,26,Justin Herbert pass complete short left to Hunter Henry for 7 yards (tackle by Nik Needham),0.590,0.830
4,7:10,3,5,LAC 42,14,26,Justin Herbert pass complete short right to Hunter Henry for 4 yards (tackle by Nik Needham),0.830,-0.320
4,6:40,4,1,LAC 46,14,26,Justin Herbert pass incomplete short right intended for Keenan Allen (defended by Emmanuel Ogbah),-0.320,-2.590
4,6:37,1,10,LAC 45,14,26,DeAndre Washington left tackle for -1 yards (tackle by Linval Joseph),2.590,1.910
4,5:52,2,11,LAC 46,14,26,DeAndre Washington up the middle for 3 yards (tackle by Jerry Tillery),1.910,1.620
4,5:06,3,8,LAC 43,14,26,Patrick Laird up the middle for 17 yards (tackle by Nasir Adderley),1.620,3.840
4,4:58,,,,,,Timeout #1 by Los Angeles Chargers,,
4,4:58,1,10,LAC 26,14,26,Salvon Ahmed up the middle for -1 yards (tackle by Michael Davis),3.840,3.160
4,4:55,,,,,,Timeout #2 by Los Angeles Chargers,,
4,4:55,2,11,LAC 27,14,26,Salvon Ahmed right end for -3 yards (tackle by Kyzir White),3.160,2.080
4,4:49,,,,,,Timeout #3 by Los Angeles Chargers,,
4,4:49,3,14,LAC 30,14,26,Salvon Ahmed left guard for -1 yards (tackle by Justin Jones),2.080,1.320
4,4:05,4,15,LAC 31,14,29,Jason Sanders 49 yard field goal good,1.320,3.000
4,3:59,,,MIA 35,14,29,"Jason Sanders kicks off 65 yards, returned by Joe Reed for 31 yards (tackle by Jamal Perry and Clayton Fejedelem)",0.000,1.000
4,3:52,1,10,LAC 31,14,29,Kalen Ballage right guard for 11 yards (tackle by Nik Needham),1.000,1.730
4,3:34,1,10,LAC 42,14,29,Justin Herbert pass complete short middle to Jalen Guyton for 4 yards (tackle by Xavien Howard and Brandon Jones),1.730,1.730
4,3:11,2,6,LAC 46,14,29,Justin Herbert pass complete deep right to Mike Williams for 28 yards (tackle by Byron Jones),1.730,3.840
4,2:46,1,10,MIA 26,14,29,Justin Herbert pass incomplete deep left intended for Jalen Guyton (defended by Xavien Howard),3.840,3.300
4,2:41,2,10,MIA 26,14,29,Justin Herbert pass complete short left to Donald Parham for 13 yards (tackle by Kyle Van Noy and Xavien Howard),3.300,4.710
4,2:12,1,10,MIA 13,14,29,Justin Herbert pass incomplete short right intended for Keenan Allen (defended by Byron Jones),4.710,4.050
4,2:08,2,10,MIA 13,14,29,Justin Herbert pass incomplete short left intended for Mike Williams,4.050,3.120
4,2:02,,,,,,Timeout #2 by Miami Dolphins,,
4,2:02,3,10,MIA 13,20,29,"Justin Herbert pass complete short left to Keenan Allen for 13 yards, touchdown",3.120,7.000
4,1:57,,,MIA 15,21,29,Michael Badgley kicks extra point good,0.000,0.000
4,1:57,,,LAC 35,21,29,"Ty Long kicks onside 14 yards, returned by DeVante Parker for no gain",0.000,2.320
4,1:56,1,10,LAC 49,21,29,Tua Tagovailoa kneels for -2 yards,2.320,1.510
4,1:15,2,12,MIA 49,21,29,Tua Tagovailoa kneels for -1 yards,1.510,0.700
4,0:37,3,13,MIA 48,21,29,Tua Tagovailoa kneels for -1 yards,0.700,-0.260
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
