Quarter,Time,Down,ToGo,Location,TEN,CIN,Detail,EPB,EPA
2,0:50,2,4,CIN 4,3,14,Vince Young pass complete short middle to LenDale White for no gain,5.340,4.490
2,0:12,,,,3,14,Timeout #2 by Tennessee Titans,0.000,4.490
2,0:12,3,4,CIN 4,3,14,"Vince Young pass complete short right to LenDale White for -1 yards (tackle by Deltha O'Neal). Penalty on Marvin White: Personal Foul (Offsetting), Penalty on LenDale White: Personal Foul (Offsetting)",4.490,3.010
2,0:07,,,,3,14,Timeout #1 by Cincinnati Bengals,0.000,3.010
2,0:07,4,5,CIN 5,6,14,Rob Bironas 23 yard field goal good,3.010,3.000
2,,,,TEN 30,6,14,"Rob Bironas kicks off 62 yards, returned by Glenn Holt for 36 yards (tackle by Cortland Finnegan)",0.000,0.940
Quarter,Time,Down,ToGo,Location,TEN,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 30,6,14,"Rob Bironas kicks off 67 yards, returned by Glenn Holt for 21 yards (tackle by Stephen Tulloch)",0.000,0.540
3,14:55,1,10,CIN 24,6,14,Carson Palmer pass complete short right to Reggie Kelly for 5 yards (tackle by David Thornton),0.540,0.670
3,14:27,2,5,CIN 29,6,14,Kenny Watson right end for 1 yard (tackle by Tony Brown),0.670,0.100
3,13:51,3,4,CIN 30,6,14,"Penalty on Stacy Andrews: False Start, 5 yards (no play)",0.100,-0.560
3,13:29,3,9,CIN 25,6,14,Carson Palmer pass complete deep middle to Chad Ochocinco for 22 yards (tackle by Nick Harper),-0.560,2.060
3,13:01,1,10,CIN 47,6,14,Carson Palmer pass complete short right to Chad Ochocinco for 5 yards (tackle by Nick Harper),2.060,2.190
3,12:47,2,5,TEN 48,6,14,"Carson Palmer kneels for -1 yards. Penalty on Antwan Odom: Defensive Offside, 5 yards (no play)",2.190,2.720
3,12:38,1,10,TEN 43,6,14,Kenny Watson left guard for 7 yards (tackle by Keith Bulluck),2.720,3.120
3,12:05,2,3,TEN 36,6,14,Carson Palmer pass incomplete deep left intended for Chad Ochocinco (defended by Michael Griffin),3.120,2.410
3,11:57,3,3,TEN 36,6,14,Rudi Johnson right guard for 10 yards (tackle by Calvin Lowry),2.410,3.840
3,11:20,1,10,TEN 26,6,14,"Kenny Watson left guard for 3 yards (tackle by Vincent Fuller). Penalty on Vincent Fuller: Face Mask (5 Yards), 5 yards",3.840,5.150
3,11:02,1,2,TEN 18,6,14,Carson Palmer pass complete short left to T.J. Houshmandzadeh for 10 yards (tackle by Calvin Lowry),5.150,5.370
3,10:38,1,8,TEN 8,6,14,Rudi Johnson right tackle for 2 yards (tackle by Nick Harper),5.370,4.950
3,10:04,2,6,TEN 6,6,20,"Kenny Watson right tackle for 6 yards, touchdown",4.950,7.000
3,,,,TEN 2,6,21,Shayne Graham kicks extra point good,0.000,0.000
3,,,,CIN 30,6,21,"Shayne Graham kicks off 54 yards, returned by Chris Barclay for 13 yards (tackle by De De Dorsey)",0.000,0.870
3,9:54,1,10,TEN 29,6,21,Vince Young pass complete short right to Roydell Williams for 4 yards (tackle by Dexter Jackson),0.870,0.870
3,9:22,2,6,TEN 33,6,21,Vince Young pass incomplete short right intended for Bo Scaife,0.870,0.170
3,9:18,3,6,TEN 33,6,21,Vince Young pass incomplete deep middle intended for Roydell Williams (defended by Johnathan Joseph),0.170,-1.180
3,9:10,4,6,TEN 33,6,21,"Craig Hentrich punts 34 yards, fair catch by Antonio Chatman. Penalty on Rich Scanlon: Fair Catch Interference, 15 yards",-1.180,-2.130
3,9:02,1,10,CIN 48,6,21,"De De Dorsey right end for 21 yards (tackle by Keith Bulluck). Penalty on Keith Bulluck: Personal Foul, 15 yards",2.130,4.510
3,8:38,1,10,TEN 16,6,21,Rudi Johnson right tackle for 3 yards (tackle by Keith Bulluck),4.510,4.390
3,8:08,2,7,TEN 13,6,21,Carson Palmer pass complete short left to T.J. Houshmandzadeh for 3 yards (tackle by Cortland Finnegan),4.390,4.170
3,7:28,3,4,TEN 10,6,21,Carson Palmer pass complete short left to Kenny Watson for 8 yards (tackle by Calvin Lowry),4.170,6.740
3,6:55,1,2,TEN 2,6,27,"Carson Palmer pass complete short left to Chad Ochocinco for 2 yards, touchdown",6.740,7.000
3,,,,TEN 2,6,28,Shayne Graham kicks extra point good,0.000,0.000
3,,,,CIN 30,6,28,"Shayne Graham kicks off 63 yards, returned by Chris Barclay for 15 yards (tackle by Marvin White)",0.000,0.410
3,6:44,1,10,TEN 22,6,28,Vince Young pass complete short right to Bo Scaife for 9 yards (tackle by Dhani Jones),0.410,1.080
3,6:24,2,1,TEN 31,6,28,Vince Young pass complete deep left to Eric Moulds for 46 yards (tackle by Madieu Williams),1.080,4.040
3,6:04,1,10,CIN 23,6,28,Vince Young pass incomplete deep right intended for Justin Gage,4.040,3.500
3,5:57,2,10,CIN 23,6,28,Vince Young right end for 5 yards (tackle by Madieu Williams),3.500,3.490
3,5:31,3,5,CIN 18,6,28,Chris Brown right tackle for no gain (tackle by Bryan Robinson),3.490,2.300
3,4:47,4,5,CIN 18,6,28,Vince Young pass incomplete deep left intended for Roydell Williams,2.300,-0.040
3,4:41,1,10,CIN 18,6,28,Carson Palmer pass complete short right to Chris Henry for 7 yards (tackle by Nick Harper),0.040,0.550
3,4:12,2,3,CIN 25,6,28,Rudi Johnson right guard for 4 yards (tackle by Keith Bulluck),0.550,0.870
3,3:46,1,10,CIN 29,6,28,Rudi Johnson right tackle for 3 yards (tackle by Keith Bulluck),0.870,0.730
3,3:21,2,7,CIN 32,6,28,Carson Palmer pass incomplete deep left intended for Chris Henry,0.730,0.040
3,3:15,3,7,CIN 32,6,28,Carson Palmer pass complete deep left to Chris Henry for 15 yards (tackle by David Thornton),0.040,2.060
3,2:37,1,10,CIN 47,6,28,Carson Palmer pass complete short right to Chad Ochocinco for 21 yards (tackle by Calvin Lowry),2.060,3.450
3,2:17,1,10,TEN 32,6,28,Rudi Johnson right guard for 2 yards (tackle by Demetrin Veal and David Thornton),3.450,3.170
3,1:46,2,8,TEN 30,6,28,Rudi Johnson right end for 5 yards (tackle by Antwan Odom and Demetrin Veal),3.170,3.140
3,1:05,3,3,TEN 25,6,28,Carson Palmer pass complete short right to Daniel Coats for 6 yards (tackle by Ryan Fowler),3.140,4.310
3,0:42,1,10,TEN 19,6,28,Carson Palmer pass complete short left to T.J. Houshmandzadeh for 6 yards (tackle by Cortland Finnegan),4.310,4.720
3,0:17,2,4,TEN 13,6,28,Rudi Johnson left tackle for 1 yard (tackle by Calvin Lowry),4.720,4.190
Quarter,Time,Down,ToGo,Location,TEN,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,3,TEN 12,6,28,Carson Palmer pass complete short middle to Kenny Watson for 6 yards (tackle by Keith Bulluck),4.190,5.830
4,14:25,1,6,TEN 6,6,28,T.J. Houshmandzadeh left end for -4 yards (tackle by David Thornton),5.830,4.190
4,13:45,2,10,TEN 10,6,28,"Rudi Johnson right tackle for 6 yards (tackle by Kyle Vanden Bosch). Rudi Johnson fumbles (forced by Kyle Vanden Bosch), recovered by Bobbie Williams at TEN-3",4.190,4.720
4,13:04,3,3,TEN 3,6,34,"Carson Palmer pass complete short middle to Chad Ochocinco for 3 yards, touchdown",4.720,7.000
4,,,,TEN 2,6,35,Shayne Graham kicks extra point good,0.000,0.000
4,,,,CIN 30,6,35,"Shayne Graham kicks off 67 yards, returned by Chris Barclay for 25 yards (tackle by Marvin White)",0.000,0.810
4,12:53,1,10,TEN 28,6,35,Vince Young pass complete short middle to Chris Brown for 7 yards (tackle by Dhani Jones),0.810,1.210
4,12:30,2,3,TEN 35,6,35,Vince Young pass complete short middle to Bo Scaife for 9 yards (tackle by Dhani Jones),1.210,1.860
4,12:00,1,10,TEN 44,6,35,Vince Young pass complete short middle to Bo Scaife for 8 yards (tackle by Dhani Jones),1.860,2.400
4,11:36,2,2,CIN 48,6,35,Vince Young pass complete short right to Justin Gage for 11 yards (tackle by Nedu Ndukwe),2.400,3.120
4,11:11,1,10,CIN 37,6,35,Vince Young pass complete short left to Eric Moulds for 8 yards (tackle by Madieu Williams),3.120,3.650
4,10:44,2,2,CIN 29,6,35,Chris Brown right tackle for 4 yards (tackle by Domata Peko),3.650,3.910
4,10:15,1,10,CIN 25,6,35,Vince Young pass complete short right to Bo Scaife for 7 yards (tackle by Dexter Jackson),3.910,4.370
4,9:44,2,3,CIN 18,6,35,Vince Young pass incomplete deep right intended for Justin Gage,4.370,3.660
4,9:36,3,3,CIN 18,6,35,Vince Young pass complete short left to Ben Troupe for 13 yards (tackle by Johnathan Joseph),3.660,6.060
4,9:04,1,5,CIN 5,6,35,Chris Brown right guard for 2 yards (tackle by Justin Smith and Nedu Ndukwe),6.060,5.530
4,8:36,2,3,CIN 3,6,35,Chris Brown left guard for 2 yards (tackle by Robert Geathers and Bryan Robinson),5.530,5.170
,,,,,,,"CIN challenged the runner broke the plane ruling, and the original play was overturned.",,
4,8:24,3,1,CIN 1,6,35,LenDale White right tackle for no gain (tackle by Justin Smith and Dhani Jones),5.170,3.550
4,7:45,4,1,CIN 1,6,35,Vince Young pass incomplete short left intended for Ben Hartsock,3.550,0.380
4,7:39,1,10,CIN 1,6,35,Rudi Johnson right tackle for no gain (tackle by David Thornton and Keith Bulluck),-0.380,-0.780
4,6:57,2,10,CIN 1,6,35,Carson Palmer pass incomplete deep right intended for T.J. Houshmandzadeh,-0.780,-1.420
4,6:52,3,10,CIN 1,6,35,Rudi Johnson up the middle for 4 yards (tackle by Ryan Fowler and Keith Bulluck),-1.420,-2.490
4,6:10,4,6,CIN 5,6,35,"Kyle Larson punts 48 yards, returned by Brandon Jones for -2 yards (tackle by Daniel Coats). Penalty on Cortland Finnegan: Offensive Holding, 10 yards",-2.490,-1.270
4,5:58,1,10,TEN 35,6,35,Vince Young pass incomplete deep right intended for Eric Moulds,1.270,0.720
4,5:51,2,10,TEN 35,6,35,Vince Young pass incomplete short middle intended for Roydell Williams (defended by Johnathan Joseph),0.720,0.040
4,5:45,3,10,TEN 35,6,35,Vince Young pass complete short right to Bo Scaife for no gain,0.040,-1.040
4,5:07,4,10,TEN 35,6,35,Craig Hentrich punts 25 yards,-1.040,-1.600
4,4:57,1,10,CIN 40,6,35,Rudi Johnson right end for 6 yards (tackle by Keith Bulluck),1.600,1.860
4,4:15,2,4,CIN 46,6,35,Rudi Johnson right end for 3 yards (tackle by Stephen Tulloch),1.860,1.550
4,3:34,3,1,CIN 49,6,35,Rudi Johnson left guard for 2 yards (tackle by Keith Bulluck),1.550,2.320
4,2:53,1,10,TEN 49,6,35,Rudi Johnson right tackle for 1 yard (tackle by Stephen Tulloch),2.320,1.920
4,2:11,2,9,TEN 48,6,35,Rudi Johnson left end for 6 yards (tackle by Michael Griffin),1.920,2.020
4,2:00,3,3,TEN 42,6,35,De De Dorsey right tackle for 1 yard (tackle by Stephen Tulloch),2.020,0.530
4,1:15,4,2,TEN 41,6,35,Kyle Larson punts 39 yards,0.530,0.380
4,1:06,1,10,TEN 2,6,35,Chris Brown up the middle for no gain (tackle by Madieu Williams),-0.380,-0.780
4,0:32,2,10,TEN 2,6,35,Chris Brown left guard for 8 yards (tackle by Leon Hall and Johnathan Joseph),-0.780,-0.480
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
