Quarter,Time,Down,ToGo,Location,JAX,NOR,Detail,EPB,EPA
1,5:26,3,7,JAX 32,7,0,Derek Carr pass incomplete short right intended for Chris Olave (defended by Tre Herndon),2.410,1.240
1,5:21,4,7,JAX 32,7,0,Blake Grupe 51 yard field goal no good,1.240,-1.660
1,5:16,1,10,JAX 41,7,0,"Trevor Lawrence pass complete deep left to Christian Kirk for 19 yards. Christian Kirk fumbles (forced by Paulson Adebo), recovered by Carl Granderson at NO-41 (tackle by Paulson Adebo)",1.660,-1.660
1,5:02,1,10,NOR 41,7,0,Alvin Kamara right end for 1 yard (tackle by Jeremiah Ledbetter and Travon Walker),1.660,1.260
1,4:16,2,9,NOR 42,7,0,Derek Carr pass complete short middle to Chris Olave for 3 yards (tackle by Devin Lloyd),1.260,0.960
1,3:51,3,6,NOR 45,7,0,Derek Carr pass incomplete deep middle intended for Rashid Shaheed,0.960,-0.390
1,3:44,4,6,NOR 45,7,0,"Lou Hedley punts 40 yards, recovered by Lonnie Johnson at JAC-17",-0.390,4.440
1,3:36,1,10,JAX 17,7,0,Jamaal Williams left guard for 4 yards (tackle by Devin Lloyd and Rayshawn Jenkins),4.440,4.500
1,3:02,2,6,JAX 13,7,0,Derek Carr pass complete short left to Alvin Kamara for 7 yards (tackle by Devin Lloyd and Montaric Brown),4.500,5.830
1,2:25,1,6,JAX 6,7,0,Alvin Kamara left guard for 1 yard (tackle by Folorunso Fatukasi and Devin Lloyd),5.830,5.150
1,1:42,2,5,JAX 5,7,0,Derek Carr pass incomplete short left intended for Rashid Shaheed,5.150,4.260
1,1:33,3,5,JAX 5,7,0,Derek Carr pass incomplete short left intended for Michael Thomas (defended by Montaric Brown),4.260,3.010
1,1:29,4,5,JAX 5,7,3,Blake Grupe 23 yard field goal good,3.010,3.000
1,1:26,,,NOR 35,7,3,"Blake Grupe kicks off 65 yards, touchback.",0.000,0.610
1,1:26,1,10,JAX 25,7,3,Travis Etienne left guard for 5 yards (tackle by Pete Werner),0.610,0.740
1,0:49,2,5,JAX 30,7,3,Tank Bigsby right guard for 2 yards (tackle by Carl Granderson and Cameron Jordan),0.740,0.300
1,0:08,3,3,JAX 32,7,3,Trevor Lawrence pass complete short right to Christian Kirk for 9 yards,0.300,1.660
Quarter,Time,Down,ToGo,Location,JAX,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,JAX 41,7,3,Trevor Lawrence pass complete short left to Jamal Agnew for 9 yards (tackle by Alontae Taylor),1.660,2.340
2,14:25,2,1,NOR 50,7,3,Travis Etienne right guard for 2 yards (tackle by Carl Granderson),2.340,2.390
2,13:33,1,10,NOR 48,7,3,"Trevor Lawrence scrambles left end for 26 yards (tackle by Tyrann Mathieu). Penalty on Alontae Taylor: Defensive Holding, 5 yards (accepted)",2.390,4.440
2,13:17,1,10,NOR 17,13,3,"Travis Etienne left end for 17 yards, touchdown",4.440,7.000
2,13:09,,,NOR 15,14,3,Brandon McManus kicks extra point good,0.000,0.000
2,13:09,,,JAX 35,14,3,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
2,13:09,1,10,NOR 25,14,3,Derek Carr pass complete short right to Rashid Shaheed for 5 yards (tackle by Darious Williams),0.610,0.740
2,12:42,2,5,NOR 30,14,3,Derek Carr pass complete deep right to Foster Moreau for 18 yards (tackle by Rayshawn Jenkins),0.740,2.130
2,12:09,1,10,NOR 48,14,3,Jamaal Williams left tackle for 4 yards (tackle by Foyesade Oluokun and Devin Lloyd),2.130,2.120
2,11:36,2,6,JAX 48,14,3,Jamaal Williams right tackle for 4 yards (tackle by Devin Lloyd),2.120,1.950
2,10:53,3,2,JAX 44,14,3,Derek Carr pass incomplete deep left intended for Michael Thomas (defended by Darious Williams),1.950,0.330
2,10:47,4,2,JAX 44,14,3,"Derek Carr pass incomplete short left intended for Chris Olave (defended by Devin Lloyd). Penalty on Michael Thomas: Offensive Pass Interference, 10 yards (declined)",0.330,-1.930
2,10:43,1,10,JAX 45,14,3,Travis Etienne left guard for no gain (tackle by Malcolm Roach),1.930,1.380
2,10:01,2,10,JAX 45,14,3,Trevor Lawrence pass incomplete short right intended for Travis Etienne (defended by Cameron Jordan),1.380,0.700
2,9:57,3,10,JAX 45,14,3,Trevor Lawrence pass incomplete short left intended for Evan Engram,0.700,-0.390
2,9:53,4,10,JAX 45,14,3,"Logan Cooke punts 42 yards, fair catch by Rashid Shaheed at NO-13",-0.390,0.320
2,9:47,1,10,NOR 13,14,3,Derek Carr pass complete short middle to Alvin Kamara for 21 yards (tackle by Josh Allen),-0.320,1.200
2,9:14,1,10,NOR 34,14,3,"Alvin Kamara right guard for -2 yards (tackle by Angelo Blackson). Penalty on Angelo Blackson: Unnecessary Roughness / Defense, 15 yards (accepted)",1.200,2.060
2,8:42,1,10,NOR 47,14,3,Rashid Shaheed left end for 4 yards (tackle by Devin Lloyd),2.060,2.060
2,8:06,2,6,JAX 49,14,3,Derek Carr pass complete short middle to Alvin Kamara for 3 yards (tackle by Darious Williams),2.060,1.750
2,7:28,3,3,JAX 46,14,3,Derek Carr pass incomplete short left intended for Chris Olave (defended by Tre Herndon),1.750,0.200
2,7:22,4,3,JAX 46,14,3,"Lou Hedley punts 28 yards, fair catch by Jamal Agnew at JAC-18",0.200,-0.040
2,7:17,1,10,JAX 18,14,3,Trevor Lawrence pass complete short left to Travis Etienne for 7 yards (tackle by Pete Werner),0.040,0.550
2,6:39,2,3,JAX 25,14,3,Tank Bigsby right tackle for no gain (tackle by Demario Davis and Malcolm Roach),0.550,-0.270
2,5:56,3,3,JAX 25,14,3,Trevor Lawrence pass incomplete short left intended for Jamal Agnew,-0.270,-1.700
2,5:50,4,3,JAX 25,14,3,"Logan Cooke punts 36 yards, fair catch by Rashid Shaheed at NO-20. Penalty on Antonio Johnson: Fair Catch Interference, 15 yards (accepted)",-1.700,-2.520
2,5:41,1,10,JAX 46,14,3,Derek Carr pass complete short middle to Alvin Kamara for 4 yards (tackle by Foyesade Oluokun and Jeremiah Ledbetter),2.520,2.520
2,5:06,2,6,JAX 42,14,3,Alvin Kamara left guard for no gain (tackle by Foyesade Oluokun and Andre Cisco),2.520,1.820
2,4:19,3,6,JAX 42,14,3,Derek Carr pass complete short middle to Alvin Kamara for 3 yards (tackle by Foyesade Oluokun),1.820,0.660
2,3:33,4,3,JAX 39,14,3,Derek Carr pass complete short right to Alvin Kamara for 17 yards (tackle by Rayshawn Jenkins and Devin Lloyd),0.660,4.110
2,3:02,1,10,JAX 22,14,3,Jamaal Williams left guard for 2 yards (tackle by Angelo Blackson),4.110,3.830
2,2:27,2,8,JAX 20,14,3,Derek Carr pass incomplete short right intended for Chris Olave,3.830,3.140
2,2:21,3,8,JAX 20,14,3,Derek Carr scrambles right end for 3 yards (tackle by Dawuane Smoot),3.140,2.360
2,2:00,4,5,JAX 17,14,6,Blake Grupe 35 yard field goal good,2.360,3.000
2,1:57,,,NOR 35,14,6,"Blake Grupe kicks off 65 yards, touchback.",0.000,0.610
2,1:57,1,10,JAX 25,14,6,Trevor Lawrence pass complete short right to Christian Kirk for 10 yards (tackle by Alontae Taylor),0.610,1.270
2,1:52,1,10,JAX 35,14,6,Trevor Lawrence pass complete short left to Evan Engram for 11 yards (tackle by Pete Werner),1.270,1.990
2,1:47,1,10,JAX 46,14,6,"Penalty on Evan Engram: False Start, 5 yards (accepted) (no play)",1.990,1.660
2,1:47,1,15,JAX 41,14,6,Trevor Lawrence pass complete short right to Jamal Agnew for 10 yards (tackle by Paulson Adebo and Alontae Taylor),1.660,2.130
2,1:43,2,5,NOR 49,14,6,Trevor Lawrence pass incomplete short right intended for Travis Etienne (defended by Bryan Bresee),2.130,1.420
2,1:38,3,5,NOR 49,14,6,Trevor Lawrence pass complete short left to Jamal Agnew for 3 yards (tackle by Zack Baun),1.420,0.200
2,1:33,,,,,,Timeout #1 by New Orleans Saints,,
2,1:33,4,2,NOR 46,14,6,Logan Cooke pass complete short left to Tim Jones for 13 yards (tackle by Isaac Yiadom and Jordan Howden),0.200,3.380
2,0:52,1,10,NOR 33,14,6,Trevor Lawrence pass complete short middle to Evan Engram for 7 yards (tackle by Alontae Taylor),3.380,3.780
2,0:46,,,,,,Timeout #1 by Jacksonville Jaguars,,
2,0:46,2,3,NOR 26,14,6,Trevor Lawrence pass complete short right to Christian Kirk for 1 yard (tackle by Paulson Adebo),3.780,3.200
2,0:41,3,2,NOR 25,14,6,"Trevor Lawrence pass deep left intended for Jamal Agnew is intercepted by Marshon Lattimore at NO-7 and returned for no gain Replay Assistant challenged the pass interception ruling, and the original play was overturned. Trevor Lawrence pass incomplete deep left intended for Jamal Agnew (defended by Marshon Lattimore)",3.200,1.930
2,0:36,4,2,NOR 25,17,6,Brandon McManus 43 yard field goal good,1.930,3.000
2,0:32,,,JAX 35,17,6,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
2,0:32,1,10,NOR 25,17,6,"Derek Carr sacked by Dawuane Smoot for -6 yards. Derek Carr fumbles (forced by Dawuane Smoot), recovered by Cameron Erving at NO-19",0.610,-0.810
Quarter,Time,Down,ToGo,Location,JAX,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 35,17,6,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,NOR 25,17,6,Derek Carr pass complete short right to Chris Olave for 14 yards,0.610,1.530
3,14:38,1,10,NOR 39,17,6,Alvin Kamara left guard for 1 yard (tackle by Josh Allen and Rayshawn Jenkins),1.530,1.120
3,13:59,2,9,NOR 40,17,6,Derek Carr pass complete short right to Foster Moreau for 5 yards (tackle by Tre Herndon),1.120,1.090
3,13:26,3,4,NOR 45,17,6,Derek Carr pass complete short left to Rashid Shaheed for 3 yards (tackle by Foyesade Oluokun),1.090,-0.190
3,12:48,4,1,NOR 48,17,6,Alvin Kamara left guard for 17 yards (tackle by Montaric Brown),-0.190,3.250
3,12:12,1,10,JAX 35,17,6,Derek Carr pass complete short right to Chris Olave for 6 yards (tackle by Tre Herndon),3.250,3.510
3,11:33,2,4,JAX 29,17,6,Taysom Hill left tackle for 6 yards (tackle by Andre Cisco),3.510,4.040
3,10:49,1,10,JAX 23,17,6,Derek Carr pass incomplete short left,4.040,3.500
3,10:45,2,10,JAX 23,17,6,"Derek Carr pass incomplete short right intended for Foster Moreau. Penalty on Andrus Peat: Offensive Holding, 10 yards (accepted) (no play)",3.500,2.150
3,10:40,2,20,JAX 33,17,6,Derek Carr pass incomplete short left intended for Alvin Kamara,2.150,1.490
3,10:37,3,20,JAX 33,17,6,Derek Carr pass complete short right to Foster Moreau for 10 yards (tackle by Rayshawn Jenkins and Tre Herndon),1.490,1.930
3,9:53,4,10,JAX 23,17,9,Blake Grupe 42 yard field goal good,1.930,3.000
3,9:49,,,NOR 35,17,9,"Blake Grupe kicks off 65 yards, touchback.",0.000,0.610
3,9:49,1,10,JAX 25,17,9,"Penalty on Luke Fortner: False Start, 5 yards (accepted) (no play)",0.610,0.280
3,9:49,1,15,JAX 20,17,9,Trevor Lawrence pass complete short left to Calvin Ridley for 5 yards (tackle by Pete Werner),0.280,0.060
3,9:10,2,10,JAX 25,17,9,Trevor Lawrence pass complete short left to Tim Jones for 4 yards (tackle by Marshon Lattimore),0.060,-0.100
3,8:34,3,6,JAX 29,17,9,Travis Etienne right end for 5 yards (tackle by Zack Baun and Cameron Jordan),-0.100,-1.110
3,7:48,4,1,JAX 34,17,9,Logan Cooke punts 53 yards out of bounds,-1.110,0.320
3,7:39,1,10,NOR 13,17,9,Jamaal Williams left guard for no gain (tackle by Folorunso Fatukasi and Foyesade Oluokun),-0.320,-0.770
3,7:05,2,10,NOR 13,17,9,Derek Carr pass incomplete short right intended for Michael Thomas,-0.770,-1.420
3,7:00,3,10,NOR 13,23,9,"Derek Carr pass short middle (defended by Darious Williams) intended for Rashid Shaheed is intercepted by Foyesade Oluokun at NO-24 and returned for 24 yards, touchdown",-1.420,-7.000
3,6:47,,,NOR 15,24,9,Brandon McManus kicks extra point good,0.000,0.000
3,6:47,,,JAX 35,24,9,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
3,6:47,1,10,NOR 25,24,9,Derek Carr pass complete short left to Michael Thomas for 8 yards (tackle by Montaric Brown),0.610,1.140
3,6:25,2,2,NOR 33,24,9,Derek Carr pass complete short left to Alvin Kamara for 8 yards (tackle by Angelo Blackson),1.140,1.660
3,6:01,1,10,NOR 41,24,9,Derek Carr pass complete short right to Rashid Shaheed for 12 yards (tackle by Darious Williams),1.660,2.460
3,5:20,1,10,JAX 47,24,9,Derek Carr pass complete short right to Taysom Hill for 7 yards (tackle by Darious Williams),2.460,2.860
3,5:00,2,3,JAX 40,24,9,Derek Carr pass complete short right to Chris Olave for 7 yards,2.860,3.380
3,4:40,1,10,JAX 33,24,9,Derek Carr pass complete short left to Alvin Kamara for 3 yards (tackle by Foyesade Oluokun),3.380,3.240
3,4:08,2,7,JAX 30,24,9,Derek Carr scrambles up the middle for 1 yard (tackle by Tyler Lacy),3.240,2.680
3,3:42,3,6,JAX 29,24,9,Derek Carr pass complete short middle to Alvin Kamara for 4 yards (tackle by Foyesade Oluokun),2.680,1.930
3,3:05,4,2,JAX 25,24,9,Alvin Kamara left end for 10 yards (tackle by Tre Herndon and Jeremiah Ledbetter),1.930,4.580
3,2:26,1,10,JAX 15,24,9,Alvin Kamara right tackle for 6 yards (tackle by Devin Lloyd and Rayshawn Jenkins),4.580,5.030
3,2:02,2,4,JAX 9,24,9,Taysom Hill right end for 1 yard (tackle by Foyesade Oluokun and Angelo Blackson),5.030,4.450
3,1:14,3,3,JAX 8,24,9,Taysom Hill left end for 4 yards (tackle by Andrew Wingard),4.450,6.280
3,0:48,1,4,JAX 4,24,9,"Derek Carr pass incomplete. Penalty on Rayshawn Jenkins: Unnecessary Roughness / Defense, 2 yards (accepted) (no play)",6.280,6.740
3,0:43,1,2,JAX 2,24,9,Alvin Kamara right tackle for no gain (tackle by Adam Gotsis),6.740,5.720
3,0:06,2,2,JAX 2,24,9,Alvin Kamara left guard for 1 yard (tackle by Foyesade Oluokun and Andrew Wingard),5.720,5.170
Quarter,Time,Down,ToGo,Location,JAX,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,JAX 1,24,9,Alvin Kamara left end for no gain (tackle by Devin Lloyd),5.170,3.550
4,14:24,4,1,JAX 1,24,15,"Taysom Hill left end for 1 yard, touchdown",3.550,7.000
4,14:21,,,JAX 15,24,16,Blake Grupe kicks extra point good,0.000,0.000
4,14:21,,,NOR 35,24,16,"Blake Grupe kicks off 65 yards, touchback.",0.000,0.610
4,14:21,1,10,JAX 25,24,16,Travis Etienne left end for 11 yards (tackle by Tyrann Mathieu),0.610,1.330
4,13:46,1,10,JAX 36,24,16,Trevor Lawrence scrambles left end for 4 yards (tackle by Carl Granderson),1.330,1.330
4,13:01,2,6,JAX 40,24,16,Travis Etienne left tackle for -2 yards (tackle by Malcolm Roach),1.330,0.370
4,12:16,3,8,JAX 38,24,16,Trevor Lawrence scrambles up the middle for 1 yard (tackle by Zack Baun),0.370,-0.780
4,11:40,4,7,JAX 39,24,16,Logan Cooke punts 54 yards downed by Daniel Thomas,-0.780,0.380
4,11:29,1,10,NOR 7,24,16,Alvin Kamara left tackle for no gain (tackle by Foyesade Oluokun),-0.380,-0.780
4,11:08,2,10,NOR 7,24,16,Derek Carr pass complete short right to Chris Olave for 5 yards (tackle by Tre Herndon and Darious Williams),-0.780,-0.840
4,10:46,3,5,NOR 12,24,16,Derek Carr pass incomplete deep right intended for Chris Olave,-0.840,-2.490
4,10:39,4,5,NOR 12,24,16,Lou Hedley punts 62 yards downed by Lonnie Johnson,-2.490,-0.670
4,10:27,1,10,JAX 26,24,16,Jamal Agnew left end for -1 yards (tackle by Carl Granderson),0.670,-0.010
4,9:47,2,11,JAX 25,24,16,Trevor Lawrence pass incomplete deep right intended for Calvin Ridley (defended by Paulson Adebo),-0.010,-0.690
4,9:40,3,11,JAX 25,24,16,"Trevor Lawrence pass incomplete deep middle intended for Jamal Agnew. Penalty on Paulson Adebo: Defensive Pass Interference, 19 yards (accepted) (no play)",-0.690,1.860
4,9:35,1,10,JAX 44,24,16,Travis Etienne right guard for 4 yards (tackle by Khalen Saunders),1.860,1.860
4,9:02,2,6,JAX 48,24,16,Travis Etienne right end for 5 yards (tackle by Marcus Maye and Paulson Adebo),1.860,1.820
4,8:26,3,1,NOR 47,24,16,Travis Etienne right end for no gain (tackle by Paulson Adebo),1.820,0.130
4,7:35,4,1,NOR 47,24,16,Travis Etienne left guard for no gain (tackle by Nathan Shepherd),0.130,-2.060
4,7:29,1,10,NOR 47,24,16,Derek Carr pass complete short left to Michael Thomas for 17 yards (tackle by Andrew Wingard),2.060,3.180
4,7:08,1,10,JAX 36,24,16,Derek Carr pass complete deep right to Taysom Hill for 19 yards (tackle by Rayshawn Jenkins),3.180,4.440
4,6:42,1,10,JAX 17,24,22,"Derek Carr pass complete deep left to Michael Thomas for 17 yards, touchdown",4.440,7.000
4,6:38,,,JAX 2,24,24,Two Point Attempt: Derek Carr pass complete to to Alvin Kamara for no gain,1.000,1.000
4,6:38,,,NOR 35,24,24,"Blake Grupe kicks off 65 yards, touchback.",0.000,0.610
4,6:38,1,10,JAX 25,24,24,Trevor Lawrence pass complete short left to Evan Engram for 3 yards (tackle by Carl Granderson),0.610,0.470
4,6:00,2,7,JAX 28,24,24,Trevor Lawrence scrambles left end for 23 yards (tackle by Tyrann Mathieu),0.470,2.320
4,5:22,1,10,NOR 49,24,24,Calvin Ridley right end for no gain (tackle by Paulson Adebo),2.320,1.780
4,4:47,2,10,NOR 49,24,24,Trevor Lawrence pass incomplete short right intended for Calvin Ridley,1.780,1.090
4,4:43,3,10,NOR 49,24,24,Trevor Lawrence pass incomplete deep right intended for Calvin Ridley (defended by Paulson Adebo),1.090,0.000
4,4:36,4,10,NOR 49,24,24,"Logan Cooke punts 39 yards, fair catch by Rashid Shaheed at NO-10",0.000,0.380
4,4:30,1,10,NOR 10,24,24,Derek Carr pass incomplete short middle intended for Chris Olave,-0.380,-0.780
4,4:21,2,10,NOR 10,24,24,Derek Carr pass complete short middle to Taysom Hill for 6 yards (tackle by Foyesade Oluokun),-0.780,-0.720
4,4:01,3,4,NOR 16,24,24,Derek Carr pass incomplete deep right intended for Rashid Shaheed,-0.720,-2.390
4,3:54,4,4,NOR 16,24,24,"Lou Hedley punts 39 yards, returned by Jamal Agnew for 9 yards (tackle by Nephi Sewell)",-2.390,-2.520
4,3:45,1,10,NOR 46,24,24,Trevor Lawrence pass complete short left to Travis Etienne for 2 yards (tackle by Alontae Taylor and Demario Davis),2.520,2.250
4,3:19,2,8,NOR 44,30,24,"Trevor Lawrence pass complete short middle to Christian Kirk for 44 yards, touchdown",2.250,7.000
4,3:08,,,NOR 15,31,24,Brandon McManus kicks extra point good,0.000,0.000
4,3:08,,,JAX 35,31,24,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
4,3:08,1,10,NOR 25,31,24,Derek Carr pass complete short middle to Taysom Hill for 18 yards (tackle by Andrew Wingard),0.610,1.800
4,2:47,1,10,NOR 43,31,24,Derek Carr pass complete short middle to Alvin Kamara for 9 yards (tackle by Foyesade Oluokun),1.800,2.470
4,2:24,2,1,JAX 48,31,24,Derek Carr pass complete short left to Alvin Kamara for 7 yards (tackle by Foyesade Oluokun),2.470,2.850
4,2:00,1,10,JAX 41,31,24,Derek Carr pass complete short right to Rashid Shaheed for 8 yards (tackle by Tre Herndon),2.850,3.390
4,1:55,2,2,JAX 33,31,24,Alvin Kamara left guard for 15 yards (tackle by Andrew Wingard),3.390,4.370
4,1:34,1,10,JAX 18,31,24,Derek Carr pass incomplete short right,4.370,3.800
4,1:28,2,10,JAX 18,31,24,Derek Carr pass complete short middle to Chris Olave for 8 yards (tackle by Devin Lloyd),3.800,4.510
4,1:07,3,2,JAX 10,31,24,Alvin Kamara left guard for 4 yards (tackle by Adam Gotsis),4.510,5.830
4,0:41,1,6,JAX 6,31,24,Derek Carr pass incomplete short left intended for Michael Thomas,5.830,4.950
4,0:36,2,6,JAX 6,31,24,Derek Carr pass incomplete short right intended for Taysom Hill,4.950,4.040
4,0:30,,,,,,Timeout #1 by New Orleans Saints,,
4,0:30,3,6,JAX 6,31,24,Derek Carr pass incomplete short left intended for Foster Moreau,4.040,2.990
4,0:25,4,6,JAX 6,31,24,Derek Carr pass incomplete short left intended for Chris Olave (defended by Montaric Brown),2.990,0.380
4,0:21,1,10,JAX 7,31,24,Trevor Lawrence kneels for -2 yards,-0.380,-0.930
4,0:18,,,,,,Timeout #2 by New Orleans Saints,,
4,0:18,2,12,JAX 5,31,24,Trevor Lawrence kneels for -1 yards,-0.930,-1.770
4,0:16,,,,,,Timeout #3 by New Orleans Saints,,
4,0:16,3,13,JAX 4,31,24,Trevor Lawrence kneels for -1 yards,-1.770,-2.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
