Quarter,Time,Down,ToGo,Location,WAS,BUF,Detail,EPB,EPA
1,0:23,,,BUF 35,0,10,"Stephen Hauschka kicks off 63 yards, returned by Steven Sims for 16 yards (tackle by Lorenzo Alexander)",0.000,0.040
1,0:19,1,10,WAS 18,0,10,Adrian Peterson up the middle for 1 yard (tackle by Micah Hyde and Tremaine Edmunds),0.040,-0.320
Quarter,Time,Down,ToGo,Location,WAS,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,WAS 19,0,10,Adrian Peterson right guard for 18 yards (tackle by Micah Hyde and Jordan Poyer),-0.320,1.400
2,14:17,1,10,WAS 37,0,10,Adrian Peterson left guard for 17 yards (tackle by Jordan Poyer),1.400,2.520
2,13:37,1,10,BUF 46,0,10,Adrian Peterson left guard for 28 yards (tackle by Micah Hyde),2.520,4.370
2,12:52,1,10,BUF 18,0,10,Wendell Smallwood up the middle for 2 yards (tackle by Vincent Taylor and Tremaine Edmunds),4.370,4.090
2,12:11,2,8,BUF 16,0,10,Dwayne Haskins pass complete short right to Kelvin Harmon for 6 yards (tackle by Tremaine Edmunds and Matt Milano),4.090,4.510
2,11:30,3,2,BUF 10,0,10,Dwayne Haskins sacked by Trent Murphy for -1 yards,4.510,2.800
2,10:45,4,3,BUF 11,3,10,Dustin Hopkins 29 yard field goal good,2.800,3.000
2,10:42,,,WAS 35,3,10,"Dustin Hopkins kicks off 70 yards, returned by Andre Roberts for 66 yards (tackle by Troy Apke)",0.000,2.980
2,10:33,1,10,WAS 39,3,10,Devin Singletary left guard for 9 yards (tackle by Troy Apke and Fabian Moreau),2.980,3.660
2,9:55,2,1,WAS 30,3,10,Frank Gore up the middle for 4 yards (tackle by Matthew Ioannidis),3.660,3.840
2,9:17,1,10,WAS 26,3,10,Devin Singletary right guard for 4 yards (tackle by Da'Ron Payne and Landon Collins),3.840,3.840
2,8:42,2,6,WAS 22,3,10,Devin Singletary right tackle for 7 yards (tackle by Montez Sweat and Jonathan Bostic),3.840,4.580
2,8:01,1,10,WAS 15,3,10,Frank Gore left guard for 6 yards (tackle by Landon Collins and Jonathan Allen),4.580,5.030
2,7:23,2,4,WAS 9,3,10,Josh Allen pass incomplete short left intended for John Brown,5.030,4.220
2,7:20,,,,,,Timeout #1 by Buffalo Bills,,
2,7:20,3,4,WAS 9,3,10,Josh Allen pass complete short middle to Dawson Knox for 8 yards (tackle by Josh Norman),4.220,6.970
2,6:33,,,,,,Timeout #2 by Buffalo Bills,,
2,6:33,1,1,WAS 1,3,10,Frank Gore up the middle for no gain (tackle by Jonathan Allen and Tim Settle),6.970,5.910
2,6:01,2,1,WAS 1,3,10,Frank Gore left guard for no gain (tackle by Jonathan Allen),5.910,5.170
2,5:25,3,1,WAS 1,3,10,Frank Gore up the middle for no gain (tackle by Troy Apke),5.170,3.550
2,4:52,4,1,WAS 1,3,16,"Josh Allen up the middle for 1 yard, touchdown",3.550,7.000
2,4:45,,,WAS 15,3,17,Stephen Hauschka kicks extra point good,0.000,0.000
2,4:45,,,BUF 35,3,17,"Stephen Hauschka kicks off 57 yards, returned by Steven Sims for 22 yards (tackle by Corey Thompson)",0.000,0.940
2,4:37,1,10,WAS 30,3,17,Adrian Peterson left guard for 9 yards (tackle by Taron Johnson and Matt Milano),0.940,1.610
2,4:05,2,1,WAS 39,3,17,Adrian Peterson left guard for 19 yards (tackle by Matt Milano and Micah Hyde),1.610,2.790
2,3:23,1,10,BUF 42,3,17,Wendell Smallwood right guard for 3 yards (tackle by Star Lotulelei),2.790,2.650
2,2:45,2,7,BUF 39,3,17,Dwayne Haskins pass complete short right to Adrian Peterson for 22 yards (tackle by Tremaine Edmunds),2.650,4.440
2,2:00,1,10,BUF 17,3,17,Adrian Peterson up the middle for 2 yards (tackle by Vincent Taylor and Ed Oliver),4.440,4.150
2,1:26,2,8,BUF 15,3,17,Adrian Peterson right guard for no gain (tackle by Jerry Hughes and Ed Oliver),4.150,3.340
2,0:42,,,,,,Timeout #1 by Washington Redskins,,
2,0:42,3,8,BUF 15,3,17,Dwayne Haskins pass incomplete short left intended for Paul Richardson,3.340,2.440
2,0:36,4,8,BUF 15,6,17,Dustin Hopkins 33 yard field goal good,2.440,3.000
2,0:32,,,WAS 35,6,17,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,0:32,1,10,BUF 25,6,17,Josh Allen kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,WAS,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,6,17,"Dustin Hopkins kicks off 53 yards, returned by Patrick DiMarco for 24 yards (tackle by Josh Harvey-Clemons)",0.000,1.330
3,14:53,1,10,BUF 36,6,17,Devin Singletary left guard for 4 yards (tackle by Quinton Dunbar and Jonathan Allen),1.330,1.330
3,14:17,2,6,BUF 40,6,17,"Devin Singletary up the middle for 5 yards (tackle by Shaun Dion Hamilton). Penalty on Jonathan Allen: Defensive Holding, 5 yards",1.330,2.260
3,13:55,1,10,BUF 50,6,17,Devin Singletary right end for 17 yards (tackle by Jonathan Allen),2.260,3.380
3,13:19,1,10,WAS 33,6,17,"Devin Singletary right guard for 2 yards (tackle by Montez Sweat and Landon Collins). Penalty on Andre Roberts: Illegal Block Above the Waist, 10 yards",3.380,2.850
3,12:48,1,18,WAS 41,6,17,Josh Allen pass complete short right to John Brown for 11 yards (tackle by Josh Norman),2.850,3.240
3,12:11,2,7,WAS 30,6,17,Devin Singletary left end for no gain (tackle by Jonathan Bostic),3.240,2.540
3,11:27,3,7,WAS 30,6,17,Josh Allen pass complete short left to Dawson Knox for 6 yards (tackle by Quinton Dunbar),2.540,2.020
3,10:58,,,,,,Timeout #1 by Washington Redskins,,
3,10:58,4,1,WAS 24,6,17,Frank Gore up the middle for no gain (tackle by Landon Collins),2.020,-0.540
3,10:54,1,10,WAS 24,6,17,Adrian Peterson up the middle for no gain (tackle by Micah Hyde and Trent Murphy),0.540,0.000
3,10:24,2,10,WAS 24,6,17,Dwayne Haskins pass complete short left to Paul Richardson for 13 yards (tackle by Tremaine Edmunds and Levi Wallace),0.000,1.400
3,9:49,1,10,WAS 37,6,17,Adrian Peterson right guard for 8 yards (tackle by Tre'Davious White and Jordan Poyer),1.400,1.940
3,9:07,2,2,WAS 45,6,17,"Penalty on Jeremy Sprinkle: False Start, 5 yards (no play)",1.940,1.260
3,8:49,2,7,WAS 40,6,17,Dwayne Haskins pass complete short right to Wendell Smallwood for -4 yards (tackle by Vincent Taylor and Micah Hyde),1.260,0.040
3,8:07,3,11,WAS 36,6,17,Dwayne Haskins pass complete short left to Trey Quinn for 9 yards (tackle by Kevin Johnson),0.040,-0.390
3,7:27,4,2,WAS 45,6,17,"Tress Way punts 39 yards, fair catch by Andre Roberts at BUF-16",-0.390,0.140
3,7:20,1,10,BUF 16,6,17,Frank Gore right guard for 2 yards (tackle by Matthew Ioannidis and Landon Collins),-0.140,-0.350
3,6:43,2,8,BUF 18,6,17,Josh Allen pass complete short middle to Cole Beasley for 7 yards (tackle by Jonathan Bostic),-0.350,-0.200
3,6:22,3,1,BUF 25,6,17,Josh Allen left guard for 1 yard (tackle by Shaun Dion Hamilton),-0.200,0.670
3,5:48,1,10,BUF 26,6,17,Frank Gore left end for 1 yard (tackle by Landon Collins and Ryan Anderson),0.670,0.270
3,5:09,2,9,BUF 27,6,17,Josh Allen pass complete short left to Devin Singletary for -7 yards (tackle by Troy Apke). Penalty on Quinton Spain: Illegal Block Above the Waist (Declined),0.270,-1.350
3,4:37,3,16,BUF 20,6,17,Josh Allen pass incomplete deep right intended for John Brown (defended by Josh Norman),-1.350,-2.030
3,4:30,4,16,BUF 20,6,17,Corey Bojorquez punts 15 yards out of bounds,-2.030,-3.250
3,4:24,1,10,BUF 35,6,17,Adrian Peterson right end for -3 yards (tackle by Matt Milano),3.250,2.300
3,3:59,2,13,BUF 38,6,17,Dwayne Haskins pass complete short right to Paul Richardson for 13 yards (tackle by Levi Wallace),2.300,3.910
3,3:23,1,10,BUF 25,6,17,Adrian Peterson left guard for no gain (tackle by Shaq Lawson and Tremaine Edmunds),3.910,3.360
3,2:51,2,10,BUF 25,6,17,Dwayne Haskins sacked by Jerry Hughes for -8 yards,3.360,1.620
3,2:06,3,18,BUF 33,6,17,Dwayne Haskins pass complete short right to Terry McLaurin for 12 yards (tackle by Jordan Poyer and Lorenzo Alexander),1.620,2.080
3,1:25,4,6,BUF 21,9,17,Dustin Hopkins 39 yard field goal good,2.080,3.000
3,1:21,,,WAS 35,9,17,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
3,1:21,1,10,BUF 25,9,17,Devin Singletary left guard for -3 yards (tackle by Landon Collins),0.610,-0.340
3,0:41,2,13,BUF 22,9,17,Devin Singletary right guard for 4 yards (tackle by Shaun Dion Hamilton),-0.340,-0.490
Quarter,Time,Down,ToGo,Location,WAS,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,9,BUF 26,9,17,Josh Allen pass incomplete deep left intended for Robert Foster,-0.490,-1.630
4,14:52,4,9,BUF 26,9,17,"Corey Bojorquez punts 46 yards, returned by Trey Quinn for no gain (tackle by Senorise Perry)",-1.630,-0.810
4,14:41,1,10,WAS 28,9,17,Dwayne Haskins pass incomplete short left intended for Trey Quinn,0.810,0.260
4,14:35,2,10,WAS 28,9,17,Adrian Peterson right guard for 4 yards (tackle by Matt Milano and Shaq Lawson),0.260,0.100
4,13:53,3,6,WAS 32,9,17,Dwayne Haskins pass complete short right to Paul Richardson for 9 yards (tackle by Levi Wallace),0.100,1.660
4,13:18,1,10,WAS 41,9,17,Adrian Peterson right guard for no gain (tackle by Jordan Phillips),1.660,1.120
4,12:40,2,10,WAS 41,9,17,Dwayne Haskins pass complete short right to Terry McLaurin for 4 yards (tackle by Tre'Davious White),1.120,0.960
4,11:59,3,6,WAS 45,9,17,Dwayne Haskins left tackle for 9 yards (tackle by Jordan Poyer),0.960,2.520
4,11:24,1,10,BUF 46,9,17,Dwayne Haskins pass incomplete short left intended for Trey Quinn (defended by Taron Johnson),2.520,1.980
4,11:19,2,10,BUF 46,9,17,Adrian Peterson right tackle for no gain (tackle by Tre'Davious White). Penalty on Morgan Moses: Offensive Holding (Declined),1.980,1.290
4,10:26,3,10,BUF 46,9,17,Dwayne Haskins pass incomplete short right intended for Terry McLaurin,1.290,0.200
4,10:18,4,10,BUF 46,9,17,"Tress Way punts 24 yards, fair catch by Andre Roberts at BUF-22",0.200,-0.410
4,10:10,1,10,BUF 22,9,17,Josh Allen pass complete short right to Devin Singletary for 3 yards (tackle by Josh Norman),0.410,0.270
4,9:34,2,7,BUF 25,9,17,"Josh Allen right tackle for 6 yards (tackle by Josh Norman). Josh Allen fumbles (forced by Josh Norman), recovered by Quinton Spain at BUF-31",0.270,0.370
4,8:41,3,1,BUF 31,9,17,Frank Gore right tackle for -3 yards (tackle by Shaun Dion Hamilton),0.370,-1.500
4,8:11,4,4,BUF 28,9,17,Corey Bojorquez punts 59 yards downed by Siran Neal,-1.500,0.320
4,8:01,1,10,WAS 13,9,17,Dwayne Haskins right tackle for 2 yards (tackle by Shaq Lawson),-0.320,-0.570
4,7:23,2,8,WAS 15,9,17,Adrian Peterson right guard for -2 yards (tackle by Jordan Phillips and Jordan Poyer),-0.570,-1.420
4,6:43,3,10,WAS 13,9,17,Dwayne Haskins sacked by Tre'Davious White for -9 yards,-1.420,-2.490
4,6:02,4,19,WAS 4,9,17,"Tress Way punts 42 yards, fair catch by Andre Roberts at WAS-46",-2.490,-2.520
4,5:55,1,10,WAS 46,9,17,Josh Allen pass complete short right to John Brown for 17 yards (tackle by Josh Norman),2.520,3.640
4,5:10,1,10,WAS 29,9,17,Devin Singletary up the middle for 2 yards (tackle by Jonathan Allen and Ryan Kerrigan),3.640,3.370
4,4:24,2,8,WAS 27,9,17,Josh Allen pass incomplete deep right intended for John Brown,3.370,2.680
4,4:16,3,8,WAS 27,9,17,"Devin Singletary left guard for 4 yards (tackle by Josh Norman and Jonathan Allen). Penalty on Quinton Spain: Offensive Holding, 10 yards (no play)",2.680,1.360
4,4:08,3,18,WAS 37,9,17,Josh Allen pass complete deep right to John Brown for 23 yards (tackle by Troy Apke),1.360,4.650
4,4:01,1,10,WAS 14,9,17,Devin Singletary right tackle for 2 yards (tackle by Jonathan Bostic),4.650,4.330
4,3:19,2,8,WAS 12,9,17,Devin Singletary left guard for 8 yards (tackle by Jonathan Allen and Shaun Dion Hamilton),4.330,6.280
4,2:35,1,4,WAS 4,9,17,Devin Singletary left guard for 2 yards (tackle by Shaun Dion Hamilton),6.280,5.720
4,2:26,,,,,,Timeout #2 by Washington Redskins,,
4,2:26,2,2,WAS 2,9,23,"Devin Singletary left tackle for 2 yards, touchdown",5.720,7.000
4,2:21,,,WAS 15,9,24,Stephen Hauschka kicks extra point good,0.000,0.000
4,2:21,,,BUF 35,9,24,"Stephen Hauschka kicks off 65 yards, touchback.",0.000,0.610
4,2:21,1,10,WAS 25,9,24,Dwayne Haskins pass complete short left to Terry McLaurin for 13 yards (tackle by Micah Hyde),0.610,1.470
4,2:01,1,10,WAS 38,9,24,Dwayne Haskins sacked by Jordan Phillips for -10 yards,1.470,-0.430
4,1:55,2,20,WAS 28,9,24,Dwayne Haskins pass incomplete deep left intended for Kelvin Harmon,-0.430,-1.090
4,1:48,3,20,WAS 28,9,24,"Dwayne Haskins pass complete short left to Jeremy Sprinkle for 16 yards (tackle by Jordan Poyer). Jeremy Sprinkle fumbles (forced by Jordan Poyer), recovered by Kelvin Harmon at WAS-44",-1.090,-0.460
4,1:21,4,4,WAS 44,9,24,Dwayne Haskins pass complete short left to Wendell Smallwood for 2 yards (tackle by Levi Wallace). Penalty on Donald Penn: Offensive Holding (Declined),-0.460,-2.520
4,1:14,1,10,WAS 46,9,24,Josh Allen kneels for -1 yards,2.520,1.840
4,0:39,2,11,WAS 47,9,24,Josh Allen kneels for -1 yards,1.840,1.030
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
