Quarter,Time,Down,ToGo,Location,PIT,ARI,Detail,EPB,EPA
2,9:31,2,7,PIT 46,10,0,Kurt Warner pass complete deep right to Anquan Boldin for 45 yards (tackle by Ryan Clark),2.190,6.970
2,8:43,1,1,PIT 1,10,6,"Kurt Warner pass complete short left to Ben Patrick for 1 yard, touchdown",6.970,7.000
2,8:43,,,PIT 2,10,7,Neil Rackers kicks extra point good,0.000,0.000
2,8:43,,,ARI 30,10,7,"Neil Rackers kicks off 66 yards, returned by Gary Russell for 18 yards (tackle by Ralph Brown)",0.000,0.410
2,8:26,1,10,PIT 22,10,7,Ben Roethlisberger pass complete short right to Carey Davis for 6 yards (tackle by Gerald Hayes),0.410,0.680
2,7:52,2,4,PIT 28,10,7,Willie Parker left end for 8 yards (tackle by Adrian Wilson),0.680,1.330
2,7:05,1,10,PIT 36,10,7,Ben Roethlisberger pass incomplete deep left intended for Santonio Holmes (defended by Dominique Rodgers-Cromartie),1.330,0.790
2,6:56,2,10,PIT 36,10,7,Ben Roethlisberger pass complete short left to Willie Parker for -2 yards (tackle by Karlos Dansby),0.790,-0.160
2,6:10,3,12,PIT 34,10,7,"Ben Roethlisberger pass complete deep right to Santonio Holmes for 22 yards (tackle by Aaron Francisco). Penalty on Chris Kemoeatu: Offensive Holding, 10 yards (no play)",-0.160,-1.480
2,5:34,3,22,PIT 24,10,7,"Penalty on Darnell Dockett: Encroachment, 6 yards (no play)",-1.480,-0.690
2,5:06,3,16,PIT 30,10,7,Ben Roethlisberger pass complete short left to Mewelde Moore for 4 yards (tackle by Dominique Rodgers-Cromartie),-0.690,-1.110
2,4:27,4,12,PIT 34,10,7,"Mitch Berger punts 43 yards, returned by Steve Breaston for 34 yards (tackle by Carey Davis)",-1.110,-2.720
2,4:16,1,10,PIT 43,10,7,Edgerrin James left end for 6 yards (tackle by James Farrior),2.720,2.990
2,3:46,2,4,PIT 37,10,7,"Kurt Warner pass incomplete short right intended for Ben Patrick. Penalty on Edgerrin James: Chop Block, 15 yards (no play)",2.990,0.960
2,3:42,2,19,ARI 48,10,7,Kurt Warner sacked by LaMarr Woodley for -3 yards,0.960,-0.100
2,2:59,2,19,ARI 48,10,7,Timeout #1 by Arizona Cardinals,0.960,-0.100
2,2:59,3,22,ARI 45,10,7,Kurt Warner pass incomplete short left intended for Edgerrin James,-0.100,-0.390
2,2:55,4,22,ARI 45,10,7,"Penalty on Nathan Hodel: False Start, 5 yards (no play)",-0.390,-0.720
2,2:55,4,27,ARI 40,10,7,"Ben Graham punts 45 yards, returned by Santonio Holmes for 1 yard (tackle by Michael Adams)",-0.720,0.140
2,2:46,1,10,PIT 16,10,7,Mewelde Moore left tackle for 6 yards (tackle by Chike Okeafor),-0.140,0.280
2,2:09,2,4,PIT 22,10,7,Ben Roethlisberger pass incomplete short middle intended for Santonio Holmes is intercepted by Karlos Dansby at PIT-33 and returned for -1 yards (tackle by Mewelde Moore),0.280,-3.310
2,2:00,1,10,PIT 34,10,7,Kurt Warner pass incomplete,3.310,2.770
2,1:53,2,10,PIT 34,10,7,Kurt Warner pass incomplete short middle intended for Larry Fitzgerald,2.770,2.080
2,1:49,3,10,PIT 34,10,7,Kurt Warner pass complete short left to Tim Hightower for 10 yards (tackle by Brett Keisel),2.080,3.970
2,1:07,1,10,PIT 24,10,7,Tim Hightower right guard for no gain (tackle by Travis Kirschke and Troy Polamalu),3.970,3.430
2,0:59,1,10,PIT 24,10,7,Timeout #2 by Arizona Cardinals,3.970,3.430
2,0:59,2,10,PIT 24,10,7,Kurt Warner pass complete short middle to Larry Fitzgerald for 12 yards (tackle by Ike Taylor),3.430,4.780
2,0:43,2,10,PIT 24,10,7,Timeout #2 by Pittsburgh Steelers,3.430,4.780
2,0:43,1,10,PIT 12,10,7,Kurt Warner pass complete short middle to Anquan Boldin for 7 yards (tackle by Lawrence Timmons),4.780,5.410
2,0:25,2,3,PIT 5,10,7,Kurt Warner pass complete short right to Anquan Boldin for 4 yards (tackle by LaMarr Woodley and Aaron Smith),5.410,6.970
2,0:18,2,3,PIT 5,10,7,Timeout #3 by Arizona Cardinals,5.410,6.970
2,0:18,1,1,PIT 1,16,7,"Kurt Warner pass incomplete short middle intended for Anquan Boldin is intercepted by James Harrison at PIT-0 and returned for 100 yards, touchdown. Penalty on Elton Brown: Face Mask (15 Yards) (Declined)",6.970,-7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
2,0:00,,,ARI 2,17,7,Jeff Reed kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,PIT,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 30,17,7,"Jeff Reed kicks off 69 yards, returned by J.J. Arrington for 23 yards (tackle by Gary Russell)",0.000,0.540
3,14:54,1,10,ARI 24,17,7,Kurt Warner pass complete short right to Anquan Boldin for 4 yards (tackle by James Farrior),0.540,0.540
3,14:14,2,6,ARI 28,17,7,Edgerrin James left guard for 9 yards (tackle by Deshea Townsend and Ryan Clark),0.540,1.400
3,13:30,1,10,ARI 37,17,7,Edgerrin James left guard for 7 yards (tackle by Larry Foote),1.400,1.800
3,12:50,2,3,ARI 44,17,7,Edgerrin James right guard for 3 yards (tackle by James Farrior and James Harrison),1.800,2.060
3,12:11,1,10,ARI 47,17,7,Kurt Warner pass complete short left to Anquan Boldin for 2 yards (tackle by Bryant McFadden),2.060,1.790
3,11:32,2,8,ARI 49,17,7,Kurt Warner pass complete short right to Edgerrin James for 2 yards (tackle by Lawrence Timmons),1.790,1.360
3,11:02,3,6,PIT 49,17,7,Kurt Warner pass incomplete,1.360,0.000
,,,,,,,"ARI challenged the fumble ruling, and the original play was overturned.",,
3,10:57,4,6,PIT 49,17,7,"Ben Graham punts 31 yards, fair catch by Santonio Holmes",0.000,-0.040
3,10:50,1,10,PIT 18,17,7,Willie Parker left guard for -3 yards (tackle by Chike Okeafor),0.040,-0.930
3,10:11,2,13,PIT 15,17,7,"Ben Roethlisberger pass complete short right to Santonio Holmes for 6 yards (tackle by Dominique Rodgers-Cromartie). Penalty on Dominique Rodgers-Cromartie: Face Mask (15 Yards), 15 yards",-0.930,1.330
3,9:42,1,10,PIT 36,17,7,Ben Roethlisberger pass complete short right to Matt Spaeth for 6 yards (tackle by Karlos Dansby),1.330,1.600
3,9:05,2,4,PIT 42,17,7,Willie Parker left guard for 3 yards (tackle by Chike Okeafor),1.600,1.290
3,8:22,3,1,PIT 45,17,7,Ben Roethlisberger pass complete short right to Hines Ward for 5 yards (tackle by Roderick Hood),1.290,2.260
3,7:41,1,10,,17,7,"Ben Roethlisberger pass incomplete. Penalty on Karlos Dansby: Roughing the Passer, 15 yards (no play)",2.260,3.250
3,7:31,1,10,ARI 35,17,7,Willie Parker right tackle for -1 yards (tackle by Chike Okeafor),3.250,2.570
3,6:47,2,11,ARI 36,17,7,Ben Roethlisberger pass complete short right to Santonio Holmes for 15 yards (tackle by Adrian Wilson),2.570,4.170
3,6:02,1,10,ARI 21,17,7,Willie Parker up the middle for 1 yard (tackle by Monty Beisel and Karlos Dansby),4.170,3.760
3,5:23,2,9,ARI 20,17,7,Willie Parker right tackle for 15 yards (tackle by Adrian Wilson and Antrel Rolle),3.760,6.060
3,4:39,1,5,ARI 5,17,7,Willie Parker right end for -4 yards (tackle by Karlos Dansby and Gerald Hayes),6.060,4.380
3,3:51,2,9,ARI 9,17,7,Ben Roethlisberger pass incomplete short middle intended for Heath Miller,4.380,3.360
3,3:44,3,9,ARI 9,17,7,Ben Roethlisberger pass incomplete short left intended for Nate Washington,3.360,2.830
3,3:36,4,9,ARI 9,17,7,"Jeff Reed 27 yard field goal good. Penalty on Adrian Wilson: Unnecessary Roughness, 5 yards (no play)",2.830,6.280
3,3:32,1,4,ARI 4,17,7,Willie Parker right guard for 2 yards (tackle by Roderick Hood and Darnell Dockett),6.280,5.720
3,2:55,2,2,ARI 2,17,7,Ben Roethlisberger pass incomplete short right intended for Heath Miller (defended by Chike Okeafor),5.720,4.950
3,2:49,3,2,ARI 2,17,7,Ben Roethlisberger up the middle for -1 yards (tackle by Gabe Watson),4.950,3.040
3,2:16,4,3,ARI 3,20,7,Jeff Reed 21 yard field goal good,3.040,3.000
3,2:16,,,PIT 30,20,7,"Jeff Reed kicks off 70 yards, touchback",0.000,0.280
3,2:11,1,10,ARI 20,20,7,Kurt Warner pass complete short middle to Steve Breaston for 5 yards (tackle by Lawrence Timmons),0.280,0.410
3,1:39,2,5,ARI 25,20,7,Edgerrin James up the middle for 3 yards (tackle by Brett Keisel and Casey Hampton),0.410,0.100
3,0:58,3,2,ARI 28,20,7,Kurt Warner pass complete short right to Anquan Boldin for 5 yards,0.100,1.140
3,0:31,1,10,ARI 33,20,7,Edgerrin James left guard for 1 yard (tackle by Larry Foote),1.140,0.730
Quarter,Time,Down,ToGo,Location,PIT,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,ARI 34,20,7,"Kurt Warner pass complete short middle to Anquan Boldin for 13 yards (tackle by Bryant McFadden). Penalty on Mike Gandy: Offensive Holding, 10 yards (no play)",0.730,-0.620
4,14:37,2,19,ARI 24,20,7,Kurt Warner pass complete short right to Anquan Boldin for 6 yards (tackle by Deshea Townsend),-0.620,-0.490
4,13:55,3,13,ARI 30,20,7,Kurt Warner pass incomplete short middle intended for Tim Hightower,-0.490,-1.370
4,13:49,4,13,ARI 30,20,7,"Ben Graham punts 27 yards, out of bounds",-1.370,-1.800
4,13:41,1,10,PIT 43,20,7,"Ben Roethlisberger pass incomplete short middle intended for Hines Ward (defended by Roderick Hood). Penalty on Roderick Hood: Defensive Holding, 5 yards (no play)",1.800,2.130
4,13:34,1,10,PIT 48,20,7,Willie Parker left end for 6 yards (tackle by Karlos Dansby),2.130,2.390
4,12:53,2,4,ARI 46,20,7,Willie Parker left guard for -4 yards (tackle by Darnell Dockett),2.390,1.160
4,12:07,3,8,,20,7,Ben Roethlisberger sacked by Darnell Dockett for -12 yards,1.160,-0.850
4,11:42,4,20,PIT 38,20,7,"Mitch Berger punts 49 yards, returned by Steve Breaston for no gain",-0.850,0.320
4,11:30,1,10,ARI 13,20,7,Kurt Warner pass complete short right to Steve Breaston for 13 yards (tackle by William Gay and LaMarr Woodley),-0.320,0.670
4,11:00,1,10,ARI 26,20,7,Kurt Warner pass complete short middle to Jerheme Urban for 18 yards (tackle by Ryan Clark),0.670,1.860
4,10:33,1,10,ARI 44,20,7,Kurt Warner pass complete short left to Larry Fitzgerald for 6 yards (tackle by Ike Taylor and Deshea Townsend),1.860,2.130
4,10:00,2,4,,20,7,Kurt Warner pass complete short middle to J.J. Arrington for 22 yards (tackle by Tyrone Carter),2.130,3.710
4,9:23,1,10,PIT 28,20,7,Kurt Warner pass complete short left to Larry Fitzgerald for 18 yards (tackle by Ike Taylor and Troy Polamalu). Penalty on Ike Taylor: Defensive Holding (Declined),3.710,4.910
4,8:58,1,10,PIT 10,20,7,Kurt Warner pass complete short left to Larry Fitzgerald for 6 yards (tackle by Ike Taylor),4.910,5.340
4,8:22,1,10,PIT 10,20,7,Timeout #1 by Pittsburgh Steelers,4.910,5.340
4,8:22,2,4,PIT 4,20,7,Kurt Warner pass complete short middle to Tim Hightower for 3 yards (tackle by Brett Keisel),5.340,5.170
4,7:41,3,1,PIT 1,20,13,"Kurt Warner pass complete short right to Larry Fitzgerald for 1 yard, touchdown",5.170,7.000
4,7:41,,,PIT 2,20,14,Neil Rackers kicks extra point good,0.000,0.000
4,7:41,,,ARI 30,20,14,"Neil Rackers kicks off 63 yards, returned by Carey Davis for 17 yards (tackle by Calais Campbell)",0.000,0.540
4,7:25,1,10,PIT 24,20,14,Willie Parker right guard for 4 yards (tackle by Monty Beisel),0.540,0.540
4,6:44,2,6,PIT 28,20,14,Ben Roethlisberger sacked by Darnell Dockett for -10 yards,0.540,-1.640
4,6:06,3,16,PIT 18,20,14,Ben Roethlisberger pass complete short left to Heath Miller for 10 yards (tackle by Roderick Hood),-1.640,-1.500
4,5:42,4,6,PIT 28,20,14,Mitch Berger punts 47 yards,-1.500,-0.610
4,5:28,1,10,ARI 25,20,14,"Kurt Warner pass complete short right to Anquan Boldin for 11 yards (tackle by Ike Taylor). Penalty on Ike Taylor: Unnecessary Roughness, 15 yards",0.610,2.320
4,5:03,1,10,PIT 49,20,14,J.J. Arrington up the middle for no gain (tackle by James Farrior),2.320,1.780
4,4:34,2,10,PIT 49,20,14,Kurt Warner pass complete short middle to Steve Breaston for 23 yards (tackle by Tyrone Carter),1.780,3.840
4,3:59,1,10,PIT 26,20,14,"Kurt Warner pass incomplete. Penalty on Mike Gandy: Offensive Holding, 10 yards (no play)",3.840,3.180
4,3:52,1,20,PIT 36,20,14,Kurt Warner pass incomplete short left intended for Anquan Boldin (defended by Troy Polamalu),3.180,1.950
4,3:46,2,20,PIT 36,20,14,Kurt Warner pass incomplete short middle intended for Jerheme Urban,1.950,1.290
4,3:41,3,20,PIT 36,20,14,Kurt Warner pass incomplete short right intended for Ben Patrick (defended by LaMarr Woodley),1.290,0.880
4,3:34,4,20,PIT 36,20,14,"Ben Graham punts 34 yards. Penalty on James Harrison: Unnecessary Roughness, 1 yards",0.880,0.380
4,3:26,1,10,PIT 1,20,14,Ben Roethlisberger pass incomplete short right intended for Hines Ward,-0.380,-0.780
4,3:21,2,10,PIT 1,20,14,Willie Parker up the middle for no gain (tackle by Travis LaBoy),-0.780,-1.420
4,3:04,2,10,PIT 1,20,14,Timeout #1 by Arizona Cardinals,-0.780,-1.420
4,3:04,3,10,PIT 1,20,16,"Ben Roethlisberger pass complete deep right to Santonio Holmes for 19 yards (tackle by Dominique Rodgers-Cromartie), penalty enforced in end zone, safety. Penalty on Justin Hartwig: Offensive Holding, 1 yards",-1.420,-2.000
4,3:04,3,10,PIT 1,20,16,--,-1.420,0.000
4,3:04,,,PIT 20,20,16,"Mitch Berger kicks off 53 yards, returned by Steve Breaston for 9 yards (tackle by Patrick Bailey)",0.000,1.330
4,2:53,1,10,ARI 36,20,16,Kurt Warner pass incomplete short middle intended for Anquan Boldin,1.330,0.790
4,2:47,2,10,ARI 36,20,22,"Kurt Warner pass complete short middle to Larry Fitzgerald for 64 yards, touchdown",0.790,7.000
4,2:47,,,PIT 2,20,23,Neil Rackers kicks extra point good,0.000,0.000
4,2:47,,,ARI 30,20,23,"Neil Rackers kicks off 69 yards, returned by Carey Davis for 21 yards (tackle by Sean Morey)",0.000,0.410
4,2:30,1,10,PIT 22,20,23,"Ben Roethlisberger pass complete short left to Mewelde Moore for -1 yards (tackle by Adrian Wilson). Penalty on Chris Kemoeatu: Offensive Holding, 10 yards (no play)",0.410,-0.660
4,2:24,1,20,PIT 12,20,23,Ben Roethlisberger pass complete short right to Santonio Holmes for 14 yards (tackle by Dominique Rodgers-Cromartie),-0.660,0.410
4,2:00,2,6,PIT 26,20,23,Ben Roethlisberger pass incomplete deep right intended for Nate Washington (defended by Aaron Francisco),0.410,-0.290
4,1:56,3,6,PIT 26,20,23,Ben Roethlisberger pass complete short right to Santonio Holmes for 13 yards (tackle by Karlos Dansby),-0.290,1.530
4,1:33,1,10,PIT 39,20,23,Ben Roethlisberger pass complete short right to Nate Washington for 11 yards (tackle by Adrian Wilson),1.530,2.260
4,1:08,1,10,,20,23,Ben Roethlisberger up the middle for 4 yards (tackle by Chike Okeafor and Karlos Dansby),2.260,2.250
4,1:02,1,10,,20,23,Timeout #2 by Pittsburgh Steelers,2.260,2.250
4,1:02,2,6,ARI 46,20,23,Ben Roethlisberger pass complete short right to Santonio Holmes for 40 yards (tackle by Aaron Francisco),2.250,5.830
4,0:49,2,6,ARI 46,20,23,Timeout #3 by Pittsburgh Steelers,2.250,5.830
4,0:48,1,6,ARI 6,20,23,Ben Roethlisberger pass incomplete short left intended for Santonio Holmes,5.830,4.950
4,0:42,2,6,ARI 6,26,23,"Ben Roethlisberger pass complete short right to Santonio Holmes for 6 yards, touchdown",4.950,7.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
4,0:42,,,ARI 2,27,23,Jeff Reed kicks extra point good,0.000,0.000
4,0:42,,,PIT 30,27,23,"Jeff Reed kicks off 69 yards, returned by J.J. Arrington for 22 yards (tackle by Anthony Madison)",0.000,0.480
4,0:29,1,10,ARI 23,27,23,Kurt Warner pass complete deep left to Larry Fitzgerald for 20 yards (tackle by Lawrence Timmons),0.480,1.800
4,0:22,1,10,ARI 23,27,23,Timeout #2 by Arizona Cardinals,0.480,1.800
4,0:22,1,10,ARI 43,27,23,Kurt Warner pass complete short middle to J.J. Arrington for 13 yards (tackle by James Harrison),1.800,2.650
4,0:15,1,10,ARI 43,27,23,Timeout #3 by Arizona Cardinals,1.800,2.650
4,0:15,1,10,PIT 44,27,23,"Kurt Warner sacked by LaMarr Woodley for -5 yards. Kurt Warner fumbles (forced by LaMarr Woodley), recovered by Brett Keisel at PIT-43 (tackle by Levi Brown). Penalty on LaMarr Woodley: Unsportsmanlike Conduct, 14 yards",2.650,-0.870
4,0:05,1,10,PIT 29,27,23,Ben Roethlisberger kneels for -1 yards,0.870,0.190
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
