Quarter,Time,Down,ToGo,Location,SDG,CHI,Detail,EPB,EPA
2,1:21,2,8,SDG 32,0,10,Drew Brees pass incomplete intended for David Boston,0.660,-0.030
2,1:16,3,8,SDG 32,0,10,"Drew Brees pass complete to Justin Peelle for 12 yards (tackle by Charles Tillman). Penalty on Phil Bogle: Ineligible Downfield Pass, 5 yards (no play)",-0.030,-0.690
2,1:07,3,13,SDG 27,0,10,Drew Brees pass incomplete intended for Reche Caldwell (defended by R.W. McQuarters),-0.690,0.000
2,,,,,0,10,--,0.000,-1.570
2,0:56,4,13,SDG 27,0,10,"Darren Bennett punts 48 yards, returned by R.W. McQuarters for no gain",-1.570,-0.610
2,0:47,1,10,CHI 25,0,10,Chris Chandler sacked by Adrian Dingle for -5 yards,0.610,-0.610
2,0:10,2,15,CHI 20,0,10,Rabih Abdullah left end for 3 yards (tackle by Donnie Edwards),-0.610,-0.890
Quarter,Time,Down,ToGo,Location,SDG,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 30,0,10,"Steve Christie kicks off 64 yards, returned by Jerry Azumah for 39 yards (tackle by Terrence Kiel)",0.000,1.930
3,14:54,1,10,CHI 45,0,10,"Chris Chandler for no gain (tackle by Adrian Dingle). Chris Chandler fumbles (forced by Adrian Dingle), recovered by Chris Chandler at CHI-45. Penalty on Olin Kreutz: False Start, 5 yards (no play)",1.930,1.600
3,14:54,1,15,CHI 40,0,10,Anthony Thomas right tackle for 14 yards (tackle by Terrence Kiel and Sammy Davis),1.600,2.600
3,14:12,2,1,SDG 46,0,10,Anthony Thomas right guard for 4 yards (tackle by Donnie Edwards),2.600,2.790
3,13:30,1,10,SDG 42,0,10,Anthony Thomas left end for -1 yards (tackle by Ben Leber),2.790,2.110
3,12:48,2,11,SDG 43,0,10,Chris Chandler pass complete to Ahmad Merritt for 3 yards (tackle by Donnie Edwards),2.110,1.820
3,12:03,3,8,SDG 40,0,10,"Chris Chandler pass complete to David Terrell for 21 yards. Penalty on Dez White: False Start, 5 yards (no play)",1.820,1.160
3,11:35,3,13,SDG 45,0,10,Chris Chandler pass complete to David Terrell for no gain,1.160,0.270
3,10:51,4,13,SDG 45,0,10,"Brad Maynard punts 34 yards, fair catch by Tim Dwight",0.270,0.370
3,10:45,1,10,SDG 11,0,10,Drew Brees pass complete to David Boston for 7 yards (tackle by Jerry Azumah),-0.370,0.000
3,10:12,2,3,SDG 18,0,10,"LaDainian Tomlinson left guard for 3 yards (tackle by Alex Brown). Penalty on Tim Dwight: Illegal Crackback, 9 yards (no play)",0.000,-0.930
3,9:47,2,12,SDG 9,0,10,Drew Brees pass complete to LaDainian Tomlinson for 5 yards (tackle by Lance Briggs),-0.930,-1.070
3,9:04,3,7,SDG 14,0,10,Drew Brees pass incomplete intended for David Boston (defended by Alex Brown),-1.070,-2.470
3,8:57,4,7,SDG 14,0,10,"Darren Bennett punts 46 yards, returned by R.W. McQuarters for 16 yards (tackle by Antonio Gates)",-2.470,-2.650
3,8:48,1,10,SDG 44,0,10,Anthony Thomas left tackle for 4 yards (tackle by Adrian Dingle),2.650,2.650
3,8:12,2,6,SDG 40,0,10,Chris Chandler pass complete to Dez White for 4 yards (tackle by Terrence Kiel),2.650,2.480
3,7:27,3,2,SDG 36,0,10,Chris Chandler pass incomplete intended for Stanley Pritchett,2.480,0.890
3,7:22,4,2,SDG 36,0,10,Anthony Thomas right guard for 3 yards (tackle by Adrian Dingle),0.890,3.380
3,6:43,1,10,SDG 33,0,10,Chris Chandler pass complete to Desmond Clark for 31 yards (tackle by Terrence Kiel),3.380,6.740
3,5:56,1,2,SDG 2,0,10,Anthony Thomas left tackle for no gain (tackle by Zeke Moreno),6.740,5.720
3,5:17,2,2,SDG 2,0,10,Anthony Thomas left guard for -2 yards (tackle by Kwamie Lassiter and Terrence Kiel),5.720,4.490
3,4:35,3,4,SDG 4,0,10,Chris Chandler pass incomplete intended for Dez White (defended by Sammy Davis),4.490,3.030
3,4:30,4,4,SDG 4,0,13,Paul Edinger 22 yard field goal good,3.030,3.000
3,,,,CHI 30,0,13,"Paul Edinger kicks off 55 yards, returned by Leon Johnson for 35 yards (tackle by Todd McMillon)",0.000,2.260
3,4:18,1,10,CHI 50,0,13,Drew Brees pass incomplete intended for Tim Dwight (defended by Charles Tillman),2.260,1.710
3,4:12,2,10,CHI 50,0,13,Drew Brees pass complete to LaDainian Tomlinson for 3 yards (tackle by Lance Briggs),1.710,1.420
3,3:42,3,7,CHI 47,0,13,Drew Brees pass incomplete intended for Tim Dwight,1.420,0.130
3,3:39,4,7,CHI 47,0,13,"Darren Bennett punts 36 yards, fair catch by R.W. McQuarters",0.130,0.370
3,3:32,1,10,CHI 11,0,13,Chris Chandler pass complete to Dez White for 4 yards (tackle by Kwamie Lassiter),-0.370,-0.430
3,2:49,2,6,CHI 15,0,13,Chris Chandler pass complete to Dez White for 18 yards (tackle by Jerry Wilson),-0.430,1.140
3,2:06,1,10,CHI 33,0,13,Chris Chandler pass incomplete intended for Dez White,1.140,0.590
3,2:02,2,10,CHI 33,0,13,"Anthony Thomas right end for 1 yard (tackle by Zeke Moreno and Sammy Davis). Penalty on Kwamie Lassiter: Face Mask (5 Yards), 5 yards",0.590,1.400
3,1:34,2,4,CHI 39,0,13,"Chris Chandler pass complete to David Terrell for 3 yards (tackle by Jerry Wilson). David Terrell fumbles (forced by Jerry Wilson), recovered by David Terrell at CHI-42",1.400,1.090
3,0:48,3,1,CHI 42,0,13,Anthony Thomas right tackle for 3 yards (tackle by Ben Leber and Zeke Moreno),1.090,1.930
3,0:05,1,10,CHI 45,0,13,Anthony Thomas left guard for -4 yards (tackle by Jason Fisk),1.930,0.840
Quarter,Time,Down,ToGo,Location,SDG,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,14,CHI 41,0,13,Chris Chandler pass complete to David Terrell for 7 yards (tackle by Donnie Edwards),0.840,1.090
4,14:16,3,7,CHI 48,0,13,Chris Chandler pass complete to Bobby Wade for 13 yards (tackle by Drayton Florence),1.090,2.980
4,13:47,1,10,SDG 39,0,13,Anthony Thomas left end for 4 yards (tackle by Donnie Edwards),2.980,2.980
4,13:27,2,6,SDG 35,0,13,Chris Chandler pass incomplete intended for Dez White is intercepted by Sammy Davis at SDG-19 and returned for 7 yards (tackle by Chris Villarrial),2.980,-0.670
4,13:17,1,10,SDG 26,0,13,Doug Flutie pass complete to David Boston for 7 yards (tackle by Phillip Daniels),0.670,1.070
4,12:44,2,3,SDG 33,0,13,LaDainian Tomlinson left guard for 14 yards (tackle by Bobby Gray and Mike Brown),1.070,2.060
4,12:08,1,10,SDG 47,0,13,Doug Flutie pass incomplete intended for Tim Dwight (defended by Jerry Azumah),2.060,1.520
4,12:03,2,10,SDG 47,0,13,Doug Flutie pass complete to Tim Dwight for 22 yards (tackle by Lance Briggs),1.520,3.510
4,11:20,1,10,CHI 31,0,13,Doug Flutie left end for 17 yards (tackle by Jerry Azumah),3.510,4.650
4,10:36,1,10,CHI 14,0,13,Doug Flutie pass complete to Justin Peelle for 6 yards (tackle by Warrick Holdman),4.650,5.090
4,9:59,2,4,CHI 8,0,13,LaDainian Tomlinson left tackle for 5 yards (tackle by Bobby Gray and Phillip Daniels),5.090,6.510
4,9:17,1,3,CHI 3,6,13,"LaDainian Tomlinson left guard for 3 yards, touchdown",6.510,7.000
4,,,,CHI 2,7,13,Steve Christie kicks extra point good,0.000,0.000
4,,,,SDG 30,7,13,"Steve Christie kicks off 45 yards, returned by John Gilmore for 7 yards (tackle by Kassim Osgood)",0.000,1.070
4,9:09,1,10,CHI 32,7,13,Chris Chandler pass complete to Bobby Wade for 19 yards (tackle by Kwamie Lassiter),1.070,2.320
4,8:28,1,10,SDG 49,7,13,Anthony Thomas left guard for 4 yards (tackle by Zeke Moreno and Raylee Johnson),2.320,2.320
4,7:47,2,6,SDG 45,7,13,Chris Chandler pass complete to David Terrell for 3 yards (tackle by Kwamie Lassiter),2.320,2.020
4,7:09,3,3,SDG 42,7,13,Chris Chandler pass incomplete intended for Desmond Clark (defended by Joe Salave'a),2.020,0.460
4,7:04,4,3,SDG 42,7,13,Brad Maynard punts 41 yards,0.460,0.380
,,,,,,,"SDG challenged the ruling, and the play was upheld.",,
4,6:52,1,10,SDG 1,7,13,Doug Flutie pass complete to Lorenzo Neal for 3 yards (tackle by Charles Tillman),-0.380,-0.560
4,6:22,2,7,SDG 4,7,13,Doug Flutie pass complete to Lorenzo Neal for 5 yards (tackle by Jerry Azumah),-0.560,-0.480
4,5:34,3,2,SDG 9,7,13,Doug Flutie left tackle for 2 yards (tackle by Jerry Azumah),-0.480,-0.370
4,4:51,1,10,SDG 11,7,13,LaDainian Tomlinson right guard for 3 yards (tackle by Alex Brown),-0.370,-0.530
4,4:14,2,7,SDG 14,7,13,Doug Flutie pass complete to LaDainian Tomlinson for 3 yards (tackle by Lance Briggs),-0.530,-0.720
4,3:26,3,4,SDG 17,7,13,Doug Flutie pass incomplete intended for Justin Peelle (defended by Jerry Azumah),-0.720,-2.320
4,3:19,4,4,SDG 17,7,13,"Darren Bennett punts 40 yards, returned by R.W. McQuarters for 36 yards (tackle by David Binn)",-2.320,-4.170
4,3:08,1,10,SDG 21,7,13,Anthony Thomas right tackle for 1 yard (tackle by Jason Fisk),4.170,3.760
4,2:58,,,,7,13,Timeout #2 by San Diego Chargers,0.000,3.760
4,2:58,2,9,SDG 20,7,13,Anthony Thomas left end for 11 yards (tackle by Marcellus Wiley),3.760,5.140
4,2:47,,,,7,13,Timeout #3 by San Diego Chargers,0.000,5.140
4,2:47,1,9,SDG 9,7,13,Anthony Thomas left guard for 4 yards (tackle by Adrian Dingle),5.140,5.150
4,2:00,2,5,SDG 5,7,13,Anthony Thomas right guard for 3 yards (tackle by Ben Leber),5.150,4.950
4,1:13,3,2,SDG 2,7,13,Anthony Thomas right tackle for 1 yard (tackle by Zeke Moreno),4.950,3.550
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
4,0:26,,,,7,13,Timeout #1 by Chicago Bears,0.000,3.550
4,0:26,4,1,SDG 1,7,19,"Anthony Thomas left end for 1 yard, touchdown. Penalty on SDG: Face Mask (5 Yards) (Declined)",3.550,7.000
4,,,,SDG 2,7,20,Paul Edinger kicks extra point good,0.000,0.000
4,,,,CHI 30,7,20,"Paul Edinger kicks off 54 yards, returned by Leon Johnson for 14 yards (tackle by Ahmad Merritt)",0.000,0.940
4,0:15,1,10,SDG 30,7,20,Doug Flutie pass complete to Justin Peelle for 17 yards (tackle by Mike Brown),0.940,2.060
4,0:08,1,10,SDG 47,7,20,Doug Flutie pass complete to Jesse Chatman for 7 yards (tackle by Brock Williams),2.060,2.460
4,0:03,2,3,CHI 46,7,20,Doug Flutie pass incomplete intended for Tim Dwight,2.460,1.750
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
